Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the indian rupee  is the official currency in the republic of india the rupee is subdivided into  paise  though as of  coins of denomination of  rupee are the lowest value in use whereas  rupees is the highest the issuance of the currency is controlled by the reserve bank of india the reserve bank manages currency in india and derives its role in currency management on the basis of the reserve bank of india act 
",indian rupee official currency republic india rupee subdivided paise coins denomination rupee lowest value use rupees highest issuance currency controlled reserve bank india reserve bank manages currency india derives role currency management basis reserve bank india act,8.89,"indian,rupee,official,currency,republic,india,rupee,subdivided,paise,coins,denomination,rupee,lowest,value,use,rupees,highest,issuance,currency,controlled,reserve,bank,india,reserve,bank,manages,currency,india,derives,role,currency,management,basis,reserve,bank,india,act",0.00,rupee
"the immediate precursor of the rupee is the rpiyathe silver coin weighing  grains minted in northern india first by sher shah suri during his brief rule between  and  and later adopted and standardized by the mughal empire the weight remained unchanged well beyond the end of the mughals until the th century though pini mentions rpya  it is unclear whether he was referring to coinage arthashastra written by chanakya prime minister to the first maurya emperor chandragupta maurya  mentions silver coins as rpyarpa other types of coins including gold coins  copper coins  and lead coins  are also mentioned
",immediate precursor rupee rpiyathe silver coin weighing grains minted northern india sher shah suri brief rule later adopted standardized mughal empire weight remained unchanged end mughals th century pini mentions rpya unclear referring coinage arthashastra written chanakya prime minister maurya emperor chandragupta maurya mentions silver coins rpyarpa types coins including gold coins copper coins lead coins mentioned,6.74,"immediate,precursor,rupee,rpiyathe,silver,coin,weighing,grains,minted,northern,india,sher,shah,suri,brief,rule,later,adopted,standardized,mughal,empire,weight,remained,unchanged,end,mughals,th,century,pini,mentions,rpya,unclear,referring,coinage,arthashastra,written,chanakya,prime,minister,maurya,emperor,chandragupta,maurya,mentions,silver,coins,rpyarpa,types,coins,including,gold,coins,copper,coins,lead,coins,mentioned",0.00,rupee
"the history of the indian rupee traces back to ancient india in circa th century bce ancient india was one of the earliest issuers of coins in the world along with the chinese wen and lydian staters
",history indian rupee traces ancient india circa th century bce ancient india earliest issuers coins world chinese wen lydian staters,8.54,"history,indian,rupee,traces,ancient,india,circa,th,century,bce,ancient,india,earliest,issuers,coins,world,chinese,wen,lydian,staters",0.00,rupee
"historically the rupee was a silver coin this had severe consequences in the nineteenth century when the strongest economies in the world were on the gold standard  the discovery of large quantities of silver in the united states and several european colonies caused the panic of  which resulted in a decline in the value of silver relative to gold devaluing indias standard currency this event was known as the fall of the rupee in britain the long depression resulted in bankruptcies escalating unemployment a halt in public works and a major trade slump that lasted until 
",historically rupee silver coin severe consequences nineteenth century strongest economies world gold standard discovery large quantities silver united states european colonies caused panic resulted decline value silver relative gold devaluing indias standard currency event known fall rupee britain long depression resulted bankruptcies escalating unemployment halt public works major trade slump lasted,7.81,"historically,rupee,silver,coin,severe,consequences,nineteenth,century,strongest,economies,world,gold,standard,discovery,large,quantities,silver,united,states,european,colonies,caused,panic,resulted,decline,value,silver,relative,gold,devaluing,indias,standard,currency,event,known,fall,rupee,britain,long,depression,resulted,bankruptcies,escalating,unemployment,halt,public,works,major,trade,slump,lasted",0.00,rupee
"india was unaffected by the imperial order in council of  which attempted to introduce british sterling coinage to the british colonies india at that time was controlled by the british east india company the silver rupee coin continued as the currency of india through the british raj and beyond in  british india adopted a mono metallic silver standard based on the rupee coin this decision was influenced by a letter written by lord liverpool in  extolling the virtues of mono metallism
",india unaffected imperial order council attempted introduce british sterling coinage british colonies india time controlled british east india company silver rupee coin continued currency india british raj british india adopted mono metallic silver standard based rupee coin decision influenced letter written lord liverpool extolling virtues mono metallism,6.95,"india,unaffected,imperial,order,council,attempted,introduce,british,sterling,coinage,british,colonies,india,time,controlled,british,east,india,company,silver,rupee,coin,continued,currency,india,british,raj,british,india,adopted,mono,metallic,silver,standard,based,rupee,coin,decision,influenced,letter,written,lord,liverpool,extolling,virtues,mono,metallism",0.00,rupee
"following the first war of independence in  the british government took direct control of india from  gold sovereigns were produced en masse at the royal mint in sydney in an  attempt to make the british gold sovereign the imperial coin the treasuries in bombay and calcutta were instructed to receive  gold sovereigns therefore these gold sovereigns never left the vaults as the british government gave up hope of replacing the rupee in india with the pound sterling it realised for the same reason it could not replace the silver dollar in the straits settlements with the indian rupee  since the silver crisis of  several nations switched over to a gold exchange standard  including india in the s
",following war independence british government took direct control india gold sovereigns produced en masse royal mint sydney attempt british gold sovereign imperial coin treasuries bombay calcutta instructed receive gold sovereigns gold sovereigns left vaults british government gave hope replacing rupee india pound sterling realised reason replace silver dollar straits settlements indian rupee silver crisis nations switched gold exchange standard including india,7.99,"following,war,independence,british,government,took,direct,control,india,gold,sovereigns,produced,en,masse,royal,mint,sydney,attempt,british,gold,sovereign,imperial,coin,treasuries,bombay,calcutta,instructed,receive,gold,sovereigns,gold,sovereigns,left,vaults,british,government,gave,hope,replacing,rupee,india,pound,sterling,realised,reason,replace,silver,dollar,straits,settlements,indian,rupee,silver,crisis,nations,switched,gold,exchange,standard,including,india",0.00,rupee
"however the price of gold in india on the basis of the official exchange rate of the rupee around sd was lower than the price prevailing abroad practically throughout the disparity in prices made the export of the metal profitable which phenomenon continued for almost a decade thus in  there were net exports of  million ounces valued at rs  million in the following year both the quantity and the price rose further net exports totaling  million ounces valued at rs  million in the ten years ended march  total net exports were of the order of  million ounces  valued at about rs  billion or an average price of rs    per tola
",price gold india basis official exchange rate rupee sd lower price prevailing abroad practically disparity prices export metal profitable phenomenon continued decade net exports million ounces valued rs million following year quantity price rose net exports totaling million ounces valued rs million years ended march total net exports order million ounces valued rs billion average price rs tola,8.27,"price,gold,india,basis,official,exchange,rate,rupee,sd,lower,price,prevailing,abroad,practically,disparity,prices,export,metal,profitable,phenomenon,continued,decade,net,exports,million,ounces,valued,rs,million,following,year,quantity,price,rose,net,exports,totaling,million,ounces,valued,rs,million,years,ended,march,total,net,exports,order,million,ounces,valued,rs,billion,average,price,rs,tola",0.00,rupee
"in the autumn of   there was danger of uprisings in india  which would handicap seriously british participation in the world war in convertibility  would lead to a run on post office savings banks  it would prevent the further expansion of  note issues and because a rise of prices in paper currency that would greatly increase the cost of obtaining war supplies for export to have reduced the silver content of this historic rupee coin might well have caused such popular distrust of the government as to have precipitated an internal crisis which would have been fatal to british success in the war
",autumn danger uprisings india handicap seriously british participation world war convertibility lead run post office savings banks prevent expansion note issues rise prices paper currency greatly increase cost obtaining war supplies export reduced silver content historic rupee coin caused popular distrust government precipitated internal crisis fatal british success war,8.82,"autumn,danger,uprisings,india,handicap,seriously,british,participation,world,war,convertibility,lead,run,post,office,savings,banks,prevent,expansion,note,issues,rise,prices,paper,currency,greatly,increase,cost,obtaining,war,supplies,export,reduced,silver,content,historic,rupee,coin,caused,popular,distrust,government,precipitated,internal,crisis,fatal,british,success,war",0.00,rupee
"the indian rupee replaced the danish indian rupee in  the french indian rupee in  and the portuguese indian escudo in  following the independence of india in  and the accession of the princely states to the new union the indian rupee replaced all the currencies of the previously autonomous states  some of the states had issued rupees equal to those issued by the british  other currencies  had different values
",indian rupee replaced danish indian rupee french indian rupee portuguese indian escudo following independence india accession princely states new union indian rupee replaced currencies previously autonomous states states issued rupees equal issued british currencies different values,7.75,"indian,rupee,replaced,danish,indian,rupee,french,indian,rupee,portuguese,indian,escudo,following,independence,india,accession,princely,states,new,union,indian,rupee,replaced,currencies,previously,autonomous,states,states,issued,rupees,equal,issued,british,currencies,different,values",0.00,rupee
"the values of the subdivisions of the rupee during british rule  were
",values subdivisions rupee british rule,10.00,"values,subdivisions,rupee,british,rule",0.00,rupee
