Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the invasion of poland   was a joint attack on the republic of poland by nazi germany the slovak republic and the soviet union which marked the beginning of world war ii the german invasion began on  september  one week after the signing of the molotovribbentrop pact between germany and the soviet union and one day after the supreme soviet of the soviet union had approved the pact the soviets invaded poland on  september the campaign ended on  october with germany and the soviet union dividing and annexing the whole of poland under the terms of the germansoviet frontier treaty the invasion is also known in poland as the september campaign  or  defensive war  and known in germany as the poland campaign 
",invasion poland joint attack republic poland nazi germany slovak republic soviet union marked beginning world war ii german invasion began september week signing molotovribbentrop pact germany soviet union day supreme soviet soviet union approved pact soviets invaded poland september campaign ended october germany soviet union dividing annexing poland terms germansoviet frontier treaty invasion known poland september campaign defensive war known germany poland campaign,8.15,"invasion,poland,joint,attack,republic,poland,nazi,germany,slovak,republic,soviet,union,marked,beginning,world,war,ii,german,invasion,began,september,week,signing,molotovribbentrop,pact,germany,soviet,union,day,supreme,soviet,soviet,union,approved,pact,soviets,invaded,poland,september,campaign,ended,october,germany,soviet,union,dividing,annexing,poland,terms,germansoviet,frontier,treaty,invasion,known,poland,september,campaign,defensive,war,known,germany,poland,campaign",0.00,poland
"german forces invaded poland from the north south and west the morning after the gleiwitz incident slovak military forces advanced alongside the germans in northern slovakia as the wehrmacht advanced polish forces withdrew from their forward bases of operation close to the germanypoland border to more established defense lines to the east after the mid september polish defeat in the battle of the bzura the germans gained an undisputed advantage polish forces then withdrew to the southeast where they prepared for a long defence of the romanian bridgehead and awaited expected support and relief from france and the united kingdom on  september based on their alliance agreements with poland the united kingdom and france declared war on germany in the end their aid to poland was very limited france invaded a small part of germany in the saar offensive and the polish army was effectively defeated even before the british expeditionary force could be transported to europe with the bulk of the bef in france by the end of september
",german forces invaded poland north south west morning gleiwitz incident slovak military forces advanced alongside germans northern slovakia wehrmacht advanced polish forces withdrew forward bases operation close germanypoland border established defense lines east mid september polish defeat battle bzura germans gained undisputed advantage polish forces withdrew southeast prepared long defence romanian bridgehead awaited expected support relief france united kingdom september based alliance agreements poland united kingdom france declared war germany end aid poland limited france invaded small germany saar offensive polish army effectively defeated british expeditionary force transported europe bulk bef france end september,7.32,"german,forces,invaded,poland,north,south,west,morning,gleiwitz,incident,slovak,military,forces,advanced,alongside,germans,northern,slovakia,wehrmacht,advanced,polish,forces,withdrew,forward,bases,operation,close,germanypoland,border,established,defense,lines,east,mid,september,polish,defeat,battle,bzura,germans,gained,undisputed,advantage,polish,forces,withdrew,southeast,prepared,long,defence,romanian,bridgehead,awaited,expected,support,relief,france,united,kingdom,september,based,alliance,agreements,poland,united,kingdom,france,declared,war,germany,end,aid,poland,limited,france,invaded,small,germany,saar,offensive,polish,army,effectively,defeated,british,expeditionary,force,transported,europe,bulk,bef,france,end,september",0.00,poland
"on  september the soviet red army invaded eastern poland the territory beyond the curzon line that fell into the soviet sphere of influence according to the secret protocol of the molotovribbentrop pact this rendered the polish plan of defence obsolete facing a second front the polish government concluded the defence of the romanian bridgehead was no longer feasible and ordered an emergency evacuation of all troops to neutral romania on  october following the polish defeat at the battle of kock german and soviet forces gained full control over poland the success of the invasion marked the end of the second polish republic though poland never formally surrendered
",september soviet red army invaded eastern poland territory curzon line fell soviet sphere influence according secret protocol molotovribbentrop pact rendered polish plan defence obsolete facing second polish government concluded defence romanian bridgehead longer feasible ordered emergency evacuation troops neutral romania october following polish defeat battle kock german soviet forces gained control poland success invasion marked end second polish republic poland formally surrendered,6.71,"september,soviet,red,army,invaded,eastern,poland,territory,curzon,line,fell,soviet,sphere,influence,according,secret,protocol,molotovribbentrop,pact,rendered,polish,plan,defence,obsolete,facing,second,polish,government,concluded,defence,romanian,bridgehead,longer,feasible,ordered,emergency,evacuation,troops,neutral,romania,october,following,polish,defeat,battle,kock,german,soviet,forces,gained,control,poland,success,invasion,marked,end,second,polish,republic,poland,formally,surrendered",0.00,poland
"on  october after an initial period of military administration germany directly annexed western poland and the former free city of danzig and placed the remaining block of territory under the administration of the newly established general government the soviet union incorporated its newly acquired areas into its constituent byelorussian and ukrainian republics and immediately started a campaign of sovietization in the aftermath of the invasion a collective of underground resistance organizations formed the polish underground state within the territory of the former polish state many of the military exiles who escaped poland joined the polish armed forces in the west an armed force loyal to the polish government in exile
",october initial period military administration germany directly annexed western poland free city danzig placed remaining block territory administration newly established general government soviet union incorporated newly acquired areas constituent byelorussian ukrainian republics immediately started campaign sovietization aftermath invasion collective underground resistance organizations formed polish underground state territory polish state military exiles escaped poland joined polish armed forces west armed force loyal polish government exile,6.29,"october,initial,period,military,administration,germany,directly,annexed,western,poland,free,city,danzig,placed,remaining,block,territory,administration,newly,established,general,government,soviet,union,incorporated,newly,acquired,areas,constituent,byelorussian,ukrainian,republics,immediately,started,campaign,sovietization,aftermath,invasion,collective,underground,resistance,organizations,formed,polish,underground,state,territory,polish,state,military,exiles,escaped,poland,joined,polish,armed,forces,west,armed,force,loyal,polish,government,exile",0.00,poland
"on  january  the national socialist german workers party under its leader adolf hitler came to power in germany while some dissident elements within the weimar republic had long sought to annex territories belonging to poland it was hitlers own idea and not a realization of any pre  weimar plans to invade and partition poland annex bohemia and austria and create satellite or puppet states economically subordinate to germany as part of this long term policy hitler at first pursued a policy of rapprochement with poland trying to improve opinion in germany culminating in the germanpolish non aggression pact of  earlier hitlers foreign policy worked to weaken ties between poland and france and attempted to manoeuvre poland into the anti comintern pact forming a cooperative front against the soviet union poland would be granted territory to its northeast in ukraine and belarus if it agreed to wage war against the soviet union but the concessions the poles were expected to make meant that their homeland would become largely dependent on germany functioning as little more than a client state the poles feared that their independence would eventually be threatened altogether historically hitler had already denounced the right of poland to independence in  writing that poles and czechs were a rabble not worth a penny more than the inhabitants of sudan or india how can they demand the rights of independent states
",january national socialist german workers party leader adolf hitler came power germany dissident elements weimar republic long sought annex territories belonging poland hitlers idea realization pre weimar plans invade partition poland annex bohemia austria create satellite puppet states economically subordinate germany long term policy hitler pursued policy rapprochement poland trying improve opinion germany culminating germanpolish non aggression pact earlier hitlers foreign policy worked weaken ties poland france attempted manoeuvre poland anti comintern pact forming cooperative soviet union poland granted territory northeast ukraine belarus agreed wage war soviet union concessions poles expected meant homeland largely dependent germany functioning little client state poles feared independence eventually threatened altogether historically hitler denounced right poland independence writing poles czechs rabble worth penny inhabitants sudan india demand rights independent states,7.36,"january,national,socialist,german,workers,party,leader,adolf,hitler,came,power,germany,dissident,elements,weimar,republic,long,sought,annex,territories,belonging,poland,hitlers,idea,realization,pre,weimar,plans,invade,partition,poland,annex,bohemia,austria,create,satellite,puppet,states,economically,subordinate,germany,long,term,policy,hitler,pursued,policy,rapprochement,poland,trying,improve,opinion,germany,culminating,germanpolish,non,aggression,pact,earlier,hitlers,foreign,policy,worked,weaken,ties,poland,france,attempted,manoeuvre,poland,anti,comintern,pact,forming,cooperative,soviet,union,poland,granted,territory,northeast,ukraine,belarus,agreed,wage,war,soviet,union,concessions,poles,expected,meant,homeland,largely,dependent,germany,functioning,little,client,state,poles,feared,independence,eventually,threatened,altogether,historically,hitler,denounced,right,poland,independence,writing,poles,czechs,rabble,worth,penny,inhabitants,sudan,india,demand,rights,independent,states",0.00,poland
"the population of the free city of danzig was strongly in favour of annexation by germany as were many of the ethnic german inhabitants of the polish territory that separated the german exclave of east prussia from the rest of the reich the polish corridor constituted land long disputed by poland and germany and was inhabited by a polish majority the corridor had become a part of poland after the treaty of versailles many germans also wanted the urban port city of danzig and its environs  to be reincorporated into germany danzig city had a german majority and had been separated from germany after versailles and made into the nominally independent free city hitler sought to use this as casus belli a reason for war reverse the post  territorial losses and on many occasions had appealed to german nationalism promising to liberate the german minority still in the corridor as well as danzig
",population free city danzig strongly favour annexation germany ethnic german inhabitants polish territory separated german exclave east prussia rest reich polish corridor constituted land long disputed poland germany inhabited polish majority corridor poland treaty versailles germans wanted urban port city danzig environs reincorporated germany danzig city german majority separated germany versailles nominally independent free city hitler sought use casus belli reason war reverse post territorial losses occasions appealed german nationalism promising liberate german minority corridor danzig,8.57,"population,free,city,danzig,strongly,favour,annexation,germany,ethnic,german,inhabitants,polish,territory,separated,german,exclave,east,prussia,rest,reich,polish,corridor,constituted,land,long,disputed,poland,germany,inhabited,polish,majority,corridor,poland,treaty,versailles,germans,wanted,urban,port,city,danzig,environs,reincorporated,germany,danzig,city,german,majority,separated,germany,versailles,nominally,independent,free,city,hitler,sought,use,casus,belli,reason,war,reverse,post,territorial,losses,occasions,appealed,german,nationalism,promising,liberate,german,minority,corridor,danzig",0.00,poland
"the invasion was referred to by germany as the  defensive war  since hitler proclaimed that poland had attacked germany and that germans in poland are persecuted with a bloody terror and are driven from their homes the series of border violations which are unbearable to a great power prove that the poles no longer are willing to respect the german frontier
",invasion referred germany defensive war hitler proclaimed poland attacked germany germans poland persecuted bloody terror driven homes series border violations unbearable great power prove poles longer willing respect german frontier,8.64,"invasion,referred,germany,defensive,war,hitler,proclaimed,poland,attacked,germany,germans,poland,persecuted,bloody,terror,driven,homes,series,border,violations,unbearable,great,power,prove,poles,longer,willing,respect,german,frontier",0.00,poland
"poland participated with germany in the partition of czechoslovakia that followed the munich agreement although they were not part of the agreement it coerced czechoslovakia to surrender the region of esk tn by issuing an ultimatum to that effect on  september  which was accepted by czechoslovakia on  october this region had a polish majority and had been disputed between czechoslovakia and poland in the aftermath of world war i the polish annexation of slovak territory  later served as the justification for the slovak state to join the german invasion
",poland participated germany partition czechoslovakia followed munich agreement agreement coerced czechoslovakia surrender region esk tn issuing ultimatum effect september accepted czechoslovakia october region polish majority disputed czechoslovakia poland aftermath world war polish annexation slovak territory later served justification slovak state join german invasion,8.23,"poland,participated,germany,partition,czechoslovakia,followed,munich,agreement,agreement,coerced,czechoslovakia,surrender,region,esk,tn,issuing,ultimatum,effect,september,accepted,czechoslovakia,october,region,polish,majority,disputed,czechoslovakia,poland,aftermath,world,war,polish,annexation,slovak,territory,later,served,justification,slovak,state,join,german,invasion",0.00,poland
"by  germany began to increase its demands for danzig while proposing that an extraterritorial roadway part of the reichsautobahn system be built in order to connect east prussia with germany proper running through the polish corridor poland rejected this proposal fearing that after accepting these demands it would become increasingly subject to the will of germany and eventually lose its independence as the czechs had polish leaders also distrusted hitler the british were also wary of germanys increasing strength and assertiveness threatening its balance of power strategy on  march  poland formed a military alliance with the united kingdom and with france believing that polish independence and territorial integrity would be defended with their support if it were to be threatened by germany on the other hand british prime minister neville chamberlain and his foreign secretary lord halifax still hoped to strike a deal with hitler regarding danzig  chamberlain and his supporters believed war could be avoided and hoped germany would agree to leave the rest of poland alone german hegemony over central europe was also at stake in private hitler said in may that danzig was not the important issue to him but pursuit of lebensraum for germany
",germany began increase demands danzig proposing extraterritorial roadway reichsautobahn system built order connect east prussia germany proper running polish corridor poland rejected proposal fearing accepting demands increasingly subject germany eventually lose independence czechs polish leaders distrusted hitler british wary germanys increasing strength assertiveness threatening balance power strategy march poland formed military alliance united kingdom france believing polish independence territorial integrity defended support threatened germany hand british prime minister neville chamberlain foreign secretary lord halifax hoped strike deal hitler danzig chamberlain supporters believed war avoided hoped germany agree leave rest poland german hegemony central europe stake private hitler said danzig important issue pursuit lebensraum germany,7.50,"germany,began,increase,demands,danzig,proposing,extraterritorial,roadway,reichsautobahn,system,built,order,connect,east,prussia,germany,proper,running,polish,corridor,poland,rejected,proposal,fearing,accepting,demands,increasingly,subject,germany,eventually,lose,independence,czechs,polish,leaders,distrusted,hitler,british,wary,germanys,increasing,strength,assertiveness,threatening,balance,power,strategy,march,poland,formed,military,alliance,united,kingdom,france,believing,polish,independence,territorial,integrity,defended,support,threatened,germany,hand,british,prime,minister,neville,chamberlain,foreign,secretary,lord,halifax,hoped,strike,deal,hitler,danzig,chamberlain,supporters,believed,war,avoided,hoped,germany,agree,leave,rest,poland,german,hegemony,central,europe,stake,private,hitler,said,danzig,important,issue,pursuit,lebensraum,germany",0.00,poland
"with tensions mounting germany turned to aggressive diplomacy on  april  hitler unilaterally withdrew from both the german polish non aggression pact of  and the anglo german naval agreement of  talks over danzig and the corridor broke down and months passed without diplomatic interaction between germany and poland during this interim period the germans learned that france and britain had failed to secure an alliance with the soviet union against germany and that the soviet union was interested in an alliance with germany against poland hitler had already issued orders to prepare for a possible solution of the polish problem by military means through the case white scenario
",tensions mounting germany turned aggressive diplomacy april hitler unilaterally withdrew german polish non aggression pact anglo german naval agreement talks danzig corridor broke months passed diplomatic interaction germany poland interim period germans learned france britain failed secure alliance soviet union germany soviet union interested alliance germany poland hitler issued orders prepare possible solution polish problem military means case white scenario,6.88,"tensions,mounting,germany,turned,aggressive,diplomacy,april,hitler,unilaterally,withdrew,german,polish,non,aggression,pact,anglo,german,naval,agreement,talks,danzig,corridor,broke,months,passed,diplomatic,interaction,germany,poland,interim,period,germans,learned,france,britain,failed,secure,alliance,soviet,union,germany,soviet,union,interested,alliance,germany,poland,hitler,issued,orders,prepare,possible,solution,polish,problem,military,means,case,white,scenario",0.00,poland
