Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"irana officially the islamic republic of iranb and also called persiac is a country located in western asia it is bordered by iraq and turkey to the west by azerbaijan and armenia to the northwest by the caspian sea and turkmenistan to the north by afghanistan and pakistan to the east and by the gulf of oman and the persian gulf to the south it covers an area of  million square kilometres  making it the th largest country iran has an estimated population of  million making it the th most populous country in the world and the second largest in the middle east its largest cities in descending order are the capital tehran mashhad isfahan karaj shiraz and tabriz
",irana officially islamic republic iranb called persiac country located western asia bordered iraq turkey west azerbaijan armenia northwest caspian sea turkmenistan north afghanistan pakistan east gulf oman persian gulf south covers area million square kilometres making th largest country iran estimated population million making th populous country world second largest middle east largest cities descending order capital tehran mashhad isfahan karaj shiraz tabriz,8.40,"irana,officially,islamic,republic,iranb,called,persiac,country,located,western,asia,bordered,iraq,turkey,west,azerbaijan,armenia,northwest,caspian,sea,turkmenistan,north,afghanistan,pakistan,east,gulf,oman,persian,gulf,south,covers,area,million,square,kilometres,making,th,largest,country,iran,estimated,population,million,making,th,populous,country,world,second,largest,middle,east,largest,cities,descending,order,capital,tehran,mashhad,isfahan,karaj,shiraz,tabriz",0.00,iran
"the country is home to one of the worlds oldest civilizations beginning with the formation of the elamite kingdoms in the fourth millennium because it was first unified by the medes an ancient iranian people in the seventh century because and reached its territorial height in the sixth century because when cyrus the great founded the achaemenid persian empire which became one of the largest empires in history and a superpower the achaemenid empire fell to alexander the great in the fourth century because and was subsequently divided into several hellenistic states an iranian rebellion established the parthian empire in the third century because which was succeeded in the third century ad by the sassanid empire a major world power for the next four centuries arab muslims conquered the empire in the seventh century ad which led to the islamization of iran it subsequently became a major center of islamic culture and learning with its art literature philosophy and architecture spreading across the muslim world and beyond during the islamic golden age over the next two centuries a series of native iranian muslim dynasties emerged before the seljuk turks and the mongols conquered the region in the th century the native safavids re established a unified iranian state and national identity and converted the country to shia islam under the reign of nader shah in the th century iran presided over the most powerful military in the world though by the th century a series of conflicts with the russian empire led to significant territorial losses the early th century saw the persian constitutional revolution efforts to nationalize its fossil fuel supply from western companies led to an anglo american coup in  which resulted in greater autocratic rule under mohammad reza pahlavi and growing western political influence he went on to launch a far reaching series of reforms in  after the iranian revolution the current islamic republic was established in  by ruhollah khomeini who became the countrys first supreme leader
",country home worlds oldest civilizations beginning formation elamite kingdoms fourth millennium unified medes ancient iranian people seventh century reached territorial height sixth century cyrus great founded achaemenid persian empire largest empires history superpower achaemenid empire fell alexander great fourth century subsequently divided hellenistic states iranian rebellion established parthian empire century succeeded century ad sassanid empire major world power centuries arab muslims conquered empire seventh century ad led islamization iran subsequently major center islamic culture learning art literature philosophy architecture spreading muslim world islamic golden age centuries series native iranian muslim dynasties emerged seljuk turks mongols conquered region th century native safavids established unified iranian state national identity converted country shia islam reign nader shah th century iran presided powerful military world th century series conflicts russian empire led significant territorial losses early th century saw persian constitutional revolution efforts nationalize fossil fuel supply western companies led anglo american coup resulted greater autocratic rule mohammad reza pahlavi growing western political influence went launch far reaching series reforms iranian revolution current islamic republic established ruhollah khomeini countrys supreme leader,7.51,"country,home,worlds,oldest,civilizations,beginning,formation,elamite,kingdoms,fourth,millennium,unified,medes,ancient,iranian,people,seventh,century,reached,territorial,height,sixth,century,cyrus,great,founded,achaemenid,persian,empire,largest,empires,history,superpower,achaemenid,empire,fell,alexander,great,fourth,century,subsequently,divided,hellenistic,states,iranian,rebellion,established,parthian,empire,century,succeeded,century,ad,sassanid,empire,major,world,power,centuries,arab,muslims,conquered,empire,seventh,century,ad,led,islamization,iran,subsequently,major,center,islamic,culture,learning,art,literature,philosophy,architecture,spreading,muslim,world,islamic,golden,age,centuries,series,native,iranian,muslim,dynasties,emerged,seljuk,turks,mongols,conquered,region,th,century,native,safavids,established,unified,iranian,state,national,identity,converted,country,shia,islam,reign,nader,shah,th,century,iran,presided,powerful,military,world,th,century,series,conflicts,russian,empire,led,significant,territorial,losses,early,th,century,saw,persian,constitutional,revolution,efforts,nationalize,fossil,fuel,supply,western,companies,led,anglo,american,coup,resulted,greater,autocratic,rule,mohammad,reza,pahlavi,growing,western,political,influence,went,launch,far,reaching,series,reforms,iranian,revolution,current,islamic,republic,established,ruhollah,khomeini,countrys,supreme,leader",0.00,iran
"the government of iran is an islamic theocracy that includes some elements of a presidential system with the ultimate authority vested in an autocratic supreme leader a position held by ali khamenei since khomeinis death in  the iranian government is authoritarian and has attracted widespread criticism for its significant constraints and abuses against human rights and civil liberties including several violent suppressions of mass protests unfair elections and limited rights for women and for children it is also a focal point for shia islam within the middle east countering the long existing arab and sunni hegemony within the region since the iranian revolution the country is widely considered to be the most determined adversary of israel and also of saudi arabia iran is also considered to be one of the biggest players within middle eastern affairs with its government being involved both directly and indirectly in the majority of modern middle eastern conflicts
",government iran islamic theocracy includes elements presidential system ultimate authority vested autocratic supreme leader position held ali khamenei khomeinis death iranian government authoritarian attracted widespread criticism significant constraints abuses human rights civil liberties including violent suppressions mass protests unfair elections limited rights women children focal point shia islam middle east countering long existing arab sunni hegemony region iranian revolution country widely considered determined adversary israel saudi arabia iran considered biggest players middle eastern affairs government involved directly indirectly majority modern middle eastern conflicts,7.17,"government,iran,islamic,theocracy,includes,elements,presidential,system,ultimate,authority,vested,autocratic,supreme,leader,position,held,ali,khamenei,khomeinis,death,iranian,government,authoritarian,attracted,widespread,criticism,significant,constraints,abuses,human,rights,civil,liberties,including,violent,suppressions,mass,protests,unfair,elections,limited,rights,women,children,focal,point,shia,islam,middle,east,countering,long,existing,arab,sunni,hegemony,region,iranian,revolution,country,widely,considered,determined,adversary,israel,saudi,arabia,iran,considered,biggest,players,middle,eastern,affairs,government,involved,directly,indirectly,majority,modern,middle,eastern,conflicts",0.00,iran
"iran is a regional and middle power with a geopolitically strategic location in the asian continent it is a founding member of the united nations the eco the oic and the opec it has large reserves of fossil fuelsincluding the second largest natural gas supply and the third largest proven oil reserves the countrys rich cultural legacy is reflected in part by its  unesco world heritage sites historically a multi ethnic country iran remains a pluralistic society comprising numerous ethnic linguistic and religious groups with the largest of these being persians azeris kurds mazandaranis and lurs
",iran regional middle power geopolitically strategic location asian continent founding member united nations eco oic opec large reserves fossil fuelsincluding second largest natural gas supply largest proven oil reserves countrys rich cultural legacy reflected unesco world heritage sites historically multi ethnic country iran remains pluralistic society comprising numerous ethnic linguistic religious groups largest persians azeris kurds mazandaranis lurs,6.34,"iran,regional,middle,power,geopolitically,strategic,location,asian,continent,founding,member,united,nations,eco,oic,opec,large,reserves,fossil,fuelsincluding,second,largest,natural,gas,supply,largest,proven,oil,reserves,countrys,rich,cultural,legacy,reflected,unesco,world,heritage,sites,historically,multi,ethnic,country,iran,remains,pluralistic,society,comprising,numerous,ethnic,linguistic,religious,groups,largest,persians,azeris,kurds,mazandaranis,lurs",0.00,iran
"the term iran derives directly from middle persian rn first attested in a third century inscription at naqsh e rostam with the accompanying parthian inscription using the term aryn in reference to the iranians the middle iranian rn and aryn are oblique plural forms of gentilic nouns r   and ary   both deriving from proto iranian language arya   recognized as a derivative of proto indo european language ar yo  meaning one who assembles  in the iranian languages the gentilic is attested as a self identifier included in ancient inscriptions and the literature of the avestad and remains also in other iranian ethnic names alan  and iron  according to the iranian mythology the countrys name comes from the name of iraj a legendary prince and shah who was killed by his brothers
historically iran has been referred to as persia by the west due mainly to the writings of greek historians who referred to all of iran as perss  meaning land of the persians while persis itself was one of the provinces of ancient iran that is today known as fars as the most extensive interaction the ancient greeks had with any outsider was with the persians the term persisted even long after the greco persian wars 
",term iran derives directly middle persian rn attested century inscription naqsh e rostam accompanying parthian inscription term aryn reference iranians middle iranian rn aryn oblique plural forms gentilic nouns r ary deriving proto iranian language arya recognized derivative proto indo european language ar yo meaning assembles iranian languages gentilic attested self identifier included ancient inscriptions literature avestad remains iranian ethnic names alan iron according iranian mythology countrys comes iraj legendary prince shah killed brothershistorically iran referred persia west mainly writings greek historians referred iran perss meaning land persians persis provinces ancient iran today known fars extensive interaction ancient greeks outsider persians term persisted long greco persian wars,8.08,"term,iran,derives,directly,middle,persian,rn,attested,century,inscription,naqsh,e,rostam,accompanying,parthian,inscription,term,aryn,reference,iranians,middle,iranian,rn,aryn,oblique,plural,forms,gentilic,nouns,r,ary,deriving,proto,iranian,language,arya,recognized,derivative,proto,indo,european,language,ar,yo,meaning,assembles,iranian,languages,gentilic,attested,self,identifier,included,ancient,inscriptions,literature,avestad,remains,iranian,ethnic,names,alan,iron,according,iranian,mythology,countrys,comes,iraj,legendary,prince,shah,killed,brothershistorically,iran,referred,persia,west,mainly,writings,greek,historians,referred,iran,perss,meaning,land,persians,persis,provinces,ancient,iran,today,known,fars,extensive,interaction,ancient,greeks,outsider,persians,term,persisted,long,greco,persian,wars",0.00,iran
"in  reza shah requested the international community to refer to the country by its native name iran on nowruz falling on  march    pm tehran time effective  march  that year opposition to the name change led to the reversal of the decision in  and professor ehsan yarshater editor of encyclopdia iranica propagated a move to use persia and iran interchangeably today both iran and persia are used in cultural contexts while iran remains mandatory in official state contexts
",reza shah requested international community refer country native iran nowruz falling march pm tehran time effective march year opposition change led reversal decision professor ehsan yarshater editor encyclopdia iranica propagated use persia iran interchangeably today iran persia cultural contexts iran remains mandatory official state contexts,6.75,"reza,shah,requested,international,community,refer,country,native,iran,nowruz,falling,march,pm,tehran,time,effective,march,year,opposition,change,led,reversal,decision,professor,ehsan,yarshater,editor,encyclopdia,iranica,propagated,use,persia,iran,interchangeably,today,iran,persia,cultural,contexts,iran,remains,mandatory,official,state,contexts",0.00,iran
"historical and cultural usage of the word iran is not restricted to the modern state proper greater iran  refers to territories of the iranian cultural and linguistic zones in addition to modern iran it includes portions of the caucasus anatolia mesopotamia afghanistan and central asiapage needed
",historical cultural usage word iran restricted modern state proper greater iran refers territories iranian cultural linguistic zones addition modern iran includes portions caucasus anatolia mesopotamia afghanistan central asiapageneeded,5.70,"historical,cultural,usage,word,iran,restricted,modern,state,proper,greater,iran,refers,territories,iranian,cultural,linguistic,zones,addition,modern,iran,includes,portions,caucasus,anatolia,mesopotamia,afghanistan,central,asiapageneeded",0.00,iran
"the persian pronunciation of iran is in common commonwealth english pronunciations of iran are listed in the oxford english dictionary as rn and rn while american english dictionaries such as merriam websters provide pronunciations which map to rn  rn arn or likewise in random house websters unabridged dictionary as rn rn arn the cambridge dictionary lists rn as the british pronunciation and rn as the american pronunciation similarly glasgow based collins english dictionary provides both english english and american english pronunciations the pronunciation guide from voice of america also provides rn
",persian pronunciation iran common commonwealth english pronunciations iran listed oxford english dictionary rn rn american english dictionaries merriam websters provide pronunciations map rn rn arn likewise random house websters unabridged dictionary rn rn arn cambridge dictionary lists rn british pronunciation rn american pronunciation similarly glasgow based collins english dictionary provides english english american english pronunciations pronunciation guide voice america provides rn,4.93,"persian,pronunciation,iran,common,commonwealth,english,pronunciations,iran,listed,oxford,english,dictionary,rn,rn,american,english,dictionaries,merriam,websters,provide,pronunciations,map,rn,rn,arn,likewise,random,house,websters,unabridged,dictionary,rn,rn,arn,cambridge,dictionary,lists,rn,british,pronunciation,rn,american,pronunciation,similarly,glasgow,based,collins,english,dictionary,provides,english,english,american,english,pronunciations,pronunciation,guide,voice,america,provides,rn",0.00,iran
"the american english pronunciation arn may be heard in yous media max fisher in the washington post prescribed irn for iran while proscribing arn the american heritage dictionary of the english language in the dictionarys  usage ballot addressed the topic of the pronunciations of iran and iraq according to this survey the pronunciations rn and rn were deemed almost equally acceptable while rn was preferred by most panelists participating in the ballot with regard to the arn pronunciation more than  of the panelists deemed it unacceptable among the reasons given by those panelists were that arn has hawkish connotations and sounds angrier xenophobic ignorant and not  cosmopolitan the arn pronunciation remains standard and acceptable reflected in the entry for iran in the american heritage dictionary itself as well as in each of the other major dictionaries of american english
",american english pronunciation arn heard yous media max fisher washington post prescribed irn iran proscribing arn american heritage dictionary english language dictionarys usage ballot addressed topic pronunciations iran iraq according survey pronunciations rn rn deemed equally acceptable rn preferred panelists participating ballot regard arn pronunciation panelists deemed unacceptable reasons given panelists arn hawkish connotations sounds angrier xenophobic ignorant cosmopolitan arn pronunciation remains standard acceptable reflected entry iran american heritage dictionary major dictionaries american english,7.33,"american,english,pronunciation,arn,heard,yous,media,max,fisher,washington,post,prescribed,irn,iran,proscribing,arn,american,heritage,dictionary,english,language,dictionarys,usage,ballot,addressed,topic,pronunciations,iran,iraq,according,survey,pronunciations,rn,rn,deemed,equally,acceptable,rn,preferred,panelists,participating,ballot,regard,arn,pronunciation,panelists,deemed,unacceptable,reasons,given,panelists,arn,hawkish,connotations,sounds,angrier,xenophobic,ignorant,cosmopolitan,arn,pronunciation,remains,standard,acceptable,reflected,entry,iran,american,heritage,dictionary,major,dictionaries,american,english",0.00,iran
"the earliest attested archaeological artifacts in iran like those excavated at kashafrud and ganj par in northern iran confirm a human presence in iran since the lower paleolithic irans neanderthal artifacts from the middle paleolithic have been found mainly in the zagros region at sites such as warwasi and yaftehpage needed from the tenth to the seventh millennium because early agricultural communities began to flourish in and around the zagros region in western iran including chogha golan chogha bonut and chogha mishpage needed
",earliest attested archaeological artifacts iran like excavated kashafrud ganj par northern iran confirm human presence iran lower paleolithic irans neanderthal artifacts middle paleolithic found mainly zagros region sites warwasi yaftehpageneeded tenth seventh millennium early agricultural communities began flourish zagros region western iran including chogha golan chogha bonut chogha mishpageneeded,5.97,"earliest,attested,archaeological,artifacts,iran,like,excavated,kashafrud,ganj,par,northern,iran,confirm,human,presence,iran,lower,paleolithic,irans,neanderthal,artifacts,middle,paleolithic,found,mainly,zagros,region,sites,warwasi,yaftehpageneeded,tenth,seventh,millennium,early,agricultural,communities,began,flourish,zagros,region,western,iran,including,chogha,golan,chogha,bonut,chogha,mishpageneeded",0.00,iran
