Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the rial  and rls  or ir in latin iso code irr is the official currency of iran
",rial rls ir latin iso code irr official currency iran,8.75,"rial,rls,ir,latin,iso,code,irr,official,currency,iran",0.00,rial
"there is no official symbol for the currency but the iranian standard isiri  defined a symbol for use on typewriters  and the two iranian standards isiri  and isiri  define a character code to be used for it the unicode standard has a compatibility character defined youfdfc  rial sign
",official symbol currency iranian standard isiri defined symbol use typewriters iranian standards isiri isiri define character code unicode standard compatibility character defined youfdfc rial sign,8.04,"official,symbol,currency,iranian,standard,isiri,defined,symbol,use,typewriters,iranian,standards,isiri,isiri,define,character,code,unicode,standard,compatibility,character,defined,youfdfc,rial,sign",0.00,rial
"a proposal has been agreed to by the iranian parliament to drop four zeros by replacing the rial with a new currency called the toman the name of a previous iranian currency at the rate of  toman   rialsclarification needed
",proposal agreed iranian parliament drop zeros replacing rial new currency called toman previous iranian currency rate toman rialsclarification needed,8.93,"proposal,agreed,iranian,parliament,drop,zeros,replacing,rial,new,currency,called,toman,previous,iranian,currency,rate,toman,rialsclarification,needed",0.00,rial
"the rial was first introduced in  as a coin worth  dinars or one eighth of a toman in  the rial ceased to be issued with the qiran subdivided into  shahi or  dinars and was worth one tenth of a toman being issued as part of a decimal system the rial replaced the qiran at par in  subdivided into  new dinars
",rial introduced coin worth dinars eighth toman rial ceased issued qiran subdivided shahi dinars worth tenth toman issued decimal system rial replaced qiran par subdivided new dinars,10.71,"rial,introduced,coin,worth,dinars,eighth,toman,rial,ceased,issued,qiran,subdivided,shahi,dinars,worth,tenth,toman,issued,decimal,system,rial,replaced,qiran,par,subdivided,new,dinars",0.00,rial
"in  the rial was pegged to sterling at a rate of   rls  the exchange rate was   rls  in    rls  in    rls  in    rls  in  and   rls  in  in  the rial was pegged to the yous dollar at usd   rls  the rate was us  rls  in  iran did not follow the dollars currency devaluation in  leading to a new peg of usd   rls  the dollar peg was dropped in citation needed
",rial pegged sterling rate rls exchange rate rls rls rls rls rls rial pegged yous dollar usd rls rate rls iran follow dollars currency devaluation leading new peg usd rls dollar peg dropped citation needed,9.78,"rial,pegged,sterling,rate,rls,exchange,rate,rls,rls,rls,rls,rls,rial,pegged,yous,dollar,usd,rls,rate,rls,iran,follow,dollars,currency,devaluation,leading,new,peg,usd,rls,dollar,peg,dropped,citation,needed",0.00,rial
"in  rls  equalled usd  the value of the rial declined precipitously after the islamic revolution because of capital flight from the country studies estimate that the flight of capital from iran shortly before and after the revolution in the range of  to  billion whereas on march   rls  equalled  in july   equalled rls 
",rls equalled usd value rial declined precipitously islamic revolution capital flight country studies estimate flight capital iran shortly revolution range billion march rls equalled july equalled rls,7.79,"rls,equalled,usd,value,rial,declined,precipitously,islamic,revolution,capital,flight,country,studies,estimate,flight,capital,iran,shortly,revolution,range,billion,march,rls,equalled,july,equalled,rls",0.00,rial
"although described as an  market rate the value of the iranian rial is tightly controlled by the central bank the state ownership of oil export earnings and its large reserves supervision of letters of credit together with current  and capital outflow account  outflows allows management of demand the central bank has allowed the rial to weaken in nominal terms  in order to support the competitiveness of non oil exports
",described market rate value iranian rial tightly controlled central bank state ownership oil export earnings large reserves supervision letters credit current capital outflow account outflows allows management demand central bank allowed rial weaken nominal terms order support competitiveness non oil exports,6.62,"described,market,rate,value,iranian,rial,tightly,controlled,central,bank,state,ownership,oil,export,earnings,large,reserves,supervision,letters,credit,current,capital,outflow,account,outflows,allows,management,demand,central,bank,allowed,rial,weaken,nominal,terms,order,support,competitiveness,non,oil,exports",0.00,rial
"monetary policy is facilitated by a network of  iranian run forex dealers in iran the rest of the middle east and europe according to the wall street journal and dealers the iranian government was selling us million daily to keep the rial exchange rate against the us dollar between rls  and rls  in  at times  the authorities weakened the national currency intentionally by withholding the supply of hard currency to earn more rial denominated income usually at times when the government faced a budget deficit
",monetary policy facilitated network iranian run forex dealers iran rest middle east europe according wall street journal dealers iranian government selling usmillion daily rial exchange rate dollar rls rls times authorities weakened national currency intentionally withholding supply hard currency earn rial denominated income usually times government faced budget deficit,7.03,"monetary,policy,facilitated,network,iranian,run,forex,dealers,iran,rest,middle,east,europe,according,wall,street,journal,dealers,iranian,government,selling,usmillion,daily,rial,exchange,rate,dollar,rls,rls,times,authorities,weakened,national,currency,intentionally,withholding,supply,hard,currency,earn,rial,denominated,income,usually,times,government,faced,budget,deficit",0.00,rial
"the unofficial rial to us dollar rate underwent severe fluctuations in january   eventually settling at rls  at the end of the period besides all the bad effects on the economy in general this had the effect of boosting the competitiveness of irans domestic industries abroad following president mahmoud ahmadinejads decision to liberalize the mechanism by which bank interest rates are set  cbi announced that it would be fixing the official rate of the rial against the dollar at rls  from january   and seek to meet all demand for foreign currency through banks
",unofficial rial dollar rate underwent severe fluctuations january eventually settling rls end period bad effects economy general effect boosting competitiveness irans domestic industries abroad following president mahmoud ahmadinejads decision liberalize mechanism bank interest rates set cbi announced fixing official rate rial dollar rls january seek meet demand foreign currency banks,7.43,"unofficial,rial,dollar,rate,underwent,severe,fluctuations,january,eventually,settling,rls,end,period,bad,effects,economy,general,effect,boosting,competitiveness,irans,domestic,industries,abroad,following,president,mahmoud,ahmadinejads,decision,liberalize,mechanism,bank,interest,rates,set,cbi,announced,fixing,official,rate,rial,dollar,rls,january,seek,meet,demand,foreign,currency,banks",0.00,rial
"as of june  the iranian rial has fallen almost five fold since the beginning of  and contributing to the record inflation reason cited by analysts is the fact that the government has been printing money in excess of the economic growth
",june iranian rial fallen fold beginning contributing record inflation reason cited analysts fact government printing money excess economic growth,9.32,"june,iranian,rial,fallen,fold,beginning,contributing,record,inflation,reason,cited,analysts,fact,government,printing,money,excess,economic,growth",0.00,rial
