Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
" iran
",iran,0.00,iran,0.00,iran
"iraqi invasion of iran 
",iraqi invasion iran,4.17,"iraqi,invasion,iran",0.00,iran
"the iraniraq war was an armed conflict between iran and iraq that lasted from september  to august  it began with the iraqi invasion of iran and lasted for almost eight years until the acceptance of united nations security council resolution  by both sides iraqs primary rationale for the attack against iran cited the need to prevent ruhollah khomeiniwho had spearheaded irans islamic revolution in from exporting the new iranian ideology to iraq there were also fears among the iraqi leadership of saddam hussein that iran a theocratic state with a population predominantly composed of shia muslims would exploit sectarian tensions in iraq by rallying iraqs shia majority against the baathist government which was officially secular and dominated by sunni muslims iraq also wished to replace iran as the power player in the persian gulf which was not seen as an achievable objective prior to the islamic revolution because of pahlavi irans economic and military superiority as well as its close relationships with the united states and israel
",iraniraq war armed conflict iran iraq lasted september august began iraqi invasion iran lasted years acceptance united nations security council resolution sides iraqs primary rationale attack iran cited need prevent ruhollah khomeiniwho spearheaded irans islamic revolution exporting new iranian ideology iraq fears iraqi leadership saddam hussein iran theocratic state population predominantly composed shia muslims exploit sectarian tensions iraq rallying iraqs shia majority baathist government officially secular dominated sunni muslims iraq wished replace iran power player persian gulf seen achievable objective prior islamic revolution pahlavi irans economic military superiority close relationships united states israel,7.08,"iraniraq,war,armed,conflict,iran,iraq,lasted,september,august,began,iraqi,invasion,iran,lasted,years,acceptance,united,nations,security,council,resolution,sides,iraqs,primary,rationale,attack,iran,cited,need,prevent,ruhollah,khomeiniwho,spearheaded,irans,islamic,revolution,exporting,new,iranian,ideology,iraq,fears,iraqi,leadership,saddam,hussein,iran,theocratic,state,population,predominantly,composed,shia,muslims,exploit,sectarian,tensions,iraq,rallying,iraqs,shia,majority,baathist,government,officially,secular,dominated,sunni,muslims,iraq,wished,replace,iran,power,player,persian,gulf,seen,achievable,objective,prior,islamic,revolution,pahlavi,irans,economic,military,superiority,close,relationships,united,states,israel",0.00,iran
"the iraniraq war followed a long running history of territorial border disputes between the two states as a result of which iraq planned to retake the eastern bank of the shatt al arab that it had ceded to iran in the  algiers agreement iraqi support for arab separatists in iran increased following the outbreak of hostilities while claims arose suspecting that iraq was seeking to annex irans khuzestan province saddam hussein publicly stated in november  that iraq was not seeking an annexation of any iranian territory it is believed that iraq had sought to establish suzerainty over khuzestan while the iraqi leadership had hoped to take advantage of irans post revolutionary chaos and expected a decisive victory in the face of a severely weakened iran the iraqi military only made progress for three months and by december  the iraqi invasion had stalled the iranian military began to gain momentum against the iraqis and regained virtually all lost territory by june  after pushing iraqi forces back to the pre war border lines iran rejected united nations security council resolution  and launched an invasion of iraq the subsequent iranian offensive within iraqi territory lasted for five years with iraq taking back the initiative in mid  and subsequently launching a series of major counter offensives that ultimately led to the conclusion of the war in a stalemate
",iraniraq war followed long running history territorial border disputes states result iraq planned retake eastern bank shatt al arab ceded iran algiers agreement iraqi support arab separatists iran increased following outbreak hostilities claims arose suspecting iraq seeking annex irans khuzestan province saddam hussein publicly stated november iraq seeking annexation iranian territory believed iraq sought establish suzerainty khuzestan iraqi leadership hoped advantage irans post revolutionary chaos expected decisive victory face severely weakened iran iraqi military progress months december iraqi invasion stalled iranian military began gain momentum iraqis regained virtually lost territory june pushing iraqi forces pre war border lines iran rejected united nations security council resolution launched invasion iraq subsequent iranian offensive iraqi territory lasted years iraq taking initiative mid subsequently launching series major counter offensives ultimately led conclusion war stalemate,6.82,"iraniraq,war,followed,long,running,history,territorial,border,disputes,states,result,iraq,planned,retake,eastern,bank,shatt,al,arab,ceded,iran,algiers,agreement,iraqi,support,arab,separatists,iran,increased,following,outbreak,hostilities,claims,arose,suspecting,iraq,seeking,annex,irans,khuzestan,province,saddam,hussein,publicly,stated,november,iraq,seeking,annexation,iranian,territory,believed,iraq,sought,establish,suzerainty,khuzestan,iraqi,leadership,hoped,advantage,irans,post,revolutionary,chaos,expected,decisive,victory,face,severely,weakened,iran,iraqi,military,progress,months,december,iraqi,invasion,stalled,iranian,military,began,gain,momentum,iraqis,regained,virtually,lost,territory,june,pushing,iraqi,forces,pre,war,border,lines,iran,rejected,united,nations,security,council,resolution,launched,invasion,iraq,subsequent,iranian,offensive,iraqi,territory,lasted,years,iraq,taking,initiative,mid,subsequently,launching,series,major,counter,offensives,ultimately,led,conclusion,war,stalemate",0.00,iran
"the eight years of war exhaustion economic devastation decreased morale military stalemate inaction by the international community towards the use of weapons of mass destruction by iraqi forces on iranian soldiers and civilians as well as increasing iranunited states military tensions all culminated in irans acceptance of a ceasefire brokered by the united nations security council in total around  people were killed during the iraniraq war  excluding the tens of thousands of civilians killed in the concurrent anfal campaign that targeted iraqi kurdistan the end of the conflict resulted in neither reparations nor border changes and the combined financial losses suffered by both combatants is believed to have exceeded us trillion there were a number of proxy forces operating for both countries iraq and the pro iraqi arab separatist militias in iran were most notably supported by the national council of resistance of iran whereas iran re established an alliance with the iraqi kurds being primarily supported by the kurdistan democratic party and the patriotic union of kurdistan during the conflict iraq received an abundance of financial political and logistical aid from the united states the united kingdom the soviet union france italy yugoslavia and the overwhelming majority of arab countries while iran was comparatively isolated to a large degree it received a significant amount of aid from syria libya china north korea israel pakistan and south yemen
",years war exhaustion economic devastation decreased morale military stalemate inaction international community use weapons mass destruction iraqi forces iranian soldiers civilians increasing iranunited states military tensions culminated irans acceptance ceasefire brokered united nations security council total people killed iraniraq war excluding tens thousands civilians killed concurrent anfal campaign targeted iraqi kurdistan end conflict resulted reparations border changes combined financial losses suffered combatants believed exceeded trillion number proxy forces operating countries iraq pro iraqi arab separatist militias iran notably supported national council resistance iran iran established alliance iraqi kurds primarily supported kurdistan democratic party patriotic union kurdistan conflict iraq received abundance financial political logistical aid united states united kingdom soviet union france italy yugoslavia overwhelming majority arab countries iran comparatively isolated large degree received significant aid syria libya china north korea israel pakistan south yemen,6.38,"years,war,exhaustion,economic,devastation,decreased,morale,military,stalemate,inaction,international,community,use,weapons,mass,destruction,iraqi,forces,iranian,soldiers,civilians,increasing,iranunited,states,military,tensions,culminated,irans,acceptance,ceasefire,brokered,united,nations,security,council,total,people,killed,iraniraq,war,excluding,tens,thousands,civilians,killed,concurrent,anfal,campaign,targeted,iraqi,kurdistan,end,conflict,resulted,reparations,border,changes,combined,financial,losses,suffered,combatants,believed,exceeded,trillion,number,proxy,forces,operating,countries,iraq,pro,iraqi,arab,separatist,militias,iran,notably,supported,national,council,resistance,iran,iran,established,alliance,iraqi,kurds,primarily,supported,kurdistan,democratic,party,patriotic,union,kurdistan,conflict,iraq,received,abundance,financial,political,logistical,aid,united,states,united,kingdom,soviet,union,france,italy,yugoslavia,overwhelming,majority,arab,countries,iran,comparatively,isolated,large,degree,received,significant,aid,syria,libya,china,north,korea,israel,pakistan,south,yemen",0.00,iran
"the war is known in the arab world and a few other regions as the first gulf war  whereas western sources use that name to refer to the conflict between the american led coalition and iraq in  the iraniraq war was originally referred to as the persian gulf war until the  persian gulf war of  and  after which the previous war was dubbed the first persian gulf war however besides the iran iraq war the  iraqkuwait conflict as well as the iraq war from  to  have all been called the second persian gulf war in iran the war is known as the imposed war  and the holy defense  state media in iraq dubbed the war saddams qadisiyyah  in reference to the seventh century battle of al qdisiyyah in which arab warriors overcame the sasanian empire during the muslim conquest of iran
",war known arab world regions gulf war western sources use refer conflict american led coalition iraq iraniraq war originally referred persian gulf war persian gulf war previous war dubbed persian gulf war iran iraq war iraqkuwait conflict iraq war called second persian gulf war iran war known imposed war holy defense state media iraq dubbed war saddams qadisiyyah reference seventh century battle al qdisiyyah arab warriors overcame sasanian empire muslim conquest iran,8.90,"war,known,arab,world,regions,gulf,war,western,sources,use,refer,conflict,american,led,coalition,iraq,iraniraq,war,originally,referred,persian,gulf,war,persian,gulf,war,previous,war,dubbed,persian,gulf,war,iran,iraq,war,iraqkuwait,conflict,iraq,war,called,second,persian,gulf,war,iran,war,known,imposed,war,holy,defense,state,media,iraq,dubbed,war,saddams,qadisiyyah,reference,seventh,century,battle,al,qdisiyyah,arab,warriors,overcame,sasanian,empire,muslim,conquest,iran",0.00,iran
"in april  iran abrogated the  treaty over the shatt al arab and iranian ships stopped paying tolls to iraq when they used the shatt al arab the shah argued that the  treaty was unfair to iran because almost all river borders around the world ran along the thalweg and because most of the ships that used the shatt al arab were iranian iraq threatened war over the iranian move but on  april  an iranian tanker escorted by iranian warships  sailed down the shatt al arab and iraqbeing the militarily weaker statedid nothing the iranian abrogation of the  treaty marked the beginning of a period of acute iraqi iranian tension that was to last until the algiers agreement of 
",april iran abrogated treaty shatt al arab iranian ships stopped paying tolls iraq shatt al arab shah argued treaty unfair iran river borders world ran thalweg ships shatt al arab iranian iraq threatened war iranian april iranian tanker escorted iranian warships sailed shatt al arab iraqbeing militarily weaker statedid iranian abrogation treaty marked beginning period acute iraqi iranian tension algiers agreement,8.46,"april,iran,abrogated,treaty,shatt,al,arab,iranian,ships,stopped,paying,tolls,iraq,shatt,al,arab,shah,argued,treaty,unfair,iran,river,borders,world,ran,thalweg,ships,shatt,al,arab,iranian,iraq,threatened,war,iranian,april,iranian,tanker,escorted,iranian,warships,sailed,shatt,al,arab,iraqbeing,militarily,weaker,statedid,iranian,abrogation,treaty,marked,beginning,period,acute,iraqi,iranian,tension,algiers,agreement",0.00,iran
"the relationship between the governments of iran and iraq briefly improved in  when iranian agents in iraq discovered plans for a pro soviet coup dtat against iraqs government when informed of this plot saddam ordered the execution of dozens of his armys officers and in a sign of reconciliation expelled from iraq ruhollah khomeini an exiled leader of clerical opposition to the shah nonetheless saddam considered the  algiers agreement to be merely a truce rather than a definite settlement and waited for an opportunity to contest it
",relationship governments iran iraq briefly improved iranian agents iraq discovered plans pro soviet coup dtat iraqs government informed plot saddam ordered execution dozens armys officers sign reconciliation expelled iraq ruhollah khomeini exiled leader clerical opposition shah nonetheless saddam considered algiers agreement merely truce definite settlement waited opportunity contest,7.26,"relationship,governments,iran,iraq,briefly,improved,iranian,agents,iraq,discovered,plans,pro,soviet,coup,dtat,iraqs,government,informed,plot,saddam,ordered,execution,dozens,armys,officers,sign,reconciliation,expelled,iraq,ruhollah,khomeini,exiled,leader,clerical,opposition,shah,nonetheless,saddam,considered,algiers,agreement,merely,truce,definite,settlement,waited,opportunity,contest",0.00,iran
"tensions between iraq and iran were fuelled by irans islamic revolution and its appearance of being a pan islamic force in contrast to iraqs arab nationalism despite iraqs goal of regaining the shatt al arabnote  the iraqi government initially seemed to welcome the iranian revolution which overthrew shah mohammad reza pahlavi who was seen as a common enemy there were frequent clashes along the iraniraq border throughout  with iraq publicly complaining of at least  incidents and iran citing at least  violations of its border and airspace
",tensions iraq iran fuelled irans islamic revolution appearance pan islamic force contrast iraqs arab nationalism despite iraqs goal regaining shatt al arabnote iraqi government initially welcome iranian revolution overthrew shah mohammad reza pahlavi seen common enemy frequent clashes iraniraq border iraq publicly complaining incidents iran citing violations border airspace,6.81,"tensions,iraq,iran,fuelled,irans,islamic,revolution,appearance,pan,islamic,force,contrast,iraqs,arab,nationalism,despite,iraqs,goal,regaining,shatt,al,arabnote,iraqi,government,initially,welcome,iranian,revolution,overthrew,shah,mohammad,reza,pahlavi,seen,common,enemy,frequent,clashes,iraniraq,border,iraq,publicly,complaining,incidents,iran,citing,violations,border,airspace",0.00,iran
"saddams primary interest in war may have also stemmed from his desire to right the supposed wrong of the algiers agreement in addition to finally achieving his desire of becoming the regional superpower saddams goal was to supplant egypt as the leader of the arab world and to achieve hegemony over the persian gulf he saw irans increased weakness due to revolution sanctions and international isolation saddam had invested heavily in iraqs military since his defeat against iran in  buying large amounts of weaponry from the soviet union and france between  and  alone iraq purchased an estimated  tanks and apcs and over  soviet made aircraft by  iraq possessed  soldiers   tanks and  combat aircraft watching the disintegration of the powerful iranian army that frustrated him in  he saw an opportunity to attack using the threat of islamic revolution as a pretext iraqi military intelligence reported in july  that despite irans bellicose rhetoric it is clear that at present iran has no power to launch wide offensive operations against iraq or to defend on a large scale days before the iraqi invasion and in the midst of rapidly escalating cross border skirmishes iraqi military intelligence again reiterated on  september that the enemy deployment organization does not indicate hostile intentions and appears to be taking on a more defensive mode
",saddams primary interest war stemmed desire right supposed wrong algiers agreement addition finally achieving desire regional superpower saddams goal supplant egypt leader arab world achieve hegemony persian gulf saw irans increased weakness revolution sanctions international isolation saddam invested heavily iraqs military defeat iran buying large amounts weaponry soviet union france iraq purchased estimated tanks apcs soviet aircraft iraq possessed soldiers tanks combat aircraft watching disintegration powerful iranian army frustrated saw opportunity attack threat islamic revolution pretext iraqi military intelligence reported july despite irans bellicose rhetoric clear present iran power launch wide offensive operations iraq defend large scale days iraqi invasion midst rapidly escalating cross border skirmishes iraqi military intelligence reiterated september enemy deployment organization indicate hostile intentions appears taking defensive mode,7.08,"saddams,primary,interest,war,stemmed,desire,right,supposed,wrong,algiers,agreement,addition,finally,achieving,desire,regional,superpower,saddams,goal,supplant,egypt,leader,arab,world,achieve,hegemony,persian,gulf,saw,irans,increased,weakness,revolution,sanctions,international,isolation,saddam,invested,heavily,iraqs,military,defeat,iran,buying,large,amounts,weaponry,soviet,union,france,iraq,purchased,estimated,tanks,apcs,soviet,aircraft,iraq,possessed,soldiers,tanks,combat,aircraft,watching,disintegration,powerful,iranian,army,frustrated,saw,opportunity,attack,threat,islamic,revolution,pretext,iraqi,military,intelligence,reported,july,despite,irans,bellicose,rhetoric,clear,present,iran,power,launch,wide,offensive,operations,iraq,defend,large,scale,days,iraqi,invasion,midst,rapidly,escalating,cross,border,skirmishes,iraqi,military,intelligence,reiterated,september,enemy,deployment,organization,indicate,hostile,intentions,appears,taking,defensive,mode",0.00,iran
