Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"ireland  yre lnd irish ire e  ulster scots airlann rln is an island in the north atlantic ocean in north western europe it is separated from great britain to its east by the north channel the irish sea and st georges channel ireland is the second largest island of the british isles the third largest in europe and the twentieth largest in the world
",ireland yre lnd irish ire e ulster scots airlann rln island north atlantic ocean north western europe separated great britain east north channel irish sea st georges channel ireland second largest island british isles largest europe twentieth largest world,7.14,"ireland,yre,lnd,irish,ire,e,ulster,scots,airlann,rln,island,north,atlantic,ocean,north,western,europe,separated,great,britain,east,north,channel,irish,sea,st,georges,channel,ireland,second,largest,island,british,isles,largest,europe,twentieth,largest,world",0.00,ireland
"geopolitically ireland is divided between the republic of ireland  an independent state covering five sixths of the island and northern ireland which is part of the united kingdom as of  the population of the entire island is just over  million with  million living in the republic of ireland and  million in northern ireland ranking it the second most populous island in europe after great britain
",geopolitically ireland divided republic ireland independent state covering sixths island northern ireland united kingdom population entire island million million living republic ireland million northern ireland ranking second populous island europe great britain,8.27,"geopolitically,ireland,divided,republic,ireland,independent,state,covering,sixths,island,northern,ireland,united,kingdom,population,entire,island,million,million,living,republic,ireland,million,northern,ireland,ranking,second,populous,island,europe,great,britain",0.00,ireland
"the geography of ireland comprises relatively low lying mountains surrounding a central plain with several navigable rivers extending inland its lush vegetation is a product of its mild but changeable climate which is free of extremes in temperature much of ireland was woodland until the end of the middle ages today woodland makes up about  of the island compared with a european average of over  with most of it being non native conifer plantations the irish climate is influenced by the atlantic ocean and thus very moderate and winters are milder than expected for such a northerly area although summers are cooler than those in continental europe rainfall and cloud cover are abundant
",geography ireland comprises relatively low lying mountains surrounding central plain navigable rivers extending inland lush vegetation product mild changeable climate free extremes temperature ireland woodland end middle ages today woodland makes island compared european average non native conifer plantations irish climate influenced atlantic ocean moderate winters milder expected northerly area summers cooler continental europe rainfall cloud cover abundant,7.96,"geography,ireland,comprises,relatively,low,lying,mountains,surrounding,central,plain,navigable,rivers,extending,inland,lush,vegetation,product,mild,changeable,climate,free,extremes,temperature,ireland,woodland,end,middle,ages,today,woodland,makes,island,compared,european,average,non,native,conifer,plantations,irish,climate,influenced,atlantic,ocean,moderate,winters,milder,expected,northerly,area,summers,cooler,continental,europe,rainfall,cloud,cover,abundant",0.00,ireland
"gaelic ireland had emerged by the st century ad the island was christianised from the th century onwards following the th century anglo norman invasion england claimed sovereignty however english rule did not extend over the whole island until the thth century tudor conquest which led to colonisation by settlers from britain in the s a system of protestant english rule was designed to materially disadvantage the catholic majority and protestant dissenters and was extended during the th century with the acts of union in  ireland became a part of the united kingdom a war of independence in the early th century was followed by the partition of the island leading to the creation of the irish free state which became increasingly sovereign over the following decades and northern ireland which remained a part of the united kingdom northern ireland saw much civil unrest from the late s until the s this subsided following the good friday agreement in  in  the republic of ireland joined the european economic community while the united kingdom and northern ireland as part of it did the same in  the united kingdom northern ireland included left what was by then the european union 
",gaelic ireland emerged st century ad island christianised th century onwards following th century anglo norman invasion england claimed sovereignty english rule extend island thth century tudor conquest led colonisation settlers britain system protestant english rule designed materially disadvantage catholic majority protestant dissenters extended th century acts union ireland united kingdom war independence early th century followed partition island leading creation irish free state increasingly sovereign following decades northern ireland remained united kingdom northern ireland saw civil unrest late subsided following good friday agreement republic ireland joined european economic community united kingdom northern ireland united kingdom northern ireland included left european union,8.08,"gaelic,ireland,emerged,st,century,ad,island,christianised,th,century,onwards,following,th,century,anglo,norman,invasion,england,claimed,sovereignty,english,rule,extend,island,thth,century,tudor,conquest,led,colonisation,settlers,britain,system,protestant,english,rule,designed,materially,disadvantage,catholic,majority,protestant,dissenters,extended,th,century,acts,union,ireland,united,kingdom,war,independence,early,th,century,followed,partition,island,leading,creation,irish,free,state,increasingly,sovereign,following,decades,northern,ireland,remained,united,kingdom,northern,ireland,saw,civil,unrest,late,subsided,following,good,friday,agreement,republic,ireland,joined,european,economic,community,united,kingdom,northern,ireland,united,kingdom,northern,ireland,included,left,european,union",0.00,ireland
"the names ireland and ire derive from old irish riu a goddess in irish mythology first recorded in the ninth century the etymology of riu is disputed but may derive from the proto indo european root huer referring to flowing water
",names ireland ire derive old irish riu goddess irish mythology recorded ninth century etymology riu disputed derive proto indo european root huer referring flowing water,6.93,"names,ireland,ire,derive,old,irish,riu,goddess,irish,mythology,recorded,ninth,century,etymology,riu,disputed,derive,proto,indo,european,root,huer,referring,flowing,water",0.00,ireland
"during the last glacial period and until about  because much of ireland was periodically covered in ice the relative sea level was less than m lower resulting in an ice bridge  forming between ireland and great britain by  because this ice bridge existed only between northern ireland and scotland and by  because ireland was completely separated from great britain later around  because great britain became separated from continental europe until recently the earliest evidence of human activity in ireland was dated at  years ago demonstrated by a butchered bear bone found in a cave in county clare since  the earliest evidence of human activity in ireland is dated to  years ago
",glacial period ireland periodically covered ice relative sea level lower resulting ice bridge forming ireland great britain ice bridge existed northern ireland scotland ireland completely separated great britain later great britain separated continental europe recently earliest evidence human activity ireland dated years ago demonstrated butchered bear bone found cave county clare earliest evidence human activity ireland dated years ago,7.60,"glacial,period,ireland,periodically,covered,ice,relative,sea,level,lower,resulting,ice,bridge,forming,ireland,great,britain,ice,bridge,existed,northern,ireland,scotland,ireland,completely,separated,great,britain,later,great,britain,separated,continental,europe,recently,earliest,evidence,human,activity,ireland,dated,years,ago,demonstrated,butchered,bear,bone,found,cave,county,clare,earliest,evidence,human,activity,ireland,dated,years,ago",0.00,ireland
"some time before  because neolithic settlers introduced cereal cultivars domesticated animals such as cattle and sheep built large timber buildings and stone monuments the earliest evidence for farming in ireland or great britain is from ferriters cove county kerry where a flint knife cattle bones and a sheeps tooth were carbon dated to c  because field systems were developed in different parts of ireland including at the cide fields that has been preserved beneath a blanket of peat in present day tyrawley an extensive field system arguably the oldest in the world consisted of small divisions separated by dry stone walls the fields were farmed for several centuries between  because and  because wheat and barley were the principal crops
",time neolithic settlers introduced cereal cultivars domesticated animals cattle sheep built large timber buildings stone monuments earliest evidence farming ireland great britain ferriters cove county kerry flint knife cattle bones sheeps tooth carbon dated cbecause field systems developed different parts ireland including cide fields preserved beneath blanket peat present day tyrawley extensive field system arguably oldest world consisted small divisions separated dry stone walls fields farmed centuries wheat barley principal crops,6.43,"time,neolithic,settlers,introduced,cereal,cultivars,domesticated,animals,cattle,sheep,built,large,timber,buildings,stone,monuments,earliest,evidence,farming,ireland,great,britain,ferriters,cove,county,kerry,flint,knife,cattle,bones,sheeps,tooth,carbon,dated,cbecause,field,systems,developed,different,parts,ireland,including,cide,fields,preserved,beneath,blanket,peat,present,day,tyrawley,extensive,field,system,arguably,oldest,world,consisted,small,divisions,separated,dry,stone,walls,fields,farmed,centuries,wheat,barley,principal,crops",0.00,ireland
"how and when the island became celtic has been debated for close to a century with the migrations of the celts being one of the more enduring themes of archaeological and linguistic studies the most recent genetic research strongly associates the spread of indo european languages  through western europe with a people bringing a composite beaker culture with its arrival in britain and ireland dated to around the middle of the third millennium because according to john t koch and others ireland in the late bronze age was part of a maritime trading network culture called the atlantic bronze age that also included britain western france and iberia and that this is where celtic languages developed this contrasts with the traditional view that their origin lies in mainland europe with the hallstatt culture
",island celtic debated close century migrations celts enduring themes archaeological linguistic studies recent genetic research strongly associates spread indo european languages western europe people bringing composite beaker culture arrival britain ireland dated middle millenniumbecause according john koch ireland late bronze age maritime trading network culture called atlantic bronze age included britain western france iberia celtic languages developed contrasts traditional view origin lies mainland europe hallstatt culture,8.25,"island,celtic,debated,close,century,migrations,celts,enduring,themes,archaeological,linguistic,studies,recent,genetic,research,strongly,associates,spread,indo,european,languages,western,europe,people,bringing,composite,beaker,culture,arrival,britain,ireland,dated,middle,millenniumbecause,according,john,koch,ireland,late,bronze,age,maritime,trading,network,culture,called,atlantic,bronze,age,included,britain,western,france,iberia,celtic,languages,developed,contrasts,traditional,view,origin,lies,mainland,europe,hallstatt,culture",0.00,ireland
"the long standing traditional view is that the celtic language ogham script and culture were brought to ireland by waves of invading or migrating celts from mainland europe this theory draws on the lebor gabla renn a medieval christian pseudo history of ireland along with the presence of celtic culture language and artefacts found in ireland such as celtic bronze spears shields torcs and other finely crafted celtic associated possessions the theory holds that there were four separate celtic invasions of ireland the priteni were said to be the first followed by the belgae from northern gaul and britain later laighin tribes from armorica  were said to have invaded ireland and britain more or less simultaneously lastly the milesians  were said to have reached ireland from either northern iberia or southern gaul it was claimed that a second wave named the euerni belonging to the belgae people of northern gaul began arriving about the sixth century because they were said to have given their name to the island
",long standing traditional view celtic language ogham script culture brought ireland waves invading migrating celts mainland europe theory draws lebor gabla renn medieval christian pseudo history ireland presence celtic culture language artefacts found ireland celtic bronze spears shields torcs finely crafted celtic associated possessions theory holds separate celtic invasions ireland priteni said followed belgae northern gaul britain later laighin tribes armorica said invaded ireland britain simultaneously lastly milesians said reached ireland northern iberia southern gaul claimed second wave named euerni belonging belgae people northern gaul began arriving sixth century said given island,7.45,"long,standing,traditional,view,celtic,language,ogham,script,culture,brought,ireland,waves,invading,migrating,celts,mainland,europe,theory,draws,lebor,gabla,renn,medieval,christian,pseudo,history,ireland,presence,celtic,culture,language,artefacts,found,ireland,celtic,bronze,spears,shields,torcs,finely,crafted,celtic,associated,possessions,theory,holds,separate,celtic,invasions,ireland,priteni,said,followed,belgae,northern,gaul,britain,later,laighin,tribes,armorica,said,invaded,ireland,britain,simultaneously,lastly,milesians,said,reached,ireland,northern,iberia,southern,gaul,claimed,second,wave,named,euerni,belonging,belgae,people,northern,gaul,began,arriving,sixth,century,said,given,island",0.00,ireland
"the theory was advanced in part because of the lack of archaeological evidence for large scale celtic immigration though it is accepted that such movements are notoriously difficult to identify historical linguists are skeptical that this method alone could account for the absorption of celtic language with some saying that an assumed processual view of celtic linguistic formation is an especially hazardous exercise genetic lineage investigation into the area of celtic migration to ireland has led to findings that showed no significant differences in mitochondrial dna between ireland and large areas of continental europe in contrast to parts of the y chromosome pattern when taking both into account a study concluded that modern celtic speakers in ireland could be thought of as european atlantic celts showing a shared ancestry throughout the atlantic zone from northern iberia to western scandinavia rather than substantially central european
",theory advanced lack archaeological evidence large scale celtic immigration accepted movements notoriously difficult identify historical linguists skeptical method account absorption celtic language saying assumed processual view celtic linguistic formation especially hazardous exercise genetic lineage investigation area celtic migration ireland led findings showed significant differences mitochondrial dna ireland large areas continental europe contrast parts chromosome pattern taking account study concluded modern celtic speakers ireland thought european atlantic celts showing shared ancestry atlantic zone northern iberia western scandinavia substantially central european,6.81,"theory,advanced,lack,archaeological,evidence,large,scale,celtic,immigration,accepted,movements,notoriously,difficult,identify,historical,linguists,skeptical,method,account,absorption,celtic,language,saying,assumed,processual,view,celtic,linguistic,formation,especially,hazardous,exercise,genetic,lineage,investigation,area,celtic,migration,ireland,led,findings,showed,significant,differences,mitochondrial,dna,ireland,large,areas,continental,europe,contrast,parts,chromosome,pattern,taking,account,study,concluded,modern,celtic,speakers,ireland,thought,european,atlantic,celts,showing,shared,ancestry,atlantic,zone,northern,iberia,western,scandinavia,substantially,central,european",0.00,ireland
