Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the irish  are an ethnic group and nation native to the island of ireland who share a common history and culture there have been humans in ireland for about  years and it has been continually inhabited for more than  years  for most of irelands recorded history the irish have been primarily a gaelic people  from the th century small numbers of vikings settled in ireland becoming the norse gaels anglo normans also conquered parts of ireland in the th century while englands thth century conquest and colonisation of ireland brought many english and lowland scots to parts of the island especially the north today ireland is made up of the republic of ireland  and northern ireland  the people of northern ireland hold various national identities including british irish northern irish or some combination thereof
",irish ethnic group nation native island ireland share common history culture humans ireland years continually inhabited years irelands recorded history irish primarily gaelic people th century small numbers vikings settled ireland norse gaels anglo normans conquered parts ireland th century englands thth century conquest colonisation ireland brought english lowland scots parts island especially north today ireland republic ireland northern ireland people northern ireland hold national identities including british irish northern irish combination thereof,7.48,"irish,ethnic,group,nation,native,island,ireland,share,common,history,culture,humans,ireland,years,continually,inhabited,years,irelands,recorded,history,irish,primarily,gaelic,people,th,century,small,numbers,vikings,settled,ireland,norse,gaels,anglo,normans,conquered,parts,ireland,th,century,englands,thth,century,conquest,colonisation,ireland,brought,english,lowland,scots,parts,island,especially,north,today,ireland,republic,ireland,northern,ireland,people,northern,ireland,hold,national,identities,including,british,irish,northern,irish,combination,thereof",0.00,irish
"the irish have their own customs language music dance sports cuisine and mythology although irish  was their main language in the past today most irish people speak english as their first language historically the irish nation was made up of kin groups or clans and the irish also had their own religion law code alphabet and style of dresscitation needed
",irish customs language music dance sports cuisine mythology irish main language past today irish people speak english language historically irish nation kin groups clans irish religion law code alphabet style dresscitation needed,7.87,"irish,customs,language,music,dance,sports,cuisine,mythology,irish,main,language,past,today,irish,people,speak,english,language,historically,irish,nation,kin,groups,clans,irish,religion,law,code,alphabet,style,dresscitation,needed",0.00,irish
"there have been many notable irish people throughout history after irelands conversion to christianity irish missionaries and scholars exerted great influence on western europe and the irish came to be seen as a nation of saints and scholars the th century irish monk and missionary columbanus is regarded as one of the fathers of europe followed by saints cillian and fergal the scientist robert boyle is considered the father of chemistry and robert mallet one of the fathers of seismology irish literature has produced famous writers in both irish   and english language traditions such as eoghan rua  silleabhin dibh  bruadair jonathan swift oscar wilde w b yeats samuel beckett james joyce mirtn  cadhain eavan boland and seamus heaney notable irish explorers include brendan the navigator sir robert mcclure sir alexander armstrong sir ernest shackleton and tom crean by some accounts the first european child born in north america had irish descent on both sides many presidents of the united states have had some irish ancestry
",notable irish people history irelands conversion christianity irish missionaries scholars exerted great influence western europe irish came seen nation saints scholars th century irish monk missionary columbanus regarded fathers europe followed saints cillian fergal scientist robert boyle considered father chemistry robert mallet fathers seismology irish literature produced famous writers irish english language traditions eoghan rua silleabhin dibh bruadair jonathan swift oscar wilde w b yeats samuel beckett james joyce mirtn cadhain eavan boland seamus heaney notable irish explorers include brendan navigator sir robert mcclure sir alexander armstrong sir ernest shackleton tom crean accounts european child born north america irish descent sides presidents united states irish ancestry,5.69,"notable,irish,people,history,irelands,conversion,christianity,irish,missionaries,scholars,exerted,great,influence,western,europe,irish,came,seen,nation,saints,scholars,th,century,irish,monk,missionary,columbanus,regarded,fathers,europe,followed,saints,cillian,fergal,scientist,robert,boyle,considered,father,chemistry,robert,mallet,fathers,seismology,irish,literature,produced,famous,writers,irish,english,language,traditions,eoghan,rua,silleabhin,dibh,bruadair,jonathan,swift,oscar,wilde,w,b,yeats,samuel,beckett,james,joyce,mirtn,cadhain,eavan,boland,seamus,heaney,notable,irish,explorers,include,brendan,navigator,sir,robert,mcclure,sir,alexander,armstrong,sir,ernest,shackleton,tom,crean,accounts,european,child,born,north,america,irish,descent,sides,presidents,united,states,irish,ancestry",0.00,irish
"the population of ireland is about  million but it is estimated that  to  million people around the world have irish forebears making the irish diaspora one of the largest of any nation historically emigration from ireland has been the result of conflict famine and economic issues people of irish descent are found mainly in english speaking countries especially great britain the united states canada new zealand and australia there are also significant numbers in argentina chile colombia and brazil the united states has the most people of irish descent while in australia those of irish descent are a higher percentage of the population than in any other country outside ireland many icelanders have irish and scottish gaelic forebearscitation needed
",population ireland million estimated million people world irish forebears making irish diaspora largest nation historically emigration ireland result conflict famine economic issues people irish descent found mainly english speaking countries especially great britain united states canada new zealand australia significant numbers argentina chile colombia brazil united states people irish descent australia irish descent higher percentage population country outside ireland icelanders irish scottish gaelic forebearscitation needed,7.14,"population,ireland,million,estimated,million,people,world,irish,forebears,making,irish,diaspora,largest,nation,historically,emigration,ireland,result,conflict,famine,economic,issues,people,irish,descent,found,mainly,english,speaking,countries,especially,great,britain,united,states,canada,new,zealand,australia,significant,numbers,argentina,chile,colombia,brazil,united,states,people,irish,descent,australia,irish,descent,higher,percentage,population,country,outside,ireland,icelanders,irish,scottish,gaelic,forebearscitation,needed",0.00,irish
"the terms irish and ireland are probably derived from the goddess riu a variety of tribal groups and dynasties have inhabited the island including the airgialla fir old nechmacht delbhna the mythical fir bolg rainn eganachta mairtine conmaicne soghain and ulaid in the cases of the conmaicne delbhna and perhaps rainn it can be demonstrated that the tribe took their name from their chief deity or in the case of the ciannachta eganachta and possibly the soghain a deified ancestor this practice is paralleled by the anglo saxon dynasties
",terms irish ireland probably derived goddess riu variety tribal groups dynasties inhabited island including airgialla fir old nechmacht delbhna mythical fir bolg rainn eganachta mairtine conmaicne soghain ulaid cases conmaicne delbhna rainn demonstrated tribe took chief deity case ciannachta eganachta possibly soghain deified ancestor practice paralleled anglo saxon dynasties,7.42,"terms,irish,ireland,probably,derived,goddess,riu,variety,tribal,groups,dynasties,inhabited,island,including,airgialla,fir,old,nechmacht,delbhna,mythical,fir,bolg,rainn,eganachta,mairtine,conmaicne,soghain,ulaid,cases,conmaicne,delbhna,rainn,demonstrated,tribe,took,chief,deity,case,ciannachta,eganachta,possibly,soghain,deified,ancestor,practice,paralleled,anglo,saxon,dynasties",0.00,irish
"one legend states that the irish were descended from the milesians who supposedly conquered ireland around  because or later
",legend states irish descended milesians supposedly conquered ireland later,8.00,"legend,states,irish,descended,milesians,supposedly,conquered,ireland,later",0.00,irish
"haplogroup rb is the dominant haplogroup among irish males reaching a frequency of almost  r l is the dominant subclade within ireland reaching a frequency of  this subclade is also dominant in scotland wales and brittany and descends from a common ancestor who lived in about  because
",haplogroup rb dominant haplogroup irish males reaching frequency r l dominant subclade ireland reaching frequency subclade dominant scotland wales brittany descends common ancestor lived,8.04,"haplogroup,rb,dominant,haplogroup,irish,males,reaching,frequency,r,l,dominant,subclade,ireland,reaching,frequency,subclade,dominant,scotland,wales,brittany,descends,common,ancestor,lived",0.00,irish
"the existence of an especially strong genetic association between the irish and the basques was first challenged in  and in  scientists began looking at the possibility of a more recent mesolithic  or even neolithic era entrance of rb into europe a new study published in  by balaresque et al implies either a mesolithic  or neolithic   era entrance of rb into europe unlike previous studies large sections of autosomal dna were analyzed in addition to paternal y dna markers they detected an autosomal component present in modern europeans which was not present in neolithic or mesolithic europeans and which would have been introduced into europe with paternal lineages rb and ra as well as the indo european languages this genetic component labelled as yamnaya in the studies then mixed to varying degrees with earlier mesolithic hunter gatherer andor neolithic farmer populations already existing in western europe
a more recent whole genome analysis of neolithic and bronze age skeletal remains from ireland suggested that the original neolithic farming population was most similar to present day sardinians while the three bronze age remains had a large genetic component from the pontic caspian steppe modern irish are the population most genetically similar to the bronze age remains followed by scottish and welsh and share more dna with the three bronze age men from rathlin island than with the earlier ballynahatty neolithic woman
",existence especially strong genetic association irish basques challenged scientists began looking possibility recent mesolithic neolithic era entrance rb europe new study published balaresque et al implies mesolithic neolithic era entrance rb europe unlike previous studies large sections autosomal dna analyzed addition paternal dna markers detected autosomal component present modern europeans present neolithic mesolithic europeans introduced europe paternal lineages rb ra indo european languages genetic component labelled yamnaya studies mixed varying degrees earlier mesolithic hunter gatherer andor neolithic farmer populations existing western europea recent genome analysis neolithic bronze age skeletal remains ireland suggested original neolithic farming population similar present day sardinians bronze age remains large genetic component pontic caspian steppe modern irish population genetically similar bronze age remains followed scottish welsh share dna bronze age men rathlin island earlier ballynahatty neolithic woman,6.72,"existence,especially,strong,genetic,association,irish,basques,challenged,scientists,began,looking,possibility,recent,mesolithic,neolithic,era,entrance,rb,europe,new,study,published,balaresque,et,al,implies,mesolithic,neolithic,era,entrance,rb,europe,unlike,previous,studies,large,sections,autosomal,dna,analyzed,addition,paternal,dna,markers,detected,autosomal,component,present,modern,europeans,present,neolithic,mesolithic,europeans,introduced,europe,paternal,lineages,rb,ra,indo,european,languages,genetic,component,labelled,yamnaya,studies,mixed,varying,degrees,earlier,mesolithic,hunter,gatherer,andor,neolithic,farmer,populations,existing,western,europea,recent,genome,analysis,neolithic,bronze,age,skeletal,remains,ireland,suggested,original,neolithic,farming,population,similar,present,day,sardinians,bronze,age,remains,large,genetic,component,pontic,caspian,steppe,modern,irish,population,genetically,similar,bronze,age,remains,followed,scottish,welsh,share,dna,bronze,age,men,rathlin,island,earlier,ballynahatty,neolithic,woman",0.00,irish
"a  genetic study done on the irish shows that there is fine scale population structure between different regional populations of the island with the largest difference between native gaelic irish populations and those of ulster protestants known to have recent partial british ancestry they were also found to have most similarity to two main ancestral sources a french component  which reached highest levels in the irish and other celtic populations  and showing a possible link to the bretons and a west norwegian component related to the viking era
",genetic study irish shows fine scale population structure different regional populations island largest difference native gaelic irish populations ulster protestants known recent partial british ancestry found similarity main ancestral sources french component reached highest levels irish celtic populations showing possible link bretons west norwegian component related viking era,7.23,"genetic,study,irish,shows,fine,scale,population,structure,different,regional,populations,island,largest,difference,native,gaelic,irish,populations,ulster,protestants,known,recent,partial,british,ancestry,found,similarity,main,ancestral,sources,french,component,reached,highest,levels,irish,celtic,populations,showing,possible,link,bretons,west,norwegian,component,related,viking,era",0.00,irish
" as of   irish nationals of african descent referred to themselves as black irish in the national census the term black irish is sometimes used outside ireland to refer to irish people with black hair and dark eyes one theory is that they are descendants of spanish traders or of the few sailors of the spanish armada who were shipwrecked on irelands west coast but there is little evidence for this
",irish nationals african descent referred black irish national census term black irish outside ireland refer irish people black hair dark eyes theory descendants spanish traders sailors spanish armada shipwrecked irelands west coast little evidence,9.00,"irish,nationals,african,descent,referred,black,irish,national,census,term,black,irish,outside,ireland,refer,irish,people,black,hair,dark,eyes,theory,descendants,spanish,traders,sailors,spanish,armada,shipwrecked,irelands,west,coast,little,evidence",0.00,irish
