Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the islamabad capital territory  is the only federal territory of pakistan located between the provinces of punjab and khyber pakhtunkhwa it includes the countrys capital city of islamabad the territory is represented in the na  na  and na  constituencies of the national assembly and four seats of the senate
",islamabad capital territory federal territory pakistan located provinces punjab khyber pakhtunkhwa includes countrys capital city islamabad territory represented na na na constituencies national assembly seats senate,7.42,"islamabad,capital,territory,federal,territory,pakistan,located,provinces,punjab,khyber,pakhtunkhwa,includes,countrys,capital,city,islamabad,territory,represented,na,na,na,constituencies,national,assembly,seats,senate",0.00,islamabad
"however rawalpindi was eventually excluded from the islamabad master plan in the s
",rawalpindi eventually excluded islamabad master plan,8.43,"rawalpindi,eventually,excluded,islamabad,master,plan",0.00,islamabad
"islamabad is subdivided into five zones
",islamabad subdivided zones,7.50,"islamabad,subdivided,zones",0.00,islamabad
"islamabad capital territory comprises urban and rural areas the rural consists of  union councils comprising  villages while urban has  union councils
",islamabad capital territory comprises urban rural areas rural consists union councils comprising villages urban union councils,3.31,"islamabad,capital,territory,comprises,urban,rural,areas,rural,consists,union,councils,comprising,villages,urban,union,councils",0.00,islamabad
"the climate of islamabad has a humid subtropical climate  with five seasons winter  spring  summer  rainy monsoon  and autumn 
",climate islamabad humid subtropical climate seasons winter spring summer rainy monsoon autumn,5.51,"climate,islamabad,humid,subtropical,climate,seasons,winter,spring,summer,rainy,monsoon,autumn",0.00,islamabad
"the wettest month is july with heavy rainfalls and evening thunderstorms with the possibility of cloudburst and flooding highest monthly rainfall of  millimetres  was recorded during july  on  july  islamabad received a record breaking  millimetres  of rainfall in just  hours it was the heaviest rainfall in islamabad in the past  years and the highest rainfall in  hours as well the city has also experienced snowfall on a number of occasions
islamabads micro climate is regulated by three artificial reservoirs rawal simli and khanpur dam the latter is located on the haro river near the town of khanpur about  kilometres  from islamabad simli dam is  kilometres  north of islamabad
",wettest month july heavy rainfalls evening thunderstorms possibility cloudburst flooding highest monthly rainfall millimetres recorded july july islamabad received record breaking millimetres rainfall hours heaviest rainfall islamabad past years highest rainfall hours city experienced snowfall number occasionsislamabads micro climate regulated artificial reservoirs rawal simli khanpur dam located haro river near town khanpur kilometres islamabad simli dam kilometres north islamabad,7.00,"wettest,month,july,heavy,rainfalls,evening,thunderstorms,possibility,cloudburst,flooding,highest,monthly,rainfall,millimetres,recorded,july,july,islamabad,received,record,breaking,millimetres,rainfall,hours,heaviest,rainfall,islamabad,past,years,highest,rainfall,hours,city,experienced,snowfall,number,occasionsislamabads,micro,climate,regulated,artificial,reservoirs,rawal,simli,khanpur,dam,located,haro,river,near,town,khanpur,kilometres,islamabad,simli,dam,kilometres,north,islamabad",0.00,islamabad
"around  acres  of the city consists of the margalla hills national park while the loi bher forest is situated along the islamabad highway covering an area of  acres 
",acres city consists margalla hills national park loi bher forest situated islamabad highway covering area acres,7.23,"acres,city,consists,margalla,hills,national,park,loi,bher,forest,situated,islamabad,highway,covering,area,acres",0.00,islamabad
"the main administrative authority of the city is islamabad capital territory administration with some help from metropolitan corporation islamabad and capital development authority  which oversees the planning development construction and administration of the city islamabad capital territory is divided into eight zones administrative zone commercial district educational sector industrial sector diplomatic enclave residential areas rural areas and green area
",main administrative authority city islamabad capital territory administration help metropolitan corporation islamabad capital development authority oversees planning development construction administration city islamabad capital territory divided zones administrative zone commercial district educational sector industrial sector diplomatic enclave residential areas rural areas green area,3.67,"main,administrative,authority,city,islamabad,capital,territory,administration,help,metropolitan,corporation,islamabad,capital,development,authority,oversees,planning,development,construction,administration,city,islamabad,capital,territory,divided,zones,administrative,zone,commercial,district,educational,sector,industrial,sector,diplomatic,enclave,residential,areas,rural,areas,green,area",0.00,islamabad
"islamabad city is divided into five major zones zone i zone ii zone iii zone iv and zone v out of these zone iv is the largest in area all sectors of ghouri town  are located in this zone zone i consists mainly of all the developed residential sectors while zone ii consists of the under developed residential sectors each residential sector is identified by a letter of the alphabet and a number and covers an area of approximately  square kilometres the sectors are lettered from a to i and each sector is divided into four numbered sub sectors
",islamabad city divided major zones zone zone ii zone iii zone iv zone v zone iv largest area sectors ghouri town located zone zone consists mainly developed residential sectors zone ii consists developed residential sectors residential sector identified letter alphabet number covers area approximately square kilometres sectors lettered sector divided numbered sub sectors,8.41,"islamabad,city,divided,major,zones,zone,zone,ii,zone,iii,zone,iv,zone,v,zone,iv,largest,area,sectors,ghouri,town,located,zone,zone,consists,mainly,developed,residential,sectors,zone,ii,consists,developed,residential,sectors,residential,sector,identified,letter,alphabet,number,covers,area,approximately,square,kilometres,sectors,lettered,sector,divided,numbered,sub,sectors",0.00,islamabad
"series a b and c are still underdeveloped the d series has seven sectors  of which only sector d  is completely developed this series is located at the foot of margalla hills the e sectors are named from e  to e  many foreigners and diplomatic personnel are housed in these sectors in the revised master plan of the city cda has decided to develop a park on the pattern of fatima jinnah park in sector e  sectors e  and e  contain the campuses of bahria university air university and the national defence university the f and g series contains the most developed sectors f series contains sectors f  to f  some sectors are still under developed f  is an important sector for the software industry in islamabad as the two software technology parks are located here the entire f  sector is covered with fatima jinnah park the centaurus complex will be one of the major landmarks of the f  sector g sectors are numbered g  through g  some important places include the jinnah convention center and serena hotel in g  the red mosque in g  and the pakistan institute of medical sciences the largest medical complex in the capital located in g 
",series b c underdeveloped series seven sectors sector completely developed series located foot margalla hills e sectors named e e foreigners diplomatic personnel housed sectors revised master plan city cda decided develop park pattern fatima jinnah park sector e sectors e e contain campuses bahria university air university national defence university f g series contains developed sectors f series contains sectors f f sectors developed f important sector software industry islamabad software technology parks located entire f sector covered fatima jinnah park centaurus complex major landmarks f sector g sectors numbered g g important places include jinnah convention center serena hotel g red mosque g pakistan institute medical sciences largest medical complex capital located g,7.64,"series,b,c,underdeveloped,series,seven,sectors,sector,completely,developed,series,located,foot,margalla,hills,e,sectors,named,e,e,foreigners,diplomatic,personnel,housed,sectors,revised,master,plan,city,cda,decided,develop,park,pattern,fatima,jinnah,park,sector,e,sectors,e,e,contain,campuses,bahria,university,air,university,national,defence,university,f,g,series,contains,developed,sectors,f,series,contains,sectors,f,f,sectors,developed,f,important,sector,software,industry,islamabad,software,technology,parks,located,entire,f,sector,covered,fatima,jinnah,park,centaurus,complex,major,landmarks,f,sector,g,sectors,numbered,g,g,important,places,include,jinnah,convention,center,serena,hotel,g,red,mosque,g,pakistan,institute,medical,sciences,largest,medical,complex,capital,located,g",0.00,islamabad
