Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"islamabad  urdu   islm bd is the capital city of pakistan it is the countrys ninth most populous city with a population of over  million people and is federally administered by the pakistani government as part of the islamabad capital territory built as a planned city in the s it replaced rawalpindi as pakistans national capital the city is notable for its high standards of living safety cleanliness and abundant greenery
",islamabad urdu islm bd capital city pakistan countrys ninth populous city population million people federally administered pakistani government islamabad capital territory built planned city replaced rawalpindi pakistans national capital city notable high standards living safety cleanliness abundant greenery,7.53,"islamabad,urdu,islm,bd,capital,city,pakistan,countrys,ninth,populous,city,population,million,people,federally,administered,pakistani,government,islamabad,capital,territory,built,planned,city,replaced,rawalpindi,pakistans,national,capital,city,notable,high,standards,living,safety,cleanliness,abundant,greenery",0.00,islamabad
"greek architect constantinos apostolou doxiadis developed islamabads master plan in which he divided it into eight zones administrative diplomatic enclave residential areas educational and industrial sectors commercial areas as well as rural and green areas administered by the islamabad metropolitan corporation with support from the capital development authority islamabad is known for the presence of several parks and forests including the margalla hills national park and the shakarparian it is home to several landmarks including the countrys flagship faisal mosque which is the worlds fifth largest mosque other prominent landmarks include the pakistan monument and democracy square
",greek architect constantinos apostolou doxiadis developed islamabads master plan divided zones administrative diplomatic enclave residential areas educational industrial sectors commercial areas rural green areas administered islamabad metropolitan corporation support capital development authority islamabad known presence parks forests including margalla hills national park shakarparian home landmarks including countrys flagship faisal mosque worlds fifth largest mosque prominent landmarks include pakistan monument democracy square,5.22,"greek,architect,constantinos,apostolou,doxiadis,developed,islamabads,master,plan,divided,zones,administrative,diplomatic,enclave,residential,areas,educational,industrial,sectors,commercial,areas,rural,green,areas,administered,islamabad,metropolitan,corporation,support,capital,development,authority,islamabad,known,presence,parks,forests,including,margalla,hills,national,park,shakarparian,home,landmarks,including,countrys,flagship,faisal,mosque,worlds,fifth,largest,mosque,prominent,landmarks,include,pakistan,monument,democracy,square",0.00,islamabad
"rated as gamma  by the globalization and world cities research network islamabad has the highest cost of living in pakistan the citys populace is dominated by both middle and upper middle class citizens
",rated gamma globalization world cities research network islamabad highest cost living pakistan citys populace dominated middle upper middle class citizens,6.40,"rated,gamma,globalization,world,cities,research,network,islamabad,highest,cost,living,pakistan,citys,populace,dominated,middle,upper,middle,class,citizens",0.00,islamabad
"islamabad is home to twenty universities including bahria university quaid e azam university pieas comsats university and nust it is also rated as one of the safest cities in pakistan and has an expansive rfid enabled surveillance system with almost  active cctv cameras
",islamabad home universities including bahria university quaid e azam university pieas comsats university nust rated safest cities pakistan expansive rfid enabled surveillance system active cctv cameras,6.27,"islamabad,home,universities,including,bahria,university,quaid,e,azam,university,pieas,comsats,university,nust,rated,safest,cities,pakistan,expansive,rfid,enabled,surveillance,system,active,cctv,cameras",0.00,islamabad
"the name islamabad means city of islam it is derived from two words islam and abad islam refers to the religion of islam pakistans state religion and  abad is a persian suffix meaning cultivated place indicating an inhabited place or city according to a history book by muhammad ismail zabeeh a school teacher from arifwala known as qazi abdur rehman amritsari proposed the name of the city
",islamabad means city islam derived words islam abad islam refers religion islam pakistans state religion abad persian suffix meaning cultivated place indicating inhabited place city according history book muhammad ismail zabeeh school teacher arifwala known qazi abdur rehman amritsari proposed city,6.65,"islamabad,means,city,islam,derived,words,islam,abad,islam,refers,religion,islam,pakistans,state,religion,abad,persian,suffix,meaning,cultivated,place,indicating,inhabited,place,city,according,history,book,muhammad,ismail,zabeeh,school,teacher,arifwala,known,qazi,abdur,rehman,amritsari,proposed,city",0.00,islamabad
"occasionally in writing islamabad is colloquially abbreviated isb such usage originated in sms language in part due to the iata location identifier for the islamabad international airport
",occasionally writing islamabad colloquially abbreviated isb usage originated sms language iata location identifier islamabad international airport,5.85,"occasionally,writing,islamabad,colloquially,abbreviated,isb,usage,originated,sms,language,iata,location,identifier,islamabad,international,airport",0.00,islamabad
"islamabad capital territory located on the pothohar plateau of the northern punjab region is considered one of the earliest sites of human settlement in asia some of the earliest stone age artefacts in the world have been found on the plateau dating from  to  years ago rudimentary stones recovered from the terraces of the soan river testify to the endeavours of early man in the inter glacial period items of pottery and utensils dating back to prehistory have been found
",islamabad capital territory located pothohar plateau northern punjab region considered earliest sites human settlement asia earliest stone age artefacts world found plateau dating years ago rudimentary stones recovered terraces soan river testify endeavours early man inter glacial period items pottery utensils dating prehistory found,7.59,"islamabad,capital,territory,located,pothohar,plateau,northern,punjab,region,considered,earliest,sites,human,settlement,asia,earliest,stone,age,artefacts,world,found,plateau,dating,years,ago,rudimentary,stones,recovered,terraces,soan,river,testify,endeavours,early,man,inter,glacial,period,items,pottery,utensils,dating,prehistory,found",0.00,islamabad
"the restored village of saidpur predates the surrounding city of islamabad
",restored village saidpur predates surrounding city islamabad,5.33,"restored,village,saidpur,predates,surrounding,city,islamabad",0.00,islamabad
"when pakistan gained independence in  the southern port city of karachi was its provisional national capital in  a commission was constituted to select a suitable site near rawalpindi for the national capital with particular emphasis on location climate logistics and defence requirements along with other attributes after extensive study research and a thorough review of potential sites the commission recommended the area northeast of rawalpindi in  in the s islamabad was constructed as a forward capital for several reasons karachi was also located at the southern end of the country and exposed to attacks from the arabian sea pakistan needed a capital that was easily accessible from all parts of the country karachi a business centre was also considered unsuitable partly because of intervention of business interests in government affairs the newly selected location of islamabad was closer to the army headquarters in rawalpindi and the disputed territory of kashmir in the north
",pakistan gained independence southern port city karachi provisional national capital commission constituted select suitable site near rawalpindi national capital particular emphasis location climate logistics defence requirements attributes extensive study research thorough review potential sites commission recommended area northeast rawalpindi islamabad constructed forward capital reasons karachi located southern end country exposed attacks arabian sea pakistan needed capital easily accessible parts country karachi business centre considered unsuitable partly intervention business interests government affairs newly selected location islamabad closer army headquarters rawalpindi disputed territory kashmir north,7.07,"pakistan,gained,independence,southern,port,city,karachi,provisional,national,capital,commission,constituted,select,suitable,site,near,rawalpindi,national,capital,particular,emphasis,location,climate,logistics,defence,requirements,attributes,extensive,study,research,thorough,review,potential,sites,commission,recommended,area,northeast,rawalpindi,islamabad,constructed,forward,capital,reasons,karachi,located,southern,end,country,exposed,attacks,arabian,sea,pakistan,needed,capital,easily,accessible,parts,country,karachi,business,centre,considered,unsuitable,partly,intervention,business,interests,government,affairs,newly,selected,location,islamabad,closer,army,headquarters,rawalpindi,disputed,territory,kashmir,north",0.00,islamabad
"greek firm of architects led by konstantinos apostolos doxiadis designed the master plan of the city based on a grid plan which was triangular in shape with its apex towards the margalla hills the capital was not moved directly from karachi to islamabad it was first shifted temporarily to rawalpindi in the early s and then to islamabad when essential development work was completed in  in  islamabad separated from punjab province to form capital territory such world renowned architects as  edward durell stone and gio ponti have been associated with the citys development
",greek firm architects led konstantinos apostolos doxiadis designed master plan city based grid plan triangular shape apex margalla hills capital moved directly karachi islamabad shifted temporarily rawalpindi early islamabad essential development work completed islamabad separated punjab province form capital territory world renowned architects edward durell stone gio ponti associated citys development,7.29,"greek,firm,architects,led,konstantinos,apostolos,doxiadis,designed,master,plan,city,based,grid,plan,triangular,shape,apex,margalla,hills,capital,moved,directly,karachi,islamabad,shifted,temporarily,rawalpindi,early,islamabad,essential,development,work,completed,islamabad,separated,punjab,province,form,capital,territory,world,renowned,architects,edward,durell,stone,gio,ponti,associated,citys,development",0.00,islamabad
