Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"italians  are a romance speaking ethnic group native to the italian geographical region and its neighboring insular territories italians share a common culture history ancestry and language their predecessors differ regionally but include the ancient greeks in magna graecia the etruscans in northern italy and most notably the romans in central italy who helped create and evolved into the modern italian identity legally italian nationals are citizens of italy regardless of ancestry or nation of residence  and may be distinguished from ethnic italians in general or from people of italian descent without italian citizenship and ethnic italians living in territories adjacent to the italian peninsula without italian citizenship the latin equivalent of the term italian had been in use for natives of the geographical region since antiquity
",italians romance speaking ethnic group native italian geographical region neighboring insular territories italians share common culture history ancestry language predecessors differ regionally include ancient greeks magna graecia etruscans northern italy notably romans central italy helped create evolved modern italian identity legally italian nationals citizens italy regardless ancestry nation residence distinguished ethnic italians general people italian descent italian citizenship ethnic italians living territories adjacent italian peninsula italian citizenship latin equivalent term italian use natives geographical region antiquity,6.04,"italians,romance,speaking,ethnic,group,native,italian,geographical,region,neighboring,insular,territories,italians,share,common,culture,history,ancestry,language,predecessors,differ,regionally,include,ancient,greeks,magna,graecia,etruscans,northern,italy,notably,romans,central,italy,helped,create,evolved,modern,italian,identity,legally,italian,nationals,citizens,italy,regardless,ancestry,nation,residence,distinguished,ethnic,italians,general,people,italian,descent,italian,citizenship,ethnic,italians,living,territories,adjacent,italian,peninsula,italian,citizenship,latin,equivalent,term,italian,use,natives,geographical,region,antiquity",0.00,italy
"the majority of italian nationals are native speakers of the countrys official language italian or a variety thereof that is regional italian however many of them also speak a regional or minority language native to italy the existence of which predates the national language although there is disagreement on the total number according to unesco there are approximately  languages native to italy although many are often misleadingly referred to as italian dialects
",majority italian nationals native speakers countrys official language italian variety thereof regional italian speak regional minority language native italy existence predates national language disagreement total number according unesco approximately languages native italy misleadingly referred italian dialects,7.71,"majority,italian,nationals,native,speakers,countrys,official,language,italian,variety,thereof,regional,italian,speak,regional,minority,language,native,italy,existence,predates,national,language,disagreement,total,number,according,unesco,approximately,languages,native,italy,misleadingly,referred,italian,dialects",0.00,italy
"since  in addition to the approximately  million italians in italy  italian speaking autonomous groups are found in neighboring nations about a half million are in switzerland as well as in france the entire population of san marino in addition there are also clusters of italian speakers in the former yugoslavia primarily in istria located between in modern croatia and slovenia  and dalmatia located in present day croatia and montenegro  due to the wide ranging diaspora following italian unification world war i and world war ii  over  million people abroad claim full or partial italian ancestry this includes about  of argentinas population   of uruguayans   of brazilians  more than  million italian americans and people in other parts of europe  the american continent  australasia  and to a lesser extent in the middle east 
",addition approximately million italians italy italian speaking autonomous groups found neighboring nations half million switzerland france entire population san marino addition clusters italian speakers yugoslavia primarily istria located modern croatia slovenia dalmatia located present day croatia montenegro wide ranging diaspora following italian unification world war world war ii million people abroad claim partial italian ancestry includes argentinas population uruguayans brazilians million italian americans people parts europe american continent australasia lesser extent middle east,6.83,"addition,approximately,million,italians,italy,italian,speaking,autonomous,groups,found,neighboring,nations,half,million,switzerland,france,entire,population,san,marino,addition,clusters,italian,speakers,yugoslavia,primarily,istria,located,modern,croatia,slovenia,dalmatia,located,present,day,croatia,montenegro,wide,ranging,diaspora,following,italian,unification,world,war,world,war,ii,million,people,abroad,claim,partial,italian,ancestry,includes,argentinas,population,uruguayans,brazilians,million,italian,americans,people,parts,europe,american,continent,australasia,lesser,extent,middle,east",0.00,italy
"hypotheses for the etymology of the latin name italia are numerous one is that it was borrowed via greek from the oscan vteli land of calves  greek historian dionysius of halicarnassus states this account together with the legend that italy was named after italus mentioned also by aristotle and thucydides
",hypotheses etymology latin italia numerous borrowed greek oscan vteli land calves greek historian dionysius halicarnassus states account legend italy named italus mentioned aristotle thucydides,8.47,"hypotheses,etymology,latin,italia,numerous,borrowed,greek,oscan,vteli,land,calves,greek,historian,dionysius,halicarnassus,states,account,legend,italy,named,italus,mentioned,aristotle,thucydides",0.00,italy
"according to antiochus of syracuse the term italy was used by the greeks to initially refer only to the southern portion of the bruttium peninsula corresponding to the modern province of reggio and part of the provinces of catanzaro and vibo valentia in southern italy nevertheless by his time the larger concept of oenotria and italy had become synonymous and the name also applied to most of lucania as well according to strabos geographica before the expansion of the roman republic the name was used by greeks to indicate the land between the strait of messina and the line connecting the gulf of salerno and gulf of taranto corresponding roughly to the current region of calabria the greeks gradually came to apply the name italia to a larger region in addition to the greek italy in the south historians have suggested the existence of an etruscan italy covering variable areas of central italy
",according antiochus syracuse term italy greeks initially refer southern portion bruttium peninsula corresponding modern province reggio provinces catanzaro vibo valentia southern italy time larger concept oenotria italy synonymous applied lucania according strabos geographica expansion roman republic greeks indicate land strait messina line connecting gulf salerno gulf taranto corresponding roughly current region calabria greeks gradually came apply italia larger region addition greek italy south historians suggested existence etruscan italy covering variable areas central italy,8.88,"according,antiochus,syracuse,term,italy,greeks,initially,refer,southern,portion,bruttium,peninsula,corresponding,modern,province,reggio,provinces,catanzaro,vibo,valentia,southern,italy,time,larger,concept,oenotria,italy,synonymous,applied,lucania,according,strabos,geographica,expansion,roman,republic,greeks,indicate,land,strait,messina,line,connecting,gulf,salerno,gulf,taranto,corresponding,roughly,current,region,calabria,greeks,gradually,came,apply,italia,larger,region,addition,greek,italy,south,historians,suggested,existence,etruscan,italy,covering,variable,areas,central,italy",0.00,italy
"the borders of roman italy are better established cato the elders origines the first work of history composed in latin described italy as the entire peninsula south of the alps according to cato and several roman authors the alps formed the walls of italy in  because roman italy extended from the arno and rubicon rivers of the centre north to the entire south the northern area of cisalpine gaul was occupied by rome in the s because and became considered geographically and de facto part of italy but remained politically and de jure separated it was legally merged into the administrative unit of italy in  because by the triumvir octavian as a ratification of julius caesars unpublished acts  under emperor diocletian the roman region called italia was further enlarged with the addition in  ad of the three big islands of the western mediterranean sea sicily  sardinia and corsica coinciding with the whole italian geographical region all its inhabitants were considered italic and roman
",borders roman italy better established cato elders origines work history composed latin described italy entire peninsula south alps according cato roman authors alps formed walls italy roman italy extended arno rubicon rivers centre north entire south northern area cisalpine gaul occupied rome considered geographically de facto italy remained politically de jure separated legally merged administrative unit italy triumvir octavian ratification julius caesars unpublished acts emperor diocletian roman region called italia enlarged addition ad big islands western mediterranean sea sicily sardinia corsica coinciding italian geographical region inhabitants considered italic roman,7.44,"borders,roman,italy,better,established,cato,elders,origines,work,history,composed,latin,described,italy,entire,peninsula,south,alps,according,cato,roman,authors,alps,formed,walls,italy,roman,italy,extended,arno,rubicon,rivers,centre,north,entire,south,northern,area,cisalpine,gaul,occupied,rome,considered,geographically,de,facto,italy,remained,politically,de,jure,separated,legally,merged,administrative,unit,italy,triumvir,octavian,ratification,julius,caesars,unpublished,acts,emperor,diocletian,roman,region,called,italia,enlarged,addition,ad,big,islands,western,mediterranean,sea,sicily,sardinia,corsica,coinciding,italian,geographical,region,inhabitants,considered,italic,roman",0.00,italy
"the latin term italicus was used to describe a man of italy as opposed to a provincial for example pliny the elder notably wrote in a letter italicus es an provincialis meaning are you an italian or a provincial
the adjective italianus from which are derived the italian  name of the italians is medieval and was used alternatively with italicus during the early modern period
",latin term italicus describe man italy opposed provincial example pliny elder notably wrote letter italicus es provincialis meaning italian provincialthe adjective italianus derived italian italians medieval alternatively italicus early modern period,9.02,"latin,term,italicus,describe,man,italy,opposed,provincial,example,pliny,elder,notably,wrote,letter,italicus,es,provincialis,meaning,italian,provincialthe,adjective,italianus,derived,italian,italians,medieval,alternatively,italicus,early,modern,period",0.00,italy
"after the fall of the western roman empire which was caused by the invasion of the ostrogoths the kingdom of italy was created after the lombard invasions italia was retained as the name for their kingdom and for its successor kingdom within the holy roman empire which nominally lasted until  although it had de facto disintegrated due to factional politics pitting the empire against the ascendant city republics in the th century
",fall western roman empire caused invasion ostrogoths kingdom italy created lombard invasions italia retained kingdom successor kingdom holy roman empire nominally lasted de facto disintegrated factional politics pitting empire ascendant city republics th century,8.78,"fall,western,roman,empire,caused,invasion,ostrogoths,kingdom,italy,created,lombard,invasions,italia,retained,kingdom,successor,kingdom,holy,roman,empire,nominally,lasted,de,facto,disintegrated,factional,politics,pitting,empire,ascendant,city,republics,th,century",0.00,italy
"the italian peninsula was divided into a multitude of tribal or ethnic territory prior to the roman conquest of italy in the rd century because after a series of wars between greeks and etruscans the latins with rome as their capital gained the ascendancy by  because and completed the conquest of the italian peninsula by  because
",italian peninsula divided multitude tribal ethnic territory prior roman conquest italy rd century series wars greeks etruscans latins rome capital gained ascendancy completed conquest italian peninsula,9.04,"italian,peninsula,divided,multitude,tribal,ethnic,territory,prior,roman,conquest,italy,rd,century,series,wars,greeks,etruscans,latins,rome,capital,gained,ascendancy,completed,conquest,italian,peninsula",0.00,italy
"in the st century because italia was still a collection of territories with different political statuses some cities called municipia had some independence from rome while others the coloniae were founded by the romans themselves around  because augustus divided italy into eleven regiones
",st century italia collection territories different political statuses cities called municipia independence rome coloniae founded romans augustus divided italy regiones,7.93,"st,century,italia,collection,territories,different,political,statuses,cities,called,municipia,independence,rome,coloniae,founded,romans,augustus,divided,italy,regiones",0.00,italy
