Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"italy  officially the italian republica or the republic of italy is a country in southern and westernnote  europe located in the middle of the mediterranean sea it consists of a peninsula delimited by the alps and surrounded by several islands its territory largely coincides with the homonymous geographical region
italy shares land borders with france switzerland austria slovenia and the enclaved microstates of vatican city and san marino it has a territorial exclave in switzerland campione italy covers an area of  km  with a population of about  million it is the third most populous member state of the european union the sixth most populous country in europe and the tenth largest country in the continent by land area italys capital and largest city is rome
",italy officially italian republica republic italy country southern westernnote europe located middle mediterranean sea consists peninsula delimited alps surrounded islands territory largely coincides homonymous geographical regionitaly shares land borders france switzerland austria slovenia enclaved microstates vatican city san marino territorial exclave switzerland campione italy covers area km population million populous member state european union sixth populous country europe tenth largest country continent land area italys capital largest city rome,7.16,"italy,officially,italian,republica,republic,italy,country,southern,westernnote,europe,located,middle,mediterranean,sea,consists,peninsula,delimited,alps,surrounded,islands,territory,largely,coincides,homonymous,geographical,regionitaly,shares,land,borders,france,switzerland,austria,slovenia,enclaved,microstates,vatican,city,san,marino,territorial,exclave,switzerland,campione,italy,covers,area,km,population,million,populous,member,state,european,union,sixth,populous,country,europe,tenth,largest,country,continent,land,area,italys,capital,largest,city,rome",0.00,italy
"italy was the native place of many civilizations such as the italic peoples and the etruscans while due to its central geographic location in southern europe and the mediterranean the country has also historically been home to myriad peoples and cultures who immigrated to the peninsula throughout history the latins native of central italy formed the roman kingdom in the th century because which eventually became a republic with a government of the senate and the people the roman republic initially conquered and assimilated its neighbours on the italian peninsula eventually expanding and conquering a large part of europe north africa and western asia by the first century because the roman empire emerged as the dominant power in the mediterranean basin and became a leading cultural political and religious centre inaugurating the pax romana a period of more than  years during which italys law technology economy art and literature developed
",italy native place civilizations italic peoples etruscans central geographic location southern europe mediterranean country historically home myriad peoples cultures immigrated peninsula history latins native central italy formed roman kingdom th century eventually republic government senate people roman republic initially conquered assimilated neighbours italian peninsula eventually expanding conquering large europe north africa western asia century roman empire emerged dominant power mediterranean basin leading cultural political religious centre inaugurating pax romana period years italys law technology economy art literature developed,7.57,"italy,native,place,civilizations,italic,peoples,etruscans,central,geographic,location,southern,europe,mediterranean,country,historically,home,myriad,peoples,cultures,immigrated,peninsula,history,latins,native,central,italy,formed,roman,kingdom,th,century,eventually,republic,government,senate,people,roman,republic,initially,conquered,assimilated,neighbours,italian,peninsula,eventually,expanding,conquering,large,europe,north,africa,western,asia,century,roman,empire,emerged,dominant,power,mediterranean,basin,leading,cultural,political,religious,centre,inaugurating,pax,romana,period,years,italys,law,technology,economy,art,literature,developed",0.00,italy
"during the early middle ages italy endured the fall of the western roman empire and the barbarian invasions but by the th century numerous city states and maritime republics mostly in the north became prosperous through trade commerce and banking laying the groundwork for modern capitalism the renaissance began in italy and spread to the rest of europe bringing a renewed interest in humanism science exploration and art during the middle ages italian explorers discovered new routes to the far east and the new world helping to usher in the european age of discovery however centuries of rivalry and infighting between the italian city states and the invasions of other european powers during the italian wars of the th and th centuries left italy politically fragmented italys commercial and political power significantly waned during the th and th centuries with the decline of the catholic church and the increasing importance of trade routes that bypassed the mediterranean
",early middle ages italy endured fall western roman empire barbarian invasions th century numerous city states maritime republics north prosperous trade commerce banking laying groundwork modern capitalism renaissance began italy spread rest europe bringing renewed interest humanism science exploration art middle ages italian explorers discovered new routes far east new world helping usher european age discovery centuries rivalry infighting italian city states invasions european powers italian wars th th centuries left italy politically fragmented italys commercial political power significantly waned th th centuries decline catholic church increasing importance trade routes bypassed mediterranean,6.63,"early,middle,ages,italy,endured,fall,western,roman,empire,barbarian,invasions,th,century,numerous,city,states,maritime,republics,north,prosperous,trade,commerce,banking,laying,groundwork,modern,capitalism,renaissance,began,italy,spread,rest,europe,bringing,renewed,interest,humanism,science,exploration,art,middle,ages,italian,explorers,discovered,new,routes,far,east,new,world,helping,usher,european,age,discovery,centuries,rivalry,infighting,italian,city,states,invasions,european,powers,italian,wars,th,th,centuries,left,italy,politically,fragmented,italys,commercial,political,power,significantly,waned,th,th,centuries,decline,catholic,church,increasing,importance,trade,routes,bypassed,mediterranean",0.00,italy
"by the mid th century rising italian nationalism along with other social economic and military events led to a period of revolutionary political upheaval after centuries of political and territorial divisions italy was almost entirely unified in  following a war of independence establishing the kingdom of italy from the late th century to the early th century italy rapidly industrialised mainly in the north and acquired a colonial empire while the south remained largely impoverished and excluded from industrialisation fuelling a large and influential diaspora despite being one of the victorious allied powers in world war i italy entered a period of economic crisis and social turmoil leading to the rise of the italian fascist dictatorship in  the participation of italy in world war ii on the axis led to the italian surrender to allied powers and its occupation by nazi germany helped by fascists followed by the rise of the italian resistance and the subsequent italian civil war and liberation of italy after the war the country abolished its monarchy established a democratic unitary parliamentary republic and enjoyed a prolonged economic boom getting a major advanced economy
",mid th century rising italian nationalism social economic military events led period revolutionary political upheaval centuries political territorial divisions italy entirely unified following war independence establishing kingdom italy late th century early th century italy rapidly industrialised mainly north acquired colonial empire south remained largely impoverished excluded industrialisation fuelling large influential diaspora despite victorious allied powers world war italy entered period economic crisis social turmoil leading rise italian fascist dictatorship participation italy world war ii axis led italian surrender allied powers occupation nazi germany helped fascists followed rise italian resistance subsequent italian civil war liberation italy war country abolished monarchy established democratic unitary parliamentary republic enjoyed prolonged economic boom getting major advanced economy,6.30,"mid,th,century,rising,italian,nationalism,social,economic,military,events,led,period,revolutionary,political,upheaval,centuries,political,territorial,divisions,italy,entirely,unified,following,war,independence,establishing,kingdom,italy,late,th,century,early,th,century,italy,rapidly,industrialised,mainly,north,acquired,colonial,empire,south,remained,largely,impoverished,excluded,industrialisation,fuelling,large,influential,diaspora,despite,victorious,allied,powers,world,war,italy,entered,period,economic,crisis,social,turmoil,leading,rise,italian,fascist,dictatorship,participation,italy,world,war,ii,axis,led,italian,surrender,allied,powers,occupation,nazi,germany,helped,fascists,followed,rise,italian,resistance,subsequent,italian,civil,war,liberation,italy,war,country,abolished,monarchy,established,democratic,unitary,parliamentary,republic,enjoyed,prolonged,economic,boom,getting,major,advanced,economy",0.00,italy
"italy is a highly developed country having the tenth largest nominal gdp  in the world the ninth largest national wealth and the third largest central bank gold reserve it ranks highly in life expectancy quality of life healthcare education and human development index the country is a  great power and it has a significant role in regional and global economic military cultural and diplomatic affairs italy is a founding and leading member of the european union and a member of numerous international institutions including the united nations nato the oecd the g the latin union the schengen area and many more the source of many inventions and discoveries the country is considered a cultural superpower and has long been a global centre of art music literature philosophy science and technology tourism and fashion as well as having greatly influenced and contributed to diverse fields including cinema cuisine sports jurisprudence banking and business it has the worlds largest number of world heritage sites  and is the worlds fifth most visited country
",italy highly developed country tenth largest nominal gdp world ninth largest national wealth largest central bank gold reserve ranks highly life expectancy quality life healthcare education human development index country great power significant role regional global economic military cultural diplomatic affairs italy founding leading member european union member numerous international institutions including united nations nato oecd g latin union schengen area source inventions discoveries country considered cultural superpower long global centre art music literature philosophy science technology tourism fashion greatly influenced contributed diverse fields including cinema cuisine sports jurisprudence banking business worlds largest number world heritage sites worlds fifth visited country,6.52,"italy,highly,developed,country,tenth,largest,nominal,gdp,world,ninth,largest,national,wealth,largest,central,bank,gold,reserve,ranks,highly,life,expectancy,quality,life,healthcare,education,human,development,index,country,great,power,significant,role,regional,global,economic,military,cultural,diplomatic,affairs,italy,founding,leading,member,european,union,member,numerous,international,institutions,including,united,nations,nato,oecd,g,latin,union,schengen,area,source,inventions,discoveries,country,considered,cultural,superpower,long,global,centre,art,music,literature,philosophy,science,technology,tourism,fashion,greatly,influenced,contributed,diverse,fields,including,cinema,cuisine,sports,jurisprudence,banking,business,worlds,largest,number,world,heritage,sites,worlds,fifth,visited,country",0.00,italy
"hypotheses for the etymology of the name italia are numerous one is that it was borrowed via ancient greek from the oscan vteli land of calves  ancient greek historian dionysius of halicarnassus states this account together with the legend that italy was named after italus mentioned also by aristotle and thucydides
",hypotheses etymology italia numerous borrowed ancient greek oscan vteli land calves ancient greek historian dionysius halicarnassus states account legend italy named italus mentioned aristotle thucydides,8.20,"hypotheses,etymology,italia,numerous,borrowed,ancient,greek,oscan,vteli,land,calves,ancient,greek,historian,dionysius,halicarnassus,states,account,legend,italy,named,italus,mentioned,aristotle,thucydides",0.00,italy
"according to antiochus of syracuse the term italy was used by the ancient greeks to initially refer only to the southern portion of the bruttium peninsula corresponding to the modern province of reggio and part of the provinces of catanzaro and vibo valentia in southern italy nevertheless by his time the larger concept of oenotria and italy had become synonymous and the name also applied to most of lucania as well according to strabos geographica before the expansion of the roman republic the name was used by ancient greeks to indicate the land between the strait of messina and the line connecting the gulf of salerno and gulf of taranto corresponding roughly to the current region of calabria the ancient greeks gradually came to apply the name italia to a larger region in addition to the greek italy in the south historians have suggested the existence of an etruscan italy covering variable areas of central italy
",according antiochus syracuse term italy ancient greeks initially refer southern portion bruttium peninsula corresponding modern province reggio provinces catanzaro vibo valentia southern italy time larger concept oenotria italy synonymous applied lucania according strabos geographica expansion roman republic ancient greeks indicate land strait messina line connecting gulf salerno gulf taranto corresponding roughly current region calabria ancient greeks gradually came apply italia larger region addition greek italy south historians suggested existence etruscan italy covering variable areas central italy,8.65,"according,antiochus,syracuse,term,italy,ancient,greeks,initially,refer,southern,portion,bruttium,peninsula,corresponding,modern,province,reggio,provinces,catanzaro,vibo,valentia,southern,italy,time,larger,concept,oenotria,italy,synonymous,applied,lucania,according,strabos,geographica,expansion,roman,republic,ancient,greeks,indicate,land,strait,messina,line,connecting,gulf,salerno,gulf,taranto,corresponding,roughly,current,region,calabria,ancient,greeks,gradually,came,apply,italia,larger,region,addition,greek,italy,south,historians,suggested,existence,etruscan,italy,covering,variable,areas,central,italy",0.00,italy
"the borders of roman italy italia are better established catos origines the first work of history composed in latin described italy as the entire peninsula south of the alps according to cato and several roman authors the alps formed the walls of italy in  because roman italy extended from the arno and rubicon rivers of the centre north to the entire south the northern area of cisalpine gaul was occupied by rome in the s because and became considered geographically and de facto part of italy but remained politically and de jure separated it was legally merged into the administrative unit of italy in  because by the triumvir octavian as a ratification of caesars unpublished acts  the islands of sardinia corsica sicily and malta were added to italy by diocletian in  ad coinciding with the whole italian geographical region all its inhabitants were considered italic and roman
",borders roman italy italia better established catos origines work history composed latin described italy entire peninsula south alps according cato roman authors alps formed walls italy roman italy extended arno rubicon rivers centre north entire south northern area cisalpine gaul occupied rome considered geographically de facto italy remained politically de jure separated legally merged administrative unit italy triumvir octavian ratification caesars unpublished acts islands sardinia corsica sicily malta added italy diocletian ad coinciding italian geographical region inhabitants considered italic roman,7.57,"borders,roman,italy,italia,better,established,catos,origines,work,history,composed,latin,described,italy,entire,peninsula,south,alps,according,cato,roman,authors,alps,formed,walls,italy,roman,italy,extended,arno,rubicon,rivers,centre,north,entire,south,northern,area,cisalpine,gaul,occupied,rome,considered,geographically,de,facto,italy,remained,politically,de,jure,separated,legally,merged,administrative,unit,italy,triumvir,octavian,ratification,caesars,unpublished,acts,islands,sardinia,corsica,sicily,malta,added,italy,diocletian,ad,coinciding,italian,geographical,region,inhabitants,considered,italic,roman",0.00,italy
"the latin term italicus was used to describe a man of italy as opposed to a provincial for example pliny the elder notably wrote in a letter italicus es an provincialis meaning are you an italian or a provincial
the adjective italianus from which are derived the italian  name of the italians is medieval and was used alternatively with italicus during the early modern period
",latin term italicus describe man italy opposed provincial example pliny elder notably wrote letter italicus es provincialis meaning italian provincialthe adjective italianus derived italian italians medieval alternatively italicus early modern period,9.02,"latin,term,italicus,describe,man,italy,opposed,provincial,example,pliny,elder,notably,wrote,letter,italicus,es,provincialis,meaning,italian,provincialthe,adjective,italianus,derived,italian,italians,medieval,alternatively,italicus,early,modern,period",0.00,italy
"after the fall of the western roman empire which was caused by the invasion of the ostrogoths the kingdom of italy was created after the lombard invasions italia was retained as the name for their kingdom and for its successor kingdom within the holy roman empire which nominally lasted until  although it had de facto disintegrated due to factional politics pitting the empire against the ascendant city republics in the th century
",fall western roman empire caused invasion ostrogoths kingdom italy created lombard invasions italia retained kingdom successor kingdom holy roman empire nominally lasted de facto disintegrated factional politics pitting empire ascendant city republics th century,8.78,"fall,western,roman,empire,caused,invasion,ostrogoths,kingdom,italy,created,lombard,invasions,italia,retained,kingdom,successor,kingdom,holy,roman,empire,nominally,lasted,de,facto,disintegrated,factional,politics,pitting,empire,ascendant,city,republics,th,century",0.00,italy
