Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"jaipur  hindi jayapura formerly jeypore is the capital and largest city of the indian state of rajasthan as of update the city had a population of  million making it the tenth most populous city in the country jaipur is also known as the pink city due to the dominant colour scheme of its buildings it is also known as the paris of india and c v raman called it the island of glory it is located  km  from the national capital new delhi jaipur was founded in  by the kachhwaha rajput ruler jai singh ii the ruler of amer after whom the city is named it was one of the earliest planned cities of modern india designed by vidyadhar bhattacharya during the british colonial period the city served as the capital of jaipur state after independence in  jaipur was made the capital of the newly formed state of rajasthan
",jaipur hindi jayapura jeypore capital largest city indian state rajasthan update city population million making tenth populous city country jaipur known pink city dominant colour scheme buildings known paris india c v raman called island glory located km national capital new delhi jaipur founded kachhwaha rajput ruler jai singh ii ruler amer city named earliest planned cities modern india designed vidyadhar bhattacharya british colonial period city served capital jaipur state independence jaipur capital newly formed state rajasthan,8.83,"jaipur,hindi,jayapura,jeypore,capital,largest,city,indian,state,rajasthan,update,city,population,million,making,tenth,populous,city,country,jaipur,known,pink,city,dominant,colour,scheme,buildings,known,paris,india,c,v,raman,called,island,glory,located,km,national,capital,new,delhi,jaipur,founded,kachhwaha,rajput,ruler,jai,singh,ii,ruler,amer,city,named,earliest,planned,cities,modern,india,designed,vidyadhar,bhattacharya,british,colonial,period,city,served,capital,jaipur,state,independence,jaipur,capital,newly,formed,state,rajasthan",0.00,jaipur
"jaipur is a popular tourist destination in india and forms a part of the west golden triangle tourist circuit along with delhi and agra  it also serves as a gateway to other tourist destinations in rajasthan such as jodhpur  jaisalmer  bharatpur  udaipur  kota  and mount abu 
",jaipur popular tourist destination india forms west golden triangle tourist circuit delhi agra serves gateway tourist destinations rajasthan jodhpur jaisalmer bharatpur udaipur kota mount abu,7.58,"jaipur,popular,tourist,destination,india,forms,west,golden,triangle,tourist,circuit,delhi,agra,serves,gateway,tourist,destinations,rajasthan,jodhpur,jaisalmer,bharatpur,udaipur,kota,mount,abu",0.00,jaipur
"on  july  unesco world heritage committee inscribed jaipur the pink city of india among its world heritage sites the city is also home to the unesco world heritage sites amer fort and jantar mantar
",july unesco world heritage committee inscribed jaipur pink city india world heritage sites city home unesco world heritage sites amer fort jantar mantar,5.56,"july,unesco,world,heritage,committee,inscribed,jaipur,pink,city,india,world,heritage,sites,city,home,unesco,world,heritage,sites,amer,fort,jantar,mantar",0.00,jaipur
"the city of jaipur was founded by the king of amber maharaja sawai jai singh ii on  november  who ruled from  to  he planned to shift his capital from amber  kilometres  to jaipur to accommodate the growing population and increasing scarcity of water jai singh consulted several books on architecture and architects while planning the layout of jaipur under the architectural guidance of vidyadhar bhattacharya jaipur was planned based on the principles of vastu shastra and shilpa shastra the construction of the city began in  and took four years to complete the major roads offices and palaces the architecture of the city was heavily influenced by the th century architectural renaissance during mughal rule in northern india hence much of it resembles architecture styles from around the muslim world the city was divided into nine blocks two of which contained the state buildings and palaces with the remaining seven allotted to the public huge ramparts were built pierced by seven fortified gates
",city jaipur founded king amber maharaja sawai jai singh ii november ruled planned shift capital amber kilometres jaipur accommodate growing population increasing scarcity water jai singh consulted books architecture architects planning layout jaipur architectural guidance vidyadhar bhattacharya jaipur planned based principles vastu shastra shilpa shastra construction city began took years complete major roads offices palaces architecture city heavily influenced th century architectural renaissance mughal rule northern india resembles architecture styles muslim world city divided blocks contained state buildings palaces remaining seven allotted public huge ramparts built pierced seven fortified gates,7.16,"city,jaipur,founded,king,amber,maharaja,sawai,jai,singh,ii,november,ruled,planned,shift,capital,amber,kilometres,jaipur,accommodate,growing,population,increasing,scarcity,water,jai,singh,consulted,books,architecture,architects,planning,layout,jaipur,architectural,guidance,vidyadhar,bhattacharya,jaipur,planned,based,principles,vastu,shastra,shilpa,shastra,construction,city,began,took,years,complete,major,roads,offices,palaces,architecture,city,heavily,influenced,th,century,architectural,renaissance,mughal,rule,northern,india,resembles,architecture,styles,muslim,world,city,divided,blocks,contained,state,buildings,palaces,remaining,seven,allotted,public,huge,ramparts,built,pierced,seven,fortified,gates",0.00,jaipur
"during the rule of sawai ram singh i the city was painted pink to welcome hrh albert edward prince of wales  in  many of the avenues still remain painted in pink giving jaipur a distinctive appearance and the epithet pink city
",rule sawai ram singh city painted pink welcome hrh albert edward prince wales avenues remain painted pink giving jaipur distinctive appearance epithet pink city,7.49,"rule,sawai,ram,singh,city,painted,pink,welcome,hrh,albert,edward,prince,wales,avenues,remain,painted,pink,giving,jaipur,distinctive,appearance,epithet,pink,city",0.00,jaipur
"jaipur has a monsoon influenced hot semi arid climate  with long extremely hot summers and short mild to warm winters annual precipitation is over  cm falling mostly in july and august due to monsoon causing the average temperatures in these two months to be lower compared to drier may and june during the monsoon there are frequent heavy rains and thunderstorms but flooding is not common the highest temperature ever recorded was  c  on  may  the citys average temperature remains below  c or  f between december and february these months are mild dry and pleasant sometimes chilly the lowest temperature ever recorded was  c  on  january   february    january  jaipur like many other major cities of the world is a significant urban heat island zone with surrounding rural temperatures occasionally falling below freezing in winters
",jaipur monsoon influenced hot semi arid climate long extremely hot summers short mild warm winters annual precipitation cm falling july august monsoon causing average temperatures months lower compared drier june monsoon frequent heavy rains thunderstorms flooding common highest temperature recorded c citys average temperature remains c f december february months mild dry pleasant chilly lowest temperature recorded c january february january jaipur like major cities world significant urban heat island zone surrounding rural temperatures occasionally falling freezing winters,6.69,"jaipur,monsoon,influenced,hot,semi,arid,climate,long,extremely,hot,summers,short,mild,warm,winters,annual,precipitation,cm,falling,july,august,monsoon,causing,average,temperatures,months,lower,compared,drier,june,monsoon,frequent,heavy,rains,thunderstorms,flooding,common,highest,temperature,recorded,c,citys,average,temperature,remains,c,f,december,february,months,mild,dry,pleasant,chilly,lowest,temperature,recorded,c,january,february,january,jaipur,like,major,cities,world,significant,urban,heat,island,zone,surrounding,rural,temperatures,occasionally,falling,freezing,winters",0.00,jaipur
"according to the provisional report of  census jaipur city had a population of  the overall literacy rate for the city is   males and  females were literate the sex ratio was  females per  males  the child sex ratio was recorded 
however the population of the city is expected to grow up to around  lakhs 
",according provisional report census jaipur city population overall literacy rate city males females literate sex ratio females males child sex ratio recorded population city expected grow lakhs,8.50,"according,provisional,report,census,jaipur,city,population,overall,literacy,rate,city,males,females,literate,sex,ratio,females,males,child,sex,ratio,recorded,population,city,expected,grow,lakhs",0.00,jaipur
"the official language of jaipur is hindi and the additional official language is english the native and main dialect of the city is dhundari the marwari and standard hindi dialects are also spoken along with english
",official language jaipur hindi additional official language english native main dialect city dhundari marwari standard hindi dialects spoken english,7.87,"official,language,jaipur,hindi,additional,official,language,english,native,main,dialect,city,dhundari,marwari,standard,hindi,dialects,spoken,english",0.00,jaipur
"the jaipur municipal corporation  was established in the year  the area of the municipal corporation is  square km and it is governed under the rajasthan municipality act of  the municipal corporation is headed by a mayor
",jaipur municipal corporation established year area municipal corporation square km governed rajasthan municipality act municipal corporation headed mayor,8.11,"jaipur,municipal,corporation,established,year,area,municipal,corporation,square,km,governed,rajasthan,municipality,act,municipal,corporation,headed,mayor",0.00,jaipur
"jmc was recently bifurcated into two municipal corporations namely greater jaipur municipal corporation and jaipur heritage municipal corporation originally the municipality had  wards and each ward was represented by an elected member however the local self government department of rajasthan divided jaipur into two municipal corporations namely greater jaipur municipal corporation and heritage jaipur municipal corporation with  and  wards each respectively
",jmc recently bifurcated municipal corporations greater jaipur municipal corporation jaipur heritage municipal corporation originally municipality wards ward represented elected member local self government department rajasthan divided jaipur municipal corporations greater jaipur municipal corporation heritage jaipur municipal corporation wards respectively,4.76,"jmc,recently,bifurcated,municipal,corporations,greater,jaipur,municipal,corporation,jaipur,heritage,municipal,corporation,originally,municipality,wards,ward,represented,elected,member,local,self,government,department,rajasthan,divided,jaipur,municipal,corporations,greater,jaipur,municipal,corporation,heritage,jaipur,municipal,corporation,wards,respectively",0.00,jaipur
