Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"japan nb  is an island country in east asia it is situated in the northwest pacific ocean and is bordered on the west by the sea of japan extending from the sea of okhotsk in the north toward the east china sea philippine sea and taiwan in the south japan is a part of the ring of fire and spans an archipelago of  islands covering  square kilometers  the five main islands are hokkaido honshu  shikoku kyushu and okinawa tokyo is the nations capital and largest city followed by yokohama osaka nagoya sapporo fukuoka kobe and kyoto
",japan nb island country east asia situated northwest pacific ocean bordered west sea japan extending sea okhotsk north east china sea philippine sea taiwan south japan ring fire spans archipelago islands covering square kilometers main islands hokkaido honshu shikoku kyushu okinawa tokyo nations capital largest city followed yokohama osaka nagoya sapporo fukuoka kobe kyoto,7.88,"japan,nb,island,country,east,asia,situated,northwest,pacific,ocean,bordered,west,sea,japan,extending,sea,okhotsk,north,east,china,sea,philippine,sea,taiwan,south,japan,ring,fire,spans,archipelago,islands,covering,square,kilometers,main,islands,hokkaido,honshu,shikoku,kyushu,okinawa,tokyo,nations,capital,largest,city,followed,yokohama,osaka,nagoya,sapporo,fukuoka,kobe,kyoto",0.00,japan
"japan is the eleventh most populous country in the world as well as one of the most densely populated and urbanized about three fourths of the countrys terrain is mountainous concentrating its population of almost  million on narrow coastal plains japan is divided into  administrative prefectures and eight traditional regions the greater tokyo area is the most populous metropolitan area in the world with more than  million residents
",japan eleventh populous country world densely populated urbanized fourths countrys terrain mountainous concentrating population million narrow coastal plains japan divided administrative prefectures traditional regions greater tokyo area populous metropolitan area world million residents,8.01,"japan,eleventh,populous,country,world,densely,populated,urbanized,fourths,countrys,terrain,mountainous,concentrating,population,million,narrow,coastal,plains,japan,divided,administrative,prefectures,traditional,regions,greater,tokyo,area,populous,metropolitan,area,world,million,residents",0.00,japan
"japan has been inhabited since the upper paleolithic period  though the first written mention of the archipelago appears in a chinese chronicle  finished in the nd century ad between the th and th centuries the kingdoms of japan became unified under an emperor and the imperial court based in heian ky beginning in the th century political power was held by a series of military dictators  and feudal lords  and enforced by a class of warrior nobility  after a century long period of civil war the country was reunified in  under the tokugawa shogunate which enacted an isolationist foreign policy in  a united states fleet forced japan to open trade to the west which led to the end of the shogunate and the restoration of imperial power in 
",japan inhabited upper paleolithic period written mention archipelago appears chinese chronicle finished nd century ad th th centuries kingdoms japan unified emperor imperial court based heian ky beginning th century political power held series military dictators feudal lords enforced class warrior nobility century long period civil war country reunified tokugawa shogunate enacted isolationist foreign policy united states fleet forced japan open trade west led end shogunate restoration imperial power,7.94,"japan,inhabited,upper,paleolithic,period,written,mention,archipelago,appears,chinese,chronicle,finished,nd,century,ad,th,th,centuries,kingdoms,japan,unified,emperor,imperial,court,based,heian,ky,beginning,th,century,political,power,held,series,military,dictators,feudal,lords,enforced,class,warrior,nobility,century,long,period,civil,war,country,reunified,tokugawa,shogunate,enacted,isolationist,foreign,policy,united,states,fleet,forced,japan,open,trade,west,led,end,shogunate,restoration,imperial,power",0.00,japan
"in the meiji period the empire of japan adopted a western modeled constitution and pursued a program of industrialization and modernization amidst a rise in militarism and overseas colonization japan invaded china in  and entered world war ii as an axis power in  after suffering defeat in the pacific war and two atomic bombings japan surrendered in  and came under a seven year allied occupation during which it adopted a new constitution and began a military alliance with the united states under the  constitution japan has maintained a unitary parliamentary constitutional monarchy with a bicameral legislature the national diet
",meiji period empire japan adopted western modeled constitution pursued program industrialization modernization amidst rise militarism overseas colonization japan invaded china entered world war ii axis power suffering defeat pacific war atomic bombings japan surrendered came seven year allied occupation adopted new constitution began military alliance united states constitution japan maintained unitary parliamentary constitutional monarchy bicameral legislature national diet,6.47,"meiji,period,empire,japan,adopted,western,modeled,constitution,pursued,program,industrialization,modernization,amidst,rise,militarism,overseas,colonization,japan,invaded,china,entered,world,war,ii,axis,power,suffering,defeat,pacific,war,atomic,bombings,japan,surrendered,came,seven,year,allied,occupation,adopted,new,constitution,began,military,alliance,united,states,constitution,japan,maintained,unitary,parliamentary,constitutional,monarchy,bicameral,legislature,national,diet",0.00,japan
"japan is a developed country and a great power it is a member of numerous international organizations including the united nations g oecd and the group of seven its economy is the worlds third largest by nominal gdp and the fourth largest by ppp with its per capita income ranking at th highest in the world although japan has renounced its right to declare war the country maintains self defense forces that rank as one of the worlds strongest militaries after world war ii japan experienced record growth in an economic miracle becoming the second largest economy in the world by  but has stagnated since  in what is referred to as the lost decades japan has the worlds highest life expectancy though it is experiencing a population decline a global leader in the automotive robotics and electronics industries the country has made significant contributions to science and technology the culture of japan is well known around the world including its art cuisine film music and popular culture which encompasses prominent manga anime and video game industries
",japan developed country great power member numerous international organizations including united nations g oecd group seven economy worlds largest nominal gdp fourth largest ppp capita income ranking th highest world japan renounced right declare war country maintains self defense forces rank worlds strongest militaries world war ii japan experienced record growth economic miracle second largest economy world stagnated referred lost decades japan worlds highest life expectancy experiencing population decline global leader automotive robotics electronics industries country significant contributions science technology culture japan known world including art cuisine film music popular culture encompasses prominent manga anime video game industries,7.35,"japan,developed,country,great,power,member,numerous,international,organizations,including,united,nations,g,oecd,group,seven,economy,worlds,largest,nominal,gdp,fourth,largest,ppp,capita,income,ranking,th,highest,world,japan,renounced,right,declare,war,country,maintains,self,defense,forces,rank,worlds,strongest,militaries,world,war,ii,japan,experienced,record,growth,economic,miracle,second,largest,economy,world,stagnated,referred,lost,decades,japan,worlds,highest,life,expectancy,experiencing,population,decline,global,leader,automotive,robotics,electronics,industries,country,significant,contributions,science,technology,culture,japan,known,world,including,art,cuisine,film,music,popular,culture,encompasses,prominent,manga,anime,video,game,industries",0.00,japan
"the name for japan in japanese is written using the kanji  and is pronounced nippon or nihon before  was adopted in the early th century the country was known in china as wa  and in japan by the endonym yamato nippon the original sino japanese reading of the characters is favored for official uses including on banknotes and postage stamps nihon is typically used in everyday speech and reflects shifts in japanese phonology during the edo period the characters  mean sun origin which is the source of the popular western epithet land of the rising sun
",japan japanese written kanji pronounced nippon nihon adopted early th century country known china wa japan endonym yamato nippon original sino japanese reading characters favored official uses including banknotes postage stamps nihon typically everyday speech reflects shifts japanese phonology edo period characters mean sun origin source popular western epithet land rising sun,7.94,"japan,japanese,written,kanji,pronounced,nippon,nihon,adopted,early,th,century,country,known,china,wa,japan,endonym,yamato,nippon,original,sino,japanese,reading,characters,favored,official,uses,including,banknotes,postage,stamps,nihon,typically,everyday,speech,reflects,shifts,japanese,phonology,edo,period,characters,mean,sun,origin,source,popular,western,epithet,land,rising,sun",0.00,japan
"the name japan is based on chinese pronunciations of  and was introduced to european languages through early trade in the th century marco polo recorded the early mandarin or wu chinese pronunciation of the characters  as cipangu the old malay name for japan japang or japun was borrowed from a southern coastal chinese dialect and encountered by portuguese traders in southeast asia who brought the word to europe in the early th century the first version of the name in english appears in a book published in  which spelled the name as giapan in a translation of a  portuguese letter
",japan based chinese pronunciations introduced european languages early trade th century marco polo recorded early mandarin wu chinese pronunciation characters cipangu old malay japan japang japun borrowed southern coastal chinese dialect encountered portuguese traders southeast asia brought word europe early th century version english appears book published spelled giapan translation portuguese letter,8.19,"japan,based,chinese,pronunciations,introduced,european,languages,early,trade,th,century,marco,polo,recorded,early,mandarin,wu,chinese,pronunciation,characters,cipangu,old,malay,japan,japang,japun,borrowed,southern,coastal,chinese,dialect,encountered,portuguese,traders,southeast,asia,brought,word,europe,early,th,century,version,english,appears,book,published,spelled,giapan,translation,portuguese,letter",0.00,japan
"a paleolithic culture from around  because constitutes the first known habitation of the islands of japan this was followed from around  because  by a mesolithic to neolithic semi sedentary hunter gatherer culture characterized by pit dwelling and rudimentary agriculture clay vessels from the period are among the oldest surviving examples of pottery from around  because the japonic speaking yayoi people began to enter the archipelago from the korean peninsula intermingling with the jmon the yayoi period saw the introduction of practices including wet rice farming a new style of pottery and metallurgy from china and korea according to legend emperor jimmu  founded a kingdom in central japan in  because beginning a continuous imperial line
",paleolithic culture constitutes known habitation islands japan followed mesolithic neolithic semi sedentary hunter gatherer culture characterized pit dwelling rudimentary agriculture clay vessels period oldest surviving examples pottery japonic speaking yayoi people began enter archipelago korean peninsula intermingling jmon yayoi period saw introduction practices including wet rice farming new style pottery metallurgy china korea according legend emperor jimmu founded kingdom central japan beginning continuous imperial line,6.55,"paleolithic,culture,constitutes,known,habitation,islands,japan,followed,mesolithic,neolithic,semi,sedentary,hunter,gatherer,culture,characterized,pit,dwelling,rudimentary,agriculture,clay,vessels,period,oldest,surviving,examples,pottery,japonic,speaking,yayoi,people,began,enter,archipelago,korean,peninsula,intermingling,jmon,yayoi,period,saw,introduction,practices,including,wet,rice,farming,new,style,pottery,metallurgy,china,korea,according,legend,emperor,jimmu,founded,kingdom,central,japan,beginning,continuous,imperial,line",0.00,japan
"japan first appears in written history in the chinese book of han completed in  ad buddhism was introduced to japan from baekje  in  but the development of japanese buddhism was primarily influenced by china despite early resistance buddhism was promoted by the ruling class including figures like prince shtoku and gained widespread acceptance beginning in the asuka period 
",japan appears written history chinese book han completed ad buddhism introduced japan baekje development japanese buddhism primarily influenced china despite early resistance buddhism promoted ruling class including figures like prince shtoku gained widespread acceptance beginning asuka period,5.59,"japan,appears,written,history,chinese,book,han,completed,ad,buddhism,introduced,japan,baekje,development,japanese,buddhism,primarily,influenced,china,despite,early,resistance,buddhism,promoted,ruling,class,including,figures,like,prince,shtoku,gained,widespread,acceptance,beginning,asuka,period",0.00,japan
"the far reaching taika reforms in  nationalized all land in japan to be distributed equally among cultivators and ordered the compilation of a household registry as the basis for a new system of taxation the jinshin war of  a bloody conflict between prince ama and his nephew prince tomo became a major catalyst for further administrative reforms these reforms culminated with the promulgation of the taih code which consolidated existing statutes and established the structure of the central and subordinate local governments these legal reforms created the ritsury state a system of chinese style centralized government that remained in place for half a millennium
",far reaching taika reforms nationalized land japan distributed equally cultivators ordered compilation household registry basis new system taxation jinshin war bloody conflict prince ama nephew prince tomo major catalyst administrative reforms reforms culminated promulgation taih code consolidated existing statutes established structure central subordinate local governments legal reforms created ritsury state system chinese style centralized government remained place half millennium,6.75,"far,reaching,taika,reforms,nationalized,land,japan,distributed,equally,cultivators,ordered,compilation,household,registry,basis,new,system,taxation,jinshin,war,bloody,conflict,prince,ama,nephew,prince,tomo,major,catalyst,administrative,reforms,reforms,culminated,promulgation,taih,code,consolidated,existing,statutes,established,structure,central,subordinate,local,governments,legal,reforms,created,ritsury,state,system,chinese,style,centralized,government,remained,place,half,millennium",0.00,japan
