Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the yen  is the official currency of japan it is the third most traded currency in the foreign exchange market after the united states dollar  and the euro it is also widely used as a third reserve currency after the us dollar and the euro
",yen official currency japan traded currency foreign exchange market united states dollar euro widely reserve currency dollar euro,11.25,"yen,official,currency,japan,traded,currency,foreign,exchange,market,united,states,dollar,euro,widely,reserve,currency,dollar,euro",0.00,yen
"the new currency act of  introduced japans modern currency system with the yen defined as  g  of gold or  g  of silver and divided decimally into  sen or  rin the yen replaced the previous tokugawa coinage as well as the various hansatsu paper currencies issued by feudal han  the bank of japan was founded in  and given a monopoly on controlling the money supply
",new currency act introduced japans modern currency system yen defined g gold g silver divided decimally sen rin yen replaced previous tokugawa coinage hansatsu paper currencies issued feudal han bank japan founded given monopoly controlling money supply,7.42,"new,currency,act,introduced,japans,modern,currency,system,yen,defined,g,gold,g,silver,divided,decimally,sen,rin,yen,replaced,previous,tokugawa,coinage,hansatsu,paper,currencies,issued,feudal,han,bank,japan,founded,given,monopoly,controlling,money,supply",0.00,yen
"following world war ii the yen lost much of its prewar value to stabilize the japanese economy the exchange rate of the yen was fixed at  per us as part of the bretton woods system when that system was abandoned in  the yen became undervalued and was allowed to float the yen had appreciated to a peak of  per us in  then underwent periods of depreciation and appreciation due to the  oil crisis arriving at a value of  per us by 
",following world war ii yen lost prewar value stabilize japanese economy exchange rate yen fixed bretton woods system system abandoned yen undervalued allowed float yen appreciated peak underwent periods depreciation appreciation oil crisis arriving value,10.67,"following,world,war,ii,yen,lost,prewar,value,stabilize,japanese,economy,exchange,rate,yen,fixed,bretton,woods,system,system,abandoned,yen,undervalued,allowed,float,yen,appreciated,peak,underwent,periods,depreciation,appreciation,oil,crisis,arriving,value",0.00,yen
"since  the japanese government has maintained a policy of currency intervention so the yen is under a dirty float regime the japanese government focused on a competitive export market and tried to ensure a low exchange rate for the yen through a trade surplus the plaza accord of  temporarily changed this situation the exchange rate fell from its average of  per dollar in  to  in  and led to a peak rate of  against the us in  effectively increasing the value of japans gdp in dollar terms to almost that of the united states since that time however the world price of the yen has greatly decreased the bank of japan maintains a policy of zero to near zero interest rates and the japanese government has previously had a strict anti inflation policy
",japanese government maintained policy currency intervention yen dirty float regime japanese government focused competitive export market tried ensure low exchange rate yen trade surplus plaza accord temporarily changed situation exchange rate fell average dollar led peak rate effectively increasing value japans gdp dollar terms united states time world price yen greatly decreased bank japan maintains policy zero near zero interest rates japanese government previously strict anti inflation policy,8.51,"japanese,government,maintained,policy,currency,intervention,yen,dirty,float,regime,japanese,government,focused,competitive,export,market,tried,ensure,low,exchange,rate,yen,trade,surplus,plaza,accord,temporarily,changed,situation,exchange,rate,fell,average,dollar,led,peak,rate,effectively,increasing,value,japans,gdp,dollar,terms,united,states,time,world,price,yen,greatly,decreased,bank,japan,maintains,policy,zero,near,zero,interest,rates,japanese,government,previously,strict,anti,inflation,policy",0.00,yen
"yen derives from the japanese word   which borrows its phonetic reading from chinese yuan similar to north korean won and south korean won originally the chinese had traded silver in mass called sycees and when spanish and mexican silver coins arrived from the philippines the chinese called them silver rounds  for their circular shapes the coins and the name also appeared in japan while the chinese eventually replaced   with note  the japanese continued to use the same word which was given the shinjitai form  in reforms at the end of world war ii
",yen derives japanese word borrows phonetic reading chinese yuan similar north korean south korean originally chinese traded silver mass called sycees spanish mexican silver coins arrived philippines chinese called silver rounds circular shapes coins appeared japan chinese eventually replaced note japanese continued use word given shinjitai form reforms end world war ii,7.41,"yen,derives,japanese,word,borrows,phonetic,reading,chinese,yuan,similar,north,korean,south,korean,originally,chinese,traded,silver,mass,called,sycees,spanish,mexican,silver,coins,arrived,philippines,chinese,called,silver,rounds,circular,shapes,coins,appeared,japan,chinese,eventually,replaced,note,japanese,continued,use,word,given,shinjitai,form,reforms,end,world,war,ii",0.00,yen
"the spelling and pronunciation yen is standard in english because when japan was first encountered by europeans around the th century japanese e  and we  both had been pronounced je and portuguese missionaries had spelled them yenote  by the middle of the th century e and we came to be pronounced e as in modern japanese although some regions retain the je pronunciation walter henry medhurst who had neither been to japan nor met any japanese people having consulted mainly a japanese dutch dictionary spelled some es as ye in his an english and japanese and japanese and english vocabulary  in the early meiji era james curtis hepburn following medhurst spelled all es as ye in his a japanese and english dictionary  in japanese e and i are slightly palatalized somewhat as in russian that was the first full scale japanese englishenglish japanese dictionary which had a strong influence on westerners in japan and probably prompted the spelling yen hepburn revised most yes to e in the rd edition  to mirror the contemporary pronunciation except yen since  the spelling yen is depicted on japanese banknotescitation needed
",spelling pronunciation yen standard english japan encountered europeans th century japanese e pronounced je portuguese missionaries spelled yenote middle th century e came pronounced e modern japanese regions retain je pronunciation walter henry medhurst japan met japanese people consulted mainly japanese dutch dictionary spelled es ye english japanese japanese english vocabulary early meiji era james curtis hepburn following medhurst spelled es ye japanese english dictionary japanese e slightly palatalized somewhat russian scale japanese englishenglish japanese dictionary strong influence westerners japan probably prompted spelling yen hepburn revised yes e rd edition mirror contemporary pronunciation yen spelling yen depicted japanese banknotescitation needed,7.63,"spelling,pronunciation,yen,standard,english,japan,encountered,europeans,th,century,japanese,e,pronounced,je,portuguese,missionaries,spelled,yenote,middle,th,century,e,came,pronounced,e,modern,japanese,regions,retain,je,pronunciation,walter,henry,medhurst,japan,met,japanese,people,consulted,mainly,japanese,dutch,dictionary,spelled,es,ye,english,japanese,japanese,english,vocabulary,early,meiji,era,james,curtis,hepburn,following,medhurst,spelled,es,ye,japanese,english,dictionary,japanese,e,slightly,palatalized,somewhat,russian,scale,japanese,englishenglish,japanese,dictionary,strong,influence,westerners,japan,probably,prompted,spelling,yen,hepburn,revised,yes,e,rd,edition,mirror,contemporary,pronunciation,yen,spelling,yen,depicted,japanese,banknotescitation,needed",0.00,yen
"kuma shigenobu was in charge of japans fiscal and foreign policy in the early meiji period and he worked with inoue kaoru it hirobumi and shibusawa eiichito run the ministry of finance seeking to introduce a modern monetary system into japan kuma proposed that coins which were previously square be made into circles and that the names of the traditional currencies ry  bu  and shu  be unified into yen  which was accepted by the government
",kuma shigenobu charge japans fiscal foreign policy early meiji period worked inoue kaoru hirobumi shibusawa eiichito run ministry finance seeking introduce modern monetary system japan kuma proposed coins previously square circles names traditional currencies ry bu shu unified yen accepted government,7.71,"kuma,shigenobu,charge,japans,fiscal,foreign,policy,early,meiji,period,worked,inoue,kaoru,hirobumi,shibusawa,eiichito,run,ministry,finance,seeking,introduce,modern,monetary,system,japan,kuma,proposed,coins,previously,square,circles,names,traditional,currencies,ry,bu,shu,unified,yen,accepted,government",0.00,yen
"on june   the meiji government officially adopted the yen as japans modern unit of currency under the new currency act of  while initially defined at par with the spanish and mexican dollars then circulating in the th century at  troy ounce  of fine silver the yen was also defined as  grams of fine gold considering recommendations to put the currency on the bimetallic standard the act also stipulated the adoption of the decimal accounting system of yen  sen  and rin  with the coins being round and manufactured using western machinery acquired from hong kong the new currency was gradually introduced beginning from july of that year
",june meiji government officially adopted yen japans modern unit currency new currency act initially defined par spanish mexican dollars circulating th century troy ounce fine silver yen defined grams fine gold considering recommendations currency bimetallic standard act stipulated adoption decimal accounting system yen sen rin coins round manufactured western machinery acquired hong kong new currency gradually introduced beginning july year,7.20,"june,meiji,government,officially,adopted,yen,japans,modern,unit,currency,new,currency,act,initially,defined,par,spanish,mexican,dollars,circulating,th,century,troy,ounce,fine,silver,yen,defined,grams,fine,gold,considering,recommendations,currency,bimetallic,standard,act,stipulated,adoption,decimal,accounting,system,yen,sen,rin,coins,round,manufactured,western,machinery,acquired,hong,kong,new,currency,gradually,introduced,beginning,july,year",0.00,yen
"the yen replaced the complex monetary system of the edo period in the form of tokugawa coinage as well as the various hansatsu paper currencies issued by japans feudal fiefs in an array of incompatible denominations the former han  became prefectures and their mints private chartered banks which initially retained the right to print money to bring an end to this situation the bank of japan was founded in  and given a monopoly on controlling the money supply
",yen replaced complex monetary system edo period form tokugawa coinage hansatsu paper currencies issued japans feudal fiefs array incompatible denominations han prefectures mints private chartered banks initially retained right print money bring end situation bank japan founded given monopoly controlling money supply,7.79,"yen,replaced,complex,monetary,system,edo,period,form,tokugawa,coinage,hansatsu,paper,currencies,issued,japans,feudal,fiefs,array,incompatible,denominations,han,prefectures,mints,private,chartered,banks,initially,retained,right,print,money,bring,end,situation,bank,japan,founded,given,monopoly,controlling,money,supply",0.00,yen
"following the silver devaluation of  the yen devalued against the us and canadian dollars  and by  the yen was worth only about us in that year japan adopted a gold exchange standard defining the yen as  g fine gold or us this exchange rate remained in place until japan left the gold standard in december  after which the yen fell to  by july  and to  by  it remained steady at around  until the start of the pacific war on december   at which time it fell to  the sen and the rin were eventually taken out of circulation at the end of 
",following silver devaluation yen devalued canadian dollars yen worth year japan adopted gold exchange standard defining yen g fine gold exchange rate remained place japan left gold standard december yen fell july remained steady start pacific war december time fell sen rin eventually taken circulation end,10.22,"following,silver,devaluation,yen,devalued,canadian,dollars,yen,worth,year,japan,adopted,gold,exchange,standard,defining,yen,g,fine,gold,exchange,rate,remained,place,japan,left,gold,standard,december,yen,fell,july,remained,steady,start,pacific,war,december,time,fell,sen,rin,eventually,taken,circulation,end",0.00,yen
