Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"jharkhand  is a state in eastern india the state shares its border with the states of west bengal to the east chhattisgarh to the west uttar pradesh to the northwest bihar to the north and odisha to the south it has an area of  km  it is the th largest state by area and the th largest by population hindi is the official language of the state the city of ranchi is its capital and dumka its sub capital the state is known for its waterfalls hills and holy places baidyanath dham parasnath dewri and rajrappa are major religious sites the state was formed on  november  after carving out what was previously the southern half of bihar
",jharkhand state eastern india state shares border states west bengal east chhattisgarh west uttar pradesh northwest bihar north odisha south area km th largest state area th largest population hindi official language state city ranchi capital dumka sub capital state known waterfalls hills holy places baidyanath dham parasnath dewri rajrappa major religious sites state formed november carving previously southern half bihar,8.82,"jharkhand,state,eastern,india,state,shares,border,states,west,bengal,east,chhattisgarh,west,uttar,pradesh,northwest,bihar,north,odisha,south,area,km,th,largest,state,area,th,largest,population,hindi,official,language,state,city,ranchi,capital,dumka,sub,capital,state,known,waterfalls,hills,holy,places,baidyanath,dham,parasnath,dewri,rajrappa,major,religious,sites,state,formed,november,carving,previously,southern,half,bihar",0.00,ranchi
"king ram shah ruled navratangarh from  to  he built kapilnath temple in  he succeeded by his son raghunath shah thakur ani nath shahdeo built jagannath temple of ranchi in  the king medini ray ruled from  to  in palamau his rule extended to areas in south gaya and hazaribagh he attacked navratangarh and defeated the nagvanshi maharaja of chhotanagpur the chero rule in palamu region lasted until th ce until internal conflict between various factions weakened the cheros and they were defeated by the east india company later palamu estate was sold by the british
",king ram shah ruled navratangarh built kapilnath temple succeeded son raghunath shah thakur ani nath shahdeo built jagannath temple ranchi king medini ray ruled palamau rule extended areas south gaya hazaribagh attacked navratangarh defeated nagvanshi maharaja chhotanagpur chero rule palamu region lasted th ce internal conflict factions weakened cheros defeated east india company later palamu estate sold british,6.36,"king,ram,shah,ruled,navratangarh,built,kapilnath,temple,succeeded,son,raghunath,shah,thakur,ani,nath,shahdeo,built,jagannath,temple,ranchi,king,medini,ray,ruled,palamau,rule,extended,areas,south,gaya,hazaribagh,attacked,navratangarh,defeated,nagvanshi,maharaja,chhotanagpur,chero,rule,palamu,region,lasted,th,ce,internal,conflict,factions,weakened,cheros,defeated,east,india,company,later,palamu,estate,sold,british",0.00,ranchi
"jagannath temple at ranchi built by king ani nath shahdeo
",jagannath temple ranchi built king ani nath shahdeo,3.45,"jagannath,temple,ranchi,built,king,ani,nath,shahdeo",0.00,ranchi
"climate of jharkhand varies from humid subtropical in the north to tropical wet and dry in the south east the main seasons are summer rainy autumn winter and spring the summer lasts from mid april to mid june may the hottest month characterised by daily high temperatures around  c  and low temperatures around  c  the southwest monsoon from mid june to october brings nearly all the states annual rainfall which ranges from about  mm  in the west central part of the state to more than  mm  in the southwest nearly half of the annual precipitation falls in july and august the winter season lasts from november to february the temperatures in ranchi in december usually vary from  c  spring season lasts from mid february to mid april
",climate jharkhand varies humid subtropical north tropical wet dry south east main seasons summer rainy autumn winter spring summer lasts mid april mid june hottest month characterised daily high temperatures c low temperatures c southwest monsoon mid june october brings nearly states annual rainfall ranges mm west central state mm southwest nearly half annual precipitation falls july august winter season lasts november february temperatures ranchi december usually vary c spring season lasts mid february mid april,6.93,"climate,jharkhand,varies,humid,subtropical,north,tropical,wet,dry,south,east,main,seasons,summer,rainy,autumn,winter,spring,summer,lasts,mid,april,mid,june,hottest,month,characterised,daily,high,temperatures,c,low,temperatures,c,southwest,monsoon,mid,june,october,brings,nearly,states,annual,rainfall,ranges,mm,west,central,state,mm,southwest,nearly,half,annual,precipitation,falls,july,august,winter,season,lasts,november,february,temperatures,ranchi,december,usually,vary,c,spring,season,lasts,mid,february,mid,april",0.00,ranchi
"a crocodile at muta crocodile breeding centre at ormanjhi ranchi
",crocodile muta crocodile breeding centre ormanjhi ranchi,4.62,"crocodile,muta,crocodile,breeding,centre,ormanjhi,ranchi",0.00,ranchi
"according to the  indian census jharkhand has a population of  million consisting of  million males and  million females the sex ratio is  females to  males the literacy rate of the state was  with ranchi district being most educated at  compared to rural pakur district being least at 
",according indian census jharkhand population million consisting million males million females sex ratio females males literacy rate state ranchi district educated compared rural pakur district,7.67,"according,indian,census,jharkhand,population,million,consisting,million,males,million,females,sex,ratio,females,males,literacy,rate,state,ranchi,district,educated,compared,rural,pakur,district",0.00,ranchi
"the head of the bureaucracy of the state is the chief secretary under this position is a hierarchy of officials drawn from the indian administrative service indian police service indian forest service and different wings of the state civil services the judiciary is headed by the chief justice jharkhand has a high court which has been functioning since  all the branches of the government are located in the state capital ranchi
",head bureaucracy state chief secretary position hierarchy officials drawn indian administrative service indian police service indian forest service different wings state civil services judiciary headed chief justice jharkhand high court functioning branches government located state capital ranchi,7.91,"head,bureaucracy,state,chief,secretary,position,hierarchy,officials,drawn,indian,administrative,service,indian,police,service,indian,forest,service,different,wings,state,civil,services,judiciary,headed,chief,justice,jharkhand,high,court,functioning,branches,government,located,state,capital,ranchi",0.00,ranchi
"jharkhand has several towns and innumerable villages with civic amenities urbanization ratio is  jharkhand also has immense mineral resources minerals ranging from  from iron ore  coal  copper ore  mica  bauxite  manganese limestone china clay fire clay graphite  kainite  chromite  asbestos  thorium  sillimanite uranium   and even gold   and silver and several other minerals large deposits of coal and iron ore support concentration of industry in centres like jamshedpur dhanbad bokaro and ranchi tata steel a nse nifty  conglomerate has its corporate office and main plant in tatanagar jharkhand it reported a gross income of   million for  ntpc will start coal production from its captive mine in state in  for which the company will be investing about rs  billion
",jharkhand towns innumerable villages civic amenities urbanization ratio jharkhand immense mineral resources minerals ranging iron ore coal copper ore mica bauxite manganese limestone china clay fire clay graphite kainite chromite asbestos thorium sillimanite uranium gold silver minerals large deposits coal iron ore support concentration industry centres like jamshedpur dhanbad bokaro ranchi tata steel nse nifty conglomerate corporate office main plant tatanagar jharkhand reported gross income million ntpc start coal production captive state company investing rs billion,5.32,"jharkhand,towns,innumerable,villages,civic,amenities,urbanization,ratio,jharkhand,immense,mineral,resources,minerals,ranging,iron,ore,coal,copper,ore,mica,bauxite,manganese,limestone,china,clay,fire,clay,graphite,kainite,chromite,asbestos,thorium,sillimanite,uranium,gold,silver,minerals,large,deposits,coal,iron,ore,support,concentration,industry,centres,like,jamshedpur,dhanbad,bokaro,ranchi,tata,steel,nse,nifty,conglomerate,corporate,office,main,plant,tatanagar,jharkhand,reported,gross,income,million,ntpc,start,coal,production,captive,state,company,investing,rs,billion",0.00,ranchi
"there are some television channel newspapers and radio which operates in jharkhand dd jharkhand is important channel in jharkhand all india radio also operates from ranchi
",television channel newspapers radio operates jharkhand dd jharkhand important channel jharkhand india radio operates ranchi,6.40,"television,channel,newspapers,radio,operates,jharkhand,dd,jharkhand,important,channel,jharkhand,india,radio,operates,ranchi",0.00,ranchi
"hindustan dainik jagran sokal sokal prabhat khabar ranchi express are some of the hindi newspapers and the times of india hindustan times navbharat times the pioneer the telegraph are some english newspapers in jharkhand
",hindustan dainik jagran sokal sokal prabhat khabar ranchi express hindi newspapers times india hindustan times navbharat times pioneer telegraph english newspapers jharkhand,5.43,"hindustan,dainik,jagran,sokal,sokal,prabhat,khabar,ranchi,express,hindi,newspapers,times,india,hindustan,times,navbharat,times,pioneer,telegraph,english,newspapers,jharkhand",0.00,ranchi
