Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"kabul  is the capital and largest city of afghanistan located in the eastern half of the country it is also a municipality forming part of the kabul province it is administratively divided into  municipal districts according to late  estimates the population of kabul was  million people in contemporary times the city has served as afghanistans political cultural and economical centre and rapid urbanisation has made kabul the th largest city in the world and the countrys primate city
",kabul capital largest city afghanistan located eastern half country municipality forming kabul province administratively divided municipal districts according late estimates population kabul million people contemporary times city served afghanistans political cultural economical centre rapid urbanisation kabul th largest city world countrys primate city,7.17,"kabul,capital,largest,city,afghanistan,located,eastern,half,country,municipality,forming,kabul,province,administratively,divided,municipal,districts,according,late,estimates,population,kabul,million,people,contemporary,times,city,served,afghanistans,political,cultural,economical,centre,rapid,urbanisation,kabul,th,largest,city,world,countrys,primate,city",0.00,kabul
"the modern day city of kabul is located high up in a narrow valley between the hindu kush and is bounded by the kabul river at an elevation of  metres  it is one of the highest capital cities in the world kabul is said to be over  years old mentioned since at least the time of the achaemenid persian empire located at a crossroads in asiaroughly halfway between istanbul turkey in the west and hanoi vietnam in the eastit is situated in a strategic location along the trade routes of central asia and south asia and was a key destination on the ancient silk road it was traditionally seen as the meeting point between tartary india and persia kabul has also been under the rule of various other dynasties and empires including the seleucids the kushans the hindu shahis western turks the turk shahis the samanids the khwarazmians the timurids and the mongols among others in the th century the mughal empire used kabul as a summer capital during which time it prospered and increased in significance it briefly came under the control of the afsharids following nader shahs invasion of india until finally becoming coming under local rule by the afghan empire in  kabul became the capital of afghanistan in  during the reign of timur shah durrani  in the th century the city was occupied by the british but after establishing foreign relations and agreements they were compelled to withdraw all forces from afghanistan and returned to british india
",modern day city kabul located high narrow valley hindu kush bounded kabul river elevation metres highest capital cities world kabul said years old mentioned time achaemenid persian empire located crossroads asiaroughly halfway istanbul turkey west hanoi vietnam eastit situated strategic location trade routes central asia south asia key destination ancient silk road traditionally seen meeting point tartary india persia kabul rule dynasties empires including seleucids kushans hindu shahis western turks turk shahis samanids khwarazmians timurids mongols th century mughal empire kabul summer capital time prospered increased significance briefly came control afsharids following nader shahs invasion india finally coming local rule afghan empire kabul capital afghanistan reign timur shah durrani th century city occupied british establishing foreign relations agreements compelled withdraw forces afghanistan returned british india,8.63,"modern,day,city,kabul,located,high,narrow,valley,hindu,kush,bounded,kabul,river,elevation,metres,highest,capital,cities,world,kabul,said,years,old,mentioned,time,achaemenid,persian,empire,located,crossroads,asiaroughly,halfway,istanbul,turkey,west,hanoi,vietnam,eastit,situated,strategic,location,trade,routes,central,asia,south,asia,key,destination,ancient,silk,road,traditionally,seen,meeting,point,tartary,india,persia,kabul,rule,dynasties,empires,including,seleucids,kushans,hindu,shahis,western,turks,turk,shahis,samanids,khwarazmians,timurids,mongols,th,century,mughal,empire,kabul,summer,capital,time,prospered,increased,significance,briefly,came,control,afsharids,following,nader,shahs,invasion,india,finally,coming,local,rule,afghan,empire,kabul,capital,afghanistan,reign,timur,shah,durrani,th,century,city,occupied,british,establishing,foreign,relations,agreements,compelled,withdraw,forces,afghanistan,returned,british,india",0.00,kabul
"kabul is known for its historical gardens bazaars and palaces well known examples are the gardens of babur and darul aman palace as well as the arg in the second half of the th century it became a stop on the hippie trail undertaken by many europeans and the city also gained the nickname paris of central asia during this time however this period of tranquility ended in  with the saur revolution and subsequent soviet military intervention in  which sparked the protracted sovietafghan war until  the s were marked by continuous civil wars between various splinter factions of the disbanded afghan mujahideen which destroyed much of the city in  kabul was captured by the taliban after four years of intermittent fighting with other afghan factions however the taliban ruled city soon fell to the united states after the american led invasion of afghanistan in  in  kabul was re captured by the taliban following the withdrawal of american led military forces from afghanistan
",kabul known historical gardens bazaars palaces known examples gardens babur darul aman palace arg second half th century stop hippie trail undertaken europeans city gained nickname paris central asia time period tranquility ended saur revolution subsequent soviet military intervention sparked protracted sovietafghan war marked continuous civil wars splinter factions disbanded afghan mujahideen destroyed city kabul captured taliban years intermittent fighting afghan factions taliban ruled city soon fell united states american led invasion afghanistan kabul captured taliban following withdrawal american led military forces afghanistan,8.07,"kabul,known,historical,gardens,bazaars,palaces,known,examples,gardens,babur,darul,aman,palace,arg,second,half,th,century,stop,hippie,trail,undertaken,europeans,city,gained,nickname,paris,central,asia,time,period,tranquility,ended,saur,revolution,subsequent,soviet,military,intervention,sparked,protracted,sovietafghan,war,marked,continuous,civil,wars,splinter,factions,disbanded,afghan,mujahideen,destroyed,city,kabul,captured,taliban,years,intermittent,fighting,afghan,factions,taliban,ruled,city,soon,fell,united,states,american,led,invasion,afghanistan,kabul,captured,taliban,following,withdrawal,american,led,military,forces,afghanistan",0.00,kabul
"kabul  is also spelled as cabool cabol kabol or cabul
",kabul spelled cabool cabol kabol cabul,7.41,"kabul,spelled,cabool,cabol,kabol,cabul",0.00,kabul
"kabul was known by different names throughout history its meaning is unknown but certainly pre dates the advent of islam when it was an important centre on the route between india and the hellenic world in sanskrit it was known as kubha whereas greek authors of classical antiquity referred to it as kophen kophes or koa the chinese traveler xuanzang  recorded the city as kaofu the name kabul was first applied to the kabul river before being applied to the area situated between the hindu kush and sindh  this area was also known as kabulistan alexander cunningham  noted in the th century that kaofu as recorded by the chinese was in all likelihood the name of one of the five yuchi or tukhari tribes cunningam added that this tribe gave its name to the city after it was occupied by them in the nd century bce this supposition seems likely as the afghan historian mir ghulam mohammad ghobar  wrote that in the avesta  kabul was known as vaekereta whereas the greeks of antiquity referred to it as ortospana  which corresponds to the sanskrit word urddhastana which was applied to kabul the greek geographer ptolemy  recorded kabul as  
",kabul known different names history meaning unknown certainly pre dates advent islam important centre route india hellenic world sanskrit known kubha greek authors classical antiquity referred kophen kophes koa chinese traveler xuanzang recorded city kaofu kabul applied kabul river applied area situated hindu kush sindh area known kabulistan alexander cunningham noted th century kaofu recorded chinese likelihood yuchi tukhari tribes cunningam added tribe gave city occupied nd century bce supposition likely afghan historian mir ghulam mohammad ghobar wrote avesta kabul known vaekereta greeks antiquity referred ortospana corresponds sanskrit word urddhastana applied kabul greek geographer ptolemy recorded kabul,8.77,"kabul,known,different,names,history,meaning,unknown,certainly,pre,dates,advent,islam,important,centre,route,india,hellenic,world,sanskrit,known,kubha,greek,authors,classical,antiquity,referred,kophen,kophes,koa,chinese,traveler,xuanzang,recorded,city,kaofu,kabul,applied,kabul,river,applied,area,situated,hindu,kush,sindh,area,known,kabulistan,alexander,cunningham,noted,th,century,kaofu,recorded,chinese,likelihood,yuchi,tukhari,tribes,cunningam,added,tribe,gave,city,occupied,nd,century,bce,supposition,likely,afghan,historian,mir,ghulam,mohammad,ghobar,wrote,avesta,kabul,known,vaekereta,greeks,antiquity,referred,ortospana,corresponds,sanskrit,word,urddhastana,applied,kabul,greek,geographer,ptolemy,recorded,kabul",0.00,kabul
"according to a legend one could find a lake in kabul in the middle of which the so called island of happiness could be found where a joyous family of musicians lived according to this same legend the island became accessible by the order of a king through the construction of a bridge  made out of straw  according to this legend the name kabul was thus formed as a result of these two words combined that is kah  pul the concise oxford dictionary of world place names argues that the suggestion that the name is derived from the arabic root qbl meeting or receiving is unlikely
",according legend find lake kabul middle called island happiness found joyous family musicians lived according legend island accessible order king construction bridge straw according legend kabul formed result words combined kah pul concise oxford dictionary world place names argues suggestion derived arabic root qbl meeting receiving unlikely,10.19,"according,legend,find,lake,kabul,middle,called,island,happiness,found,joyous,family,musicians,lived,according,legend,island,accessible,order,king,construction,bridge,straw,according,legend,kabul,formed,result,words,combined,kah,pul,concise,oxford,dictionary,world,place,names,argues,suggestion,derived,arabic,root,qbl,meeting,receiving,unlikely",0.00,kabul
"it remains unknown when the name kabul was first applied to the city however it came into prominence following the destruction of kapisa and other cities in what is present day afghanistan by genghis khan  in the thirteenth century due to the centrality of the city within the region as well as its cultural importance as a nexus of ethnic groups in the region kabul became known as the paris of central asia in the late th century
",remains unknown kabul applied city came prominence following destruction kapisa cities present day afghanistan genghis khan thirteenth century centrality city region cultural importance nexus ethnic groups region kabul known paris central asia late th century,9.95,"remains,unknown,kabul,applied,city,came,prominence,following,destruction,kapisa,cities,present,day,afghanistan,genghis,khan,thirteenth,century,centrality,city,region,cultural,importance,nexus,ethnic,groups,region,kabul,known,paris,central,asia,late,th,century",0.00,kabul
"the origin of kabul who built it and when is largely unknown the hindu rigveda composed between  and  because and one of the four canonical texts of hinduism and the avesta the primary canon of texts of zoroastrianism refer to the kabul river and to a settlement called kubha
",origin kabul built largely unknown hindu rigveda composed canonical texts hinduism avesta primary canon texts zoroastrianism refer kabul river settlement called kubha,9.78,"origin,kabul,built,largely,unknown,hindu,rigveda,composed,canonical,texts,hinduism,avesta,primary,canon,texts,zoroastrianism,refer,kabul,river,settlement,called,kubha",0.00,kabul
"the kabul valley was part of the median empire  in  because the median empire was annexed by cyrus the great and kabul became part the achaemenid empire  during that period kabul became a center of learning for zoroastrianism followed by buddhism and hinduism an inscription on darius the greats tombstone lists kabul as one of the  countries of the achaemenid empire
",kabul valley median empire median empire annexed cyrus great kabul achaemenid empire period kabul center learning zoroastrianism followed buddhism hinduism inscription darius greats tombstone lists kabul countries achaemenid empire,8.70,"kabul,valley,median,empire,median,empire,annexed,cyrus,great,kabul,achaemenid,empire,period,kabul,center,learning,zoroastrianism,followed,buddhism,hinduism,inscription,darius,greats,tombstone,lists,kabul,countries,achaemenid,empire",0.00,kabul
"when alexander annexed the achaemenid empire the kabul region came under his control after his death his empire was seized by his general seleucus becoming part of the seleucid empire in  bce the seleucid empire was extended to the indus river which led to friction with the neighbouring mauryan empire
",alexander annexed achaemenid empire kabul region came control death empire seized general seleucus seleucid empire bce seleucid empire extended indus river led friction neighbouring mauryan empire,7.92,"alexander,annexed,achaemenid,empire,kabul,region,came,control,death,empire,seized,general,seleucus,seleucid,empire,bce,seleucid,empire,extended,indus,river,led,friction,neighbouring,mauryan,empire",0.00,kabul
"the greco bactrians took control of kabul from the mauryans in the early nd century because then lost the city to their subordinates in the indo greek kingdom around the mid nd century because buddhism was greatly patronised by these rulers and the majority of people of the city were adherents of the religion indo scythians expelled the indo greeks by the mid st century because but lost the city to the kushan empire about  years later
",greco bactrians took control kabul mauryans early nd century lost city subordinates indo greek kingdom mid nd century buddhism greatly patronised rulers majority people city adherents religion indo scythians expelled indo greeks mid st century lost city kushan empire years later,8.20,"greco,bactrians,took,control,kabul,mauryans,early,nd,century,lost,city,subordinates,indo,greek,kingdom,mid,nd,century,buddhism,greatly,patronised,rulers,majority,people,city,adherents,religion,indo,scythians,expelled,indo,greeks,mid,st,century,lost,city,kushan,empire,years,later",0.00,kabul
"it is mentioned as kophes or kophene in some classical writings hsuan tsang refers to the city as kaofu in the th century ad which is the appellation of one of the five tribes of the yuezhi who had migrated from across the hindu kush into the kabul valley around the beginning of the christian era it was conquered by kushan emperor kujula kadphises in about  ad and remained kushan territory until at least the rd century ad the kushans were indo european speaking peoples based in bactria
",mentioned kophes kophene classical writings hsuan tsang refers city kaofu th century ad appellation tribes yuezhi migrated hindu kush kabul valley beginning christian era conquered kushan emperor kujula kadphises ad remained kushan territory rd century ad kushans indo european speaking peoples based bactria,9.16,"mentioned,kophes,kophene,classical,writings,hsuan,tsang,refers,city,kaofu,th,century,ad,appellation,tribes,yuezhi,migrated,hindu,kush,kabul,valley,beginning,christian,era,conquered,kushan,emperor,kujula,kadphises,ad,remained,kushan,territory,rd,century,ad,kushans,indo,european,speaking,peoples,based,bactria",0.00,kabul
"around  ad the kushans were defeated by the sassanid empire and replaced by sassanid vassals known as the indo sassanids during the sassanian period the city was referred to as kapul in pahlavi scripts kapol in the persian language means royal  bridge  which is due to the main bridge on the kabul river that connected the east and west of the city in  ad the indo sassanids were driven out of afghanistan by the xionite tribe known as the kidarites who were then replaced in the s by the hephthalites it became part of the surviving turk shahi kingdom of kapisa also known as kabul shahan according to trkhu l hind by al biruni kabul was governed by princes of turkic lineageabu rayhan biruni ad it was briefly held by the tibetan empire between  and 
",ad kushans defeated sassanid empire replaced sassanid vassals known indo sassanids sassanian period city referred kapul pahlavi scripts kapol persian language means royal bridge main bridge kabul river connected east west city ad indo sassanids driven afghanistan xionite tribe known kidarites replaced hephthalites surviving turk shahi kingdom kapisa known kabul shahan according trkhu l hind al biruni kabul governed princes turkic lineageabu rayhan biruniad briefly held tibetan empire,8.76,"ad,kushans,defeated,sassanid,empire,replaced,sassanid,vassals,known,indo,sassanids,sassanian,period,city,referred,kapul,pahlavi,scripts,kapol,persian,language,means,royal,bridge,main,bridge,kabul,river,connected,east,west,city,ad,indo,sassanids,driven,afghanistan,xionite,tribe,known,kidarites,replaced,hephthalites,surviving,turk,shahi,kingdom,kapisa,known,kabul,shahan,according,trkhu,l,hind,al,biruni,kabul,governed,princes,turkic,lineageabu,rayhan,biruniad,briefly,held,tibetan,empire",0.00,kabul
"the islamic conquest reached modern day afghanistan in  ad at a time when kabul was independent a number of failed expeditions were made to islamise the region in one of them abdur rahman bin samara arrived in kabul from zaranj in the late s and converted  inhabitants to islam before abandoning the city muslims were a minority until yaqub bin laith as saffar of zaranj conquered kabul in  and established the first islamic dynasty in the region it was reported that the rulers of kabul were muslims with non muslims living close by iranian traveller and geographer istakhri described it in 
",islamic conquest reached modern day afghanistan ad time kabul independent number failed expeditions islamise region abdur rahman bin samara arrived kabul zaranj late converted inhabitants islam abandoning city muslims minority yaqub bin laith saffar zaranj conquered kabul established islamic dynasty region reported rulers kabul muslims non muslims living close iranian traveller geographer istakhri described,7.93,"islamic,conquest,reached,modern,day,afghanistan,ad,time,kabul,independent,number,failed,expeditions,islamise,region,abdur,rahman,bin,samara,arrived,kabul,zaranj,late,converted,inhabitants,islam,abandoning,city,muslims,minority,yaqub,bin,laith,saffar,zaranj,conquered,kabul,established,islamic,dynasty,region,reported,rulers,kabul,muslims,non,muslims,living,close,iranian,traveller,geographer,istakhri,described",0.00,kabul
"following the era of the khalji dynasty in  the famous moroccan scholar ibn battuta was visiting kabul and wrote 
",following era khalji dynasty famous moroccan scholar ibn battuta visiting kabul wrote,6.14,"following,era,khalji,dynasty,famous,moroccan,scholar,ibn,battuta,visiting,kabul,wrote",0.00,kabul
we travelled on to kabul formerly a vast town the site of which is now occupied by a village inhabited by a tribe of persians called afghans they hold mountains and defiles and possess considerable strength and are mostly highwaymen their principal mountain is called kuh sulayman,travelled kabul vast town site occupied village inhabited tribe persians called afghans hold mountains defiles possess considerable strength highwaymen principal mountain called kuh sulayman,8.21,"travelled,kabul,vast,town,site,occupied,village,inhabited,tribe,persians,called,afghans,hold,mountains,defiles,possess,considerable,strength,highwaymen,principal,mountain,called,kuh,sulayman",0.00,kabul
"in the th century kabul became a major trading centre under the kingdom of timur  in  the city fell to babur from the north and made into his headquarters which became one of the principal cities of his later mughal empire in  babur described kabulistan in his memoirs by writing that
",th century kabul major trading centre kingdom timur city fell babur north headquarters principal cities later mughal empire babur described kabulistan memoirs writing,9.82,"th,century,kabul,major,trading,centre,kingdom,timur,city,fell,babur,north,headquarters,principal,cities,later,mughal,empire,babur,described,kabulistan,memoirs,writing",0.00,kabul
"mirza muhammad haidar dughlat a poet from hindustan who visited at the time wrote dine and drink in kabul it is mountain desert city river and all else it was from here that babur began his  conquest of hindustan which was ruled by the afghan lodi dynasty and began east of the indus river in what is present day pakistan babur loved kabul due to the fact that he lived in it for  years and the people were loyal to him including the weather that he was used to his wish to be buried in kabul was finally granted the inscription on his tomb contains the famous persian couplet which states
",mirza muhammad haidar dughlat poet hindustan visited time wrote dine drink kabul mountain desert city river babur began conquest hindustan ruled afghan lodi dynasty began east indus river present day pakistan babur loved kabul fact lived years people loyal including weather wish buried kabul finally granted inscription tomb contains famous persian couplet states,9.83,"mirza,muhammad,haidar,dughlat,poet,hindustan,visited,time,wrote,dine,drink,kabul,mountain,desert,city,river,babur,began,conquest,hindustan,ruled,afghan,lodi,dynasty,began,east,indus,river,present,day,pakistan,babur,loved,kabul,fact,lived,years,people,loyal,including,weather,wish,buried,kabul,finally,granted,inscription,tomb,contains,famous,persian,couplet,states",0.00,kabul
