Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"karnataka  formerly mysore state masr is a state in the southwestern region of india it was formed as mysore state on  november  with the passage of the states reorganisation act and renamed karnataka in  the state corresponds to the carnatic region its capital and largest city is bengaluru
",karnataka mysore state masr state southwestern region india formed mysore state november passage states reorganisation act renamed karnataka state corresponds carnatic region capital largest city bengaluru,7.53,"karnataka,mysore,state,masr,state,southwestern,region,india,formed,mysore,state,november,passage,states,reorganisation,act,renamed,karnataka,state,corresponds,carnatic,region,capital,largest,city,bengaluru",0.00,karnataka
"karnataka is bordered by the lakshadweep sea to the west goa to the northwest maharashtra to the north telangana to the northeast andhra pradesh to the east tamil nadu to the southeast and kerala to the southwest it is the only southern state to have land borders with all of the other four southern indian sister states the state covers an area of  km  or  percent of the total geographical area of india it is the sixth largest indian state by area with  inhabitants at the  census karnataka is the eighth largest state by population comprising  districts kannada one of the classical languages of india is the most widely spoken and official language of the state other minority languages spoken include urdu konkani marathi tulu tamil telugu malayalam kodava and beary karnataka also contains some of the only villages in india where sanskrit is primarily spoken
",karnataka bordered lakshadweep sea west goa northwest maharashtra north telangana northeast andhra pradesh east tamil nadu southeast kerala southwest southern state land borders southern indian sister states state covers area km percent total geographical area india sixth largest indian state area inhabitants census karnataka eighth largest state population comprising districts kannada classical languages india widely spoken official language state minority languages spoken include urdu konkani marathi tulu tamil telugu malayalam kodava beary karnataka contains villages india sanskrit primarily spoken,7.73,"karnataka,bordered,lakshadweep,sea,west,goa,northwest,maharashtra,north,telangana,northeast,andhra,pradesh,east,tamil,nadu,southeast,kerala,southwest,southern,state,land,borders,southern,indian,sister,states,state,covers,area,km,percent,total,geographical,area,india,sixth,largest,indian,state,area,inhabitants,census,karnataka,eighth,largest,state,population,comprising,districts,kannada,classical,languages,india,widely,spoken,official,language,state,minority,languages,spoken,include,urdu,konkani,marathi,tulu,tamil,telugu,malayalam,kodava,beary,karnataka,contains,villages,india,sanskrit,primarily,spoken",0.00,karnataka
"though several etymologies have been suggested for the name karnataka the generally accepted one is that karnataka is derived from the kannada words karu and ndu meaning elevated land karu nadu may also be read as karu meaning black and nadu meaning region as a reference to the black cotton soil found in the bayalu seeme region of the state the british used the word carnatic sometimes karnatak to describe both sides of peninsular india south of the krishna
",etymologies suggested karnataka generally accepted karnataka derived kannada words karu ndu meaning elevated land karu nadu read karu meaning black nadu meaning region reference black cotton soil found bayalu seeme region state british word carnatic karnatak describe sides peninsular india south krishna,8.03,"etymologies,suggested,karnataka,generally,accepted,karnataka,derived,kannada,words,karu,ndu,meaning,elevated,land,karu,nadu,read,karu,meaning,black,nadu,meaning,region,reference,black,cotton,soil,found,bayalu,seeme,region,state,british,word,carnatic,karnatak,describe,sides,peninsular,india,south,krishna",0.00,karnataka
"with an antiquity that dates to the paleolithic karnataka has been home to some of the most powerful empires of ancient and medieval india the philosophers and musical bards patronised by these empires launched socio religious and literary movements which have endured to the present day karnataka has contributed significantly to both forms of indian classical music the carnatic and hindustani traditions
",antiquity dates paleolithic karnataka home powerful empires ancient medieval india philosophers musical bards patronised empires launched socio religious literary movements endured present day karnataka contributed significantly forms indian classical music carnatic hindustani traditions,7.13,"antiquity,dates,paleolithic,karnataka,home,powerful,empires,ancient,medieval,india,philosophers,musical,bards,patronised,empires,launched,socio,religious,literary,movements,endured,present,day,karnataka,contributed,significantly,forms,indian,classical,music,carnatic,hindustani,traditions",0.00,karnataka
"the economy of karnataka is the fifth largest of any indian state with  trillion  in gross domestic product and a per capita gdp of   karnataka has the nineteenth highest ranking among indian states in human development index
",economy karnataka fifth largest indian state trillion gross domestic product capita gdp karnataka nineteenth highest ranking indian states human development index,7.08,"economy,karnataka,fifth,largest,indian,state,trillion,gross,domestic,product,capita,gdp,karnataka,nineteenth,highest,ranking,indian,states,human,development,index",0.00,karnataka
"karnatakas pre history goes back to a paleolithic hand axe culture evidenced by discoveries of among other things hand axes and cleavers in the region evidence of neolithic and megalithic cultures have also been found in the state gold discovered in harappa was found to be imported from mines in karnataka prompting scholars to hypothesise about contacts between ancient karnataka and the indus valley civilisation ca  bce
",karnatakas pre history goes paleolithic hand axe culture evidenced discoveries things hand axes cleavers region evidence neolithic megalithic cultures found state gold discovered harappa found imported mines karnataka prompting scholars hypothesise contacts ancient karnataka indus valley civilisation bce,6.84,"karnatakas,pre,history,goes,paleolithic,hand,axe,culture,evidenced,discoveries,things,hand,axes,cleavers,region,evidence,neolithic,megalithic,cultures,found,state,gold,discovered,harappa,found,imported,mines,karnataka,prompting,scholars,hypothesise,contacts,ancient,karnataka,indus,valley,civilisation,bce",0.00,karnataka
"prior to the third century bce most of karnataka formed part of the nanda empire before coming under the mauryan empire of emperor ashoka four centuries of satavahana rule followed allowing them to control large areas of karnataka the decline of satavahana power led to the rise of the earliest native kingdoms the kadambas and the western gangas marking the regions emergence as an independent political entity the kadamba dynasty founded by mayurasharma had its capital at banavasi the western ganga dynasty was formed with talakad as its capital
",prior century bce karnataka formed nanda empire coming mauryan empire emperor ashoka centuries satavahana rule followed allowing control large areas karnataka decline satavahana power led rise earliest native kingdoms kadambas western gangas marking regions emergence independent political entity kadamba dynasty founded mayurasharma capital banavasi western ganga dynasty formed talakad capital,7.10,"prior,century,bce,karnataka,formed,nanda,empire,coming,mauryan,empire,emperor,ashoka,centuries,satavahana,rule,followed,allowing,control,large,areas,karnataka,decline,satavahana,power,led,rise,earliest,native,kingdoms,kadambas,western,gangas,marking,regions,emergence,independent,political,entity,kadamba,dynasty,founded,mayurasharma,capital,banavasi,western,ganga,dynasty,formed,talakad,capital",0.00,karnataka
"these were also the first kingdoms to use kannada in administration as evidenced by the halmidi inscription and a fifth century copper coin discovered at banavasi these dynasties were followed by imperial kannada empires such as the badami chalukyas the rashtrakuta empire of manyakheta and the western chalukya empire which ruled over large parts of the deccan and had their capitals in what is now karnataka the western chalukyas patronised a unique style of architecture and kannada literature which became a precursor to the hoysala art of the th century parts of modern day southern karnataka  were occupied by the chola empire at the turn of the th century the cholas and the hoysalas fought over the region in the early th century before it eventually came under hoysala rule
",kingdoms use kannada administration evidenced halmidi inscription fifth century copper coin discovered banavasi dynasties followed imperial kannada empires badami chalukyas rashtrakuta empire manyakheta western chalukya empire ruled large parts deccan capitals karnataka western chalukyas patronised unique style architecture kannada literature precursor hoysala art th century parts modern day southern karnataka occupied chola empire turn th century cholas hoysalas fought region early th century eventually came hoysala rule,8.05,"kingdoms,use,kannada,administration,evidenced,halmidi,inscription,fifth,century,copper,coin,discovered,banavasi,dynasties,followed,imperial,kannada,empires,badami,chalukyas,rashtrakuta,empire,manyakheta,western,chalukya,empire,ruled,large,parts,deccan,capitals,karnataka,western,chalukyas,patronised,unique,style,architecture,kannada,literature,precursor,hoysala,art,th,century,parts,modern,day,southern,karnataka,occupied,chola,empire,turn,th,century,cholas,hoysalas,fought,region,early,th,century,eventually,came,hoysala,rule",0.00,karnataka
"in  karnataka and the rest of south india experienced a major geopolitical shift when the vijayanagara empire fell to a confederation of islamic sultanates in the battle of talikota the bijapur sultanate which had risen after the demise of the bahmani sultanate of bidar soon took control of the deccan it was defeated by the moghuls in the late th century the bahmani and bijapur rulers encouraged urdu and persian literature and indo saracenic architecture the gol gumbaz being one of the high points of this style during the sixteenth century konkani hindus migrated to karnataka mostly from salcette goa while during the seventeenth and eighteenth century goan catholics migrated to north canara and south canara especially from bardes goa as a result of food shortages epidemics and heavy taxation imposed by the portuguese
",karnataka rest south india experienced major geopolitical shift vijayanagara empire fell confederation islamic sultanates battle talikota bijapur sultanate risen demise bahmani sultanate bidar soon took control deccan defeated moghuls late th century bahmani bijapur rulers encouraged urdu persian literature indo saracenic architecture gol gumbaz high points style sixteenth century konkani hindus migrated karnataka salcette goa seventeenth eighteenth century goan catholics migrated north canara south canara especially bardes goa result food shortages epidemics heavy taxation imposed portuguese,7.00,"karnataka,rest,south,india,experienced,major,geopolitical,shift,vijayanagara,empire,fell,confederation,islamic,sultanates,battle,talikota,bijapur,sultanate,risen,demise,bahmani,sultanate,bidar,soon,took,control,deccan,defeated,moghuls,late,th,century,bahmani,bijapur,rulers,encouraged,urdu,persian,literature,indo,saracenic,architecture,gol,gumbaz,high,points,style,sixteenth,century,konkani,hindus,migrated,karnataka,salcette,goa,seventeenth,eighteenth,century,goan,catholics,migrated,north,canara,south,canara,especially,bardes,goa,result,food,shortages,epidemics,heavy,taxation,imposed,portuguese",0.00,karnataka
"in the period that followed parts of northern karnataka were ruled by the nizam of hyderabad the maratha empire the british and other powers in the south the mysore kingdom a former vassal of the vijayanagara empire was briefly independent with the death of krishnaraja wodeyar ii haidar ali the commander in chief of the mysore army gained control of the region after his death the kingdom was inherited by his son tipu sultan to contain european expansion in south india haidar ali and later tipu sultan fought four significant anglo mysore wars the last of which resulted in tippu sultans death and the incorporation of mysore into the british raj in  the kingdom of mysore was restored to the wodeyars and mysore remained a princely state under the british raj
",period followed parts northern karnataka ruled nizam hyderabad maratha empire british powers south mysore kingdom vassal vijayanagara empire briefly independent death krishnaraja wodeyar ii haidar ali commander chief mysore army gained control region death kingdom inherited son tipu sultan contain european expansion south india haidar ali later tipu sultan fought significant anglo mysore wars resulted tippu sultans death incorporation mysore british raj kingdom mysore restored wodeyars mysore remained princely state british raj,7.71,"period,followed,parts,northern,karnataka,ruled,nizam,hyderabad,maratha,empire,british,powers,south,mysore,kingdom,vassal,vijayanagara,empire,briefly,independent,death,krishnaraja,wodeyar,ii,haidar,ali,commander,chief,mysore,army,gained,control,region,death,kingdom,inherited,son,tipu,sultan,contain,european,expansion,south,india,haidar,ali,later,tipu,sultan,fought,significant,anglo,mysore,wars,resulted,tippu,sultans,death,incorporation,mysore,british,raj,kingdom,mysore,restored,wodeyars,mysore,remained,princely,state,british,raj",0.00,karnataka
