Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the kathmandu valley  is a bowl shaped valley located in the himalayan mountains in nepal it lies at the crossroads of ancient civilizations of the indian subcontinent and the broader asian continent and has at least  important monuments including several pilgrimage sites for hindus and buddhists there are seven world heritage sites within the valley
",kathmandu valley bowl shaped valley located himalayan mountains nepal lies crossroads ancient civilizations indian subcontinent broader asian continent important monuments including pilgrimage sites hindus buddhists seven world heritage sites valley,7.08,"kathmandu,valley,bowl,shaped,valley,located,himalayan,mountains,nepal,lies,crossroads,ancient,civilizations,indian,subcontinent,broader,asian,continent,important,monuments,including,pilgrimage,sites,hindus,buddhists,seven,world,heritage,sites,valley",0.00,kathmandu
"the kathmandu valley is the most developed and the largest urban agglomeration in nepal with about  million population the urban agglomeration of kathmandu valley includes the cities of kathmandu lalitpur budhanilkantha tarakeshwar gokarneshwar suryabinayak tokha kirtipur madhyapur thimi bhaktapurchangunarayanetc the majority of offices and headquarters are located in the valley making it the economic hub of nepal it is popular with tourists for its unique architecture and rich culture that includes the highest number of jatras  in nepal kathmandu valley itself was referred to as nepal proper by british historians as per the world bank the kathmandu valley was one of the fastest growing metropolitan areas in south asia with  million population by  with an annual growth rate of 
",kathmandu valley developed largest urban agglomeration nepal million population urban agglomeration kathmandu valley includes cities kathmandu lalitpur budhanilkantha tarakeshwar gokarneshwar suryabinayak tokha kirtipur madhyapur thimi bhaktapurchangunarayanetc majority offices headquarters located valley making economic hub nepal popular tourists unique architecture rich culture includes highest number jatras nepal kathmandu valley referred nepal proper british historians world bank kathmandu valley fastest growing metropolitan areas south asia million population annual growth rate,6.46,"kathmandu,valley,developed,largest,urban,agglomeration,nepal,million,population,urban,agglomeration,kathmandu,valley,includes,cities,kathmandu,lalitpur,budhanilkantha,tarakeshwar,gokarneshwar,suryabinayak,tokha,kirtipur,madhyapur,thimi,bhaktapurchangunarayanetc,majority,offices,headquarters,located,valley,making,economic,hub,nepal,popular,tourists,unique,architecture,rich,culture,includes,highest,number,jatras,nepal,kathmandu,valley,referred,nepal,proper,british,historians,world,bank,kathmandu,valley,fastest,growing,metropolitan,areas,south,asia,million,population,annual,growth,rate",0.00,kathmandu
"in  kathmandu valley was hit by the april  nepal earthquake the earthquake caused thousands of deaths and the destruction of much infrastructure across the kathmandu valley which includes the towns of lalitpur kirtipur madhyapur thimichangunarayanbhaktapur kathmandu is also the largest city in the himalayan hill region
",kathmandu valley hit april nepal earthquake earthquake caused thousands deaths destruction infrastructure kathmandu valley includes towns lalitpur kirtipur madhyapur thimichangunarayanbhaktapur kathmandu largest city himalayan hill region,6.23,"kathmandu,valley,hit,april,nepal,earthquake,earthquake,caused,thousands,deaths,destruction,infrastructure,kathmandu,valley,includes,towns,lalitpur,kirtipur,madhyapur,thimichangunarayanbhaktapur,kathmandu,largest,city,himalayan,hill,region",0.00,kathmandu
"historically the valley and adjoining areas made up a confederation known as the nepal mandala until the th century bhaktapur was its capital when two other capitals kathmandu and lalitpur  were established until the s the kathmandu valley was known as nepala valley or nepa valley in  the valley listed as kathmandu district which began referring the valley as kathmandu valley the term nepa valley is still used among newar people and local governments while senior citizens still tend to refer the valley as nepal 
the term swaniga  is used to refer three cities namely yn  yala  and khwapa  
",historically valley adjoining areas confederation known nepal mandala th century bhaktapur capital capitals kathmandu lalitpur established kathmandu valley known nepala valley nepa valley valley listed kathmandu district began referring valley kathmandu valley term nepa valley newar people local governments senior citizens tend refer valley nepal term swaniga refer cities yn yala khwapa,7.89,"historically,valley,adjoining,areas,confederation,known,nepal,mandala,th,century,bhaktapur,capital,capitals,kathmandu,lalitpur,established,kathmandu,valley,known,nepala,valley,nepa,valley,valley,listed,kathmandu,district,began,referring,valley,kathmandu,valley,term,nepa,valley,newar,people,local,governments,senior,citizens,tend,refer,valley,nepal,term,swaniga,refer,cities,yn,yala,khwapa",0.00,kathmandu
"the pahari name kathmandu comes from a structure in the durbar square called by the sanskrit name kstha mandapa wooden shelter this unique temple also known as the maru sattal was built in  by king lakshmi narasimha malla the entire structure contained no iron nails or supports and was made entirely from wood legend has it that the timber used for this two story pagoda was obtained from a single tree
",pahari kathmandu comes structure durbar square called sanskrit kstha mandapa wooden shelter unique temple known maru sattal built king lakshmi narasimha malla entire structure contained iron nails supports entirely wood legend timber story pagoda obtained single tree,8.42,"pahari,kathmandu,comes,structure,durbar,square,called,sanskrit,kstha,mandapa,wooden,shelter,unique,temple,known,maru,sattal,built,king,lakshmi,narasimha,malla,entire,structure,contained,iron,nails,supports,entirely,wood,legend,timber,story,pagoda,obtained,single,tree",0.00,kathmandu
"the kathmandu valley may have been inhabited as early as  bce since the oldest known objects in the valley date to a few hundred years bce the earliest known inscription is dated  ce the oldest firmly dated building in the earthquake prone valley is over  years old four stupas around the city of patan that are said to have been erected by a charumati a purported daughter of the maurya emperor ashoka in the third century bce attest to the ancient history present within the valley as with the tales of the buddhas visit there is no evidence supporting ashoks visit but the stupas probably date to that century the licchavis whose earliest inscriptions date to  were the next rulers of the valley and had close ties with the gupta empire of india the mallas ruled the kathmandu valley and the surrounding area from the th until the th century ce when the shah dynasty of the gorkha kingdom under prithvi narayan shah conquered the valley as he created present day nepal his victory in the battle of kirtipur was the beginning of his conquest of the valley
",kathmandu valley inhabited early bce oldest known objects valley date years bce earliest known inscription dated ce oldest firmly dated building earthquake prone valley years old stupas city patan said erected charumati purported daughter maurya emperor ashoka century bce attest ancient history present valley tales buddhas visit evidence supporting ashoks visit stupas probably date century licchavis earliest inscriptions date rulers valley close ties gupta empire india mallas ruled kathmandu valley surrounding area th th century ce shah dynasty gorkha kingdom prithvi narayan shah conquered valley created present day nepal victory battle kirtipur beginning conquest valley,8.79,"kathmandu,valley,inhabited,early,bce,oldest,known,objects,valley,date,years,bce,earliest,known,inscription,dated,ce,oldest,firmly,dated,building,earthquake,prone,valley,years,old,stupas,city,patan,said,erected,charumati,purported,daughter,maurya,emperor,ashoka,century,bce,attest,ancient,history,present,valley,tales,buddhas,visit,evidence,supporting,ashoks,visit,stupas,probably,date,century,licchavis,earliest,inscriptions,date,rulers,valley,close,ties,gupta,empire,india,mallas,ruled,kathmandu,valley,surrounding,area,th,th,century,ce,shah,dynasty,gorkha,kingdom,prithvi,narayan,shah,conquered,valley,created,present,day,nepal,victory,battle,kirtipur,beginning,conquest,valley",0.00,kathmandu
"newa architecture consists of the pagoda stupa shikhara chaitya and other styles the valleys trademark is the multiple roofed pagoda which may have originated in this area and spread to india china indochina and japan the most famous artisan who influenced stylistic developments in china and tibet was araniko a newar who traveled to the court of kublai khan in the th century ad he is known for building the white stupa at the miaoying temple in beijing at present people from other parts of nepal tend to migrate to the valley for a better life due to its high level of cultural and economic development even with urbanization taking place the newars have sustained their culture in kathmandu valley
",newa architecture consists pagoda stupa shikhara chaitya styles valleys trademark multiple roofed pagoda originated area spread india china indochina japan famous artisan influenced stylistic developments china tibet araniko newar traveled court kublai khan th century ad known building white stupa miaoying temple beijing present people parts nepal tend migrate valley better life high level cultural economic development urbanization taking place newars sustained culture kathmandu valley,7.82,"newa,architecture,consists,pagoda,stupa,shikhara,chaitya,styles,valleys,trademark,multiple,roofed,pagoda,originated,area,spread,india,china,indochina,japan,famous,artisan,influenced,stylistic,developments,china,tibet,araniko,newar,traveled,court,kublai,khan,th,century,ad,known,building,white,stupa,miaoying,temple,beijing,present,people,parts,nepal,tend,migrate,valley,better,life,high,level,cultural,economic,development,urbanization,taking,place,newars,sustained,culture,kathmandu,valley",0.00,kathmandu
"according to swayambhu puran the kathmandu valley was once a lake deemed by scientists as paleo kathmandu lake the hill where the swayambu stupa rests had lotus plants with flowers in bloom one story says that the god manjusri cut a gorge at a valley called kashapaal  with a sword called chandrahrasha and drained away the waters in order to establish a habitable land
",according swayambhu puran kathmandu valley lake deemed scientists paleo kathmandu lake hill swayambu stupa rests lotus plants flowers bloom story says god manjusri cut gorge valley called kashapaal sword called chandrahrasha drained away waters order establish habitable land,7.03,"according,swayambhu,puran,kathmandu,valley,lake,deemed,scientists,paleo,kathmandu,lake,hill,swayambu,stupa,rests,lotus,plants,flowers,bloom,story,says,god,manjusri,cut,gorge,valley,called,kashapaal,sword,called,chandrahrasha,drained,away,waters,order,establish,habitable,land",0.00,kathmandu
"kathmandu valley is bowl shaped its central lower part stands at  metres  above sea level kathmandu valley is surrounded by four mountain ranges shivapuri hills  phulchowki  nagarjun  and chandragiri  the major river flowing through the kathmandu valley is the bagmati river
the valley is made up of the kathmandu district lalitpur district and bhaktapur district covering an area of  square miles  the valley consists of the municipal areas of kathmandu patan bhaktapur kirtipur and madhyapur thimi the remaining area is made up of a number of municipalities and rural municipalities  the valley is a cultural and political hub of nepal the kathmandu valley was accorded the status of a world heritage site by unesco in the year 
",kathmandu valley bowl shaped central lower stands metres sea level kathmandu valley surrounded mountain ranges shivapuri hills phulchowki nagarjun chandragiri major river flowing kathmandu valley bagmati riverthe valley kathmandu district lalitpur district bhaktapur district covering area square miles valley consists municipal areas kathmandu patan bhaktapur kirtipur madhyapur thimi remaining area number municipalities rural municipalities valley cultural political hub nepal kathmandu valley accorded status world heritage site unesco year,6.70,"kathmandu,valley,bowl,shaped,central,lower,stands,metres,sea,level,kathmandu,valley,surrounded,mountain,ranges,shivapuri,hills,phulchowki,nagarjun,chandragiri,major,river,flowing,kathmandu,valley,bagmati,riverthe,valley,kathmandu,district,lalitpur,district,bhaktapur,district,covering,area,square,miles,valley,consists,municipal,areas,kathmandu,patan,bhaktapur,kirtipur,madhyapur,thimi,remaining,area,number,municipalities,rural,municipalities,valley,cultural,political,hub,nepal,kathmandu,valley,accorded,status,world,heritage,site,unesco,year",0.00,kathmandu
"this is an incomplete alphabetical list of notable temples and monuments in kathmandu valley seven of these are designated as unesco world heritage sites
",incomplete alphabetical list notable temples monuments kathmandu valley seven designated unesco world heritage sites,6.49,"incomplete,alphabetical,list,notable,temples,monuments,kathmandu,valley,seven,designated,unesco,world,heritage,sites",0.00,kathmandu
