Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"kathmandua officially kathmandu metropolitan cityb is the capital and most populous city of nepal with  inhabitants living in  households in  and  million people in its urban agglomeration it is located in the kathmandu valley a large valley in the high plateaus in central nepal at an altitude of  metres 
",kathmandua officially kathmandu metropolitan cityb capital populous city nepal inhabitants living households million people urban agglomeration located kathmandu valley large valley high plateaus central nepal altitude metres,7.17,"kathmandua,officially,kathmandu,metropolitan,cityb,capital,populous,city,nepal,inhabitants,living,households,million,people,urban,agglomeration,located,kathmandu,valley,large,valley,high,plateaus,central,nepal,altitude,metres",0.00,kathmandu
"kathmandu is and has been for many years the centre of nepals history art culture and economy it has a multi ethnic population within a hindu and buddhist majority religious and cultural festivities form a major part of the lives of people residing in kathmandu tourism is an important part of the economy in the city in  kathmandu was ranked third among the top ten upcoming travel destinations in the world by tripadvisor and ranked first in asia the city is considered the gateway to the nepal himalayas and is home to several world heritage sites the durbar square swayambhunath boudhanath and pashupatinath kathmandu valley is growing at  percent per year according to the world bank in  making it one of the fastest growing metropolitan areas in south asia and the first region in nepal to face the unprecedented challenges of rapid urbanization and modernization at a metropolitan scale it is the largest metropolitan area located in the himalayas
",kathmandu years centre nepals history art culture economy multi ethnic population hindu buddhist majority religious cultural festivities form major lives people residing kathmandu tourism important economy city kathmandu ranked upcoming travel destinations world tripadvisor ranked asia city considered gateway nepal himalayas home world heritage sites durbar square swayambhunath boudhanath pashupatinath kathmandu valley growing percent year according world bank making fastest growing metropolitan areas south asia region nepal face unprecedented challenges rapid urbanization modernization metropolitan scale largest metropolitan area located himalayas,8.27,"kathmandu,years,centre,nepals,history,art,culture,economy,multi,ethnic,population,hindu,buddhist,majority,religious,cultural,festivities,form,major,lives,people,residing,kathmandu,tourism,important,economy,city,kathmandu,ranked,upcoming,travel,destinations,world,tripadvisor,ranked,asia,city,considered,gateway,nepal,himalayas,home,world,heritage,sites,durbar,square,swayambhunath,boudhanath,pashupatinath,kathmandu,valley,growing,percent,year,according,world,bank,making,fastest,growing,metropolitan,areas,south,asia,region,nepal,face,unprecedented,challenges,rapid,urbanization,modernization,metropolitan,scale,largest,metropolitan,area,located,himalayas",0.00,kathmandu
"the indigenous nepal bhasa term for kathmandu is yen the nepali name kathmandu comes from kasthamandap which stood in durbar square was completely destroyed by the earthquake of april  but has since been reconstructed in sanskrit kha  means wood and maapa  means pavilion this public pavilion also known as maru satta in newari was rebuilt in  by biseth in the period of king laxmi narsingh malla the three storey structure was made entirely of wood and used no iron nails nor supports according to legends all the timber used to build the pagoda was obtained from a single tree the structure collapsed during a major earthquake in april 
",indigenous nepal bhasa term kathmandu yen nepali kathmandu comes kasthamandap stood durbar square completely destroyed earthquake april reconstructed sanskrit kha means wood maapa means pavilion public pavilion known maru satta newari rebuilt biseth period king laxmi narsingh malla storey structure entirely wood iron nails supports according legends timber build pagoda obtained single tree structure collapsed major earthquake april,7.82,"indigenous,nepal,bhasa,term,kathmandu,yen,nepali,kathmandu,comes,kasthamandap,stood,durbar,square,completely,destroyed,earthquake,april,reconstructed,sanskrit,kha,means,wood,maapa,means,pavilion,public,pavilion,known,maru,satta,newari,rebuilt,biseth,period,king,laxmi,narsingh,malla,storey,structure,entirely,wood,iron,nails,supports,according,legends,timber,build,pagoda,obtained,single,tree,structure,collapsed,major,earthquake,april",0.00,kathmandu
"the colophons of ancient manuscripts dated as late as the th century refer to kathmandu as khamaap mahnagar in nepal mandala mahnagar means great city the city is called khamaap in a vow that buddhist priests still recite to this day thus kathmandu is also known as khamaap during medieval times the city was sometimes called kntipur  this name is derived from two sanskrit words  knti and pur knti is a word that stands for beauty and is mostly associated with light and pur means place thus giving it the meaning city of light
",colophons ancient manuscripts dated late th century refer kathmandu khamaap mahnagar nepal mandala mahnagar means great city city called khamaap vow buddhist priests recite day kathmandu known khamaap medieval times city called kntipur derived sanskrit words knti pur knti word stands beauty associated light pur means place giving meaning city light,8.13,"colophons,ancient,manuscripts,dated,late,th,century,refer,kathmandu,khamaap,mahnagar,nepal,mandala,mahnagar,means,great,city,city,called,khamaap,vow,buddhist,priests,recite,day,kathmandu,known,khamaap,medieval,times,city,called,kntipur,derived,sanskrit,words,knti,pur,knti,word,stands,beauty,associated,light,pur,means,place,giving,meaning,city,light",0.00,kathmandu
"among the indigenous newar people kathmandu is known as ye dey  and patan and bhaktapur are known as yala dey  and khwopa dey  respectively yen is the shorter form of yambu  which originally referred to the northern half of kathmandu the older northern settlements were referred to as yambi while the southern settlement was known as yangala
",indigenous newar people kathmandu known ye dey patan bhaktapur known yala dey khwopa dey respectively yen shorter form yambu originally referred northern half kathmandu older northern settlements referred yambi southern settlement known yangala,7.02,"indigenous,newar,people,kathmandu,known,ye,dey,patan,bhaktapur,known,yala,dey,khwopa,dey,respectively,yen,shorter,form,yambu,originally,referred,northern,half,kathmandu,older,northern,settlements,referred,yambi,southern,settlement,known,yangala",0.00,kathmandu
"the spelling katmandu was often used in older english language text more recently however the spelling kathmandu has become more common in english
",spelling katmandu older english language text recently spelling kathmandu common english,8.16,"spelling,katmandu,older,english,language,text,recently,spelling,kathmandu,common,english",0.00,kathmandu
"archaeological excavations in parts of kathmandu have found evidence of ancient civilizations the oldest of these findings is a statue found in maligaon that was dated at  ad the excavation of dhando chaitya uncovered a brick with an inscription in brahmi script archaeologists believe it is two thousand years old stone inscriptions are a ubiquitous element at heritage sites and are key sources for the history of nepal
",archaeological excavations parts kathmandu found evidence ancient civilizations oldest findings statue found maligaon dated ad excavation dhando chaitya uncovered brick inscription brahmi script archaeologists believe thousand years old stone inscriptions ubiquitous element heritage sites key sources history nepal,7.11,"archaeological,excavations,parts,kathmandu,found,evidence,ancient,civilizations,oldest,findings,statue,found,maligaon,dated,ad,excavation,dhando,chaitya,uncovered,brick,inscription,brahmi,script,archaeologists,believe,thousand,years,old,stone,inscriptions,ubiquitous,element,heritage,sites,key,sources,history,nepal",0.00,kathmandu
"the earliest western reference to kathmandu appears in an account of portuguese jesuit father joao cabral who passed through the kathmandu valley in the spring of  and was received graciously by the king of that time probably king lakshminarasimha malla of kathmandu on their way from tibet to india father cabral reported that they reached cadmendu the capital of nepal kingdom
",earliest western reference kathmandu appears account portuguese jesuit father joao cabral passed kathmandu valley spring received graciously king time probably king lakshminarasimha malla kathmandu way tibet india father cabral reported reached cadmendu capital nepal kingdom,6.86,"earliest,western,reference,kathmandu,appears,account,portuguese,jesuit,father,joao,cabral,passed,kathmandu,valley,spring,received,graciously,king,time,probably,king,lakshminarasimha,malla,kathmandu,way,tibet,india,father,cabral,reported,reached,cadmendu,capital,nepal,kingdom",0.00,kathmandu
"the ancient history of kathmandu is described in its traditional myths and legends according to swayambhu purana present day kathmandu was once a huge and deep lake named nagdaha as it was full of snakes the lake was cut drained by bodhisatwa manjushree with his sword and the water was evacuated out from there he then established a city called manjupattan and made dharmakar the ruler of the valley land after some time a demon named banasur closed the outlet and the valley again turned into a lake then lord krishna came to nepal killed banasur and again drained out the water by cutting the edge of chobhar hill with this sudharshan chakra he brought some gopals along with him and made bhuktaman the king of nepal
",ancient history kathmandu described traditional myths legends according swayambhu purana present day kathmandu huge deep lake named nagdaha snakes lake cut drained bodhisatwa manjushree sword water evacuated established city called manjupattan dharmakar ruler valley land time demon named banasur closed outlet valley turned lake lord krishna came nepal killed banasur drained water cutting edge chobhar hill sudharshan chakra brought gopals bhuktaman king nepal,8.89,"ancient,history,kathmandu,described,traditional,myths,legends,according,swayambhu,purana,present,day,kathmandu,huge,deep,lake,named,nagdaha,snakes,lake,cut,drained,bodhisatwa,manjushree,sword,water,evacuated,established,city,called,manjupattan,dharmakar,ruler,valley,land,time,demon,named,banasur,closed,outlet,valley,turned,lake,lord,krishna,came,nepal,killed,banasur,drained,water,cutting,edge,chobhar,hill,sudharshan,chakra,brought,gopals,bhuktaman,king,nepal",0.00,kathmandu
"very few historical records exists of the period before medieval licchavi rulers according to gopalraj vansawali a genealogy of nepali monarchy the rulers of kathmandu valley before the licchavis were gopalas mahispalas aabhirs kiratas and somavanshi the kirata dynasty was established by yalamber during the kirata era a settlement called yambu existed in the northern half of old kathmandu in some of the sino tibetan languages kathmandu is still called yambu another smaller settlement called yengal was present in the southern half of old kathmandu near manjupattan during the reign of the seventh kirata ruler jitedasti buddhist monks entered kathmandu valley and established a forest monastery at sankhu
",historical records exists period medieval licchavi rulers according gopalraj vansawali genealogy nepali monarchy rulers kathmandu valley licchavis gopalas mahispalas aabhirs kiratas somavanshi kirata dynasty established yalamber kirata era settlement called yambu existed northern half old kathmandu sino tibetan languages kathmandu called yambu smaller settlement called yengal present southern half old kathmandu near manjupattan reign seventh kirata ruler jitedasti buddhist monks entered kathmandu valley established forest monastery sankhu,5.77,"historical,records,exists,period,medieval,licchavi,rulers,according,gopalraj,vansawali,genealogy,nepali,monarchy,rulers,kathmandu,valley,licchavis,gopalas,mahispalas,aabhirs,kiratas,somavanshi,kirata,dynasty,established,yalamber,kirata,era,settlement,called,yambu,existed,northern,half,old,kathmandu,sino,tibetan,languages,kathmandu,called,yambu,smaller,settlement,called,yengal,present,southern,half,old,kathmandu,near,manjupattan,reign,seventh,kirata,ruler,jitedasti,buddhist,monks,entered,kathmandu,valley,established,forest,monastery,sankhu",0.00,kathmandu
