Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"kenya officially the republic of kenya  is a country in east africa at  square kilometres  kenya is the worlds th largest country by area with a population of more than  million in the  census kenya is the th most populous country in the world kenyas capital and largest city is nairobi while its oldest currently second largest city and first capital is the coastal city of mombasa kisumu city is the third largest city and also an inland port on lake victoria other important urban centres include nakuru and eldoret as of  kenya is the third largest economy in sub saharan africa after nigeria and south africa kenya is bordered by south sudan to the northwest ethiopia to the north somalia to the east uganda to the west tanzania to the south and the indian ocean to the southeast its geography climate and population vary widely ranging from cold snow capped mountaintops  with vast surrounding forests wildlife and fertile agricultural regions to temperate climates in western and rift valley counties and dry less fertile arid and semi arid areas and absolute deserts 
",kenya officially republic kenya country east africa square kilometres kenya worlds th largest country area population million census kenya th populous country world kenyas capital largest city nairobi oldest currently second largest city capital coastal city mombasa kisumu city largest city inland port lake victoria important urban centres include nakuru eldoret kenya largest economy sub saharan africa nigeria south africa kenya bordered south sudan northwest ethiopia north somalia east uganda west tanzania south indian ocean southeast geography climate population vary widely ranging cold snow capped mountaintops vast surrounding forests wildlife fertile agricultural regions temperate climates western rift valley counties dry fertile arid semi arid areas absolute deserts,6.97,"kenya,officially,republic,kenya,country,east,africa,square,kilometres,kenya,worlds,th,largest,country,area,population,million,census,kenya,th,populous,country,world,kenyas,capital,largest,city,nairobi,oldest,currently,second,largest,city,capital,coastal,city,mombasa,kisumu,city,largest,city,inland,port,lake,victoria,important,urban,centres,include,nakuru,eldoret,kenya,largest,economy,sub,saharan,africa,nigeria,south,africa,kenya,bordered,south,sudan,northwest,ethiopia,north,somalia,east,uganda,west,tanzania,south,indian,ocean,southeast,geography,climate,population,vary,widely,ranging,cold,snow,capped,mountaintops,vast,surrounding,forests,wildlife,fertile,agricultural,regions,temperate,climates,western,rift,valley,counties,dry,fertile,arid,semi,arid,areas,absolute,deserts",0.00,kenya
"kenyas earliest inhabitants were hunter gatherers like the present day hadza people according to archaeological dating of associated artifacts and skeletal material cushitic speakers first settled in kenyas lowlands between  and  because a phase known as the lowland savanna pastoral neolithic nilotic speaking pastoralists  began migrating from present day south sudan into kenya around  because bantu people settled at the coast and the interior between  because and  ad european contact began in  ad with the portuguese empire and effective colonisation of kenya began in the th century during the european exploration of the interior modern day kenya emerged from a protectorate established by the british empire in  and the subsequent kenya colony which began in  numerous disputes between the uk and the colony led to the mau mau revolution which began in  and the declaration of independence in  after independence kenya remained a member of the commonwealth of nations the current constitution was adopted in  and replaced the  independence constitution
",kenyas earliest inhabitants hunter gatherers like present day hadza people according archaeological dating associated artifacts skeletal material cushitic speakers settled kenyas lowlands phase known lowland savanna pastoral neolithic nilotic speaking pastoralists began migrating present day south sudan kenya bantu people settled coast interior ad european contact began ad portuguese empire effective colonisation kenya began th century european exploration interior modern day kenya emerged protectorate established british empire subsequent kenya colony began numerous disputes uk colony led mau mau revolution began declaration independence independence kenya remained member commonwealth nations current constitution adopted replaced independence constitution,6.21,"kenyas,earliest,inhabitants,hunter,gatherers,like,present,day,hadza,people,according,archaeological,dating,associated,artifacts,skeletal,material,cushitic,speakers,settled,kenyas,lowlands,phase,known,lowland,savanna,pastoral,neolithic,nilotic,speaking,pastoralists,began,migrating,present,day,south,sudan,kenya,bantu,people,settled,coast,interior,ad,european,contact,began,ad,portuguese,empire,effective,colonisation,kenya,began,th,century,european,exploration,interior,modern,day,kenya,emerged,protectorate,established,british,empire,subsequent,kenya,colony,began,numerous,disputes,uk,colony,led,mau,mau,revolution,began,declaration,independence,independence,kenya,remained,member,commonwealth,nations,current,constitution,adopted,replaced,independence,constitution",0.00,kenya
"kenya is a presidential representative democratic republic in which elected officials represent the people and the president is the head of state and government kenya is a member of the united nations commonwealth of nations world bank international monetary fund comesa international criminal court as well as other international organisations with a gni of  kenya is a lower middle income economy kenyas economy is the largest in eastern and central africa with nairobi serving as a major regional commercial hub agriculture is the largest sector tea and coffee are traditional cash crops while fresh flowers are a fast growing export the service industry is also a major economic driver particularly tourism kenya is a member of the east african community trade bloc though some international trade organisations categorise it as part of the greater horn of africa africa is kenyas largest export market followed by the european union
",kenya presidential representative democratic republic elected officials represent people president head state government kenya member united nations commonwealth nations world bank international monetary fund comesa international criminal court international organisations gni kenya lower middle income economy kenyas economy largest eastern central africa nairobi serving major regional commercial hub agriculture largest sector tea coffee traditional cash crops fresh flowers fast growing export service industry major economic driver particularly tourism kenya member east african community trade bloc international trade organisations categorise greater horn africa africa kenyas largest export market followed european union,6.18,"kenya,presidential,representative,democratic,republic,elected,officials,represent,people,president,head,state,government,kenya,member,united,nations,commonwealth,nations,world,bank,international,monetary,fund,comesa,international,criminal,court,international,organisations,gni,kenya,lower,middle,income,economy,kenyas,economy,largest,eastern,central,africa,nairobi,serving,major,regional,commercial,hub,agriculture,largest,sector,tea,coffee,traditional,cash,crops,fresh,flowers,fast,growing,export,service,industry,major,economic,driver,particularly,tourism,kenya,member,east,african,community,trade,bloc,international,trade,organisations,categorise,greater,horn,africa,africa,kenyas,largest,export,market,followed,european,union",0.00,kenya
"the republic of kenya is named after mount kenya the earliest recorded version of the modern name was written by german explorer johann ludwig krapf in the th century while travelling with a kamba caravan led by the legendary long distance trader chief kivoi krapf spotted the mountain peak and asked what it was called kivoi told him k nyaa or kma  knyaa probably because the pattern of black rock and white snow on its peaks reminded him of the feathers of the male ostrich in archaic kikuyu the word nyaga or more commonly manyaganyaga is used to describe an extremely bright object the agikuyu who inhabit the slopes of mt kenya call it krma krnyaga  in kikuyu while the embu call it kirenyaa all three names have the same meaning
",republic kenya named mount kenya earliest recorded version modern written german explorer johann ludwig krapf th century travelling kamba caravan led legendary long distance trader chief kivoi krapf spotted mountain peak asked called kivoi told k nyaa kma knyaa probably pattern black rock white snow peaks reminded feathers male ostrich archaic kikuyu word nyaga commonly manyaganyaga describe extremely bright object agikuyu inhabit slopes mt kenya krma krnyaga kikuyu embu kirenyaa names meaning,8.03,"republic,kenya,named,mount,kenya,earliest,recorded,version,modern,written,german,explorer,johann,ludwig,krapf,th,century,travelling,kamba,caravan,led,legendary,long,distance,trader,chief,kivoi,krapf,spotted,mountain,peak,asked,called,kivoi,told,k,nyaa,kma,knyaa,probably,pattern,black,rock,white,snow,peaks,reminded,feathers,male,ostrich,archaic,kikuyu,word,nyaga,commonly,manyaganyaga,describe,extremely,bright,object,agikuyu,inhabit,slopes,mt,kenya,krma,krnyaga,kikuyu,embu,kirenyaa,names,meaning",0.00,kenya
"ludwig krapf recorded the name as both kenia and kegnia some have said that this was a precise notation of the african pronunciation knj an  map drawn by joseph thompsons a scottish geologist and naturalist indicated mt kenya as mt kenia the mountains name was accepted pars pro toto as the name of the country it did not come into widespread official use during the early colonial period when the country was referred to as the east african protectorate the official name was changed to the colony of kenya in 
",ludwig krapf recorded kenia kegnia said precise notation african pronunciation knj map drawn joseph thompsons scottish geologist naturalist indicated mt kenya mt kenia mountains accepted pars pro toto country come widespread official use early colonial period country referred east african protectorate official changed colony kenya,8.79,"ludwig,krapf,recorded,kenia,kegnia,said,precise,notation,african,pronunciation,knj,map,drawn,joseph,thompsons,scottish,geologist,naturalist,indicated,mt,kenya,mt,kenia,mountains,accepted,pars,pro,toto,country,come,widespread,official,use,early,colonial,period,country,referred,east,african,protectorate,official,changed,colony,kenya",0.00,kenya
"fossils found in kenya have shown that primates inhabited the area for more than  million years recent findings near lake turkana indicate that hominids such as homo habilis  and homo erectus  are possible direct ancestors of modern homo sapiens and lived in kenya in the pleistocene epoch
",fossils found kenya shown primates inhabited area million years recent findings near lake turkana indicate hominids homo habilis homo erectus possible direct ancestors modern homo sapiens lived kenya pleistocene epoch,5.86,"fossils,found,kenya,shown,primates,inhabited,area,million,years,recent,findings,near,lake,turkana,indicate,hominids,homo,habilis,homo,erectus,possible,direct,ancestors,modern,homo,sapiens,lived,kenya,pleistocene,epoch",0.00,kenya
"east africa including kenya is one of the earliest regions where modern humans  are believed to have lived evidence was found in  dating to about  years ago at the kenyan site of olorgesailie of the early emergence of modern behaviours including long distance trade networks  the use of pigments and the possible making of projectile points the authors of three  studies on the site observed that the evidence of these behaviours is approximately contemporary to the earliest known homo sapiens fossil remains  and they suggest that complex and modern behaviours had already begun in africa around the time of the emergence of homo sapiens
",east africa including kenya earliest regions modern humans believed lived evidence found dating years ago kenyan site olorgesailie early emergence modern behaviours including long distance trade networks use pigments possible making projectile points authors studies site observed evidence behaviours approximately contemporary earliest known homo sapiens fossil remains suggest complex modern behaviours begun africa time emergence homo sapiens,7.34,"east,africa,including,kenya,earliest,regions,modern,humans,believed,lived,evidence,found,dating,years,ago,kenyan,site,olorgesailie,early,emergence,modern,behaviours,including,long,distance,trade,networks,use,pigments,possible,making,projectile,points,authors,studies,site,observed,evidence,behaviours,approximately,contemporary,earliest,known,homo,sapiens,fossil,remains,suggest,complex,modern,behaviours,begun,africa,time,emergence,homo,sapiens",0.00,kenya
"the first inhabitants of present day kenya were hunter gatherer groups akin to the modern khoisan speakers these people were later largely replaced by agropastoralist cushitic  from the horn of africa during the early holocene the regional climate shifted from dry to wetter conditions providing an opportunity for the development of cultural traditions such as agriculture and herding in a more favourable environment
",inhabitants present day kenya hunter gatherer groups akin modern khoisan speakers people later largely replaced agropastoralist cushitic horn africa early holocene regional climate shifted dry wetter conditions providing opportunity development cultural traditions agriculture herding favourable environment,6.44,"inhabitants,present,day,kenya,hunter,gatherer,groups,akin,modern,khoisan,speakers,people,later,largely,replaced,agropastoralist,cushitic,horn,africa,early,holocene,regional,climate,shifted,dry,wetter,conditions,providing,opportunity,development,cultural,traditions,agriculture,herding,favourable,environment",0.00,kenya
"around  because nilotic speaking pastoralists  started migrating from present day southern sudan into kenya nilotic groups in kenya include the kalenjin samburu luo turkana and maasai
",nilotic speaking pastoralists started migrating present day southern sudan kenya nilotic groups kenya include kalenjin samburu luo turkana maasai,3.80,"nilotic,speaking,pastoralists,started,migrating,present,day,southern,sudan,kenya,nilotic,groups,kenya,include,kalenjin,samburu,luo,turkana,maasai",0.00,kenya
"by the first millennium ad bantu speaking farmers had moved into the region initially along the coast the bantus originated in west africa along the benue river in what is now eastern nigeria and western cameroon the bantu migration brought new developments in agriculture and ironworking to the region bantu groups in kenya include the kikuyu luhya kamba kisii meru kuria aembu ambeere wadawida watuweta wapokomo and mijikenda among others
",millennium ad bantu speaking farmers moved region initially coast bantus originated west africa benue river eastern nigeria western cameroon bantu migration brought new developments agriculture ironworking region bantu groups kenya include kikuyu luhya kamba kisii meru kuria aembu ambeere wadawida watuweta wapokomo mijikenda,6.12,"millennium,ad,bantu,speaking,farmers,moved,region,initially,coast,bantus,originated,west,africa,benue,river,eastern,nigeria,western,cameroon,bantu,migration,brought,new,developments,agriculture,ironworking,region,bantu,groups,kenya,include,kikuyu,luhya,kamba,kisii,meru,kuria,aembu,ambeere,wadawida,watuweta,wapokomo,mijikenda",0.00,kenya
