Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"kerala  is a state on the malabar coast of india it was formed on  november  following the passage of the states reorganisation act by combining malayalam speaking regions of the erstwhile regions of cochin malabar south canara and thiruvithamkoor spread over  km  kerala is the st largest indian state by area it is bordered by karnataka to the north and northeast tamil nadu to the east and south and the lakshadweep sea to the west with  million inhabitants as per the  census kerala is the th largest indian state by population it is divided into  districts with the capital being thiruvananthapuram malayalam is the most widely spoken language and is also the official language of the state
",kerala state malabar coast india formed november following passage states reorganisation act combining malayalam speaking regions erstwhile regions cochin malabar south canara thiruvithamkoor spread km kerala st largest indian state area bordered karnataka north northeast tamil nadu east south lakshadweep sea west million inhabitants census kerala th largest indian state population divided districts capital thiruvananthapuram malayalam widely spoken language official language state,7.90,"kerala,state,malabar,coast,india,formed,november,following,passage,states,reorganisation,act,combining,malayalam,speaking,regions,erstwhile,regions,cochin,malabar,south,canara,thiruvithamkoor,spread,km,kerala,st,largest,indian,state,area,bordered,karnataka,north,northeast,tamil,nadu,east,south,lakshadweep,sea,west,million,inhabitants,census,kerala,th,largest,indian,state,population,divided,districts,capital,thiruvananthapuram,malayalam,widely,spoken,language,official,language,state",0.00,kerala
"the chera dynasty was the first prominent kingdom based in kerala the ay kingdom in the deep south and the ezhimala kingdom in the north formed the other kingdoms in the early years of the common era  the region had been a prominent spice exporter since  bce the regions prominence in trade was noted in the works of pliny as well as the periplus around  ce in the th century the spice trade attracted portuguese traders to kerala and paved the way for european colonisation of india at the time of indian independence movement in the early th century there were two major princely states in kerala thiruvithamkoor and cochin they united to form the state of thiru kochi in  the malabar region in the northern part of kerala had been a part of the madras province of british india which later became a part of the madras state post independence after the states reorganisation act  the modern day state of kerala was formed by merging the malabar district of madras state  the taluk of kasaragod  in south canara and the erstwhile state of thiru kochi 
",chera dynasty prominent kingdom based kerala ay kingdom deep south ezhimala kingdom north formed kingdoms early years common era region prominent spice exporter bce regions prominence trade noted works pliny periplus ce th century spice trade attracted portuguese traders kerala paved way european colonisation india time indian independence movement early th century major princely states kerala thiruvithamkoor cochin united form state thiru kochi malabar region northern kerala madras province british india later madras state post independence states reorganisation act modern day state kerala formed merging malabar district madras state taluk kasaragod south canara erstwhile state thiru kochi,8.45,"chera,dynasty,prominent,kingdom,based,kerala,ay,kingdom,deep,south,ezhimala,kingdom,north,formed,kingdoms,early,years,common,era,region,prominent,spice,exporter,bce,regions,prominence,trade,noted,works,pliny,periplus,ce,th,century,spice,trade,attracted,portuguese,traders,kerala,paved,way,european,colonisation,india,time,indian,independence,movement,early,th,century,major,princely,states,kerala,thiruvithamkoor,cochin,united,form,state,thiru,kochi,malabar,region,northern,kerala,madras,province,british,india,later,madras,state,post,independence,states,reorganisation,act,modern,day,state,kerala,formed,merging,malabar,district,madras,state,taluk,kasaragod,south,canara,erstwhile,state,thiru,kochi",0.00,kerala
"kerala has the lowest positive population growth rate in india  the highest human development index   in   the highest literacy rate  in the  literacy survey conducted by the national statistical office india the highest life expectancy  years and the highest sex ratio  women per  men kerala is the second least impoverished state in india according to the annual report of reserve bank of india published in  kerala is the second most urbanised major state in the country with  urban population according to the  census of india the state topped in the country to achieve the sustainable development goals according to the annual report of niti aayog published in  the state has the highest media exposure in india with newspapers publishing in nine languages mainly malayalam and sometimes english hinduism is practised by more than half of the population followed by islam and christianity
",kerala lowest positive population growth rate india highest human development index highest literacy rate literacy survey conducted national statistical office india highest life expectancy years highest sex ratio women men kerala second impoverished state india according annual report reserve bank india published kerala second urbanised major state country urban population according census india state topped country achieve sustainable development goals according annual report niti aayog published state highest media exposure india newspapers publishing languages mainly malayalam english hinduism practised half population followed islam christianity,6.49,"kerala,lowest,positive,population,growth,rate,india,highest,human,development,index,highest,literacy,rate,literacy,survey,conducted,national,statistical,office,india,highest,life,expectancy,years,highest,sex,ratio,women,men,kerala,second,impoverished,state,india,according,annual,report,reserve,bank,india,published,kerala,second,urbanised,major,state,country,urban,population,according,census,india,state,topped,country,achieve,sustainable,development,goals,according,annual,report,niti,aayog,published,state,highest,media,exposure,india,newspapers,publishing,languages,mainly,malayalam,english,hinduism,practised,half,population,followed,islam,christianity",0.00,kerala
"the economy of kerala is the th largest in india with  trillion  in gross state domestic product  and a per capita net state domestic product of   the tertiary sector contributes around  to states gsva while the primary sector contributes only  the state has witnessed significant emigration especially to the arab states of the persian gulf during the gulf boom of the s and early s and its economy depends significantly on remittances from a large malayali expatriate community the production of pepper and natural rubber contributes significantly to the total national output in the agricultural sector coconut tea coffee cashew and spices are important the state is situated between arabian sea to the west and western ghats mountain ranges to the east the states coastline extends for  kilometres  and around  million people in the state are dependent on the fishery industry which contributes  to the states income named as one of the ten paradises of the world by national geographic traveler kerala is one of the prominent tourist destinations of india with coconut lined sandy beaches backwaters hill stations ayurvedic tourism and tropical greenery as its major attractions
",economy kerala th largest india trillion gross state domestic product capita net state domestic product tertiary sector contributes states gsva primary sector contributes state witnessed significant emigration especially arab states persian gulf gulf boom early economy depends significantly remittances large malayali expatriate community production pepper natural rubber contributes significantly total national output agricultural sector coconut tea coffee cashew spices important state situated arabian sea west western ghats mountain ranges east states coastline extends kilometres million people state dependent fishery industry contributes states income named paradises world national geographic traveler kerala prominent tourist destinations india coconut lined sandy beaches backwaters hill stations ayurvedic tourism tropical greenery major attractions,6.84,"economy,kerala,th,largest,india,trillion,gross,state,domestic,product,capita,net,state,domestic,product,tertiary,sector,contributes,states,gsva,primary,sector,contributes,state,witnessed,significant,emigration,especially,arab,states,persian,gulf,gulf,boom,early,economy,depends,significantly,remittances,large,malayali,expatriate,community,production,pepper,natural,rubber,contributes,significantly,total,national,output,agricultural,sector,coconut,tea,coffee,cashew,spices,important,state,situated,arabian,sea,west,western,ghats,mountain,ranges,east,states,coastline,extends,kilometres,million,people,state,dependent,fishery,industry,contributes,states,income,named,paradises,world,national,geographic,traveler,kerala,prominent,tourist,destinations,india,coconut,lined,sandy,beaches,backwaters,hill,stations,ayurvedic,tourism,tropical,greenery,major,attractions",0.00,kerala
"the word kerala is first recorded as keralaputo  in a rd century bce rock inscription left by the maurya emperor ashoka  one of his edicts pertaining to welfare at that time one of three states in the region was called cheralam in classical tamil chera and kera are variants of the same word the word cheral refers to the oldest known dynasty of kerala kings and is derived from the proto tamil malayalam word for lake keralam may stem from the classical tamil cherive alam declivity of a hill or a mountain slope or chera alam land of the cheras
",word kerala recorded keralaputo rd century bce rock inscription left maurya emperor ashoka edicts pertaining welfare time states region called cheralam classical tamil chera kera variants word word cheral refers oldest known dynasty kerala kings derived proto tamil malayalam word lake keralam stem classical tamil cherive alam declivity hill mountain slope chera alam land cheras,8.23,"word,kerala,recorded,keralaputo,rd,century,bce,rock,inscription,left,maurya,emperor,ashoka,edicts,pertaining,welfare,time,states,region,called,cheralam,classical,tamil,chera,kera,variants,word,word,cheral,refers,oldest,known,dynasty,kerala,kings,derived,proto,tamil,malayalam,word,lake,keralam,stem,classical,tamil,cherive,alam,declivity,hill,mountain,slope,chera,alam,land,cheras",0.00,kerala
"one folk etymology derives kerala from the malayalam word kera coconut tree and alam land thus land of coconuts which is a nickname for the state used by locals due to the abundance of coconut trees
",folk etymology derives kerala malayalam word kera coconut tree alam land land coconuts nickname state locals abundance coconut trees,8.54,"folk,etymology,derives,kerala,malayalam,word,kera,coconut,tree,alam,land,land,coconuts,nickname,state,locals,abundance,coconut,trees",0.00,kerala
"the earliest sanskrit text to mention kerala as cherapadha is the late vedic text aitareya aranyaka kerala is also mentioned in the ramayana and the mahabharata the two hindu epics the skanda purana mentions the ecclesiastical office of the thachudaya kaimal who is referred to as manikkam keralar synonymous with the deity of the koodalmanikyam temple the greco roman trade map periplus maris erythraei refers to kerala as celobotra
",earliest sanskrit text mention kerala cherapadha late vedic text aitareya aranyaka kerala mentioned ramayana mahabharata hindu epics skanda purana mentions ecclesiastical office thachudaya kaimal referred manikkam keralar synonymous deity koodalmanikyam temple greco roman trade map periplus maris erythraei refers kerala celobotra,6.45,"earliest,sanskrit,text,mention,kerala,cherapadha,late,vedic,text,aitareya,aranyaka,kerala,mentioned,ramayana,mahabharata,hindu,epics,skanda,purana,mentions,ecclesiastical,office,thachudaya,kaimal,referred,manikkam,keralar,synonymous,deity,koodalmanikyam,temple,greco,roman,trade,map,periplus,maris,erythraei,refers,kerala,celobotra",0.00,kerala
"kerala was alternatively called malabar in the foreign trade circles earlier the term malabar had also been used to denote tulu nadu and kanyakumari which lie contiguous to kerala on the southwestern coast of india in addition to the modern state of kerala the people of malabar were known as malabars until the arrival of the east india company the term malabar was used as a general name for kerala along with the term kerala from the time of cosmas indicopleustes  itself the arab sailors used to call kerala as male the first element of the name however is attested already in the topography written by cosmas indicopleustes this mentions a pepper emporium called male which clearly gave its name to malabar  the name male is thought to come from the malayalam word mala  al biruni  is the first known writer to call this country malabar authors such as ibn khordadbeh and al baladhuri mention malabar ports in their works the arab writers had called this place malibar manibar mulibar and munibar malabar is reminiscent of the word malanad which means the land of hills according to william logan the word malabar comes from a combination of the malayalam word mala  and the persianarabic word barr 
",kerala alternatively called malabar foreign trade circles earlier term malabar denote tulu nadu kanyakumari lie contiguous kerala southwestern coast india addition modern state kerala people malabar known malabars arrival east india company term malabar general kerala term kerala time cosmas indicopleustes arab sailors kerala male element attested topography written cosmas indicopleustes mentions pepper emporium called male clearly gave malabar male thought come malayalam word mala al biruni known writer country malabar authors ibn khordadbeh al baladhuri mention malabar ports works arab writers called place malibar manibar mulibar munibar malabar reminiscent word malanad means land hills according william logan word malabar comes combination malayalam word mala persianarabic word barr,8.13,"kerala,alternatively,called,malabar,foreign,trade,circles,earlier,term,malabar,denote,tulu,nadu,kanyakumari,lie,contiguous,kerala,southwestern,coast,india,addition,modern,state,kerala,people,malabar,known,malabars,arrival,east,india,company,term,malabar,general,kerala,term,kerala,time,cosmas,indicopleustes,arab,sailors,kerala,male,element,attested,topography,written,cosmas,indicopleustes,mentions,pepper,emporium,called,male,clearly,gave,malabar,male,thought,come,malayalam,word,mala,al,biruni,known,writer,country,malabar,authors,ibn,khordadbeh,al,baladhuri,mention,malabar,ports,works,arab,writers,called,place,malibar,manibar,mulibar,munibar,malabar,reminiscent,word,malanad,means,land,hills,according,william,logan,word,malabar,comes,combination,malayalam,word,mala,persianarabic,word,barr",0.00,kerala
"according to the sangam classic purananuru the chera king senkuttuvan conquered the lands between kanyakumari and the himalayas lacking worthy enemies he besieged the sea by throwing his spear into it according to the th century hindu mythology work keralolpathi the lands of kerala were recovered from the sea by the axe wielding warrior sage parasurama the sixth avatar of vishnu  parasurama threw his axe across the sea and the water receded as far as it reached according to legend this new area of land extended from gokarna to kanyakumari the land which rose from sea was filled with salt and unsuitable for habitation so parasurama invoked the snake king vasuki who spat holy poison and converted the soil into fertile lush green land out of respect vasuki and all snakes were appointed as protectors and guardians of the land p t srinivasa iyengar theorised that senguttuvan may have been inspired by the parasurama legend which was brought by early aryan settlers
",according sangam classic purananuru chera king senkuttuvan conquered lands kanyakumari himalayas lacking worthy enemies besieged sea throwing spear according th century hindu mythology work keralolpathi lands kerala recovered sea axe wielding warrior sage parasurama sixth avatar vishnu parasurama threw axe sea water receded far reached according legend new area land extended gokarna kanyakumari land rose sea filled salt unsuitable habitation parasurama invoked snake king vasuki spat holy poison converted soil fertile lush green land respect vasuki snakes appointed protectors guardians land p srinivasa iyengar theorised senguttuvan inspired parasurama legend brought early aryan settlers,7.09,"according,sangam,classic,purananuru,chera,king,senkuttuvan,conquered,lands,kanyakumari,himalayas,lacking,worthy,enemies,besieged,sea,throwing,spear,according,th,century,hindu,mythology,work,keralolpathi,lands,kerala,recovered,sea,axe,wielding,warrior,sage,parasurama,sixth,avatar,vishnu,parasurama,threw,axe,sea,water,receded,far,reached,according,legend,new,area,land,extended,gokarna,kanyakumari,land,rose,sea,filled,salt,unsuitable,habitation,parasurama,invoked,snake,king,vasuki,spat,holy,poison,converted,soil,fertile,lush,green,land,respect,vasuki,snakes,appointed,protectors,guardians,land,p,srinivasa,iyengar,theorised,senguttuvan,inspired,parasurama,legend,brought,early,aryan,settlers",0.00,kerala
"another much earlier puranic character associated with kerala is mahabali an asura and a prototypical just king who ruled the earth from kerala he won the war against the devas driving them into exile the devas pleaded before lord vishnu who took his fifth incarnation as vamana and pushed mahabali down to netherworld to placate the devas there is a belief that once a year during the onam festival mahabali returns to kerala the matsya purana among the oldest of the  puranas uses the malaya mountains of kerala  as the setting for the story of matsya the first incarnation of vishnu and manu the first man and the king of the region
",earlier puranic character associated kerala mahabali asura prototypical king ruled earth kerala war devas driving exile devas pleaded lord vishnu took fifth incarnation vamana pushed mahabali netherworld placate devas belief year onam festival mahabali returns kerala matsya purana oldest puranas uses malaya mountains kerala setting story matsya incarnation vishnu manu man king region,9.28,"earlier,puranic,character,associated,kerala,mahabali,asura,prototypical,king,ruled,earth,kerala,war,devas,driving,exile,devas,pleaded,lord,vishnu,took,fifth,incarnation,vamana,pushed,mahabali,netherworld,placate,devas,belief,year,onam,festival,mahabali,returns,kerala,matsya,purana,oldest,puranas,uses,malaya,mountains,kerala,setting,story,matsya,incarnation,vishnu,manu,man,king,region",0.00,kerala
