Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"khartoum or khartum  is the capital of sudan with a population of  its metropolitan area is the largest in sudan it is located at the confluence of the white nile flowing north from lake victoria and the blue nile flowing west from lake tana in ethiopia the place where the two niles meet is known as al mogran or al muqran  from there the nile continues  north towards egypt and the mediterranean sea
",khartoum khartum capital sudan population metropolitan area largest sudan located confluence white nile flowing north lake victoria blue nile flowing west lake tana ethiopia place niles meet known al mogran al muqran nile continues north egypt mediterranean sea,8.71,"khartoum,khartum,capital,sudan,population,metropolitan,area,largest,sudan,located,confluence,white,nile,flowing,north,lake,victoria,blue,nile,flowing,west,lake,tana,ethiopia,place,niles,meet,known,al,mogran,al,muqran,nile,continues,north,egypt,mediterranean,sea",0.00,khartoum
"divided by these two parts of the nile khartoum is a tripartite metropolis with an estimated population of over five million people consisting of khartoum proper and linked by bridges to khartoum north  and omdurman  to the west
",divided parts nile khartoum tripartite metropolis estimated population million people consisting khartoum proper linked bridges khartoum north omdurman west,8.30,"divided,parts,nile,khartoum,tripartite,metropolis,estimated,population,million,people,consisting,khartoum,proper,linked,bridges,khartoum,north,omdurman,west",0.00,khartoum
"khartoum was founded in  as part of egypt north of the ancient city of soba while the united kingdom exerted power over egypt it left administration of the sudan to it until mahdist forces took over khartoum the british attempted to evacuate anglo egyptian garrisons from sudan but the siege of khartoum in  resulted in the capture of the city by mahdist forces and a massacre of the defending anglo egyptian garrison in  it was reoccupied by british forces and was the seat of the anglo egyptian sudan government until 
",khartoum founded egypt north ancient city soba united kingdom exerted power egypt left administration sudan mahdist forces took khartoum british attempted evacuate anglo egyptian garrisons sudan siege khartoum resulted capture city mahdist forces massacre defending anglo egyptian garrison reoccupied british forces seat anglo egyptian sudan government,8.45,"khartoum,founded,egypt,north,ancient,city,soba,united,kingdom,exerted,power,egypt,left,administration,sudan,mahdist,forces,took,khartoum,british,attempted,evacuate,anglo,egyptian,garrisons,sudan,siege,khartoum,resulted,capture,city,mahdist,forces,massacre,defending,anglo,egyptian,garrison,reoccupied,british,forces,seat,anglo,egyptian,sudan,government",0.00,khartoum
"that year the city was designated as the capital of an independent sudan in modern times it has been a site of political unrest as when three hostages were killed during the attack on the saudi embassy in khartoum in  in the st century the justice and equality movement engaged in combat there in  with sudanese government forces as part of the war in darfur the khartoum massacre occurred in  during the sudanese revolution
",year city designated capital independent sudan modern times site political unrest hostages killed attack saudi embassy khartoum st century justice equality movement engaged combat sudanese government forces war darfur khartoum massacre occurred sudanese revolution,9.41,"year,city,designated,capital,independent,sudan,modern,times,site,political,unrest,hostages,killed,attack,saudi,embassy,khartoum,st,century,justice,equality,movement,engaged,combat,sudanese,government,forces,war,darfur,khartoum,massacre,occurred,sudanese,revolution",0.00,khartoum
"khartoum is an economic and trade centre in northern africa with rail lines from port sudan and el obeid it is served by khartoum international airport and khartoum new international airport is under construction several national and cultural institutions are in khartoum and its metropolitan area including the national museum of sudan the khalifa house museum the university of khartoum and the sudan university of science and technology
",khartoum economic trade centre northern africa rail lines port sudan el obeid served khartoum international airport khartoum new international airport construction national cultural institutions khartoum metropolitan area including national museum sudan khalifa house museum university khartoum sudan university science technology,6.36,"khartoum,economic,trade,centre,northern,africa,rail,lines,port,sudan,el,obeid,served,khartoum,international,airport,khartoum,new,international,airport,construction,national,cultural,institutions,khartoum,metropolitan,area,including,national,museum,sudan,khalifa,house,museum,university,khartoum,sudan,university,science,technology",0.00,khartoum
"the origin of the word khartoum is uncertain one theory suggests that it is derived from arabic khurm  probably referring to the narrow strip of land extending between the blue and white niles dinka scholars argue that the name derives from the dinka words khar tuom  or khier tuom  translating to place where rivers meet this is supported by historical accounts which place the dinka homeland in central sudan  as recently as the th th centuries ad
",origin word khartoum uncertain theory suggests derived arabic khurm probably referring narrow strip land extending blue white niles dinka scholars argue derives dinka words khar tuom khier tuom translating place rivers meet supported historical accounts place dinka homeland central sudan recently th th centuries ad,7.11,"origin,word,khartoum,uncertain,theory,suggests,derived,arabic,khurm,probably,referring,narrow,strip,land,extending,blue,white,niles,dinka,scholars,argue,derives,dinka,words,khar,tuom,khier,tuom,translating,place,rivers,meet,supported,historical,accounts,place,dinka,homeland,central,sudan,recently,th,th,centuries,ad",0.00,khartoum
"captain ja grant who reached khartoum in  with captain spekes expedition thought the name was most probably from the arabic qurtum  which was cultivated extensively in egypt for its oil to be used as fuel some scholars speculate that the word derives from the nubian word agartum  the nubian and egyptian god of creation other beja scholars suggest khartoum is derived from the beja word hartoom meeting sociologist vincent j donovan notes that in the nilotic maa language of the maasai people khartoum means we have acquired and that the geographical location of khartoum is where maasai oral tradition claims that the ancestors of the maasai first acquired cattle
",captain ja grant reached khartoum captain spekes expedition thought probably arabic qurtum cultivated extensively egypt oil fuel scholars speculate word derives nubian word agartum nubian egyptian god creation beja scholars suggest khartoum derived beja word hartoom meeting sociologist vincent j donovan notes nilotic maa language maasai people khartoum means acquired geographical location khartoum maasai oral tradition claims ancestors maasai acquired cattle,7.21,"captain,ja,grant,reached,khartoum,captain,spekes,expedition,thought,probably,arabic,qurtum,cultivated,extensively,egypt,oil,fuel,scholars,speculate,word,derives,nubian,word,agartum,nubian,egyptian,god,creation,beja,scholars,suggest,khartoum,derived,beja,word,hartoom,meeting,sociologist,vincent,j,donovan,notes,nilotic,maa,language,maasai,people,khartoum,means,acquired,geographical,location,khartoum,maasai,oral,tradition,claims,ancestors,maasai,acquired,cattle",0.00,khartoum
"in  khartoum was established  kilometres  north of the ancient city of soba by ismail kamil pasha the third son of egypts ruler muhammad ali pasha who had just incorporated sudan into his realm originally khartoum served as an outpost for the egyptian army but the settlement quickly grew into a regional centre of trade it also became a focal point for the slave trade later it became the administrative center and official capital of sudan
",khartoum established kilometres north ancient city soba ismail kamil pasha son egypts ruler muhammad ali pasha incorporated sudan realm originally khartoum served outpost egyptian army settlement quickly grew regional centre trade focal point slave trade later administrative center official capital sudan,7.69,"khartoum,established,kilometres,north,ancient,city,soba,ismail,kamil,pasha,son,egypts,ruler,muhammad,ali,pasha,incorporated,sudan,realm,originally,khartoum,served,outpost,egyptian,army,settlement,quickly,grew,regional,centre,trade,focal,point,slave,trade,later,administrative,center,official,capital,sudan",0.00,khartoum
"on  march  troops loyal to the mahdi muhammad ahmad started a siege of khartoum against defenders led by british general charles george gordon the siege ended in a massacre of the anglo egyptian garrison when on  january  the heavily damaged city fell to the mahdists
",march troops loyal mahdi muhammad ahmad started siege khartoum defenders led british general charles george gordon siege ended massacre anglo egyptian garrison january heavily damaged city fell mahdists,6.34,"march,troops,loyal,mahdi,muhammad,ahmad,started,siege,khartoum,defenders,led,british,general,charles,george,gordon,siege,ended,massacre,anglo,egyptian,garrison,january,heavily,damaged,city,fell,mahdists",0.00,khartoum
"the arab league summit of  august  was held in khartoum as the fourth arab league summit
",arab league summit august held khartoum fourth arab league summit,6.74,"arab,league,summit,august,held,khartoum,fourth,arab,league,summit",0.00,khartoum
"in  the city was the site of an anomalous hostage crisis in which members of black september held  hostages at the saudi arabian embassy five of them diplomats the us ambassador the us deputy ambassador and the belgian charg daffaires were murdered the remaining hostages were released a  united states department of state document declassified in  concluded the khartoum operation was planned and carried out with the full knowledge and personal approval of yasser arafat
",city site anomalous hostage crisis members black september held hostages saudi arabian embassy diplomats ambassador deputy ambassador belgian charg daffaires murdered remaining hostages released united states department state document declassified concluded khartoum operation planned carried knowledge personal approval yasser arafat,7.40,"city,site,anomalous,hostage,crisis,members,black,september,held,hostages,saudi,arabian,embassy,diplomats,ambassador,deputy,ambassador,belgian,charg,daffaires,murdered,remaining,hostages,released,united,states,department,state,document,declassified,concluded,khartoum,operation,planned,carried,knowledge,personal,approval,yasser,arafat",0.00,khartoum
"in  the first oil pipeline between khartoum and the port of sudan was completed
",oil pipeline khartoum port sudan completed,10.00,"oil,pipeline,khartoum,port,sudan,completed",0.00,khartoum
"the organisation of african unity summit of  july  was held in khartoum during which sudan was awarded the oau presidency
",organisation african unity summit july held khartoum sudan awarded oau presidency,7.38,"organisation,african,unity,summit,july,held,khartoum,sudan,awarded,oau,presidency",0.00,khartoum
"throughout the s and s khartoum was the destination of hundreds of thousands of refugees fleeing conflicts in neighboring nations such as chad eritrea ethiopia and uganda many eritrean and ethiopian refugees assimilated into society while others settled in large slums on the citys outskirts since the mid s large numbers of refugees from south sudan and darfur fleeing the violence of the second sudanese civil war and darfur conflict have settled around khartoum
",khartoum destination hundreds thousands refugees fleeing conflicts neighboring nations chad eritrea ethiopia uganda eritrean ethiopian refugees assimilated society settled large slums citys outskirts mid large numbers refugees south sudan darfur fleeing violence second sudanese civil war darfur conflict settled khartoum,7.31,"khartoum,destination,hundreds,thousands,refugees,fleeing,conflicts,neighboring,nations,chad,eritrea,ethiopia,uganda,eritrean,ethiopian,refugees,assimilated,society,settled,large,slums,citys,outskirts,mid,large,numbers,refugees,south,sudan,darfur,fleeing,violence,second,sudanese,civil,war,darfur,conflict,settled,khartoum",0.00,khartoum
"in  osama bin laden purchased a house in the affluent al riyadh neighborhood of the city and another in soba he lived there until  when he was banished from the country following the  yous embassy bombings the united states accused bin ladens al qaeda group and on  august launched cruise missile attacks on the al shifa pharmaceutical factory in khartoum north the factorys destruction created diplomatic tension between the yous and sudan the factory ruins are now a tourist attraction
",osama bin laden purchased house affluent al riyadh neighborhood city soba lived banished country following yous embassy bombings united states accused bin ladens al qaeda group august launched cruise missile attacks al shifa pharmaceutical factory khartoum north factorys destruction created diplomatic tension yous sudan factory ruins tourist attraction,6.56,"osama,bin,laden,purchased,house,affluent,al,riyadh,neighborhood,city,soba,lived,banished,country,following,yous,embassy,bombings,united,states,accused,bin,ladens,al,qaeda,group,august,launched,cruise,missile,attacks,al,shifa,pharmaceutical,factory,khartoum,north,factorys,destruction,created,diplomatic,tension,yous,sudan,factory,ruins,tourist,attraction",0.00,khartoum
"in november  the government of president omar al bashir sought to remove half the population from the city the residents deemed squatters were mostly southern sudanese whom the government feared could be potential rebel sympathizers around  people were placed in five peace camps in the desert an hours drive from khartoum the camps were watched over by heavily armed security guards many relief agencies were banned from assisting and the nearest food was at a market four miles away a vast journey in the desert heat many residents were reduced to having only burlap sacks as housing the intentional displacement was part of a large urban renewal plan backed by the housing minister sharaf bannaga
",november government president omar al bashir sought remove half population city residents deemed squatters southern sudanese government feared potential rebel sympathizers people placed peace camps desert hours drive khartoum camps watched heavily armed security guards relief agencies banned assisting nearest food market miles away vast journey desert heat residents reduced burlap sacks housing intentional displacement large urban renewal plan backed housing minister sharaf bannaga,7.29,"november,government,president,omar,al,bashir,sought,remove,half,population,city,residents,deemed,squatters,southern,sudanese,government,feared,potential,rebel,sympathizers,people,placed,peace,camps,desert,hours,drive,khartoum,camps,watched,heavily,armed,security,guards,relief,agencies,banned,assisting,nearest,food,market,miles,away,vast,journey,desert,heat,residents,reduced,burlap,sacks,housing,intentional,displacement,large,urban,renewal,plan,backed,housing,minister,sharaf,bannaga",0.00,khartoum
"the african union summit of  january  was held in khartoum as was the arab league summit of  march  during which they awarded sudan the arab league presidency
",african union summit january held khartoum arab league summit march awarded sudan arab league presidency,7.55,"african,union,summit,january,held,khartoum,arab,league,summit,march,awarded,sudan,arab,league,presidency",0.00,khartoum
"on  june  khartoum was the site of the khartoum massacre where over  dissidents were murdered  hundreds more injured and  women raped by rapid support forces  in order to forcefully disperse the peaceful protests calling for civilian government
",june khartoum site khartoum massacre dissidents murdered hundreds injured women raped rapid support forces order forcefully disperse peaceful protests calling civilian government,6.12,"june,khartoum,site,khartoum,massacre,dissidents,murdered,hundreds,injured,women,raped,rapid,support,forces,order,forcefully,disperse,peaceful,protests,calling,civilian,government",0.00,khartoum
"on  july  activists demanded that al zibar basha street in khartoum be renamed al zubayr rahma mansur was a slave trader and the al zibar basha street leads to the military base where the  khartoum massacre took place
",july activists demanded al zibar basha street khartoum renamed al zubayr rahma mansur slave trader al zibar basha street leads military base khartoum massacre took place,5.50,"july,activists,demanded,al,zibar,basha,street,khartoum,renamed,al,zubayr,rahma,mansur,slave,trader,al,zibar,basha,street,leads,military,base,khartoum,massacre,took,place",0.00,khartoum
"khartoum is located in the middle of the populated areas in sudan at almost the northeast center of the country between  and  degrees latitude north and between  and  degrees longitude east khartoum marks the convergence of the white nile and the blue nile where they join to form the bottom of the leaning s shape of the main nile  as it zigzags through northern sudan into egypt at lake nasser
",khartoum located middle populated areas sudan northeast center country degrees latitude north degrees longitude east khartoum marks convergence white nile blue nile join form leaning shape main nile zigzags northern sudan egypt lake nasser,9.09,"khartoum,located,middle,populated,areas,sudan,northeast,center,country,degrees,latitude,north,degrees,longitude,east,khartoum,marks,convergence,white,nile,blue,nile,join,form,leaning,shape,main,nile,zigzags,northern,sudan,egypt,lake,nasser",0.00,khartoum
