Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the kingdom of italy  was a state that existed from  when victor emmanuel ii of sardinia was proclaimed king of italy until  when civil discontent led to an institutional referendum to abandon the monarchy and form the modern italian republic the state resulted from a decades long process the risorgimento of consolidating the different states of the italian peninsula into a single state that process was influenced by the savoy led kingdom of sardinia which can be considered italys legal predecessor state
",kingdom italy state existed victor emmanuel ii sardinia proclaimed king italy civil discontent led institutional referendum abandon monarchy form modern italian republic state resulted decades long process risorgimento consolidating different states italian peninsula single state process influenced savoy led kingdom sardinia considered italys legal predecessor state,7.06,"kingdom,italy,state,existed,victor,emmanuel,ii,sardinia,proclaimed,king,italy,civil,discontent,led,institutional,referendum,abandon,monarchy,form,modern,italian,republic,state,resulted,decades,long,process,risorgimento,consolidating,different,states,italian,peninsula,single,state,process,influenced,savoy,led,kingdom,sardinia,considered,italys,legal,predecessor,state",0.00,italy
"in  italy declared war on austria in alliance with prussia and received the region of veneto following their victory italian troops entered rome in  ending more than one thousand years of papal temporal power italy entered into a triple alliance with the german empire and the austro hungarian empire in  following strong disagreements with france about their respective colonial expansions although relations with berlin became very friendly the alliance with vienna remained purely formal due in part to italys desire to acquire trentino and trieste from austria hungary as a result italy accepted the british invitation to join the allied powers during world war i as the western powers promised territorial compensation  for participation that was more generous than viennas offer in exchange for italian neutrality victory in the war gave italy a permanent seat in the council of the league of nations
",italy declared war austria alliance prussia received region veneto following victory italian troops entered rome ending thousand years papal temporal power italy entered triple alliance german empire austro hungarian empire following strong disagreements france respective colonial expansions relations berlin friendly alliance vienna remained purely formal italys desire acquire trentino trieste austria hungary result italy accepted british invitation join allied powers world war western powers promised territorial compensation participation generous viennas offer exchange italian neutrality victory war gave italy permanent seat council league nations,6.62,"italy,declared,war,austria,alliance,prussia,received,region,veneto,following,victory,italian,troops,entered,rome,ending,thousand,years,papal,temporal,power,italy,entered,triple,alliance,german,empire,austro,hungarian,empire,following,strong,disagreements,france,respective,colonial,expansions,relations,berlin,friendly,alliance,vienna,remained,purely,formal,italys,desire,acquire,trentino,trieste,austria,hungary,result,italy,accepted,british,invitation,join,allied,powers,world,war,western,powers,promised,territorial,compensation,participation,generous,viennas,offer,exchange,italian,neutrality,victory,war,gave,italy,permanent,seat,council,league,nations",0.00,italy
"in  benito mussolini became prime minister of italy ushering in an era of national fascist party government known as fascist italy the italian fascists imposed totalitarian rule and crushed the political and intellectual opposition while promoting economic modernization traditional social values and a rapprochement with the roman catholic church through the lateran treaties which created the vatican city as a rump sovereign replacement for the papal states in the late s the fascist government began a more aggressive foreign policy this included war against ethiopia launched from italian eritrea and italian somaliland which resulted in its annexation confrontations with the league of nations leading to sanctions growing economic autarky and the signing of the pact of steel
",benito mussolini prime minister italy ushering era national fascist party government known fascist italy italian fascists imposed totalitarian rule crushed political intellectual opposition promoting economic modernization traditional social values rapprochement roman catholic church lateran treaties created vatican city rump sovereign replacement papal states late fascist government began aggressive foreign policy included war ethiopia launched italian eritrea italian somaliland resulted annexation confrontations league nations leading sanctions growing economic autarky signing pact steel,5.87,"benito,mussolini,prime,minister,italy,ushering,era,national,fascist,party,government,known,fascist,italy,italian,fascists,imposed,totalitarian,rule,crushed,political,intellectual,opposition,promoting,economic,modernization,traditional,social,values,rapprochement,roman,catholic,church,lateran,treaties,created,vatican,city,rump,sovereign,replacement,papal,states,late,fascist,government,began,aggressive,foreign,policy,included,war,ethiopia,launched,italian,eritrea,italian,somaliland,resulted,annexation,confrontations,league,nations,leading,sanctions,growing,economic,autarky,signing,pact,steel",0.00,italy
"fascist italy became a leading member of the axis powers in world war ii by  the german italian defeat on multiple fronts and the subsequent allied landings in sicily led to the fall of the fascist regime mussolini was placed under arrest by order of the king victor emmanuel iii the new government signed an armistice with the allies on september  german forces occupied northern and central italy setting up the italian social republic a collaborationist puppet state still led by mussolini and his fascist loyalists as a consequence the country descended into civil war with the italian co belligerent army and the resistance movement contending with the social republics forces and its german allies
",fascist italy leading member axis powers world war ii german italian defeat multiple fronts subsequent allied landings sicily led fall fascist regime mussolini placed arrest order king victor emmanuel iii new government signed armistice allies september german forces occupied northern central italy setting italian social republic collaborationist puppet state led mussolini fascist loyalists consequence country descended civil war italian co belligerent army resistance movement contending social republics forces german allies,6.39,"fascist,italy,leading,member,axis,powers,world,war,ii,german,italian,defeat,multiple,fronts,subsequent,allied,landings,sicily,led,fall,fascist,regime,mussolini,placed,arrest,order,king,victor,emmanuel,iii,new,government,signed,armistice,allies,september,german,forces,occupied,northern,central,italy,setting,italian,social,republic,collaborationist,puppet,state,led,mussolini,fascist,loyalists,consequence,country,descended,civil,war,italian,co,belligerent,army,resistance,movement,contending,social,republics,forces,german,allies",0.00,italy
"shortly after the war and the countrys liberation civil discontent led to the institutional referendum on whether italy would remain a monarchy or become a republic italians decided to abandon the monarchy and form the italian republic the present day italian state
",shortly war countrys liberation civil discontent led institutional referendum italy remain monarchy republic italians decided abandon monarchy form italian republic present day italian state,6.77,"shortly,war,countrys,liberation,civil,discontent,led,institutional,referendum,italy,remain,monarchy,republic,italians,decided,abandon,monarchy,form,italian,republic,present,day,italian,state",0.00,italy
"the kingdom of italy extended over the entire territory of present day italy and even more the development of the kingdoms territory progressed under italian unification until  trieste and trentino alto adigesdtirol were annexed in  and remain italian territories today the triple entente promised to grant to italy  if the state joined the allies in world war i  several territories including former austrian littoral western parts of former duchy of carniola northern dalmatia and notably zara ibenik and most of the dalmatian islands  according to the secret london pact of 
",kingdom italy extended entire territory present day italy development kingdoms territory progressed italian unification trieste trentino alto adigesdtirol annexed remain italian territories today triple entente promised grant italy state joined allies world war territories including austrian littoral western parts duchy carniola northern dalmatia notably zara ibenik dalmatian islands according secret london pact,6.57,"kingdom,italy,extended,entire,territory,present,day,italy,development,kingdoms,territory,progressed,italian,unification,trieste,trentino,alto,adigesdtirol,annexed,remain,italian,territories,today,triple,entente,promised,grant,italy,state,joined,allies,world,war,territories,including,austrian,littoral,western,parts,duchy,carniola,northern,dalmatia,notably,zara,ibenik,dalmatian,islands,according,secret,london,pact",0.00,italy
"the kingdom of italy was theoretically a constitutional monarchy executive power belonged to the monarch who exercised his power through appointed ministers the legislative branch was a bicameral parliament comprising an appointive senate and an elective chamber of deputies the kingdoms constitution was the statuto albertino the former governing document of the kingdom of sardinia in theory ministers were responsible solely to the king however by this time a king could not appoint a government of his choosing or keep it in office against the express will of parliament
",kingdom italy theoretically constitutional monarchy executive power belonged monarch exercised power appointed ministers legislative branch bicameral parliament comprising appointive senate elective chamber deputies kingdoms constitution statuto albertino governing document kingdom sardinia theory ministers responsible solely king time king appoint government choosing office express parliament,7.83,"kingdom,italy,theoretically,constitutional,monarchy,executive,power,belonged,monarch,exercised,power,appointed,ministers,legislative,branch,bicameral,parliament,comprising,appointive,senate,elective,chamber,deputies,kingdoms,constitution,statuto,albertino,governing,document,kingdom,sardinia,theory,ministers,responsible,solely,king,time,king,appoint,government,choosing,office,express,parliament",0.00,italy
"between  and  italy was a quasi de jure fascist dictatorship as the constitution formally remained in effect without alteration by the fascists though the monarchy also formally accepted fascist policies and fascist institutions changes in politics occurred consisting of the establishment of the grand council of fascism as a government body in  which took control of the government system as well as the chamber of deputies being replaced with the chamber of fasces and corporations as of 
",italy quasi de jure fascist dictatorship constitution formally remained effect alteration fascists monarchy formally accepted fascist policies fascist institutions changes politics occurred consisting establishment grand council fascism government body took control government system chamber deputies replaced chamber fasces corporations,7.72,"italy,quasi,de,jure,fascist,dictatorship,constitution,formally,remained,effect,alteration,fascists,monarchy,formally,accepted,fascist,policies,fascist,institutions,changes,politics,occurred,consisting,establishment,grand,council,fascism,government,body,took,control,government,system,chamber,deputies,replaced,chamber,fasces,corporations",0.00,italy
"the monarchs of the house of savoy who led italy were
",monarchs house savoy led italy,11.11,"monarchs,house,savoy,led,italy",0.00,italy
"the creation of the kingdom of italy was the result of concerted efforts of italian nationalists and monarchists loyal to the house of savoy to establish a united kingdom encompassing the entire italian peninsula
",creation kingdom italy result concerted efforts italian nationalists monarchists loyal house savoy establish united kingdom encompassing entire italian peninsula,7.04,"creation,kingdom,italy,result,concerted,efforts,italian,nationalists,monarchists,loyal,house,savoy,establish,united,kingdom,encompassing,entire,italian,peninsula",0.00,italy
