Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the kingdom of the netherlands  g commonly known as simply the netherlandsh is a sovereign state and constitutional monarchy with  of its territory and population in western europe and with several small west indian island territories in the caribbean 
",kingdom netherlands g commonly known simply netherlandsh sovereign state constitutional monarchy territory population western europe small west indian island territories caribbean,7.11,"kingdom,netherlands,g,commonly,known,simply,netherlandsh,sovereign,state,constitutional,monarchy,territory,population,western,europe,small,west,indian,island,territories,caribbean",0.00,netherlands
"the four parts of the kingdomaruba curaao the netherlands and sint maartenare constituent countries  and participate on a basis of equality as partners in the kingdom in practice however most of the kingdoms affairs are administered by the netherlandswhich comprises roughly  of the kingdoms land area and populationon behalf of the entire kingdom consequently aruba curaao and sint maarten are dependent on the netherlands for matters like foreign policy and defence but are autonomous to a certain degree with their own parliaments
",parts kingdomaruba curaao netherlands sint maartenare constituent countries participate basis equality partners kingdom practice kingdoms affairs administered netherlandswhich comprises roughly kingdoms land area populationon behalf entire kingdom consequently aruba curaao sint maarten dependent netherlands matters like foreign policy defence autonomous certain degree parliaments,7.30,"parts,kingdomaruba,curaao,netherlands,sint,maartenare,constituent,countries,participate,basis,equality,partners,kingdom,practice,kingdoms,affairs,administered,netherlandswhich,comprises,roughly,kingdoms,land,area,populationon,behalf,entire,kingdom,consequently,aruba,curaao,sint,maarten,dependent,netherlands,matters,like,foreign,policy,defence,autonomous,certain,degree,parliaments",0.00,netherlands
"the vast majority of land area of the constituent country of the netherlands is in europe while its three special municipalities  are located in the caribbean as are the other three constituent countries the kingdom has a population of  as of november update
",vast majority land area constituent country netherlands europe special municipalities located caribbean constituent countries kingdom population novemberupdate,9.65,"vast,majority,land,area,constituent,country,netherlands,europe,special,municipalities,located,caribbean,constituent,countries,kingdom,population,novemberupdate",0.00,netherlands
"the kingdom of the netherlands originated in the aftermath of french emperor napoleon is defeat in  in that year the netherlands regained its independence from france under its first french empire which had annexed its northern neighbour in  as the sovereign principality of the united netherlands the great powers of europe united against napoleonic france had decided in the secret treaty of the london protocol to establish a single state in the territories that were previously the dutch republicbatavian republickingdom of holland the austrian netherlands and the prince bishopric of lige awarding rule over this to william prince of orange and nassau although the southern territories remained under prussian  rule until napoleons return from his first exile on elba 
",kingdom netherlands originated aftermath french emperor napoleon defeat year netherlands regained independence france french empire annexed northern neighbour sovereign principality united netherlands great powers europe united napoleonic france decided secret treaty london protocol establish single state territories previously dutch republicbatavian republickingdom holland austrian netherlands prince bishopric lige awarding rule william prince orange nassau southern territories remained prussian rule napoleons return exile elba,7.36,"kingdom,netherlands,originated,aftermath,french,emperor,napoleon,defeat,year,netherlands,regained,independence,france,french,empire,annexed,northern,neighbour,sovereign,principality,united,netherlands,great,powers,europe,united,napoleonic,france,decided,secret,treaty,london,protocol,establish,single,state,territories,previously,dutch,republicbatavian,republickingdom,holland,austrian,netherlands,prince,bishopric,lige,awarding,rule,william,prince,orange,nassau,southern,territories,remained,prussian,rule,napoleons,return,exile,elba",0.00,netherlands
"in march  amidst the turmoil of the hundred days the sovereign prince william of orange and nassau adopted the style of king of the netherlands following napoleons second defeat at the battle of waterloo in june  the vienna congress supplied international recognition of williams unilateral move the new king of the netherlands was also made grand duke of luxembourg a part of the kingdom that was at the same time a member state of the german confederation
",march amidst turmoil days sovereign prince william orange nassau adopted style king netherlands following napoleons second defeat battle waterloo june vienna congress supplied international recognition williams unilateral new king netherlands grand duke luxembourg kingdom time member state german confederation,8.30,"march,amidst,turmoil,days,sovereign,prince,william,orange,nassau,adopted,style,king,netherlands,following,napoleons,second,defeat,battle,waterloo,june,vienna,congress,supplied,international,recognition,williams,unilateral,new,king,netherlands,grand,duke,luxembourg,kingdom,time,member,state,german,confederation",0.00,netherlands
"in  belgium seceded from the kingdom a step that was recognised by the netherlands only in  in the treaty of london  at that point luxembourg became a fully independent country in a personal union with the netherlands luxembourg also lost more than half of its territory to belgium  to compensate the german confederation for that loss the remainder of the dutch province of limburg received the same status that luxembourg had enjoyed before as a dutch province that at the same time formed a duchy of the german confederation  that status was reversed when the german confederation ceased to exist in  when limburg became an ordinary dutch province
",belgium seceded kingdom step recognised netherlands treaty london point luxembourg fully independent country personal union netherlands luxembourg lost half territory belgium compensate german confederation loss remainder dutch province limburg received status luxembourg enjoyed dutch province time formed duchy german confederation status reversed german confederation ceased exist limburg ordinary dutch province,8.91,"belgium,seceded,kingdom,step,recognised,netherlands,treaty,london,point,luxembourg,fully,independent,country,personal,union,netherlands,luxembourg,lost,half,territory,belgium,compensate,german,confederation,loss,remainder,dutch,province,limburg,received,status,luxembourg,enjoyed,dutch,province,time,formed,duchy,german,confederation,status,reversed,german,confederation,ceased,exist,limburg,ordinary,dutch,province",0.00,netherlands
"the netherlands did not abolish slavery in its colonies until 
",netherlands abolish slavery colonies,9.52,"netherlands,abolish,slavery,colonies",0.00,netherlands
"the kingdoms  administrative reform was sparked by the  statute of westminster and the  atlantic charter  which was signed by the netherlands on  january  changes were proposed in the  december  radio speech by queen wilhelmina in this speech the queen on behalf of the dutch government in exile in london expressed a desire to review the relations between the netherlands and its colonies after the end of the war after liberation the government would call a conference to agree on a settlement in which the overseas territories could participate in the administration of the kingdom on the basis of equality initially this speech had propaganda purposes the dutch government had the dutch east indies  in mind and hoped to appease public opinion in the united states which had become skeptical towards colonialism
",kingdoms administrative reform sparked statute westminster atlantic charter signed netherlands january changes proposed december radio speech queen wilhelmina speech queen behalf dutch government exile london expressed desire review relations netherlands colonies end war liberation government conference agree settlement overseas territories participate administration kingdom basis equality initially speech propaganda purposes dutch government dutch east indies mind hoped appease public opinion united states skeptical colonialism,8.33,"kingdoms,administrative,reform,sparked,statute,westminster,atlantic,charter,signed,netherlands,january,changes,proposed,december,radio,speech,queen,wilhelmina,speech,queen,behalf,dutch,government,exile,london,expressed,desire,review,relations,netherlands,colonies,end,war,liberation,government,conference,agree,settlement,overseas,territories,participate,administration,kingdom,basis,equality,initially,speech,propaganda,purposes,dutch,government,dutch,east,indies,mind,hoped,appease,public,opinion,united,states,skeptical,colonialism",0.00,netherlands
"with indonesias independence a federal constitution was considered too heavy as the economies of suriname and the netherlands antilles were insignificant compared to that of the netherlands by the charter for the kingdom of the netherlands as enacted in  a composite state was created  consisting of the netherlands  suriname and the netherlands antilles under the provisions of the charter both former colonies were granted internal autonomy suriname and the netherlands antilles each got a minister plenipotentiary based in the netherlands who had the right to participate in dutch cabinet meetings that discussed affairs of the kingdom as a whole when they pertained directly to suriname or the netherlands antilles delegates of suriname and the netherlands antilles could participate in sessions of the first and second chamber of the states general an overseas member could be added to the council of state when appropriate according to the charter suriname and the netherlands antilles could each alter its basic law  the right of the two autonomous countries to leave the kingdom unilaterally was not recognised yet it also stipulated that the charter could be dissolved by mutual consultation
",indonesias independence federal constitution considered heavy economies suriname netherlands antilles insignificant compared netherlands charter kingdom netherlands enacted composite state created consisting netherlands suriname netherlands antilles provisions charter colonies granted internal autonomy suriname netherlands antilles got minister plenipotentiary based netherlands right participate dutch cabinet meetings discussed affairs kingdom pertained directly suriname netherlands antilles delegates suriname netherlands antilles participate sessions second chamber states general overseas member added council state appropriate according charter suriname netherlands antilles alter basic law right autonomous countries leave kingdom unilaterally recognised stipulated charter dissolved mutual consultation,8.16,"indonesias,independence,federal,constitution,considered,heavy,economies,suriname,netherlands,antilles,insignificant,compared,netherlands,charter,kingdom,netherlands,enacted,composite,state,created,consisting,netherlands,suriname,netherlands,antilles,provisions,charter,colonies,granted,internal,autonomy,suriname,netherlands,antilles,got,minister,plenipotentiary,based,netherlands,right,participate,dutch,cabinet,meetings,discussed,affairs,kingdom,pertained,directly,suriname,netherlands,antilles,delegates,suriname,netherlands,antilles,participate,sessions,second,chamber,states,general,overseas,member,added,council,state,appropriate,according,charter,suriname,netherlands,antilles,alter,basic,law,right,autonomous,countries,leave,kingdom,unilaterally,recognised,stipulated,charter,dissolved,mutual,consultation",0.00,netherlands
"before the charter for the kingdom of the netherlands was proclaimed in  suriname netherlands new guinea and the netherlands antilles  were colonies of the netherlands
",charter kingdom netherlands proclaimed suriname netherlands new guinea netherlands antilles colonies netherlands,7.74,"charter,kingdom,netherlands,proclaimed,suriname,netherlands,new,guinea,netherlands,antilles,colonies,netherlands",0.00,netherlands
