Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"korea  is a peninsular region in east asia since  it has been divided at or near the th parallel with north korea  comprising its northern half and south korea  comprising its southern half korea consists of the korean peninsula jeju island and several minor islands near the peninsula the peninsula is bordered by china to the northwest and russia to the northeast it is separated from japan to the east by the korea strait and the sea of japan 
",korea peninsular region east asia divided near th parallel north korea comprising northern half south korea comprising southern half korea consists korean peninsula jeju island minor islands near peninsula peninsula bordered china northwest russia northeast separated japan east korea strait sea japan,8.28,"korea,peninsular,region,east,asia,divided,near,th,parallel,north,korea,comprising,northern,half,south,korea,comprising,southern,half,korea,consists,korean,peninsula,jeju,island,minor,islands,near,peninsula,peninsula,bordered,china,northwest,russia,northeast,separated,japan,east,korea,strait,sea,japan",0.00,korean
"during the first half of the st millennium korea was divided between three states goguryeo baekje and silla together known as the three kingdoms of korea in the second half of the st millennium silla defeated and conquered baekje and goguryeo leading to the unified silla period meanwhile balhae formed in the north superseding former goguryeo unified silla eventually collapsed into three separate states due to civil war ushering in the later three kingdoms toward the end of the st millennium goguryeo was resurrected as goryeo which defeated the two other states and unified the korean peninsula as a single sovereign state around the same time balhae collapsed and its last crown prince fled south to goryeo goryeo  whose name developed into the modern exonym korea was a highly cultured state that created the worlds first metal movable type in  however multiple incursions by the mongol empire during the th century greatly weakened the nation which eventually agreed to become a vassal state after decades of fighting following military resistance under king gongmin that ended mongol political influence in goryeo severe political strife followed and goryeo eventually fell to a coup led by general yi seong gye who established joseon on  july 
",half st millennium korea divided states goguryeo baekje silla known kingdoms korea second half st millennium silla defeated conquered baekje goguryeo leading unified silla period balhae formed north superseding goguryeo unified silla eventually collapsed separate states civil war ushering later kingdoms end st millennium goguryeo resurrected goryeo defeated states unified korean peninsula single sovereign state time balhae collapsed crown prince fled south goryeo goryeo developed modern exonym korea highly cultured state created worlds metal movable type multiple incursions mongol empire th century greatly weakened nation eventually agreed vassal state decades fighting following military resistance king gongmin ended mongol political influence goryeo severe political strife followed goryeo eventually fell coup led general yi seong gye established joseon july,6.78,"half,st,millennium,korea,divided,states,goguryeo,baekje,silla,known,kingdoms,korea,second,half,st,millennium,silla,defeated,conquered,baekje,goguryeo,leading,unified,silla,period,balhae,formed,north,superseding,goguryeo,unified,silla,eventually,collapsed,separate,states,civil,war,ushering,later,kingdoms,end,st,millennium,goguryeo,resurrected,goryeo,defeated,states,unified,korean,peninsula,single,sovereign,state,time,balhae,collapsed,crown,prince,fled,south,goryeo,goryeo,developed,modern,exonym,korea,highly,cultured,state,created,worlds,metal,movable,type,multiple,incursions,mongol,empire,th,century,greatly,weakened,nation,eventually,agreed,vassal,state,decades,fighting,following,military,resistance,king,gongmin,ended,mongol,political,influence,goryeo,severe,political,strife,followed,goryeo,eventually,fell,coup,led,general,yi,seong,gye,established,joseon,july",0.00,korean
"the first  years of the joseon era were marked by relative peace during this period the korean alphabet was created by sejong the great in the th century and there was increasing influence of confucianism during the later part of the dynasty koreas isolationist policy earned it the western nickname of the hermit kingdom korea was removed from chinese suzerainty following the qing dynastys defeat in the first sino japanese war and gojong of korea subsequently proclaimed the korean empire in  the unexpected victory of japan in the russo japanese war spelled the end of russian imperial ambitions in korea and japan was left with no other rivals in the region the korean empire subsequently became a protectorate of japan on  november  and was later annexed by japan on  august 
",years joseon era marked relative peace period korean alphabet created sejong great th century increasing influence confucianism later dynasty koreas isolationist policy earned western nickname hermit kingdom korea removed chinese suzerainty following qing dynastys defeat sino japanese war gojong korea subsequently proclaimed korean empire unexpected victory japan russo japanese war spelled end russian imperial ambitions korea japan left rivals region korean empire subsequently protectorate japan november later annexed japan august,7.67,"years,joseon,era,marked,relative,peace,period,korean,alphabet,created,sejong,great,th,century,increasing,influence,confucianism,later,dynasty,koreas,isolationist,policy,earned,western,nickname,hermit,kingdom,korea,removed,chinese,suzerainty,following,qing,dynastys,defeat,sino,japanese,war,gojong,korea,subsequently,proclaimed,korean,empire,unexpected,victory,japan,russo,japanese,war,spelled,end,russian,imperial,ambitions,korea,japan,left,rivals,region,korean,empire,subsequently,protectorate,japan,november,later,annexed,japan,august",0.00,korean
"japan relinquished control over korea after formally surrendering to the allies on  september  in the aftermath of world war ii the soviet union and the united states had agreed to partition korea along the th parallel with the soviets occupying the north and the americans occupying the south these circumstances became the basis for the division of korea by the two superpowers with two different ideologies exacerbated by their inability to agree on the terms of korean independence the communist government in the north received backing from the soviet union in opposition to the pro western government in the south leading to koreas division into two sovereign states in  north korea and south korea tensions between the two resulted in the outbreak of the korean war in  with involvement by foreign troops the war ended in a stalemate in  but without a formalised peace treaty this status contributes to the high tensions that continue to divide the peninsula and both states continue to claim to be the sole legitimate government of korea a breakthrough in the peace process came on  april  when north korea and south korea signed the panmunjom declaration on ending the conflict and reunifying korea
",japan relinquished control korea formally surrendering allies september aftermath world war ii soviet union united states agreed partition korea th parallel soviets occupying north americans occupying south circumstances basis division korea superpowers different ideologies exacerbated inability agree terms korean independence communist government north received backing soviet union opposition pro western government south leading koreas division sovereign states north korea south korea tensions resulted outbreak korean war involvement foreign troops war ended stalemate formalised peace treaty status contributes high tensions continue divide peninsula states continue claim sole legitimate government korea breakthrough peace process came april north korea south korea signed panmunjom declaration ending conflict reunifying korea,7.70,"japan,relinquished,control,korea,formally,surrendering,allies,september,aftermath,world,war,ii,soviet,union,united,states,agreed,partition,korea,th,parallel,soviets,occupying,north,americans,occupying,south,circumstances,basis,division,korea,superpowers,different,ideologies,exacerbated,inability,agree,terms,korean,independence,communist,government,north,received,backing,soviet,union,opposition,pro,western,government,south,leading,koreas,division,sovereign,states,north,korea,south,korea,tensions,resulted,outbreak,korean,war,involvement,foreign,troops,war,ended,stalemate,formalised,peace,treaty,status,contributes,high,tensions,continue,divide,peninsula,states,continue,claim,sole,legitimate,government,korea,breakthrough,peace,process,came,april,north,korea,south,korea,signed,panmunjom,declaration,ending,conflict,reunifying,korea",0.00,korean
"korea is the modern spelling of corea a name attested in english as early as  korea was transliterated as cauli in the travels of marco polo of the chinese   this was the hanja for the korean kingdom of goryeo  which ruled most of the korean peninsula during marco polos time koreas introduction to the west resulted from trade and contact with merchants from arabic lands with some records dating back as far as the th century goryeos name was a continuation of goguryeo  the northernmost of the three kingdoms of korea which was officially known as goryeo beginning in the th century the original name was a combination of the adjective go  with the name of a local yemaek tribe whose original name is thought to have been either guru  or gauri  with expanding british and american trade following the opening of korea in the late th century the spelling korea appeared and gradually grew in popularity its use in transcribing east asian languages avoids the issues caused by the separate hard and soft cs existing in english vocabulary derived from the romance languages the name korea is now commonly used in english contexts by both north and south korea
",korea modern spelling corea attested english early korea transliterated cauli travels marco polo chinese hanja korean kingdom goryeo ruled korean peninsula marco polos time koreas introduction west resulted trade contact merchants arabic lands records dating far th century goryeos continuation goguryeo northernmost kingdoms korea officially known goryeo beginning th century original combination adjective local yemaek tribe original thought guru gauri expanding british american trade following opening korea late th century spelling korea appeared gradually grew popularity use transcribing east asian languages avoids issues caused separate hard soft cs existing english vocabulary derived romance languages korea commonly english contexts north south korea,8.53,"korea,modern,spelling,corea,attested,english,early,korea,transliterated,cauli,travels,marco,polo,chinese,hanja,korean,kingdom,goryeo,ruled,korean,peninsula,marco,polos,time,koreas,introduction,west,resulted,trade,contact,merchants,arabic,lands,records,dating,far,th,century,goryeos,continuation,goguryeo,northernmost,kingdoms,korea,officially,known,goryeo,beginning,th,century,original,combination,adjective,local,yemaek,tribe,original,thought,guru,gauri,expanding,british,american,trade,following,opening,korea,late,th,century,spelling,korea,appeared,gradually,grew,popularity,use,transcribing,east,asian,languages,avoids,issues,caused,separate,hard,soft,cs,existing,english,vocabulary,derived,romance,languages,korea,commonly,english,contexts,north,south,korea",0.00,korean
"in south korea korea as a whole is referred to as hanguk  the name references samhan referring to the three kingdoms of korea not the ancient confederacies in the southern korean peninsula although written in hanja as   or  this han has no relation to the chinese place names or peoples who used those characters but was a phonetic transcription  of a native korean word that seems to have had the meaning big or great particularly in reference to leaders it has been tentatively linked with the title khan used by the nomads of manchuria and central asia
",south korea korea referred hanguk references samhan referring kingdoms korea ancient confederacies southern korean peninsula written hanja han relation chinese place names peoples characters phonetic transcription native korean word meaning big great particularly reference leaders tentatively linked title khan nomads manchuria central asia,9.71,"south,korea,korea,referred,hanguk,references,samhan,referring,kingdoms,korea,ancient,confederacies,southern,korean,peninsula,written,hanja,han,relation,chinese,place,names,peoples,characters,phonetic,transcription,native,korean,word,meaning,big,great,particularly,reference,leaders,tentatively,linked,title,khan,nomads,manchuria,central,asia",0.00,korean
"in north korea korea as a whole is referred to as joseon  joseon is the modern korean pronunciation of the hanja  which is also the basis of the word for korea as a whole in japan  china  and vietnam  great joseon was the name of the kingdom ruled by the joseon dynasty from  until their declaration of the short lived great korean empire in  king taejo had named them for the earlier gojoseon  who ruled northern korea from its legendary prehistory until their conquest in  bce by chinas han empire the go  in gojoseon is the hanja  and simply means ancient or old it is a modern usage to distinguish the ancient joseon from the later dynasty it is unclear whether joseon was a transcription of a native korean name  or a partial translation into chinese of the korean capital asadal  whose meaning has been reconstructed as morning land or mountain
",north korea korea referred joseon joseon modern korean pronunciation hanja basis word korea japan china vietnam great joseon kingdom ruled joseon dynasty declaration short lived great korean empire king taejo named earlier gojoseon ruled northern korea legendary prehistory conquest bce chinas han empire gojoseon hanja simply means ancient old modern usage distinguish ancient joseon later dynasty unclear joseon transcription native korean partial translation chinese korean capital asadal meaning reconstructed morning land mountain,9.28,"north,korea,korea,referred,joseon,joseon,modern,korean,pronunciation,hanja,basis,word,korea,japan,china,vietnam,great,joseon,kingdom,ruled,joseon,dynasty,declaration,short,lived,great,korean,empire,king,taejo,named,earlier,gojoseon,ruled,northern,korea,legendary,prehistory,conquest,bce,chinas,han,empire,gojoseon,hanja,simply,means,ancient,old,modern,usage,distinguish,ancient,joseon,later,dynasty,unclear,joseon,transcription,native,korean,partial,translation,chinese,korean,capital,asadal,meaning,reconstructed,morning,land,mountain",0.00,korean
"the korean academy claimed ancient hominid fossils originating from about  bce in the lava at a stone city site in korea fluorescent and high magnetic analyses indicate the volcanic fossils may be from as early as  bce the best preserved korean pottery goes back to the paleolithic times around  bce and the neolithic period begins around  bce
",korean academy claimed ancient hominid fossils originating bce lava stone city site korea fluorescent high magnetic analyses indicate volcanic fossils early bce best preserved korean pottery goes paleolithic times bce neolithic period begins bce,6.69,"korean,academy,claimed,ancient,hominid,fossils,originating,bce,lava,stone,city,site,korea,fluorescent,high,magnetic,analyses,indicate,volcanic,fossils,early,bce,best,preserved,korean,pottery,goes,paleolithic,times,bce,neolithic,period,begins,bce",0.00,korean
"beginning around  because the japonic speaking yayoi people from the korean peninsula entered the japanese islands and displaced or intermingled with the original jmon inhabitants the linguistic homeland of proto koreans is located somewhere in southern siberiamanchuria such the liao river area or the amur region proto koreans arrived in the southern part of the korean peninsula at around  because replacing and assimilating japonic speakers and likely causing the yayoi migration
",beginning japonic speaking yayoi people korean peninsula entered japanese islands displaced intermingled original jmon inhabitants linguistic homeland proto koreans located southern siberiamanchuria liao river area amur region proto koreans arrived southern korean peninsula replacing assimilating japonic speakers likely causing yayoi migration,6.20,"beginning,japonic,speaking,yayoi,people,korean,peninsula,entered,japanese,islands,displaced,intermingled,original,jmon,inhabitants,linguistic,homeland,proto,koreans,located,southern,siberiamanchuria,liao,river,area,amur,region,proto,koreans,arrived,southern,korean,peninsula,replacing,assimilating,japonic,speakers,likely,causing,yayoi,migration",0.00,korean
"according to korean legend dangun a descendant of heaven established gojoseon in  bce in  bce the han dynasty defeated gojoseon and installed four commanderies in the northern korean peninsula three of the commanderies fell or retreated westward within a few decades but the lelang commandery remained as a center of cultural and economic exchange with successive chinese dynasties for four centuries by  goguryeo annexed all of the chinese commanderies
",according korean legend dangun descendant heaven established gojoseon bce bce han dynasty defeated gojoseon installed commanderies northern korean peninsula commanderies fell retreated westward decades lelang commandery remained center cultural economic exchange successive chinese dynasties centuries goguryeo annexed chinese commanderies,6.61,"according,korean,legend,dangun,descendant,heaven,established,gojoseon,bce,bce,han,dynasty,defeated,gojoseon,installed,commanderies,northern,korean,peninsula,commanderies,fell,retreated,westward,decades,lelang,commandery,remained,center,cultural,economic,exchange,successive,chinese,dynasties,centuries,goguryeo,annexed,chinese,commanderies",0.00,korean
