Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"korean  is the native language for about  million people mostly of korean descenta it is the official and national language of both north korea and south korea  but over the past  years of political division the two koreas have developed some noticeable vocabulary differences beyond korea the language is recognised as a minority language in parts of china namely jilin province and specifically yanbian prefecture and changbai county it is also spoken by sakhalin koreans in parts of sakhalin the russian island just north of japan and by the koryo saramcode kor promoted to code ko  in parts of central asia the language has a few extinct relatives whichalong with the jeju language  of jeju island and korean itselfform the compact koreanic language family even so jejuan and korean are not mutually intelligible with each other the linguistic homeland of korean is suggested to be somewhere in contemporary northeast china the hierarchy of the society from which the language originates deeply influences the language leading to a system of speech levels and honorifics indicative of the formality of any given situation
",korean native language million people korean descenta official national language north korea south korea past years political division koreas developed noticeable vocabulary differences korea language recognised minority language parts china jilin province specifically yanbian prefecture changbai county spoken sakhalin koreans parts sakhalin russian island north japan koryo saramcode kor promoted code ko parts central asia language extinct relatives whichalong jeju language jeju island korean itselfform compact koreanic language family jejuan korean mutually intelligible linguistic homeland korean suggested contemporary northeast china hierarchy society language originates deeply influences language leading system speech levels honorifics indicative formality given situation,7.55,"korean,native,language,million,people,korean,descenta,official,national,language,north,korea,south,korea,past,years,political,division,koreas,developed,noticeable,vocabulary,differences,korea,language,recognised,minority,language,parts,china,jilin,province,specifically,yanbian,prefecture,changbai,county,spoken,sakhalin,koreans,parts,sakhalin,russian,island,north,japan,koryo,saramcode,kor,promoted,code,ko,parts,central,asia,language,extinct,relatives,whichalong,jeju,language,jeju,island,korean,itselfform,compact,koreanic,language,family,jejuan,korean,mutually,intelligible,linguistic,homeland,korean,suggested,contemporary,northeast,china,hierarchy,society,language,originates,deeply,influences,language,leading,system,speech,levels,honorifics,indicative,formality,given,situation",0.00,korean
"modern korean is written in the korean script  a system developed during the th century for that purpose although it did not become the primary script until the th century the script uses  basic letters  and  complex letters formed from the basic ones when first recorded in historical texts korean was only a spoken language all written records were maintained in classical chinese which even when spoken is not intelligible to someone who speaks only korean later chinese characters adapted to the korean language hanja  were used to write the language for most of koreas history and are still used to a limited extent in south korea most prominently in the humanities and the study of historical texts
",modern korean written korean script system developed th century purpose primary script th century script uses basic letters complex letters formed basic ones recorded historical texts korean spoken language written records maintained classical chinese spoken intelligible speaks korean later chinese characters adapted korean language hanja write language koreas history limited extent south korea prominently humanities study historical texts,8.51,"modern,korean,written,korean,script,system,developed,th,century,purpose,primary,script,th,century,script,uses,basic,letters,complex,letters,formed,basic,ones,recorded,historical,texts,korean,spoken,language,written,records,maintained,classical,chinese,spoken,intelligible,speaks,korean,later,chinese,characters,adapted,korean,language,hanja,write,language,koreas,history,limited,extent,south,korea,prominently,humanities,study,historical,texts",0.00,korean
"since the turn of the st century aspects of korean culture have spread to other countries through globalization and cultural exports as such interest in korean language acquisition  is also generated by longstanding alliances military involvement and diplomacy such as between south koreaunited states and chinanorth korea since the end of world war ii and the korean war along with other languages such as chinese and arabic korean is ranked at the top difficulty level for english speakers by the united states department of defense
",turn st century aspects korean culture spread countries globalization cultural exports interest korean language acquisition generated longstanding alliances military involvement diplomacy south koreaunited states chinanorth korea end world war ii korean war languages chinese arabic korean ranked difficulty level english speakers united states department defense,7.48,"turn,st,century,aspects,korean,culture,spread,countries,globalization,cultural,exports,interest,korean,language,acquisition,generated,longstanding,alliances,military,involvement,diplomacy,south,koreaunited,states,chinanorth,korea,end,world,war,ii,korean,war,languages,chinese,arabic,korean,ranked,difficulty,level,english,speakers,united,states,department,defense",0.00,korean
"modern korean descends from middle korean which in turn descends from old korean which descends from the proto koreanic language which is generally suggested to have its linguistic homeland whitman  suggests that the proto koreans already present in northern korea expanded into the southern part of the korean peninsula at around  because and coexisted with the descendants of the japonic mumun cultivators  both had influence on each other and a later founder effect diminished the internal variety of both language families
",modern korean descends middle korean turn descends old korean descends proto koreanic language generally suggested linguistic homeland whitman suggests proto koreans present northern korea expanded southern korean peninsula coexisted descendants japonic mumun cultivators influence later founder effect diminished internal variety language families,7.40,"modern,korean,descends,middle,korean,turn,descends,old,korean,descends,proto,koreanic,language,generally,suggested,linguistic,homeland,whitman,suggests,proto,koreans,present,northern,korea,expanded,southern,korean,peninsula,coexisted,descendants,japonic,mumun,cultivators,influence,later,founder,effect,diminished,internal,variety,language,families",0.00,korean
"since the korean war through  years of separation northsouth differences have developed in standard korean including variations in pronunciation and vocabulary chosen but these minor differences can be found in any of the korean dialects which are still largely mutually intelligible
",korean war years separation northsouth differences developed standard korean including variations pronunciation vocabulary chosen minor differences found korean dialects largely mutually intelligible,6.69,"korean,war,years,separation,northsouth,differences,developed,standard,korean,including,variations,pronunciation,vocabulary,chosen,minor,differences,found,korean,dialects,largely,mutually,intelligible",0.00,korean
"chinese characters arrived in korea  together with buddhism during the proto three kingdoms era in the st century because they were adapted for korean and became known as hanja and remained as the main script for writing korean for over a millennium alongside various phonetic scripts that were later invented such as idu gugyeol and hyangchal mainly privileged elites were educated to read and write in hanja however most of the population was illiterate
",chinese characters arrived korea buddhism proto kingdoms era st century adapted korean known hanja remained main script writing korean millennium alongside phonetic scripts later invented idu gugyeol hyangchal mainly privileged elites educated read write hanja population illiterate,8.11,"chinese,characters,arrived,korea,buddhism,proto,kingdoms,era,st,century,adapted,korean,known,hanja,remained,main,script,writing,korean,millennium,alongside,phonetic,scripts,later,invented,idu,gugyeol,hyangchal,mainly,privileged,elites,educated,read,write,hanja,population,illiterate",0.00,korean
"in the th century king sejong the great personally developed an alphabetic featural writing system known today as hangul he felt that hanja was inadequate to write korean and that caused its very restricted use hangul was designed to either aid in reading hanja or to replace hanja entirely introduced in the document hunminjeongeumcode kor promoted to code ko  it was called eonmuncode kor promoted to code ko   and quickly spread nationwide to increase literacy in korea hangul was widely used by all the korean classes but was often treated as amkeulcode kor promoted to code ko   and disregarded by privileged elites and hanja was regarded as jinseocode kor promoted to code ko   consequently official documents were always written in hanja during the joseon era since few people could understand hanja korean kings sometimes released public notices entirely written in hangul as early as the th century for all korean classes including uneducated peasants and slaves by the th century the elite class of yangbancode kor promoted to code ko  had exchanged hangul letters with slaves which suggests a high literacy rate of hangul during the joseon era
",th century king sejong great personally developed alphabetic featural writing system known today hangul felt hanja inadequate write korean caused restricted use hangul designed aid reading hanja replace hanja entirely introduced document hunminjeongeumcode kor promoted code ko called eonmuncode kor promoted code ko quickly spread nationwide increase literacy korea hangul widely korean classes treated amkeulcode kor promoted code ko disregarded privileged elites hanja regarded jinseocode kor promoted code ko consequently official documents written hanja joseon era people understand hanja korean kings released public notices entirely written hangul early th century korean classes including uneducated peasants slaves th century elite class yangbancode kor promoted code ko exchanged hangul letters slaves suggests high literacy rate hangul joseon era,6.23,"th,century,king,sejong,great,personally,developed,alphabetic,featural,writing,system,known,today,hangul,felt,hanja,inadequate,write,korean,caused,restricted,use,hangul,designed,aid,reading,hanja,replace,hanja,entirely,introduced,document,hunminjeongeumcode,kor,promoted,code,ko,called,eonmuncode,kor,promoted,code,ko,quickly,spread,nationwide,increase,literacy,korea,hangul,widely,korean,classes,treated,amkeulcode,kor,promoted,code,ko,disregarded,privileged,elites,hanja,regarded,jinseocode,kor,promoted,code,ko,consequently,official,documents,written,hanja,joseon,era,people,understand,hanja,korean,kings,released,public,notices,entirely,written,hangul,early,th,century,korean,classes,including,uneducated,peasants,slaves,th,century,elite,class,yangbancode,kor,promoted,code,ko,exchanged,hangul,letters,slaves,suggests,high,literacy,rate,hangul,joseon,era",0.00,korean
"the korean names for the language are based on the names for korea used in both south korea and north korea the english word korean is derived from goryeo which is thought to be the first korean dynasty known to western nations korean people in the former ussr refer to themselves as koryo saramcode kor promoted to code ko  andor koryo incode kor promoted to code ko   and call the language koryo malcode kor promoted to code ko  some older english sources also use the spelling corea to refer to the nation and its inflected form for the language culture and people korea becoming more popular in the late s
",korean names language based names korea south korea north korea english word korean derived goryeo thought korean dynasty known western nations korean people ussr refer koryo saramcode kor promoted code ko andor koryo incode kor promoted code ko language koryo malcode kor promoted code ko older english sources use spelling corea refer nation inflected form language culture people korea popular late,8.03,"korean,names,language,based,names,korea,south,korea,north,korea,english,word,korean,derived,goryeo,thought,korean,dynasty,known,western,nations,korean,people,ussr,refer,koryo,saramcode,kor,promoted,code,ko,andor,koryo,incode,kor,promoted,code,ko,language,koryo,malcode,kor,promoted,code,ko,older,english,sources,use,spelling,corea,refer,nation,inflected,form,language,culture,people,korea,popular,late",0.00,korean
"in south korea the korean language is referred to by many names including hanguk eocode kor promoted to code ko   hanguk malcode kor promoted to code ko   and uri malcode kor promoted to code ko   hangukcode kor promoted to code ko  is taken from the name of the korean empire  the hancode kor promoted to code ko   in hangukcode kor promoted to code ko  and daehan jegukcode kor promoted to code ko  is derived from samhan in reference to the three kingdoms of korea  while  eocode kor promoted to code ko  and  malcode kor promoted to code ko  mean language and speech respectively korean is also simply referred to as guk eocode kor promoted to code ko  literally national language this name is based on the same han characters  that are also used in taiwan and japan to refer to their respective national languages
",south korea korean language referred names including hanguk eocode kor promoted code ko hanguk malcode kor promoted code ko uri malcode kor promoted code ko hangukcode kor promoted code ko taken korean empire hancode kor promoted code ko hangukcode kor promoted code ko daehan jegukcode kor promoted code ko derived samhan reference kingdoms korea eocode kor promoted code ko malcode kor promoted code ko mean language speech respectively korean simply referred guk eocode kor promoted code ko literally national language based han characters taiwan japan refer respective national languages,6.72,"south,korea,korean,language,referred,names,including,hanguk,eocode,kor,promoted,code,ko,hanguk,malcode,kor,promoted,code,ko,uri,malcode,kor,promoted,code,ko,hangukcode,kor,promoted,code,ko,taken,korean,empire,hancode,kor,promoted,code,ko,hangukcode,kor,promoted,code,ko,daehan,jegukcode,kor,promoted,code,ko,derived,samhan,reference,kingdoms,korea,eocode,kor,promoted,code,ko,malcode,kor,promoted,code,ko,mean,language,speech,respectively,korean,simply,referred,guk,eocode,kor,promoted,code,ko,literally,national,language,based,han,characters,taiwan,japan,refer,respective,national,languages",0.00,korean
"in north korea and china the language is most often called joseon malcode kor promoted to code ko  or more formally joseon ocode kor promoted to code ko  this is taken from the north korean name for korea  a name retained from the joseon dynasty until the proclamation of the korean empire which in turn was annexed by the empire of japan
",north korea china language called joseon malcode kor promoted code ko formally joseon ocode kor promoted code ko taken north korean korea retained joseon dynasty proclamation korean empire turn annexed empire japan,8.85,"north,korea,china,language,called,joseon,malcode,kor,promoted,code,ko,formally,joseon,ocode,kor,promoted,code,ko,taken,north,korean,korea,retained,joseon,dynasty,proclamation,korean,empire,turn,annexed,empire,japan",0.00,korean
