Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"latvia  latvian latvija latvija latgalian latveja livonian lem officially the republic of latvia  is a country in the baltic region of northern europe it is one of the baltic states and is bordered by estonia to the north lithuania to the south russia to the east belarus to the southeast and shares a maritime border with sweden to the west latvia covers an area of  km  with a population of  million the country has a temperate seasonal climate its capital and largest city is riga latvians belong to the ethno linguistic group of the balts and speak latvian one of the only twoa surviving baltic languages russians are the most prominent minority in the country at almost a quarter of the population
",latvia latvian latvija latvija latgalian latveja livonian lem officially republic latvia country baltic region northern europe baltic states bordered estonia north lithuania south russia east belarus southeast shares maritime border sweden west latvia covers area km population million country temperate seasonal climate capital largest city riga latvians belong ethno linguistic group balts speak latvian twoa surviving baltic languages russians prominent minority country quarter population,8.25,"latvia,latvian,latvija,latvija,latgalian,latveja,livonian,lem,officially,republic,latvia,country,baltic,region,northern,europe,baltic,states,bordered,estonia,north,lithuania,south,russia,east,belarus,southeast,shares,maritime,border,sweden,west,latvia,covers,area,km,population,million,country,temperate,seasonal,climate,capital,largest,city,riga,latvians,belong,ethno,linguistic,group,balts,speak,latvian,twoa,surviving,baltic,languages,russians,prominent,minority,country,quarter,population",0.00,latvia
"after centuries of teutonic swedish polish lithuanian and russian rule which was mainly executed by the local baltic german aristocracy the independent republic of latvia was established on  november  when it broke away from the german empire and declared independence in the aftermath of world war i however by the s the country became increasingly autocratic after the coup in  establishing an authoritarian regime under krlis ulmanis the countrys de facto independence was interrupted at the outset of world war ii beginning with latvias forcible incorporation into the soviet union followed by the invasion and occupation by nazi germany in  and the re occupation by the soviets in  to form the latvian ssr for the next  years as a result of extensive immigration during the soviet occupation ethnic russians became the most prominent minority in the country now constituting nearly a quarter of the population the peaceful singing revolution started in  and ended with the restoration of de facto independence on  august  since then latvia has been a democratic unitary parliamentary republic
",centuries teutonic swedish polish lithuanian russian rule mainly executed local baltic german aristocracy independent republic latvia established november broke away german empire declared independence aftermath world war country increasingly autocratic coup establishing authoritarian regime krlis ulmanis countrys de facto independence interrupted outset world war ii beginning latvias forcible incorporation soviet union followed invasion occupation nazi germany occupation soviets form latvian ssr years result extensive immigration soviet occupation ethnic russians prominent minority country constituting nearly quarter population peaceful singing revolution started ended restoration de facto independence august latvia democratic unitary parliamentary republic,7.38,"centuries,teutonic,swedish,polish,lithuanian,russian,rule,mainly,executed,local,baltic,german,aristocracy,independent,republic,latvia,established,november,broke,away,german,empire,declared,independence,aftermath,world,war,country,increasingly,autocratic,coup,establishing,authoritarian,regime,krlis,ulmanis,countrys,de,facto,independence,interrupted,outset,world,war,ii,beginning,latvias,forcible,incorporation,soviet,union,followed,invasion,occupation,nazi,germany,occupation,soviets,form,latvian,ssr,years,result,extensive,immigration,soviet,occupation,ethnic,russians,prominent,minority,country,constituting,nearly,quarter,population,peaceful,singing,revolution,started,ended,restoration,de,facto,independence,august,latvia,democratic,unitary,parliamentary,republic",0.00,latvia
"latvia is a developed country with a high income advanced economy ranking very high th in the human development index it performs favorably in measurements of civil liberties press freedom internet freedom democratic governance living standards and peacefulness latvia is a member of the european union eurozone nato the council of europe the united nations the council of the baltic sea states the international monetary fund the nordic baltic eight the nordic investment bank the organisation for economic co operation and development the organization for security and co operation in europe and the world trade organization
",latvia developed country high income advanced economy ranking high th human development index performs favorably measurements civil liberties press freedom internet freedom democratic governance living standards peacefulness latvia member european union eurozone nato council europe united nations council baltic sea states international monetary fund nordic baltic nordic investment bank organisation economic co operation development organization security co operation europe world trade organization,5.42,"latvia,developed,country,high,income,advanced,economy,ranking,high,th,human,development,index,performs,favorably,measurements,civil,liberties,press,freedom,internet,freedom,democratic,governance,living,standards,peacefulness,latvia,member,european,union,eurozone,nato,council,europe,united,nations,council,baltic,sea,states,international,monetary,fund,nordic,baltic,nordic,investment,bank,organisation,economic,co,operation,development,organization,security,co,operation,europe,world,trade,organization",0.00,latvia
"the name latvija is derived from the name of the ancient latgalians one of four indo european baltic tribes  which formed the ethnic core of modern latvians together with the finnic livonians henry of latvia coined the latinisations of the countrys name lettigallia and lethia both derived from the latgalians the terms inspired the variations on the countrys name in romance languages from letonia and in several germanic languages from lettland
",latvija derived ancient latgalians indo european baltic tribes formed ethnic core modern latvians finnic livonians henry latvia coined latinisations countrys lettigallia lethia derived latgalians terms inspired variations countrys romance languages letonia germanic languages lettland,8.28,"latvija,derived,ancient,latgalians,indo,european,baltic,tribes,formed,ethnic,core,modern,latvians,finnic,livonians,henry,latvia,coined,latinisations,countrys,lettigallia,lethia,derived,latgalians,terms,inspired,variations,countrys,romance,languages,letonia,germanic,languages,lettland",0.00,latvia
"around  because the proto baltic ancestors of the latvian people settled on the eastern coast of the baltic sea the balts established trade routes to rome and byzantium trading local amber for precious metals by  ad four distinct baltic tribes inhabited latvia curonians latgalians selonians semigallians  as well as the finnic tribe of livonians  speaking a finnic languagecitation needed
",proto baltic ancestors latvian people settled eastern coast baltic sea balts established trade routes rome byzantium trading local amber precious metals ad distinct baltic tribes inhabited latvia curonians latgalians selonians semigallians finnic tribe livonians speaking finnic languagecitation needed,5.38,"proto,baltic,ancestors,latvian,people,settled,eastern,coast,baltic,sea,balts,established,trade,routes,rome,byzantium,trading,local,amber,precious,metals,ad,distinct,baltic,tribes,inhabited,latvia,curonians,latgalians,selonians,semigallians,finnic,tribe,livonians,speaking,finnic,languagecitation,needed",0.00,latvia
"in the th century in the territory of latvia there were lands with their rulers vanema ventava bandava piemare duvzare slija koknese jersika tlava and adzele
",th century territory latvia lands rulers vanema ventava bandava piemare duvzare slija koknese jersika tlava adzele,6.33,"th,century,territory,latvia,lands,rulers,vanema,ventava,bandava,piemare,duvzare,slija,koknese,jersika,tlava,adzele",0.00,latvia
"at the beginning of the th century germans ruled large parts of what is currently latvia the influx of german crusaders in the present day latvian territory especially increased in the second half of the th century following the decline and fall of the crusader states in the middle east together with southern estonia these conquered areas formed the crusader state that became known as terra mariana  or livonia in  riga and later the cities of csis limbai koknese and valmiera became part of the hanseatic league riga became an important point of eastwest trading and formed close cultural links with western europe the first german settlers were knights from northern germany and citizens of northern german towns who brought their low german language to the region which shaped many loanwords in the latvian language
",beginning th century germans ruled large parts currently latvia influx german crusaders present day latvian territory especially increased second half th century following decline fall crusader states middle east southern estonia conquered areas formed crusader state known terra mariana livonia riga later cities csis limbai koknese valmiera hanseatic league riga important point eastwest trading formed close cultural links western europe german settlers knights northern germany citizens northern german towns brought low german language region shaped loanwords latvian language,6.93,"beginning,th,century,germans,ruled,large,parts,currently,latvia,influx,german,crusaders,present,day,latvian,territory,especially,increased,second,half,th,century,following,decline,fall,crusader,states,middle,east,southern,estonia,conquered,areas,formed,crusader,state,known,terra,mariana,livonia,riga,later,cities,csis,limbai,koknese,valmiera,hanseatic,league,riga,important,point,eastwest,trading,formed,close,cultural,links,western,europe,german,settlers,knights,northern,germany,citizens,northern,german,towns,brought,low,german,language,region,shaped,loanwords,latvian,language",0.00,latvia
"after the livonian war  livonia  fell under polish and lithuanian rule the southern part of estonia and the northern part of latvia were ceded to the grand duchy of lithuania and formed into the duchy of livonia  gotthard kettler the last master of the order of livonia formed the duchy of courland and semigallia though the duchy was a vassal state to lithuanian grand duchy and later of polish and lithuanian commonwealth it retained a considerable degree of autonomy and experienced a golden age in the th century latgalia the easternmost region of latvia became a part of the inflanty voivodeship of the polish lithuanian commonwealth
",livonian war livonia fell polish lithuanian rule southern estonia northern latvia ceded grand duchy lithuania formed duchy livonia gotthard kettler master order livonia formed duchy courland semigallia duchy vassal state lithuanian grand duchy later polish lithuanian commonwealth retained considerable degree autonomy experienced golden age th century latgalia easternmost region latvia inflanty voivodeship polish lithuanian commonwealth,7.98,"livonian,war,livonia,fell,polish,lithuanian,rule,southern,estonia,northern,latvia,ceded,grand,duchy,lithuania,formed,duchy,livonia,gotthard,kettler,master,order,livonia,formed,duchy,courland,semigallia,duchy,vassal,state,lithuanian,grand,duchy,later,polish,lithuanian,commonwealth,retained,considerable,degree,autonomy,experienced,golden,age,th,century,latgalia,easternmost,region,latvia,inflanty,voivodeship,polish,lithuanian,commonwealth",0.00,latvia
"in the th and early th centuries the polishlithuanian commonwealth sweden and russia struggled for supremacy in the eastern baltic after the polishswedish war northern livonia  came under swedish rule riga became the capital of swedish livonia and the largest city in the entire swedish empire fighting continued sporadically between sweden and poland until the truce of altmark in citation needed in latvia the swedish period is generally remembered as positive serfdom was eased a network of schools was established for the peasantry and the power of the regional barons was diminished
",th early th centuries polishlithuanian commonwealth sweden russia struggled supremacy eastern baltic polishswedish war northern livonia came swedish rule riga capital swedish livonia largest city entire swedish empire fighting continued sporadically sweden poland truce altmark citation needed latvia swedish period generally remembered positive serfdom eased network schools established peasantry power regional barons diminished,6.63,"th,early,th,centuries,polishlithuanian,commonwealth,sweden,russia,struggled,supremacy,eastern,baltic,polishswedish,war,northern,livonia,came,swedish,rule,riga,capital,swedish,livonia,largest,city,entire,swedish,empire,fighting,continued,sporadically,sweden,poland,truce,altmark,citation,needed,latvia,swedish,period,generally,remembered,positive,serfdom,eased,network,schools,established,peasantry,power,regional,barons,diminished",0.00,latvia
"several important cultural changes occurred during this time under swedish and largely german rule western latvia adopted lutheranism as its main religion the ancient tribes of the couronians semigallians selonians livs and northern latgallians assimilated to form the latvian people speaking one latvian language throughout all the centuries however an actual latvian state had not been established so the borders and definitions of who exactly fell within that group are largely subjective meanwhile largely isolated from the rest of latvia southern latgallians adopted catholicism under polishjesuit influence the native dialect remained distinct although it acquired many polish and russian loanwords
",important cultural changes occurred time swedish largely german rule western latvia adopted lutheranism main religion ancient tribes couronians semigallians selonians livs northern latgallians assimilated form latvian people speaking latvian language centuries actual latvian state established borders definitions exactly fell group largely subjective largely isolated rest latvia southern latgallians adopted catholicism polishjesuit influence native dialect remained distinct acquired polish russian loanwords,5.67,"important,cultural,changes,occurred,time,swedish,largely,german,rule,western,latvia,adopted,lutheranism,main,religion,ancient,tribes,couronians,semigallians,selonians,livs,northern,latgallians,assimilated,form,latvian,people,speaking,latvian,language,centuries,actual,latvian,state,established,borders,definitions,exactly,fell,group,largely,subjective,largely,isolated,rest,latvia,southern,latgallians,adopted,catholicism,polishjesuit,influence,native,dialect,remained,distinct,acquired,polish,russian,loanwords",0.00,latvia
