Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"lisbon  is the capital and largest city of portugal with an estimated population of  within its administrative limits in an area of  km lisbons urban area extends beyond the citys administrative limits with a population of around  million people being the th most populous urban area in the european union about  million people live in the lisbon metropolitan area making it the third largest metropolitan area in the iberian peninsula after madrid and barcelona it represents approximately  of the countrys population it is mainland europes westernmost capital city and the only one along the atlantic coast lisbon lies in the western iberian peninsula on the atlantic ocean and the river tagus the westernmost portions of its metro area the portuguese riviera form the westernmost point of continental europe culminating at cabo da roca
",lisbon capital largest city portugal estimated population administrative limits area km lisbons urban area extends citys administrative limits population million people th populous urban area european union million people live lisbon metropolitan area making largest metropolitan area iberian peninsula madrid barcelona represents approximately countrys population mainland europes westernmost capital city atlantic coast lisbon lies western iberian peninsula atlantic ocean river tagus westernmost portions metro area portuguese riviera form westernmost point continental europe culminating cabo da roca,6.79,"lisbon,capital,largest,city,portugal,estimated,population,administrative,limits,area,km,lisbons,urban,area,extends,citys,administrative,limits,population,million,people,th,populous,urban,area,european,union,million,people,live,lisbon,metropolitan,area,making,largest,metropolitan,area,iberian,peninsula,madrid,barcelona,represents,approximately,countrys,population,mainland,europes,westernmost,capital,city,atlantic,coast,lisbon,lies,western,iberian,peninsula,atlantic,ocean,river,tagus,westernmost,portions,metro,area,portuguese,riviera,form,westernmost,point,continental,europe,culminating,cabo,da,roca",0.00,lisbon
"lisbon is recognised as an alpha level global city because of its importance in finance commerce fashion media entertainment arts international trade education and tourism lisbon is one of two portuguese cities  to be recognised as a global city lisbon is home to three companies in the global  it is one of the major economic centres in europe with a growing financial sector and one of the largest container ports on europes atlantic coast additionally humberto delgado airport served  million passengers in  being the busiest airport in portugal the third busiest in the iberian peninsula and the th busiest in europe the motorway network and the high speed rail system of alfa pendular link the main cities of portugal to lisbon the city is the ninth most visited city in southern europe after istanbul rome barcelona milan athens venice madrid and florence with  tourists in  the lisbon region has a higher gdp ppp per capita than any other region in portugal its gdp amounts to us billion and thus  per capita the city occupies the th place of highest gross earnings in the world most of the headquarters of multinational corporations in portugal are located in the lisbon area it is also the political centre of the country as its seat of government and residence of the head of state
",lisbon recognised alpha level global city importance finance commerce fashion media entertainment arts international trade education tourism lisbon portuguese cities recognised global city lisbon home companies global major economic centres europe growing financial sector largest container ports europes atlantic coast additionally humberto delgado airport served million passengers busiest airport portugal busiest iberian peninsula th busiest europe motorway network high speed rail system alfa pendular link main cities portugal lisbon city ninth visited city southern europe istanbul rome barcelona milan athens venice madrid florence tourists lisbon region higher gdp ppp capita region portugal gdp amounts billion capita city occupies th place highest gross earnings world headquarters multinational corporations portugal located lisbon area political centre country seat government residence head state,7.82,"lisbon,recognised,alpha,level,global,city,importance,finance,commerce,fashion,media,entertainment,arts,international,trade,education,tourism,lisbon,portuguese,cities,recognised,global,city,lisbon,home,companies,global,major,economic,centres,europe,growing,financial,sector,largest,container,ports,europes,atlantic,coast,additionally,humberto,delgado,airport,served,million,passengers,busiest,airport,portugal,busiest,iberian,peninsula,th,busiest,europe,motorway,network,high,speed,rail,system,alfa,pendular,link,main,cities,portugal,lisbon,city,ninth,visited,city,southern,europe,istanbul,rome,barcelona,milan,athens,venice,madrid,florence,tourists,lisbon,region,higher,gdp,ppp,capita,region,portugal,gdp,amounts,billion,capita,city,occupies,th,place,highest,gross,earnings,world,headquarters,multinational,corporations,portugal,located,lisbon,area,political,centre,country,seat,government,residence,head,state",0.00,lisbon
"lisbon is one of the oldest cities in the world and the second oldest european capital city  predating other modern european capitals by centuries julius caesar made it a municipium called felicitas julia adding to the name olissipo after the fall of the roman empire it was ruled by a series of germanic tribes from the th century later it was captured by the moors in the th century in  afonso henriques conquered the city and since then it has been the political economic and cultural centre of portugal
",lisbon oldest cities world second oldest european capital city predating modern european capitals centuries julius caesar municipium called felicitas julia adding olissipo fall roman empire ruled series germanic tribes th century later captured moors th century afonso henriques conquered city political economic cultural centre portugal,8.68,"lisbon,oldest,cities,world,second,oldest,european,capital,city,predating,modern,european,capitals,centuries,julius,caesar,municipium,called,felicitas,julia,adding,olissipo,fall,roman,empire,ruled,series,germanic,tribes,th,century,later,captured,moors,th,century,afonso,henriques,conquered,city,political,economic,cultural,centre,portugal",0.00,lisbon
"lisbons name may have been derived from proto celtic or celtic olisippo lissoppo or a similar name which other visiting peoples like the ancient phoenicians greeks and romans adapted accordingly such as the pre roman appellation for the tagus river lisso or lucio classical authors writing in latin and greek including strabo solinus and martianus capella referred to popular legends that the city of lisbon was founded by the mythical hero ulysses  lisbons name was written ulyssippo in latin by the geographer pomponius mela a native of hispania it was later referred to as olisippo by pliny the elder and by the greeks as olissipo  or olissipona 
",lisbons derived proto celtic celtic olisippo lissoppo similar visiting peoples like ancient phoenicians greeks romans adapted accordingly pre roman appellation tagus river lisso lucio classical authors writing latin greek including strabo solinus martianus capella referred popular legends city lisbon founded mythical hero ulysses lisbons written ulyssippo latin geographer pomponius mela native hispania later referred olisippo pliny elder greeks olissipo olissipona,7.23,"lisbons,derived,proto,celtic,celtic,olisippo,lissoppo,similar,visiting,peoples,like,ancient,phoenicians,greeks,romans,adapted,accordingly,pre,roman,appellation,tagus,river,lisso,lucio,classical,authors,writing,latin,greek,including,strabo,solinus,martianus,capella,referred,popular,legends,city,lisbon,founded,mythical,hero,ulysses,lisbons,written,ulyssippo,latin,geographer,pomponius,mela,native,hispania,later,referred,olisippo,pliny,elder,greeks,olissipo,olissipona",0.00,lisbon
"another claim repeated in literature is that the name of lisbon could be traced back to phoenician times referring to a supposed phoenician term alis ubbo meaning safe harbour or pleasant haven although modern archaeological excavations show a phoenician presence at this location since  because this folk etymology is never attested in ancient classical literature
",claim repeated literature lisbon traced phoenician times referring supposed phoenician term alis ubbo meaning safe harbour pleasant modern archaeological excavations phoenician presence location folk etymology attested ancient classical literature,7.10,"claim,repeated,literature,lisbon,traced,phoenician,times,referring,supposed,phoenician,term,alis,ubbo,meaning,safe,harbour,pleasant,modern,archaeological,excavations,phoenician,presence,location,folk,etymology,attested,ancient,classical,literature",0.00,lisbon
"lisbons name is commonly abbreviated as lx or lx originating in an antiquated spelling of lisbon as lixba while the old spelling has since been completely dropped from usage and goes against modern language standards the abbreviation is still commonly used
",lisbons commonly abbreviated lx lx originating antiquated spelling lisbon lixba old spelling completely dropped usage goes modern language standards abbreviation commonly,7.78,"lisbons,commonly,abbreviated,lx,lx,originating,antiquated,spelling,lisbon,lixba,old,spelling,completely,dropped,usage,goes,modern,language,standards,abbreviation,commonly",0.00,lisbon
"during the neolithic period the region was inhabited by pre celtic tribes who built religious and funerary monuments megaliths dolmens and menhirs which still survive in areas on the periphery of lisbon the indo european celts invaded in the st millennium because mixing with the pre indo european population thus giving rise to celtic speaking local tribes such as the cempsi or sefes
",neolithic period region inhabited pre celtic tribes built religious funerary monuments megaliths dolmens menhirs survive areas periphery lisbon indo european celts invaded st millennium mixing pre indo european population giving rise celtic speaking local tribes cempsi sefes,6.74,"neolithic,period,region,inhabited,pre,celtic,tribes,built,religious,funerary,monuments,megaliths,dolmens,menhirs,survive,areas,periphery,lisbon,indo,european,celts,invaded,st,millennium,mixing,pre,indo,european,population,giving,rise,celtic,speaking,local,tribes,cempsi,sefes",0.00,lisbon
"although the first fortifications on lisbons castelo hill are known to be no older than the nd century because recent archaeological finds have shown that iron age people occupied the site from the th to th centuries because this indigenous settlement maintained commercial relations with the phoenicians which would account for the recent findings of phoenician pottery and other material objects archaeological excavations made near the castle of so jorge  and lisbon cathedral indicate a phoenician presence at this location since  because and it can be stated with confidence that a phoenician trading post stood on a site now the centre of the present city on the southern slope of castle hill the sheltered harbour in the tagus river estuary was an ideal spot for an iberian settlement and would have provided a secure harbour for unloading and provisioning phoenician ships the tagus settlement was an important centre of commercial trade with the inland tribes providing an outlet for the valuable metals salt and salted fish they collected and for the sale of the lusitanian horses renowned in antiquity
",fortifications lisbons castelo hill known older nd century recent archaeological finds shown iron age people occupied site th th centuries indigenous settlement maintained commercial relations phoenicians account recent findings phoenician pottery material objects archaeological excavations near castle jorge lisbon cathedral indicate phoenician presence location stated confidence phoenician trading post stood site centre present city southern slope castle hill sheltered harbour tagus river estuary ideal spot iberian settlement provided secure harbour unloading provisioning phoenician ships tagus settlement important centre commercial trade inland tribes providing outlet valuable metals salt salted fish collected sale lusitanian horses renowned antiquity,7.55,"fortifications,lisbons,castelo,hill,known,older,nd,century,recent,archaeological,finds,shown,iron,age,people,occupied,site,th,th,centuries,indigenous,settlement,maintained,commercial,relations,phoenicians,account,recent,findings,phoenician,pottery,material,objects,archaeological,excavations,near,castle,jorge,lisbon,cathedral,indicate,phoenician,presence,location,stated,confidence,phoenician,trading,post,stood,site,centre,present,city,southern,slope,castle,hill,sheltered,harbour,tagus,river,estuary,ideal,spot,iberian,settlement,provided,secure,harbour,unloading,provisioning,phoenician,ships,tagus,settlement,important,centre,commercial,trade,inland,tribes,providing,outlet,valuable,metals,salt,salted,fish,collected,sale,lusitanian,horses,renowned,antiquity",0.00,lisbon
"following the disintegration of the western roman empire there were barbarian invasions between  and  the city was occupied successively by sarmatians alans and vandals the germanic suebi who established a kingdom in gallaecia  with its capital in bracara augusta also controlled the region of lisbon until  in  the suebi kingdom was integrated into the germanic visigothic kingdom of toledo which comprised all of the iberian peninsula lisbon was then called ulishbona
",following disintegration western roman empire barbarian invasions city occupied successively sarmatians alans vandals germanic suebi established kingdom gallaecia capital bracara augusta controlled region lisbon suebi kingdom integrated germanic visigothic kingdom toledo comprised iberian peninsula lisbon called ulishbona,7.23,"following,disintegration,western,roman,empire,barbarian,invasions,city,occupied,successively,sarmatians,alans,vandals,germanic,suebi,established,kingdom,gallaecia,capital,bracara,augusta,controlled,region,lisbon,suebi,kingdom,integrated,germanic,visigothic,kingdom,toledo,comprised,iberian,peninsula,lisbon,called,ulishbona",0.00,lisbon
"on  august  lisbon was taken by muslim forces these conquerors who were mostly berbers and some arabs from north africa and the middle east built many mosques and houses rebuilt the city wall  and established administrative control while permitting the diverse population  to maintain their socio cultural lifestyles mozarabic was the native language spoken by most of the christian population although arabic was widely known as spoken by all religious communities islam was the official religion practised by the arabs berbers saqaliba and muwallad
",august lisbon taken muslim forces conquerors berbers arabs north africa middle east built mosques houses rebuilt city wall established administrative control permitting diverse population maintain socio cultural lifestyles mozarabic native language spoken christian population arabic widely known spoken religious communities islam official religion practised arabs berbers saqaliba muwallad,6.53,"august,lisbon,taken,muslim,forces,conquerors,berbers,arabs,north,africa,middle,east,built,mosques,houses,rebuilt,city,wall,established,administrative,control,permitting,diverse,population,maintain,socio,cultural,lifestyles,mozarabic,native,language,spoken,christian,population,arabic,widely,known,spoken,religious,communities,islam,official,religion,practised,arabs,berbers,saqaliba,muwallad",0.00,lisbon
