Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"several bridges named london bridge have spanned the river thames between the city of london and southwark in central london the current crossing which opened to traffic in  is a box girder bridge built from concrete and steel it replaced a th century stone arched bridge which in turn superseded a  year old stone built medieval structure this was preceded by a succession of timber bridges the first of which was built by the roman founders of london
",bridges named london bridge spanned river thames city london southwark central london current crossing opened traffic box girder bridge built concrete steel replaced th century stone arched bridge turn superseded year old stone built medieval structure preceded succession timber bridges built roman founders london,7.51,"bridges,named,london,bridge,spanned,river,thames,city,london,southwark,central,london,current,crossing,opened,traffic,box,girder,bridge,built,concrete,steel,replaced,th,century,stone,arched,bridge,turn,superseded,year,old,stone,built,medieval,structure,preceded,succession,timber,bridges,built,roman,founders,london",0.00,london
"the current bridge stands at the western end of the pool of london and is positioned  metres  upstream from previous alignments the approaches to the medieval bridge were marked by the church of st magnus the martyr on the northern bank and by southwark cathedral on the southern shore until putney bridge opened in  london bridge was the only road crossing of the thames downstream of kingston upon thames london bridge has been depicted in its several forms in art literature and songs including the nursery rhyme london bridge is falling down and the epic poem the waste land by t s eliot
",current bridge stands western end pool london positioned metres upstream previous alignments approaches medieval bridge marked church st magnus martyr northern bank southwark cathedral southern shore putney bridge opened london bridge road crossing thames downstream kingston thames london bridge depicted forms art literature songs including nursery rhyme london bridge falling epic poem waste land eliot,8.11,"current,bridge,stands,western,end,pool,london,positioned,metres,upstream,previous,alignments,approaches,medieval,bridge,marked,church,st,magnus,martyr,northern,bank,southwark,cathedral,southern,shore,putney,bridge,opened,london,bridge,road,crossing,thames,downstream,kingston,thames,london,bridge,depicted,forms,art,literature,songs,including,nursery,rhyme,london,bridge,falling,epic,poem,waste,land,eliot",0.00,london
"the modern bridge is owned and maintained by bridge house estates an independent charity of medieval origin overseen by the city of london corporation it carries the a road which is maintained by the greater london authority the crossing also delineates an area along the southern bank of the river thames between london bridge and tower bridge that has been designated as a business improvement district
",modern bridge owned maintained bridge house estates independent charity medieval origin overseen city london corporation carries road maintained greater london authority crossing delineates area southern bank river thames london bridge tower bridge designated business improvement district,7.41,"modern,bridge,owned,maintained,bridge,house,estates,independent,charity,medieval,origin,overseen,city,london,corporation,carries,road,maintained,greater,london,authority,crossing,delineates,area,southern,bank,river,thames,london,bridge,tower,bridge,designated,business,improvement,district",0.00,london
"the abutments of modern london bridge rest several metres above natural embankments of gravel sand and clay from the late neolithic era the southern embankment formed a natural causeway above the surrounding swamp and marsh of the rivers estuary the northern ascended to higher ground at the present site of cornhill between the embankments the river thames could have been crossed by ford when the tide was low or ferry when it was high both embankments particularly the northern would have offered stable beachheads for boat traffic up and downstream  the thames and its estuary were a major inland and continental trade route from at least the th century because
",abutments modern london bridge rest metres natural embankments gravel sand clay late neolithic era southern embankment formed natural causeway surrounding swamp marsh rivers estuary northern ascended higher ground present site cornhill embankments river thames crossed ford tide low ferry high embankments particularly northern offered stable beachheads boat traffic downstream thames estuary major inland continental trade route th century,7.81,"abutments,modern,london,bridge,rest,metres,natural,embankments,gravel,sand,clay,late,neolithic,era,southern,embankment,formed,natural,causeway,surrounding,swamp,marsh,rivers,estuary,northern,ascended,higher,ground,present,site,cornhill,embankments,river,thames,crossed,ford,tide,low,ferry,high,embankments,particularly,northern,offered,stable,beachheads,boat,traffic,downstream,thames,estuary,major,inland,continental,trade,route,th,century",0.00,london
"there is archaeological evidence for scattered neolithic bronze age and iron age settlement nearby but until a bridge was built there london did not exist a few miles upstream beyond the rivers upper tidal reach two ancient fords were in use these were apparently aligned with the course of watling street which led into the heartlands of the catuvellauni britains most powerful tribe at the time of caesars invasion of  because some time before claudiuss conquest of ad  power shifted to the trinovantes who held the region northeast of the thames estuary from a capital at camulodunum nowadays colchester in essex claudius imposed a major colonia at camulodunum and made it the capital city of the new roman province of britannia the first london bridge was built by the romans as part of their road building programme to help consolidate their conquest
",archaeological evidence scattered neolithic bronze age iron age settlement nearby bridge built london exist miles upstream rivers upper tidal reach ancient fords use apparently aligned course watling street led heartlands catuvellauni britains powerful tribe time caesars invasion time claudiuss conquest ad power shifted trinovantes held region northeast thames estuary capital camulodunum nowadays colchester essex claudius imposed major colonia camulodunum capital city new roman province britannia london bridge built romans road building programme help consolidate conquest,7.83,"archaeological,evidence,scattered,neolithic,bronze,age,iron,age,settlement,nearby,bridge,built,london,exist,miles,upstream,rivers,upper,tidal,reach,ancient,fords,use,apparently,aligned,course,watling,street,led,heartlands,catuvellauni,britains,powerful,tribe,time,caesars,invasion,time,claudiuss,conquest,ad,power,shifted,trinovantes,held,region,northeast,thames,estuary,capital,camulodunum,nowadays,colchester,essex,claudius,imposed,major,colonia,camulodunum,capital,city,new,roman,province,britannia,london,bridge,built,romans,road,building,programme,help,consolidate,conquest",0.00,london
"it is possible that roman military engineers built a pontoon type bridge at the site during the conquest period  a bridge of any kind would have given a rapid overland shortcut to camulodunum from the southern and kentish ports along the roman roads of stane street and watling street  the roman roads leading to and from london were probably built around ad  and the river crossing was possibly served by a permanent timber bridge on the relatively high dry ground at the northern end of the bridge a small opportunistic trading and shipping settlement took root and grew into the town of londinium a smaller settlement developed at the southern end of the bridge in the area now known as southwark the bridge may have been destroyed along with the town in the boudican revolt  but londinium was rebuilt and eventually became the administrative and mercantile capital of roman britain the bridge offered uninterrupted mass movement of foot horse and wheeled traffic across the thames linking four major arterial road systems north of the thames with four to the south just downstream of the bridge were substantial quays and depots convenient to seagoing trade between britain and the rest of the roman empire
",possible roman military engineers built pontoon type bridge site conquest period bridge kind given rapid overland shortcut camulodunum southern kentish ports roman roads stane street watling street roman roads leading london probably built ad river crossing possibly served permanent timber bridge relatively high dry ground northern end bridge small opportunistic trading shipping settlement took root grew town londinium smaller settlement developed southern end bridge area known southwark bridge destroyed town boudican revolt londinium rebuilt eventually administrative mercantile capital roman britain bridge offered uninterrupted mass movement foot horse wheeled traffic thames linking major arterial road systems north thames south downstream bridge substantial quays depots convenient seagoing trade britain rest roman empire,7.68,"possible,roman,military,engineers,built,pontoon,type,bridge,site,conquest,period,bridge,kind,given,rapid,overland,shortcut,camulodunum,southern,kentish,ports,roman,roads,stane,street,watling,street,roman,roads,leading,london,probably,built,ad,river,crossing,possibly,served,permanent,timber,bridge,relatively,high,dry,ground,northern,end,bridge,small,opportunistic,trading,shipping,settlement,took,root,grew,town,londinium,smaller,settlement,developed,southern,end,bridge,area,known,southwark,bridge,destroyed,town,boudican,revolt,londinium,rebuilt,eventually,administrative,mercantile,capital,roman,britain,bridge,offered,uninterrupted,mass,movement,foot,horse,wheeled,traffic,thames,linking,major,arterial,road,systems,north,thames,south,downstream,bridge,substantial,quays,depots,convenient,seagoing,trade,britain,rest,roman,empire",0.00,london
"with the end of roman rule in britain in the early th century londinium was gradually abandoned and the bridge fell into disrepair in the anglo saxon period the river became a boundary between the emergent mutually hostile kingdoms of mercia and wessex by the late th century danish invasions prompted at least a partial reoccupation of the site by the saxons the bridge may have been rebuilt by alfred the great soon after the battle of edington as part of alfreds redevelopment of the area in his system of burhs or it may have been rebuilt around  under the saxon king thelred the unready to hasten his troop movements against sweyn forkbeard father of cnut the great a skaldic tradition describes the bridges destruction in  by thelreds ally olaf to divide the danish forces who held both the walled city of london and southwark the earliest contemporary written reference to a saxon bridge is c when chroniclers mention how cnuts ships bypassed the crossing during his war to regain the throne from edmund ironside
",end roman rule britain early th century londinium gradually abandoned bridge fell disrepair anglo saxon period river boundary emergent mutually hostile kingdoms mercia wessex late th century danish invasions prompted partial reoccupation site saxons bridge rebuilt alfred great soon battle edington alfreds redevelopment area system burhs rebuilt saxon king thelred unready hasten troop movements sweyn forkbeard father cnut great skaldic tradition describes bridges destruction thelreds ally olaf divide danish forces held walled city london southwark earliest contemporary written reference saxon bridge c chroniclers mention cnuts ships bypassed crossing war regain throne edmund ironside,8.04,"end,roman,rule,britain,early,th,century,londinium,gradually,abandoned,bridge,fell,disrepair,anglo,saxon,period,river,boundary,emergent,mutually,hostile,kingdoms,mercia,wessex,late,th,century,danish,invasions,prompted,partial,reoccupation,site,saxons,bridge,rebuilt,alfred,great,soon,battle,edington,alfreds,redevelopment,area,system,burhs,rebuilt,saxon,king,thelred,unready,hasten,troop,movements,sweyn,forkbeard,father,cnut,great,skaldic,tradition,describes,bridges,destruction,thelreds,ally,olaf,divide,danish,forces,held,walled,city,london,southwark,earliest,contemporary,written,reference,saxon,bridge,c,chroniclers,mention,cnuts,ships,bypassed,crossing,war,regain,throne,edmund,ironside",0.00,london
"following the norman conquest in  king william i rebuilt the bridge it was repaired or replaced by king william ii destroyed by fire in  and rebuilt in the reign of stephen henry ii created a monastic guild the brethren of the bridge to oversee all work on london bridge in  peter of colechurch chaplain and warden of the bridge and its brethren supervised the bridges last rebuilding in timber
",following norman conquest king william rebuilt bridge repaired replaced king william ii destroyed fire rebuilt reign stephen henry ii created monastic guild brethren bridge oversee work london bridge peter colechurch chaplain warden bridge brethren supervised bridges rebuilding timber,7.85,"following,norman,conquest,king,william,rebuilt,bridge,repaired,replaced,king,william,ii,destroyed,fire,rebuilt,reign,stephen,henry,ii,created,monastic,guild,brethren,bridge,oversee,work,london,bridge,peter,colechurch,chaplain,warden,bridge,brethren,supervised,bridges,rebuilding,timber",0.00,london
"after the murder of his former friend and later opponent thomas becket archbishop of canterbury the penitent king henry ii commissioned a new stone bridge in place of the old with a chapel at its centre dedicated to becket as martyr the archbishop had been a native londoner born at cheapside and a popular figure the chapel of st thomas on the bridge became the official start of pilgrimage to his canterbury shrine it was grander than some town parish churches and had an additional river level entrance for fishermen and ferrymen building work began in  supervised by peter of colechurch the costs would have been enormous henrys attempt to meet them with taxes on wool and sheepskins probably gave rise to a later legend that london bridge was built on wool packs in  before colechurchs death isembert a french monk who was renowned as a bridge builder was appointed by king john to complete the project construction was not finished until  there were houses on the bridge from the start this was a normal way of paying for the maintenance of a bridge though in this case it had to be supplemented by other rents and by tolls from  two bridge wardens were responsible for maintaining the bridge heading the organization known as the bridge house the only two collapses occurred when maintenance had been neglected in   and   in  perhaps the greatest of the early fires of london broke out spreading as far as the chapel and trapping many people
",murder friend later opponent thomas becket archbishop canterbury penitent king henry ii commissioned new stone bridge place old chapel centre dedicated becket martyr archbishop native londoner born cheapside popular figure chapel st thomas bridge official start pilgrimage canterbury shrine grander town parish churches additional river level entrance fishermen ferrymen building work began supervised peter colechurch costs enormous henrys attempt meet taxes wool sheepskins probably gave rise later legend london bridge built wool packs colechurchs death isembert french monk renowned bridge builder appointed king john complete project construction finished houses bridge start normal way paying maintenance bridge case supplemented rents tolls bridge wardens responsible maintaining bridge heading organization known bridge house collapses occurred maintenance neglected greatest early fires london broke spreading far chapel trapping people,8.76,"murder,friend,later,opponent,thomas,becket,archbishop,canterbury,penitent,king,henry,ii,commissioned,new,stone,bridge,place,old,chapel,centre,dedicated,becket,martyr,archbishop,native,londoner,born,cheapside,popular,figure,chapel,st,thomas,bridge,official,start,pilgrimage,canterbury,shrine,grander,town,parish,churches,additional,river,level,entrance,fishermen,ferrymen,building,work,began,supervised,peter,colechurch,costs,enormous,henrys,attempt,meet,taxes,wool,sheepskins,probably,gave,rise,later,legend,london,bridge,built,wool,packs,colechurchs,death,isembert,french,monk,renowned,bridge,builder,appointed,king,john,complete,project,construction,finished,houses,bridge,start,normal,way,paying,maintenance,bridge,case,supplemented,rents,tolls,bridge,wardens,responsible,maintaining,bridge,heading,organization,known,bridge,house,collapses,occurred,maintenance,neglected,greatest,early,fires,london,broke,spreading,far,chapel,trapping,people",0.00,london
"the three major buildings on the bridge were the chapel the drawbridge tower and the stone gate all of which seem to have been present soon after the bridges construction the chapel was last rebuilt in  by henry yevele master mason to the king following the reformation it was converted into a house in  the drawbridge tower was where the severed heads of traitors were exhibited the drawbridge ceased to be opened in the s and in  the tower was replaced by nonsuch housea pair of magnificent houses its architect was lewis stockett surveyor of the queens works who gave it the second classical facade in london  the stone gate was last rebuilt in the s and later took over the function of displaying the heads of traitors the heads were dipped in tar and boiled to preserve them against the elements and were impaled on pikes the head of william wallace was the first recorded as appearing in  starting a long tradition other famous heads on pikes included those of jack cade in  thomas more in  bishop john fisher in the same year and thomas cromwell in  in  a german visitor to london paul hentzner counted over  heads on the bridge
",major buildings bridge chapel drawbridge tower stone gate present soon bridges construction chapel rebuilt henry yevele master mason king following reformation converted house drawbridge tower severed heads traitors exhibited drawbridge ceased opened tower replaced nonsuch housea pair magnificent houses architect lewis stockett surveyor queens works gave second classical facade london stone gate rebuilt later took function displaying heads traitors heads dipped tar boiled preserve elements impaled pikes head william wallace recorded appearing starting long tradition famous heads pikes included jack cade thomas bishop john fisher year thomas cromwell german visitor london paul hentzner counted heads bridge,9.33,"major,buildings,bridge,chapel,drawbridge,tower,stone,gate,present,soon,bridges,construction,chapel,rebuilt,henry,yevele,master,mason,king,following,reformation,converted,house,drawbridge,tower,severed,heads,traitors,exhibited,drawbridge,ceased,opened,tower,replaced,nonsuch,housea,pair,magnificent,houses,architect,lewis,stockett,surveyor,queens,works,gave,second,classical,facade,london,stone,gate,rebuilt,later,took,function,displaying,heads,traitors,heads,dipped,tar,boiled,preserve,elements,impaled,pikes,head,william,wallace,recorded,appearing,starting,long,tradition,famous,heads,pikes,included,jack,cade,thomas,bishop,john,fisher,year,thomas,cromwell,german,visitor,london,paul,hentzner,counted,heads,bridge",0.00,london
