Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"london is the capital and largest city of england and the united kingdom with a population of just under  million it stands on the river thames in south east england at the head of a  mile  estuary down to the north sea and has been a major settlement for two millennia the city of london its ancient core and financial centre was founded by the romans as londinium and retains its medieval boundariesnote  the city of westminster to the west of the city of london has for centuries hosted the national government and parliament  since the th century the name london has also referred to the metropolis around this core historically split between the counties of middlesex essex surrey kent and hertfordshire which since  has largely comprised greater london which is governed by  local authorities and the greater london authoritynote 
",london capital largest city england united kingdom population million stands river thames south east england head mile estuary north sea major settlement millennia city london ancient core financial centre founded romans londinium retains medieval boundariesnote city westminster west city london centuries hosted national government parliament th century london referred metropolis core historically split counties middlesex essex surrey kent hertfordshire largely comprised greater london governed local authorities greater london authoritynote,8.48,"london,capital,largest,city,england,united,kingdom,population,million,stands,river,thames,south,east,england,head,mile,estuary,north,sea,major,settlement,millennia,city,london,ancient,core,financial,centre,founded,romans,londinium,retains,medieval,boundariesnote,city,westminster,west,city,london,centuries,hosted,national,government,parliament,th,century,london,referred,metropolis,core,historically,split,counties,middlesex,essex,surrey,kent,hertfordshire,largely,comprised,greater,london,governed,local,authorities,greater,london,authoritynote",0.00,london
"as one of the worlds major global cities london exerts a strong influence on its arts entertainment fashion commerce and finance education health care media science and technology tourism and transport and communications its gdp  makes it the largest urban economy in europe and it is one of the major financial centres in the world with europes largest concentration of higher education institutions it is home to some of the highest ranked academic institutions in the worldimperial college london in natural and applied sciences the london school of economics in social sciences and the comprehensive university college london london is the most visited city in europe and has the busiest city airport system in the world the london underground is the oldest rapid transit system in the world
",worlds major global cities london exerts strong influence arts entertainment fashion commerce finance education health care media science technology tourism transport communications gdp makes largest urban economy europe major financial centres world europes largest concentration higher education institutions home highest ranked academic institutions worldimperial college london natural applied sciences london school economics social sciences comprehensive university college london london visited city europe busiest city airport system world london underground oldest rapid transit system world,6.78,"worlds,major,global,cities,london,exerts,strong,influence,arts,entertainment,fashion,commerce,finance,education,health,care,media,science,technology,tourism,transport,communications,gdp,makes,largest,urban,economy,europe,major,financial,centres,world,europes,largest,concentration,higher,education,institutions,home,highest,ranked,academic,institutions,worldimperial,college,london,natural,applied,sciences,london,school,economics,social,sciences,comprehensive,university,college,london,london,visited,city,europe,busiest,city,airport,system,world,london,underground,oldest,rapid,transit,system,world",0.00,london
"londons diverse cultures encompass over  languages the mid  population of greater london of about  million made it europes third most populous city accounting for  of the population of the united kingdom and over  of the population of england the greater london built up area is the fourth most populous in europe with about  million inhabitants at the  census the london metropolitan area is the third most populous in europe with about  million inhabitants in note  granting london the status of a megacity
",londons diverse cultures encompass languages mid population greater london million europes populous city accounting population united kingdom population england greater london built area fourth populous europe million inhabitants census london metropolitan area populous europe million inhabitants note granting london status megacity,8.06,"londons,diverse,cultures,encompass,languages,mid,population,greater,london,million,europes,populous,city,accounting,population,united,kingdom,population,england,greater,london,built,area,fourth,populous,europe,million,inhabitants,census,london,metropolitan,area,populous,europe,million,inhabitants,note,granting,london,status,megacity",0.00,london
"london has four world heritage sites the tower of london kew gardens the combined palace of westminster westminster abbey and st margarets church and also the historic settlement in greenwich where the royal observatory greenwich defines the prime meridian  and greenwich mean time other landmarks include buckingham palace the london eye piccadilly circus st pauls cathedral tower bridge and trafalgar square london has many museums galleries libraries and cultural venues including the british museum national gallery natural history museum tate modern british library and numerous west end theatres important sporting events held in london include the fa cup final  wimbledon tennis championships and the london marathon in  london became the first city to host three summer olympic games
",london world heritage sites tower london kew gardens combined palace westminster westminster abbey st margarets church historic settlement greenwich royal observatory greenwich defines prime meridian greenwich mean time landmarks include buckingham palace london eye piccadilly circus st pauls cathedral tower bridge trafalgar square london museums galleries libraries cultural venues including british museum national gallery natural history museum tate modern british library numerous west end theatres important sporting events held london include fa cup final wimbledon tennis championships london marathon london city host summer olympic games,4.17,"london,world,heritage,sites,tower,london,kew,gardens,combined,palace,westminster,westminster,abbey,st,margarets,church,historic,settlement,greenwich,royal,observatory,greenwich,defines,prime,meridian,greenwich,mean,time,landmarks,include,buckingham,palace,london,eye,piccadilly,circus,st,pauls,cathedral,tower,bridge,trafalgar,square,london,museums,galleries,libraries,cultural,venues,including,british,museum,national,gallery,natural,history,museum,tate,modern,british,library,numerous,west,end,theatres,important,sporting,events,held,london,include,fa,cup,final,wimbledon,tennis,championships,london,marathon,london,city,host,summer,olympic,games",0.00,london
"london is an ancient name already attested in the first century ad usually in the latinised form londinium for example handwritten roman tablets recovered in the city originating from ad  include the word londinio 
",london ancient attested century ad usually latinised form londinium example handwritten roman tablets recovered city originating ad include word londinio,6.51,"london,ancient,attested,century,ad,usually,latinised,form,londinium,example,handwritten,roman,tablets,recovered,city,originating,ad,include,word,londinio",0.00,london
"the toponymy of the common brythonic form is debated prominent was richard coates  argument that it derived from pre celtic old european lowonida meaning river too wide to ford coates suggested this was a name given to the part of the river thames that flows through london from which the settlement gained the celtic form of its name lowonidonjon however most work has accepted a plain celtic origin recent studies favour an explanation of a celtic derivative of a proto indo european root lendh   combined with the celtic suffix  injo  or  onjo   peter schrijver has specifically suggested that the name originally meant place that floods 
",toponymy common brythonic form debated prominent richard coates argument derived pre celtic old european lowonida meaning river wide ford coates suggested given river thames flows london settlement gained celtic form lowonidonjon work accepted plain celtic origin recent studies favour explanation celtic derivative proto indo european root lendh combined celtic suffix injo onjo peter schrijver specifically suggested originally meant place floods,7.01,"toponymy,common,brythonic,form,debated,prominent,richard,coates,argument,derived,pre,celtic,old,european,lowonida,meaning,river,wide,ford,coates,suggested,given,river,thames,flows,london,settlement,gained,celtic,form,lowonidonjon,work,accepted,plain,celtic,origin,recent,studies,favour,explanation,celtic,derivative,proto,indo,european,root,lendh,combined,celtic,suffix,injo,onjo,peter,schrijver,specifically,suggested,originally,meant,place,floods",0.00,london
"until  the name london applied officially only to the city of london but since then it has also referred to the county of london and to greater london
",london applied officially city london referred county london greater london,11.92,"london,applied,officially,city,london,referred,county,london,greater,london",0.00,london
"in writing london is occasionally contracted to ldn such usage originated in sms language and often appears in a social media user profile suffixing an alias or handle
",writing london occasionally contracted ldn usage originated sms language appears social media user profile suffixing alias handle,6.55,"writing,london,occasionally,contracted,ldn,usage,originated,sms,language,appears,social,media,user,profile,suffixing,alias,handle",0.00,london
"despite the evidence of scattered brythonic settlements in the area the first major settlement was founded by the romans about four years after the invasion of  ad this only lasted until about  ad when the iceni tribe led by queen boudica stormed it and burnt it to the ground the next planned incarnation of londinium prospered superseding colchester as capital of the roman province of britannia in  at its height in the nd century roman london had a population of about 
",despite evidence scattered brythonic settlements area major settlement founded romans years invasion ad lasted ad iceni tribe led queen boudica stormed burnt ground planned incarnation londinium prospered superseding colchester capital roman province britannia height nd century roman london population,8.86,"despite,evidence,scattered,brythonic,settlements,area,major,settlement,founded,romans,years,invasion,ad,lasted,ad,iceni,tribe,led,queen,boudica,stormed,burnt,ground,planned,incarnation,londinium,prospered,superseding,colchester,capital,roman,province,britannia,height,nd,century,roman,london,population",0.00,london
"with the early th century collapse of roman rule london ceased to be a capital and the walled city of londinium was effectively abandoned although roman civilisation continued around st martin in the fields until about  from about  an anglo saxon settlement known as lundenwic developed slightly west of the old roman city by about  the city had become a major port again but there is little evidence of large scale production from the s repeated viking assaults brought decline three are recorded those in  and  succeeded while the last in  was rebuffed
",early th century collapse roman rule london ceased capital walled city londinium effectively abandoned roman civilisation continued st martin fields anglo saxon settlement known lundenwic developed slightly west old roman city city major port little evidence large scale production repeated viking assaults brought decline recorded succeeded rebuffed,8.29,"early,th,century,collapse,roman,rule,london,ceased,capital,walled,city,londinium,effectively,abandoned,roman,civilisation,continued,st,martin,fields,anglo,saxon,settlement,known,lundenwic,developed,slightly,west,old,roman,city,city,major,port,little,evidence,large,scale,production,repeated,viking,assaults,brought,decline,recorded,succeeded,rebuffed",0.00,london
