Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"madrid n  is the capital and most populous city of spain the city has almost  million inhabitants and a metropolitan area population of approximately  million it is the second largest city in the european union  and its monocentric metropolitan area is the second largest in the eu the municipality covers  km  geographical area
",madrid n capital populous city spain city million inhabitants metropolitan area population approximately million second largest city european union monocentric metropolitan area second largest eu municipality covers km geographical area,6.99,"madrid,n,capital,populous,city,spain,city,million,inhabitants,metropolitan,area,population,approximately,million,second,largest,city,european,union,monocentric,metropolitan,area,second,largest,eu,municipality,covers,km,geographical,area",0.00,madrid
"madrid lies on the river manzanares in the central part of the iberian peninsula capital city of both spain  and the surrounding autonomous community of madrid  it is also the political economic and cultural centre of the country the city is situated on an elevated plain about  km  from the closest seaside location the climate of madrid features hot summers and cool winters
",madrid lies river manzanares central iberian peninsula capital city spain surrounding autonomous community madrid political economic cultural centre country city situated elevated plain km closest seaside location climate madrid features hot summers cool winters,7.69,"madrid,lies,river,manzanares,central,iberian,peninsula,capital,city,spain,surrounding,autonomous,community,madrid,political,economic,cultural,centre,country,city,situated,elevated,plain,km,closest,seaside,location,climate,madrid,features,hot,summers,cool,winters",0.00,madrid
"the madrid urban agglomeration has the second largest gdp in the european union and its influence in politics education entertainment environment media fashion science culture and the arts all contribute to its status as one of the worlds major global cities due to its economic output high standard of living and market size madrid is considered the major financial centre and the leading economic hub of the iberian peninsula and of southern europe the metropolitan area hosts major spanish companies such as telefnica iberia bbva and fcc it concentrates the bulk of banking operations in the country and it is the spanish speaking city generating the largest amount of webpages
",madrid urban agglomeration second largest gdp european union influence politics education entertainment environment media fashion science culture arts contribute status worlds major global cities economic output high standard living market size madrid considered major financial centre leading economic hub iberian peninsula southern europe metropolitan area hosts major spanish companies telefnica iberia bbva fcc concentrates bulk banking operations country spanish speaking city generating largest webpages,6.75,"madrid,urban,agglomeration,second,largest,gdp,european,union,influence,politics,education,entertainment,environment,media,fashion,science,culture,arts,contribute,status,worlds,major,global,cities,economic,output,high,standard,living,market,size,madrid,considered,major,financial,centre,leading,economic,hub,iberian,peninsula,southern,europe,metropolitan,area,hosts,major,spanish,companies,telefnica,iberia,bbva,fcc,concentrates,bulk,banking,operations,country,spanish,speaking,city,generating,largest,webpages",0.00,madrid
"madrid houses the headquarters of the uns world tourism organization  the ibero american general secretariat  the organization of ibero american states  and the public interest oversight board  it also hosts major international regulators and promoters of the spanish language the standing committee of the association of spanish language academies headquarters of the royal spanish academy  the instituto cervantes and the foundation of emerging spanish  madrid organises fairs such as fitur arco simo tci and the madrid fashion week madrid is home to two world famous football clubs real madrid and atltico madrid
",madrid houses headquarters uns world tourism organization ibero american general secretariat organization ibero american states public interest oversight board hosts major international regulators promoters spanish language standing committee association spanish language academies headquarters royal spanish academy instituto cervantes foundation emerging spanish madrid organises fairs fitur arco simo tci madrid fashion week madrid home world famous football clubs real madrid atltico madrid,5.03,"madrid,houses,headquarters,uns,world,tourism,organization,ibero,american,general,secretariat,organization,ibero,american,states,public,interest,oversight,board,hosts,major,international,regulators,promoters,spanish,language,standing,committee,association,spanish,language,academies,headquarters,royal,spanish,academy,instituto,cervantes,foundation,emerging,spanish,madrid,organises,fairs,fitur,arco,simo,tci,madrid,fashion,week,madrid,home,world,famous,football,clubs,real,madrid,atltico,madrid",0.00,madrid
"while madrid possesses modern infrastructure it has preserved the look and feel of many of its historic neighbourhoods and streets its landmarks include the plaza mayor the royal palace of madrid the royal theatre with its restored  opera house the buen retiro park founded in  the th century national library building  containing some of spains historical archives many national museums and the golden triangle of art located along the paseo del prado and comprising three art museums prado museum the reina sofa museum a museum of modern art and the thyssen bornemisza museum which complements the holdings of the other two museums cibeles palace and fountain has become one of the monument symbols of the city the mayor is jos luis martnez almeida from the peoples party
",madrid possesses modern infrastructure preserved look feel historic neighbourhoods streets landmarks include plaza mayor royal palace madrid royal theatre restored opera house buen retiro park founded th century national library building containing spains historical archives national museums golden triangle art located paseo del prado comprising art museums prado museum reina sofa museum museum modern art thyssen bornemisza museum complements holdings museums cibeles palace fountain monument symbols city mayor jos luis martnez almeida peoples party,6.85,"madrid,possesses,modern,infrastructure,preserved,look,feel,historic,neighbourhoods,streets,landmarks,include,plaza,mayor,royal,palace,madrid,royal,theatre,restored,opera,house,buen,retiro,park,founded,th,century,national,library,building,containing,spains,historical,archives,national,museums,golden,triangle,art,located,paseo,del,prado,comprising,art,museums,prado,museum,reina,sofa,museum,museum,modern,art,thyssen,bornemisza,museum,complements,holdings,museums,cibeles,palace,fountain,monument,symbols,city,mayor,jos,luis,martnez,almeida,peoples,party",0.00,madrid
"there are various theories regarding the origin of the toponym madrid  namely
",theories origin toponym madrid,10.26,"theories,origin,toponym,madrid",0.00,madrid
"the site of modern day madrid has been occupied since prehistoric times and there are archaeological remains of the celtic carpetani settlement roman villas a visigoth basilica near the church of santa mara de la almudena and three visigoth necropoleis near casa de campo tetun and viclvaro
",site modern day madrid occupied prehistoric times archaeological remains celtic carpetani settlement roman villas visigoth basilica near church santa mara de la almudena visigoth necropoleis near casa de campo tetun viclvaro,5.50,"site,modern,day,madrid,occupied,prehistoric,times,archaeological,remains,celtic,carpetani,settlement,roman,villas,visigoth,basilica,near,church,santa,mara,de,la,almudena,visigoth,necropoleis,near,casa,de,campo,tetun,viclvaro",0.00,madrid
"the first historical document about the existence of an established settlement in madrid dates from the muslim age at the second half of the th century cordobese emir muhammad i built a fortress on a headland near the river manzanares as one of the many fortresses he ordered to be built on the border between al andalus and the kingdoms of len and castile with the objective of protecting toledo from the christian invasions and also as a starting point for muslim offensives after the disintegration of the caliphate of crdoba in the early th century madrid was integrated in the taifa of toledo
",historical document existence established settlement madrid dates muslim age second half th century cordobese emir muhammad built fortress headland near river manzanares fortresses ordered built border al andalus kingdoms len castile objective protecting toledo christian invasions starting point muslim offensives disintegration caliphate crdoba early th century madrid integrated taifa toledo,9.03,"historical,document,existence,established,settlement,madrid,dates,muslim,age,second,half,th,century,cordobese,emir,muhammad,built,fortress,headland,near,river,manzanares,fortresses,ordered,built,border,al,andalus,kingdoms,len,castile,objective,protecting,toledo,christian,invasions,starting,point,muslim,offensives,disintegration,caliphate,crdoba,early,th,century,madrid,integrated,taifa,toledo",0.00,madrid
"in the context of the wider campaign for the conquest of the taifa of toledo initiated in  madrid was seized in  by alfonso vi of len and castile who sought to use the town as an offensive outpost against the city of toledo in turn conquered in  following the conquest christians occupied the center of the city while muslims and jews were displaced to the suburbs madrid located near alcal  remained a borderland for a while suffering a number of razzias during the almoravid period and its walls were destroyed in  the city was confirmed as villa de realengo es  in  during the reign of alfonso vii the  charter of otorgamiento established the first explicit limits between madrid and segovia namely the puerto de el berrueco and the puerto de lozoya since  madrid won the right to be a city with representation in the courts of castilecitation needed in  alfonso viii gave madrid its first charter to regulate the municipal council which was expanded in  by ferdinand iii the government system of the town was changed to a regimiento of  regidores by alfonso xi on  january 
",context wider campaign conquest taifa toledo initiated madrid seized alfonso vi len castile sought use town offensive outpost city toledo turn conquered following conquest christians occupied center city muslims jews displaced suburbs madrid located near alcal remained borderland suffering number razzias almoravid period walls destroyed city confirmed villa de realengoes reign alfonso vii charter otorgamiento established explicit limits madrid segovia puerto de el berrueco puerto de lozoya madrid right city representation courts castilecitation needed alfonso viii gave madrid charter regulate municipal council expanded ferdinand iii government system town changed regimiento regidores alfonso xi january,8.44,"context,wider,campaign,conquest,taifa,toledo,initiated,madrid,seized,alfonso,vi,len,castile,sought,use,town,offensive,outpost,city,toledo,turn,conquered,following,conquest,christians,occupied,center,city,muslims,jews,displaced,suburbs,madrid,located,near,alcal,remained,borderland,suffering,number,razzias,almoravid,period,walls,destroyed,city,confirmed,villa,de,realengoes,reign,alfonso,vii,charter,otorgamiento,established,explicit,limits,madrid,segovia,puerto,de,el,berrueco,puerto,de,lozoya,madrid,right,city,representation,courts,castilecitation,needed,alfonso,viii,gave,madrid,charter,regulate,municipal,council,expanded,ferdinand,iii,government,system,town,changed,regimiento,regidores,alfonso,xi,january",0.00,madrid
"since the mid th century and up to the late th century the concejo of madrid vied for the control of the real de manzanares territory against the concejo of segovia a powerful town north of the sierra de guadarrama mountain range characterised by its repopulating prowess and its husbandry based economy contrasted by the agricultural and less competent in repopulation town of madrid after the decline of seplveda another concejo north of the mountain range segovia had become a major actor south of the guadarrama mountains expanding across the lozoya and manzanares rivers to the north of madrid and along the guadarrama river course to its west
",mid th century late th century concejo madrid vied control real de manzanares territory concejo segovia powerful town north sierra de guadarrama mountain range characterised repopulating prowess husbandry based economy contrasted agricultural competent repopulation town madrid decline seplveda concejo north mountain range segovia major actor south guadarrama mountains expanding lozoya manzanares rivers north madrid guadarrama river course west,7.70,"mid,th,century,late,th,century,concejo,madrid,vied,control,real,de,manzanares,territory,concejo,segovia,powerful,town,north,sierra,de,guadarrama,mountain,range,characterised,repopulating,prowess,husbandry,based,economy,contrasted,agricultural,competent,repopulation,town,madrid,decline,seplveda,concejo,north,mountain,range,segovia,major,actor,south,guadarrama,mountains,expanding,lozoya,manzanares,rivers,north,madrid,guadarrama,river,course,west",0.00,madrid
"in  the courts of castile convened at madrid for the first time under ferdinand iv and later in      and twice in 
",courts castile convened madrid time ferdinand iv later twice,10.43,"courts,castile,convened,madrid,time,ferdinand,iv,later,twice",0.00,madrid
"during the revolt of the comuneros led by juan de padilla madrid joined the revolt against charles holy roman emperor but after defeat at the battle of villalar madrid was besieged and occupied by the imperial troops the city was however granted the titles of coronada  and imperial
",revolt comuneros led juan de padilla madrid joined revolt charles holy roman emperor defeat battle villalar madrid besieged occupied imperial troops city granted titles coronada imperial,7.77,"revolt,comuneros,led,juan,de,padilla,madrid,joined,revolt,charles,holy,roman,emperor,defeat,battle,villalar,madrid,besieged,occupied,imperial,troops,city,granted,titles,coronada,imperial",0.00,madrid
"the number of urban inhabitants grew from  in the year  to  in the year  the poor population of the court was composed of ex soldiers foreigners rogues and ruanes dissatisfied with the lack of food and high prices in june  phillip ii set his court in madrid installing it in the old alczar thanks to this the city of madrid became the political centre of the monarchy being the capital of spain except for a short period between  and  in which the court was relocated to valladolid  being the capital was decisive for the evolution of the city and influenced its fate and during the rest of the reign of philip ii the population boomed going up from about  in  to  in 
",number urban inhabitants grew year year poor population court composed ex soldiers foreigners rogues ruanes dissatisfied lack food high prices june phillip ii set court madrid installing old alczar thanks city madrid political centre monarchy capital spain short period court relocated valladolid capital decisive evolution city influenced fate rest reign philip ii population boomed going,10.01,"number,urban,inhabitants,grew,year,year,poor,population,court,composed,ex,soldiers,foreigners,rogues,ruanes,dissatisfied,lack,food,high,prices,june,phillip,ii,set,court,madrid,installing,old,alczar,thanks,city,madrid,political,centre,monarchy,capital,spain,short,period,court,relocated,valladolid,capital,decisive,evolution,city,influenced,fate,rest,reign,philip,ii,population,boomed,going",0.00,madrid
"during the early th century although madrid recovered from the loss of the capital status with the return of diplomats lords and affluent people as well as an entourage of noted writers and artists together with them extreme poverty was however rampant the century also was a time of heyday for theatre represented in the so called corrales de comedias
",early th century madrid recovered loss capital status return diplomats lords affluent people entourage noted writers artists extreme poverty rampant century time heyday theatre represented called corrales de comedias,8.78,"early,th,century,madrid,recovered,loss,capital,status,return,diplomats,lords,affluent,people,entourage,noted,writers,artists,extreme,poverty,rampant,century,time,heyday,theatre,represented,called,corrales,de,comedias",0.00,madrid
"philip v built the royal palace the royal tapestry factory and the main royal academies the reign of charles iii who came to be known as the best mayor of madrid saw an effort to turn the city into a true capital with the construction of sewers street lighting cemeteries outside the city and a number of monuments and cultural institutions the reforms enacted by his sicilian minister were however opposed in  by the populace in the so called esquilache riots a revolt demanding to repeal a clothing decree banning the use of traditional hats and long cloaks aiming to curb crime in the city
",philip v built royal palace royal tapestry factory main royal academies reign charles iii came known best mayor madrid saw effort turn city true capital construction sewers street lighting cemeteries outside city number monuments cultural institutions reforms enacted sicilian minister opposed populace called esquilache riots revolt demanding repeal clothing decree banning use traditional hats long cloaks aiming curb crime city,7.59,"philip,v,built,royal,palace,royal,tapestry,factory,main,royal,academies,reign,charles,iii,came,known,best,mayor,madrid,saw,effort,turn,city,true,capital,construction,sewers,street,lighting,cemeteries,outside,city,number,monuments,cultural,institutions,reforms,enacted,sicilian,minister,opposed,populace,called,esquilache,riots,revolt,demanding,repeal,clothing,decree,banning,use,traditional,hats,long,cloaks,aiming,curb,crime,city",0.00,madrid
"in the context of the peninsular war the situation in french occupied madrid after march  was becoming more and more tense on  may a crowd began to gather near the royal palace protesting against the french attempt to evict the remaining members of the bourbon royal family to bayonne prompting up an uprising against the french imperial troops that lasted hours and spread throughout the city including a famous last stand at the montelen barracks subsequent repression was brutal with many insurgent spaniards being summarily executed the uprising led to a declaration of war calling all the spaniards to fights against the french invaders
",context peninsular war situation french occupied madrid march tense crowd began gather near royal palace protesting french attempt evict remaining members bourbon royal family bayonne prompting uprising french imperial troops lasted hours spread city including famous stand montelen barracks subsequent repression brutal insurgent spaniards summarily executed uprising led declaration war calling spaniards fights french invaders,7.63,"context,peninsular,war,situation,french,occupied,madrid,march,tense,crowd,began,gather,near,royal,palace,protesting,french,attempt,evict,remaining,members,bourbon,royal,family,bayonne,prompting,uprising,french,imperial,troops,lasted,hours,spread,city,including,famous,stand,montelen,barracks,subsequent,repression,brutal,insurgent,spaniards,summarily,executed,uprising,led,declaration,war,calling,spaniards,fights,french,invaders",0.00,madrid
"the city was invaded on  may  by a french armythe so called hundred thousand sons of saint louiscalled to intervene to restore the absolutism of ferdinand that the latter had been deprived from during the  trienio liberal unlike other european capitals during the first half of the th century the only noticeable bourgeois elements in madrid  were merchants the university of alcal de henares was relocated to madrid in  becoming the central university
",city invaded french armythe called thousand sons saint louiscalled intervene restore absolutism ferdinand deprived trienio liberal unlike european capitals half th century noticeable bourgeois elements madrid merchants university alcal de henares relocated madrid central university,8.39,"city,invaded,french,armythe,called,thousand,sons,saint,louiscalled,intervene,restore,absolutism,ferdinand,deprived,trienio,liberal,unlike,european,capitals,half,th,century,noticeable,bourgeois,elements,madrid,merchants,university,alcal,de,henares,relocated,madrid,central,university",0.00,madrid
"during the first third of the th century the population nearly doubled reaching more than  inhabitants new suburbs such as las ventas tetun and el carmen became the homes of the influx of workers while ensanche became a middle class neighbourhood of madrid
",th century population nearly doubled reaching inhabitants new suburbs las ventas tetun el carmen homes influx workers ensanche middle class neighbourhood madrid,8.17,"th,century,population,nearly,doubled,reaching,inhabitants,new,suburbs,las,ventas,tetun,el,carmen,homes,influx,workers,ensanche,middle,class,neighbourhood,madrid",0.00,madrid
"the spanish constitution of  was the first to legislate the location of the countrys capital setting it explicitly in madrid during the s madrid enjoyed great vitality it was demographically young becoming urbanized and the centre of new political movements during this time major construction projects were undertaken including the northern extension of the paseo de la castellana one of madrids major thoroughfares the tertiary sector including banking insurance and telephone services grew greatly illiteracy rates were down to below  and the citys cultural life grew notably during the so called silver age of spanish culture the sales of newspapers also increased conversely the proclamation of the republic created a severe housing shortage slums and squalor grew due to high population growth and the influx of the poor to the city construction of affordable housing failed to keep pace and increased political instability discouraged economic investment in housing in the years immediately prior to the civil war anti clericalism and catholicism lived side by side in madrid the burning of convents initiated after riots in the city in may  worsened the political environment however the  insurrection largely failed in the city
",spanish constitution legislate location countrys capital setting explicitly madrid madrid enjoyed great vitality demographically young urbanized centre new political movements time major construction projects undertaken including northern extension paseo de la castellana madrids major thoroughfares tertiary sector including banking insurance telephone services grew greatly illiteracy rates citys cultural life grew notably called silver age spanish culture sales newspapers increased conversely proclamation republic created severe housing shortage slums squalor grew high population growth influx poor city construction affordable housing failed pace increased political instability discouraged economic investment housing years immediately prior civil war anti clericalism catholicism lived madrid burning convents initiated riots city worsened political environment insurrection largely failed city,6.63,"spanish,constitution,legislate,location,countrys,capital,setting,explicitly,madrid,madrid,enjoyed,great,vitality,demographically,young,urbanized,centre,new,political,movements,time,major,construction,projects,undertaken,including,northern,extension,paseo,de,la,castellana,madrids,major,thoroughfares,tertiary,sector,including,banking,insurance,telephone,services,grew,greatly,illiteracy,rates,citys,cultural,life,grew,notably,called,silver,age,spanish,culture,sales,newspapers,increased,conversely,proclamation,republic,created,severe,housing,shortage,slums,squalor,grew,high,population,growth,influx,poor,city,construction,affordable,housing,failed,pace,increased,political,instability,discouraged,economic,investment,housing,years,immediately,prior,civil,war,anti,clericalism,catholicism,lived,madrid,burning,convents,initiated,riots,city,worsened,political,environment,insurrection,largely,failed,city",0.00,madrid
"madrid was one of the most heavily affected cities in the spanish civil war  it was a stronghold of the republican faction from july  and became an international symbol of anti fascist struggle during the conflict the city suffered aerial bombing and in november  its western suburbs were the scene of an all out battle the city fell to the francoists in march 
",madrid heavily affected cities spanish civil war stronghold republican faction july international symbol anti fascist struggle conflict city suffered aerial bombing november western suburbs scene battle city fell francoists march,9.12,"madrid,heavily,affected,cities,spanish,civil,war,stronghold,republican,faction,july,international,symbol,anti,fascist,struggle,conflict,city,suffered,aerial,bombing,november,western,suburbs,scene,battle,city,fell,francoists,march",0.00,madrid
"a staple of post war madrid  was the widespread use of ration coupons meat and fish consumption was scarce resulting in high mortality due to malnutrition due to its history as a left wing stronghold the right wing victors toyed with the possibility of moving the capital elsewhere  such plans were never implemented the franco regime instead emphasized the citys history as the capital of formerly imperial spain
",staple post war madrid widespread use ration coupons meat fish consumption scarce resulting high mortality malnutrition history left wing stronghold right wing victors toyed possibility moving capital plans implemented franco regime instead emphasized citys history capital imperial spain,7.25,"staple,post,war,madrid,widespread,use,ration,coupons,meat,fish,consumption,scarce,resulting,high,mortality,malnutrition,history,left,wing,stronghold,right,wing,victors,toyed,possibility,moving,capital,plans,implemented,franco,regime,instead,emphasized,citys,history,capital,imperial,spain",0.00,madrid
"madrid grew through the annexation of neighboring municipalities achieving the present extent of  km  the south of madrid became heavily industrialized and there was significant immigration from rural areas of spain madrids newly built north western districts became the home of a newly enriched middle class that appeared as result of the s spanish economic boom while the south eastern periphery became a large working class area which formed the base for active cultural and political movements
",madrid grew annexation neighboring municipalities achieving present extent km south madrid heavily industrialized significant immigration rural areas spain madrids newly built north western districts home newly enriched middle class appeared result spanish economic boom south eastern periphery large working class area formed base active cultural political movements,6.02,"madrid,grew,annexation,neighboring,municipalities,achieving,present,extent,km,south,madrid,heavily,industrialized,significant,immigration,rural,areas,spain,madrids,newly,built,north,western,districts,home,newly,enriched,middle,class,appeared,result,spanish,economic,boom,south,eastern,periphery,large,working,class,area,formed,base,active,cultural,political,movements",0.00,madrid
"after the fall of the francoist regime the new  constitution confirmed madrid as the capital of spain the  municipal election brought madrids first democratically elected mayor since the second republic to power
",fall francoist regime new constitution confirmed madrid capital spain municipal election brought madrids democratically elected mayor second republic power,6.13,"fall,francoist,regime,new,constitution,confirmed,madrid,capital,spain,municipal,election,brought,madrids,democratically,elected,mayor,second,republic,power",0.00,madrid
"madrid was the scene of some of the most important events of the time such as the mass demonstrations of support for democracy after the failed coup  f on  february  the first democratic mayors belonged to the centre left psoe  since the late s and through the s madrid became the center of the cultural movement known as la movida conversely just like in the rest of the country a heroin crisis took a toll in the poor neighborhoods of madrid in the s
",madrid scene important events time mass demonstrations support democracy failed coup f february democratic mayors belonged centre left psoe late madrid center cultural movement known la movida conversely like rest country heroin crisis took toll poor neighborhoods madrid,10.15,"madrid,scene,important,events,time,mass,demonstrations,support,democracy,failed,coup,f,february,democratic,mayors,belonged,centre,left,psoe,late,madrid,center,cultural,movement,known,la,movida,conversely,like,rest,country,heroin,crisis,took,toll,poor,neighborhoods,madrid",0.00,madrid
"benefiting from increasing prosperity in the s and s the capital city of spain consolidated its position as an important economic cultural industrial educational and technological centre on the european continent during the mandate as mayor of jos mara lvarez del manzano construction of traffic tunnels below the city proliferated the following administrations also conservative led by alberto ruiz gallardn and ana botella launched three unsuccessful bids for the   and  summer olympics by  madrid was the leading european destination for migrants from developing countries as well as the largest employer of non european workforce in spain madrid was a centre of the anti austerity protests that erupted in spain in  as consequence of the spillover of the  financial and mortgage crisis madrid has been affected by the increasing number of second hand homes held by banks and house evictions the mandate of left wing mayor manuela carmena  delivered the renaturalization of the course of the manzanares across the city
",benefiting increasing prosperity capital city spain consolidated position important economic cultural industrial educational technological centre european continent mandate mayor jos mara lvarez del manzano construction traffic tunnels city proliferated following administrations conservative led alberto ruiz gallardn ana botella launched unsuccessful bids summer olympics madrid leading european destination migrants developing countries largest employer non european workforce spain madrid centre anti austerity protests erupted spain consequence spillover financial mortgage crisis madrid affected increasing number second hand homes held banks house evictions mandate left wing mayor manuela carmena delivered renaturalization course manzanares city,6.75,"benefiting,increasing,prosperity,capital,city,spain,consolidated,position,important,economic,cultural,industrial,educational,technological,centre,european,continent,mandate,mayor,jos,mara,lvarez,del,manzano,construction,traffic,tunnels,city,proliferated,following,administrations,conservative,led,alberto,ruiz,gallardn,ana,botella,launched,unsuccessful,bids,summer,olympics,madrid,leading,european,destination,migrants,developing,countries,largest,employer,non,european,workforce,spain,madrid,centre,anti,austerity,protests,erupted,spain,consequence,spillover,financial,mortgage,crisis,madrid,affected,increasing,number,second,hand,homes,held,banks,house,evictions,mandate,left,wing,mayor,manuela,carmena,delivered,renaturalization,course,manzanares,city",0.00,madrid
