Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the mexican peso  is the currency of mexico modern peso and dollar currencies have a common origin in the thth century spanish dollar most continuing to use its sign 
",mexican peso currency mexico modern peso dollar currencies common origin thth century spanish dollar continuing use sign,7.19,"mexican,peso,currency,mexico,modern,peso,dollar,currencies,common,origin,thth,century,spanish,dollar,continuing,use,sign",0.00,peso
"the current iso  code for the peso is mxn prior to the  revaluation the code mxp was used the peso is subdivided into  centavos represented by  the mexican peso is the th most traded currency in the world the third most traded currency from the americas  and the most traded currency from latin america as of  january update the pesos exchange rate was  per euro  per yous dollar and  per canadian dollar
",current iso code peso mxn prior revaluation code mxp peso subdivided centavos represented mexican peso th traded currency world traded currency americas traded currency latin america januaryupdate pesos exchange rate euro yous dollar canadian dollar,8.89,"current,iso,code,peso,mxn,prior,revaluation,code,mxp,peso,subdivided,centavos,represented,mexican,peso,th,traded,currency,world,traded,currency,americas,traded,currency,latin,america,januaryupdate,pesos,exchange,rate,euro,yous,dollar,canadian,dollar",0.00,peso
"the name was first used in reference to pesos oro  or pesos plata  the spanish word peso means weight compare the british pound sterling other countries that use pesos are argentina chile colombia cuba dominican republic the philippines and uruguay
",reference pesos oro pesos plata spanish word peso means weight compare british pound sterling countries use pesos argentina chile colombia cuba dominican republic philippines uruguay,6.02,"reference,pesos,oro,pesos,plata,spanish,word,peso,means,weight,compare,british,pound,sterling,countries,use,pesos,argentina,chile,colombia,cuba,dominican,republic,philippines,uruguay",0.00,peso
"while the united states divided their dollar into  cents early on from  post independence mexico retained the peso of  reales until  when the second mexican empire under emperor maximillan commenced the minting of pesos divided into  centavos the restored mexican republic under benito juarez and porfirio diaz continued the minting of centavo coins in base metal or silver as well as gold coins in pesos but it had to revert the silver  peso coin to the old eight reales cap and ray design from  to  after east asian merchants rejected or discounted the newly designed peso coins
",united states divided dollar cents early post independence mexico retained peso reales second mexican empire emperor maximillan commenced minting pesos divided centavos restored mexican republic benito juarez porfirio diaz continued minting centavo coins base metal silver gold coins pesos revert silver peso coin old reales cap ray design east asian merchants rejected discounted newly designed peso coins,6.88,"united,states,divided,dollar,cents,early,post,independence,mexico,retained,peso,reales,second,mexican,empire,emperor,maximillan,commenced,minting,pesos,divided,centavos,restored,mexican,republic,benito,juarez,porfirio,diaz,continued,minting,centavo,coins,base,metal,silver,gold,coins,pesos,revert,silver,peso,coin,old,reales,cap,ray,design,east,asian,merchants,rejected,discounted,newly,designed,peso,coins",0.00,peso
"the post independence silver peso contained  grams of  fine silver  while the gold peso or half escudo contained  grams of  fine gold  after most of europe switched to the gold standard in the s the gold peso substantially rose in value against the silver peso until it became  silver pesos to a gold peso or a gold peso dollar by  in  the peso was solely defined as  g fine gold
",post independence silver peso contained grams fine silver gold peso half escudo contained grams fine gold europe switched gold standard gold peso substantially rose value silver peso silver pesos gold peso gold peso dollar peso solely defined g fine gold,7.89,"post,independence,silver,peso,contained,grams,fine,silver,gold,peso,half,escudo,contained,grams,fine,gold,europe,switched,gold,standard,gold,peso,substantially,rose,value,silver,peso,silver,pesos,gold,peso,gold,peso,dollar,peso,solely,defined,g,fine,gold",0.00,peso
"from  onward the weight and fineness of all the silver coins declined until  when the last silver  peso coins were minted the yous dollar was worth  silver pesos from  to  rising afterwards until it stabilized at  pesos from  to 
",onward weight fineness silver coins declined silver peso coins minted yous dollar worth silver pesos rising stabilized pesos,9.13,"onward,weight,fineness,silver,coins,declined,silver,peso,coins,minted,yous,dollar,worth,silver,pesos,rising,stabilized,pesos",0.00,peso
"throughout most of the th century the mexican peso remained one of the more stable currencies in latin america since the economy did not experience periods of hyperinflation common to other countries in the region however after the oil crisis of the late s mexico defaulted on its external debt in  and as a result the country suffered a severe case of capital flight followed by several years of inflation and devaluation the yous dollar leapt from  to  pesos in  and again from  to  pesos in  stabilizing only in the early s at above  mxpusd when a government economic strategy called the stability and economic growth pact  was adopted under president carlos salinas
",th century mexican peso remained stable currencies latin america economy experience periods hyperinflation common countries region oil crisis late mexico defaulted external debt result country suffered severe case capital flight followed years inflation devaluation yous dollar leapt pesos pesos stabilizing early mxpusd government economic strategy called stability economic growth pact adopted president carlos salinas,8.81,"th,century,mexican,peso,remained,stable,currencies,latin,america,economy,experience,periods,hyperinflation,common,countries,region,oil,crisis,late,mexico,defaulted,external,debt,result,country,suffered,severe,case,capital,flight,followed,years,inflation,devaluation,yous,dollar,leapt,pesos,pesos,stabilizing,early,mxpusd,government,economic,strategy,called,stability,economic,growth,pact,adopted,president,carlos,salinas",0.00,peso
"on january   the bank of mexico introduced a new currency the nuevo peso  written n followed by the numerical amount one new peso or n was equal to  of the obsolete mxp pesos
",january bank mexico introduced new currency nuevo peso written n followed numerical new peso n equal obsolete mxp pesos,8.00,"january,bank,mexico,introduced,new,currency,nuevo,peso,written,n,followed,numerical,new,peso,n,equal,obsolete,mxp,pesos",0.00,peso
"the transition was done with minimal confusion by issuing the series b nuevo peso banknotes in n   and  denominations with designs nearly identical to the corresponding banknote in the preceding series a which were labelled in old pesos  for series b the equivalent nuevo peso face value was  of the old peso face value for series a for example the series a old peso mxp and the series b nuevo peso mxn banknotes share the same design aside from the updated face value old and new pesos circulated simultaneously between  and  but old peso series a banknotes were gradually retired at this time and newly designed series c nuevo peso banknotes commenced in  from january   the nuevo peso was simply renamed to peso and new series d banknotes were issued identical to series c except for the word nuevo dropped the iso  code however remained unchanged as mxn series a and aa banknotes were demonetized and no longer legal tender as of january   although they remain legal tender series b c d and d banknotes are in the process of being withdrawn from circulation in addition the mxn series f banknote is being withdrawn the most commonly circulated banknotes in mexico are mxn and above in series f and g
",transition minimal confusion issuing series b nuevo peso banknotes n denominations designs nearly identical corresponding banknote preceding series labelled old pesos series b equivalent nuevo peso face value old peso face value series example series old peso mxp series b nuevo peso mxn banknotes share design aside updated face value old new pesos circulated simultaneously old peso series banknotes gradually retired time newly designed series c nuevo peso banknotes commenced january nuevo peso simply renamed peso new series banknotes issued identical series c word nuevo dropped iso code remained unchanged mxn series aa banknotes demonetized longer legal tender january remain legal tender series b c banknotes process withdrawn circulation addition mxn series f banknote withdrawn commonly circulated banknotes mexico mxn series f g,7.23,"transition,minimal,confusion,issuing,series,b,nuevo,peso,banknotes,n,denominations,designs,nearly,identical,corresponding,banknote,preceding,series,labelled,old,pesos,series,b,equivalent,nuevo,peso,face,value,old,peso,face,value,series,example,series,old,peso,mxp,series,b,nuevo,peso,mxn,banknotes,share,design,aside,updated,face,value,old,new,pesos,circulated,simultaneously,old,peso,series,banknotes,gradually,retired,time,newly,designed,series,c,nuevo,peso,banknotes,commenced,january,nuevo,peso,simply,renamed,peso,new,series,banknotes,issued,identical,series,c,word,nuevo,dropped,iso,code,remained,unchanged,mxn,series,aa,banknotes,demonetized,longer,legal,tender,january,remain,legal,tender,series,b,c,banknotes,process,withdrawn,circulation,addition,mxn,series,f,banknote,withdrawn,commonly,circulated,banknotes,mexico,mxn,series,f,g",0.00,peso
"similarly series b coins in nuevo peso denominations were circulated starting from  and series a and aa coins were demonetized starting from november   unlike the notes series b coins differed in size and design from the series a coins series c coins  were circulated starting in  following the withdrawal of series a and aa coins series b and c coins in uncommon denominations  are gradually being withdrawn from circulation although they remain legal tender they are set aside when they arrive at commercial banks the most commonly circulated coins in mexico are mxn and below in series c and d
",similarly series b coins nuevo peso denominations circulated starting series aa coins demonetized starting november unlike notes series b coins differed size design series coins series c coins circulated starting following withdrawal series aa coins series b c coins uncommon denominations gradually withdrawn circulation remain legal tender set aside arrive commercial banks commonly circulated coins mexico mxn series c,6.87,"similarly,series,b,coins,nuevo,peso,denominations,circulated,starting,series,aa,coins,demonetized,starting,november,unlike,notes,series,b,coins,differed,size,design,series,coins,series,c,coins,circulated,starting,following,withdrawal,series,aa,coins,series,b,c,coins,uncommon,denominations,gradually,withdrawn,circulation,remain,legal,tender,set,aside,arrive,commercial,banks,commonly,circulated,coins,mexico,mxn,series,c",0.00,peso
