Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the mexicanamerican wara also known in the united states as the mexican war and in mexico as the intervencin estadounidense en mxico b was an armed conflict between the united states and mexico from  to  it followed the  american annexation of texas which mexico still considered its territory mexico refused to recognize the treaties of velasco because they were signed by president antonio lpez de santa anna while he was captured by the texas army during the  texas revolution the republic of texas was de facto an independent country but most of its anglo american citizens wanted to be annexed by the united states
",mexicanamerican wara known united states mexican war mexico intervencin estadounidense en mxico b armed conflict united states mexico followed american annexation texas mexico considered territory mexico refused recognize treaties velasco signed president antonio lpez de santa anna captured texas army texas revolution republic texas de facto independent country anglo american citizens wanted annexed united states,7.90,"mexicanamerican,wara,known,united,states,mexican,war,mexico,intervencin,estadounidense,en,mxico,b,armed,conflict,united,states,mexico,followed,american,annexation,texas,mexico,considered,territory,mexico,refused,recognize,treaties,velasco,signed,president,antonio,lpez,de,santa,anna,captured,texas,army,texas,revolution,republic,texas,de,facto,independent,country,anglo,american,citizens,wanted,annexed,united,states",0.00,mexican
"sectional politics over slavery in the united states were preventing annexation because texas would have been admitted as a slave state upsetting the balance of power between northern free states and southern slave states in the  united states presidential election democrat james k polk was elected on a platform of expanding yous territory to oregon california  and texas by any means with the  annexation of texas furthering that goal however the boundary between texas and mexico was disputed with the republic of texas and the yous asserting it to be the rio grande and mexico claiming it to be the more northern nueces river polk sent a diplomatic mission to mexico in an attempt to buy the disputed territory together with california and everything in between for  million an offer the mexican government refused the yous sent troops to the disputed rio grande ignoring mexican demands to withdraw mexico subsequently attacked a group of  soldiers on april   a move which polk used to convince the congress of the united states to declare war
",sectional politics slavery united states preventing annexation texas admitted slave state upsetting balance power northern free states southern slave states united states presidential election democrat james k polk elected platform expanding yous territory oregon california texas means annexation texas furthering goal boundary texas mexico disputed republic texas yous asserting rio grande mexico claiming northern nueces river polk sent diplomatic mission mexico attempt buy disputed territory california million offer mexican government refused yous sent troops disputed rio grande ignoring mexican demands withdraw mexico subsequently attacked group soldiers april polk convince congress united states declare war,7.52,"sectional,politics,slavery,united,states,preventing,annexation,texas,admitted,slave,state,upsetting,balance,power,northern,free,states,southern,slave,states,united,states,presidential,election,democrat,james,k,polk,elected,platform,expanding,yous,territory,oregon,california,texas,means,annexation,texas,furthering,goal,boundary,texas,mexico,disputed,republic,texas,yous,asserting,rio,grande,mexico,claiming,northern,nueces,river,polk,sent,diplomatic,mission,mexico,attempt,buy,disputed,territory,california,million,offer,mexican,government,refused,yous,sent,troops,disputed,rio,grande,ignoring,mexican,demands,withdraw,mexico,subsequently,attacked,group,soldiers,april,polk,convince,congress,united,states,declare,war",0.00,mexican
"beyond the disputed area of texas yous forces quickly occupied the regional capital of santa fe de nuevo mxico along the upper rio grande yous forces also moved against the province of alta california and then turned south the pacific squadron of the yous navy blockaded the pacific coast in the lower baja california territory the yous army under major general winfield scott invaded the mexican heartland and captured the capital mexico city in september 
",disputed area texas yous forces quickly occupied regional capital santa fe de nuevo mxico upper rio grande yous forces moved province alta california turned south pacific squadron yous navy blockaded pacific coast lower baja california territory yous army major general winfield scott invaded mexican heartland captured capital mexico city september,5.46,"disputed,area,texas,yous,forces,quickly,occupied,regional,capital,santa,fe,de,nuevo,mxico,upper,rio,grande,yous,forces,moved,province,alta,california,turned,south,pacific,squadron,yous,navy,blockaded,pacific,coast,lower,baja,california,territory,yous,army,major,general,winfield,scott,invaded,mexican,heartland,captured,capital,mexico,city,september",0.00,mexican
"although mexico was defeated on the battlefield negotiating peace was a politically fraught issue some mexican factions refused to consider any recognition of its loss of territory although polk formally relieved his peace envoy nicholas trist of his post as negotiator trist ignored the order and successfully concluded the  treaty of guadalupe hidalgo it ended the war and mexico recognized the cession of present day california nevada and utah as well as parts of present day arizona colorado new mexico and wyoming the yous agreed to pay  million for the physical damage of the war and assumed  million of debt already owed by the mexican government to yous citizens mexico relinquished its claims on texas and accepted the rio grande as its northern border with the united states
",mexico defeated battlefield negotiating peace politically fraught issue mexican factions refused consider recognition loss territory polk formally relieved peace envoy nicholas trist post negotiator trist ignored order successfully concluded treaty guadalupe hidalgo ended war mexico recognized cession present day california nevada utah parts present day arizona colorado new mexico wyoming yous agreed pay million physical damage war assumed million debt owed mexican government yous citizens mexico relinquished claims texas accepted rio grande northern border united states,6.62,"mexico,defeated,battlefield,negotiating,peace,politically,fraught,issue,mexican,factions,refused,consider,recognition,loss,territory,polk,formally,relieved,peace,envoy,nicholas,trist,post,negotiator,trist,ignored,order,successfully,concluded,treaty,guadalupe,hidalgo,ended,war,mexico,recognized,cession,present,day,california,nevada,utah,parts,present,day,arizona,colorado,new,mexico,wyoming,yous,agreed,pay,million,physical,damage,war,assumed,million,debt,owed,mexican,government,yous,citizens,mexico,relinquished,claims,texas,accepted,rio,grande,northern,border,united,states",0.00,mexican
"the victory and territorial expansion polk envisioned inspired patriotism among some sections of the united states but the war and treaty drew fierce criticism for the casualties monetary cost and heavy handedness the question of how to treat the new acquisitions intensified the debate over slavery in the united states although the wilmot proviso that explicitly forbade the extension of slavery into conquered mexican territory was not adopted by congress debates about it heightened sectional tensions some scholars see the mexicanamerican war as leading to the american civil war many officers who had trained at west point gained experience in the war in mexico and later played prominent leadership roles during the civil war
",victory territorial expansion polk envisioned inspired patriotism sections united states war treaty drew fierce criticism casualties monetary cost heavy handedness question treat new acquisitions intensified debate slavery united states wilmot proviso explicitly forbade extension slavery conquered mexican territory adopted congress debates heightened sectional tensions scholars mexicanamerican war leading american civil war officers trained west point gained experience war mexico later played prominent leadership roles civil war,6.55,"victory,territorial,expansion,polk,envisioned,inspired,patriotism,sections,united,states,war,treaty,drew,fierce,criticism,casualties,monetary,cost,heavy,handedness,question,treat,new,acquisitions,intensified,debate,slavery,united,states,wilmot,proviso,explicitly,forbade,extension,slavery,conquered,mexican,territory,adopted,congress,debates,heightened,sectional,tensions,scholars,mexicanamerican,war,leading,american,civil,war,officers,trained,west,point,gained,experience,war,mexico,later,played,prominent,leadership,roles,civil,war",0.00,mexican
"in mexico the war worsened domestic political turmoil since the war was fought on home ground mexico suffered large losses of life from both the military and civilian population the nations financial foundations were undermined and more than half of its territory was lost mexico felt a loss of national prestige leaving it in what a group of mexican writers including ramn alcaraz and jos mara del castillo velasco called a state of degradation and ruin  american commentary has often tried to justify the war claiming that mexico should have relinquished texas to the anglo settlers  such a view supports the idea of manifest destiny the idea that anglos have a right to all land in the west as granted by god regardless of national borders  in this regard anglos were entitled to claim texas by god irrespective of it being a part of mexico  alcaraz and velasco touch on this point writing as for the true origin of the war it is sufficient to say that the insatiable ambition of the united states favored by our weakness caused it 
",mexico war worsened domestic political turmoil war fought home ground mexico suffered large losses life military civilian population nations financial foundations undermined half territory lost mexico felt loss national prestige leaving group mexican writers including ramn alcaraz jos mara del castillo velasco called state degradation ruin american commentary tried justify war claiming mexico relinquished texas anglo settlers view supports idea manifest destiny idea anglos right land west granted god regardless national borders regard anglos entitled claim texas god irrespective mexico alcaraz velasco touch point writing true origin war sufficient insatiable ambition united states favored weakness caused,8.11,"mexico,war,worsened,domestic,political,turmoil,war,fought,home,ground,mexico,suffered,large,losses,life,military,civilian,population,nations,financial,foundations,undermined,half,territory,lost,mexico,felt,loss,national,prestige,leaving,group,mexican,writers,including,ramn,alcaraz,jos,mara,del,castillo,velasco,called,state,degradation,ruin,american,commentary,tried,justify,war,claiming,mexico,relinquished,texas,anglo,settlers,view,supports,idea,manifest,destiny,idea,anglos,right,land,west,granted,god,regardless,national,borders,regard,anglos,entitled,claim,texas,god,irrespective,mexico,alcaraz,velasco,touch,point,writing,true,origin,war,sufficient,insatiable,ambition,united,states,favored,weakness,caused",0.00,mexican
"mexico obtained independence from the spanish empire with the treaty of crdoba in  after a decade of conflict between the royal army and insurgents for independence with no foreign intervention the conflict ruined the silver mining districts of zacatecas and guanajuato mexico began as a sovereign nation with its future financial stability from its main export destroyed mexico briefly experimented with monarchy but became a republic in  this government was characterized by instability and it was ill prepared for a major international conflict when war broke out with the yous in  mexico had successfully resisted spanish attempts to reconquer its former colony in the s and resisted the french in the so called pastry war of  but the secessionists success in texas and the yucatn against the centralist government of mexico showed its political weakness as the government changed hands multiple times the mexican military and the catholic church in mexico both privileged institutions with conservative political views were stronger politically than the mexican state
",mexico obtained independence spanish empire treaty crdoba decade conflict royal army insurgents independence foreign intervention conflict ruined silver mining districts zacatecas guanajuato mexico began sovereign nation future financial stability main export destroyed mexico briefly experimented monarchy republic government characterized instability ill prepared major international conflict war broke yous mexico successfully resisted spanish attempts reconquer colony resisted french called pastry war secessionists success texas yucatn centralist government mexico showed political weakness government changed hands multiple times mexican military catholic church mexico privileged institutions conservative political views stronger politically mexican state,7.08,"mexico,obtained,independence,spanish,empire,treaty,crdoba,decade,conflict,royal,army,insurgents,independence,foreign,intervention,conflict,ruined,silver,mining,districts,zacatecas,guanajuato,mexico,began,sovereign,nation,future,financial,stability,main,export,destroyed,mexico,briefly,experimented,monarchy,republic,government,characterized,instability,ill,prepared,major,international,conflict,war,broke,yous,mexico,successfully,resisted,spanish,attempts,reconquer,colony,resisted,french,called,pastry,war,secessionists,success,texas,yucatn,centralist,government,mexico,showed,political,weakness,government,changed,hands,multiple,times,mexican,military,catholic,church,mexico,privileged,institutions,conservative,political,views,stronger,politically,mexican,state",0.00,mexican
"the united states  louisiana purchase resulted in an undefined border between spanish colonial territories and the yous some of the boundary issues between the yous and spain were resolved with the adams ons treaty of  yous negotiator john quincy adams wanted clear possession of east florida and establishment of yous claims above the nd parallel while spain sought to limit yous expansion into what is now the american southwest the yous sought to purchase territory from mexico starting in  in order to settle some of these issues yous president andrew jackson made a sustained effort to acquire northern mexican territory with no success
",united states louisiana purchase resulted undefined border spanish colonial territories yous boundary issues yous spain resolved adams ons treaty yous negotiator john quincy adams wanted clear possession east florida establishment yous claims nd parallel spain sought limit yous expansion american southwest yous sought purchase territory mexico starting order settle issues yous president andrew jackson sustained effort acquire northern mexican territory success,6.54,"united,states,louisiana,purchase,resulted,undefined,border,spanish,colonial,territories,yous,boundary,issues,yous,spain,resolved,adams,ons,treaty,yous,negotiator,john,quincy,adams,wanted,clear,possession,east,florida,establishment,yous,claims,nd,parallel,spain,sought,limit,yous,expansion,american,southwest,yous,sought,purchase,territory,mexico,starting,order,settle,issues,yous,president,andrew,jackson,sustained,effort,acquire,northern,mexican,territory,success",0.00,mexican
"neither colonial mexico nor the newly sovereign mexican state effectively controlled mexicos far north and west mexicos military and diplomatic capabilities declined after it attained independence from spain in  and left the northern one half of the country vulnerable to attacks by comanche apache and navajo native americans the comanche in particular took advantage of the weakness of the mexican state to undertake large scale raids hundreds of miles into the country to acquire livestock for their own use and to supply an expanding market in texas and the yous
",colonial mexico newly sovereign mexican state effectively controlled mexicos far north west mexicos military diplomatic capabilities declined attained independence spain left northern half country vulnerable attacks comanche apache navajo native americans comanche particular took advantage weakness mexican state undertake large scale raids hundreds miles country acquire livestock use supply expanding market texas yous,6.53,"colonial,mexico,newly,sovereign,mexican,state,effectively,controlled,mexicos,far,north,west,mexicos,military,diplomatic,capabilities,declined,attained,independence,spain,left,northern,half,country,vulnerable,attacks,comanche,apache,navajo,native,americans,comanche,particular,took,advantage,weakness,mexican,state,undertake,large,scale,raids,hundreds,miles,country,acquire,livestock,use,supply,expanding,market,texas,yous",0.00,mexican
"the mexican governments policy of settlement of yous citizens in its province of tejas was aimed at expanding control into comanche lands the comancheria but instead of settling in the dangerous central and western parts of the province people settled in east texas which held rich farmland contiguous to the southern yous slave states as settlers poured in from the yous the mexican government discouraged further settlement with its  abolition of slavery
",mexican governments policy settlement yous citizens province tejas aimed expanding control comanche lands comancheria instead settling dangerous central western parts province people settled east texas held rich farmland contiguous southern yous slave states settlers poured yous mexican government discouraged settlement abolition slavery,6.56,"mexican,governments,policy,settlement,yous,citizens,province,tejas,aimed,expanding,control,comanche,lands,comancheria,instead,settling,dangerous,central,western,parts,province,people,settled,east,texas,held,rich,farmland,contiguous,southern,yous,slave,states,settlers,poured,yous,mexican,government,discouraged,settlement,abolition,slavery",0.00,mexican
