Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"mexico city  e mexiko  abbr cdmx nahuatl lteptl mxihco is the capital and largest city of mexico and the most populous city in north america one of the worlds alpha cities it is located in the valley of mexico within the high mexican central plateau at an altitude of  meters  the city has  boroughs or demarcaciones territorialescode spa promoted to code es  which are in turn divided into neighborhoods or coloniascode spa promoted to code es 
",mexico city e mexiko abbr cdmx nahuatl lteptl mxihco capital largest city mexico populous city north america worlds alpha cities located valley mexico high mexican central plateau altitude meters city boroughs demarcaciones territorialescode spa promoted code es turn divided neighborhoods coloniascode spa promoted code es,6.95,"mexico,city,e,mexiko,abbr,cdmx,nahuatl,lteptl,mxihco,capital,largest,city,mexico,populous,city,north,america,worlds,alpha,cities,located,valley,mexico,high,mexican,central,plateau,altitude,meters,city,boroughs,demarcaciones,territorialescode,spa,promoted,code,es,turn,divided,neighborhoods,coloniascode,spa,promoted,code,es",0.00,mexico
"the  population for the city proper was  with a land area of  square kilometers  according to the most recent definition agreed upon by the federal and state governments the population of greater mexico city is  which makes it the sixth largest metropolitan area in the world the second largest urban agglomeration in the western hemisphere  and the largest spanish speaking city  in the world greater mexico city has a gdp of  billion in  which makes it one of the most productive urban areas in the world the city was responsible for generating  of mexicos gdp and the metropolitan area accounted for about  of the countrys gdp if it were an independent country in  mexico city would be the fifth largest economy in latin america
",population city proper land area square kilometers according recent definition agreed federal state governments population greater mexico city makes sixth largest metropolitan area world second largest urban agglomeration western hemisphere largest spanish speaking city world greater mexico city gdp billion makes productive urban areas world city responsible generating mexicos gdp metropolitan area accounted countrys gdp independent country mexico city fifth largest economy latin america,8.20,"population,city,proper,land,area,square,kilometers,according,recent,definition,agreed,federal,state,governments,population,greater,mexico,city,makes,sixth,largest,metropolitan,area,world,second,largest,urban,agglomeration,western,hemisphere,largest,spanish,speaking,city,world,greater,mexico,city,gdp,billion,makes,productive,urban,areas,world,city,responsible,generating,mexicos,gdp,metropolitan,area,accounted,countrys,gdp,independent,country,mexico,city,fifth,largest,economy,latin,america",0.00,mexico
"mexicos capital is both the oldest capital city in the americas and one of two founded by indigenous peopleb the city was originally built on a group of islands in lake texcoco by the mexica  around  under the name tenochtitlan it was almost completely destroyed in the  siege of tenochtitlan and subsequently redesigned and rebuilt in accordance with the spanish urban standards in  the municipality of mexico city was established known as mxico tenochtitln and as of  it was officially known as ciudad de mxico  mexico city was the political administrative and financial center of a major part of the spanish colonial empire after independence from spain was achieved the federal district was created in 
",mexicos capital oldest capital city americas founded indigenous peopleb city originally built group islands lake texcoco mexica tenochtitlan completely destroyed siege tenochtitlan subsequently redesigned rebuilt accordance spanish urban standards municipality mexico city established known mxico tenochtitln officially known ciudad de mxico mexico city political administrative financial center major spanish colonial empire independence spain achieved federal district created,8.20,"mexicos,capital,oldest,capital,city,americas,founded,indigenous,peopleb,city,originally,built,group,islands,lake,texcoco,mexica,tenochtitlan,completely,destroyed,siege,tenochtitlan,subsequently,redesigned,rebuilt,accordance,spanish,urban,standards,municipality,mexico,city,established,known,mxico,tenochtitln,officially,known,ciudad,de,mxico,mexico,city,political,administrative,financial,center,major,spanish,colonial,empire,independence,spain,achieved,federal,district,created",0.00,mexico
"after years of demanding greater political autonomy residents were finally given the right to elect both a head of government and the representatives of the unicameral legislative assembly by election in  ever since left wing parties  have controlled both of them the city has several progressive policies such as elective abortions a limited form of euthanasia no fault divorce and same sex marriage on  january  it ceased to be the federal district  and is now officially known as ciudad de mxico  with a greater degree of autonomy a clause in the constitution of mexico however prevents it from becoming a state within the mexican federation as it is the seat of power in the country unless the capital of the country were to be relocated elsewhere
",years demanding greater political autonomy residents finally given right elect head government representatives unicameral legislative assembly election left wing parties controlled city progressive policies elective abortions limited form euthanasia fault divorce sex marriage january ceased federal district officially known ciudad de mxico greater degree autonomy clause constitution mexico prevents state mexican federation seat power country capital country relocated,9.04,"years,demanding,greater,political,autonomy,residents,finally,given,right,elect,head,government,representatives,unicameral,legislative,assembly,election,left,wing,parties,controlled,city,progressive,policies,elective,abortions,limited,form,euthanasia,fault,divorce,sex,marriage,january,ceased,federal,district,officially,known,ciudad,de,mxico,greater,degree,autonomy,clause,constitution,mexico,prevents,state,mexican,federation,seat,power,country,capital,country,relocated",0.00,mexico
"mexico city was traditionally known as la ciudad de los palacios  a nickname attributed to baron alexander von humboldt when visiting the city in the th century who sending a letter back to europe said mexico city could rival any major city in europe but it was english politician charles latrobe who really penned the following  look at their works the moles aqueducts churches roadsand the luxurious city of palaces which has risen from the clay builts ruins of tenochtitlan on page  of the letter v of the rambler in mexico during the colonial period the citys motto was muy noble e insigne muy leal e imperial  during andrs lpez obradors administration a political slogan was introduced la ciudad de la esperanza  this motto was quickly adopted as a city nickname but has faded since the new motto capital en movimiento  was adopted by the administration headed by marcelo ebrard though the latter is not treated as often as a nickname in media since  to refer to the city particularly in relation to government campaigns the abbreviation cdmx has been used citation needed prior to this but recentlywhen the abbreviation was df 
",mexico city traditionally known la ciudad de los palacios nickname attributed baron alexander von humboldt visiting city th century sending letter europe said mexico city rival major city europe english politician charles latrobe penned following look works moles aqueducts churches roadsand luxurious city palaces risen clay builts ruins tenochtitlan page letter v rambler mexico colonial period citys motto muy noble e insigne muy leal e imperial andrs lpez obradors administration political slogan introduced la ciudad de la esperanza motto quickly adopted city nickname faded new motto capital en movimiento adopted administration headed marcelo ebrard treated nickname media refer city particularly relation government campaigns abbreviation cdmx citation needed prior recentlywhen abbreviation df,7.14,"mexico,city,traditionally,known,la,ciudad,de,los,palacios,nickname,attributed,baron,alexander,von,humboldt,visiting,city,th,century,sending,letter,europe,said,mexico,city,rival,major,city,europe,english,politician,charles,latrobe,penned,following,look,works,moles,aqueducts,churches,roadsand,luxurious,city,palaces,risen,clay,builts,ruins,tenochtitlan,page,letter,v,rambler,mexico,colonial,period,citys,motto,muy,noble,e,insigne,muy,leal,e,imperial,andrs,lpez,obradors,administration,political,slogan,introduced,la,ciudad,de,la,esperanza,motto,quickly,adopted,city,nickname,faded,new,motto,capital,en,movimiento,adopted,administration,headed,marcelo,ebrard,treated,nickname,media,refer,city,particularly,relation,government,campaigns,abbreviation,cdmx,citation,needed,prior,recentlywhen,abbreviation,df",0.00,mexico
"the city is colloquially known as chilangolandia after the locals nickname  chilangos chilango is used pejoratively by people living outside mexico city to connote a loud arrogant ill mannered loutish person for their part those living in mexico city designate insultingly those who live elsewhere as living in la provincia  and many proudly embrace the term chilango residents of mexico city are more recently called defeos  they are formally called capitalinos  but perhaps because capitalino is the more polite specific and correct word it is almost never utilized
",city colloquially known chilangolandia locals nickname chilangos chilango pejoratively people living outside mexico city connote loud arrogant ill mannered loutish person living mexico city designate insultingly live living la provincia proudly embrace term chilango residents mexico city recently called defeos formally called capitalinos capitalino polite specific correct word utilized,6.87,"city,colloquially,known,chilangolandia,locals,nickname,chilangos,chilango,pejoratively,people,living,outside,mexico,city,connote,loud,arrogant,ill,mannered,loutish,person,living,mexico,city,designate,insultingly,live,living,la,provincia,proudly,embrace,term,chilango,residents,mexico,city,recently,called,defeos,formally,called,capitalinos,capitalino,polite,specific,correct,word,utilized",0.00,mexico
"the oldest signs of human occupation in the area of mexico city are those of the pen woman and others found in san bartolo atepehuacan  they were believed to correspond to the lower cenolithic period  however a  study placed the age of the peon woman at  years old  one of the oldest human remains discovered in the americas studies of her mitochondrial dna suggest she was either of asian or european or aboriginal australian origin
",oldest signs human occupation area mexico city pen woman found san bartolo atepehuacan believed correspond lower cenolithic period study placed age peon woman years old oldest human remains discovered americas studies mitochondrial dna suggest asian european aboriginal australian origin,8.29,"oldest,signs,human,occupation,area,mexico,city,pen,woman,found,san,bartolo,atepehuacan,believed,correspond,lower,cenolithic,period,study,placed,age,peon,woman,years,old,oldest,human,remains,discovered,americas,studies,mitochondrial,dna,suggest,asian,european,aboriginal,australian,origin",0.00,mexico
"the city of mexico tenochtitlan was founded by the mexica people in  or  the old mexica city that is now referred to as tenochtitlan was built on an island in the center of the inland lake system of the valley of mexico which is shared with a smaller city state called tlatelolco according to legend the mexicas principal god huitzilopochtli indicated the site where they were to build their home by presenting a golden eagle perched on a prickly pear devouring a rattlesnake
",city mexico tenochtitlan founded mexica people old mexica city referred tenochtitlan built island center inland lake system valley mexico shared smaller city state called tlatelolco according legend mexicas principal god huitzilopochtli indicated site build home presenting golden eagle perched prickly pear devouring rattlesnake,8.40,"city,mexico,tenochtitlan,founded,mexica,people,old,mexica,city,referred,tenochtitlan,built,island,center,inland,lake,system,valley,mexico,shared,smaller,city,state,called,tlatelolco,according,legend,mexicas,principal,god,huitzilopochtli,indicated,site,build,home,presenting,golden,eagle,perched,prickly,pear,devouring,rattlesnake",0.00,mexico
"between  and  tenochtitlan grew in size and strength eventually dominating the other city states around lake texcoco and in the valley of mexico when the spaniards arrived the aztec empire had reached much of mesoamerica touching both the gulf of mexico and the pacific ocean
",tenochtitlan grew size strength eventually dominating city states lake texcoco valley mexico spaniards arrived aztec empire reached mesoamerica touching gulf mexico pacific ocean,7.97,"tenochtitlan,grew,size,strength,eventually,dominating,city,states,lake,texcoco,valley,mexico,spaniards,arrived,aztec,empire,reached,mesoamerica,touching,gulf,mexico,pacific,ocean",0.00,mexico
"corts first settled in coyoacn but decided to rebuild the aztec site to erase all traces of the old order he did not establish a territory under his own personal rule but remained loyal to the spanish crown the first spanish viceroy arrived in mexico city fourteen years later by that time the city had again become a city state having power that extended far beyond its borders although the spanish preserved tenochtitlans basic layout they built catholic churches over the old aztec temples and claimed the imperial palaces for themselves tenochtitlan was renamed mexico because the spanish found the word easier to pronounce
",corts settled coyoacn decided rebuild aztec site erase traces old order establish territory personal rule remained loyal spanish crown spanish viceroy arrived mexico city fourteen years later time city city state power extended far borders spanish preserved tenochtitlans basic layout built catholic churches old aztec temples claimed imperial palaces tenochtitlan renamed mexico spanish found word easier pronounce,7.48,"corts,settled,coyoacn,decided,rebuild,aztec,site,erase,traces,old,order,establish,territory,personal,rule,remained,loyal,spanish,crown,spanish,viceroy,arrived,mexico,city,fourteen,years,later,time,city,city,state,power,extended,far,borders,spanish,preserved,tenochtitlans,basic,layout,built,catholic,churches,old,aztec,temples,claimed,imperial,palaces,tenochtitlan,renamed,mexico,spanish,found,word,easier,pronounce",0.00,mexico
