Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"mexico ab officially the united mexican statesc is a country in the southern portion of north america it is bordered to the north by the united states to the south and west by the pacific ocean to the southeast by guatemala belize and the caribbean sea and to the east by the gulf of mexico mexico covers  square kilometers  making it the worlds th largest country by area with approximately  inhabitants it is the th most populous country and has the most spanish speakers mexico is organized as a federal republic comprising  states and mexico city its capital other major urban areas include monterrey guadalajara puebla toluca tijuana ciudad jurez and len
",mexico ab officially united mexican statesc country southern portion north america bordered north united states south west pacific ocean southeast guatemala belize caribbean sea east gulf mexico mexico covers square kilometers making worlds th largest country area approximately inhabitants th populous country spanish speakers mexico organized federal republic comprising states mexico city capital major urban areas include monterrey guadalajara puebla toluca tijuana ciudad jurez len,7.12,"mexico,ab,officially,united,mexican,statesc,country,southern,portion,north,america,bordered,north,united,states,south,west,pacific,ocean,southeast,guatemala,belize,caribbean,sea,east,gulf,mexico,mexico,covers,square,kilometers,making,worlds,th,largest,country,area,approximately,inhabitants,th,populous,country,spanish,speakers,mexico,organized,federal,republic,comprising,states,mexico,city,capital,major,urban,areas,include,monterrey,guadalajara,puebla,toluca,tijuana,ciudad,jurez,len",0.00,mexican
"the last decades of the th century were dominated by the dictatorship of porfirio daz who sought to modernize mexico and restore order however the porfiriato era led to great social unrest and ended with the outbreak in  of the decade long mexican revolution  this conflict led to profound changes in mexican society including the proclamation of the  constitution which remains in effect to this day the remaining war generals ruled as a succession of presidents until the institutional revolutionary party  emerged in  
",decades th century dominated dictatorship porfirio daz sought modernize mexico restore order porfiriato era led great social unrest ended outbreak decade long mexican revolution conflict led profound changes mexican society including proclamation constitution remains effect day remaining war generals ruled succession presidents institutional revolutionary party emerged,7.09,"decades,th,century,dominated,dictatorship,porfirio,daz,sought,modernize,mexico,restore,order,porfiriato,era,led,great,social,unrest,ended,outbreak,decade,long,mexican,revolution,conflict,led,profound,changes,mexican,society,including,proclamation,constitution,remains,effect,day,remaining,war,generals,ruled,succession,presidents,institutional,revolutionary,party,emerged",0.00,mexican
"mxihco is the nahuatl term for the heartland of the aztec empire namely the valley of mexico and surrounding territories with its people being known as the mexica the terms are plainly linked it is generally believed that the toponym for the valley was the origin of the primary ethnonym for the aztec triple alliance but it may have been the other way around in the colonial era  mexico was called new spain in the eighteenth century this central region became the intendency of mexico during the reorganization of the empire the bourbon reforms after new spain achieved independence from the spanish empire in  and became a sovereign state the territory came to be known as the state of mexico with the new country being named after its capital mexico city which itself was founded in  on the site of the ancient mexica capital of mexico tenochtitlan the official name of the country has changed as the form of government has changed the declaration of independence signed on  november  by the deputies of the congress of anhuac called the territory amrica septentrional  the  plan of iguala also used amrica septentrional on two occasions  the country was known as imperio mexicano  all three federal constitutions  used the name estados unidos mexicanosor the variant estados unidos mexicanos all of which have been translated as united mexican states the phrase repblica mexicana mexican republic was used in the  constitutional laws
",mxihco nahuatl term heartland aztec empire valley mexico surrounding territories people known mexica terms plainly linked generally believed toponym valley origin primary ethnonym aztec triple alliance way colonial era mexico called new spain eighteenth century central region intendency mexico reorganization empire bourbon reforms new spain achieved independence spanish empire sovereign state territory came known state mexico new country named capital mexico city founded site ancient mexica capital mexico tenochtitlan official country changed form government changed declaration independence signed november deputies congress anhuac called territory amrica septentrional plan iguala amrica septentrional occasions country known imperio mexicano federal constitutions estados unidos mexicanosor variant estados unidos mexicanos translated united mexican states phrase repblica mexicana mexican republic constitutional laws,8.48,"mxihco,nahuatl,term,heartland,aztec,empire,valley,mexico,surrounding,territories,people,known,mexica,terms,plainly,linked,generally,believed,toponym,valley,origin,primary,ethnonym,aztec,triple,alliance,way,colonial,era,mexico,called,new,spain,eighteenth,century,central,region,intendency,mexico,reorganization,empire,bourbon,reforms,new,spain,achieved,independence,spanish,empire,sovereign,state,territory,came,known,state,mexico,new,country,named,capital,mexico,city,founded,site,ancient,mexica,capital,mexico,tenochtitlan,official,country,changed,form,government,changed,declaration,independence,signed,november,deputies,congress,anhuac,called,territory,amrica,septentrional,plan,iguala,amrica,septentrional,occasions,country,known,imperio,mexicano,federal,constitutions,estados,unidos,mexicanosor,variant,estados,unidos,mexicanos,translated,united,mexican,states,phrase,repblica,mexicana,mexican,republic,constitutional,laws",0.00,mexican
"the prehistory of mexico stretches back millennia the earliest human artifacts in mexico are chips of stone tools found near campfire remains in the valley of mexico and radiocarbon dated to circa  years ago mexico is the site of the domestication of maize tomato and beans which produced an agricultural surplus this enabled the transition from paleo indian hunter gatherers to sedentary agricultural villages beginning around  bce
in the subsequent formative eras maize cultivation and cultural traits such as a mythological and religious complex and a vigesimal  numeric system were diffused from the mexican cultures to the rest of the mesoamerican culture area in this period villages became more dense in terms of population becoming socially stratified with an artisan class and developing into chiefdoms the most powerful rulers had religious and political power organizing the construction of large ceremonial centers
",prehistory mexico stretches millennia earliest human artifacts mexico chips stone tools found near campfire remains valley mexico radiocarbon dated circa years ago mexico site domestication maize tomato beans produced agricultural surplus enabled transition paleo indian hunter gatherers sedentary agricultural villages beginning bcein subsequent formative eras maize cultivation cultural traits mythological religious complex vigesimal numeric system diffused mexican cultures rest mesoamerican culture area period villages dense terms population socially stratified artisan class developing chiefdoms powerful rulers religious political power organizing construction large ceremonial centers,6.26,"prehistory,mexico,stretches,millennia,earliest,human,artifacts,mexico,chips,stone,tools,found,near,campfire,remains,valley,mexico,radiocarbon,dated,circa,years,ago,mexico,site,domestication,maize,tomato,beans,produced,agricultural,surplus,enabled,transition,paleo,indian,hunter,gatherers,sedentary,agricultural,villages,beginning,bcein,subsequent,formative,eras,maize,cultivation,cultural,traits,mythological,religious,complex,vigesimal,numeric,system,diffused,mexican,cultures,rest,mesoamerican,culture,area,period,villages,dense,terms,population,socially,stratified,artisan,class,developing,chiefdoms,powerful,rulers,religious,political,power,organizing,construction,large,ceremonial,centers",0.00,mexican
"in central mexico the height of the classic period saw the ascendancy of teotihuacn which formed a military and commercial empire whose political influence stretched south into the maya area as well as north teotihuacan with a population of more than  people had some of the largest pyramidal structures in the pre columbian americas after the collapse of teotihuacn around  ad competition ensued between several important political centers in central mexico such as xochicalco and cholula at this time during the epi classic nahua peoples began moving south into mesoamerica from the north and became politically and culturally dominant in central mexico as they displaced speakers of oto manguean languages during the early post classic era  central mexico was dominated by the toltec culture oaxaca by the mixtec and the lowland maya area had important centers at chichn itz and mayapn toward the end of the post classic period the mexica established dominance establishing a political and economic empire based in the city of tenochtitlan  extending from central mexico to the border with guatemala alexander von humboldt popularized the modern usage of aztec as a collective term applied to all the people linked by trade custom religion and language to the mexica state and xcn tlahtlyn the triple alliance in  with the publication of the work of william h prescott it was adopted by most of the world including th century mexican scholars who considered it a way to distinguish present day mexicans from pre conquest mexicans this usage has been the subject of debate since the late th century
",central mexico height classic period saw ascendancy teotihuacn formed military commercial empire political influence stretched south maya area north teotihuacan population people largest pyramidal structures pre columbian americas collapse teotihuacn ad competition ensued important political centers central mexico xochicalco cholula time epi classic nahua peoples began moving south mesoamerica north politically culturally dominant central mexico displaced speakers oto manguean languages early post classic era central mexico dominated toltec culture oaxaca mixtec lowland maya area important centers chichn itz mayapn end post classic period mexica established dominance establishing political economic empire based city tenochtitlan extending central mexico border guatemala alexander von humboldt popularized modern usage aztec collective term applied people linked trade custom religion language mexica state xcn tlahtlyn triple alliance publication work william h prescott adopted world including th century mexican scholars considered way distinguish present day mexicans pre conquest mexicans usage subject debate late th century,7.06,"central,mexico,height,classic,period,saw,ascendancy,teotihuacn,formed,military,commercial,empire,political,influence,stretched,south,maya,area,north,teotihuacan,population,people,largest,pyramidal,structures,pre,columbian,americas,collapse,teotihuacn,ad,competition,ensued,important,political,centers,central,mexico,xochicalco,cholula,time,epi,classic,nahua,peoples,began,moving,south,mesoamerica,north,politically,culturally,dominant,central,mexico,displaced,speakers,oto,manguean,languages,early,post,classic,era,central,mexico,dominated,toltec,culture,oaxaca,mixtec,lowland,maya,area,important,centers,chichn,itz,mayapn,end,post,classic,period,mexica,established,dominance,establishing,political,economic,empire,based,city,tenochtitlan,extending,central,mexico,border,guatemala,alexander,von,humboldt,popularized,modern,usage,aztec,collective,term,applied,people,linked,trade,custom,religion,language,mexica,state,xcn,tlahtlyn,triple,alliance,publication,work,william,h,prescott,adopted,world,including,th,century,mexican,scholars,considered,way,distinguish,present,day,mexicans,pre,conquest,mexicans,usage,subject,debate,late,th,century",0.00,mexican
"the aztec empire was an informal or hegemonic empire because it did not exert supreme authority over the conquered territories it was satisfied with the payment of tributes from them it was a discontinuous empire because not all dominated territories were connected for example the southern peripheral zones of xoconochco were not in direct contact with the center the hegemonic nature of the aztec empire was demonstrated by their restoration of local rulers to their former position after their city state was conquered the aztec did not interfere in local affairs as long as the tributes were paid the aztec of central mexico built a tributary empire covering most of central mexico the aztec were noted for practicing human sacrifice on a large scale along with this practice they avoided killing enemies on the battlefield their warring casualty rate was far lower than that of their spanish counterparts whose principal objective was immediate slaughter during battle this distinct mesoamerican cultural tradition of human sacrifice ended with the gradually spanish conquest in the th century other mexican indigenous cultures were conquered and gradually subjected to spanish colonial rule
",aztec empire informal hegemonic empire exert supreme authority conquered territories satisfied payment tributes discontinuous empire dominated territories connected example southern peripheral zones xoconochco direct contact center hegemonic nature aztec empire demonstrated restoration local rulers position city state conquered aztec interfere local affairs long tributes paid aztec central mexico built tributary empire covering central mexico aztec noted practicing human sacrifice large scale practice avoided killing enemies battlefield warring casualty rate far lower spanish counterparts principal objective immediate slaughter battle distinct mesoamerican cultural tradition human sacrifice ended gradually spanish conquest th century mexican indigenous cultures conquered gradually subjected spanish colonial rule,7.35,"aztec,empire,informal,hegemonic,empire,exert,supreme,authority,conquered,territories,satisfied,payment,tributes,discontinuous,empire,dominated,territories,connected,example,southern,peripheral,zones,xoconochco,direct,contact,center,hegemonic,nature,aztec,empire,demonstrated,restoration,local,rulers,position,city,state,conquered,aztec,interfere,local,affairs,long,tributes,paid,aztec,central,mexico,built,tributary,empire,covering,central,mexico,aztec,noted,practicing,human,sacrifice,large,scale,practice,avoided,killing,enemies,battlefield,warring,casualty,rate,far,lower,spanish,counterparts,principal,objective,immediate,slaughter,battle,distinct,mesoamerican,cultural,tradition,human,sacrifice,ended,gradually,spanish,conquest,th,century,mexican,indigenous,cultures,conquered,gradually,subjected,spanish,colonial,rule",0.00,mexican
"since the colonial era and through to the twenty first century the indigenous roots of mexican history and culture are essential to mexican identity the national museum of anthrology in mexico city is the showcase of the nations prehispanic glories historian enrique florescano calls it a national treasure and a symbol of identity the museum is the synthesis of an ideological scientific and political feat mexican nobel laureate octavio paz said of the museum that the exaltation and glorification of mexico tenochtitlan transforms the museum of anthropology into a temple mexico pursued international recognition of its prehispanic heritage and has a large number of unesco world heritage sites the largest in the hemisphere the existence of high indigenous civilization prior to the arrival of europeans has also had an impact on european thought
",colonial era century indigenous roots mexican history culture essential mexican identity national museum anthrology mexico city showcase nations prehispanic glories historian enrique florescano calls national treasure symbol identity museum synthesis ideological scientific political feat mexican nobel laureate octavio paz said museum exaltation glorification mexico tenochtitlan transforms museum anthropology temple mexico pursued international recognition prehispanic heritage large number unesco world heritage sites largest hemisphere existence high indigenous civilization prior arrival europeans impact european thought,7.05,"colonial,era,century,indigenous,roots,mexican,history,culture,essential,mexican,identity,national,museum,anthrology,mexico,city,showcase,nations,prehispanic,glories,historian,enrique,florescano,calls,national,treasure,symbol,identity,museum,synthesis,ideological,scientific,political,feat,mexican,nobel,laureate,octavio,paz,said,museum,exaltation,glorification,mexico,tenochtitlan,transforms,museum,anthropology,temple,mexico,pursued,international,recognition,prehispanic,heritage,large,number,unesco,world,heritage,sites,largest,hemisphere,existence,high,indigenous,civilization,prior,arrival,europeans,impact,european,thought",0.00,mexican
"the  capture of tenochtitlan and immediate founding of the spanish capital mexico city on its ruins was the beginning of a  year long colonial era during which mexico was known as nueva espaa  two factors made mexico a jewel in the spanish empire the existence of large hierarchically organized mesoamerican populations that rendered tribute and performed obligatory labor and the discovery of vast silver deposits in northern mexico the kingdom of new spain was created from the remnants of the aztec empire the two pillars of spanish rule were the state and the roman catholic church both under the authority of the spanish crown in  the pope had granted sweeping powers to the spanish monarchy for its overseas empire with the proviso that the crown spread christianity in its new realms in  king charles i created the council of the indies based in spain to oversee state power its overseas territories in new spain the crown established a high court in mexico city the real audiencia and then in  created the viceroyalty of new spain the viceroy was highest official of the state in the religious sphere the diocese of mexico was created in  and elevated to the archdiocese of mexico in  with the archbishop as the head of the ecclesiastical hierarchy overseeing roman catholic clergy castilian spanish was the language of rulers the catholic faith the only one permitted with non catholics  and catholics  holding unorthodox views being subject to the mexican inquisition established in 
",capture tenochtitlan immediate founding spanish capital mexico city ruins beginning year long colonial era mexico known nueva espaa factors mexico jewel spanish empire existence large hierarchically organized mesoamerican populations rendered tribute performed obligatory labor discovery vast silver deposits northern mexico kingdom new spain created remnants aztec empire pillars spanish rule state roman catholic church authority spanish crown pope granted sweeping powers spanish monarchy overseas empire proviso crown spread christianity new realms king charles created council indies based spain oversee state power overseas territories new spain crown established high court mexico city real audiencia created viceroyalty new spain viceroy highest official state religious sphere diocese mexico created elevated archdiocese mexico archbishop head ecclesiastical hierarchy overseeing roman catholic clergy castilian spanish language rulers catholic faith permitted non catholics catholics holding unorthodox views subject mexican inquisition established,7.50,"capture,tenochtitlan,immediate,founding,spanish,capital,mexico,city,ruins,beginning,year,long,colonial,era,mexico,known,nueva,espaa,factors,mexico,jewel,spanish,empire,existence,large,hierarchically,organized,mesoamerican,populations,rendered,tribute,performed,obligatory,labor,discovery,vast,silver,deposits,northern,mexico,kingdom,new,spain,created,remnants,aztec,empire,pillars,spanish,rule,state,roman,catholic,church,authority,spanish,crown,pope,granted,sweeping,powers,spanish,monarchy,overseas,empire,proviso,crown,spread,christianity,new,realms,king,charles,created,council,indies,based,spain,oversee,state,power,overseas,territories,new,spain,crown,established,high,court,mexico,city,real,audiencia,created,viceroyalty,new,spain,viceroy,highest,official,state,religious,sphere,diocese,mexico,created,elevated,archdiocese,mexico,archbishop,head,ecclesiastical,hierarchy,overseeing,roman,catholic,clergy,castilian,spanish,language,rulers,catholic,faith,permitted,non,catholics,catholics,holding,unorthodox,views,subject,mexican,inquisition,established",0.00,mexican
"the rich deposits of silver particularly in zacatecas and guanajuato resulted in silver extraction dominating the economy of new spain mexican silver pesos became the first globally used currency taxes on silver production became a major source of income for the spanish monarchy other important industries were the agricultural and ranching  haciendas and mercantile activities in the main cities and portscitation needed as a result of its trade links with asia the rest of the americas africa and europe and the profound effect of new world silver central mexico was one of the first regions to be incorporated into a globalized economy being at the crossroads of trade people and cultures mexico city has been called the first world city the nao de china  operated for two and a half centuries and connected new spain with asia silver and the red dye cochineal were shipped from veracruz to atlantic ports in the americas and spain veracruz was also the main port of entry in mainland new spain for european goods immigrants from spain and african slaves the camino real de tierra adentro connected mexico city with the interior of new spain
",rich deposits silver particularly zacatecas guanajuato resulted silver extraction dominating economy new spain mexican silver pesos globally currency taxes silver production major source income spanish monarchy important industries agricultural ranching haciendas mercantile activities main cities portscitation needed result trade links asia rest americas africa europe profound effect new world silver central mexico regions incorporated globalized economy crossroads trade people cultures mexico city called world city nao de china operated half centuries connected new spain asia silver red dye cochineal shipped veracruz atlantic ports americas spain veracruz main port entry mainland new spain european goods immigrants spain african slaves camino real de tierra adentro connected mexico city interior new spain,7.16,"rich,deposits,silver,particularly,zacatecas,guanajuato,resulted,silver,extraction,dominating,economy,new,spain,mexican,silver,pesos,globally,currency,taxes,silver,production,major,source,income,spanish,monarchy,important,industries,agricultural,ranching,haciendas,mercantile,activities,main,cities,portscitation,needed,result,trade,links,asia,rest,americas,africa,europe,profound,effect,new,world,silver,central,mexico,regions,incorporated,globalized,economy,crossroads,trade,people,cultures,mexico,city,called,world,city,nao,de,china,operated,half,centuries,connected,new,spain,asia,silver,red,dye,cochineal,shipped,veracruz,atlantic,ports,americas,spain,veracruz,main,port,entry,mainland,new,spain,european,goods,immigrants,spain,african,slaves,camino,real,de,tierra,adentro,connected,mexico,city,interior,new,spain",0.00,mexican
"the marian apparition of the virgin of guadalupe said to have appeared to the indigenous juan diego in  gave impetus to the evangelization of central mexico the virgin of guadalupe became a symbol for american born spaniards  patriotism seeking in her a mexican source of pride distinct from spain the virgin of guadalupe was invoked by the insurgents for independence who followed father miguel hidalgo during the war of independence
",marian apparition virgin guadalupe said appeared indigenous juan diego gave impetus evangelization central mexico virgin guadalupe symbol american born spaniards patriotism seeking mexican source pride distinct spain virgin guadalupe invoked insurgents independence followed father miguel hidalgo war independence,7.36,"marian,apparition,virgin,guadalupe,said,appeared,indigenous,juan,diego,gave,impetus,evangelization,central,mexico,virgin,guadalupe,symbol,american,born,spaniards,patriotism,seeking,mexican,source,pride,distinct,spain,virgin,guadalupe,invoked,insurgents,independence,followed,father,miguel,hidalgo,war,independence",0.00,mexican
