Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"mickey mouse is an animated cartoon character co created in  by walt disney and ub iwerks the longtime mascot of the walt disney company mickey is an anthropomorphic mouse who typically wears red shorts large yellow shoes and white gloves taking inspiration from silent film personalities such as charlie chaplins tramp mickey is traditionally characterized as a sympathetic underdog who gets by on pluck and ingenuity the characters status as a small mouse is personified through his diminutive stature and falsetto voice the latter of which was originally provided by disney mickey is one of the worlds most recognizable and universally acclaimed fictional characters of all time
",mickey mouse animated cartoon character co created walt disney ub iwerks longtime mascot walt disney company mickey anthropomorphic mouse typically wears red shorts large yellow shoes white gloves taking inspiration silent film personalities charlie chaplins tramp mickey traditionally characterized sympathetic underdog gets pluck ingenuity characters status small mouse personified diminutive stature falsetto voice originally provided disney mickey worlds recognizable universally acclaimed fictional characters time,6.30,"mickey,mouse,animated,cartoon,character,co,created,walt,disney,ub,iwerks,longtime,mascot,walt,disney,company,mickey,anthropomorphic,mouse,typically,wears,red,shorts,large,yellow,shoes,white,gloves,taking,inspiration,silent,film,personalities,charlie,chaplins,tramp,mickey,traditionally,characterized,sympathetic,underdog,gets,pluck,ingenuity,characters,status,small,mouse,personified,diminutive,stature,falsetto,voice,originally,provided,disney,mickey,worlds,recognizable,universally,acclaimed,fictional,characters,time",0.00,mouse
"created as a replacement for a prior disney character oswald the lucky rabbit mickey first appeared in the short plane crazy debuting publicly in the short film steamboat willie  one of the first sound cartoons the character was originally to be named mortimer mouse until lillian disney instead suggested mickey during a train ride the character went on to appear in over  films including the band concert  brave little tailor  and fantasia  mickey appeared primarily in short films but also occasionally in feature length films ten of mickeys cartoons were nominated for the academy award for best animated short film one of which lend a paw won the award in  in  mickey became the first cartoon character to have a star on the hollywood walk of fame
",created replacement prior disney character oswald lucky rabbit mickey appeared short plane crazy debuting publicly short film steamboat willie sound cartoons character originally named mortimer mouse lillian disney instead suggested mickey train ride character went appear films including band concert brave little tailor fantasia mickey appeared primarily short films occasionally feature length films mickeys cartoons nominated academy award best animated short film lend paw award mickey cartoon character star hollywood walk fame,7.30,"created,replacement,prior,disney,character,oswald,lucky,rabbit,mickey,appeared,short,plane,crazy,debuting,publicly,short,film,steamboat,willie,sound,cartoons,character,originally,named,mortimer,mouse,lillian,disney,instead,suggested,mickey,train,ride,character,went,appear,films,including,band,concert,brave,little,tailor,fantasia,mickey,appeared,primarily,short,films,occasionally,feature,length,films,mickeys,cartoons,nominated,academy,award,best,animated,short,film,lend,paw,award,mickey,cartoon,character,star,hollywood,walk,fame",0.00,mouse
"beginning in  mickey has also been featured extensively in comic strips and comic books the mickey mouse comic strip drawn primarily by floyd gottfredson ran for  years mickey has also appeared in comic books such as mickey mouse disney italys topolino and mm  mickey mouse mystery magazine and wizards of mickey mickey also features in television series such as the mickey mouse club  and others he appears in other media such as video games as well as merchandising and is a meetable character at the disney parks
",beginning mickey featured extensively comic strips comic books mickey mouse comic strip drawn primarily floyd gottfredson ran years mickey appeared comic books mickey mouse disney italys topolino mm mickey mouse mystery magazine wizards mickey mickey features television series mickey mouse club appears media video games merchandising meetable character disney parks,7.17,"beginning,mickey,featured,extensively,comic,strips,comic,books,mickey,mouse,comic,strip,drawn,primarily,floyd,gottfredson,ran,years,mickey,appeared,comic,books,mickey,mouse,disney,italys,topolino,mm,mickey,mouse,mystery,magazine,wizards,mickey,mickey,features,television,series,mickey,mouse,club,appears,media,video,games,merchandising,meetable,character,disney,parks",0.00,mouse
"mickey generally appears alongside his girlfriend minnie mouse his pet dog pluto his friends donald duck and goofy and his nemesis pete among others  though originally characterized as a cheeky lovable rogue mickey was rebranded over time as a nice guy usually seen as an honest and bodacious hero in  disney began to rebrand the character again by putting less emphasis on his friendly well meaning persona and reintroducing the more adventurous and stubborn sides of his personality beginning with the video game epic mickey
",mickey generally appears alongside girlfriend minnie mouse pet dog pluto friends donald duck goofy nemesis pete originally characterized cheeky lovable rogue mickey rebranded time nice guy usually seen honest bodacious hero disney began rebrand character putting emphasis friendly meaning persona reintroducing adventurous stubborn sides personality beginning video game epic mickey,6.64,"mickey,generally,appears,alongside,girlfriend,minnie,mouse,pet,dog,pluto,friends,donald,duck,goofy,nemesis,pete,originally,characterized,cheeky,lovable,rogue,mickey,rebranded,time,nice,guy,usually,seen,honest,bodacious,hero,disney,began,rebrand,character,putting,emphasis,friendly,meaning,persona,reintroducing,adventurous,stubborn,sides,personality,beginning,video,game,epic,mickey",0.00,mouse
"mickey mouse was created as a replacement for oswald the lucky rabbit an earlier cartoon character that was created by the disney studio but owned by universal pictures charles mintz served as a middleman producer between disney and universal through his company winkler pictures for the series of cartoons starring oswald ongoing conflicts between disney and mintz and the revelation that several animators from the disney studio would eventually leave to work for mintzs company ultimately resulted in disney cutting ties with oswald among the few people who stayed at the disney studio were animator ub iwerks apprentice artist les clark and wilfred jackson on his train ride home from new york walt brainstormed ideas for a new cartoon character
",mickey mouse created replacement oswald lucky rabbit earlier cartoon character created disney studio owned universal pictures charles mintz served middleman producer disney universal company winkler pictures series cartoons starring oswald ongoing conflicts disney mintz revelation animators disney studio eventually leave work mintzs company ultimately resulted disney cutting ties oswald people stayed disney studio animator ub iwerks apprentice artist les clark wilfred jackson train ride home new york walt brainstormed ideas new cartoon character,6.27,"mickey,mouse,created,replacement,oswald,lucky,rabbit,earlier,cartoon,character,created,disney,studio,owned,universal,pictures,charles,mintz,served,middleman,producer,disney,universal,company,winkler,pictures,series,cartoons,starring,oswald,ongoing,conflicts,disney,mintz,revelation,animators,disney,studio,eventually,leave,work,mintzs,company,ultimately,resulted,disney,cutting,ties,oswald,people,stayed,disney,studio,animator,ub,iwerks,apprentice,artist,les,clark,wilfred,jackson,train,ride,home,new,york,walt,brainstormed,ideas,new,cartoon,character",0.00,mouse
"mickey mouse was conceived in secret while disney produced the final oswald cartoons he contractually owed mintz disney asked ub iwerks to start drawing up new character ideas iwerks tried sketches of various animals such as dogs and cats but none of these appealed to disney a female cow and male horse were also rejected  a male frog was also rejected which later showed up in iwerks own flip the frog series walt disney got the inspiration for mickey mouse from a tame mouse at his desk at laugh o gram studio in kansas city missouri in  hugh harman drew some sketches of mice around a photograph of walt disney these inspired ub iwerks to create a new mouse character for disney mortimer mouse had been disneys original name for the character before his wife lillian convinced him to change it and ultimately mickey mouse came to be the actor mickey rooney claimed that during his mickey mcguire days he met cartoonist walt disney at the warner brothers studio and that disney was inspired to name mickey mouse after him this claim however has been debunked by disney historian jim korkis since at the time of mickey mouses development disney studios had been located on hyperion avenue for several years and walt disney never kept an office or other working space at warner brothers having no professional relationship with warner brothers over the years the name mortimer mouse was eventually given to several different characters in the mickey mouse universe  minnie mouses uncle who appears in several comics stories one of mickeys antagonists who competes for minnies affections in various cartoons and comics and one of mickeys nephews named morty
",mickey mouse conceived secret disney produced final oswald cartoons contractually owed mintz disney asked ub iwerks start drawing new character ideas iwerks tried sketches animals dogs cats appealed disney female cow male horse rejected male frog rejected later showed iwerks flip frog series walt disney got inspiration mickey mouse tame mouse desk laugh gram studio kansas city missouri hugh harman drew sketches mice photograph walt disney inspired ub iwerks create new mouse character disney mortimer mouse disneys original character wife lillian convinced change ultimately mickey mouse came actor mickey rooney claimed mickey mcguire days met cartoonist walt disney warner brothers studio disney inspired mickey mouse claim debunked disney historian jim korkis time mickey mouses development disney studios located hyperion avenue years walt disney kept office working space warner brothers professional relationship warner brothers years mortimer mouse eventually given different characters mickey mouse universe minnie mouses uncle appears comics stories mickeys antagonists competes minnies affections cartoons comics mickeys nephews named morty,7.24,"mickey,mouse,conceived,secret,disney,produced,final,oswald,cartoons,contractually,owed,mintz,disney,asked,ub,iwerks,start,drawing,new,character,ideas,iwerks,tried,sketches,animals,dogs,cats,appealed,disney,female,cow,male,horse,rejected,male,frog,rejected,later,showed,iwerks,flip,frog,series,walt,disney,got,inspiration,mickey,mouse,tame,mouse,desk,laugh,gram,studio,kansas,city,missouri,hugh,harman,drew,sketches,mice,photograph,walt,disney,inspired,ub,iwerks,create,new,mouse,character,disney,mortimer,mouse,disneys,original,character,wife,lillian,convinced,change,ultimately,mickey,mouse,came,actor,mickey,rooney,claimed,mickey,mcguire,days,met,cartoonist,walt,disney,warner,brothers,studio,disney,inspired,mickey,mouse,claim,debunked,disney,historian,jim,korkis,time,mickey,mouses,development,disney,studios,located,hyperion,avenue,years,walt,disney,kept,office,working,space,warner,brothers,professional,relationship,warner,brothers,years,mortimer,mouse,eventually,given,different,characters,mickey,mouse,universe,minnie,mouses,uncle,appears,comics,stories,mickeys,antagonists,competes,minnies,affections,cartoons,comics,mickeys,nephews,named,morty",0.00,mouse
"the cartoon was not the first cartoon to feature a soundtrack connected to the action fleischer studios headed by brothers dave and max fleischer had already released a number of sound cartoons using the deforest system in the mid s however these cartoons did not keep the sound synchronized throughout the film for willie disney had the sound recorded with a click track that kept the musicians on the beat this precise timing is apparent during the turkey in the straw sequence when mickeys actions exactly match the accompanying instruments animation historians have long debated who had served as the composer for the films original music this role has been variously attributed to wilfred jackson carl stalling and bert lewis but identification remains uncertain walt disney himself was voice actor for both mickey and minnie and would remain the source of mickeys voice through  for theatrical cartoons jimmy macdonald took over the role in  but walt provided mickeys voice again from  to  for the mickey mouse club television series on abccitation needed
",cartoon cartoon feature soundtrack connected action fleischer studios headed brothers dave max fleischer released number sound cartoons deforest system mid cartoons sound synchronized film willie disney sound recorded click track kept musicians beat precise timing apparent turkey straw sequence mickeys actions exactly match accompanying instruments animation historians long debated served composer films original music role variously attributed wilfred jackson carl stalling bert lewis identification remains uncertain walt disney voice actor mickey minnie remain source mickeys voice theatrical cartoons jimmy macdonald took role walt provided mickeys voice mickey mouse club television series abccitation needed,7.44,"cartoon,cartoon,feature,soundtrack,connected,action,fleischer,studios,headed,brothers,dave,max,fleischer,released,number,sound,cartoons,deforest,system,mid,cartoons,sound,synchronized,film,willie,disney,sound,recorded,click,track,kept,musicians,beat,precise,timing,apparent,turkey,straw,sequence,mickeys,actions,exactly,match,accompanying,instruments,animation,historians,long,debated,served,composer,films,original,music,role,variously,attributed,wilfred,jackson,carl,stalling,bert,lewis,identification,remains,uncertain,walt,disney,voice,actor,mickey,minnie,remain,source,mickeys,voice,theatrical,cartoons,jimmy,macdonald,took,role,walt,provided,mickeys,voice,mickey,mouse,club,television,series,abccitation,needed",0.00,mouse
"in mickeys early films he was often characterized not as a hero but as an ineffective young suitor to minnie mouse the barn dance  is the first time in which mickey is turned down by minnie in favor of pete the opry house  was the first time in which mickey wore his white gloves mickey wears them in almost all of his subsequent appearances and many other characters followed suit the three lines on the back of mickeys gloves represent darts in the gloves fabric extending from between the digits of the hand typical of glove design of the era
",mickeys early films characterized hero ineffective young suitor minnie mouse barn dance time mickey turned minnie favor pete opry house time mickey wore white gloves mickey wears subsequent appearances characters followed suit lines mickeys gloves represent darts gloves fabric extending digits hand typical glove design era,9.89,"mickeys,early,films,characterized,hero,ineffective,young,suitor,minnie,mouse,barn,dance,time,mickey,turned,minnie,favor,pete,opry,house,time,mickey,wore,white,gloves,mickey,wears,subsequent,appearances,characters,followed,suit,lines,mickeys,gloves,represent,darts,gloves,fabric,extending,digits,hand,typical,glove,design,era",0.00,mouse
"when the cats away  essentially a remake of the alice comedy alice rattled by rats was an unusual appearance for mickey although mickey and minnie still maintained their anthropomorphic characteristics they were depicted as the size of regular mice and living with a community of many other mice as pests in a home mickey and minnie would later appear the size of regular humans in their own setting in appearances with real humans mickey has been shown to be about two to three feet high the next mickey short was also unusual the barnyard battle  was the only film to depict mickey as a soldier and also the first to place him in combat the karnival kid  was the first time mickey spoke before this he had only whistled laughed and grunted his first words were hot dogs hot dogs said while trying to sell hot dogs at a carnival mickeys follies  introduced the song minnies yoo hoo which would become the theme song for mickey mouse films for the next several years the same song sequence was also later reused with different background animation as its own special short shown only at the commencement of s theater based mickey mouse clubs mickeys dog pluto first appeared as mickeys pet in the moose hunt  after previously appearing as minnies dog rover in the picnic 
",cats away essentially remake alice comedy alice rattled rats unusual appearance mickey mickey minnie maintained anthropomorphic characteristics depicted size regular mice living community mice pests home mickey minnie later appear size regular humans setting appearances real humans mickey shown feet high mickey short unusual barnyard battle film depict mickey soldier place combat karnival kid time mickey spoke whistled laughed grunted words hot dogs hot dogs said trying sell hot dogs carnival mickeys follies introduced song minnies yoo hoo theme song mickey mouse films years song sequence later reused different background animation special short shown commencement theater based mickey mouse clubs mickeys dog pluto appeared mickeys pet moose hunt previously appearing minnies dog rover picnic,8.65,"cats,away,essentially,remake,alice,comedy,alice,rattled,rats,unusual,appearance,mickey,mickey,minnie,maintained,anthropomorphic,characteristics,depicted,size,regular,mice,living,community,mice,pests,home,mickey,minnie,later,appear,size,regular,humans,setting,appearances,real,humans,mickey,shown,feet,high,mickey,short,unusual,barnyard,battle,film,depict,mickey,soldier,place,combat,karnival,kid,time,mickey,spoke,whistled,laughed,grunted,words,hot,dogs,hot,dogs,said,trying,sell,hot,dogs,carnival,mickeys,follies,introduced,song,minnies,yoo,hoo,theme,song,mickey,mouse,films,years,song,sequence,later,reused,different,background,animation,special,short,shown,commencement,theater,based,mickey,mouse,clubs,mickeys,dog,pluto,appeared,mickeys,pet,moose,hunt,previously,appearing,minnies,dog,rover,picnic",0.00,mouse
"the cactus kid  was the last film to be animated by ub iwerks at disney shortly before the release of the film iwerks left to start his own studio bankrolled by disneys then distributor pat powers powers and disney had a falling out over money due disney from the distribution deal it was in response to losing the right to distribute disneys cartoons that powers made the deal with iwerks who had long harbored a desire to head his own studio the departure is considered a turning point in mickeys career as well as that of walt disney walt lost the man who served as his closest colleague and confidant since  mickey lost the man responsible for his original design and for the direction or animation of several of the shorts released till this point advertising for the early mickey mouse cartoons credited them as a walt disney comic drawn by ub iwerks later disney company reissues of the early cartoons tend to credit walt disney alone
",cactus kid film animated ub iwerks disney shortly release film iwerks left start studio bankrolled disneys distributor pat powers powers disney falling money disney distribution deal response losing right distribute disneys cartoons powers deal iwerks long harbored desire head studio departure considered turning point mickeys career walt disney walt lost man served closest colleague confidant mickey lost man responsible original design direction animation shorts released till point advertising early mickey mouse cartoons credited walt disney comic drawn ub iwerks later disney company reissues early cartoons tend credit walt disney,8.28,"cactus,kid,film,animated,ub,iwerks,disney,shortly,release,film,iwerks,left,start,studio,bankrolled,disneys,distributor,pat,powers,powers,disney,falling,money,disney,distribution,deal,response,losing,right,distribute,disneys,cartoons,powers,deal,iwerks,long,harbored,desire,head,studio,departure,considered,turning,point,mickeys,career,walt,disney,walt,lost,man,served,closest,colleague,confidant,mickey,lost,man,responsible,original,design,direction,animation,shorts,released,till,point,advertising,early,mickey,mouse,cartoons,credited,walt,disney,comic,drawn,ub,iwerks,later,disney,company,reissues,early,cartoons,tend,credit,walt,disney",0.00,mouse
