Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"monica jean rial   is an american voice actress and adr script writer affiliated with funimation and seraphim digitalsentai filmworks she provides voices for english language versions of japanese anime films and television series
",monica jean rial american voice actress adr script writer affiliated funimation seraphim digitalsentai filmworks provides voices english language versions japanese anime films television series,3.91,"monica,jean,rial,american,voice,actress,adr,script,writer,affiliated,funimation,seraphim,digitalsentai,filmworks,provides,voices,english,language,versions,japanese,anime,films,television,series",0.00,rial
"rials first voice over role was some walla in the  dub of martian successor nadesico in an interview with otaku news rial said she had to talk for two minutes straight as folks in a crowd telling the jovians to go home she would later land main character roles as miharu in gasaraki natsume in generator gawl and hello kitty in hello kittys animation theater the last of which was one of advs best selling dvds in  she voiced izumi in the baseball anime princess nine and in  she got to voice hyatt in excel saga which she listed among her absolute favorites
",rials voice role walla dub martian successor nadesico interview otaku news rial said talk minutes straight folks crowd telling jovians home later land main character roles miharu gasaraki natsume generator gawl hello kitty hello kittys animation theater advs best selling dvds voiced izumi baseball anime princess got voice hyatt excel saga listed absolute favorites,8.77,"rials,voice,role,walla,dub,martian,successor,nadesico,interview,otaku,news,rial,said,talk,minutes,straight,folks,crowd,telling,jovians,home,later,land,main,character,roles,miharu,gasaraki,natsume,generator,gawl,hello,kitty,hello,kittys,animation,theater,advs,best,selling,dvds,voiced,izumi,baseball,anime,princess,got,voice,hyatt,excel,saga,listed,absolute,favorites",0.00,rial
"in  rial voiced best friend character kyoko tokiwa in full metal panic and got to reprise her for full metal panic fumoffu and full metal panic the second raid in the same year rial voiced kirika yumura the quiet assassin partner in noir rial said that kirika was challenging because she had very few words but had to convey a lot of emotions she also noted that kirikas personality changed over the course of the series so she voiced her to be more emotional in later episodes which drew some criticism from fans she also voiced lila in najica blitz tactics where she also got to do a dvd commentary along with fellow actress kira vincent davis the commentaries have become popular as she receives feedback from fans about them at anime conventions
",rial voiced best friend character kyoko tokiwa metal panic got reprise metal panic fumoffu metal panic second raid year rial voiced kirika yumura quiet assassin partner noir rial said kirika challenging words convey lot emotions noted kirikas personality changed course series voiced emotional later episodes drew criticism fans voiced lila najica blitz tactics got dvd commentary fellow actress kira vincent davis commentaries popular receives feedback fans anime conventions,8.67,"rial,voiced,best,friend,character,kyoko,tokiwa,metal,panic,got,reprise,metal,panic,fumoffu,metal,panic,second,raid,year,rial,voiced,kirika,yumura,quiet,assassin,partner,noir,rial,said,kirika,challenging,words,convey,lot,emotions,noted,kirikas,personality,changed,course,series,voiced,emotional,later,episodes,drew,criticism,fans,voiced,lila,najica,blitz,tactics,got,dvd,commentary,fellow,actress,kira,vincent,davis,commentaries,popular,receives,feedback,fans,anime,conventions",0.00,rial
"in  rial started voice over work with the anime dubbing company funimation in the dallasft worth area during that year she voiced amy in the long running detective anime series case closed and lyra  in the fantasy drama series fullmetal alchemist both of these shows were featured on cartoon network she also voiced co lead character lumiere in kiddy grade meanwhile with adv she voiced nyamo sensei in the school comedy azumanga daioh she had also taken over some character roles as momiji in blue seed and maya in neon genesis evangelion rial said that it was very difficult to try to sound like the previous voice actors especially mayas low voice so she tried her own approach she also got to voice pen pen the penguin in evangelion in  she voiced the serious lead character jo in a team of mercenary girls in the cyberpunk science fiction series burst angel
",rial started voice work anime dubbing company funimation dallasft worth area year voiced amy long running detective anime series case closed lyra fantasy drama series fullmetal alchemist shows featured cartoon network voiced co lead character lumiere kiddy grade adv voiced nyamo sensei school comedy azumanga daioh taken character roles momiji blue seed maya neon genesis evangelion rial said difficult try sound like previous voice actors especially mayas low voice tried approach got voice pen pen penguin evangelion voiced lead character jo team mercenary girls cyberpunk science fiction series burst angel,7.07,"rial,started,voice,work,anime,dubbing,company,funimation,dallasft,worth,area,year,voiced,amy,long,running,detective,anime,series,case,closed,lyra,fantasy,drama,series,fullmetal,alchemist,shows,featured,cartoon,network,voiced,co,lead,character,lumiere,kiddy,grade,adv,voiced,nyamo,sensei,school,comedy,azumanga,daioh,taken,character,roles,momiji,blue,seed,maya,neon,genesis,evangelion,rial,said,difficult,try,sound,like,previous,voice,actors,especially,mayas,low,voice,tried,approach,got,voice,pen,pen,penguin,evangelion,voiced,lead,character,jo,team,mercenary,girls,cyberpunk,science,fiction,series,burst,angel",0.00,rial
"rial continued to land leading roles in anime shows in  she voiced the title character in nanaka  about a  year old girl who through an accident has amnesia and regresses to her  year old self in speed grapher she voiced female protagonist kagura tennzu and in the adv films remake of macross she voiced misa hayase in  she voiced sakura in the english anime adaptation of clamps tsubasa reservoir chronicle maria in witchblade
",rial continued land leading roles anime shows voiced title character nanaka year old girl accident amnesia regresses year old self speed grapher voiced female protagonist kagura tennzu adv films remake macross voiced misa hayase voiced sakura english anime adaptation clamps tsubasa reservoir chronicle maria witchblade,6.54,"rial,continued,land,leading,roles,anime,shows,voiced,title,character,nanaka,year,old,girl,accident,amnesia,regresses,year,old,self,speed,grapher,voiced,female,protagonist,kagura,tennzu,adv,films,remake,macross,voiced,misa,hayase,voiced,sakura,english,anime,adaptation,clamps,tsubasa,reservoir,chronicle,maria,witchblade",0.00,rial
"rial voiced more leads in  with shiro in deadman wonderland which also broadcast on adult swim stocking in the raunchy comedy panty  stocking with garterbelt in  she voiced the heroine character haruko amaya in the harem comedy maken ki and iori nagase in the school anime series kokoro connect with regards to her lead role of michiko malandro in michiko  hatchin which was released on dvd in  and was broadcast on adult swim in  rial said that out of the  or so characters she had voiced only two of them were hispanic and she liked that her character was not a stereotype
",rial voiced leads shiro deadman wonderland broadcast adult swim stocking raunchy comedy panty stocking garterbelt voiced heroine character haruko amaya harem comedy maken ki iori nagase school anime series kokoro connect regards lead role michiko malandro michiko hatchin released dvd broadcast adult swim rial said characters voiced hispanic liked character stereotype,8.87,"rial,voiced,leads,shiro,deadman,wonderland,broadcast,adult,swim,stocking,raunchy,comedy,panty,stocking,garterbelt,voiced,heroine,character,haruko,amaya,harem,comedy,maken,ki,iori,nagase,school,anime,series,kokoro,connect,regards,lead,role,michiko,malandro,michiko,hatchin,released,dvd,broadcast,adult,swim,rial,said,characters,voiced,hispanic,liked,character,stereotype",0.00,rial
"in addition to voice acting rial has been steadily involved in adr script writing with work in the english dubs for dn angel madlax and gatchaman in an interview with active anime rial said she would take the direct translation and write it into a coherent scene that matches the lip flaps at later anime conventions rial has mentioned that adr script writing has kept her quite occupied especially with simuldubs which are shows that are locally dubbed soon after the original broadcast she has also written columns for newtypes usa edition in january  rial has announced that she is taking time off of script adaptation
",addition voice acting rial steadily involved adr script writing work english dubs dn angel madlax gatchaman interview active anime rial said direct translation write coherent scene matches lip flaps later anime conventions rial mentioned adr script writing kept occupied especially simuldubs shows locally dubbed soon original broadcast written columns newtypes usa edition january rial announced taking time script adaptation,7.56,"addition,voice,acting,rial,steadily,involved,adr,script,writing,work,english,dubs,dn,angel,madlax,gatchaman,interview,active,anime,rial,said,direct,translation,write,coherent,scene,matches,lip,flaps,later,anime,conventions,rial,mentioned,adr,script,writing,kept,occupied,especially,simuldubs,shows,locally,dubbed,soon,original,broadcast,written,columns,newtypes,usa,edition,january,rial,announced,taking,time,script,adaptation",0.00,rial
"monica rial was born in houston texas her father is from pontevedra galicia spain when she was young her family would often visit spain she would translate for her younger brother some of the european spanish dubbed cartoons which included anime shows doraemon and dragon ball z often imitating the various characters rial studied ballet tap and jazz but transitioned to musical theater when she was  she studied acting through high school as well as college at the university of houston in an interview with otaku news rial mentioned voice actor inspirations from the simpsons family guy and beavis and butt head
",monica rial born houston texas father pontevedra galicia spain young family visit spain translate younger brother european spanish dubbed cartoons included anime shows doraemon dragon ball z imitating characters rial studied ballet tap jazz transitioned musical theater studied acting high school college university houston interview otaku news rial mentioned voice actor inspirations simpsons family guy beavis butt head,7.17,"monica,rial,born,houston,texas,father,pontevedra,galicia,spain,young,family,visit,spain,translate,younger,brother,european,spanish,dubbed,cartoons,included,anime,shows,doraemon,dragon,ball,z,imitating,characters,rial,studied,ballet,tap,jazz,transitioned,musical,theater,studied,acting,high,school,college,university,houston,interview,otaku,news,rial,mentioned,voice,actor,inspirations,simpsons,family,guy,beavis,butt,head",0.00,rial
"rial has a younger brother miguel and a younger sister natalie who is also an actress both siblings have voiced in anime dubs rial is currently engaged to ron toye
",rial younger brother miguel younger sister natalie actress siblings voiced anime dubs rial currently engaged ron toye,7.93,"rial,younger,brother,miguel,younger,sister,natalie,actress,siblings,voiced,anime,dubs,rial,currently,engaged,ron,toye",0.00,rial
"in  rial alleged that she had been sexually assaulted by fellow voice actor vic mignogna in  on april   mignogna filed a lawsuit against rial her fianc ron toye as well as funimation and jamie marchi for tortious interference civil conspiracy and defamation in regards to rials allegations on july   rial toye and marchi all filed anti slapp motions for mignogna to dismiss his lawsuit on october   the case was dismissed and all the charges against funimation marchi rial and toye were dropped in february  rial and marchi began a monthly podcast about the case
",rial alleged sexually assaulted fellow voice actor vic mignogna april mignogna filed lawsuit rial fianc ron toye funimation jamie marchi tortious interference civil conspiracy defamation regards rials allegations july rial toye marchi filed anti slapp motions mignogna dismiss lawsuit october case dismissed charges funimation marchi rial toye dropped february rial marchi began monthly podcast case,6.93,"rial,alleged,sexually,assaulted,fellow,voice,actor,vic,mignogna,april,mignogna,filed,lawsuit,rial,fianc,ron,toye,funimation,jamie,marchi,tortious,interference,civil,conspiracy,defamation,regards,rials,allegations,july,rial,toye,marchi,filed,anti,slapp,motions,mignogna,dismiss,lawsuit,october,case,dismissed,charges,funimation,marchi,rial,toye,dropped,february,rial,marchi,began,monthly,podcast,case",0.00,rial
" media related to monica rial at wikimedia commons
",media related monica rial wikimedia commons,3.92,"media,related,monica,rial,wikimedia,commons",0.00,rial
