Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"azeez adeshina fashola  known professionally as naira marley is a british nigerian singer and song writer he is known as the president of his controversial fan base marlians
",azeez adeshina fashola known professionally naira marley british nigerian singer song writer known president controversial fan base marlians,5.75,"azeez,adeshina,fashola,known,professionally,naira,marley,british,nigerian,singer,song,writer,known,president,controversial,fan,base,marlians",0.00,naira
"at the age of  he moved to peckham south london england naira marley graduated with a distinction in business from peckham academy he also studied business law at crossways college 
",age moved peckham south london england naira marley graduated distinction business peckham academy studied business law crossways college,6.59,"age,moved,peckham,south,london,england,naira,marley,graduated,distinction,business,peckham,academy,studied,business,law,crossways,college",0.00,naira
"while growing up naira marley had plans of becoming an mc and a voice over artist he began singing in  after discovering his passion for music and was encouraged by close knit friends to pursue his music career he released the max twigz assisted track marry juana before releasing his debut ep got to dance in 
",growing naira marley plans mc voice artist began singing discovering passion music encouraged close knit friends pursue music career released max twigz assisted track marry juana releasing debut ep got dance,8.04,"growing,naira,marley,plans,mc,voice,artist,began,singing,discovering,passion,music,encouraged,close,knit,friends,pursue,music,career,released,max,twigz,assisted,track,marry,juana,releasing,debut,ep,got,dance",0.00,naira
"naira marley sings in english pidgin and yoruba his music is a blend of afrobeats and hip hop he derived his stage name from jamaican singer bob marley whom he admires his dreadlocks are also a tribute to the singer
",naira marley sings english pidgin yoruba music blend afrobeats hip hop derived stage jamaican singer bob marley admires dreadlocks tribute singer,8.80,"naira,marley,sings,english,pidgin,yoruba,music,blend,afrobeats,hip,hop,derived,stage,jamaican,singer,bob,marley,admires,dreadlocks,tribute,singer",0.00,naira
"naira marley released the zlatan assisted track am i a yahoo boy on  may  and was arrested by the economic and financial crimes commission  that same day he released soapy on   june  a few days after he was released from prison on  january  he won viewers choice for soapy at the  soundcity mvp awards
",naira marley released zlatan assisted track yahoo boy arrested economic financial crimes commission day released soapy june days released prison january viewers choice soapy soundcity mvp awards,8.94,"naira,marley,released,zlatan,assisted,track,yahoo,boy,arrested,economic,financial,crimes,commission,day,released,soapy,june,days,released,prison,january,viewers,choice,soapy,soundcity,mvp,awards",0.00,naira
"on  december  naira marley released his second ep lord of lamba which was a mixture of afrobeats and hip hop the ep comprises  tracks and features guest artists such as cblvck young john and mayorkun its production was handled by killertunes rexxie and studio magic
",december naira marley released second ep lord lamba mixture afrobeats hip hop ep comprises tracks features guest artists cblvck young john mayorkun production handled killertunes rexxie studio magic,6.39,"december,naira,marley,released,second,ep,lord,lamba,mixture,afrobeats,hip,hop,ep,comprises,tracks,features,guest,artists,cblvck,young,john,mayorkun,production,handled,killertunes,rexxie,studio,magic",0.00,naira
"during the marlian fest which was held at the eko hotels and suites on  december  naira marley announced the launch of his record label marlian records and unveiled cblvck zinoleesky and fabian blu as signed acts
",marlian fest held eko hotels suites december naira marley announced launch record label marlian records unveiled cblvck zinoleesky fabian blu signed acts,6.57,"marlian,fest,held,eko,hotels,suites,december,naira,marley,announced,launch,record,label,marlian,records,unveiled,cblvck,zinoleesky,fabian,blu,signed,acts",0.00,naira
"on  july  naira marley took to his instagram page to unveil another act under his label named emo grae with a new single and visual titled  featuring buju
",july naira marley took instagram page unveil act label named emo grae new single visual titled featuring buju,6.45,"july,naira,marley,took,instagram,page,unveil,act,label,named,emo,grae,new,single,visual,titled,featuring,buju",0.00,naira
"on  may  the efcc arrested naira marley and his friends zlatan tiamiu kayode adewunmi moses micheal taqueesh adenuga and abubakar musa the arrest was made a day after marley released the video for the controversial single am i a yahoo boy five days later the efcc released zlatan and three others but kept marley in custody due to the evidence against him on  may  the efcc charged him with  counts of fraud before a federal high court in ikoyi lagos on  may  zlatan released the single  nights in ekohtiebo while marley was still in prison in it he talks about his industry friends foes and other people who he admired and how they came through for him in may  marley was arraigned before the federal high court and pleaded not guilty a bail hearing was set for  may  on the day of the bail hearing marley released why a song that was accompanied by an image of him in handcuffs on  june  he was released from jail  days after being granted  bail a few days later he released soapy a track about the sexual habits of inmates in detention
",efcc arrested naira marley friends zlatan tiamiu kayode adewunmi moses micheal taqueesh adenuga abubakar musa arrest day marley released video controversial single yahoo boy days later efcc released zlatan kept marley custody evidence efcc charged counts fraud federal high court ikoyi lagos zlatan released single nights ekohtiebo marley prison talks industry friends foes people admired came marley arraigned federal high court pleaded guilty bail hearing set day bail hearing marley released song accompanied image handcuffs june released jail days granted bail days later released soapy track sexual habits inmates detention,9.53,"efcc,arrested,naira,marley,friends,zlatan,tiamiu,kayode,adewunmi,moses,micheal,taqueesh,adenuga,abubakar,musa,arrest,day,marley,released,video,controversial,single,yahoo,boy,days,later,efcc,released,zlatan,kept,marley,custody,evidence,efcc,charged,counts,fraud,federal,high,court,ikoyi,lagos,zlatan,released,single,nights,ekohtiebo,marley,prison,talks,industry,friends,foes,people,admired,came,marley,arraigned,federal,high,court,pleaded,guilty,bail,hearing,set,day,bail,hearing,marley,released,song,accompanied,image,handcuffs,june,released,jail,days,granted,bail,days,later,released,soapy,track,sexual,habits,inmates,detention",0.00,naira
"naira marley was detained by the nigerian police force for contravening the lockdown order imposed on lagos state by president muhammadu buhari to contain the spread of coronavirus in the country on  june  he performed at a concert in abuja despite the interstate travel ban and social distancing rules aimed at curbing the spread of covid  he was arraigned by the fct administration before a mobile court in abuja over the concert
",naira marley detained nigerian police force contravening lockdown order imposed lagos state president muhammadu buhari contain spread coronavirus country june performed concert abuja despite interstate travel ban social distancing rules aimed curbing spread covid arraigned fct administration mobile court abuja concert,7.18,"naira,marley,detained,nigerian,police,force,contravening,lockdown,order,imposed,lagos,state,president,muhammadu,buhari,contain,spread,coronavirus,country,june,performed,concert,abuja,despite,interstate,travel,ban,social,distancing,rules,aimed,curbing,spread,covid,arraigned,fct,administration,mobile,court,abuja,concert",0.00,naira
