Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"nairobi  is the capital and largest city of kenya the name is derived from the maasai phrase enkare nairobi which translates to place of cool waters a reference to the nairobi river which flows through the city the city proper had a population of  in the  census while the metropolitan area has a projected population in  of  million the city is commonly referred to as the green city in the sun
",nairobi capital largest city kenya derived maasai phrase enkare nairobi translates place cool waters reference nairobi river flows city city proper population census metropolitan area projected population million city commonly referred green city sun,9.34,"nairobi,capital,largest,city,kenya,derived,maasai,phrase,enkare,nairobi,translates,place,cool,waters,reference,nairobi,river,flows,city,city,proper,population,census,metropolitan,area,projected,population,million,city,commonly,referred,green,city,sun",0.00,nairobi
"nairobi was founded in  by colonial authorities in british east africa as a rail depot on the uganda   kenya railway the town quickly grew to replace mombasa as the capital of kenya in  after independence in  nairobi became the capital of the republic of kenya during kenyas colonial period the city became a centre for the colonys coffee tea and sisal industry the city lies in the south central part of kenya at an elevation of  metres 
",nairobi founded colonial authorities british east africa rail depot uganda kenya railway town quickly grew replace mombasa capital kenya independence nairobi capital republic kenya kenyas colonial period city centre colonys coffee tea sisal industry city lies south central kenya elevation metres,8.20,"nairobi,founded,colonial,authorities,british,east,africa,rail,depot,uganda,kenya,railway,town,quickly,grew,replace,mombasa,capital,kenya,independence,nairobi,capital,republic,kenya,kenyas,colonial,period,city,centre,colonys,coffee,tea,sisal,industry,city,lies,south,central,kenya,elevation,metres",0.00,nairobi
"nairobi is home of the kenyan parliament buildings and hosts thousands of kenyan businesses and over  major international companies and organizations including the united nations environment programme  and the united nations office at nairobi  nairobi is an established hub for business and culture the nairobi securities exchange  is one of the largest in africa and the second oldest exchange on the continent it is africas fourth largest exchange in terms of trading volume capable of making  million trades a day it also contains the nairobi national park nairobi joined the unesco global network of learning cities in 
",nairobi home kenyan parliament buildings hosts thousands kenyan businesses major international companies organizations including united nations environment programme united nations office nairobi nairobi established hub business culture nairobi securities exchange largest africa second oldest exchange continent africas fourth largest exchange terms trading volume capable making million trades day contains nairobi national park nairobi joined unesco global network learning cities,6.09,"nairobi,home,kenyan,parliament,buildings,hosts,thousands,kenyan,businesses,major,international,companies,organizations,including,united,nations,environment,programme,united,nations,office,nairobi,nairobi,established,hub,business,culture,nairobi,securities,exchange,largest,africa,second,oldest,exchange,continent,africas,fourth,largest,exchange,terms,trading,volume,capable,making,million,trades,day,contains,nairobi,national,park,nairobi,joined,unesco,global,network,learning,cities",0.00,nairobi
"the site of nairobi was originally part of an uninhabited swamp the name nairobi itself comes from the maasai expression meaning cool waters referring to the cold water stream which flowed through the area with the arrival of the uganda railway the site was identified by sir george whitehouse for a store depot shunting ground and camping ground for the indian labourers working on the railway whitehouse chief engineer of the railway favoured the site as an ideal resting place due to its high elevation temperate climate adequate water supply and being situated before the steep ascent of the limuru escarpments his choice was however criticised by officials within the protectorate government who felt the site was too flat poorly drained and relatively infertile
",site nairobi originally uninhabited swamp nairobi comes maasai expression meaning cool waters referring cold water stream flowed area arrival uganda railway site identified sir george whitehouse store depot shunting ground camping ground indian labourers working railway whitehouse chief engineer railway favoured site ideal resting place high elevation temperate climate adequate water supply situated steep ascent limuru escarpments choice criticised officials protectorate government felt site flat poorly drained relatively infertile,7.16,"site,nairobi,originally,uninhabited,swamp,nairobi,comes,maasai,expression,meaning,cool,waters,referring,cold,water,stream,flowed,area,arrival,uganda,railway,site,identified,sir,george,whitehouse,store,depot,shunting,ground,camping,ground,indian,labourers,working,railway,whitehouse,chief,engineer,railway,favoured,site,ideal,resting,place,high,elevation,temperate,climate,adequate,water,supply,situated,steep,ascent,limuru,escarpments,choice,criticised,officials,protectorate,government,felt,site,flat,poorly,drained,relatively,infertile",0.00,nairobi
"in  arthur church was commissioned to design the first town layout for the railway depot it constituted two streets  victoria street and station street ten avenues staff quarters and an indian commercial area the railway arrived at nairobi on  may  and soon nairobi replaced machakos as the headquarters of the provincial administration for ukamba province on the arrival of the railway whitehouse remarked that nairobi itself will in the course of the next two years become a large and flourishing place and already there are many applications for sites for hotels shops and houses the towns early years were however beset with problems of malaria leading to at least one attempt to have the town moved in the early s bazaar street  was completely rebuilt after an outbreak of plague and the burning of the original town
",arthur church commissioned design town layout railway depot constituted streets victoria street station street avenues staff quarters indian commercial area railway arrived nairobi soon nairobi replaced machakos headquarters provincial administration ukamba province arrival railway whitehouse remarked nairobi course years large flourishing place applications sites hotels shops houses towns early years beset problems malaria leading attempt town moved early bazaar street completely rebuilt outbreak plague burning original town,8.52,"arthur,church,commissioned,design,town,layout,railway,depot,constituted,streets,victoria,street,station,street,avenues,staff,quarters,indian,commercial,area,railway,arrived,nairobi,soon,nairobi,replaced,machakos,headquarters,provincial,administration,ukamba,province,arrival,railway,whitehouse,remarked,nairobi,course,years,large,flourishing,place,applications,sites,hotels,shops,houses,towns,early,years,beset,problems,malaria,leading,attempt,town,moved,early,bazaar,street,completely,rebuilt,outbreak,plague,burning,original,town",0.00,nairobi
"between  and  the towns population rose from  to  and grew around administration and tourism initially in the form of big game hunting in  nairobi replaced mombasa as the capital of the east africa protectorate in  a further outbreak of the plague led to europeans concluding that the because was unhygienic conditions in the indian bazaar the government responded by restricting lower class indians and african natives to specific quarters for residence and trade setting a precedent for racial segregation in the commercial sphere by the outset of the first world war nairobi was well established as a european settler colony through immigration and land alienation in  nairobi was declared to be a municipality
",towns population rose grew administration tourism initially form big game hunting nairobi replaced mombasa capital east africa protectorate outbreak plague led europeans concluding unhygienic conditions indian bazaar government responded restricting lower class indians african natives specific quarters residence trade setting precedent racial segregation commercial sphere outset world war nairobi established european settler colony immigration land alienation nairobi declared municipality,7.56,"towns,population,rose,grew,administration,tourism,initially,form,big,game,hunting,nairobi,replaced,mombasa,capital,east,africa,protectorate,outbreak,plague,led,europeans,concluding,unhygienic,conditions,indian,bazaar,government,responded,restricting,lower,class,indians,african,natives,specific,quarters,residence,trade,setting,precedent,racial,segregation,commercial,sphere,outset,world,war,nairobi,established,european,settler,colony,immigration,land,alienation,nairobi,declared,municipality",0.00,nairobi
"in  nairobi had  residents of which  were native africans the next decade saw growth in native african communities in nairobi and they began to constitute a majority for the first time this growth caused planning issues described by thorntorn white and his planning team as the nairobi problem in february  colonial officer eric dutton passed through nairobi on his way to mount kenya and said of the city
",nairobi residents native africans decade saw growth native african communities nairobi began constitute majority time growth caused planning issues described thorntorn white planning team nairobi problem february colonial officer eric dutton passed nairobi way mount kenya said city,7.39,"nairobi,residents,native,africans,decade,saw,growth,native,african,communities,nairobi,began,constitute,majority,time,growth,caused,planning,issues,described,thorntorn,white,planning,team,nairobi,problem,february,colonial,officer,eric,dutton,passed,nairobi,way,mount,kenya,said,city",0.00,nairobi
"maybe one day nairobi will be laid out with tarred roads with avenues of flowering trees flanked by noble buildings with open spaces and stately squares a cathedral worthy of faith and country museums and of art theatres and public offices and it is fair to say that the government and the municipality have already bravely tackled the problem and that a town plan ambitious enough to turn nairobi into a thing of beauty has been slowly worked out and much has already been done but until that plan has borne fruit nairobi must remain what she was then a slatternly creature unfit to queen it over so lovely a country
",maybe day nairobi laid tarred roads avenues flowering trees flanked noble buildings open spaces stately squares cathedral worthy faith country museums art theatres public offices fair government municipality bravely tackled problem town plan ambitious turn nairobi thing beauty slowly worked plan borne fruit nairobi remain slatternly creature unfit queen lovely country,9.71,"maybe,day,nairobi,laid,tarred,roads,avenues,flowering,trees,flanked,noble,buildings,open,spaces,stately,squares,cathedral,worthy,faith,country,museums,art,theatres,public,offices,fair,government,municipality,bravely,tackled,problem,town,plan,ambitious,turn,nairobi,thing,beauty,slowly,worked,plan,borne,fruit,nairobi,remain,slatternly,creature,unfit,queen,lovely,country",0.00,nairobi
"nairobi remained capital of kenya after independence and its continued rapid growth put pressure on the citys infrastructure power cuts and water shortages were a common occurrence
",nairobi remained capital kenya independence continued rapid growth pressure citys infrastructure power cuts water shortages common occurrence,5.52,"nairobi,remained,capital,kenya,independence,continued,rapid,growth,pressure,citys,infrastructure,power,cuts,water,shortages,common,occurrence",0.00,nairobi
"a years prior in  the world bank approved funds for further expansion of the then nairobi airport  including a new international and domestic passenger terminal building the airports first dedicated cargo and freight terminal new taxiways associated aprons internal roads car parks police and fire stations a state pavilion airfield and roadway lighting fire hydrant system water electrical telecommunications and sewage systems a dual carriageway passenger access road security drainage and the building of the main access road to the airport  the total cost of the project was more than us million  on  march  construction of the terminal building was completed on the other side of the airports single runway and opened by president jomo kenyatta less than five months before his death the airport was renamed jomo kenyatta international airport in memory of its first president
",years prior world bank approved funds expansion nairobi airport including new international domestic passenger terminal building airports dedicated cargo freight terminal new taxiways associated aprons internal roads car parks police fire stations state pavilion airfield roadway lighting fire hydrant system water electrical telecommunications sewage systems dual carriageway passenger access road security drainage building main access road airport total cost project usmillion march construction terminal building completed airports single runway opened president jomo kenyatta months death airport renamed jomo kenyatta international airport memory president,6.12,"years,prior,world,bank,approved,funds,expansion,nairobi,airport,including,new,international,domestic,passenger,terminal,building,airports,dedicated,cargo,freight,terminal,new,taxiways,associated,aprons,internal,roads,car,parks,police,fire,stations,state,pavilion,airfield,roadway,lighting,fire,hydrant,system,water,electrical,telecommunications,sewage,systems,dual,carriageway,passenger,access,road,security,drainage,building,main,access,road,airport,total,cost,project,usmillion,march,construction,terminal,building,completed,airports,single,runway,opened,president,jomo,kenyatta,months,death,airport,renamed,jomo,kenyatta,international,airport,memory,president",0.00,nairobi
