Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"nepal  officially the federal democratic republic of nepal  is a landlocked country in south asia it is mainly situated in the himalayas but also includes parts of the indo gangetic plain bordering the tibet autonomous region of china to the north and india in the south east and west while it is narrowly separated from bangladesh by the siliguri corridor and from bhutan by the indian state of sikkim nepal has a diverse geography including fertile plains subalpine forested hills and eight of the worlds ten tallest mountains including mount everest the highest point on earth nepal is a multi ethnic multi lingual multi religious and multi cultural state with nepali as the official language kathmandu is the nations capital and the largest city
",nepal officially federal democratic republic nepal landlocked country south asia mainly situated himalayas includes parts indo gangetic plain bordering tibet autonomous region china north india south east west narrowly separated bangladesh siliguri corridor bhutan indian state sikkim nepal diverse geography including fertile plains subalpine forested hills worlds tallest mountains including mount everest highest point earth nepal multi ethnic multi lingual multi religious multi cultural state nepali official language kathmandu nations capital largest city,6.80,"nepal,officially,federal,democratic,republic,nepal,landlocked,country,south,asia,mainly,situated,himalayas,includes,parts,indo,gangetic,plain,bordering,tibet,autonomous,region,china,north,india,south,east,west,narrowly,separated,bangladesh,siliguri,corridor,bhutan,indian,state,sikkim,nepal,diverse,geography,including,fertile,plains,subalpine,forested,hills,worlds,tallest,mountains,including,mount,everest,highest,point,earth,nepal,multi,ethnic,multi,lingual,multi,religious,multi,cultural,state,nepali,official,language,kathmandu,nations,capital,largest,city",0.00,nepal
"the name nepal is first recorded in texts from the vedic period of the indian subcontinent the era in ancient nepal when hinduism was founded the predominant religion of the country in the middle of the first millennium because gautama buddha the founder of buddhism was born in lumbini in southern nepal parts of northern nepal were intertwined with the culture of tibet the centrally located kathmandu valley is intertwined with the culture of indo aryans and was the seat of the prosperous newar confederacy known as nepal mandala the himalayan branch of the ancient silk road was dominated by the valleys traders the cosmopolitan region developed distinct traditional art and architecture by the th century the gorkha kingdom achieved the unification of nepal the shah dynasty established the kingdom of nepal and later formed an alliance with the british empire under its rana dynasty of premiers the country was never colonised but served as a buffer state between imperial china and british india parliamentary democracy was introduced in  but was twice suspended by nepalese monarchs in  and  the nepalese civil war in the s and early s resulted in the establishment of a secular republic in  ending the worlds last hindu monarchy
",nepal recorded texts vedic period indian subcontinent era ancient nepal hinduism founded predominant religion country middle millennium gautama buddha founder buddhism born lumbini southern nepal parts northern nepal intertwined culture tibet centrally located kathmandu valley intertwined culture indo aryans seat prosperous newar confederacy known nepal mandala himalayan branch ancient silk road dominated valleys traders cosmopolitan region developed distinct traditional art architecture th century gorkha kingdom achieved unification nepal shah dynasty established kingdom nepal later formed alliance british empire rana dynasty premiers country colonised served buffer state imperial china british india parliamentary democracy introduced twice suspended nepalese monarchs nepalese civil war early resulted establishment secular republic ending worlds hindu monarchy,7.59,"nepal,recorded,texts,vedic,period,indian,subcontinent,era,ancient,nepal,hinduism,founded,predominant,religion,country,middle,millennium,gautama,buddha,founder,buddhism,born,lumbini,southern,nepal,parts,northern,nepal,intertwined,culture,tibet,centrally,located,kathmandu,valley,intertwined,culture,indo,aryans,seat,prosperous,newar,confederacy,known,nepal,mandala,himalayan,branch,ancient,silk,road,dominated,valleys,traders,cosmopolitan,region,developed,distinct,traditional,art,architecture,th,century,gorkha,kingdom,achieved,unification,nepal,shah,dynasty,established,kingdom,nepal,later,formed,alliance,british,empire,rana,dynasty,premiers,country,colonised,served,buffer,state,imperial,china,british,india,parliamentary,democracy,introduced,twice,suspended,nepalese,monarchs,nepalese,civil,war,early,resulted,establishment,secular,republic,ending,worlds,hindu,monarchy",0.00,nepal
"the constitution of nepal adopted in  affirms the country as a secular federal parliamentary republic divided into seven provinces nepal was admitted to the united nations in  and friendship treaties were signed with india in  and china in  nepal hosts the permanent secretariat of the south asian association for regional cooperation  of which it is a founding member nepal is also a member of the non aligned movement and the bay of bengal initiative the nepalese armed forces are the fifth largest in south asia and are notable for their gurkha history particularly during the world wars and has been a significant contributor to united nations peacekeeping operations
",constitution nepal adopted affirms country secular federal parliamentary republic divided seven provinces nepal admitted united nations friendship treaties signed india china nepal hosts permanent secretariat south asian association regional cooperation founding member nepal member non aligned movement bay bengal initiative nepalese armed forces fifth largest south asia notable gurkha history particularly world wars significant contributor united nations peacekeeping operations,7.29,"constitution,nepal,adopted,affirms,country,secular,federal,parliamentary,republic,divided,seven,provinces,nepal,admitted,united,nations,friendship,treaties,signed,india,china,nepal,hosts,permanent,secretariat,south,asian,association,regional,cooperation,founding,member,nepal,member,non,aligned,movement,bay,bengal,initiative,nepalese,armed,forces,fifth,largest,south,asia,notable,gurkha,history,particularly,world,wars,significant,contributor,united,nations,peacekeeping,operations",0.00,nepal
"before the unification of nepal the kathmandu valley was known as nepala the precise origin of the term nepl is uncertain nepal appears in ancient indian literary texts dated as far back as the fourth century becausewhich an absolute chronology can not be established as even the oldest texts may contain anonymous contributions dating as late as the early modern period academic attempts to provide a plausible theory are hindered by the lack of a complete picture of history and insufficient understanding of linguistics or relevant indo european and tibeto burman languages
",unification nepal kathmandu valley known nepala precise origin term nepl uncertain nepal appears ancient indian literary texts dated far fourth century becausewhich absolute chronology established oldest texts contain anonymous contributions dating late early modern period academic attempts provide plausible theory hindered lack complete picture history insufficient understanding linguistics relevant indo european tibeto burman languages,6.59,"unification,nepal,kathmandu,valley,known,nepala,precise,origin,term,nepl,uncertain,nepal,appears,ancient,indian,literary,texts,dated,far,fourth,century,becausewhich,absolute,chronology,established,oldest,texts,contain,anonymous,contributions,dating,late,early,modern,period,academic,attempts,provide,plausible,theory,hindered,lack,complete,picture,history,insufficient,understanding,linguistics,relevant,indo,european,tibeto,burman,languages",0.00,nepal
"according to hindu mythology nepal derives its name from an ancient hindu sage called ne referred to variously as ne muni or nemi according to pashupati purna as a place protected by ne the country in the heart of the himalayas came to be known as neplb according to nepl mahtmyac nemi was charged with protection of the country by pashupati according to buddhist mythology manjushri bodhisattva drained a primordial lake of serpents to create the nepal valley and proclaimed that adi buddha ne would take care of the community that would settle it as the cherished of ne the valley would be called nepl according to gopalarjvamshvali the genealogy of ancient gopala dynasty compiled c s nepal is named after nepa the cowherd the founder of the nepali scion of the abhiras in this account the cow that issued milk to the spot at which nepa discovered the jyotirlinga of pashupatinth upon investigation was also named ne
",according hindu mythology nepal derives ancient hindu sage called ne referred variously ne muni nemi according pashupati purna place protected ne country heart himalayas came known neplb according nepl mahtmyac nemi charged protection country pashupati according buddhist mythology manjushri bodhisattva drained primordial lake serpents create nepal valley proclaimed adi buddha ne care community settle cherished ne valley called nepl according gopalarjvamshvali genealogy ancient gopala dynasty compiled cs nepal named nepa cowherd founder nepali scion abhiras account cow issued milk spot nepa discovered jyotirlinga pashupatinth investigation named ne,7.72,"according,hindu,mythology,nepal,derives,ancient,hindu,sage,called,ne,referred,variously,ne,muni,nemi,according,pashupati,purna,place,protected,ne,country,heart,himalayas,came,known,neplb,according,nepl,mahtmyac,nemi,charged,protection,country,pashupati,according,buddhist,mythology,manjushri,bodhisattva,drained,primordial,lake,serpents,create,nepal,valley,proclaimed,adi,buddha,ne,care,community,settle,cherished,ne,valley,called,nepl,according,gopalarjvamshvali,genealogy,ancient,gopala,dynasty,compiled,cs,nepal,named,nepa,cowherd,founder,nepali,scion,abhiras,account,cow,issued,milk,spot,nepa,discovered,jyotirlinga,pashupatinth,investigation,named,ne",0.00,nepal
"norwegian indologist christian lassen had proposed that nepla was a compound of nipa  and  ala  and so nepla meant abode at the foot of the mountain he considered ne muni to be a fabrication indologist sylvain levi found lassens theory untenable but had no theories of his own only suggesting that either newara is a vulgarism of sanskritic nepala or nepala is sanskritisation of the local ethnic his view has found some support though it does not answer the question of etymology it has also been proposed that nepa is a tibeto burman stem consisting of ne  and pa  reflecting the fact that early inhabitants of the valley were gopalas  and mahispalas  suniti kumar chatterji believed nepal originated from tibeto burman roots  ne of uncertain meaning  and pala or bal whose meaning is lost entirely
",norwegian indologist christian lassen proposed nepla compound nipa ala nepla meant abode foot mountain considered ne muni fabrication indologist sylvain levi found lassens theory untenable theories suggesting newara vulgarism sanskritic nepala nepala sanskritisation local ethnic view found support answer question etymology proposed nepa tibeto burman stem consisting ne pa reflecting fact early inhabitants valley gopalas mahispalas suniti kumar chatterji believed nepal originated tibeto burman roots ne uncertain meaning pala bal meaning lost entirely,7.74,"norwegian,indologist,christian,lassen,proposed,nepla,compound,nipa,ala,nepla,meant,abode,foot,mountain,considered,ne,muni,fabrication,indologist,sylvain,levi,found,lassens,theory,untenable,theories,suggesting,newara,vulgarism,sanskritic,nepala,nepala,sanskritisation,local,ethnic,view,found,support,answer,question,etymology,proposed,nepa,tibeto,burman,stem,consisting,ne,pa,reflecting,fact,early,inhabitants,valley,gopalas,mahispalas,suniti,kumar,chatterji,believed,nepal,originated,tibeto,burman,roots,ne,uncertain,meaning,pala,bal,meaning,lost,entirely",0.00,nepal
"by  years ago the first modern humans had arrived on the indian subcontinent from africa where they had earlier evolved the earliest known modern human remains in south asia date to about  years ago the oldest discovered archaeological evidence of human settlements in nepal dates to around the same time
",years ago modern humans arrived indian subcontinent africa earlier evolved earliest known modern human remains south asia date years ago oldest discovered archaeological evidence human settlements nepal dates time,6.89,"years,ago,modern,humans,arrived,indian,subcontinent,africa,earlier,evolved,earliest,known,modern,human,remains,south,asia,date,years,ago,oldest,discovered,archaeological,evidence,human,settlements,nepal,dates,time",0.00,nepal
"after  because evidence for the domestication of food crops and animals construction of permanent structures and storage of agricultural surplus appeared in mehrgarh and other sites in what is now balochistan these gradually developed into the indus valley civilisation the first urban culture in south asia prehistoric sites of palaeolithic mesolithic and neolithic origins have been discovered in the siwalik hills of dang district the earliest inhabitants of modern nepal and adjoining areas are believed to be people from the indus valley civilisation it is possible that the dravidian people whose history predates the onset of the bronze age in the indian subcontinent  inhabited the area before the arrival of other ethnic groups like the tibeto burmans and indo aryans from across the border by  because the tibeto burmese people had reached nepal either directly across the himalayas from tibet or via myanmar and north east india or both stella kramrisch  mentions a substratum of a race of pre dravidians and dravidians who were in nepal even before the newars who formed the majority of the ancient inhabitants of the valley of kathmandu
",evidence domestication food crops animals construction permanent structures storage agricultural surplus appeared mehrgarh sites balochistan gradually developed indus valley civilisation urban culture south asia prehistoric sites palaeolithic mesolithic neolithic origins discovered siwalik hills dang district earliest inhabitants modern nepal adjoining areas believed people indus valley civilisation possible dravidian people history predates onset bronze age indian subcontinent inhabited area arrival ethnic groups like tibeto burmans indo aryans border tibeto burmese people reached nepal directly himalayas tibet myanmar north east india stella kramrisch mentions substratum race pre dravidians dravidians nepal newars formed majority ancient inhabitants valley kathmandu,7.65,"evidence,domestication,food,crops,animals,construction,permanent,structures,storage,agricultural,surplus,appeared,mehrgarh,sites,balochistan,gradually,developed,indus,valley,civilisation,urban,culture,south,asia,prehistoric,sites,palaeolithic,mesolithic,neolithic,origins,discovered,siwalik,hills,dang,district,earliest,inhabitants,modern,nepal,adjoining,areas,believed,people,indus,valley,civilisation,possible,dravidian,people,history,predates,onset,bronze,age,indian,subcontinent,inhabited,area,arrival,ethnic,groups,like,tibeto,burmans,indo,aryans,border,tibeto,burmese,people,reached,nepal,directly,himalayas,tibet,myanmar,north,east,india,stella,kramrisch,mentions,substratum,race,pre,dravidians,dravidians,nepal,newars,formed,majority,ancient,inhabitants,valley,kathmandu",0.00,nepal
"by the late vedic period nepal was being mentioned in various hindu texts such as the late vedic atharvaveda pariia and in the post vedic atharvashirsha upanishad the gopal bansa was the oldest dynasty to be mentioned in various texts as the earliest rulers of the central himalayan kingdom known by the name nepal the gopalas were followed by kiratas who ruled for over  centuries by some accounts according to the mahabharata the then kirata king went to take part in the battle of kurukshetra in the south eastern region janakpurdham was the capital of the prosperous kingdom of videha or mithila that extended down to the ganges and home to king janaka and his daughter sita
",late vedic period nepal mentioned hindu texts late vedic atharvaveda pariia post vedic atharvashirsha upanishad gopal bansa oldest dynasty mentioned texts earliest rulers central himalayan kingdom known nepal gopalas followed kiratas ruled centuries accounts according mahabharata kirata king went battle kurukshetra south eastern region janakpurdham capital prosperous kingdom videha mithila extended ganges home king janaka daughter sita,8.84,"late,vedic,period,nepal,mentioned,hindu,texts,late,vedic,atharvaveda,pariia,post,vedic,atharvashirsha,upanishad,gopal,bansa,oldest,dynasty,mentioned,texts,earliest,rulers,central,himalayan,kingdom,known,nepal,gopalas,followed,kiratas,ruled,centuries,accounts,according,mahabharata,kirata,king,went,battle,kurukshetra,south,eastern,region,janakpurdham,capital,prosperous,kingdom,videha,mithila,extended,ganges,home,king,janaka,daughter,sita",0.00,nepal
"around  because small kingdoms and confederations of clans arose in the southern regions of nepal from one of these the shakya polity arose a prince who later renounced his status to lead an ascetic life founded buddhism and came to be known as gautama buddha  nepal came to be established as a land of spirituality and refuge in the intervening centuries played an important role in transmitting buddhism to east asia via tibet and helped preserve hindu and buddhist manuscripts
",small kingdoms confederations clans arose southern regions nepal shakya polity arose prince later renounced status lead ascetic life founded buddhism came known gautama buddha nepal came established land spirituality refuge intervening centuries played important role transmitting buddhism east asia tibet helped preserve hindu buddhist manuscripts,7.29,"small,kingdoms,confederations,clans,arose,southern,regions,nepal,shakya,polity,arose,prince,later,renounced,status,lead,ascetic,life,founded,buddhism,came,known,gautama,buddha,nepal,came,established,land,spirituality,refuge,intervening,centuries,played,important,role,transmitting,buddhism,east,asia,tibet,helped,preserve,hindu,buddhist,manuscripts",0.00,nepal
