Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the netherlands national football team  has represented the netherlands in international mens football matches since  the mens national team is controlled by the royal dutch football association  the governing body for football in the netherlands which is a part of uefa under the jurisdiction of fifa they were sometimes regarded as the greatest national team of the respective generations most of the netherlands home matches are played at the johan cruyff arena de kuip philips stadion and de grolsch veste
",netherlands national football team represented netherlands international mens football matches mens national team controlled royal dutch football association governing body football netherlands uefa jurisdiction fifa regarded greatest national team respective generations netherlands home matches played johan cruyff arena de kuip philips stadion de grolsch veste,6.86,"netherlands,national,football,team,represented,netherlands,international,mens,football,matches,mens,national,team,controlled,royal,dutch,football,association,governing,body,football,netherlands,uefa,jurisdiction,fifa,regarded,greatest,national,team,respective,generations,netherlands,home,matches,played,johan,cruyff,arena,de,kuip,philips,stadion,de,grolsch,veste",0.00,netherlands
"the netherlands has competed in eleven fifa world cups appearing in the final three times  they finished runners up on all three occasions they have also appeared in ten uefa european championship winning the  tournament in west germany additionally the team won a bronze medal at the olympic football tournament in   and  the netherlands has long standing football rivalries with neighbours belgium and germany
",netherlands competed fifa world cups appearing final times finished runners occasions appeared uefa european championship winning tournament west germany additionally team bronze medal olympic football tournament netherlands long standing football rivalries neighbours belgium germany,7.28,"netherlands,competed,fifa,world,cups,appearing,final,times,finished,runners,occasions,appeared,uefa,european,championship,winning,tournament,west,germany,additionally,team,bronze,medal,olympic,football,tournament,netherlands,long,standing,football,rivalries,neighbours,belgium,germany",0.00,netherlands
"the netherlands played their first international match in antwerp against belgium on  april  with the players selected by a five member commission from the dutch football association after  minutes the score was  as the match was for the coupe van den abeele it went into extra time during which eddy de neve scored three times making the score  for the netherlands some historians attribute one of the goals scored to willem hesselink
",netherlands played international match antwerp belgium april players selected member commission dutch football association minutes score match coupe van den abeele went extra time eddy de neve scored times making score netherlands historians attribute goals scored willem hesselink,7.80,"netherlands,played,international,match,antwerp,belgium,april,players,selected,member,commission,dutch,football,association,minutes,score,match,coupe,van,den,abeele,went,extra,time,eddy,de,neve,scored,times,making,score,netherlands,historians,attribute,goals,scored,willem,hesselink",0.00,netherlands
"in  the netherlands competed in their first official tournament appearance at the summer olympic in london they received a bronze medal after losing to great britain in the semi finals before defeating sweden in the bronze medal match  at the olympic games in  and  the netherlands finished with the bronze medal as they lost to denmark and belgium in the respective tournament
",netherlands competed official tournament appearance summer olympic london received bronze medal losing great britain semi finals defeating sweden bronze medal match olympic games netherlands finished bronze medal lost denmark belgium respective tournament,7.94,"netherlands,competed,official,tournament,appearance,summer,olympic,london,received,bronze,medal,losing,great,britain,semi,finals,defeating,sweden,bronze,medal,match,olympic,games,netherlands,finished,bronze,medal,lost,denmark,belgium,respective,tournament",0.00,netherlands
"the netherlands reached the semi finals at the  summer olympic in paris after winning against romania and ireland in the semi finals they gave up a one goal lead scored by kees pijl to lose  versus uruguay and were relegated to the third place playoff for the fourth time losing to sweden in a replay
",netherlands reached semi finals summer olympic paris winning romania ireland semi finals gave goal lead scored kees pijl lose versus uruguay relegated place playoff fourth time losing sweden replay,8.64,"netherlands,reached,semi,finals,summer,olympic,paris,winning,romania,ireland,semi,finals,gave,goal,lead,scored,kees,pijl,lose,versus,uruguay,relegated,place,playoff,fourth,time,losing,sweden,replay",0.00,netherlands
"after being eliminated in the first round at the  summer olympic on home turf they skipped the first world cup in  due to the cost of travel from europe to south america the team made their first appearance at a fifa world cup in  where they took on switzerland kick smit was the first goalscorer for the netherlands in a world cup the team was eliminated in the opening round by switzerland  a second appearance at the  world cup resulted in a first round elimination against czechoslovakia
",eliminated round summer olympic home turf skipped world cup cost travel europe south america team appearance fifa world cup took switzerland kick smit goalscorer netherlands world cup team eliminated opening round switzerland second appearance world cup resulted round elimination czechoslovakia,9.55,"eliminated,round,summer,olympic,home,turf,skipped,world,cup,cost,travel,europe,south,america,team,appearance,fifa,world,cup,took,switzerland,kick,smit,goalscorer,netherlands,world,cup,team,eliminated,opening,round,switzerland,second,appearance,world,cup,resulted,round,elimination,czechoslovakia",0.00,netherlands
"after the second world war the netherlands qualified for only two international tournament before the s the  summer olympic in great britain and the  summer olympic in finland they suffered early elimination losing to the hosts in  and brazil in 
",second world war netherlands qualified international tournament summer olympic great britain summer olympic finland suffered early elimination losing hosts brazil,8.10,"second,world,war,netherlands,qualified,international,tournament,summer,olympic,great,britain,summer,olympic,finland,suffered,early,elimination,losing,hosts,brazil",0.00,netherlands
"during the s total football  was invented pioneered by ajax and led by playmaker johan cruyff and national team head coach rinus michels the netherlands made significant strides qualifying for two world cup finals in the decade carlos alberto captain of the brazilian team that won the  fifa world cup said the only team i have seen that did things differently was holland at the  world cup in west germany since then everything looks more or less the same to me  their carousel style of play was amazing to watch and marvelous for the game
",total football invented pioneered ajax led playmaker johan cruyff national team head coach rinus michels netherlands significant strides qualifying world cup finals decade carlos alberto captain brazilian team fifa world cup said team seen things differently holland world cup west germany looks carousel style play amazing watch marvelous game,8.50,"total,football,invented,pioneered,ajax,led,playmaker,johan,cruyff,national,team,head,coach,rinus,michels,netherlands,significant,strides,qualifying,world,cup,finals,decade,carlos,alberto,captain,brazilian,team,fifa,world,cup,said,team,seen,things,differently,holland,world,cup,west,germany,looks,carousel,style,play,amazing,watch,marvelous,game",0.00,netherlands
"in  the netherlands beat both brazil and argentina in the second group stage reaching the finals for the first time in their history however they lost to west germany in the finals in munich despite having gone up  through johan neeskens early penalty kick before a german had even touched the ball however a converted penalty by paul breitner and the winner from gerd mller led to a victory for the german
",netherlands beat brazil argentina second group stage reaching finals time history lost west germany finals munich despite gone johan neeskens early penalty kick german touched ball converted penalty paul breitner winner gerd mller led victory german,8.85,"netherlands,beat,brazil,argentina,second,group,stage,reaching,finals,time,history,lost,west,germany,finals,munich,despite,gone,johan,neeskens,early,penalty,kick,german,touched,ball,converted,penalty,paul,breitner,winner,gerd,mller,led,victory,german",0.00,netherlands
"the  european championship saw the netherlands make their first european championship czechoslovakia kept cruyff and van hanegem within arms length and defeated the netherlands in extra time the netherlands finished in third place after defeating the hosts  in extra time
",european championship saw netherlands european championship czechoslovakia kept cruyff van hanegem arms length defeated netherlands extra time netherlands finished place defeating hosts extra time,5.88,"european,championship,saw,netherlands,european,championship,czechoslovakia,kept,cruyff,van,hanegem,arms,length,defeated,netherlands,extra,time,netherlands,finished,place,defeating,hosts,extra,time",0.00,netherlands
