Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the netherlands  informally holland is a country located in northwestern europe with overseas territories in the caribbean it is the largest of four constituent countries of the kingdom of the netherlands the netherlands consists of twelve provinces it borders germany to the east and belgium to the south with a north sea coastline to the north and west it shares maritime borders with the united kingdom germany and belgium in the north sea the countrys official language is dutch with west frisian as a secondary official language in the province of friesland dutch english and papiamento are official in the caribbean territories
",netherlands informally holland country located northwestern europe overseas territories caribbean largest constituent countries kingdom netherlands netherlands consists provinces borders germany east belgium south north sea coastline north west shares maritime borders united kingdom germany belgium north sea countrys official language dutch west frisian secondary official language province friesland dutch english papiamento official caribbean territories,7.57,"netherlands,informally,holland,country,located,northwestern,europe,overseas,territories,caribbean,largest,constituent,countries,kingdom,netherlands,netherlands,consists,provinces,borders,germany,east,belgium,south,north,sea,coastline,north,west,shares,maritime,borders,united,kingdom,germany,belgium,north,sea,countrys,official,language,dutch,west,frisian,secondary,official,language,province,friesland,dutch,english,papiamento,official,caribbean,territories",0.00,netherlands
"the four largest cities in the netherlands are amsterdam rotterdam the hague and utrecht amsterdam is the countrys most populous city and the nominal capital the hague holds the seat of the states general cabinet and supreme court the port of rotterdam is the busiest seaport in europe schiphol is the busiest airport in the netherlands and the third busiest in europe the netherlands is a founding member of the european union eurozone g nato oecd and wto as well as a part of the schengen area and the trilateral benelux union it hosts several intergovernmental organisations and international courts many of which are centred in the hague
",largest cities netherlands amsterdam rotterdam hague utrecht amsterdam countrys populous city nominal capital hague holds seat states general cabinet supreme court port rotterdam busiest seaport europe schiphol busiest airport netherlands busiest europe netherlands founding member european union eurozone g nato oecd wto schengen area trilateral benelux union hosts intergovernmental organisations international courts centred hague,8.41,"largest,cities,netherlands,amsterdam,rotterdam,hague,utrecht,amsterdam,countrys,populous,city,nominal,capital,hague,holds,seat,states,general,cabinet,supreme,court,port,rotterdam,busiest,seaport,europe,schiphol,busiest,airport,netherlands,busiest,europe,netherlands,founding,member,european,union,eurozone,g,nato,oecd,wto,schengen,area,trilateral,benelux,union,hosts,intergovernmental,organisations,international,courts,centred,hague",0.00,netherlands
"netherlands literally means lower countries in reference to its low elevation and flat topography with nearly  falling below sea level most of the areas below sea level known as polders are the result of land reclamation that began in the th century in the republican period which began in  the netherlands entered a unique era of political economic and cultural greatness ranked among the most powerful and influential in europe and the world this period is known as the dutch golden age during this time its trading companies the dutch east india company and the dutch west india company established colonies and trading posts all over the world
",netherlands literally means lower countries reference low elevation flat topography nearly falling sea level areas sea level known polders result land reclamation began th century republican period began netherlands entered unique era political economic cultural greatness ranked powerful influential europe world period known dutch golden age time trading companies dutch east india company dutch west india company established colonies trading posts world,7.10,"netherlands,literally,means,lower,countries,reference,low,elevation,flat,topography,nearly,falling,sea,level,areas,sea,level,known,polders,result,land,reclamation,began,th,century,republican,period,began,netherlands,entered,unique,era,political,economic,cultural,greatness,ranked,powerful,influential,europe,world,period,known,dutch,golden,age,time,trading,companies,dutch,east,india,company,dutch,west,india,company,established,colonies,trading,posts,world",0.00,netherlands
"with a population of  million people all living within a total area of  km of which the land area is  km the netherlands is the th most densely populated country in the world and the second most densely populated country in the european union with a density of  people per square kilometre  nevertheless it is the worlds second largest exporter of food and agricultural products by value owing to its fertile soil mild climate intensive agriculture and inventiveness
",population million people living total area km land area km netherlands th densely populated country world second densely populated country european union density people square kilometre worlds second largest exporter food agricultural products value owing fertile soil mild climate intensive agriculture inventiveness,7.71,"population,million,people,living,total,area,km,land,area,km,netherlands,th,densely,populated,country,world,second,densely,populated,country,european,union,density,people,square,kilometre,worlds,second,largest,exporter,food,agricultural,products,value,owing,fertile,soil,mild,climate,intensive,agriculture,inventiveness",0.00,netherlands
"the netherlands has been a parliamentary constitutional monarchy with a unitary structure since  the country has a tradition of pillarisation and a long record of social tolerance having legalised abortion prostitution and euthanasia along with maintaining a liberal drug policy the netherlands allowed womens suffrage in  and was the first country to legalise same sex marriage in  its mixed market advanced economy has the thirteenth highest per capita income globally the netherlands ranks among the highest in international indices of press freedom economic freedom human development and quality of life as well as happiness
",netherlands parliamentary constitutional monarchy unitary structure country tradition pillarisation long record social tolerance legalised abortion prostitution euthanasia maintaining liberal drug policy netherlands allowed womens suffrage country legalise sex marriage mixed market advanced economy thirteenth highest capita income globally netherlands ranks highest international indices press freedom economic freedom human development quality life happiness,6.68,"netherlands,parliamentary,constitutional,monarchy,unitary,structure,country,tradition,pillarisation,long,record,social,tolerance,legalised,abortion,prostitution,euthanasia,maintaining,liberal,drug,policy,netherlands,allowed,womens,suffrage,country,legalise,sex,marriage,mixed,market,advanced,economy,thirteenth,highest,capita,income,globally,netherlands,ranks,highest,international,indices,press,freedom,economic,freedom,human,development,quality,life,happiness",0.00,netherlands
"the region called the low countries  has the same toponymy place names with neder nieder nedre nether lage or low  and bas or inferior  are in use in low lying places all over europe in the case of the low countries and the netherlands the geographical location of the lower region has been more or less downstream and near the sea the romans made a distinction between the roman provinces of downstream germania inferior  and upstream germania superior the designation low returned in the th century duchy of lower lorraine which covered much of the low countries
",region called low countries toponymy place names neder nieder nedre nether lage low bas inferior use low lying places europe case low countries netherlands geographical location lower region downstream near sea romans distinction roman provinces downstream germania inferior upstream germania superior designation low returned th century duchy lower lorraine covered low countries,7.96,"region,called,low,countries,toponymy,place,names,neder,nieder,nedre,nether,lage,low,bas,inferior,use,low,lying,places,europe,case,low,countries,netherlands,geographical,location,lower,region,downstream,near,sea,romans,distinction,roman,provinces,downstream,germania,inferior,upstream,germania,superior,designation,low,returned,th,century,duchy,lower,lorraine,covered,low,countries",0.00,netherlands
"the dukes of burgundy used the term les pays de par de  for the low countries under habsburg rule les pays de par de developed in pays dembas  this was translated as neder landen in contemporary dutch official documents from a regional point of view niderlant was also the area between the meuse and the lower rhine in the late middle ages from the mid sixteenth century the low countries and the netherlands lost their original deictic meaning
",dukes burgundy term les pays de par de low countries habsburg rule les pays de par de developed pays dembas translated neder landen contemporary dutch official documents regional point view niderlant area meuse lower rhine late middle ages mid sixteenth century low countries netherlands lost original deictic meaning,6.74,"dukes,burgundy,term,les,pays,de,par,de,low,countries,habsburg,rule,les,pays,de,par,de,developed,pays,dembas,translated,neder,landen,contemporary,dutch,official,documents,regional,point,view,niderlant,area,meuse,lower,rhine,late,middle,ages,mid,sixteenth,century,low,countries,netherlands,lost,original,deictic,meaning",0.00,netherlands
"in most romance languages the term low countries is officially used as the name for the netherlands
",romance languages term low countries officially netherlands,10.00,"romance,languages,term,low,countries,officially,netherlands",0.00,netherlands
"the netherlands is informally referred to as holland in various languages including dutch and english in other languages holland is the formal name for the netherlands holland can also refer to a region within the netherlands that consists of north and south holland formerly these were a single province and earlier the county of holland a remnant of the dissolved frisian kingdom that also included parts of present day utrecht following the decline of the duchy of brabant and the county of flanders holland became the most economically and politically important county in the low countries region the emphasis on holland during the formation of the dutch republic the eighty years war and the anglo dutch wars in the th th and th centuries made holland a pars pro toto for the entire country
",netherlands informally referred holland languages including dutch english languages holland formal netherlands holland refer region netherlands consists north south holland single province earlier county holland remnant dissolved frisian kingdom included parts present day utrecht following decline duchy brabant county flanders holland economically politically important county low countries region emphasis holland formation dutch republic eighty years war anglo dutch wars th th th centuries holland pars pro toto entire country,8.17,"netherlands,informally,referred,holland,languages,including,dutch,english,languages,holland,formal,netherlands,holland,refer,region,netherlands,consists,north,south,holland,single,province,earlier,county,holland,remnant,dissolved,frisian,kingdom,included,parts,present,day,utrecht,following,decline,duchy,brabant,county,flanders,holland,economically,politically,important,county,low,countries,region,emphasis,holland,formation,dutch,republic,eighty,years,war,anglo,dutch,wars,th,th,th,centuries,holland,pars,pro,toto,entire,country",0.00,netherlands
"dutch is used as the adjective for the netherlands as in well as the demonym the origins of the word go back to proto germanic iudiskaz latinised into theodiscus meaning popular or of the people akin to old dutch dietsch old high german duitsch and old english eodisc all meaning  the common  people at first the english language used dutch to refer to any or all speakers of west germanic languages gradually its meaning shifted to the west germanic people they had the most contact with because of their geographical proximity and rivalry in trade and overseas territories
",dutch adjective netherlands demonym origins word proto germanic iudiskaz latinised theodiscus meaning popular people akin old dutch dietsch old high german duitsch old english eodisc meaning common people english language dutch refer speakers west germanic languages gradually meaning shifted west germanic people contact geographical proximity rivalry trade overseas territories,8.52,"dutch,adjective,netherlands,demonym,origins,word,proto,germanic,iudiskaz,latinised,theodiscus,meaning,popular,people,akin,old,dutch,dietsch,old,high,german,duitsch,old,english,eodisc,meaning,common,people,english,language,dutch,refer,speakers,west,germanic,languages,gradually,meaning,shifted,west,germanic,people,contact,geographical,proximity,rivalry,trade,overseas,territories",0.00,netherlands
