Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"new delhi  hindi ni dli na dill is the capital of india and a part of the national capital territory of delhi  new delhi is the seat of all three branches of the government of india hosting the rashtrapati bhavan parliament house and the supreme court of india new delhi is a municipality within the nct administered by the ndmc which covers mostly lutyens delhi and a few adjacent areas the municipal area is part of a larger administrative district the new delhi district
",new delhi hindini dli na dill capital india national capital territory delhi new delhi seat branches government india hosting rashtrapati bhavan parliament house supreme court india new delhi municipality nct administered ndmc covers lutyens delhi adjacent areas municipal area larger administrative district new delhi district,8.02,"new,delhi,hindini,dli,na,dill,capital,india,national,capital,territory,delhi,new,delhi,seat,branches,government,india,hosting,rashtrapati,bhavan,parliament,house,supreme,court,india,new,delhi,municipality,nct,administered,ndmc,covers,lutyens,delhi,adjacent,areas,municipal,area,larger,administrative,district,new,delhi,district",0.00,delhi
"although colloquially delhi and new delhi are used interchangeably to refer to the national capital territory of delhi both are distinct entities with both the municipality and the new delhi district forming a relatively small part of the megacity of delhi the national capital region is a much larger entity comprising the entire nct along with adjoining districts in neighbouring states including ghaziabad noida gurgaon and faridabad
",colloquially delhi new delhi interchangeably refer national capital territory delhi distinct entities municipality new delhi district forming relatively small megacity delhi national capital region larger entity comprising entire nct adjoining districts neighbouring states including ghaziabad noida gurgaon faridabad,6.64,"colloquially,delhi,new,delhi,interchangeably,refer,national,capital,territory,delhi,distinct,entities,municipality,new,delhi,district,forming,relatively,small,megacity,delhi,national,capital,region,larger,entity,comprising,entire,nct,adjoining,districts,neighbouring,states,including,ghaziabad,noida,gurgaon,faridabad",0.00,delhi
"the foundation stone of new delhi was laid by george v during the delhi durbar of  it was designed by british architects edwin lutyens and herbert baker the new capital was inaugurated on  february  by viceroy and governor general irwin
",foundation stone new delhi laid george v delhi durbar designed british architects edwin lutyens herbert baker new capital inaugurated february viceroy governor general irwin,6.75,"foundation,stone,new,delhi,laid,george,v,delhi,durbar,designed,british,architects,edwin,lutyens,herbert,baker,new,capital,inaugurated,february,viceroy,governor,general,irwin",0.00,delhi
"until december  calcutta was the capital of india during the british rule however it had become the centre of the nationalist movements since the late nineteenth century which led to the partition of bengal by viceroy lord curzon this created massive political and religious upsurge including political assassinations of british officials in calcutta the anti colonial sentiments amongst the public led to a complete boycott of british goods which forced the colonial government to reunite bengal and immediately shift the capital to new delhi
",december calcutta capital india british rule centre nationalist movements late nineteenth century led partition bengal viceroy lord curzon created massive political religious upsurge including political assassinations british officials calcutta anti colonial sentiments public led complete boycott british goods forced colonial government reunite bengal immediately shift capital new delhi,6.62,"december,calcutta,capital,india,british,rule,centre,nationalist,movements,late,nineteenth,century,led,partition,bengal,viceroy,lord,curzon,created,massive,political,religious,upsurge,including,political,assassinations,british,officials,calcutta,anti,colonial,sentiments,public,led,complete,boycott,british,goods,forced,colonial,government,reunite,bengal,immediately,shift,capital,new,delhi",0.00,delhi
"old delhi had served as the political and financial centre of several empires of ancient india and the delhi sultanate most notably of the mughal empire from  to  during the early s a proposal was made to the british administration to shift the capital of the british indian empire as india was officially named from calcutta on the east coast to delhi the government of british india felt that it would be logistically easier to administer india from delhi which is in the centre of northern india the land for building the new city of delhi was acquired under the land acquisition act 
",old delhi served political financial centre empires ancient india delhi sultanate notably mughal empire early proposal british administration shift capital british indian empire india officially named calcutta east coast delhi government british india felt logistically easier administer india delhi centre northern india land building new city delhi acquired land acquisition act,8.84,"old,delhi,served,political,financial,centre,empires,ancient,india,delhi,sultanate,notably,mughal,empire,early,proposal,british,administration,shift,capital,british,indian,empire,india,officially,named,calcutta,east,coast,delhi,government,british,india,felt,logistically,easier,administer,india,delhi,centre,northern,india,land,building,new,city,delhi,acquired,land,acquisition,act",0.00,delhi
"during the delhi durbar on  december  george v emperor of india while laying the foundation stone for the viceroys residence in the coronation park kingsway camp declared that the capital of the raj would be shifted from calcutta to delhi three days later george v and his consort queen mary laid the foundation stone of new delhi at kingsway camp large parts of new delhi were planned by edwin lutyens who first visited delhi in  and herbert baker both leading th century british architects the contract was given to sobha singh the original plan called for its construction in tughlaqabad inside the tughlaqabad fort but this was given up because of the delhi calcutta trunk line that passed through the fortcitation needed construction really began after world war i and was completed by  the gardening and planning of plantations was led by aep griessen and later william mustoe the city that was later dubbed lutyens delhi was inaugurated in ceremonies beginning on  february  by viceroy lord irwin lutyens designed the central administrative area of the city as a testament to britains imperial aspirations
",delhi durbar december george v emperor india laying foundation stone viceroys residence coronation park kingsway camp declared capital raj shifted calcutta delhi days later george v consort queen mary laid foundation stone new delhi kingsway camp large parts new delhi planned edwin lutyens visited delhi herbert baker leading th century british architects contract given sobha singh original plan called construction tughlaqabad inside tughlaqabad fort given delhi calcutta trunk line passed fortcitation needed construction began world war completed gardening planning plantations led aep griessen later william mustoe city later dubbed lutyens delhi inaugurated ceremonies beginning february viceroy lord irwin lutyens designed central administrative area city testament britains imperial aspirations,6.74,"delhi,durbar,december,george,v,emperor,india,laying,foundation,stone,viceroys,residence,coronation,park,kingsway,camp,declared,capital,raj,shifted,calcutta,delhi,days,later,george,v,consort,queen,mary,laid,foundation,stone,new,delhi,kingsway,camp,large,parts,new,delhi,planned,edwin,lutyens,visited,delhi,herbert,baker,leading,th,century,british,architects,contract,given,sobha,singh,original,plan,called,construction,tughlaqabad,inside,tughlaqabad,fort,given,delhi,calcutta,trunk,line,passed,fortcitation,needed,construction,began,world,war,completed,gardening,planning,plantations,led,aep,griessen,later,william,mustoe,city,later,dubbed,lutyens,delhi,inaugurated,ceremonies,beginning,february,viceroy,lord,irwin,lutyens,designed,central,administrative,area,city,testament,britains,imperial,aspirations",0.00,delhi
"soon lutyens started considering other places indeed the delhi town planning committee set up to plan the new imperial capital with george swinton as chairman and john a brodie and lutyens as members submitted reports for both north and south sites however it was rejected by the viceroy when the cost of acquiring the necessary properties was found to be too high the central axis of new delhi which today faces east at india gate was previously meant to be a northsouth axis linking the viceroys house at one end with paharganj at the other eventually owing to space constraints and the presence of a large number of heritage sites on the north side the committee settled on the south site a site atop the raisina hill formerly raisina village a meo village was chosen for the rashtrapati bhawan then known as the viceroys house the reason for this choice was that the hill lay directly opposite the dinapanah citadel which was also considered the site of indraprastha the ancient region of delhi subsequently the foundation stone was shifted from the site of delhi durbar of  where the coronation pillar stood and embedded in the walls of the forecourt of the secretariat the rajpath also known as kings way stretched from the india gate to the rashtrapati bhawan the secretariat building the two blocks of which flank the rashtrapati bhawan and houses ministries of the government of india and the parliament house both designed by baker are located at the sansad marg and run parallel to the rajpath
",soon lutyens started considering places delhi town planning committee set plan new imperial capital george swinton chairman john brodie lutyens members submitted reports north south sites rejected viceroy cost acquiring necessary properties found high central axis new delhi today faces east india gate previously meant northsouth axis linking viceroys house end paharganj eventually owing space constraints presence large number heritage sites north committee settled south site site atop raisina hill raisina village meo village chosen rashtrapati bhawan known viceroys house reason choice hill lay directly opposite dinapanah citadel considered site indraprastha ancient region delhi subsequently foundation stone shifted site delhi durbar coronation pillar stood embedded walls forecourt secretariat rajpath known kings way stretched india gate rashtrapati bhawan secretariat building blocks flank rashtrapati bhawan houses ministries government india parliament house designed baker located sansad marg run parallel rajpath,8.04,"soon,lutyens,started,considering,places,delhi,town,planning,committee,set,plan,new,imperial,capital,george,swinton,chairman,john,brodie,lutyens,members,submitted,reports,north,south,sites,rejected,viceroy,cost,acquiring,necessary,properties,found,high,central,axis,new,delhi,today,faces,east,india,gate,previously,meant,northsouth,axis,linking,viceroys,house,end,paharganj,eventually,owing,space,constraints,presence,large,number,heritage,sites,north,committee,settled,south,site,site,atop,raisina,hill,raisina,village,meo,village,chosen,rashtrapati,bhawan,known,viceroys,house,reason,choice,hill,lay,directly,opposite,dinapanah,citadel,considered,site,indraprastha,ancient,region,delhi,subsequently,foundation,stone,shifted,site,delhi,durbar,coronation,pillar,stood,embedded,walls,forecourt,secretariat,rajpath,known,kings,way,stretched,india,gate,rashtrapati,bhawan,secretariat,building,blocks,flank,rashtrapati,bhawan,houses,ministries,government,india,parliament,house,designed,baker,located,sansad,marg,run,parallel,rajpath",0.00,delhi
"in the south land up to safdarjungs tomb was acquired to create what is today known as lutyens bungalow zone before construction could begin on the rocky ridge of raisina hill a circular railway line around the council house  called the imperial delhi railway was built to transport construction material and workers for the next twenty years the last stumbling block was the agra delhi railway line that cut right through the site earmarked for the hexagonal all india war memorial  and kingsway  which was a problem because the old delhi railway station served the entire city at that time the line was shifted to run along the yamuna river and it began operating in  the new delhi railway station opened in  with a single platform at ajmeri gate near paharganj and was completed in time for the citys inauguration in  as construction of the viceroys house  central secretariat parliament house and all india war memorial  was winding down the building of a shopping district and a new plaza connaught place began in  and was completed by  named after prince arthur st duke of connaught  it was designed by robert tor russell chief architect to the public works department 
",south land safdarjungs tomb acquired create today known lutyens bungalow zone construction begin rocky ridge raisina hill circular railway line council house called imperial delhi railway built transport construction material workers years stumbling block agra delhi railway line cut right site earmarked hexagonal india war memorial kingsway problem old delhi railway station served entire city time line shifted run yamuna river began operating new delhi railway station opened single platform ajmeri gate near paharganj completed time citys inauguration construction viceroys house central secretariat parliament house india war memorial winding building shopping district new plaza connaught place began completed named prince arthur st duke connaught designed robert tor russell chief architect public works department,7.31,"south,land,safdarjungs,tomb,acquired,create,today,known,lutyens,bungalow,zone,construction,begin,rocky,ridge,raisina,hill,circular,railway,line,council,house,called,imperial,delhi,railway,built,transport,construction,material,workers,years,stumbling,block,agra,delhi,railway,line,cut,right,site,earmarked,hexagonal,india,war,memorial,kingsway,problem,old,delhi,railway,station,served,entire,city,time,line,shifted,run,yamuna,river,began,operating,new,delhi,railway,station,opened,single,platform,ajmeri,gate,near,paharganj,completed,time,citys,inauguration,construction,viceroys,house,central,secretariat,parliament,house,india,war,memorial,winding,building,shopping,district,new,plaza,connaught,place,began,completed,named,prince,arthur,st,duke,connaught,designed,robert,tor,russell,chief,architect,public,works,department",0.00,delhi
"after the capital of india moved to delhi a temporary secretariat building was constructed in a few months in  in north delhi most of the government offices of the new capital moved here from the old secretariat in old delhi  a decade before the new capital was inaugurated in  many employees were brought into the new capital from distant parts of india including the bengal presidency and madras presidency subsequently housing for them has developed around gole market area in the s built in the s to house government employees with bungalows for senior officials in the nearby lodhi estate area lodhi colony near historic lodhi gardens was the last residential areas built by the british raj
",capital india moved delhi temporary secretariat building constructed months north delhi government offices new capital moved old secretariat old delhi decade new capital inaugurated employees brought new capital distant parts india including bengal presidency madras presidency subsequently housing developed gole market area built house government employees bungalows senior officials nearby lodhi estate area lodhi colony near historic lodhi gardens residential areas built british raj,7.61,"capital,india,moved,delhi,temporary,secretariat,building,constructed,months,north,delhi,government,offices,new,capital,moved,old,secretariat,old,delhi,decade,new,capital,inaugurated,employees,brought,new,capital,distant,parts,india,including,bengal,presidency,madras,presidency,subsequently,housing,developed,gole,market,area,built,house,government,employees,bungalows,senior,officials,nearby,lodhi,estate,area,lodhi,colony,near,historic,lodhi,gardens,residential,areas,built,british,raj",0.00,delhi
"after india gained independence in  limited autonomy was conferred to new delhi and was administered by a chief commissioner appointed by the government of india in  delhi was converted into a union territory and eventually the chief commissioner was replaced by a lieutenant governor the constitution  act  declared the union territory of delhi to be formally known as national capital territory of delhi a system was introduced under which the elected government was given wide powers excluding law and order which remained with the central government the actual enforcement of the legislation came in 
",india gained independence limited autonomy conferred new delhi administered chief commissioner appointed government india delhi converted union territory eventually chief commissioner replaced lieutenant governor constitution act declared union territory delhi formally known national capital territory delhi system introduced elected government given wide powers excluding law order remained central government actual enforcement legislation came,6.78,"india,gained,independence,limited,autonomy,conferred,new,delhi,administered,chief,commissioner,appointed,government,india,delhi,converted,union,territory,eventually,chief,commissioner,replaced,lieutenant,governor,constitution,act,declared,union,territory,delhi,formally,known,national,capital,territory,delhi,system,introduced,elected,government,given,wide,powers,excluding,law,order,remained,central,government,actual,enforcement,legislation,came",0.00,delhi
