Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"new england is a region comprising six states in the northeastern united states connecticut maine massachusetts new hampshire rhode island and vermont it is bordered by the state of new york to the west and by the canadian provinces of new brunswick to the northeast and quebec to the north the atlantic ocean is to the east and southeast and long island sound is to the southwest boston is new englands largest city as well as the capital of massachusetts greater boston is the largest metropolitan area with nearly a third of new englands population this area includes worcester massachusetts  manchester new hampshire  and providence rhode island 
",new england region comprising states northeastern united states connecticut maine massachusetts new hampshire rhode island vermont bordered state new york west canadian provinces new brunswick northeast quebec north atlantic ocean east southeast long island sound southwest boston new englands largest city capital massachusetts greater boston largest metropolitan area nearly new englands population area includes worcester massachusetts manchester new hampshire providence rhode island,6.91,"new,england,region,comprising,states,northeastern,united,states,connecticut,maine,massachusetts,new,hampshire,rhode,island,vermont,bordered,state,new,york,west,canadian,provinces,new,brunswick,northeast,quebec,north,atlantic,ocean,east,southeast,long,island,sound,southwest,boston,new,englands,largest,city,capital,massachusetts,greater,boston,largest,metropolitan,area,nearly,new,englands,population,area,includes,worcester,massachusetts,manchester,new,hampshire,providence,rhode,island",0.00,england
"in  the pilgrims puritan separatists from england established plymouth colony the second successful english settlement in america following the jamestown settlement in virginia founded in  ten years later more puritans established massachusetts bay colony north of plymouth colony over the next  years people in the region fought in four french and indian wars until the english colonists and their iroquois allies defeated the french and their algonquian allies in america in  the town of salem massachusetts and surrounding areas experienced the salem witch trials one of the most infamous cases of mass hysteria in american history
",pilgrims puritan separatists england established plymouth colony second successful english settlement america following jamestown settlement virginia founded years later puritans established massachusetts bay colony north plymouth colony years people region fought french indian wars english colonists iroquois allies defeated french algonquian allies america town salem massachusetts surrounding areas experienced salem witch trials infamous cases mass hysteria american history,5.98,"pilgrims,puritan,separatists,england,established,plymouth,colony,second,successful,english,settlement,america,following,jamestown,settlement,virginia,founded,years,later,puritans,established,massachusetts,bay,colony,north,plymouth,colony,years,people,region,fought,french,indian,wars,english,colonists,iroquois,allies,defeated,french,algonquian,allies,america,town,salem,massachusetts,surrounding,areas,experienced,salem,witch,trials,infamous,cases,mass,hysteria,american,history",0.00,england
"in the late th century political leaders from the new england colonies initiated resistance to britains taxes without the consent of the colonists residents of rhode island captured and burned a british ship which was enforcing unpopular trade restrictions and residents of boston threw british tea into the harbor britain responded with a series of punitive laws stripping massachusetts of self government which the colonists called the intolerable acts these confrontations led to the first battles of the american revolutionary war in  and the expulsion of the british authorities from the region in spring  the region played a prominent role in the movement to abolish slavery in the united states and it was the first region of the yous transformed by the industrial revolution initially centered on the blackstone and merrimack river valleys
",late th century political leaders new england colonies initiated resistance britains taxes consent colonists residents rhode island captured burned british ship enforcing unpopular trade restrictions residents boston threw british tea harbor britain responded series punitive laws stripping massachusetts self government colonists called intolerable acts confrontations led battles american revolutionary war expulsion british authorities region spring region played prominent role movement abolish slavery united states region yous transformed industrial revolution initially centered blackstone merrimack river valleys,6.84,"late,th,century,political,leaders,new,england,colonies,initiated,resistance,britains,taxes,consent,colonists,residents,rhode,island,captured,burned,british,ship,enforcing,unpopular,trade,restrictions,residents,boston,threw,british,tea,harbor,britain,responded,series,punitive,laws,stripping,massachusetts,self,government,colonists,called,intolerable,acts,confrontations,led,battles,american,revolutionary,war,expulsion,british,authorities,region,spring,region,played,prominent,role,movement,abolish,slavery,united,states,region,yous,transformed,industrial,revolution,initially,centered,blackstone,merrimack,river,valleys",0.00,england
"the physical geography of new england is diverse southeastern new england is covered by a narrow coastal plain while the western and northern regions are dominated by the rolling hills and worn down peaks of the northern end of the appalachian mountains the atlantic fall line lies close to the coast which enabled numerous cities to take advantage of water power along the many rivers such as the connecticut river which bisects the region from north to south
",physical geography new england diverse southeastern new england covered narrow coastal plain western northern regions dominated rolling hills worn peaks northern end appalachian mountains atlantic fall line lies close coast enabled numerous cities advantage water power rivers connecticut river bisects region north south,7.59,"physical,geography,new,england,diverse,southeastern,new,england,covered,narrow,coastal,plain,western,northern,regions,dominated,rolling,hills,worn,peaks,northern,end,appalachian,mountains,atlantic,fall,line,lies,close,coast,enabled,numerous,cities,advantage,water,power,rivers,connecticut,river,bisects,region,north,south",0.00,england
"each state is generally subdivided into small municipalities known as towns many of which are governed by town meetings while unincorporated areas do exist they are limited to roughly half of maine along with some isolated sparsely populated northern regions of new hampshire and vermont new england is one of the yous census bureaus nine regional divisions and the only multi state region with clear consistent boundaries it maintains a strong sense of cultural identity although the terms of this identity are often contrasted combining puritanism with liberalism agrarian life with industry and isolation with immigration
",state generally subdivided small municipalities known towns governed town meetings unincorporated areas exist limited roughly half maine isolated sparsely populated northern regions new hampshire vermont new england yous census bureaus regional divisions multi state region clear consistent boundaries maintains strong sense cultural identity terms identity contrasted combining puritanism liberalism agrarian life industry isolation immigration,6.72,"state,generally,subdivided,small,municipalities,known,towns,governed,town,meetings,unincorporated,areas,exist,limited,roughly,half,maine,isolated,sparsely,populated,northern,regions,new,hampshire,vermont,new,england,yous,census,bureaus,regional,divisions,multi,state,region,clear,consistent,boundaries,maintains,strong,sense,cultural,identity,terms,identity,contrasted,combining,puritanism,liberalism,agrarian,life,industry,isolation,immigration",0.00,england
"the earliest known inhabitants of new england were native american who spoke a variety of the eastern algonquian languages prominent tribes included the abenakis mikmaq penobscot pequots mohegans narragansetts pocumtucks and wampanoag prior to the arrival of european colonists the western abenakis inhabited what is modern new hampshire new york and vermont as well as parts of quebec and western maine their principal town was norridgewock in present day maine
",earliest known inhabitants new england native american spoke variety eastern algonquian languages prominent tribes included abenakis mikmaq penobscot pequots mohegans narragansetts pocumtucks wampanoag prior arrival european colonists western abenakis inhabited modern new hampshire new york vermont parts quebec western maine principal town norridgewock present day maine,5.18,"earliest,known,inhabitants,new,england,native,american,spoke,variety,eastern,algonquian,languages,prominent,tribes,included,abenakis,mikmaq,penobscot,pequots,mohegans,narragansetts,pocumtucks,wampanoag,prior,arrival,european,colonists,western,abenakis,inhabited,modern,new,hampshire,new,york,vermont,parts,quebec,western,maine,principal,town,norridgewock,present,day,maine",0.00,england
"on april   king james i of england issued a charter for the virginia company which comprised the london company and the plymouth company these two privately funded ventures were intended to claim land for england to conduct trade and to return a profit in  the pilgrims arrived on the mayflower and established plymouth colony in massachusetts beginning the history of permanent european colonization in new england
",april king james england issued charter virginia company comprised london company plymouth company privately funded ventures intended claim land england conduct trade return profit pilgrims arrived mayflower established plymouth colony massachusetts beginning history permanent european colonization new england,6.73,"april,king,james,england,issued,charter,virginia,company,comprised,london,company,plymouth,company,privately,funded,ventures,intended,claim,land,england,conduct,trade,return,profit,pilgrims,arrived,mayflower,established,plymouth,colony,massachusetts,beginning,history,permanent,european,colonization,new,england",0.00,england
"in  english explorer john smith named the region new england the name was officially sanctioned on november   when the charter of the virginia company of plymouth was replaced by a royal charter for the plymouth council for new england a joint stock company established to colonize and govern the region the pilgrims wrote and signed the mayflower compact before leaving the ship and it became their first governing document the massachusetts bay colony came to dominate the area and was established by royal charter in  with its major town and port of boston established in 
",english explorer john smith named region new england officially sanctioned november charter virginia company plymouth replaced royal charter plymouth council new england joint stock company established colonize govern region pilgrims wrote signed mayflower compact leaving ship governing document massachusetts bay colony came dominate area established royal charter major town port boston established,7.47,"english,explorer,john,smith,named,region,new,england,officially,sanctioned,november,charter,virginia,company,plymouth,replaced,royal,charter,plymouth,council,new,england,joint,stock,company,established,colonize,govern,region,pilgrims,wrote,signed,mayflower,compact,leaving,ship,governing,document,massachusetts,bay,colony,came,dominate,area,established,royal,charter,major,town,port,boston,established",0.00,england
"on october   the massachusetts general court decreed that for the prevention of clipping of all such pieces of money as shall be coined with in this jurisdiction it is ordered by this courte and the authorite thereof that henceforth all pieces of money coined shall have a double ring on either side with this inscription massachusetts and a tree in the center on one side and new england and the yeare of our lord on the other side these coins were the famous tree pieces there were willow tree shillings oak tree shillings and pine tree shillings minted by john hull and robert sanderson in the hull mint on summer street in boston the pine tree was the last to be coined and today there are specimens in existence which is probably why all of these early coins are referred to as pine tree shillings  the hull mint was forced to close in  in  the charter of massachusetts was revoked by the king charles ii
",october massachusetts general court decreed prevention clipping pieces money shall coined jurisdiction ordered courte authorite thereof henceforth pieces money coined shall double ring inscription massachusetts tree center new england yeare lord coins famous tree pieces willow tree shillings oak tree shillings pine tree shillings minted john hull robert sanderson hull mint summer street boston pine tree coined today specimens existence probably early coins referred pine tree shillings hull mint forced close charter massachusetts revoked king charles ii,9.67,"october,massachusetts,general,court,decreed,prevention,clipping,pieces,money,shall,coined,jurisdiction,ordered,courte,authorite,thereof,henceforth,pieces,money,coined,shall,double,ring,inscription,massachusetts,tree,center,new,england,yeare,lord,coins,famous,tree,pieces,willow,tree,shillings,oak,tree,shillings,pine,tree,shillings,minted,john,hull,robert,sanderson,hull,mint,summer,street,boston,pine,tree,coined,today,specimens,existence,probably,early,coins,referred,pine,tree,shillings,hull,mint,forced,close,charter,massachusetts,revoked,king,charles,ii",0.00,england
"relationships between colonists and local indian tribes alternated between peace and armed skirmishes the bloodiest of which was the pequot war in  which resulted in the mystic massacre on may   the colonies of massachusetts bay plymouth new haven and connecticut joined in a loose compact called the new england confederation  the confederation was designed largely to coordinate mutual defense and it gained some importance during king philips war which pitted the colonists and their indian allies against a widespread indian uprising from june  through april  resulting in killings and massacres on both sides
",relationships colonists local indian tribes alternated peace armed skirmishes bloodiest pequot war resulted mystic massacre colonies massachusetts bay plymouth new connecticut joined loose compact called new england confederation confederation designed largely coordinate mutual defense gained importance king philips war pitted colonists indian allies widespread indian uprising june april resulting killings massacres sides,6.68,"relationships,colonists,local,indian,tribes,alternated,peace,armed,skirmishes,bloodiest,pequot,war,resulted,mystic,massacre,colonies,massachusetts,bay,plymouth,new,connecticut,joined,loose,compact,called,new,england,confederation,confederation,designed,largely,coordinate,mutual,defense,gained,importance,king,philips,war,pitted,colonists,indian,allies,widespread,indian,uprising,june,april,resulting,killings,massacres,sides",0.00,england
"during the next  years there were six colonial wars that took place primarily between new england and new france during which new england was allied with the iroquois confederacy and new france was allied with the wabanaki confederacy mainland nova scotia came under the control of new england after the siege of port royal  but both new brunswick and most of maine remained contested territory between new england and new france the british eventually defeated the french in  opening the connecticut river valley for british settlement into western new hampshire and vermont
",years colonial wars took place primarily new england new france new england allied iroquois confederacy new france allied wabanaki confederacy mainland nova scotia came control new england siege port royal new brunswick maine remained contested territory new england new france british eventually defeated french opening connecticut river valley british settlement western new hampshire vermont,6.60,"years,colonial,wars,took,place,primarily,new,england,new,france,new,england,allied,iroquois,confederacy,new,france,allied,wabanaki,confederacy,mainland,nova,scotia,came,control,new,england,siege,port,royal,new,brunswick,maine,remained,contested,territory,new,england,new,france,british,eventually,defeated,french,opening,connecticut,river,valley,british,settlement,western,new,hampshire,vermont",0.00,england
"the new england colonies were settled primarily by farmers who became relatively self sufficient later new englands economy began to focus on crafts and trade aided by the puritan work ethic in contrast to the southern colonies which focused on agricultural production while importing finished goods from england
",new england colonies settled primarily farmers relatively self sufficient later new englands economy began focus crafts trade aided puritan work ethic contrast southern colonies focused agricultural production importing finished goods england,5.43,"new,england,colonies,settled,primarily,farmers,relatively,self,sufficient,later,new,englands,economy,began,focus,crafts,trade,aided,puritan,work,ethic,contrast,southern,colonies,focused,agricultural,production,importing,finished,goods,england",0.00,england
"european colonization in the region also led to the enslavement of native americans particularly in the aftermath of conflicts between indians and colonists such as the pequot war and king williams war up until  native americans comprised a majority of the non white labor force in colonial new england
",european colonization region led enslavement native americans particularly aftermath conflicts indians colonists pequot war king williams war native americans comprised majority non white labor force colonial new england,6.93,"european,colonization,region,led,enslavement,native,americans,particularly,aftermath,conflicts,indians,colonists,pequot,war,king,williams,war,native,americans,comprised,majority,non,white,labor,force,colonial,new,england",0.00,england
"by  king james ii had become concerned about the increasingly independent ways of the colonies including their self governing charters their open flouting of the navigation acts and their growing military power he therefore established the dominion of new england an administrative union comprising all of the new england colonies in  the former dutch colonies of new york east new jersey and west new jersey were added to the dominion the union was imposed from the outside and contrary to the rooted democratic tradition of the region and it was highly unpopular among the colonists
",king james ii concerned increasingly independent ways colonies including self governing charters open flouting navigation acts growing military power established dominion new england administrative union comprising new england colonies dutch colonies new york east new jersey west new jersey added dominion union imposed outside contrary rooted democratic tradition region highly unpopular colonists,7.35,"king,james,ii,concerned,increasingly,independent,ways,colonies,including,self,governing,charters,open,flouting,navigation,acts,growing,military,power,established,dominion,new,england,administrative,union,comprising,new,england,colonies,dutch,colonies,new,york,east,new,jersey,west,new,jersey,added,dominion,union,imposed,outside,contrary,rooted,democratic,tradition,region,highly,unpopular,colonists",0.00,england
"after the glorious revolution in  bostonians overthrew royal governor sir edmund andros they seized dominion officials and adherents to the church of england during a popular and bloodless uprising these tensions eventually culminated in the american revolution boiling over with the outbreak of the war of american independence in  the first battles of the war were fought in lexington and concord massachusetts later leading to the siege of boston by continental troops in march  british forces were compelled to retreat from boston
",glorious revolution bostonians overthrew royal governor sir edmund andros seized dominion officials adherents church england popular bloodless uprising tensions eventually culminated american revolution boiling outbreak war american independence battles war fought lexington concord massachusetts later leading siege boston continental troops march british forces compelled retreat boston,6.73,"glorious,revolution,bostonians,overthrew,royal,governor,sir,edmund,andros,seized,dominion,officials,adherents,church,england,popular,bloodless,uprising,tensions,eventually,culminated,american,revolution,boiling,outbreak,war,american,independence,battles,war,fought,lexington,concord,massachusetts,later,leading,siege,boston,continental,troops,march,british,forces,compelled,retreat,boston",0.00,england
