Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"new mexico  navajo yoot hahoodzo navajo pronunciation jt hhts is a state in the southwestern united states it is one of the mountain states of the southern rocky mountains sharing the four corners region of the western yous with utah colorado and arizona and bordering texas to the east and southeast oklahoma to the northeast and the mexican states of chihuahua and sonora to the south new mexicos largest city is albuquerque and its state capital is santa fe which is the oldest state capital in the yous being founded in  as the government seat of nuevo mxico in new spain
",new mexico navajo yoot hahoodzo navajo pronunciationjt hhts state southwestern united states mountain states southern rocky mountains sharing corners region western yous utah colorado arizona bordering texas east southeast oklahoma northeast mexican states chihuahua sonora south new mexicos largest city albuquerque state capital santa fe oldest state capital yous founded government seat nuevo mxico new spain,7.64,"new,mexico,navajo,yoot,hahoodzo,navajo,pronunciationjt,hhts,state,southwestern,united,states,mountain,states,southern,rocky,mountains,sharing,corners,region,western,yous,utah,colorado,arizona,bordering,texas,east,southeast,oklahoma,northeast,mexican,states,chihuahua,sonora,south,new,mexicos,largest,city,albuquerque,state,capital,santa,fe,oldest,state,capital,yous,founded,government,seat,nuevo,mxico,new,spain",0.00,mexico
"new mexico is the fifth largest of the fifty states but with just over  million residents ranks th in population and th in population densitynote  its climate and geography are highly varied ranging from forested mountains to sparse deserts the northern and eastern regions exhibit a colder alpine climate while the west and south are warmer and more arid the rio grande and its fertile valley runs from north to south creating a riparian climate through the center of the state that supports a bosque habitat and distinct albuquerque basin climate onethird of new mexicos land is federally owned and the state hosts many protected wilderness areas and national monuments including three unesco world heritage sites the most of any state
",new mexico fifth largest states million residents ranks th population th population densitynote climate geography highly varied ranging forested mountains sparse deserts northern eastern regions exhibit colder alpine climate west south warmer arid rio grande fertile valley runs north south creating riparian climate center state supports bosque habitat distinct albuquerque basin climate onethird new mexicos land federally owned state hosts protected wilderness areas national monuments including unesco world heritage sites state,6.78,"new,mexico,fifth,largest,states,million,residents,ranks,th,population,th,population,densitynote,climate,geography,highly,varied,ranging,forested,mountains,sparse,deserts,northern,eastern,regions,exhibit,colder,alpine,climate,west,south,warmer,arid,rio,grande,fertile,valley,runs,north,south,creating,riparian,climate,center,state,supports,bosque,habitat,distinct,albuquerque,basin,climate,onethird,new,mexicos,land,federally,owned,state,hosts,protected,wilderness,areas,national,monuments,including,unesco,world,heritage,sites,state",0.00,mexico
"new mexicos economy is highly diversified including cattle ranching agriculture lumber scientific and technological research tourism and the arts especially textiles and visual arts the state has significant sectors in mining oil and gas aerospace media and film its total gross domestic product  in  was  billion with a gdp per capita of roughly  state tax policy is characterized by low to moderate taxation of resident personal income by national standards with tax credits exemptions and special considerations for military personnel and favorable industries due to its large area and economic climate new mexico has a significant yous military presence including white sands missile range and strategically valuable federal research centers such as sandia and los alamos national laboratories the state hosted several key facilities of the manhattan project which developed the worlds first atomic bomb and was the site of the first nuclear test trinity
",new mexicos economy highly diversified including cattle ranching agriculture lumber scientific technological research tourism arts especially textiles visual arts state significant sectors mining oil gas aerospace media film total gross domestic product billion gdp capita roughly state tax policy characterized low moderate taxation resident personal income national standards tax credits exemptions special considerations military personnel favorable industries large area economic climate new mexico significant yous military presence including white sands missile range strategically valuable federal research centers sandia los alamos national laboratories state hosted key facilities manhattan project developed worlds atomic bomb site nuclear test trinity,5.11,"new,mexicos,economy,highly,diversified,including,cattle,ranching,agriculture,lumber,scientific,technological,research,tourism,arts,especially,textiles,visual,arts,state,significant,sectors,mining,oil,gas,aerospace,media,film,total,gross,domestic,product,billion,gdp,capita,roughly,state,tax,policy,characterized,low,moderate,taxation,resident,personal,income,national,standards,tax,credits,exemptions,special,considerations,military,personnel,favorable,industries,large,area,economic,climate,new,mexico,significant,yous,military,presence,including,white,sands,missile,range,strategically,valuable,federal,research,centers,sandia,los,alamos,national,laboratories,state,hosted,key,facilities,manhattan,project,developed,worlds,atomic,bomb,site,nuclear,test,trinity",0.00,mexico
"in prehistoric times new mexico was home to ancestral puebloans mogollon as well as ancestors of the comanche and ute people navajos and apaches entered the state towards the end of the th century spanish explorers and settlers arrived in the th century from present day mexico naming the territory nuevo mxico after the aztec legends about the pueblos of yancuic mexihco a new mexico which evolved into the stories of the seven cities of gold isolated by its rugged terrain and the relative dominance of its indigenous people new mexico was a peripheral part of the viceroyalty of new spain following mexican independence in  it became an autonomous region of mexico albeit increasingly threatened by the centralizing policies of the mexican government culminating in the revolt of  at the same time the region became more economically dependent on the united states at the conclusion of the mexicanamerican war in  the yous annexed new mexico as part of the larger new mexico territory it played a central role in yous westward expansion and was admitted to the union as the th state on january  
",prehistoric times new mexico home ancestral puebloans mogollon ancestors comanche ute people navajos apaches entered state end th century spanish explorers settlers arrived th century present day mexico naming territory nuevo mxico aztec legends pueblos yancuic mexihco new mexico evolved stories seven cities gold isolated rugged terrain relative dominance indigenous people new mexico peripheral viceroyalty new spain following mexican independence autonomous region mexico albeit increasingly threatened centralizing policies mexican government culminating revolt time region economically dependent united states conclusion mexicanamerican war yous annexed new mexico larger new mexico territory played central role yous westward expansion admitted union th state january,7.64,"prehistoric,times,new,mexico,home,ancestral,puebloans,mogollon,ancestors,comanche,ute,people,navajos,apaches,entered,state,end,th,century,spanish,explorers,settlers,arrived,th,century,present,day,mexico,naming,territory,nuevo,mxico,aztec,legends,pueblos,yancuic,mexihco,new,mexico,evolved,stories,seven,cities,gold,isolated,rugged,terrain,relative,dominance,indigenous,people,new,mexico,peripheral,viceroyalty,new,spain,following,mexican,independence,autonomous,region,mexico,albeit,increasingly,threatened,centralizing,policies,mexican,government,culminating,revolt,time,region,economically,dependent,united,states,conclusion,mexicanamerican,war,yous,annexed,new,mexico,larger,new,mexico,territory,played,central,role,yous,westward,expansion,admitted,union,th,state,january",0.00,mexico
"new mexicos history has contributed to its unique demographic and cultural character one of only six majority minority states it has the nations highest percentage of hispanic and latino americans and the second highest percentage of native americans after alaska new mexico is home to part of the navajo nation  federally recognized pueblo communities and three different federally recognized apache tribes its large hispanic population includes hispanos who descend from oasisamerican groups and settlers of nuevo mxico in new spain as well as later groups of mexican americans since the th century the new mexican flag which is among the most recognizable in the yous reflects the states eclectic origins bearing the scarlet and gold coloration of the spanish flag along with the ancient sun symbol of the zia a puebloan tribe the confluence of indigenous hispanic  and american influences is also evident in new mexicos unique cuisine music genre and architectural styles
",new mexicos history contributed unique demographic cultural character majority minority states nations highest percentage hispanic latino americans second highest percentage native americans alaska new mexico home navajo nation federally recognized pueblo communities different federally recognized apache tribes large hispanic population includes hispanos descend oasisamerican groups settlers nuevo mxico new spain later groups mexican americans th century new mexican flag recognizable yous reflects states eclectic origins bearing scarlet gold coloration spanish flag ancient sun symbol zia puebloan tribe confluence indigenous hispanic american influences evident new mexicos unique cuisine music genre architectural styles,6.35,"new,mexicos,history,contributed,unique,demographic,cultural,character,majority,minority,states,nations,highest,percentage,hispanic,latino,americans,second,highest,percentage,native,americans,alaska,new,mexico,home,navajo,nation,federally,recognized,pueblo,communities,different,federally,recognized,apache,tribes,large,hispanic,population,includes,hispanos,descend,oasisamerican,groups,settlers,nuevo,mxico,new,spain,later,groups,mexican,americans,th,century,new,mexican,flag,recognizable,yous,reflects,states,eclectic,origins,bearing,scarlet,gold,coloration,spanish,flag,ancient,sun,symbol,zia,puebloan,tribe,confluence,indigenous,hispanic,american,influences,evident,new,mexicos,unique,cuisine,music,genre,architectural,styles",0.00,mexico
"new mexico received its name long before the present day nation of mexico won independence from spain and adopted that name in  the name mexico derives from nahuatl and originally referred to the heartland of the mexica the rulers of the aztec empire in the valley of mexico the classical nahuatl term yancuic mexihco a new mexico was used to describe a mystical empire that rivaled the scale of their own aztec empire these myths had a basis in the trade network of the pueblos these stories eventually evolved into the folklore of the seven cities of gold
",new mexico received long present day nation mexico independence spain adopted mexico derives nahuatl originally referred heartland mexica rulers aztec empire valley mexico classical nahuatl term yancuic mexihco new mexico describe mystical empire rivaled scale aztec empire myths basis trade network pueblos stories eventually evolved folklore seven cities gold,8.78,"new,mexico,received,long,present,day,nation,mexico,independence,spain,adopted,mexico,derives,nahuatl,originally,referred,heartland,mexica,rulers,aztec,empire,valley,mexico,classical,nahuatl,term,yancuic,mexihco,new,mexico,describe,mystical,empire,rivaled,scale,aztec,empire,myths,basis,trade,network,pueblos,stories,eventually,evolved,folklore,seven,cities,gold",0.00,mexico
"following their conquest of the aztecs in the early th century the spanish began exploring what is now the southwestern united states calling it nuevo mxico a spanish language translation of the prior nahuatl term yancuic mexihco in  the chamuscado and rodrguez expedition named the region north of the rio grande san felipe del nuevo mxico the spaniards had hoped to find wealthy indigenous cultures similar to the mexica the indigenous cultures of new mexico however proved to be unrelated to the mexica and lacking in riches but the name persisted
",following conquest aztecs early th century spanish began exploring southwestern united states calling nuevo mxico spanish language translation prior nahuatl term yancuic mexihco chamuscado rodrguez expedition named region north rio grande san felipe del nuevo mxico spaniards hoped find wealthy indigenous cultures similar mexica indigenous cultures new mexico proved unrelated mexica lacking riches persisted,6.72,"following,conquest,aztecs,early,th,century,spanish,began,exploring,southwestern,united,states,calling,nuevo,mxico,spanish,language,translation,prior,nahuatl,term,yancuic,mexihco,chamuscado,rodrguez,expedition,named,region,north,rio,grande,san,felipe,del,nuevo,mxico,spaniards,hoped,find,wealthy,indigenous,cultures,similar,mexica,indigenous,cultures,new,mexico,proved,unrelated,mexica,lacking,riches,persisted",0.00,mexico
"before statehood in  the name new mexico loosely applied to various configurations of territories in the same general area which evolved throughout the spanish mexican and yous periods but typically encompassed most of present day new mexico along with sections of neighboring states
",statehood new mexico loosely applied configurations territories general area evolved spanish mexican yous periods typically encompassed present day new mexico sections neighboring states,7.04,"statehood,new,mexico,loosely,applied,configurations,territories,general,area,evolved,spanish,mexican,yous,periods,typically,encompassed,present,day,new,mexico,sections,neighboring,states",0.00,mexico
"the first known inhabitants of new mexico were members of the clovis culture of paleo indians   footprints discovered in  suggest that humans may have been present in the region as long ago as  because later inhabitants include the mogollon and ancestral pueblo cultures which are characterized by sophisticated pottery work and urban development   pueblos or their remnants like those at acoma taos and chaco culture national historical park indicate the scale of ancestral puebloan dwellings within the area these cultures form part of the broader oasisamerica region of pre columbian north america
",known inhabitants new mexico members clovis culture paleo indians footprints discovered suggest humans present region long ago later inhabitants include mogollon ancestral pueblo cultures characterized sophisticated pottery work urban development pueblos remnants like acoma taos chaco culture national historical park indicate scale ancestral puebloan dwellings area cultures form broader oasisamerica region pre columbian north america,6.16,"known,inhabitants,new,mexico,members,clovis,culture,paleo,indians,footprints,discovered,suggest,humans,present,region,long,ago,later,inhabitants,include,mogollon,ancestral,pueblo,cultures,characterized,sophisticated,pottery,work,urban,development,pueblos,remnants,like,acoma,taos,chaco,culture,national,historical,park,indicate,scale,ancestral,puebloan,dwellings,area,cultures,form,broader,oasisamerica,region,pre,columbian,north,america",0.00,mexico
"the extensive scale of ancestral puebloan trade networks led to legends throughout mesoamerica and the aztec empire  of an unseen northern empire that rivaled their own which they called yancuic mexico literally translated as a new mexico
",extensive scale ancestral puebloan trade networks led legends mesoamerica aztec empire unseen northern empire rivaled called yancuic mexico literally translated new mexico,6.28,"extensive,scale,ancestral,puebloan,trade,networks,led,legends,mesoamerica,aztec,empire,unseen,northern,empire,rivaled,called,yancuic,mexico,literally,translated,new,mexico",0.00,mexico
