Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"nigeria a officially the federal republic of nigeria is a country in west africa  it is situated between the sahel to the north and the gulf of guinea to the south in the atlantic ocean it covers an area of  square kilometres  and with a population of over  million it is the most populous country in africa and the worlds sixth most populous country nigeria borders niger in the north chad in the northeast cameroon in the east and benin in the west nigeria is a federal republic comprising  states and the federal capital territory where the capital abuja is located the largest city in nigeria is lagos one of the largest metropolitan areas in the world and the second largest in africa
",nigeria officially federal republic nigeria country west africa situated sahel north gulf guinea south atlantic ocean covers area square kilometres population million populous country africa worlds sixth populous country nigeria borders niger north chad northeast cameroon east benin west nigeria federal republic comprising states federal capital territory capital abuja located largest city nigeria lagos largest metropolitan areas world second largest africa,8.99,"nigeria,officially,federal,republic,nigeria,country,west,africa,situated,sahel,north,gulf,guinea,south,atlantic,ocean,covers,area,square,kilometres,population,million,populous,country,africa,worlds,sixth,populous,country,nigeria,borders,niger,north,chad,northeast,cameroon,east,benin,west,nigeria,federal,republic,comprising,states,federal,capital,territory,capital,abuja,located,largest,city,nigeria,lagos,largest,metropolitan,areas,world,second,largest,africa",0.00,nigeria
"nigeria has been home to several indigenous pre colonial states and kingdoms since the second millennium because with the nok civilization in the th century because marking the first internal unification in the country the modern state originated with british colonialization in the th century taking its present territorial shape with the merging of the southern nigeria protectorate and northern nigeria protectorate in  by lord lugard the british set up administrative and legal structures while practising indirect rule through traditional chiefdoms in the nigeria region nigeria became a formally independent federation on  october  it experienced a civil war from  to  followed by a succession of military dictatorships and democratically elected civilian governments until achieving a stable democracy in the  presidential election the  general election was the first time an incumbent president failed to be re elected
",nigeria home indigenous pre colonial states kingdoms second millennium nok civilization th century marking internal unification country modern state originated british colonialization th century taking present territorial shape merging southern nigeria protectorate northern nigeria protectorate lord lugard british set administrative legal structures practising indirect rule traditional chiefdoms nigeria region nigeria formally independent federation october experienced civil war followed succession military dictatorships democratically elected civilian governments achieving stable democracy presidential election general election time incumbent president failed elected,6.36,"nigeria,home,indigenous,pre,colonial,states,kingdoms,second,millennium,nok,civilization,th,century,marking,internal,unification,country,modern,state,originated,british,colonialization,th,century,taking,present,territorial,shape,merging,southern,nigeria,protectorate,northern,nigeria,protectorate,lord,lugard,british,set,administrative,legal,structures,practising,indirect,rule,traditional,chiefdoms,nigeria,region,nigeria,formally,independent,federation,october,experienced,civil,war,followed,succession,military,dictatorships,democratically,elected,civilian,governments,achieving,stable,democracy,presidential,election,general,election,time,incumbent,president,failed,elected",0.00,nigeria
"nigeria is a multinational state inhabited by more than  ethnic groups speaking  distinct languages all identifying with a wide variety of cultures the three largest ethnic groups are the hausa in the north yoruba in the west and igbo in the east together constituting over  of the total population the official language is english chosen to facilitate linguistic unity at the national level nigerias constitution ensures freedom of religion and it is home to some of the worlds largest muslim and christian populations nigeria is divided roughly in half between muslims who live mostly in the north and christians who live mostly in the south indigenous religions such as those native to the igbo and yoruba ethnicities are in the minority
",nigeria multinational state inhabited ethnic groups speaking distinct languages identifying wide variety cultures largest ethnic groups hausa north yoruba west igbo east constituting total population official language english chosen facilitate linguistic unity national level nigerias constitution ensures freedom religion home worlds largest muslim christian populations nigeria divided roughly half muslims live north christians live south indigenous religions native igbo yoruba ethnicities minority,7.96,"nigeria,multinational,state,inhabited,ethnic,groups,speaking,distinct,languages,identifying,wide,variety,cultures,largest,ethnic,groups,hausa,north,yoruba,west,igbo,east,constituting,total,population,official,language,english,chosen,facilitate,linguistic,unity,national,level,nigerias,constitution,ensures,freedom,religion,home,worlds,largest,muslim,christian,populations,nigeria,divided,roughly,half,muslims,live,north,christians,live,south,indigenous,religions,native,igbo,yoruba,ethnicities,minority",0.00,nigeria
"nigeria is a regional power in africa and a middle and emerging power in international affairs nigerias economy is the largest in africa the st largest in the world by nominal gdp and th largest by ppp nigeria is often referred to as the giant of africa owing to its large population and economy and is considered to be an emerging market by the world bank however the country ranks very low in the human development index and remains one of the most corrupt nations in the world nigeria is a founding member of the african union and a member of many international organizations including the united nations the commonwealth of nations nam the economic community of west african states organisation of islamic cooperation and opec it is also a member of the informal mint group of countries and is one of the next eleven economies
",nigeria regional power africa middle emerging power international affairs nigerias economy largest africa st largest world nominal gdp th largest ppp nigeria referred giant africa owing large population economy considered emerging market world bank country ranks low human development index remains corrupt nations world nigeria founding member african union member international organizations including united nations commonwealth nations nam economic community west african states organisation islamic cooperation opec member informal mint group countries economies,8.78,"nigeria,regional,power,africa,middle,emerging,power,international,affairs,nigerias,economy,largest,africa,st,largest,world,nominal,gdp,th,largest,ppp,nigeria,referred,giant,africa,owing,large,population,economy,considered,emerging,market,world,bank,country,ranks,low,human,development,index,remains,corrupt,nations,world,nigeria,founding,member,african,union,member,international,organizations,including,united,nations,commonwealth,nations,nam,economic,community,west,african,states,organisation,islamic,cooperation,opec,member,informal,mint,group,countries,economies",0.00,nigeria
"the name nigeria was taken from the niger river running through the country this name was coined on  january  by the british journalist flora shaw who later married frederick lugard a british colonial administrator the neighbouring republic of niger takes its name from the same river the origin of the name niger which originally applied to only the middle reaches of the niger river is uncertain the word is likely an alteration of the tuareg name egerew n igerewen used by inhabitants along the middle reaches of the river around timbuktu before th century european colonialism
",nigeria taken niger river running country coined january british journalist flora shaw later married frederick lugard british colonial administrator neighbouring republic niger takes river origin niger originally applied middle reaches niger river uncertain word likely alteration tuareg egerew n igerewen inhabitants middle reaches river timbuktu th century european colonialism,8.09,"nigeria,taken,niger,river,running,country,coined,january,british,journalist,flora,shaw,later,married,frederick,lugard,british,colonial,administrator,neighbouring,republic,niger,takes,river,origin,niger,originally,applied,middle,reaches,niger,river,uncertain,word,likely,alteration,tuareg,egerew,n,igerewen,inhabitants,middle,reaches,river,timbuktu,th,century,european,colonialism",0.00,nigeria
"the nok civilization of nigeria thrived between  because and ad  it produced life sized terracotta figures that are some of the earliest known sculptures in sub saharan africa and smelted iron by about  because and possibly a few centuries earlier evidence of iron smelting has also been excavated at sites in the nsukka region of southeast nigeria dating to  because at the site of lejja and to  because and at the site of opi
",nok civilization nigeria thrived ad produced life sized terracotta figures earliest known sculptures sub saharan africa smelted iron possibly centuries earlier evidence iron smelting excavated sites nsukka region southeast nigeria dating site lejja site opi,9.11,"nok,civilization,nigeria,thrived,ad,produced,life,sized,terracotta,figures,earliest,known,sculptures,sub,saharan,africa,smelted,iron,possibly,centuries,earlier,evidence,iron,smelting,excavated,sites,nsukka,region,southeast,nigeria,dating,site,lejja,site,opi",0.00,nigeria
"the yoruba kingdoms of ife and oyo in southwestern nigeria became prominent in the th and th centuries respectively the oldest signs of human settlement at ifes current site date back to the th century and its material culture includes terracotta and bronze figures
",yoruba kingdoms ife oyo southwestern nigeria prominent th th centuries respectively oldest signs human settlement ifes current site date th century material culture includes terracotta bronze figures,6.39,"yoruba,kingdoms,ife,oyo,southwestern,nigeria,prominent,th,th,centuries,respectively,oldest,signs,human,settlement,ifes,current,site,date,th,century,material,culture,includes,terracotta,bronze,figures",0.00,nigeria
"
in the th century portuguese explorers were the first europeans to begin important direct trade with peoples of southern nigeria at the port they named lagos  and in calabar along the region slave coast europeans traded goods with peoples at the coast coastal trade with europeans also marked the beginnings of the atlantic slave trade the port of calabar on the historical bight of biafra  became one of the largest slave trading posts in west africa in the era of the transatlantic slave trade other major slaving ports in nigeria were located in badagry lagos on the bight of benin and bonny island on the bight of biafra the majority of those enslaved and taken to these ports were captured in raids and wars usually the captives were taken back to the conquerors territory as forced labour after time they were sometimes acculturated and absorbed into the conquerors society slave routes were established throughout nigeria linking the hinterland areas with the major coastal ports some of the more prolific slave trading kingdoms who participated in the transatlantic slave trade were linked with the edos benin empire in the south oyo empire in the southwest and the aro confederacy in the southeast benins power lasted between the th and th centuries oyo at its territorial zenith in the late th to early th centuries extended its influence from western nigeria to modern day togo",th century portuguese explorers europeans begin important direct trade peoples southern nigeria port named lagos calabar region slave coast europeans traded goods peoples coast coastal trade europeans marked beginnings atlantic slave trade port calabar historical bight biafra largest slave trading posts west africa era transatlantic slave trade major slaving ports nigeria located badagry lagos bight benin bonny island bight biafra majority enslaved taken ports captured raids wars usually captives taken conquerors territory forced labour time acculturated absorbed conquerors society slave routes established nigeria linking hinterland areas major coastal ports prolific slave trading kingdoms participated transatlantic slave trade linked edos benin empire south oyo empire southwest aro confederacy southeast benins power lasted th th centuries oyo territorial zenith late th early th centuries extended influence western nigeria modern day togo,7.49,"th,century,portuguese,explorers,europeans,begin,important,direct,trade,peoples,southern,nigeria,port,named,lagos,calabar,region,slave,coast,europeans,traded,goods,peoples,coast,coastal,trade,europeans,marked,beginnings,atlantic,slave,trade,port,calabar,historical,bight,biafra,largest,slave,trading,posts,west,africa,era,transatlantic,slave,trade,major,slaving,ports,nigeria,located,badagry,lagos,bight,benin,bonny,island,bight,biafra,majority,enslaved,taken,ports,captured,raids,wars,usually,captives,taken,conquerors,territory,forced,labour,time,acculturated,absorbed,conquerors,society,slave,routes,established,nigeria,linking,hinterland,areas,major,coastal,ports,prolific,slave,trading,kingdoms,participated,transatlantic,slave,trade,linked,edos,benin,empire,south,oyo,empire,southwest,aro,confederacy,southeast,benins,power,lasted,th,th,centuries,oyo,territorial,zenith,late,th,early,th,centuries,extended,influence,western,nigeria,modern,day,togo",0.00,nigeria
"the vast landlocked empire connected the east with the western sudan region and made inroads down south conquering parts of the oyo empire  and advanced towards the yoruba heartland of ibadan to reach the atlantic ocean the territory controlled by the empire included much of modern day northern and central nigeria the sultan sent out emirs to establish a suzerainty over the conquered territories and promote islamic civilization the emirs in turn became increasingly rich and powerful through trade and slavery by the s the largest slave population in the world about two million was concentrated in the territories of the sokoto caliphate the use of slave labour was extensive especially in agriculture by the time of its break up in  into various european colonies the sokoto caliphate was one of the largest pre colonial african states
",vast landlocked empire connected east western sudan region inroads south conquering parts oyo empire advanced yoruba heartland ibadan reach atlantic ocean territory controlled empire included modern day northern central nigeria sultan sent emirs establish suzerainty conquered territories promote islamic civilization emirs turn increasingly rich powerful trade slavery largest slave population world million concentrated territories sokoto caliphate use slave labour extensive especially agriculture time break european colonies sokoto caliphate largest pre colonial african states,7.60,"vast,landlocked,empire,connected,east,western,sudan,region,inroads,south,conquering,parts,oyo,empire,advanced,yoruba,heartland,ibadan,reach,atlantic,ocean,territory,controlled,empire,included,modern,day,northern,central,nigeria,sultan,sent,emirs,establish,suzerainty,conquered,territories,promote,islamic,civilization,emirs,turn,increasingly,rich,powerful,trade,slavery,largest,slave,population,world,million,concentrated,territories,sokoto,caliphate,use,slave,labour,extensive,especially,agriculture,time,break,european,colonies,sokoto,caliphate,largest,pre,colonial,african,states",0.00,nigeria
"in  british claims to a west african sphere of influence received recognition from other european nations at the berlin conference the following year it chartered the royal niger company under the leadership of sir george taubman goldie by the late th and early th centuries the company had vastly succeeded in subjugating the independent southern kingdoms along the niger river the british conquered benin in  and in the anglo aro war  defeated other opponents the defeat of these states opened up the niger area to british rule in  the companys territory came under the direct control of the british government and established the southern nigeria protectorate as a british protectorate and part of the british empire the foremost world power at the time
",british claims west african sphere influence received recognition european nations berlin conference following year chartered royal niger company leadership sir george taubman goldie late th early th centuries company vastly succeeded subjugating independent southern kingdoms niger river british conquered benin anglo aro war defeated opponents defeat states opened niger area british rule companys territory came direct control british government established southern nigeria protectorate british protectorate british empire foremost world power time,6.87,"british,claims,west,african,sphere,influence,received,recognition,european,nations,berlin,conference,following,year,chartered,royal,niger,company,leadership,sir,george,taubman,goldie,late,th,early,th,centuries,company,vastly,succeeded,subjugating,independent,southern,kingdoms,niger,river,british,conquered,benin,anglo,aro,war,defeated,opponents,defeat,states,opened,niger,area,british,rule,companys,territory,came,direct,control,british,government,established,southern,nigeria,protectorate,british,protectorate,british,empire,foremost,world,power,time",0.00,nigeria
