Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"north koreab officially the democratic peoples republic of korea c is a country in east asia it constitutes the northern half of the korean peninsula and shares borders with china and russia to the north at the yalu  and tumen rivers and south korea to the south at the korean demilitarized zone north koreas border with south korea is a disputed border as both countries claim the entirety of the korean peninsula the countrys western border is formed by the yellow sea while its eastern border is defined by the sea of japan north korea like its southern counterpart claims to be the legitimate government of the entire peninsula and adjacent islands pyongyang is the capital and largest city
",north koreab officially democratic peoples republic korea c country east asia constitutes northern half korean peninsula shares borders china russia north yalu tumen rivers south korea south korean demilitarized zone north koreas border south korea disputed border countries claim entirety korean peninsula countrys western border formed yellow sea eastern border defined sea japan north korea like southern counterpart claims legitimate government entire peninsula adjacent islands pyongyang capital largest city,7.19,"north,koreab,officially,democratic,peoples,republic,korea,c,country,east,asia,constitutes,northern,half,korean,peninsula,shares,borders,china,russia,north,yalu,tumen,rivers,south,korea,south,korean,demilitarized,zone,north,koreas,border,south,korea,disputed,border,countries,claim,entirety,korean,peninsula,countrys,western,border,formed,yellow,sea,eastern,border,defined,sea,japan,north,korea,like,southern,counterpart,claims,legitimate,government,entire,peninsula,adjacent,islands,pyongyang,capital,largest,city",0.00,korea
"in  korea was annexed by the empire of japan in  after the japanese surrender at the end of world war ii korea was divided into two zones along the th parallel with the north occupied by the soviet union and the south occupied by the united states negotiations on reunification failed and in  separate governments were formed the socialist and soviet aligned democratic peoples republic of korea in the north and the capitalist western aligned republic of korea in the south the korean war began in  with an invasion by north korea and lasted until  the korean armistice agreement brought about a ceasefire and established a demilitarized zone  but no formal peace treaty has ever been signed
",korea annexed empire japan japanese surrender end world war ii korea divided zones th parallel north occupied soviet union south occupied united states negotiations reunification failed separate governments formed socialist soviet aligned democratic peoples republic korea north capitalist western aligned republic korea south korean war began invasion north korea lasted korean armistice agreement brought ceasefire established demilitarized zone formal peace treaty signed,7.94,"korea,annexed,empire,japan,japanese,surrender,end,world,war,ii,korea,divided,zones,th,parallel,north,occupied,soviet,union,south,occupied,united,states,negotiations,reunification,failed,separate,governments,formed,socialist,soviet,aligned,democratic,peoples,republic,korea,north,capitalist,western,aligned,republic,korea,south,korean,war,began,invasion,north,korea,lasted,korean,armistice,agreement,brought,ceasefire,established,demilitarized,zone,formal,peace,treaty,signed",0.00,korea
"post war north korea benefited greatly from economic aid and expertise provided by other eastern bloc countries particularly the soviet union and china however relations between north korea and the soviet union soured after the ascension of nikita khrushchev to the soviet premiership in  as khrushchev denounced stalinism while kim il sung north koreas first leader upheld it kim briefly turned to china in the late s before purging both pro soviet and pro chinese elements from the ruling workers party of korea and promoting his personal philosophy of juche as the state ideology from the s south koreas economy began to boom whilst north korea entered a state of stagnation pyongyangs international isolation sharply accelerated from the s onwards as the cold war came to an end and china opened up to the west the fall of the soviet union in  then brought about a full scale collapse of the north korean economy from  to  north korea suffered a famine that resulted in the deaths of between  and  people and the population continues to suffer from malnutrition
",post war north korea benefited greatly economic aid expertise provided eastern bloc countries particularly soviet union china relations north korea soviet union soured ascension nikita khrushchev soviet premiership khrushchev denounced stalinism kim il sung north koreas leader upheld kim briefly turned china late purging pro soviet pro chinese elements ruling workers party korea promoting personal philosophy juche state ideology south koreas economy began boom whilst north korea entered state stagnation pyongyangs international isolation sharply accelerated onwards cold war came end china opened west fall soviet union brought scale collapse north korean economy north korea suffered famine resulted deaths people population continues suffer malnutrition,7.04,"post,war,north,korea,benefited,greatly,economic,aid,expertise,provided,eastern,bloc,countries,particularly,soviet,union,china,relations,north,korea,soviet,union,soured,ascension,nikita,khrushchev,soviet,premiership,khrushchev,denounced,stalinism,kim,il,sung,north,koreas,leader,upheld,kim,briefly,turned,china,late,purging,pro,soviet,pro,chinese,elements,ruling,workers,party,korea,promoting,personal,philosophy,juche,state,ideology,south,koreas,economy,began,boom,whilst,north,korea,entered,state,stagnation,pyongyangs,international,isolation,sharply,accelerated,onwards,cold,war,came,end,china,opened,west,fall,soviet,union,brought,scale,collapse,north,korean,economy,north,korea,suffered,famine,resulted,deaths,people,population,continues,suffer,malnutrition",0.00,korea
"according to article  of the state constitution north korea is an independent socialist stated it holds elections though they have been described by independent observers as sham elections as north korea is a totalitarian dictatorship with a comprehensive cult of personality around the kim family the workers party of korea is the ruling party of north korea and leads the democratic front for the reunification of korea the sole legal political movement in the country according to article  of the constitution kimilsungismkimjongilism is the official ideology of north korea the means of production are owned by the state through state run enterprises and collectivized farms most services  such as healthcare education housing and food production  are subsidized or state funded
",according article state constitution north korea independent socialist stated holds elections described independent observers sham elections north korea totalitarian dictatorship comprehensive cult personality kim family workers party korea ruling party north korea leads democratic reunification korea sole legal political movement country according article constitution kimilsungismkimjongilism official ideology north korea means production owned state state run enterprises collectivized farms services healthcare education housing food production subsidized state funded,6.77,"according,article,state,constitution,north,korea,independent,socialist,stated,holds,elections,described,independent,observers,sham,elections,north,korea,totalitarian,dictatorship,comprehensive,cult,personality,kim,family,workers,party,korea,ruling,party,north,korea,leads,democratic,reunification,korea,sole,legal,political,movement,country,according,article,constitution,kimilsungismkimjongilism,official,ideology,north,korea,means,production,owned,state,state,run,enterprises,collectivized,farms,services,healthcare,education,housing,food,production,subsidized,state,funded",0.00,korea
"north korea follows songun a military first policy which prioritizes the korean peoples army in state affairs and the allocation of resources it possesses nuclear weapons and is the country with the second highest number of military and paramilitary personnel with a total of  million active reserve and paramilitary personnel or approximately  of its population its active duty army of  million soldiers is the fourth largest in the world consisting of  of its population a  inquiry by the united nations into abuses of human rights in north korea concluded that the gravity scale and nature of these violations reveal a state that does not have any parallel in the contemporary world with amnesty international and human rights watch holding similar views in addition to being a member of the united nations since  north korea is also a member of the non aligned movement g and the asean regional forum
",north korea follows songun military policy prioritizes korean peoples army state affairs allocation resources possesses nuclear weapons country second highest number military paramilitary personnel total million active reserve paramilitary personnel approximately population active duty army million soldiers fourth largest world consisting population inquiry united nations abuses human rights north korea concluded gravity scale nature violations reveal state parallel contemporary world amnesty international human rights watch holding similar views addition member united nations north korea member non aligned movement g asean regional forum,7.40,"north,korea,follows,songun,military,policy,prioritizes,korean,peoples,army,state,affairs,allocation,resources,possesses,nuclear,weapons,country,second,highest,number,military,paramilitary,personnel,total,million,active,reserve,paramilitary,personnel,approximately,population,active,duty,army,million,soldiers,fourth,largest,world,consisting,population,inquiry,united,nations,abuses,human,rights,north,korea,concluded,gravity,scale,nature,violations,reveal,state,parallel,contemporary,world,amnesty,international,human,rights,watch,holding,similar,views,addition,member,united,nations,north,korea,member,non,aligned,movement,g,asean,regional,forum",0.00,korea
"the name korea is derived from the name goryeo  the name goryeo itself was first used by the ancient kingdom of goguryeo  which was one of the great powers in east asia during its time the th century kingdom of goryeo succeeded goguryeo and thus inherited its name which was pronounced by visiting persian merchants as korea the modern spelling of korea first appeared in the late th century in the travel writings of the dutch east india companys hendrick hamel
",korea derived goryeo goryeo ancient kingdom goguryeo great powers east asia time th century kingdom goryeo succeeded goguryeo inherited pronounced visiting persian merchants korea modern spelling korea appeared late th century travel writings dutch east india companys hendrick hamel,9.07,"korea,derived,goryeo,goryeo,ancient,kingdom,goguryeo,great,powers,east,asia,time,th,century,kingdom,goryeo,succeeded,goguryeo,inherited,pronounced,visiting,persian,merchants,korea,modern,spelling,korea,appeared,late,th,century,travel,writings,dutch,east,india,companys,hendrick,hamel",0.00,korea
"after the division of the country into north and south korea the two sides used different terms to refer to korea chosun or joseon  in north korea and hanguk  in south korea in  north korea adopted democratic peoples republic of korea  as its new legal name in the wider world because the government controls the northern part of the korean peninsula it is commonly called north korea to distinguish it from south korea which is officially called the republic of korea in english both governments consider themselves to be the legitimate government of the whole of korea for this reason the people do not consider themselves as north koreans but as koreans in the same divided country as their compatriots in the south and foreign visitors are discouraged from using the former term
",division country north south korea sides different terms refer korea chosun joseon north korea hanguk south korea north korea adopted democratic peoples republic korea new legal wider world government controls northern korean peninsula commonly called north korea distinguish south korea officially called republic korea english governments consider legitimate government korea reason people consider north koreans koreans divided country compatriots south foreign visitors discouraged term,8.81,"division,country,north,south,korea,sides,different,terms,refer,korea,chosun,joseon,north,korea,hanguk,south,korea,north,korea,adopted,democratic,peoples,republic,korea,new,legal,wider,world,government,controls,northern,korean,peninsula,commonly,called,north,korea,distinguish,south,korea,officially,called,republic,korea,english,governments,consider,legitimate,government,korea,reason,people,consider,north,koreans,koreans,divided,country,compatriots,south,foreign,visitors,discouraged,term",0.00,korea
"after the first sino japanese war and the russo japanese war korea was ruled by japan from  to  korean resistance groups known as dongnipgun  operated along the sino korean border fighting guerrilla warfare against japanese forces some of them took part in allied action in china and parts of south east asia one of the guerrilla leaders was the communist kim il sung who later became the first leader of north korea
",sino japanese war russo japanese war korea ruled japan korean resistance groups known dongnipgun operated sino korean border fighting guerrilla warfare japanese forces took allied action china parts south east asia guerrilla leaders communist kim il sung later leader north korea,7.43,"sino,japanese,war,russo,japanese,war,korea,ruled,japan,korean,resistance,groups,known,dongnipgun,operated,sino,korean,border,fighting,guerrilla,warfare,japanese,forces,took,allied,action,china,parts,south,east,asia,guerrilla,leaders,communist,kim,il,sung,later,leader,north,korea",0.00,korea
"after the japanese surrender at the end of world war ii in  the korean peninsula was divided into two zones along the th parallel with the northern half of the peninsula occupied by the soviet union and the southern half by the united states negotiations on reunification failed soviet general terentii shtykov recommended the establishment of the soviet civil authority in october  and supported kim il sung as chairman of the provisional peoples committee for north korea established in february  in september  south korean citizens rose up against the allied military government in april  an uprising of the jeju islanders was violently crushed the south declared its statehood in may  and two months later the ardent anti communist syngman rhee became its ruler the democratic peoples republic of korea was established in the north on  september  shtykov served as the first soviet ambassador while kim il sung became premier
",japanese surrender end world war ii korean peninsula divided zones th parallel northern half peninsula occupied soviet union southern half united states negotiations reunification failed soviet general terentii shtykov recommended establishment soviet civil authority october supported kim il sung chairman provisional peoples committee north korea established february september south korean citizens rose allied military government april uprising jeju islanders violently crushed south declared statehood months later ardent anti communist syngman rhee ruler democratic peoples republic korea established north september shtykov served soviet ambassador kim il sung premier,6.67,"japanese,surrender,end,world,war,ii,korean,peninsula,divided,zones,th,parallel,northern,half,peninsula,occupied,soviet,union,southern,half,united,states,negotiations,reunification,failed,soviet,general,terentii,shtykov,recommended,establishment,soviet,civil,authority,october,supported,kim,il,sung,chairman,provisional,peoples,committee,north,korea,established,february,september,south,korean,citizens,rose,allied,military,government,april,uprising,jeju,islanders,violently,crushed,south,declared,statehood,months,later,ardent,anti,communist,syngman,rhee,ruler,democratic,peoples,republic,korea,established,north,september,shtykov,served,soviet,ambassador,kim,il,sung,premier",0.00,korea
"the military of north korea invaded the south on  june  and swiftly overran most of the country the united nations command  was subsequently established following the un security councils recognition of north korean aggression against south korea the motion passed because the soviet union a close ally of north korea and a member of the un security council was boycotting the un over its recognition of the republic of china rather than the peoples republic of china the unc led by the united states intervened to defend the south and rapidly advanced into north korea as they neared the border with china chinese forces intervened on behalf of north korea shifting the balance of the war again fighting ended on  july  with an armistice that approximately restored the original boundaries between north and south korea but no peace treaty was signed approximately  million people died in the korean war with a higher proportional civilian death toll than world war ii or the vietnam war in both per capita and absolute terms north korea was the country most devastated by the war which resulted in the death of an estimated  of the north korean population  a figure close to or surpassing the proportion of soviet citizens killed in world war ii according to charles k armstrong as a result of the war almost every substantial building in north korea was destroyed some have referred to the conflict as a civil war with other factors involved
",military north korea invaded south june swiftly overran country united nations command subsequently established following un security councils recognition north korean aggression south korea motion passed soviet union close ally north korea member un security council boycotting un recognition republic china peoples republic china unc led united states intervened defend south rapidly advanced north korea neared border china chinese forces intervened behalf north korea shifting balance war fighting ended july armistice approximately restored original boundaries north south korea peace treaty signed approximately million people died korean war higher proportional civilian death toll world war ii vietnam war capita absolute terms north korea country devastated war resulted death estimated north korean population figure close surpassing proportion soviet citizens killed world war ii according charles k armstrong result war substantial building north korea destroyed referred conflict civil war factors involved,7.34,"military,north,korea,invaded,south,june,swiftly,overran,country,united,nations,command,subsequently,established,following,un,security,councils,recognition,north,korean,aggression,south,korea,motion,passed,soviet,union,close,ally,north,korea,member,un,security,council,boycotting,un,recognition,republic,china,peoples,republic,china,unc,led,united,states,intervened,defend,south,rapidly,advanced,north,korea,neared,border,china,chinese,forces,intervened,behalf,north,korea,shifting,balance,war,fighting,ended,july,armistice,approximately,restored,original,boundaries,north,south,korea,peace,treaty,signed,approximately,million,people,died,korean,war,higher,proportional,civilian,death,toll,world,war,ii,vietnam,war,capita,absolute,terms,north,korea,country,devastated,war,resulted,death,estimated,north,korean,population,figure,close,surpassing,proportion,soviet,citizens,killed,world,war,ii,according,charles,k,armstrong,result,war,substantial,building,north,korea,destroyed,referred,conflict,civil,war,factors,involved",0.00,korea
