Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"northern ireland  ulster scots norlin airlann is a part of the united kingdom situated in the north east of the island of ireland that is variously described as a country province or region northern ireland shares an open border to the south and west with the republic of ireland in  its population was  making up about  of irelands population and about  of the uks population the northern ireland assembly established by the northern ireland act  holds responsibility for a range of devolved policy matters while other areas are reserved for the uk government the government of northern ireland cooperates with the government of the republic of ireland in several areas agreed under the terms of the belfast agreement the republic of ireland also has a consultative role on non devolved governmental matters through the  british irish governmental conference 
",northern ireland ulster scots norlin airlann united kingdom situated north east island ireland variously described country province region northern ireland shares open border south west republic ireland population making irelands population uks population northern ireland assembly established northern ireland act holds responsibility range devolved policy matters areas reserved uk government government northern ireland cooperates government republic ireland areas agreed terms belfast agreement republic ireland consultative role non devolved governmental matters british irish governmental conference,7.43,"northern,ireland,ulster,scots,norlin,airlann,united,kingdom,situated,north,east,island,ireland,variously,described,country,province,region,northern,ireland,shares,open,border,south,west,republic,ireland,population,making,irelands,population,uks,population,northern,ireland,assembly,established,northern,ireland,act,holds,responsibility,range,devolved,policy,matters,areas,reserved,uk,government,government,northern,ireland,cooperates,government,republic,ireland,areas,agreed,terms,belfast,agreement,republic,ireland,consultative,role,non,devolved,governmental,matters,british,irish,governmental,conference",0.00,ireland
"northern ireland was created in may  when ireland was partitioned by the government of ireland act  creating a devolved government for the six northeastern counties as was intended northern ireland had a unionist majority who wanted to remain in the united kingdom they were generally the protestant descendants of colonists from britain meanwhile the majority in southern ireland  and a significant minority in northern ireland were irish nationalists  who wanted a united independent ireland today the former generally see themselves as british and the latter generally see themselves as irish while a northern irish or ulster identity is claimed by a significant minority from all backgrounds
",northern ireland created ireland partitioned government ireland act creating devolved government northeastern counties intended northern ireland unionist majority wanted remain united kingdom generally protestant descendants colonists britain majority southern ireland significant minority northern ireland irish nationalists wanted united independent ireland today generally british generally irish northern irish ulster identity claimed significant minority backgrounds,7.61,"northern,ireland,created,ireland,partitioned,government,ireland,act,creating,devolved,government,northeastern,counties,intended,northern,ireland,unionist,majority,wanted,remain,united,kingdom,generally,protestant,descendants,colonists,britain,majority,southern,ireland,significant,minority,northern,ireland,irish,nationalists,wanted,united,independent,ireland,today,generally,british,generally,irish,northern,irish,ulster,identity,claimed,significant,minority,backgrounds",0.00,ireland
"the creation of northern ireland was accompanied by violence both in defence of and against partition during the conflict of  the capital belfast saw major communal violence mainly between protestant unionist and catholic nationalist civilians more than  were killed and more than  became refugees mostly catholics for the next fifty years northern ireland had an unbroken series of unionist party governments there was informal mutual segregation by both communities and the unionist governments were accused of discrimination against the irish nationalist and catholic minority in the late s a campaign to end discrimination against catholics and nationalists was opposed by loyalists who saw it as a republican front this unrest sparked the troubles a thirty year conflict involving republican and loyalist paramilitaries and state forces which claimed over  lives and injured  others the  good friday agreement was a major step in the peace process including paramilitary disarmament and security normalisation although sectarianism and segregation remain major social problems and sporadic violence has continued
",creation northern ireland accompanied violence defence partition conflict capital belfast saw major communal violence mainly protestant unionist catholic nationalist civilians killed refugees catholics years northern ireland unbroken series unionist party governments informal mutual segregation communities unionist governments accused discrimination irish nationalist catholic minority late campaign end discrimination catholics nationalists opposed loyalists saw republican unrest sparked troubles thirty year conflict involving republican loyalist paramilitaries state forces claimed lives injured good friday agreement major step peace process including paramilitary disarmament security normalisation sectarianism segregation remain major social problems sporadic violence continued,6.62,"creation,northern,ireland,accompanied,violence,defence,partition,conflict,capital,belfast,saw,major,communal,violence,mainly,protestant,unionist,catholic,nationalist,civilians,killed,refugees,catholics,years,northern,ireland,unbroken,series,unionist,party,governments,informal,mutual,segregation,communities,unionist,governments,accused,discrimination,irish,nationalist,catholic,minority,late,campaign,end,discrimination,catholics,nationalists,opposed,loyalists,saw,republican,unrest,sparked,troubles,thirty,year,conflict,involving,republican,loyalist,paramilitaries,state,forces,claimed,lives,injured,good,friday,agreement,major,step,peace,process,including,paramilitary,disarmament,security,normalisation,sectarianism,segregation,remain,major,social,problems,sporadic,violence,continued",0.00,ireland
"the economy of northern ireland was the most industrialised in ireland at the time of partition but soon began to decline a decline exacerbated by the political and social turmoil of the troubles its economy has grown significantly since the late s the initial growth came from the peace dividend and increased trade with the republic of ireland continuing with a significant increase in tourism investment and business from around the world unemployment in northern ireland peaked at  in  but dropped back down to below  in the s similar to the rate of the rest of the uk
",economy northern ireland industrialised ireland time partition soon began decline decline exacerbated political social turmoil troubles economy grown significantly late initial growth came peace dividend increased trade republic ireland continuing significant increase tourism investment business world unemployment northern ireland peaked dropped similar rate rest uk,9.25,"economy,northern,ireland,industrialised,ireland,time,partition,soon,began,decline,decline,exacerbated,political,social,turmoil,troubles,economy,grown,significantly,late,initial,growth,came,peace,dividend,increased,trade,republic,ireland,continuing,significant,increase,tourism,investment,business,world,unemployment,northern,ireland,peaked,dropped,similar,rate,rest,uk",0.00,ireland
"cultural links between northern ireland the rest of ireland and the rest of the uk are complex with northern ireland sharing both the culture of ireland and the culture of the united kingdom in many sports ireland fields a single team with the northern ireland national football team being an exception to this northern ireland competes separately at the commonwealth games and people from northern ireland may compete for either great britain or ireland at the olympic games
",cultural links northern ireland rest ireland rest uk complex northern ireland sharing culture ireland culture united kingdom sports ireland fields single team northern ireland national football team exception northern ireland competes separately commonwealth games people northern ireland compete great britain ireland olympic games,7.35,"cultural,links,northern,ireland,rest,ireland,rest,uk,complex,northern,ireland,sharing,culture,ireland,culture,united,kingdom,sports,ireland,fields,single,team,northern,ireland,national,football,team,exception,northern,ireland,competes,separately,commonwealth,games,people,northern,ireland,compete,great,britain,ireland,olympic,games",0.00,ireland
"the region that is now northern ireland was long inhabited by native gaels who were irish speaking and predominantly catholic it was made up of several gaelic kingdoms and territories and was part of the province of ulster in  ireland was invaded by a coalition of forces under the command of the english crown that quickly overran and occupied most of the island beginning  years of foreign central authority attempts at resistance were swiftly crushed everywhere outside of ulster unlike in the rest of the country where gaelic authority continued only in scattered remote pockets the major kingdoms of ulster would mostly remain intact with english authority in the province contained to areas on the eastern coast closest to great britain english power gradually eroded in the face of stubborn irish resistance in the centuries that followed eventually being reduced to only the city of dublin and its suburbs when henry viii launched the th century tudor re conquest of ireland ulster once resisted most effectively in the nine years war  an alliance of gaelic chieftains led by the two most powerful ulster lords hugh roe odonnell and the earl of tyrone fought against the english government in ireland the ulster dominated alliance represented the first irish united front  despite being able to cement an alliance with spain and major victories early on inevitable defeat was virtually guaranteed following englands victory at the siege of kinsale in  the rebellions leaders fled to mainland europe alongside much of ulsters gaelic nobility their lands were confiscated by the crown and colonized with english speaking protestant settlers from britain in the plantation of ulster this led to the founding of many of ulsters towns and created a lasting ulster protestant community with ties to britain the irish rebellion of  began in ulster the rebels wanted an end to anti catholic discrimination greater irish self governance and to roll back the plantation it developed into an ethnic conflict between irish catholics and british protestant settlers and became part of the wider wars of the three kingdoms  which ended with the english parliamentarian conquest further protestant victories in the williamite jacobite war  solidified anglican protestant rule in the kingdom of ireland the williamite victories of the siege of derry  and battle of the boyne  are still celebrated by some protestants in northern ireland many more scots protestants migrated to ulster during the scottish famine of the s
",region northern ireland long inhabited native gaels irish speaking predominantly catholic gaelic kingdoms territories province ulster ireland invaded coalition forces command english crown quickly overran occupied island beginning years foreign central authority attempts resistance swiftly crushed outside ulster unlike rest country gaelic authority continued scattered remote pockets major kingdoms ulster remain intact english authority province contained areas eastern coast closest great britain english power gradually eroded face stubborn irish resistance centuries followed eventually reduced city dublin suburbs henry viii launched th century tudor conquest ireland ulster resisted effectively years war alliance gaelic chieftains led powerful ulster lords hugh roe odonnell earl tyrone fought english government ireland ulster dominated alliance represented irish united despite able cement alliance spain major victories early inevitable defeat virtually guaranteed following englands victory siege kinsale rebellions leaders fled mainland europe alongside ulsters gaelic nobility lands confiscated crown colonized english speaking protestant settlers britain plantation ulster led founding ulsters towns created lasting ulster protestant community ties britain irish rebellion began ulster rebels wanted end anti catholic discrimination greater irish self governance roll plantation developed ethnic conflict irish catholics british protestant settlers wider wars kingdoms ended english parliamentarian conquest protestant victories williamite jacobite war solidified anglican protestant rule kingdom ireland williamite victories siege derry battle boyne celebrated protestants northern ireland scots protestants migrated ulster scottish famine,7.32,"region,northern,ireland,long,inhabited,native,gaels,irish,speaking,predominantly,catholic,gaelic,kingdoms,territories,province,ulster,ireland,invaded,coalition,forces,command,english,crown,quickly,overran,occupied,island,beginning,years,foreign,central,authority,attempts,resistance,swiftly,crushed,outside,ulster,unlike,rest,country,gaelic,authority,continued,scattered,remote,pockets,major,kingdoms,ulster,remain,intact,english,authority,province,contained,areas,eastern,coast,closest,great,britain,english,power,gradually,eroded,face,stubborn,irish,resistance,centuries,followed,eventually,reduced,city,dublin,suburbs,henry,viii,launched,th,century,tudor,conquest,ireland,ulster,resisted,effectively,years,war,alliance,gaelic,chieftains,led,powerful,ulster,lords,hugh,roe,odonnell,earl,tyrone,fought,english,government,ireland,ulster,dominated,alliance,represented,irish,united,despite,able,cement,alliance,spain,major,victories,early,inevitable,defeat,virtually,guaranteed,following,englands,victory,siege,kinsale,rebellions,leaders,fled,mainland,europe,alongside,ulsters,gaelic,nobility,lands,confiscated,crown,colonized,english,speaking,protestant,settlers,britain,plantation,ulster,led,founding,ulsters,towns,created,lasting,ulster,protestant,community,ties,britain,irish,rebellion,began,ulster,rebels,wanted,end,anti,catholic,discrimination,greater,irish,self,governance,roll,plantation,developed,ethnic,conflict,irish,catholics,british,protestant,settlers,wider,wars,kingdoms,ended,english,parliamentarian,conquest,protestant,victories,williamite,jacobite,war,solidified,anglican,protestant,rule,kingdom,ireland,williamite,victories,siege,derry,battle,boyne,celebrated,protestants,northern,ireland,scots,protestants,migrated,ulster,scottish,famine",0.00,ireland
"following the williamite victory and contrary to the treaty of limerick  a series of penal laws were passed by the anglican protestant ruling class in ireland the intention was to disadvantage catholics and to a lesser extent presbyterians some  ulster presbyterians emigrated to the british north american colonies between  and  it is estimated that there are more than  million scotch irish americans now living in the united states along with many scotch irish canadians in canada in the context of institutional discrimination the th century saw secret militant societies develop in ulster and act on sectarian tensions in violent attacks this escalated at the end of the century especially during the county armagh disturbances where the protestant peep of day boys fought the catholic defenders this led to the founding of the protestant orange order the irish rebellion of  was led by the united irishmen a cross community irish republican group founded by belfast presbyterians which sought irish independence following this the government of the kingdom of great britain pushed for the two kingdoms to be merged in an attempt to quell violent sectarianism remove discriminatory laws and prevent the spread of french style republicanism the united kingdom of great britain and ireland was formed in  and governed from london during the th century legal reforms known as the catholic emancipation continued to remove discrimination against catholics and progressive programs enabled tenant farmers to buy land from landlords
",following williamite victory contrary treaty limerick series penal laws passed anglican protestant ruling class ireland intention disadvantage catholics lesser extent presbyterians ulster presbyterians emigrated british north american colonies estimated million scotch irish americans living united states scotch irish canadians canada context institutional discrimination th century saw secret militant societies develop ulster act sectarian tensions violent attacks escalated end century especially county armagh disturbances protestant peep day boys fought catholic defenders led founding protestant orange order irish rebellion led united irishmen cross community irish republican group founded belfast presbyterians sought irish independence following government kingdom great britain pushed kingdoms merged attempt quell violent sectarianism remove discriminatory laws prevent spread french style republicanism united kingdom great britain ireland formed governed london th century legal reforms known catholic emancipation continued remove discrimination catholics progressive programs enabled tenant farmers buy land landlords,6.53,"following,williamite,victory,contrary,treaty,limerick,series,penal,laws,passed,anglican,protestant,ruling,class,ireland,intention,disadvantage,catholics,lesser,extent,presbyterians,ulster,presbyterians,emigrated,british,north,american,colonies,estimated,million,scotch,irish,americans,living,united,states,scotch,irish,canadians,canada,context,institutional,discrimination,th,century,saw,secret,militant,societies,develop,ulster,act,sectarian,tensions,violent,attacks,escalated,end,century,especially,county,armagh,disturbances,protestant,peep,day,boys,fought,catholic,defenders,led,founding,protestant,orange,order,irish,rebellion,led,united,irishmen,cross,community,irish,republican,group,founded,belfast,presbyterians,sought,irish,independence,following,government,kingdom,great,britain,pushed,kingdoms,merged,attempt,quell,violent,sectarianism,remove,discriminatory,laws,prevent,spread,french,style,republicanism,united,kingdom,great,britain,ireland,formed,governed,london,th,century,legal,reforms,known,catholic,emancipation,continued,remove,discrimination,catholics,progressive,programs,enabled,tenant,farmers,buy,land,landlords",0.00,ireland
"by the late th century a large and disciplined cohort of irish nationalist mps at westminster committed the liberal party to irish home ruleself government for ireland within the united kingdom this was bitterly opposed by irish unionists most of whom were protestants who feared an irish devolved government dominated by irish nationalists and catholics the government of ireland bill  and government of ireland bill  were defeated however home rule became a near certainty in  after the government of ireland act  was first introduced the liberal government was dependent on nationalist support and the parliament act  prevented the house of lords from blocking the bill indefinitely
",late th century large disciplined cohort irish nationalist mps westminster committed liberal party irish home ruleself government ireland united kingdom bitterly opposed irish unionists protestants feared irish devolved government dominated irish nationalists catholics government ireland bill government ireland bill defeated home rule near certainty government ireland act introduced liberal government dependent nationalist support parliament act prevented house lords blocking bill indefinitely,6.56,"late,th,century,large,disciplined,cohort,irish,nationalist,mps,westminster,committed,liberal,party,irish,home,ruleself,government,ireland,united,kingdom,bitterly,opposed,irish,unionists,protestants,feared,irish,devolved,government,dominated,irish,nationalists,catholics,government,ireland,bill,government,ireland,bill,defeated,home,rule,near,certainty,government,ireland,act,introduced,liberal,government,dependent,nationalist,support,parliament,act,prevented,house,lords,blocking,bill,indefinitely",0.00,ireland
"in response unionists vowed to prevent irish home rule from conservative and unionist party leaders such as bonar law and dublin based barrister edward carson to militant working class unionists in ireland this sparked the home rule crisis in september  more than  unionists signed the ulster covenant pledging to oppose home rule by any means and to defy any irish government in  unionists smuggled thousands of rifles and rounds of ammunition from imperial germany for use by the ulster volunteers  a paramilitary organisation formed to oppose home rule irish nationalists had also formed a paramilitary organisation the irish volunteers it sought to ensure home rule was implemented and it smuggled its own weapons into ireland a few months after the ulster volunteers ireland seemed to be on the brink of civil war
",response unionists vowed prevent irish home rule conservative unionist party leaders bonar law dublin based barrister edward carson militant working class unionists ireland sparked home rule crisis september unionists signed ulster covenant pledging oppose home rule means defy irish government unionists smuggled thousands rifles rounds ammunition imperial germany use ulster volunteers paramilitary organisation formed oppose home rule irish nationalists formed paramilitary organisation irish volunteers sought ensure home rule implemented smuggled weapons ireland months ulster volunteers ireland brink civil war,6.47,"response,unionists,vowed,prevent,irish,home,rule,conservative,unionist,party,leaders,bonar,law,dublin,based,barrister,edward,carson,militant,working,class,unionists,ireland,sparked,home,rule,crisis,september,unionists,signed,ulster,covenant,pledging,oppose,home,rule,means,defy,irish,government,unionists,smuggled,thousands,rifles,rounds,ammunition,imperial,germany,use,ulster,volunteers,paramilitary,organisation,formed,oppose,home,rule,irish,nationalists,formed,paramilitary,organisation,irish,volunteers,sought,ensure,home,rule,implemented,smuggled,weapons,ireland,months,ulster,volunteers,ireland,brink,civil,war",0.00,ireland
"unionists were in a minority in ireland as a whole but a majority in the province of ulster especially the counties antrim down armagh and londonderry unionists argued that if home rule could not be stopped then all or part of ulster should be excluded from it in may  the uk government introduced an amending bill to allow for ulster to be excluded from home rule there was then debate over how much of ulster should be excluded and for how long some ulster unionists were willing to tolerate the loss of some mainly catholic areas of the province the crisis was interrupted by the outbreak of the first world war in august  and irelands involvement in it the uk government abandoned the amending bill and instead rushed through a new bill the suspensory act  suspending home rule for the duration of the war with the exclusion of ulster still to be decided
",unionists minority ireland majority province ulster especially counties antrim armagh londonderry unionists argued home rule stopped ulster excluded uk government introduced amending bill allow ulster excluded home rule debate ulster excluded long ulster unionists willing tolerate loss mainly catholic areas province crisis interrupted outbreak world war august irelands involvement uk government abandoned amending bill instead rushed new bill suspensory act suspending home rule duration war exclusion ulster decided,9.90,"unionists,minority,ireland,majority,province,ulster,especially,counties,antrim,armagh,londonderry,unionists,argued,home,rule,stopped,ulster,excluded,uk,government,introduced,amending,bill,allow,ulster,excluded,home,rule,debate,ulster,excluded,long,ulster,unionists,willing,tolerate,loss,mainly,catholic,areas,province,crisis,interrupted,outbreak,world,war,august,irelands,involvement,uk,government,abandoned,amending,bill,instead,rushed,new,bill,suspensory,act,suspending,home,rule,duration,war,exclusion,ulster,decided",0.00,ireland
