Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"norway has both administrative and political subdivisions on two levels counties and municipalities the smi people have a certain amount of self determination and influence over traditional territories through the smi parliament and the finnmark act norway maintains close ties with both the european union and the united states norway is also a founding member of the united nations nato the european free trade association the council of europe the antarctic treaty and the nordic council a member of the european economic area the wto and the oecd and a part of the schengen area in addition the norwegian languages share mutual intelligibility with danish and swedish
",norway administrative political subdivisions levels counties municipalities smi people certain self determination influence traditional territories smi parliament finnmark act norway maintains close ties european union united states norway founding member united nations nato european free trade association council europe antarctic treaty nordic council member european economic area wto oecd schengen area addition norwegian languages share mutual intelligibility danish swedish,7.14,"norway,administrative,political,subdivisions,levels,counties,municipalities,smi,people,certain,self,determination,influence,traditional,territories,smi,parliament,finnmark,act,norway,maintains,close,ties,european,union,united,states,norway,founding,member,united,nations,nato,european,free,trade,association,council,europe,antarctic,treaty,nordic,council,member,european,economic,area,wto,oecd,schengen,area,addition,norwegian,languages,share,mutual,intelligibility,danish,swedish",0.00,norwegian
"norway maintains the nordic welfare model with universal health care and a comprehensive social security system and its values are rooted in egalitarian ideals the norwegian state has large ownership positions in key industrial sectors having extensive reserves of petroleum natural gas minerals lumber seafood and fresh water the petroleum industry accounts for around a quarter of the countrys gross domestic product  on a per capita basis norway is the worlds largest producer of oil and natural gas outside of the middle east
",norway maintains nordic welfare model universal health care comprehensive social security system values rooted egalitarian ideals norwegian state large ownership positions key industrial sectors extensive reserves petroleum natural gas minerals lumber seafood fresh water petroleum industry accounts quarter countrys gross domestic product capita basis norway worlds largest producer oil natural gas outside middle east,5.47,"norway,maintains,nordic,welfare,model,universal,health,care,comprehensive,social,security,system,values,rooted,egalitarian,ideals,norwegian,state,large,ownership,positions,key,industrial,sectors,extensive,reserves,petroleum,natural,gas,minerals,lumber,seafood,fresh,water,petroleum,industry,accounts,quarter,countrys,gross,domestic,product,capita,basis,norway,worlds,largest,producer,oil,natural,gas,outside,middle,east",0.00,norwegian
"although the majority of norways population is ethnic norwegian in the st century immigration has accounted for more than half of population growth in  the five largest minority groups in the country were the descendants of polish lithuanian somali pakistani and swedish immigrants
",majority norways population ethnic norwegian st century immigration accounted half population growth largest minority groups country descendants polish lithuanian somali pakistani swedish immigrants,7.09,"majority,norways,population,ethnic,norwegian,st,century,immigration,accounted,half,population,growth,largest,minority,groups,country,descendants,polish,lithuanian,somali,pakistani,swedish,immigrants",0.00,norwegian
"norway has two official names norge in bokml and noreg in nynorsk the english name norway comes from the old english word norweg mentioned in  meaning northern way or way leading to the north which is how the anglo saxons referred to the coastline of atlantic norway similar to leading theory about the origin of the norwegian language name the anglo saxons of britain also referred to the kingdom of norway in  as normanna land
",norway official names norge bokml noreg nynorsk english norway comes old english word norweg mentioned meaning northern way way leading north anglo saxons referred coastline atlantic norway similar leading theory origin norwegian language anglo saxons britain referred kingdom norway normanna land,7.93,"norway,official,names,norge,bokml,noreg,nynorsk,english,norway,comes,old,english,word,norweg,mentioned,meaning,northern,way,way,leading,north,anglo,saxons,referred,coastline,atlantic,norway,similar,leading,theory,origin,norwegian,language,anglo,saxons,britain,referred,kingdom,norway,normanna,land",0.00,norwegian
"there is some disagreement about whether the native name of norway originally had the same etymology as the english form according to the traditional dominant view the first component was originally norr a cognate of english north so the full name was norr vegr the way northwards referring to the sailing route along the norwegian coast and contrasting with survegar southern way  for  and austrvegr eastern way  for the baltic in the translation of orosius for alfred the name is norweg while in younger old english sources the  is gone in the tenth century many norsemen settled in northern france according to the sagas in the area that was later called normandy from normann  although not a norwegian possession in france normanni or northmanni referred to people of norway sweden or denmark until around  inhabitants of western norway were referred to as nordmenn  while inhabitants of eastern norway were referred to as austmenn 
",disagreement native norway originally etymology english form according traditional dominant view component originally norr cognate english north norr vegr way northwards referring sailing route norwegian coast contrasting survegar southern way austrvegr eastern way baltic translation orosius alfred norweg younger old english sources gone tenth century norsemen settled northern france according sagas area later called normandy normann norwegian possession france normanni northmanni referred people norway sweden denmark inhabitants western norway referred nordmenn inhabitants eastern norway referred austmenn,8.22,"disagreement,native,norway,originally,etymology,english,form,according,traditional,dominant,view,component,originally,norr,cognate,english,north,norr,vegr,way,northwards,referring,sailing,route,norwegian,coast,contrasting,survegar,southern,way,austrvegr,eastern,way,baltic,translation,orosius,alfred,norweg,younger,old,english,sources,gone,tenth,century,norsemen,settled,northern,france,according,sagas,area,later,called,normandy,normann,norwegian,possession,france,normanni,northmanni,referred,people,norway,sweden,denmark,inhabitants,western,norway,referred,nordmenn,inhabitants,eastern,norway,referred,austmenn",0.00,norwegian
"according to another theory the first component was a word nr meaning narrow  referring to the inner archipelago sailing route through the land  the interpretation as northern as reflected in the english and latin forms of the name would then have been due to later folk etymology this latter view originated with philologist niels halvorsen trnnes in  since  it is also advocated by language student and activist klaus johan myrvoll and was adopted by philology professor michael schulte the form nore is still used in placenames such as the village of nore and lake norefjorden in buskerud county and still has the same meaning among other arguments in favour of the theory it is pointed out that the word has a long vowel in skaldic poetry and is not attested with  in any native norse texts or inscriptions  this resurrected theory has received some pushback by other scholars on various grounds e g the uncontroversial presence of the element norr in the ethnonym norrmaare norseman norwegian person  and the adjective norrnn northern norse norwegian as well as the very early attestations of the latin and anglo saxon forms with th
",according theory component word nr meaning narrow referring inner archipelago sailing route land interpretation northern reflected english latin forms later folk etymology view originated philologist niels halvorsen trnnes advocated language student activist klaus johan myrvoll adopted philology professor michael schulte form nore placenames village nore lake norefjorden buskerud county meaning arguments favour theory pointed word long vowel skaldic poetry attested native norse texts inscriptions resurrected theory received pushback scholars grounds eg uncontroversial presence element norr ethnonym norrmaare norseman norwegian person adjective norrnn northern norse norwegian early attestations latin anglo saxon forms th,8.52,"according,theory,component,word,nr,meaning,narrow,referring,inner,archipelago,sailing,route,land,interpretation,northern,reflected,english,latin,forms,later,folk,etymology,view,originated,philologist,niels,halvorsen,trnnes,advocated,language,student,activist,klaus,johan,myrvoll,adopted,philology,professor,michael,schulte,form,nore,placenames,village,nore,lake,norefjorden,buskerud,county,meaning,arguments,favour,theory,pointed,word,long,vowel,skaldic,poetry,attested,native,norse,texts,inscriptions,resurrected,theory,received,pushback,scholars,grounds,eg,uncontroversial,presence,element,norr,ethnonym,norrmaare,norseman,norwegian,person,adjective,norrnn,northern,norse,norwegian,early,attestations,latin,anglo,saxon,forms,th",0.00,norwegian
"the adjective norwegian recorded from c  is derived from the latinisation of the name as norwegia in the adjective norwegian the old english spelling  weg has survived
",adjective norwegian recorded c derived latinisation norwegia adjective norwegian old english spelling weg survived,7.74,"adjective,norwegian,recorded,c,derived,latinisation,norwegia,adjective,norwegian,old,english,spelling,weg,survived",0.00,norwegian
"little has been found dating from the early iron age  the dead were cremated and their graves contain few burial goods during the first four centuries ad the people of norway were in contact with roman occupied gaul about  roman bronze cauldrons often used as burial urns have been found contact with the civilised countries farther south brought a knowledge of runes the oldest known norwegian runic inscription dates from the third century at this time the amount of settled area in the country increased a development that can be traced by coordinated studies of topography archaeology and place names the oldest root names such as nes vik and b  are of great antiquity dating perhaps from the bronze age whereas the earliest of the groups of compound names with the suffixes vin  or heim  as in bjrgvin  or sheim  usually date from the first century ad
",little found dating early iron age dead cremated graves contain burial goods centuries ad people norway contact roman occupied gaul roman bronze cauldrons burial urns found contact civilised countries farther south brought knowledge runes oldest known norwegian runic inscription dates century time settled area country increased development traced coordinated studies topography archaeology place names oldest root names nes vik b great antiquity dating bronze age earliest groups compound names suffixes vin heim bjrgvin sheim usually date century ad,8.05,"little,found,dating,early,iron,age,dead,cremated,graves,contain,burial,goods,centuries,ad,people,norway,contact,roman,occupied,gaul,roman,bronze,cauldrons,burial,urns,found,contact,civilised,countries,farther,south,brought,knowledge,runes,oldest,known,norwegian,runic,inscription,dates,century,time,settled,area,country,increased,development,traced,coordinated,studies,topography,archaeology,place,names,oldest,root,names,nes,vik,b,great,antiquity,dating,bronze,age,earliest,groups,compound,names,suffixes,vin,heim,bjrgvin,sheim,usually,date,century,ad",0.00,norwegian
"from the eighth to the tenth century the wider scandinavian region was the source of vikings the looting of the monastery at lindisfarne in northeast england in  by norse people has long been regarded as the event which marked the beginning of the viking age this age was characterised by expansion and emigration by viking seafarers they colonised raided and traded in all parts of europe norwegian viking explorers discovered iceland by accident in the ninth century when heading for the faroe islands and eventually came across vinland known today as newfoundland in canada the vikings from norway were most active in the northern and western british isles and eastern north america isles
",eighth tenth century wider scandinavian region source vikings looting monastery lindisfarne northeast england norse people long regarded event marked beginning viking age age characterised expansion emigration viking seafarers colonised raided traded parts europe norwegian viking explorers discovered iceland accident ninth century heading faroe islands eventually came vinland known today newfoundland canada vikings norway active northern western british isles eastern north america isles,7.37,"eighth,tenth,century,wider,scandinavian,region,source,vikings,looting,monastery,lindisfarne,northeast,england,norse,people,long,regarded,event,marked,beginning,viking,age,age,characterised,expansion,emigration,viking,seafarers,colonised,raided,traded,parts,europe,norwegian,viking,explorers,discovered,iceland,accident,ninth,century,heading,faroe,islands,eventually,came,vinland,known,today,newfoundland,canada,vikings,norway,active,northern,western,british,isles,eastern,north,america,isles",0.00,norwegian
"according to tradition harald fairhair unified them into one in  after the battle of hafrsfjord in stavanger thus becoming the first king of a united norway haralds realm was mainly a south norwegian coastal state fairhair ruled with a strong hand and according to the sagas many norwegians left the country to live in iceland the faroe islands greenland and parts of britain and ireland the modern day irish cities of dublin limerick and waterford were founded by norwegian settlers
",according tradition harald fairhair unified battle hafrsfjord stavanger king united norway haralds realm mainly south norwegian coastal state fairhair ruled strong hand according sagas norwegians left country live iceland faroe islands greenland parts britain ireland modern day irish cities dublin limerick waterford founded norwegian settlers,7.23,"according,tradition,harald,fairhair,unified,battle,hafrsfjord,stavanger,king,united,norway,haralds,realm,mainly,south,norwegian,coastal,state,fairhair,ruled,strong,hand,according,sagas,norwegians,left,country,live,iceland,faroe,islands,greenland,parts,britain,ireland,modern,day,irish,cities,dublin,limerick,waterford,founded,norwegian,settlers",0.00,norwegian
