Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"norwegian  is a north germanic language spoken mainly in norway where it is an official language along with swedish and danish norwegian forms a dialect continuum of more or less mutually intelligible local and regional varieties some norwegian and swedish dialects in particular are very close these scandinavian languages together with faroese and icelandic as well as some extinct languages constitute the north germanic languages faroese and icelandic are not mutually intelligible with norwegian in their spoken form because continental scandinavian has diverged from them while the two germanic languages with the greatest numbers of speakers english and german have close similarities with norwegian neither is mutually intelligible with it norwegian is a descendant of old norse the common language of the germanic peoples living in scandinavia during the viking age
",norwegian north germanic language spoken mainly norway official language swedish danish norwegian forms dialect continuum mutually intelligible local regional varieties norwegian swedish dialects particular close scandinavian languages faroese icelandic extinct languages constitute north germanic languages faroese icelandic mutually intelligible norwegian spoken form continental scandinavian diverged germanic languages greatest numbers speakers english german close similarities norwegian mutually intelligible norwegian descendant old norse common language germanic peoples living scandinavia viking age,7.09,"norwegian,north,germanic,language,spoken,mainly,norway,official,language,swedish,danish,norwegian,forms,dialect,continuum,mutually,intelligible,local,regional,varieties,norwegian,swedish,dialects,particular,close,scandinavian,languages,faroese,icelandic,extinct,languages,constitute,north,germanic,languages,faroese,icelandic,mutually,intelligible,norwegian,spoken,form,continental,scandinavian,diverged,germanic,languages,greatest,numbers,speakers,english,german,close,similarities,norwegian,mutually,intelligible,norwegian,descendant,old,norse,common,language,germanic,peoples,living,scandinavia,viking,age",0.00,norwegian
"today there are two official forms of written norwegian bokml  and nynorsk  each with its own variants bokml developed from the dano norwegian language that replaced middle norwegian as the elite language after the union of denmarknorway in the th and th centuries and then evolved in norway while nynorsk was developed based upon a collective of spoken norwegian dialects norwegian is one of the two official languages in norway along with smi a finno ugric language spoken by less than one percent of the population norwegian is one of the working languages of the nordic council under the nordic language convention citizens of the nordic countries who speak norwegian have the opportunity to use their native language when interacting with official bodies in other nordic countries without being liable for any interpretation or translation costs
",today official forms written norwegian bokml nynorsk variants bokml developed dano norwegian language replaced middle norwegian elite language union denmarknorway th th centuries evolved norway nynorsk developed based collective spoken norwegian dialects norwegian official languages norway smi finno ugric language spoken percent population norwegian working languages nordic council nordic language convention citizens nordic countries speak norwegian opportunity use native language interacting official bodies nordic countries liable interpretation translation costs,7.87,"today,official,forms,written,norwegian,bokml,nynorsk,variants,bokml,developed,dano,norwegian,language,replaced,middle,norwegian,elite,language,union,denmarknorway,th,th,centuries,evolved,norway,nynorsk,developed,based,collective,spoken,norwegian,dialects,norwegian,official,languages,norway,smi,finno,ugric,language,spoken,percent,population,norwegian,working,languages,nordic,council,nordic,language,convention,citizens,nordic,countries,speak,norwegian,opportunity,use,native,language,interacting,official,bodies,nordic,countries,liable,interpretation,translation,costs",0.00,norwegian
"like most of the languages in europe the norwegian language descends from the proto indo european language as early indo europeans spread across europe they became isolated and new languages were developed in the northwest of europe the west germanic languages evolved which would eventually become english dutch german and the north germanic languages of which norwegian is one
",like languages europe norwegian language descends proto indo european language early indo europeans spread europe isolated new languages developed northwest europe west germanic languages evolved eventually english dutch german north germanic languages norwegian,6.86,"like,languages,europe,norwegian,language,descends,proto,indo,european,language,early,indo,europeans,spread,europe,isolated,new,languages,developed,northwest,europe,west,germanic,languages,evolved,eventually,english,dutch,german,north,germanic,languages,norwegian",0.00,norwegian
"the scandinavian languages at this time are not considered to be separate languages although there were minor differences among what are customarily called old icelandic old norwegian old gutnish old danish and old swedish
",scandinavian languages time considered separate languages minor differences customarily called old icelandic old norwegian old gutnish old danish old swedish,6.28,"scandinavian,languages,time,considered,separate,languages,minor,differences,customarily,called,old,icelandic,old,norwegian,old,gutnish,old,danish,old,swedish",0.00,norwegian
"in the late middle ages dialects began to develop in scandinavia because the population was rural and little travel occurred when the reformation came from germany martin luthers high german translation of the bible was quickly translated into swedish danish and icelandic norway entered a union with denmark in  and danish over time replaced middle norwegian as the language of the elite the church literature and the law when the union with denmark ended in  the dano norwegian koin had become the mother tongue of around  of the population
",late middle ages dialects began develop scandinavia population rural little travel occurred reformation came germany martin luthers high german translation bible quickly translated swedish danish icelandic norway entered union denmark danish time replaced middle norwegian language elite church literature law union denmark ended dano norwegian koin mother tongue population,7.37,"late,middle,ages,dialects,began,develop,scandinavia,population,rural,little,travel,occurred,reformation,came,germany,martin,luthers,high,german,translation,bible,quickly,translated,swedish,danish,icelandic,norway,entered,union,denmark,danish,time,replaced,middle,norwegian,language,elite,church,literature,law,union,denmark,ended,dano,norwegian,koin,mother,tongue,population",0.00,norwegian
"from the s some writers experimented with a norwegianised danish by incorporating words that were descriptive of norwegian scenery and folk life and adopting a more norwegian syntax knud knudsen proposed to change spelling and inflection in accordance with the dano norwegian koin known as cultivated everyday speech a small adjustment in this direction was implemented in the first official reform of the danish language in norway in  and more extensively after his death in two official reforms in  and 
",writers experimented norwegianised danish incorporating words descriptive norwegian scenery folk life adopting norwegian syntax knud knudsen proposed change spelling inflection accordance dano norwegian koin known cultivated everyday speech small adjustment direction implemented official reform danish language norway extensively death official reforms,7.71,"writers,experimented,norwegianised,danish,incorporating,words,descriptive,norwegian,scenery,folk,life,adopting,norwegian,syntax,knud,knudsen,proposed,change,spelling,inflection,accordance,dano,norwegian,koin,known,cultivated,everyday,speech,small,adjustment,direction,implemented,official,reform,danish,language,norway,extensively,death,official,reforms",0.00,norwegian
"meanwhile a nationalistic movement strove for the development of a new written norwegian ivar aasen a botanist and self taught linguist began his work to create a new norwegian language at the age of  he traveled around the country collecting words and examples of grammar from the dialects and comparing the dialects among the different regions he examined the development of icelandic which had largely escaped the influences under which norwegian had come he called his work which was published in several books from  to  landsml meaning national language the name landsml is sometimes interpreted as rural language or country language but this was clearly not aasens intended meaning
",nationalistic movement strove development new written norwegian ivar aasen botanist self taught linguist began work create new norwegian language age traveled country collecting words examples grammar dialects comparing dialects different regions examined development icelandic largely escaped influences norwegian come called work published books landsml meaning national language landsml interpreted rural language country language clearly aasens intended meaning,7.56,"nationalistic,movement,strove,development,new,written,norwegian,ivar,aasen,botanist,self,taught,linguist,began,work,create,new,norwegian,language,age,traveled,country,collecting,words,examples,grammar,dialects,comparing,dialects,different,regions,examined,development,icelandic,largely,escaped,influences,norwegian,come,called,work,published,books,landsml,meaning,national,language,landsml,interpreted,rural,language,country,language,clearly,aasens,intended,meaning",0.00,norwegian
"the name of the danish language in norway was a topic of hot dispute throughout the th century its proponents claimed that it was a language common to norway and denmark and no more danish than norwegian the proponents of landsml thought that the danish character of the language should not be concealed in  bjrnstjerne bjrnson proposed the neutral name riksml meaning national language like landsml and this was officially adopted along with the  spelling reform the name riksml is sometimes interpreted as state language but this meaning is secondary at best 
",danish language norway topic hot dispute th century proponents claimed language common norway denmark danish norwegian proponents landsml thought danish character language concealed bjrnstjerne bjrnson proposed neutral riksml meaning national language like landsml officially adopted spelling reform riksml interpreted state language meaning secondary best,8.54,"danish,language,norway,topic,hot,dispute,th,century,proponents,claimed,language,common,norway,denmark,danish,norwegian,proponents,landsml,thought,danish,character,language,concealed,bjrnstjerne,bjrnson,proposed,neutral,riksml,meaning,national,language,like,landsml,officially,adopted,spelling,reform,riksml,interpreted,state,language,meaning,secondary,best",0.00,norwegian
"after the personal union with sweden was dissolved in  both languages were developed further and reached what is now considered their classic forms after a reform in  riksml was in  officially renamed bokml  and landsml to nynorsk  a proposition to substitute danish norwegian  for bokml lost in parliament by a single votecitation needed the name nynorsk the linguistic term for modern norwegian was chosen to contrast with danish and emphasis on the historical connection to old norwegian today this meaning is often lost and it is commonly mistaken as a new norwegian in contrast to the real norwegian bokml
",personal union sweden dissolved languages developed reached considered classic forms reform riksml officially renamed bokml landsml nynorsk proposition substitute danish norwegian bokml lost parliament single votecitation needed nynorsk linguistic term modern norwegian chosen contrast danish emphasis historical connection old norwegian today meaning lost commonly mistaken new norwegian contrast real norwegian bokml,7.86,"personal,union,sweden,dissolved,languages,developed,reached,considered,classic,forms,reform,riksml,officially,renamed,bokml,landsml,nynorsk,proposition,substitute,danish,norwegian,bokml,lost,parliament,single,votecitation,needed,nynorsk,linguistic,term,modern,norwegian,chosen,contrast,danish,emphasis,historical,connection,old,norwegian,today,meaning,lost,commonly,mistaken,new,norwegian,contrast,real,norwegian,bokml",0.00,norwegian
"while the sound systems of norwegian and swedish are similar considerable variation exists among the dialects
",sound systems norwegian swedish similar considerable variation exists dialects,6.36,"sound,systems,norwegian,swedish,similar,considerable,variation,exists,dialects",0.00,norwegian
