Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"odisha  formerly orissa  is an indian state located in eastern india it is the th largest state by area and the th largest by population the state has the third largest population of scheduled tribes in india it neighbours the states of jharkhand and west bengal to the north chhattisgarh to the west and andhra pradesh to the south odisha has a coastline of  kilometres  along the bay of bengal in indian ocean the region is also known as utkala and is mentioned by this name in indias national anthem jana gana mana the language of odisha is odia which is one of the classical languages of india
",odisha orissa indian state located eastern india th largest state area th largest population state largest population scheduled tribes india neighbours states jharkhand west bengal north chhattisgarh west andhra pradesh south odisha coastline kilometres bay bengal indian ocean region known utkala mentioned indias national anthem jana gana mana language odisha odia classical languages india,9.03,"odisha,orissa,indian,state,located,eastern,india,th,largest,state,area,th,largest,population,state,largest,population,scheduled,tribes,india,neighbours,states,jharkhand,west,bengal,north,chhattisgarh,west,andhra,pradesh,south,odisha,coastline,kilometres,bay,bengal,indian,ocean,region,known,utkala,mentioned,indias,national,anthem,jana,gana,mana,language,odisha,odia,classical,languages,india",0.00,odisha
"the ancient kingdom of kalinga which was invaded by the mauryan emperor ashoka  in  bce resulting in the kalinga war coincides with the borders of modern day odisha the modern boundaries of odisha were demarcated by the british indian government when orissa province was established on  april  consisting of the odia speaking districts of bihar and orissa province the first of april is celebrated as utkala dibasaodisha day cuttack was made the capital of the region by anantavarman chodaganga in c  after which the city was used as the capital by many rulers through the british era until  thereafter bhubaneswar became the capital of odisha
the economy of odisha is the th largest state economy in india with  trillion  in gross domestic product and a per capita gdp of   odisha ranks nd among indian states in human development index
",ancient kingdom kalinga invaded mauryan emperor ashoka bce resulting kalinga war coincides borders modern day odisha modern boundaries odisha demarcated british indian government orissa province established april consisting odia speaking districts bihar orissa province april celebrated utkala dibasaodisha day cuttack capital region anantavarman chodaganga c city capital rulers british era bhubaneswar capital odishathe economy odisha th largest state economy india trillion gross domestic product capita gdp odisha ranks nd indian states human development index,7.76,"ancient,kingdom,kalinga,invaded,mauryan,emperor,ashoka,bce,resulting,kalinga,war,coincides,borders,modern,day,odisha,modern,boundaries,odisha,demarcated,british,indian,government,orissa,province,established,april,consisting,odia,speaking,districts,bihar,orissa,province,april,celebrated,utkala,dibasaodisha,day,cuttack,capital,region,anantavarman,chodaganga,c,city,capital,rulers,british,era,bhubaneswar,capital,odishathe,economy,odisha,th,largest,state,economy,india,trillion,gross,domestic,product,capita,gdp,odisha,ranks,nd,indian,states,human,development,index",0.00,odisha
"the terms odisha and orissa  derive from the ancient prakrit word  odda visaya  as in the tirumalai inscription of rajendra chola i which is dated to  sarala das who translated the mahabharata into the odia language in the th century calls the region odra rashtra as odisha the inscriptions of kapilendra deva of the gajapati kingdom  on the walls of temples in puri call the region odisha or odisha rajya
",terms odisha orissa derive ancient prakrit word odda visaya tirumalai inscription rajendra chola dated sarala das translated mahabharata odia language th century calls region odra rashtra odisha inscriptions kapilendra deva gajapati kingdom walls temples puri region odisha odisha rajya,7.64,"terms,odisha,orissa,derive,ancient,prakrit,word,odda,visaya,tirumalai,inscription,rajendra,chola,dated,sarala,das,translated,mahabharata,odia,language,th,century,calls,region,odra,rashtra,odisha,inscriptions,kapilendra,deva,gajapati,kingdom,walls,temples,puri,region,odisha,odisha,rajya",0.00,odisha
"in  the english rendering of  was changed from orissa to odisha and the name of its language from oriya to odia by the passage of the orissa  bill  and the constitution  bill  in the parliament the hindi rendering   was also modified to   after a brief debate the lower house lok sabha passed the bill and amendment on  november  on  march  rajya sabha the upper house of parliament also passed the bill and the amendment the changes in spelling were made with the intention of having the english and hindi renditions conform to the odia transliteration however the underlying odia texts were nevertheless transliterated incorrectly as per the hunterian system the official national transliteration standard in which the transliterations would be orisha and oria instead
",english rendering changed orissa odisha language oriya odia passage orissa bill constitution bill parliament hindi rendering modified brief debate lower house lok sabha passed bill amendment november march rajya sabha upper house parliament passed bill amendment changes spelling intention english hindi renditions conform odia transliteration underlying odia texts transliterated incorrectly hunterian system official national transliteration standard transliterations orisha oria instead,8.30,"english,rendering,changed,orissa,odisha,language,oriya,odia,passage,orissa,bill,constitution,bill,parliament,hindi,rendering,modified,brief,debate,lower,house,lok,sabha,passed,bill,amendment,november,march,rajya,sabha,upper,house,parliament,passed,bill,amendment,changes,spelling,intention,english,hindi,renditions,conform,odia,transliteration,underlying,odia,texts,transliterated,incorrectly,hunterian,system,official,national,transliteration,standard,transliterations,orisha,oria,instead",0.00,odisha
"according to political scientist sudama misra the kalinga janapada originally comprised the area covered by the puri and ganjam districts the sabar people of odisha have also been mentioned in the mahabharata baudhayana mentions kalinga as not yet being influenced by vedic traditions implying it followed mostly tribal traditions
",according political scientist sudama misra kalinga janapada originally comprised area covered puri ganjam districts sabar people odisha mentioned mahabharata baudhayana mentions kalinga influenced vedic traditions implying followed tribal traditions,6.04,"according,political,scientist,sudama,misra,kalinga,janapada,originally,comprised,area,covered,puri,ganjam,districts,sabar,people,odisha,mentioned,mahabharata,baudhayana,mentions,kalinga,influenced,vedic,traditions,implying,followed,tribal,traditions",0.00,odisha
"the city of brahmapur in odisha is also known to have been the capital of the pauravas during the closing years of th century ce nothing was heard from the pauravas from about the rd century ce because they were annexed by the yaudheya republic who in turn submitted to the mauryans it was only at the end of th century ce that they established royalty at brahmapur after about  years
",city brahmapur odisha known capital pauravas closing years th century ce heard pauravas rd century ce annexed yaudheya republic turn submitted mauryans end th century ce established royalty brahmapur years,10.65,"city,brahmapur,odisha,known,capital,pauravas,closing,years,th,century,ce,heard,pauravas,rd,century,ce,annexed,yaudheya,republic,turn,submitted,mauryans,end,th,century,ce,established,royalty,brahmapur,years",0.00,odisha
"the eastern ganga dynasty was followed by the gajapati kingdom  the region resisted integration into the mughal empire until  when it was conquered by sultanate of bengal mukunda deva who is considered the last independent king of kalinga was defeated and was killed in battle by a rebel ramachandra bhanja ramachandra bhanja himself was killed by bayazid khan karrani in  man singh i then governor of bihar led an army to take odisha from the karranis of bengal they agreed to treaty because their leader qutlu khan lohani had recently died but they then broke the treaty by attacking the temple town of puri man singh returned in  and pacified the region
",eastern ganga dynasty followed gajapati kingdom region resisted integration mughal empire conquered sultanate bengal mukunda deva considered independent king kalinga defeated killed battle rebel ramachandra bhanja ramachandra bhanja killed bayazid khan karrani man singh governor bihar led army odisha karranis bengal agreed treaty leader qutlu khan lohani recently died broke treaty attacking temple town puri man singh returned pacified region,7.91,"eastern,ganga,dynasty,followed,gajapati,kingdom,region,resisted,integration,mughal,empire,conquered,sultanate,bengal,mukunda,deva,considered,independent,king,kalinga,defeated,killed,battle,rebel,ramachandra,bhanja,ramachandra,bhanja,killed,bayazid,khan,karrani,man,singh,governor,bihar,led,army,odisha,karranis,bengal,agreed,treaty,leader,qutlu,khan,lohani,recently,died,broke,treaty,attacking,temple,town,puri,man,singh,returned,pacified,region",0.00,odisha
"the british had occupied the northern circars comprising the southern coast of odisha as a result of the second carnatic war by  and incorporated them into the madras presidency gradually in  the british ousted the marathas from the puri cuttack region of odisha during the second anglo maratha war the northern and western districts of odisha were incorporated into the bengal presidency
",british occupied northern circars comprising southern coast odisha result second carnatic war incorporated madras presidency gradually british ousted marathas puri cuttack region odisha second anglo maratha war northern western districts odisha incorporated bengal presidency,7.20,"british,occupied,northern,circars,comprising,southern,coast,odisha,result,second,carnatic,war,incorporated,madras,presidency,gradually,british,ousted,marathas,puri,cuttack,region,odisha,second,anglo,maratha,war,northern,western,districts,odisha,incorporated,bengal,presidency",0.00,odisha
"odisha lies between the latitudes n and n and between longitudes e and e the state has an area of  km which is  of total area of india and a coastline of  km in the eastern part of the state lies the coastal plain it extends from the subarnarekha river in the north to the rushikulya river in the south the lake chilika is part of the coastal plains the plains are rich in fertile silt deposited by the six major rivers flowing into the bay of bengal subarnarekha budhabalanga baitarani brahmani mahanadi and rushikulya the central rice research institute  a food and agriculture organization recognised rice gene bank and research institute is situated on the banks of mahanadi in cuttack the stretch between puri and bhadrak in odisha juts out a little into the sea making it vulnerable to any cyclonic activity
",odisha lies latitudes n n longitudes e e state area km total area india coastline km eastern state lies coastal plain extends subarnarekha river north rushikulya river south lake chilika coastal plains plains rich fertile silt deposited major rivers flowing bay bengal subarnarekha budhabalanga baitarani brahmani mahanadi rushikulya central rice research institute food agriculture organization recognised rice gene bank research institute situated banks mahanadi cuttack stretch puri bhadrak odisha juts little sea making vulnerable cyclonic activity,8.23,"odisha,lies,latitudes,n,n,longitudes,e,e,state,area,km,total,area,india,coastline,km,eastern,state,lies,coastal,plain,extends,subarnarekha,river,north,rushikulya,river,south,lake,chilika,coastal,plains,plains,rich,fertile,silt,deposited,major,rivers,flowing,bay,bengal,subarnarekha,budhabalanga,baitarani,brahmani,mahanadi,rushikulya,central,rice,research,institute,food,agriculture,organization,recognised,rice,gene,bank,research,institute,situated,banks,mahanadi,cuttack,stretch,puri,bhadrak,odisha,juts,little,sea,making,vulnerable,cyclonic,activity",0.00,odisha
"three quarters of the state is covered in mountain ranges deep and broad valleys have been made in them by rivers these valleys have fertile soil and are densely populated odisha also has plateaus and rolling uplands which have lower elevation than the plateaus the highest point in the state is deomali at  metres in koraput district some other high peaks are sinkaram  golikoda  and yendrika 
",quarters state covered mountain ranges deep broad valleys rivers valleys fertile soil densely populated odisha plateaus rolling uplands lower elevation plateaus highest point state deomali metres koraput district high peaks sinkaram golikoda yendrika,8.35,"quarters,state,covered,mountain,ranges,deep,broad,valleys,rivers,valleys,fertile,soil,densely,populated,odisha,plateaus,rolling,uplands,lower,elevation,plateaus,highest,point,state,deomali,metres,koraput,district,high,peaks,sinkaram,golikoda,yendrika",0.00,odisha
"according to a forest survey of india report released in  odisha has  km of forests which cover  of the states total area the forests are classified into dense forest  medium dense forest  open forest  and scrub forest  the state also has bamboo forests  and mangroves  the state is losing its forests to timber smuggling mining industrialisation and grazing there have been attempts at conservation and reforestation
",according forest survey india report released odisha km forests cover states total area forests classified dense forest medium dense forest open forest scrub forest state bamboo forests mangroves state losing forests timber smuggling mining industrialisation grazing attempts conservation reforestation,6.46,"according,forest,survey,india,report,released,odisha,km,forests,cover,states,total,area,forests,classified,dense,forest,medium,dense,forest,open,forest,scrub,forest,state,bamboo,forests,mangroves,state,losing,forests,timber,smuggling,mining,industrialisation,grazing,attempts,conservation,reforestation",0.00,odisha
"chilika lake is a brackish water lagoon on the east coast of odisha with an area of  km it is connected to the bay of bengal by a  km long narrow channel and is a part of the mahanadi delta in the dry season the tides bring in salt water in the rainy season the rivers falling into the lagoon decrease its salinity birds from places like the caspian sea lake baikal other parts of russia central asia south east asia ladakh and the himalayas migrate to the lagoon in winter among the birds spotted there are eurasian wigeon pintail bar headed goose greylag goose flamingo mallard and goliath heron the lagoon also has a small population of the endangered irrawaddy dolphins the states coastal region has also had sightings of finless porpoise bottlenose dolphin humpback dolphin and spinner dolphin in its waters
",chilika lake brackish water lagoon east coast odisha area km connected bay bengal km long narrow channel mahanadi delta dry season tides bring salt water rainy season rivers falling lagoon decrease salinity birds places like caspian sea lake baikal parts russia central asia south east asia ladakh himalayas migrate lagoon winter birds spotted eurasian wigeon pintail bar headed goose greylag goose flamingo mallard goliath heron lagoon small population endangered irrawaddy dolphins states coastal region sightings finless porpoise bottlenose dolphin humpback dolphin spinner dolphin waters,7.26,"chilika,lake,brackish,water,lagoon,east,coast,odisha,area,km,connected,bay,bengal,km,long,narrow,channel,mahanadi,delta,dry,season,tides,bring,salt,water,rainy,season,rivers,falling,lagoon,decrease,salinity,birds,places,like,caspian,sea,lake,baikal,parts,russia,central,asia,south,east,asia,ladakh,himalayas,migrate,lagoon,winter,birds,spotted,eurasian,wigeon,pintail,bar,headed,goose,greylag,goose,flamingo,mallard,goliath,heron,lagoon,small,population,endangered,irrawaddy,dolphins,states,coastal,region,sightings,finless,porpoise,bottlenose,dolphin,humpback,dolphin,spinner,dolphin,waters",0.00,odisha
"vanda tessellata one of the orchids found in odisha
",vanda tessellata orchids found odisha,7.69,"vanda,tessellata,orchids,found,odisha",0.00,odisha
"the main parties active in the politics of odisha are the biju janata dal the indian national congress and bharatiya janata party following the odisha state assembly election in  the naveen patnaik led biju janata dal stayed in power for the sixth consecutive term he is the th chief minister of odisha since 
",main parties active politics odisha biju janata dal indian national congress bharatiya janata party following odisha state assembly election naveen patnaik led biju janata dal stayed power sixth consecutive term th chief minister odisha,6.13,"main,parties,active,politics,odisha,biju,janata,dal,indian,national,congress,bharatiya,janata,party,following,odisha,state,assembly,election,naveen,patnaik,led,biju,janata,dal,stayed,power,sixth,consecutive,term,th,chief,minister,odisha",0.00,odisha
"the odisha state has a unicameral legislature the odisha legislative assembly consists of  elected members and special office bearers such as the speaker and deputy speaker who are elected by the members assembly meetings are presided over by the speaker or by the deputy speaker in the speakers absence executive authority is vested in the council of ministers headed by the chief minister although the titular head of government is the governor of odisha the governor is appointed by the president of india the leader of the party or coalition with a majority in the legislative assembly is appointed as the chief minister by the governor and the council of ministers are appointed by the governor on the advice of the chief minister the council of ministers reports to the legislative assembly the  elected representatives are called members of the legislative assembly or mlas one mla may be nominated from the anglo indian community by the governor the term of the office is for five years unless the assembly is dissolved prior to the completion of the term
",odisha state unicameral legislature odisha legislative assembly consists elected members special office bearers speaker deputy speaker elected members assembly meetings presided speaker deputy speaker speakers absence executive authority vested council ministers headed chief minister titular head government governor odisha governor appointed president india leader party coalition majority legislative assembly appointed chief minister governor council ministers appointed governor advice chief minister council ministers reports legislative assembly elected representatives called members legislative assembly mlas mla nominated anglo indian community governor term office years assembly dissolved prior completion term,8.65,"odisha,state,unicameral,legislature,odisha,legislative,assembly,consists,elected,members,special,office,bearers,speaker,deputy,speaker,elected,members,assembly,meetings,presided,speaker,deputy,speaker,speakers,absence,executive,authority,vested,council,ministers,headed,chief,minister,titular,head,government,governor,odisha,governor,appointed,president,india,leader,party,coalition,majority,legislative,assembly,appointed,chief,minister,governor,council,ministers,appointed,governor,advice,chief,minister,council,ministers,reports,legislative,assembly,elected,representatives,called,members,legislative,assembly,mlas,mla,nominated,anglo,indian,community,governor,term,office,years,assembly,dissolved,prior,completion,term",0.00,odisha
"the judiciary is composed of the odisha high court located at cuttack and a system of lower courts
",judiciary composed odisha high court located cuttack system lower courts,8.08,"judiciary,composed,odisha,high,court,located,cuttack,system,lower,courts",0.00,odisha
"odisha has been divided into  districts these  districts have been placed under three different revenue divisions to streamline their governance the divisions are north central and south with their headquarters at sambalpur cuttack and berhampur respectively each division consists of ten districts and has as its administrative head a revenue divisional commissioner  the position of the rdc in the administrative hierarchy is that between that of the district administration and the state secretariat the rdcs report to the board of revenue which is headed by a senior officer of the indian administrative service
",odisha divided districts districts placed different revenue divisions streamline governance divisions north central south headquarters sambalpur cuttack berhampur respectively division consists districts administrative head revenue divisional commissioner position rdc administrative hierarchy district administration state secretariat rdcs report board revenue headed senior officer indian administrative service,7.79,"odisha,divided,districts,districts,placed,different,revenue,divisions,streamline,governance,divisions,north,central,south,headquarters,sambalpur,cuttack,berhampur,respectively,division,consists,districts,administrative,head,revenue,divisional,commissioner,position,rdc,administrative,hierarchy,district,administration,state,secretariat,rdcs,report,board,revenue,headed,senior,officer,indian,administrative,service",0.00,odisha
"each district is governed by a collector and district magistrate who is appointed from the indian administrative service or a very senior officer from odisha administrative service the collector and district magistrate is responsible for collecting the revenue and maintaining law and order in the district each district is separated into sub divisions each governed by a sub collector and sub divisional magistrate the sub divisions are further divided into tahasils the tahasils are headed by tahasildar odisha has  sub divisions  tahasils and  blocks blocks consists of panchayats  and town municipalities
",district governed collector district magistrate appointed indian administrative service senior officer odisha administrative service collector district magistrate responsible collecting revenue maintaining law order district district separated sub divisions governed sub collector sub divisional magistrate sub divisions divided tahasils tahasils headed tahasildar odisha sub divisions tahasils blocks blocks consists panchayats town municipalities,6.57,"district,governed,collector,district,magistrate,appointed,indian,administrative,service,senior,officer,odisha,administrative,service,collector,district,magistrate,responsible,collecting,revenue,maintaining,law,order,district,district,separated,sub,divisions,governed,sub,collector,sub,divisional,magistrate,sub,divisions,divided,tahasils,tahasils,headed,tahasildar,odisha,sub,divisions,tahasils,blocks,blocks,consists,panchayats,town,municipalities",0.00,odisha
