Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"old english  or anglo saxon is the earliest recorded form of the english language spoken in england and southern and eastern scotland in the early middle ages it was brought to great britain by anglo saxon settlers in the mid th century and the first old english literary works date from the mid th century after the norman conquest of  english was replaced for a time by anglo norman  as the language of the upper classes this is regarded as marking the end of the old english era since during this period the english language was heavily influenced by anglo norman developing into a phase known now as middle english in england and early scots in scotland
",old english anglo saxon earliest recorded form english language spoken england southern eastern scotland early middle ages brought great britain anglo saxon settlers mid th century old english literary works date mid th century norman conquest english replaced time anglo norman language upper classes regarded marking end old english era period english language heavily influenced anglo norman developing phase known middle english england early scots scotland,7.75,"old,english,anglo,saxon,earliest,recorded,form,english,language,spoken,england,southern,eastern,scotland,early,middle,ages,brought,great,britain,anglo,saxon,settlers,mid,th,century,old,english,literary,works,date,mid,th,century,norman,conquest,english,replaced,time,anglo,norman,language,upper,classes,regarded,marking,end,old,english,era,period,english,language,heavily,influenced,anglo,norman,developing,phase,known,middle,english,england,early,scots,scotland",0.00,english
"old english developed from a set of anglo frisian or ingvaeonic dialects originally spoken by germanic tribes traditionally known as the angles saxons and jutes as the germanic settlers became dominant in england their language replaced the languages of roman britain common brittonic a celtic language and latin brought to britain by the roman invasion old english had four main dialects associated with particular anglo saxon kingdoms mercian northumbrian kentish and west saxon it was west saxon that formed the basis for the literary standard of the later old english period although the dominant forms of middle and modern english would develop mainly from mercian and scots from northumbrian the speech of eastern and northern parts of england was subject to strong old norse influence due to scandinavian rule and settlement beginning in the th century
",old english developed set anglo frisian ingvaeonic dialects originally spoken germanic tribes traditionally known angles saxons jutes germanic settlers dominant england language replaced languages roman britain common brittonic celtic language latin brought britain roman invasion old english main dialects associated particular anglo saxon kingdoms mercian northumbrian kentish west saxon west saxon formed basis literary standard later old english period dominant forms middle modern english develop mainly mercian scots northumbrian speech eastern northern parts england subject strong old norse influence scandinavian rule settlement beginning th century,5.93,"old,english,developed,set,anglo,frisian,ingvaeonic,dialects,originally,spoken,germanic,tribes,traditionally,known,angles,saxons,jutes,germanic,settlers,dominant,england,language,replaced,languages,roman,britain,common,brittonic,celtic,language,latin,brought,britain,roman,invasion,old,english,main,dialects,associated,particular,anglo,saxon,kingdoms,mercian,northumbrian,kentish,west,saxon,west,saxon,formed,basis,literary,standard,later,old,english,period,dominant,forms,middle,modern,english,develop,mainly,mercian,scots,northumbrian,speech,eastern,northern,parts,england,subject,strong,old,norse,influence,scandinavian,rule,settlement,beginning,th,century",0.00,english
"old english is one of the west germanic languages and its closest relatives are old frisian and old saxon like other old germanic languages it is very different from modern english and modern scots and largely incomprehensible for modern english or modern scots speakers without study  within old english grammar nouns adjectives pronouns and verbs have many inflectional endings and forms and word order is much freer the oldest old english inscriptions were written using a runic system but from about the th century this was replaced by a version of the latin alphabet
",old english west germanic languages closest relatives old frisian old saxon like old germanic languages different modern english modern scots largely incomprehensible modern english modern scots speakers study old english grammar nouns adjectives pronouns verbs inflectional endings forms word order freer oldest old english inscriptions written runic system th century replaced version latin alphabet,6.99,"old,english,west,germanic,languages,closest,relatives,old,frisian,old,saxon,like,old,germanic,languages,different,modern,english,modern,scots,largely,incomprehensible,modern,english,modern,scots,speakers,study,old,english,grammar,nouns,adjectives,pronouns,verbs,inflectional,endings,forms,word,order,freer,oldest,old,english,inscriptions,written,runic,system,th,century,replaced,version,latin,alphabet",0.00,english
"englis from which the word english is derived means pertaining to the angles in old english this word was derived from angles  during the th century all invading germanic tribes were referred to as englis it has been hypothesised that the angles acquired their name because their land on the coast of jutland  resembled a fishhook proto germanic anguz also had the meaning of narrow referring to the shallow waters near the coast that word ultimately goes back to proto indo european hen  also meaning narrow
",englis word english derived means pertaining angles old english word derived angles th century invading germanic tribes referred englis hypothesised angles acquired land coast jutland resembled fishhook proto germanic anguz meaning narrow referring shallow waters near coast word ultimately goes proto indo european hen meaning narrow,7.86,"englis,word,english,derived,means,pertaining,angles,old,english,word,derived,angles,th,century,invading,germanic,tribes,referred,englis,hypothesised,angles,acquired,land,coast,jutland,resembled,fishhook,proto,germanic,anguz,meaning,narrow,referring,shallow,waters,near,coast,word,ultimately,goes,proto,indo,european,hen,meaning,narrow",0.00,english
"another theory is that the derivation of narrow is the more likely connection to angling  which itself stems from a proto indo european  root meaning bend angle the semantic link is the fishing hook which is curved or bent at an angle in any case the angles may have been called such because they were a fishing people or were originally descended from such and therefore england would mean land of the fishermen and english would be the fishermens language
",theory derivation narrow likely connection angling stems proto indo european root meaning bend angle semantic link fishing hook curved bent angle case angles called fishing people originally descended england mean land fishermen english fishermens language,9.83,"theory,derivation,narrow,likely,connection,angling,stems,proto,indo,european,root,meaning,bend,angle,semantic,link,fishing,hook,curved,bent,angle,case,angles,called,fishing,people,originally,descended,england,mean,land,fishermen,english,fishermens,language",0.00,english
"old english was not static and its usage covered a period of  years from the anglo saxon settlement of britain in the th century to the late th century some time after the norman invasion while indicating that the establishment of dates is an arbitrary process albert baugh dates old english from  to  a period of full inflections a synthetic language perhaps around  of old english words are no longer in use but those that survived are the basic elements of modern english vocabulary
",old english static usage covered period years anglo saxon settlement britain th century late th century time norman invasion indicating establishment dates arbitrary process albert baugh dates old english period inflections synthetic language old english words longer use survived basic elements modern english vocabulary,8.23,"old,english,static,usage,covered,period,years,anglo,saxon,settlement,britain,th,century,late,th,century,time,norman,invasion,indicating,establishment,dates,arbitrary,process,albert,baugh,dates,old,english,period,inflections,synthetic,language,old,english,words,longer,use,survived,basic,elements,modern,english,vocabulary",0.00,english
"old english is a west germanic language and developed out of ingvaeonic  dialects from the th century it came to be spoken over most of the territory of the anglo saxon kingdoms which became the kingdom of england this included most of present day england as well as part of what is now southeastern scotland which for several centuries belonged to the kingdom of northumbria other parts of the island continued to use celtic languages  except in the areas of scandinavian settlements where old norse was spoken and danish law applied
",old english west germanic language developed ingvaeonic dialects th century came spoken territory anglo saxon kingdoms kingdom england included present day england southeastern scotland centuries belonged kingdom northumbria parts island continued use celtic languages areas scandinavian settlements old norse spoken danish law applied,8.97,"old,english,west,germanic,language,developed,ingvaeonic,dialects,th,century,came,spoken,territory,anglo,saxon,kingdoms,kingdom,england,included,present,day,england,southeastern,scotland,centuries,belonged,kingdom,northumbria,parts,island,continued,use,celtic,languages,areas,scandinavian,settlements,old,norse,spoken,danish,law,applied",0.00,english
"old english literacy developed after christianisation in the late th century the oldest surviving work of old english literature is cdmons hymn which was composed between  and  but not written down until the early th century there is a limited corpus of runic inscriptions from the th to th centuries but the oldest coherent runic texts  date to the early th century the old english latin alphabet was introduced around the th century
",old english literacy developed christianisation late th century oldest surviving work old english literature cdmons hymn composed written early th century limited corpus runic inscriptions th th centuries oldest coherent runic texts date early th century old english latin alphabet introduced th century,6.90,"old,english,literacy,developed,christianisation,late,th,century,oldest,surviving,work,old,english,literature,cdmons,hymn,composed,written,early,th,century,limited,corpus,runic,inscriptions,th,th,centuries,oldest,coherent,runic,texts,date,early,th,century,old,english,latin,alphabet,introduced,th,century",0.00,english
"with the unification of several of the anglo saxon kingdoms  by alfred the great in the later th century the language of government and literature became standardised around the west saxon dialect  alfred advocated education in english alongside latin and had many works translated into the english language some of them such as pope gregory is treatise pastoral care appear to have been translated by alfred himself in old english typical of the development of literature poetry arose before prose but alfred chiefly inspired the growth of prose
",unification anglo saxon kingdoms alfred great later th century language government literature standardised west saxon dialect alfred advocated education english alongside latin works translated english language pope gregory treatise pastoral care appear translated alfred old english typical development literature poetry arose prose alfred chiefly inspired growth prose,7.50,"unification,anglo,saxon,kingdoms,alfred,great,later,th,century,language,government,literature,standardised,west,saxon,dialect,alfred,advocated,education,english,alongside,latin,works,translated,english,language,pope,gregory,treatise,pastoral,care,appear,translated,alfred,old,english,typical,development,literature,poetry,arose,prose,alfred,chiefly,inspired,growth,prose",0.00,english
"a later literary standard dating from the late th century arose under the influence of bishop thelwold of winchester and was followed by such writers as the prolific lfric of eynsham  this form of the language is known as the winchester standard or more commonly as late west saxon it is considered to represent the classical form of old english it retained its position of prestige until the time of the norman conquest after which english ceased for a time to be of importance as a literary language
",later literary standard dating late th century arose influence bishop thelwold winchester followed writers prolific lfric eynsham form language known winchester standard commonly late west saxon considered represent classical form old english retained position prestige time norman conquest english ceased time importance literary language,8.76,"later,literary,standard,dating,late,th,century,arose,influence,bishop,thelwold,winchester,followed,writers,prolific,lfric,eynsham,form,language,known,winchester,standard,commonly,late,west,saxon,considered,represent,classical,form,old,english,retained,position,prestige,time,norman,conquest,english,ceased,time,importance,literary,language",0.00,english
