Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"oslo  or sl l southern sami oslove is the capital and most populous city of norway it constitutes both a county and a municipality the municipality of oslo had a population of  in  while the citys greater urban area had a population of  in  and the metropolitan area had an estimated population of  in 
",oslo sl l southern sami oslove capital populous city norway constitutes county municipality municipality oslo population citys greater urban area population metropolitan area estimated population,9.57,"oslo,sl,l,southern,sami,oslove,capital,populous,city,norway,constitutes,county,municipality,municipality,oslo,population,citys,greater,urban,area,population,metropolitan,area,estimated,population",0.00,oslo
"during the viking age the area was part of viken oslo was founded as a city at the end of the viking age in  under the name nslo and established as a kaupstad or trading place in  by harald hardrada the city was elevated to a bishopric in  and a capital under haakon v of norway around  personal unions with denmark from  to  and again from  to  reduced its influence after being destroyed by a fire in  during the reign of king christian iv a new city was built closer to akershus fortress and named christiania in honour of the king it became a municipality  on  january  the city functioned as the capital of norway during the  union between sweden and norway from  the citys name was spelled kristiania in government usage a spelling that was adopted by the municipal authorities in  in  the city after incorporating the village retaining its former name was renamed oslo in  oslo merged with aker a municipality which surrounded the capital and which was  times larger thus creating the modern much larger oslo municipality
",viking age area viken oslo founded city end viking age nslo established kaupstad trading place harald hardrada city elevated bishopric capital haakon v norway personal unions denmark reduced influence destroyed fire reign king christian iv new city built closer akershus fortress named christiania honour king municipality january city functioned capital norway union sweden norway citys spelled kristiania government usage spelling adopted municipal authorities city incorporating village retaining renamed oslo oslo merged aker municipality surrounded capital times larger creating modern larger oslo municipality,9.52,"viking,age,area,viken,oslo,founded,city,end,viking,age,nslo,established,kaupstad,trading,place,harald,hardrada,city,elevated,bishopric,capital,haakon,v,norway,personal,unions,denmark,reduced,influence,destroyed,fire,reign,king,christian,iv,new,city,built,closer,akershus,fortress,named,christiania,honour,king,municipality,january,city,functioned,capital,norway,union,sweden,norway,citys,spelled,kristiania,government,usage,spelling,adopted,municipal,authorities,city,incorporating,village,retaining,renamed,oslo,oslo,merged,aker,municipality,surrounded,capital,times,larger,creating,modern,larger,oslo,municipality",0.00,oslo
"oslo is the economic and governmental centre of norway the city is also a hub of norwegian trade banking industry and shipping it is an important centre for maritime industries and maritime trade in europe the city is home to many companies within the maritime sector some of which are among the worlds largest shipping companies shipbrokers and maritime insurance brokers oslo is a pilot city of the council of europe and the european commission intercultural cities programme
",oslo economic governmental centre norway city hub norwegian trade banking industry shipping important centre maritime industries maritime trade europe city home companies maritime sector worlds largest shipping companies shipbrokers maritime insurance brokers oslo pilot city council europe european commission intercultural cities programme,7.53,"oslo,economic,governmental,centre,norway,city,hub,norwegian,trade,banking,industry,shipping,important,centre,maritime,industries,maritime,trade,europe,city,home,companies,maritime,sector,worlds,largest,shipping,companies,shipbrokers,maritime,insurance,brokers,oslo,pilot,city,council,europe,european,commission,intercultural,cities,programme",0.00,oslo
"oslo is considered a global city and was ranked beta world city in studies carried out by the globalization and world cities study group and network in  it was ranked number one in terms of quality of life among european large cities in the european cities of the future  report by fdi magazine a survey conducted by eca international in  placed oslo as the second most expensive city in the world for living expenses after tokyo in  oslo tied with the australian city of melbourne as the fourth most expensive city in the world according to the economist intelligence unit s worldwide cost of living study oslo was ranked as the th most liveable city in the world by monocle magazine
",oslo considered global city ranked beta world city studies carried globalization world cities study group network ranked number terms quality life european large cities european cities future report fdi magazine survey conducted eca international placed oslo second expensive city world living expenses tokyo oslo tied australian city melbourne fourth expensive city world according economist intelligence unit worldwide cost living study oslo ranked th liveable city world monocle magazine,7.74,"oslo,considered,global,city,ranked,beta,world,city,studies,carried,globalization,world,cities,study,group,network,ranked,number,terms,quality,life,european,large,cities,european,cities,future,report,fdi,magazine,survey,conducted,eca,international,placed,oslo,second,expensive,city,world,living,expenses,tokyo,oslo,tied,australian,city,melbourne,fourth,expensive,city,world,according,economist,intelligence,unit,worldwide,cost,living,study,oslo,ranked,th,liveable,city,world,monocle,magazine",0.00,oslo
"the municipality of oslo has a population of  as of  march  the urban area extends beyond the boundaries of the municipality into the surrounding county of viken  the total population of this agglomeration was  in  the city centre is situated at the end of the oslofjord from which point the city sprawls out in three distinct corridorsinland north eastwards and southwards along both sides of the fjordwhich gives the urbanized area a shape reminiscent of an upside down reclining y 
",municipality oslo population march urban area extends boundaries municipality surrounding county viken total population agglomeration city centre situated end oslofjord point city sprawls distinct corridorsinland north eastwards southwards sides fjordwhich gives urbanized area shape reminiscent upside reclining,8.87,"municipality,oslo,population,march,urban,area,extends,boundaries,municipality,surrounding,county,viken,total,population,agglomeration,city,centre,situated,end,oslofjord,point,city,sprawls,distinct,corridorsinland,north,eastwards,southwards,sides,fjordwhich,gives,urbanized,area,shape,reminiscent,upside,reclining",0.00,oslo
"to the north and east wide forested hills  rise above the city giving the location the shape of a giant amphitheatre the urban municipality  of oslo and county  of oslo are two parts of the same entity making oslo the only city in norway where two administrative levels are integrated of oslos total area  km  is built up and  km  is agricultural the open areas within the built up zone amount to  km 
",north east wide forested hills rise city giving location shape giant amphitheatre urban municipality oslo county oslo parts entity making oslo city norway administrative levels integrated oslos total area km built km agricultural open areas built zone km,8.71,"north,east,wide,forested,hills,rise,city,giving,location,shape,giant,amphitheatre,urban,municipality,oslo,county,oslo,parts,entity,making,oslo,city,norway,administrative,levels,integrated,oslos,total,area,km,built,km,agricultural,open,areas,built,zone,km",0.00,oslo
"the city of oslo was established as a municipality on  january   it was separated from the county of akershus to become a county of its own in  the rural municipality of aker was merged with oslo on  january   furthermore oslo shares several important functions with akershus county
",city oslo established municipality january separated county akershus county rural municipality aker merged oslo january furthermore oslo shares important functions akershus county,8.83,"city,oslo,established,municipality,january,separated,county,akershus,county,rural,municipality,aker,merged,oslo,january,furthermore,oslo,shares,important,functions,akershus,county",0.00,oslo
"after being destroyed by a fire in  during the reign of king christian iv a new city was built closer to akershus fortress and named christiania in the kings honour the old site east of the aker river was not abandoned however and the village of oslo remained as a suburb outside the city gates the suburb called oslo was eventually included in the city proper in  the name of the suburb was transferred to the whole city while the suburb was renamed gamlebyen literally the old town to avoid confusion the old town is an area within the administrative district gamle oslo the previous names are reflected in street names like oslo gate  and oslo hospital
",destroyed fire reign king christian iv new city built closer akershus fortress named christiania kings honour old site east aker river abandoned village oslo remained suburb outside city gates suburb called oslo eventually included city proper suburb transferred city suburb renamed gamlebyen literally old town avoid confusion old town area administrative district gamle oslo previous names reflected street names like oslo gate oslo hospital,8.08,"destroyed,fire,reign,king,christian,iv,new,city,built,closer,akershus,fortress,named,christiania,kings,honour,old,site,east,aker,river,abandoned,village,oslo,remained,suburb,outside,city,gates,suburb,called,oslo,eventually,included,city,proper,suburb,transferred,city,suburb,renamed,gamlebyen,literally,old,town,avoid,confusion,old,town,area,administrative,district,gamle,oslo,previous,names,reflected,street,names,like,oslo,gate,oslo,hospital",0.00,oslo
"the origin of the name oslo has been the subject of much debate it is certainly derived from old norse and wasin all probabilityoriginally the name of a large farm at bjrvika however the meaning of that name is disputed modern linguists generally interpret the original slo slo or nslo as either meadow at the foot of a hill or meadow consecrated to the gods with both considered equally likely
",origin oslo subject debate certainly derived old norse wasin probabilityoriginally large farm bjrvika meaning disputed modern linguists generally interpret original slo slo nslo meadow foot hill meadow consecrated gods considered equally likely,9.62,"origin,oslo,subject,debate,certainly,derived,old,norse,wasin,probabilityoriginally,large,farm,bjrvika,meaning,disputed,modern,linguists,generally,interpret,original,slo,slo,nslo,meadow,foot,hill,meadow,consecrated,gods,considered,equally,likely",0.00,oslo
"erroneously it was once assumed that oslo meant the mouth of the lo river a supposed previous name for the river alna however not only has no evidence been found of a river lo predating the work where peder claussn friis first proposed this etymology but the very name is ungrammatical in norwegian the correct form would have been loaros  the name lo is now believed to be a back formation arrived at by friis in support of his idea about etymology for oslo
",erroneously assumed oslo meant mouth lo river supposed previous river alna evidence found river lo predating work peder claussn friis proposed etymology ungrammatical norwegian correct form loaros lo believed formation arrived friis support idea etymology oslo,10.46,"erroneously,assumed,oslo,meant,mouth,lo,river,supposed,previous,river,alna,evidence,found,river,lo,predating,work,peder,claussn,friis,proposed,etymology,ungrammatical,norwegian,correct,form,loaros,lo,believed,formation,arrived,friis,support,idea,etymology,oslo",0.00,oslo
