Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the ottawa senators  officially the ottawa senators hockey clubb and colloquially known as the sens are a professional ice hockey team based in ottawa they compete in the national hockey league  as a member of the atlantic division in the eastern conference and play their home games at the  seat canadian tire centre which opened in  as the palladium
",ottawa senators officially ottawa senators hockey clubb colloquially known sens professional ice hockey team based ottawa compete national hockey league member atlantic division eastern conference play home games seat canadian tire centre opened palladium,7.10,"ottawa,senators,officially,ottawa,senators,hockey,clubb,colloquially,known,sens,professional,ice,hockey,team,based,ottawa,compete,national,hockey,league,member,atlantic,division,eastern,conference,play,home,games,seat,canadian,tire,centre,opened,palladium",0.00,ottawa
"founded and established by ottawa real estate developer bruce firestone the team is the second nhl franchise to use the ottawa senators name the original ottawa senators founded in  had a famed history winning the stanley cup  times playing in the nhl from  until  on december   after a two year public campaign by firestone the nhl awarded a new franchise which began play in the  season the senators have made   playoff appearances won four division titles and won the  presidents trophy they made an appearance in the  stanley cup finals but lost to the anaheim ducks in five games
",founded established ottawa real estate developer bruce firestone team second nhl franchise use ottawa senators original ottawa senators founded famed history winning stanley cup times playing nhl december year public campaign firestone nhl awarded new franchise began play season senators playoff appearances division titles presidents trophy appearance stanley cup finals lost anaheim ducks games,7.69,"founded,established,ottawa,real,estate,developer,bruce,firestone,team,second,nhl,franchise,use,ottawa,senators,original,ottawa,senators,founded,famed,history,winning,stanley,cup,times,playing,nhl,december,year,public,campaign,firestone,nhl,awarded,new,franchise,began,play,season,senators,playoff,appearances,division,titles,presidents,trophy,appearance,stanley,cup,finals,lost,anaheim,ducks,games",0.00,ottawa
"ottawa had been home to the original senators a founding nhl franchise and  time stanley cup champions after the nhl expanded to the united states in the late s the original senators eventual financial losses forced the franchise to move to st louis in  operating as the eagles while a senators senior amateur team took over the senators place in ottawa the nhl team was unsuccessful in st louis and planned to return to ottawa but the nhl decided instead to suspend the franchise and transfer the players to other nhl teams
",ottawa home original senators founding nhl franchise time stanley cup champions nhl expanded united states late original senators eventual financial losses forced franchise st louis operating eagles senators senior amateur team took senators place ottawa nhl team unsuccessful st louis planned return ottawa nhl decided instead suspend franchise transfer players nhl teams,7.62,"ottawa,home,original,senators,founding,nhl,franchise,time,stanley,cup,champions,nhl,expanded,united,states,late,original,senators,eventual,financial,losses,forced,franchise,st,louis,operating,eagles,senators,senior,amateur,team,took,senators,place,ottawa,nhl,team,unsuccessful,st,louis,planned,return,ottawa,nhl,decided,instead,suspend,franchise,transfer,players,nhl,teams",0.00,ottawa
"fifty four years later after the nhl announced plans to expand ottawa real estate developer bruce firestone decided along with colleagues cyril leeder and randy sexton that ottawa was now able to support an nhl franchise and the group proceeded to put a bid together his firm terrace investments did not have the liquid assets to finance the expansion fee and the team but the group conceived a strategy to leverage land development in  after finding a suitable site on farmland just west of ottawa in kanata on which to construct a new arena terrace announced its intention to win a franchise and launched a successful bring back the senators campaign to both woo the public and persuade the nhl that the city could support an nhl franchise public support was high and the group would secure over  season ticket pledges on december   the nhl approved a new franchise for firestones group to start play in the  season
",years later nhl announced plans expand ottawa real estate developer bruce firestone decided colleagues cyril leeder randy sexton ottawa able support nhl franchise group proceeded bid firm terrace investments liquid assets finance expansion fee team group conceived strategy leverage land development finding suitable site farmland west ottawa kanata construct new arena terrace announced intention win franchise launched successful bring senators campaign woo public persuade nhl city support nhl franchise public support high group secure season ticket pledges december nhl approved new franchise firestones group start play season,7.73,"years,later,nhl,announced,plans,expand,ottawa,real,estate,developer,bruce,firestone,decided,colleagues,cyril,leeder,randy,sexton,ottawa,able,support,nhl,franchise,group,proceeded,bid,firm,terrace,investments,liquid,assets,finance,expansion,fee,team,group,conceived,strategy,leverage,land,development,finding,suitable,site,farmland,west,ottawa,kanata,construct,new,arena,terrace,announced,intention,win,franchise,launched,successful,bring,senators,campaign,woo,public,persuade,nhl,city,support,nhl,franchise,public,support,high,group,secure,season,ticket,pledges,december,nhl,approved,new,franchise,firestones,group,start,play,season",0.00,ottawa
"the new team hired former nhl player mel bridgman who had no previous nhl management experience as its first general manager in  the team was initially interested in hiring former jack adams award winner brian sutter as its first head coach but sutter came with a high price tag and was reluctant to be a part of an expansion team when sutter was eventually signed to coach the boston bruins ottawa signed rick bowness the man sutter replaced in boston the new senators were placed in the adams division of the wales conference and played their first game on october   in the ottawa civic centre against the montreal canadiens with much pre game spectacle the senators defeated the canadiens  in one of the few highlights that season following the initial excitement of the opening night victory the club floundered badly and eventually tied the san jose sharks for the worst record in the league winning only  games with  losses and four ties for  points three points better than the nhl record for futility the senators had aimed low and considered the  season a small success as firestone had set a goal for the season of not setting a new nhl record for fewest points in a season the long term plan was to finish low in the standings for its first few years in order to secure high draft picks and eventually contend for the stanley cup
",new team hired nhl player mel bridgman previous nhl management experience general manager team initially interested hiring jack adams award winner brian sutter head coach sutter came high price tag reluctant expansion team sutter eventually signed coach boston bruins ottawa signed rick bowness man sutter replaced boston new senators placed adams division wales conference played game october ottawa civic centre montreal canadiens pre game spectacle senators defeated canadiens highlights season following initial excitement opening night victory club floundered badly eventually tied san jose sharks worst record league winning games losses ties points points better nhl record futility senators aimed low considered season small success firestone set goal season setting new nhl record fewest points season long term plan finish low standings years order secure high draft picks eventually contend stanley cup,7.90,"new,team,hired,nhl,player,mel,bridgman,previous,nhl,management,experience,general,manager,team,initially,interested,hiring,jack,adams,award,winner,brian,sutter,head,coach,sutter,came,high,price,tag,reluctant,expansion,team,sutter,eventually,signed,coach,boston,bruins,ottawa,signed,rick,bowness,man,sutter,replaced,boston,new,senators,placed,adams,division,wales,conference,played,game,october,ottawa,civic,centre,montreal,canadiens,pre,game,spectacle,senators,defeated,canadiens,highlights,season,following,initial,excitement,opening,night,victory,club,floundered,badly,eventually,tied,san,jose,sharks,worst,record,league,winning,games,losses,ties,points,points,better,nhl,record,futility,senators,aimed,low,considered,season,small,success,firestone,set,goal,season,setting,new,nhl,record,fewest,points,season,long,term,plan,finish,low,standings,years,order,secure,high,draft,picks,eventually,contend,stanley,cup",0.00,ottawa
"off ice terrace needed a partner to make the final franchise payment to the nhl firestone sold  of terrace to rod bryden a technology executive and entrepreneur a limited partnership was set up to own the hockey team and a new company palladium corp which was charged with building the new arena the partnership included local high tech executives and singer paul anka who was born in ottawa bryden would become the sole owner of terrace and majority owner of the senators in august  buying out firestone
",ice terrace needed partner final franchise payment nhl firestone sold terrace rod bryden technology executive entrepreneur limited partnership set hockey team new company palladium corp charged building new arena partnership included local high tech executives singer paul anka born ottawa bryden sole owner terrace majority owner senators august buying firestone,7.33,"ice,terrace,needed,partner,final,franchise,payment,nhl,firestone,sold,terrace,rod,bryden,technology,executive,entrepreneur,limited,partnership,set,hockey,team,new,company,palladium,corp,charged,building,new,arena,partnership,included,local,high,tech,executives,singer,paul,anka,born,ottawa,bryden,sole,owner,terrace,majority,owner,senators,august,buying,firestone",0.00,ottawa
"as the  season began star centre alexei yashin refused to honour his contract and did not play in december after three straight last place finishes and a team which was ridiculed throughout the league fans began to grow restless waiting for the teams long term plan to yield results and arena attendance began to decline rick bowness was fired in late  and was replaced by the prince edward island senators head coach dave allison allison would fare no better than his predecessor and the team would stumble to a  record under him sexton himself was fired and replaced by pierre gauthier the former assistant gm of the mighty ducks of anaheim team before the end of january  gauthier had resolved the teams most pressing issues by settling star player alexei yashins contract dispute and hiring the highly regarded jacques martin as head coach while ottawa finished last overall once again the season ended with renewed optimism due in part to the upgraded management and coaching and also to the emergence of an unheralded rookie from sweden named daniel alfredsson who would win the calder memorial trophy as nhl rookie of the year in 
",season began star centre alexei yashin refused honour contract play december straight place finishes team ridiculed league fans began grow restless waiting teams long term plan yield results arena attendance began decline rick bowness fired late replaced prince edward island senators head coach dave allison allison fare better predecessor team stumble record sexton fired replaced pierre gauthier assistant gm mighty ducks anaheim team end january gauthier resolved teams pressing issues settling star player alexei yashins contract dispute hiring highly regarded jacques martin head coach ottawa finished overall season ended renewed optimism upgraded management coaching emergence unheralded rookie sweden named daniel alfredsson win calder memorial trophy nhl rookie year,7.47,"season,began,star,centre,alexei,yashin,refused,honour,contract,play,december,straight,place,finishes,team,ridiculed,league,fans,began,grow,restless,waiting,teams,long,term,plan,yield,results,arena,attendance,began,decline,rick,bowness,fired,late,replaced,prince,edward,island,senators,head,coach,dave,allison,allison,fare,better,predecessor,team,stumble,record,sexton,fired,replaced,pierre,gauthier,assistant,gm,mighty,ducks,anaheim,team,end,january,gauthier,resolved,teams,pressing,issues,settling,star,player,alexei,yashins,contract,dispute,hiring,highly,regarded,jacques,martin,head,coach,ottawa,finished,overall,season,ended,renewed,optimism,upgraded,management,coaching,emergence,unheralded,rookie,sweden,named,daniel,alfredsson,win,calder,memorial,trophy,nhl,rookie,year",0.00,ottawa
"in  his first season the club qualified for the playoffs in the last game of the season and nearly defeated the buffalo sabres in the first round in  the club finished with their first winning record and upset the heavily favoured new jersey devils to win their first playoff series in  the senators jumped from fourteenth overall in the previous season to third with  pointsthe first  point season in club history only to be swept in the first round by the sabres in  despite the holdout of team captain alexei yashin martin guided the team to the playoffs only to lose to the maple leafs in the first battle of ontario series yashin returned for  and the team improved to win their division and place second in the eastern conference yashin played poorly in another first round playoff loss and on the day of the  nhl entry draft he was traded to the new york islanders in exchange for zdeno chara bill muckalt and the second overall selection in the draft which ottawa used to select centre jason spezza
",season club qualified playoffs game season nearly defeated buffalo sabres round club finished winning record upset heavily favoured new jersey devils win playoff series senators jumped fourteenth overall previous season pointsthe point season club history swept round sabres despite holdout team captain alexei yashin martin guided team playoffs lose maple leafs battle ontario series yashin returned team improved win division place second eastern conference yashin played poorly round playoff loss day nhl entry draft traded new york islanders exchange zdeno chara bill muckalt second overall selection draft ottawa select centre jason spezza,8.64,"season,club,qualified,playoffs,game,season,nearly,defeated,buffalo,sabres,round,club,finished,winning,record,upset,heavily,favoured,new,jersey,devils,win,playoff,series,senators,jumped,fourteenth,overall,previous,season,pointsthe,point,season,club,history,swept,round,sabres,despite,holdout,team,captain,alexei,yashin,martin,guided,team,playoffs,lose,maple,leafs,battle,ontario,series,yashin,returned,team,improved,win,division,place,second,eastern,conference,yashin,played,poorly,round,playoff,loss,day,nhl,entry,draft,traded,new,york,islanders,exchange,zdeno,chara,bill,muckalt,second,overall,selection,draft,ottawa,select,centre,jason,spezza",0.00,ottawa
"although the senators were bankrupt they continued to play in the  season after getting emergency financing despite the off ice problems ottawa had an outstanding season placing first overall in the nhl to win the presidents trophy in the playoffs they came within one game of making it into the finals losing to the eventual stanley cup champion new jersey devils in  martin would guide the team to another good regular season but again would lose in the first round of the playoffs to the maple leafs leading to martins dismissal as management felt that a new coach was required for playoff success
",senators bankrupt continued play season getting emergency financing despite ice problems ottawa outstanding season placing overall nhl win presidents trophy playoffs came game making finals losing eventual stanley cup champion new jersey devils martin guide team good regular season lose round playoffs maple leafs leading martins dismissal management felt new coach required playoff success,8.15,"senators,bankrupt,continued,play,season,getting,emergency,financing,despite,ice,problems,ottawa,outstanding,season,placing,overall,nhl,win,presidents,trophy,playoffs,came,game,making,finals,losing,eventual,stanley,cup,champion,new,jersey,devils,martin,guide,team,good,regular,season,lose,round,playoffs,maple,leafs,leading,martins,dismissal,management,felt,new,coach,required,playoff,success",0.00,ottawa
"in  the senators reached the stanley cup finals after qualifying for the playoffs in nine consecutive seasons the senators had a high turn over of personnel and the disappointment of  to overcome and started the season poorly trade rumours swirled around daniel alfredsson for most of the last months of  the team lifted itself out of last place in the division to nearly catch the buffalo sabres by seasons end placing fourth in the eastern conference the team finished with  points their fourth consecutive  point season and sixth in the last eight in the playoffs ottawa continued its good play led by the cash line goaltender ray emery and the strong defence of chris phillips and anton volchenkov the club defeated the pittsburgh penguins the second ranked new jersey devils and the top ranked sabres to advance to the stanley cup finals
",senators reached stanley cup finals qualifying playoffs consecutive seasons senators high turn personnel disappointment overcome started season poorly trade rumours swirled daniel alfredsson months team lifted place division nearly catch buffalo sabres seasons end placing fourth eastern conference team finished points fourth consecutive point season sixth playoffs ottawa continued good play led cash line goaltender ray emery strong defence chris phillips anton volchenkov club defeated pittsburgh penguins second ranked new jersey devils ranked sabres advance stanley cup finals,7.59,"senators,reached,stanley,cup,finals,qualifying,playoffs,consecutive,seasons,senators,high,turn,personnel,disappointment,overcome,started,season,poorly,trade,rumours,swirled,daniel,alfredsson,months,team,lifted,place,division,nearly,catch,buffalo,sabres,seasons,end,placing,fourth,eastern,conference,team,finished,points,fourth,consecutive,point,season,sixth,playoffs,ottawa,continued,good,play,led,cash,line,goaltender,ray,emery,strong,defence,chris,phillips,anton,volchenkov,club,defeated,pittsburgh,penguins,second,ranked,new,jersey,devils,ranked,sabres,advance,stanley,cup,finals",0.00,ottawa
