Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"ottawa  tw canadian french taw is the capital city of canada it is located at the confluence of the ottawa river and the rideau river in the southern portion of the province of ontario ottawa borders gatineau quebec and forms the core of the ottawagatineau census metropolitan area  and the national capital region  as of update ottawa had a city population of  and a metropolitan population of  making it the fourth largest city and fourth largest metropolitan area in canada
",ottawa tw canadian french taw capital city canada located confluence ottawa river rideau river southern portion province ontario ottawa borders gatineau quebec forms core ottawagatineau census metropolitan area national capital region update ottawa city population metropolitan population making fourth largest city fourth largest metropolitan area canada,7.13,"ottawa,tw,canadian,french,taw,capital,city,canada,located,confluence,ottawa,river,rideau,river,southern,portion,province,ontario,ottawa,borders,gatineau,quebec,forms,core,ottawagatineau,census,metropolitan,area,national,capital,region,update,ottawa,city,population,metropolitan,population,making,fourth,largest,city,fourth,largest,metropolitan,area,canada",0.00,ottawa
"ottawa is the political centre of canada and headquarters to the federal government the city houses numerous foreign embassies key buildings organizations and institutions of canadas government including the parliament of canada the supreme court the residence of canadas viceroy and office of the prime minister
",ottawa political centre canada headquarters federal government city houses numerous foreign embassies key buildings organizations institutions canadas government including parliament canada supreme court residence canadas viceroy office prime minister,5.43,"ottawa,political,centre,canada,headquarters,federal,government,city,houses,numerous,foreign,embassies,key,buildings,organizations,institutions,canadas,government,including,parliament,canada,supreme,court,residence,canadas,viceroy,office,prime,minister",0.00,ottawa
"founded in  as bytown and incorporated as ottawa in  its original boundaries were expanded through numerous annexations and were ultimately replaced by a new city incorporation and amalgamation in  the municipal government of ottawa is established and governed by the city of ottawa act of the government of ontario and has an elected city council across  wards and a mayor elected city wide
",founded bytown incorporated ottawa original boundaries expanded numerous annexations ultimately replaced new city incorporation amalgamation municipal government ottawa established governed city ottawa act government ontario elected city council wards mayor elected city wide,7.65,"founded,bytown,incorporated,ottawa,original,boundaries,expanded,numerous,annexations,ultimately,replaced,new,city,incorporation,amalgamation,municipal,government,ottawa,established,governed,city,ottawa,act,government,ontario,elected,city,council,wards,mayor,elected,city,wide",0.00,ottawa
"ottawa has the most educated population among canadian cities and is home to a number of colleges and universities research and cultural institutions including the university of ottawa carleton university algonquin college the national arts centre the national gallery of canada and numerous national museums monuments and historic sites it is one of the most visited cities in canada with over  million visitors in 
",ottawa educated population canadian cities home number colleges universities research cultural institutions including university ottawa carleton university algonquin college national arts centre national gallery canada numerous national museums monuments historic sites visited cities canada million visitors,6.71,"ottawa,educated,population,canadian,cities,home,number,colleges,universities,research,cultural,institutions,including,university,ottawa,carleton,university,algonquin,college,national,arts,centre,national,gallery,canada,numerous,national,museums,monuments,historic,sites,visited,cities,canada,million,visitors",0.00,ottawa
"the city name ottawa was chosen in  as a reference to the ottawa river the name of which is derived from the algonquin adawe meaning to trade the citys modern name in algonquin language is odwg the algonquin anishinaabe previously occupied a large tract of land on which ottawa was settled
",city ottawa chosen reference ottawa river derived algonquin adawe meaning trade citys modern algonquin language odwg algonquin anishinaabe previously occupied large tract land ottawa settled,8.97,"city,ottawa,chosen,reference,ottawa,river,derived,algonquin,adawe,meaning,trade,citys,modern,algonquin,language,odwg,algonquin,anishinaabe,previously,occupied,large,tract,land,ottawa,settled",0.00,ottawa
"ottawa is situated on the traditional land of the algonquins a broad indigenous people who are closely related to the odawa and ojibwe peoples
",ottawa situated traditional land algonquins broad indigenous people closely related odawa ojibwe peoples,7.69,"ottawa,situated,traditional,land,algonquins,broad,indigenous,people,closely,related,odawa,ojibwe,peoples",0.00,ottawa
"the ottawa valley became habitable around  years ago following the natural draining of the champlain sea archaeological findings of arrowheads tools and pottery indicate that indigenous populations first settled in the area about  years ago these findings suggest that these algonquin people were engaged in foraging hunting and fishing but also trade and travel three major rivers meet within ottawa making it an important trade and travel area for thousands of years this period ended with the arrival of settlers and colonization of north america by europeans during and after the th century
",ottawa valley habitable years ago following natural draining champlain sea archaeological findings arrowheads tools pottery indicate indigenous populations settled area years ago findings suggest algonquin people engaged foraging hunting fishing trade travel major rivers meet ottawa making important trade travel area thousands years period ended arrival settlers colonization north america europeans th century,6.72,"ottawa,valley,habitable,years,ago,following,natural,draining,champlain,sea,archaeological,findings,arrowheads,tools,pottery,indicate,indigenous,populations,settled,area,years,ago,findings,suggest,algonquin,people,engaged,foraging,hunting,fishing,trade,travel,major,rivers,meet,ottawa,making,important,trade,travel,area,thousands,years,period,ended,arrival,settlers,colonization,north,america,europeans,th,century",0.00,ottawa
"in  tienne brl became the first documented european to navigate the ottawa river passing what would become ottawa on his way to the great lakes three years later samuel de champlain wrote about the waterfalls in the area and about his encounters with the algonquin people
",tienne brl documented european navigate ottawa river passing ottawa way great lakes years later samuel de champlain wrote waterfalls area encounters algonquin people,8.46,"tienne,brl,documented,european,navigate,ottawa,river,passing,ottawa,way,great,lakes,years,later,samuel,de,champlain,wrote,waterfalls,area,encounters,algonquin,people",0.00,ottawa
"the first non indigenous settlement in the area was created by philemon wright a new englander wright founded a lumber town in the area on  march  on the north side of the river across from the present day city of ottawa in hull  he with five other families and twenty five labourers also created an agricultural community which was named wrightsville wright pioneered the ottawa valley timber trade  by transporting timber by river from the ottawa valley to quebec city
",non indigenous settlement area created philemon wright new englander wright founded lumber town area march north river present day city ottawa hull families labourers created agricultural community named wrightsville wright pioneered ottawa valley timber trade transporting timber river ottawa valley quebec city,8.07,"non,indigenous,settlement,area,created,philemon,wright,new,englander,wright,founded,lumber,town,area,march,north,river,present,day,city,ottawa,hull,families,labourers,created,agricultural,community,named,wrightsville,wright,pioneered,ottawa,valley,timber,trade,transporting,timber,river,ottawa,valley,quebec,city",0.00,ottawa
"in  news of the impending construction of the rideau canal by the british military led to land speculators founding a community on the south side of the ottawa river the following year the town was named after british military engineer colonel john by who was responsible for the entire rideau waterway construction project the rideau canal provided a secure route between montreal and kingston on lake ontario it bypassed a vulnerable stretch of the st lawrence river bordering the state of new york that had left re supply ships bound for southwestern ontario easily exposed to enemy fire during the war of 
",news impending construction rideau canal british military led land speculators founding community south ottawa river following year town named british military engineer colonel john responsible entire rideau waterway construction project rideau canal provided secure route montreal kingston lake ontario bypassed vulnerable stretch st lawrence river bordering state new york left supply ships bound southwestern ontario easily exposed enemy fire war,6.89,"news,impending,construction,rideau,canal,british,military,led,land,speculators,founding,community,south,ottawa,river,following,year,town,named,british,military,engineer,colonel,john,responsible,entire,rideau,waterway,construction,project,rideau,canal,provided,secure,route,montreal,kingston,lake,ontario,bypassed,vulnerable,stretch,st,lawrence,river,bordering,state,new,york,left,supply,ships,bound,southwestern,ontario,easily,exposed,enemy,fire,war",0.00,ottawa
