Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"pakistan d officially the islamic republic of pakistan  is a country in south asia it is the worlds fifth most populous country with a population of almost  million people and has the worlds second largest muslim population just behind indonesia pakistan is the rd largest country in the world by area and the second largest in south asia spanning  square kilometres  it has a  kilometre  coastline along the arabian sea and gulf of oman in the south and is bordered by india to the east afghanistan to the west iran to the southwest and china to the northeast it is separated narrowly from tajikistan by afghanistans wakhan corridor in the north and also shares a maritime border with oman islamabad is the nations capital while karachi is its largest city and financial centre
",pakistan officially islamic republic pakistan country south asia worlds fifth populous country population million people worlds second largest muslim population indonesia pakistan rd largest country world area second largest south asia spanning square kilometres kilometre coastline arabian sea gulf oman south bordered india east afghanistan west iran southwest china northeast separated narrowly tajikistan afghanistans wakhan corridor north shares maritime border oman islamabad nations capital karachi largest city financial centre,8.22,"pakistan,officially,islamic,republic,pakistan,country,south,asia,worlds,fifth,populous,country,population,million,people,worlds,second,largest,muslim,population,indonesia,pakistan,rd,largest,country,world,area,second,largest,south,asia,spanning,square,kilometres,kilometre,coastline,arabian,sea,gulf,oman,south,bordered,india,east,afghanistan,west,iran,southwest,china,northeast,separated,narrowly,tajikistan,afghanistans,wakhan,corridor,north,shares,maritime,border,oman,islamabad,nations,capital,karachi,largest,city,financial,centre",0.00,pakistan
"pakistan is the site of several ancient cultures including the  year old neolithic site of mehrgarh in balochistan the indus valley civilisation of the bronze age the most extensive of the civilisations of the afro eurasia and the ancient gandhara civilization the region that comprises the modern state of pakistan was the realm of multiple empires and dynasties including the achaemenid briefly that of alexander the great the seleucid the maurya the kushan the gupta the umayyad caliphate in its southern regions the hindu shahis the ghaznavids the delhi sultanate the mughals the durranis the omani empire the sikh empire british east india company rule and most recently the british raj from  to 
",pakistan site ancient cultures including year old neolithic site mehrgarh balochistan indus valley civilisation bronze age extensive civilisations afro eurasia ancient gandhara civilization region comprises modern state pakistan realm multiple empires dynasties including achaemenid briefly alexander great seleucid maurya kushan gupta umayyad caliphate southern regions hindu shahis ghaznavids delhi sultanate mughals durranis omani empire sikh empire british east india company rule recently british raj,6.98,"pakistan,site,ancient,cultures,including,year,old,neolithic,site,mehrgarh,balochistan,indus,valley,civilisation,bronze,age,extensive,civilisations,afro,eurasia,ancient,gandhara,civilization,region,comprises,modern,state,pakistan,realm,multiple,empires,dynasties,including,achaemenid,briefly,alexander,great,seleucid,maurya,kushan,gupta,umayyad,caliphate,southern,regions,hindu,shahis,ghaznavids,delhi,sultanate,mughals,durranis,omani,empire,sikh,empire,british,east,india,company,rule,recently,british,raj",0.00,pakistan
"spurred by the pakistan movement which sought a homeland for the muslims of british india and election victories in  by the all india muslim league pakistan gained independence in  after the partition of the british indian empire which awarded separate statehood to its muslim majority regions and was accompanied by an unparalleled mass migration and loss of life initially a dominion of the british commonwealth pakistan officially drafted its constitution in  and emerged as a declared islamic republic in  the exclave of east pakistan seceded as the new country of bangladesh after a nine month long civil war in the following four decades pakistan has been ruled by governments whose descriptions although complex commonly alternated between civilian and military democratic and authoritarian relatively secular and islamist pakistan elected a civilian government in  and in  adopted a parliamentary system with periodic elections
",spurred pakistan movement sought homeland muslims british india election victories india muslim league pakistan gained independence partition british indian empire awarded separate statehood muslim majority regions accompanied unparalleled mass migration loss life initially dominion british commonwealth pakistan officially drafted constitution emerged declared islamic republic exclave east pakistan seceded new country bangladesh month long civil war following decades pakistan ruled governments descriptions complex commonly alternated civilian military democratic authoritarian relatively secular islamist pakistan elected civilian government adopted parliamentary system periodic elections,6.52,"spurred,pakistan,movement,sought,homeland,muslims,british,india,election,victories,india,muslim,league,pakistan,gained,independence,partition,british,indian,empire,awarded,separate,statehood,muslim,majority,regions,accompanied,unparalleled,mass,migration,loss,life,initially,dominion,british,commonwealth,pakistan,officially,drafted,constitution,emerged,declared,islamic,republic,exclave,east,pakistan,seceded,new,country,bangladesh,month,long,civil,war,following,decades,pakistan,ruled,governments,descriptions,complex,commonly,alternated,civilian,military,democratic,authoritarian,relatively,secular,islamist,pakistan,elected,civilian,government,adopted,parliamentary,system,periodic,elections",0.00,pakistan
"pakistan is a middle power nation and has the worlds sixth largest standing armed forces it is a declared nuclear weapons state and is ranked amongst the emerging and growth leading economies with a large and rapidly growing middle class pakistans political history since independence has been characterised by periods of significant economic and military growth as well as those of political and economic instability it is an ethnically and linguistically diverse country with similarly diverse geography and wildlife the country continues to face challenges including poverty illiteracy corruption and terrorism pakistan is a member of the united nations the shanghai cooperation organisation the organisation of islamic cooperation the commonwealth of nations the south asian association for regional cooperation and the islamic military counter terrorism coalition and is designated as a major non nato ally by the united states
",pakistan middle power nation worlds sixth largest standing armed forces declared nuclear weapons state ranked emerging growth leading economies large rapidly growing middle class pakistans political history independence characterised periods significant economic military growth political economic instability ethnically linguistically diverse country similarly diverse geography wildlife country continues face challenges including poverty illiteracy corruption terrorism pakistan member united nations shanghai cooperation organisation organisation islamic cooperation commonwealth nations south asian association regional cooperation islamic military counter terrorism coalition designated major non nato ally united states,6.00,"pakistan,middle,power,nation,worlds,sixth,largest,standing,armed,forces,declared,nuclear,weapons,state,ranked,emerging,growth,leading,economies,large,rapidly,growing,middle,class,pakistans,political,history,independence,characterised,periods,significant,economic,military,growth,political,economic,instability,ethnically,linguistically,diverse,country,similarly,diverse,geography,wildlife,country,continues,face,challenges,including,poverty,illiteracy,corruption,terrorism,pakistan,member,united,nations,shanghai,cooperation,organisation,organisation,islamic,cooperation,commonwealth,nations,south,asian,association,regional,cooperation,islamic,military,counter,terrorism,coalition,designated,major,non,nato,ally,united,states",0.00,pakistan
"the name pakistan was coined by choudhry rahmat ali a pakistan movement activist who in january  first published it in a pamphlet now or never using it as an acronym rahmat ali explained it is composed of letters taken from the names of all our homelands indian and asian panjab afghania kashmir sindh  and baluchistan he added that pakistan is both a persian and urdu word it means the land of the paks the spiritually pure and clean etymologists note that  pk is pure in persian and pashto and the persian suffix   stan means land or place of
",pakistan coined choudhry rahmat ali pakistan movement activist january published pamphlet acronym rahmat ali explained composed letters taken names homelands indian asian panjab afghania kashmir sindh baluchistan added pakistan persian urdu word means land paks spiritually pure clean etymologists note pk pure persian pashto persian suffix stan means land place,8.81,"pakistan,coined,choudhry,rahmat,ali,pakistan,movement,activist,january,published,pamphlet,acronym,rahmat,ali,explained,composed,letters,taken,names,homelands,indian,asian,panjab,afghania,kashmir,sindh,baluchistan,added,pakistan,persian,urdu,word,means,land,paks,spiritually,pure,clean,etymologists,note,pk,pure,persian,pashto,persian,suffix,stan,means,land,place",0.00,pakistan
"rahmat alis concept of pakistan only related to the north west area of the indian subcontinent he also proposed the name banglastan for the muslim areas of bengal and osmanistan for hyderabad state as well as a political federation between the three
",rahmat alis concept pakistan related north west area indian subcontinent proposed banglastan muslim areas bengal osmanistan hyderabad state political federation,8.80,"rahmat,alis,concept,pakistan,related,north,west,area,indian,subcontinent,proposed,banglastan,muslim,areas,bengal,osmanistan,hyderabad,state,political,federation",0.00,pakistan
"some of the earliest ancient human civilisations in south asia originated from areas encompassing present day pakistan the earliest known inhabitants in the region were soanian during the lower paleolithic of whom stone tools have been found in the soan valley of punjab the indus region which covers most of present day pakistan was the site of several successive ancient cultures including the neolithic mehrgarh and the bronze age indus valley civilisation  at harappa and mohenjo daro
",earliest ancient human civilisations south asia originated areas encompassing present day pakistan earliest known inhabitants region soanian lower paleolithic stone tools found soan valley punjab indus region covers present day pakistan site successive ancient cultures including neolithic mehrgarh bronze age indus valley civilisation harappa mohenjo daro,6.34,"earliest,ancient,human,civilisations,south,asia,originated,areas,encompassing,present,day,pakistan,earliest,known,inhabitants,region,soanian,lower,paleolithic,stone,tools,found,soan,valley,punjab,indus,region,covers,present,day,pakistan,site,successive,ancient,cultures,including,neolithic,mehrgarh,bronze,age,indus,valley,civilisation,harappa,mohenjo,daro",0.00,pakistan
"the arab conqueror muhammad ibn qasim conquered sindh in  ce the pakistan governments official chronology claims this as the time when the foundation of pakistan was laid but the concept of pakistan arrived in the th century the early medieval period  witnessed the spread of islam in the region during this period sufi missionaries played a pivotal role in converting a majority of the regional buddhist and hindu population to islam upon the defeat of the turk and hindu shahi dynasties which governed the kabul valley gandhara  and western punjab in the th to th centuries ce several successive muslim empires ruled over the region including the ghaznavid empire  the ghorid kingdom and the delhi sultanate  the lodi dynasty the last of the delhi sultanate was replaced by the mughal empire 
",arab conqueror muhammad ibn qasim conquered sindh ce pakistan governments official chronology claims time foundation pakistan laid concept pakistan arrived th century early medieval period witnessed spread islam region period sufi missionaries played pivotal role converting majority regional buddhist hindu population islam defeat turk hindu shahi dynasties governed kabul valley gandhara western punjab th th centuries ce successive muslim empires ruled region including ghaznavid empire ghorid kingdom delhi sultanate lodi dynasty delhi sultanate replaced mughal empire,6.92,"arab,conqueror,muhammad,ibn,qasim,conquered,sindh,ce,pakistan,governments,official,chronology,claims,time,foundation,pakistan,laid,concept,pakistan,arrived,th,century,early,medieval,period,witnessed,spread,islam,region,period,sufi,missionaries,played,pivotal,role,converting,majority,regional,buddhist,hindu,population,islam,defeat,turk,hindu,shahi,dynasties,governed,kabul,valley,gandhara,western,punjab,th,th,centuries,ce,successive,muslim,empires,ruled,region,including,ghaznavid,empire,ghorid,kingdom,delhi,sultanate,lodi,dynasty,delhi,sultanate,replaced,mughal,empire",0.00,pakistan
"the mughals introduced persian literature and high culture establishing the roots of indo persian culture in the region in the region of modern day pakistan key cities during the mughal period were lahore and thatta both of which were chosen as the site of impressive mughal buildings in the early th century the region remained under the mughal empire
",mughals introduced persian literature high culture establishing roots indo persian culture region region modern day pakistan key cities mughal period lahore thatta chosen site impressive mughal buildings early th century region remained mughal empire,7.08,"mughals,introduced,persian,literature,high,culture,establishing,roots,indo,persian,culture,region,region,modern,day,pakistan,key,cities,mughal,period,lahore,thatta,chosen,site,impressive,mughal,buildings,early,th,century,region,remained,mughal,empire",0.00,pakistan
"in the th century the slow disintegration of the mughal empire was hastened by the emergence of the rival powers of the maratha confederacy and later the sikh empire as well as invasions by nader shah from iran in  and the durrani empire of afghanistan in  the growing political power of the british in bengal had not yet reached the territories of modern pakistan
",th century slow disintegration mughal empire hastened emergence rival powers maratha confederacy later sikh empire invasions nader shah iran durrani empire afghanistan growing political power british bengal reached territories modern pakistan,9.04,"th,century,slow,disintegration,mughal,empire,hastened,emergence,rival,powers,maratha,confederacy,later,sikh,empire,invasions,nader,shah,iran,durrani,empire,afghanistan,growing,political,power,british,bengal,reached,territories,modern,pakistan",0.00,pakistan
