Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"panaji  is the capital of the indian state of goa and the headquarters of north goa district previously it was the territorial capital of the former portuguese india it lies on the banks of the mandovi river estuary in the tiswadi sub district  with a population of  in the metropolitan area panaji is goas largest urban agglomeration ahead of margao and mormugao
",panaji capital indian state goa headquarters north goa district previously territorial capital portuguese india lies banks mandovi river estuary tiswadi sub district population metropolitan area panaji goas largest urban agglomeration ahead margao mormugao,7.97,"panaji,capital,indian,state,goa,headquarters,north,goa,district,previously,territorial,capital,portuguese,india,lies,banks,mandovi,river,estuary,tiswadi,sub,district,population,metropolitan,area,panaji,goas,largest,urban,agglomeration,ahead,margao,mormugao",0.00,panaji
"panaji has terraced hills concrete buildings with balconies and red tiled roofs churches and a riverside promenade there are avenues lined with gulmohar acacia and other trees the baroque our lady of the immaculate conception church is located overlooking the main square known as praa da igreja panaji has been selected as one of hundred indian cities to be developed as a smart city under the smart cities mission
",panaji terraced hills concrete buildings balconies red tiled roofs churches riverside promenade avenues lined gulmohar acacia trees baroque lady immaculate conception church located overlooking main square known praa da igreja panaji selected indian cities developed smart city smart cities mission,6.97,"panaji,terraced,hills,concrete,buildings,balconies,red,tiled,roofs,churches,riverside,promenade,avenues,lined,gulmohar,acacia,trees,baroque,lady,immaculate,conception,church,located,overlooking,main,square,known,praa,da,igreja,panaji,selected,indian,cities,developed,smart,city,smart,cities,mission",0.00,panaji
"the city was renamed from panjim in english to panaji its present official name in the s the portuguese name is pangim the city is sometimes written as  in   or ponnj in romi konkani the city had been renamed nova goa  when it officially replaced the city of goa  as the capital of portuguese india though the viceroy had already moved there in 
",city renamed panjim english panaji present official portuguese pangim city written ponnj romi konkani city renamed nova goa officially replaced city goa capital portuguese india viceroy moved,10.40,"city,renamed,panjim,english,panaji,present,official,portuguese,pangim,city,written,ponnj,romi,konkani,city,renamed,nova,goa,officially,replaced,city,goa,capital,portuguese,india,viceroy,moved",0.00,panaji
"the justification of the modern word panaji is derived from the words panjani and khali which mean a boat and a small creek respectively in sanskrit thus the modern word panjim is believed to be a corruption of the old word panjanakhani as inscribed on the discovered panjim copper plates dated  ce belonging to the rule of kadamba king jayakesi i according to legend this northern capital city was mentioned in a stone inscription of kadamba king jayakesi i dated  ce as panjanakhani giving him the epithet of padavalendra which is kannada for  lord of the western ocean
",justification modern word panaji derived words panjani khali mean boat small creek respectively sanskrit modern word panjim believed corruption old word panjanakhani inscribed discovered panjim copper plates dated ce belonging rule kadamba king jayakesi according legend northern capital city mentioned stone inscription kadamba king jayakesi dated ce panjanakhani giving epithet padavalendra kannada lord western ocean,7.52,"justification,modern,word,panaji,derived,words,panjani,khali,mean,boat,small,creek,respectively,sanskrit,modern,word,panjim,believed,corruption,old,word,panjanakhani,inscribed,discovered,panjim,copper,plates,dated,ce,belonging,rule,kadamba,king,jayakesi,according,legend,northern,capital,city,mentioned,stone,inscription,kadamba,king,jayakesi,dated,ce,panjanakhani,giving,epithet,padavalendra,kannada,lord,western,ocean",0.00,panaji
"panaji was made the capital of portuguese india after a devastating epidemics decimated the population of the city of goa in the mid th century
",panaji capital portuguese india devastating epidemics decimated population city goa mid th century,8.33,"panaji,capital,portuguese,india,devastating,epidemics,decimated,population,city,goa,mid,th,century",0.00,panaji
"panaji was annexed by india with the rest of goa and the former portuguese territories after the indian annexation of portuguese india in  it became a state capital on goas elevation to statehood in  between  and  it was the capital of the union territory of goa daman and diu a new legislative assembly complex was inaugurated in march  across the mandovi river in alto porvorim panaji is also the administrative headquarters of north goa district
",panaji annexed india rest goa portuguese territories indian annexation portuguese india state capital goas elevation statehood capital union territory goa daman diu new legislative assembly complex inaugurated march mandovi river alto porvorim panaji administrative headquarters north goa district,8.24,"panaji,annexed,india,rest,goa,portuguese,territories,indian,annexation,portuguese,india,state,capital,goas,elevation,statehood,capital,union,territory,goa,daman,diu,new,legislative,assembly,complex,inaugurated,march,mandovi,river,alto,porvorim,panaji,administrative,headquarters,north,goa,district",0.00,panaji
"panaji is located at n e  n e    it has an average elevation of  metres 
",panaji located n e n e average elevation metres,8.22,"panaji,located,n,e,n,e,average,elevation,metres",0.00,panaji
"panaji has various vde or sub divisions including
",panaji vde sub divisions including,6.00,"panaji,vde,sub,divisions,including",0.00,panaji
"besides lying on the banks of the mandovi river panaji is bound by two creeks called pi by the locals namely ourm creek and santa inz creek
",lying banks mandovi river panaji bound creeks called pi locals ourm creek santa inz creek,8.57,"lying,banks,mandovi,river,panaji,bound,creeks,called,pi,locals,ourm,creek,santa,inz,creek",0.00,panaji
"during the  census of india panaji had a population of  males constituted  of the population and females  it had an average literacy rate of  male literacy was  and female literacy  in panaji  of the population was under  years of age
",census india panaji population males constituted population females average literacy rate male literacy female literacy panaji population years age,8.94,"census,india,panaji,population,males,constituted,population,females,average,literacy,rate,male,literacy,female,literacy,panaji,population,years,age",0.00,panaji
"panaji comprises three major religions with hinduism being the majority with  followers christianity with  followers and the smallest being islam with  followers  of the population count as other which include buddhist jain and sikh followers
",panaji comprises major religions hinduism majority followers christianity followers smallest islam followers population count include buddhist jain sikh followers,6.58,"panaji,comprises,major,religions,hinduism,majority,followers,christianity,followers,smallest,islam,followers,population,count,include,buddhist,jain,sikh,followers",0.00,panaji
"panaji features a tropical monsoon climate  the climate in panaji is hot in summer and equable in winter during summers  the temperature reaches up to  c  and in winters  it is usually between  c  and  c 
",panaji features tropical monsoon climate climate panaji hot summer equable winter summers temperature reaches c winters usually c c,8.29,"panaji,features,tropical,monsoon,climate,climate,panaji,hot,summer,equable,winter,summers,temperature,reaches,c,winters,usually,c,c",0.00,panaji
"the heart of the city is the praa da igreja  where the jardim garcia de orta  with the portuguese baroque igreja de nossa senhora da imaculada conceio originally built in  other tourist attractions include the old and rebuilt adilshahi palace  dating from the sixteenth century the institute menezes braganza the chapel of st sebastian and the fontainhas areawhich is considered to be the old latin quarteras well as the nearby beach of miramar panaji hosted the relics of saint john bosco  until  august  at the don bosco oratory
",heart city praa da igreja jardim garcia de orta portuguese baroque igreja de nossa senhora da imaculada conceio originally built tourist attractions include old rebuilt adilshahi palace dating sixteenth century institute menezes braganza chapel st sebastian fontainhas areawhich considered old latin quarteras nearby beach miramar panaji hosted relics saint john bosco august bosco oratory,6.40,"heart,city,praa,da,igreja,jardim,garcia,de,orta,portuguese,baroque,igreja,de,nossa,senhora,da,imaculada,conceio,originally,built,tourist,attractions,include,old,rebuilt,adilshahi,palace,dating,sixteenth,century,institute,menezes,braganza,chapel,st,sebastian,fontainhas,areawhich,considered,old,latin,quarteras,nearby,beach,miramar,panaji,hosted,relics,saint,john,bosco,august,bosco,oratory",0.00,panaji
"well known places in panaji are the th june road  mala area miramar beach and the kala academy  kala academy is a place where goa showcases its art and culture
",known places panaji th june road mala area miramar beach kala academy kala academy place goa showcases art culture,6.88,"known,places,panaji,th,june,road,mala,area,miramar,beach,kala,academy,kala,academy,place,goa,showcases,art,culture",0.00,panaji
"situated on the banks of mandovi river in the heart of panaji is old secretariat building popularly known as adil shahs palace it was built by yusuf adil shah of the bijapur sultanate in around  as a summer residence and fortress the building was armed with  cannons and surrounded by a moat the palace was besieged by portuguese admiral afonso de albuquerque in  and in the mid s the portuguese conquerors renamed it as idalcaos palace and was the temporary residence of the first viceroy of goa in  this ancient structure was renovated by goa government to house goa legislative assembly this structure today is the goa state museum
",situated banks mandovi river heart panaji old secretariat building popularly known adil shahs palace built yusuf adil shah bijapur sultanate summer residence fortress building armed cannons surrounded moat palace besieged portuguese admiral afonso de albuquerque mid portuguese conquerors renamed idalcaos palace temporary residence viceroy goa ancient structure renovated goa government house goa legislative assembly structure today goa state museum,7.87,"situated,banks,mandovi,river,heart,panaji,old,secretariat,building,popularly,known,adil,shahs,palace,built,yusuf,adil,shah,bijapur,sultanate,summer,residence,fortress,building,armed,cannons,surrounded,moat,palace,besieged,portuguese,admiral,afonso,de,albuquerque,mid,portuguese,conquerors,renamed,idalcaos,palace,temporary,residence,viceroy,goa,ancient,structure,renovated,goa,government,house,goa,legislative,assembly,structure,today,goa,state,museum",0.00,panaji
"salim ali bird sanctuary is a bird sanctuary named after the ornithologist dr salim ali the sanctuary located in the village of choro near panaji plays host to rare and endangered bird speciesboth migratory and resident
",salim ali bird sanctuary bird sanctuary named ornithologist dr salim ali sanctuary located village choro near panaji plays host rare endangered bird speciesboth migratory resident,5.00,"salim,ali,bird,sanctuary,bird,sanctuary,named,ornithologist,dr,salim,ali,sanctuary,located,village,choro,near,panaji,plays,host,rare,endangered,bird,speciesboth,migratory,resident",0.00,panaji
"goa is famous for its beaches and miramar bambolim and dona paula are three popular beaches located near panaji
",goa famous beaches miramar bambolim dona paula popular beaches located near panaji,6.25,"goa,famous,beaches,miramar,bambolim,dona,paula,popular,beaches,located,near,panaji",0.00,panaji
"also located near panaji is the goa science centre which was opened to the public in december  the caculo mall is also located in st inez near panaji also madhuban complex at stinez is very popular among panjimites
",located near panaji goa science centre opened public december caculo mall located st inez near panaji madhuban complex stinez popular panjimites,7.91,"located,near,panaji,goa,science,centre,opened,public,december,caculo,mall,located,st,inez,near,panaji,madhuban,complex,stinez,popular,panjimites",0.00,panaji
"goas only university the goa university is situated at taleigo on the outskirts of panaji some other educational institutes in panaji are
",goas university goa university situated taleigo outskirts panaji educational institutes panaji,7.97,"goas,university,goa,university,situated,taleigo,outskirts,panaji,educational,institutes,panaji",0.00,panaji
"the national institute of oceanography  is situated at dona paula on the outskirts of panaji city it specialises in marine science research
",national institute oceanography situated dona paula outskirts panaji city specialises marine science research,6.43,"national,institute,oceanography,situated,dona,paula,outskirts,panaji,city,specialises,marine,science,research",0.00,panaji
"state owned all india radio has a local station in panaji which transmits various programs of mass interest the annual international film festival of india  is held in panaji
",state owned india radio local station panaji transmits programs mass interest annual international film festival india held panaji,6.29,"state,owned,india,radio,local,station,panaji,transmits,programs,mass,interest,annual,international,film,festival,india,held,panaji",0.00,panaji
"the goa legislative assembly is situated at alto porvorim about  km  from panaji the hillock called altinho houses some major central government offices and the residences of prominent officials and politicians
",goa legislative assembly situated alto porvorim km panaji hillock called altinho houses major central government offices residences prominent officials politicians,5.21,"goa,legislative,assembly,situated,alto,porvorim,km,panaji,hillock,called,altinho,houses,major,central,government,offices,residences,prominent,officials,politicians",0.00,panaji
"panaji is part of panaji  and north goa 
",panaji panaji north goa,9.76,"panaji,panaji,north,goa",0.00,panaji
"the current chief minister of goa pramod sawant resides here the corporation of the city of panaji  administers the city and its mayor is rohit monserrate vasant agshikar is the deputy mayor
",current chief minister goa pramod sawant resides corporation city panaji administers city mayor rohit monserrate vasant agshikar deputy mayor,6.81,"current,chief,minister,goa,pramod,sawant,resides,corporation,city,panaji,administers,city,mayor,rohit,monserrate,vasant,agshikar,deputy,mayor",0.00,panaji
"the governor of goa stays at the cabo raj bhavan at dona paula about  km  from panaji the current governor is s pillai
",governor goa stays cabo raj bhavan dona paula km panaji current governor pillai,8.40,"governor,goa,stays,cabo,raj,bhavan,dona,paula,km,panaji,current,governor,pillai",0.00,panaji
"two of goas premier association football clubs dempo sc and sporting clube de goa are based in panaji and they both compete in indias one of the top tier league i league clube tennis de gaspar dias in miramar was founded in the year  and remains among the most sought after tennis clubs in goa the multipurpose campal indoor complex is planned in campal besides the existing football groundcitation needed the don bosco college football grounds on general bernardo guedes road has been long a long established sports field in the city it also has a football club named fc goa in indian super league
",goas premier association football clubs dempo sc sporting clube de goa based panaji compete indias tier league league clube tennis de gaspar dias miramar founded year remains sought tennis clubs goa multipurpose campal indoor complex planned campal existing football groundcitation needed bosco college football grounds general bernardo guedes road long long established sports field city football club named fc goa indian super league,7.01,"goas,premier,association,football,clubs,dempo,sc,sporting,clube,de,goa,based,panaji,compete,indias,tier,league,league,clube,tennis,de,gaspar,dias,miramar,founded,year,remains,sought,tennis,clubs,goa,multipurpose,campal,indoor,complex,planned,campal,existing,football,groundcitation,needed,bosco,college,football,grounds,general,bernardo,guedes,road,long,long,established,sports,field,city,football,club,named,fc,goa,indian,super,league",0.00,panaji
"panaji is twinned with
",panaji twinned,8.70,"panaji,twinned",0.00,panaji
