Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"paris whitney hilton  is an american media personality businesswoman socialite model and entertainer born in new york city and raised there and in beverly hills california she is a great granddaughter of conrad hilton the founder of hilton hotels hilton first attracted tabloid attention in the late s when she became a fixture in nycs social scene and ventured into modeling at age  signing with donald trumps agency trump model management after david lachapelle photographed her and sister nicky for the september  issue of vanity fair hilton was proclaimed new yorks leading it girl in  the reality television series the simple life  in which she starred with her friend nicole richie and a leaked  sex tape with her then boyfriend rick salomon later released as  night in paris  catapulted her into global fame
",paris whitney hilton american media personality businesswoman socialite model entertainer born new york city raised beverly hills california great granddaughter conrad hilton founder hilton hotels hilton attracted tabloid attention late fixture nycs social scene ventured modeling age signing donald trumps agency trump model management david lachapelle photographed sister nicky september issue vanity fair hilton proclaimed new yorks leading girl reality television series simple life starred friend nicole richie leaked sex tape boyfriend rick salomon later released night paris catapulted global fame,6.38,"paris,whitney,hilton,american,media,personality,businesswoman,socialite,model,entertainer,born,new,york,city,raised,beverly,hills,california,great,granddaughter,conrad,hilton,founder,hilton,hotels,hilton,attracted,tabloid,attention,late,fixture,nycs,social,scene,ventured,modeling,age,signing,donald,trumps,agency,trump,model,management,david,lachapelle,photographed,sister,nicky,september,issue,vanity,fair,hilton,proclaimed,new,yorks,leading,girl,reality,television,series,simple,life,starred,friend,nicole,richie,leaked,sex,tape,boyfriend,rick,salomon,later,released,night,paris,catapulted,global,fame",0.00,paris
"hilton published her debut book confessions of an heiress  which became a new york times best seller landed her first major film role in the horror remake house of wax  and released her eponymous debut studio album paris  which reached number six on the billboard  and respectively produced the successful single stars are blind she has since starred in further films and television series recorded a line of standalone singles and performed as a disc jockey her  media ventures include the reality television series paris hiltons my new bff  the world according to paris  hollywood love story  cooking with paris  and paris in love  the documentaries paris not france  the american meme  and this is paris  as well as her podcast this is paris  on iheartradio
",hilton published debut book confessions heiress new york times best seller landed major film role horror remake house wax released eponymous debut studio album paris reached number billboard respectively produced successful single stars blind starred films television series recorded line standalone singles performed disc jockey media ventures include reality television series paris hiltons new bff world according paris hollywood love story cooking paris paris love documentaries paris france american meme paris podcast paris iheartradio,6.83,"hilton,published,debut,book,confessions,heiress,new,york,times,best,seller,landed,major,film,role,horror,remake,house,wax,released,eponymous,debut,studio,album,paris,reached,number,billboard,respectively,produced,successful,single,stars,blind,starred,films,television,series,recorded,line,standalone,singles,performed,disc,jockey,media,ventures,include,reality,television,series,paris,hiltons,new,bff,world,according,paris,hollywood,love,story,cooking,paris,paris,love,documentaries,paris,france,american,meme,paris,podcast,paris,iheartradio",0.00,paris
"in new york city hilton had a rebellious youth regularly skipping classes and sneaking out to parties on this period kathy who used to contact the new york post to locate her daughters whereabouts remarked let us put it this way it got very out of control and i was scared for her and my husband was very scared for her and you know those nightclubs go on all night her parents eventually sent her then  to a series of boarding schools for emotionally troubled teens including provo canyon school where she says that she was mentally and physically abused by the staff in her documentary this is paris hilton and other former students from provo canyon school recall the abuses they faced including solitary confinement forced medication restraint battery and strangulation she attended provo for  months and was released in  when she turned  she then attended the dwight school before dropping out a few months later she knew no one at dwight said her mother in an interview while a classmate described her as sort of more sophisticated she was different from everybody else she later earned a ged certification
",new york city hilton rebellious youth regularly skipping classes sneaking parties period kathy contact new york post locate daughters whereabouts remarked let way got control scared husband scared know nightclubs night parents eventually sent series boarding schools emotionally troubled teens including provo canyon school says mentally physically abused staff documentary paris hilton students provo canyon school recall abuses faced including solitary confinement forced medication restraint battery strangulation attended provo months released turned attended dwight school dropping months later knew dwight said mother interview classmate described sort sophisticated different everybody later earned ged certification,8.81,"new,york,city,hilton,rebellious,youth,regularly,skipping,classes,sneaking,parties,period,kathy,contact,new,york,post,locate,daughters,whereabouts,remarked,let,way,got,control,scared,husband,scared,know,nightclubs,night,parents,eventually,sent,series,boarding,schools,emotionally,troubled,teens,including,provo,canyon,school,says,mentally,physically,abused,staff,documentary,paris,hilton,students,provo,canyon,school,recall,abuses,faced,including,solitary,confinement,forced,medication,restraint,battery,strangulation,attended,provo,months,released,turned,attended,dwight,school,dropping,months,later,knew,dwight,said,mother,interview,classmate,described,sort,sophisticated,different,everybody,later,earned,ged,certification",0.00,paris
"with mother kathy and sister nicky hilton originally modeled as a child at charity events and made an uncredited appearance in the fantasy film wishman  after relocating to nyc in  hiltons growing presence at nightclubs and high profile events led her to develop a reputation as a socialite she has recalled getting offers to show up in nightclubs as early as she was  when she obtained a counterfeited identity document in order to gain access to events her antics and late night persona soon started attracting the spotlight from local tabloids after becoming familiar with paris and nickys social circle jason binn publisher of hamptons magazine stated they are little stars they have become names to them it is like a job i believe they wake up every morning and say ok where am i supposed to be tonight that lifestyle conflicted with her familys conservative background and proved too rebellious for the young paris whose parents sent her to a series of boarding schools until she turned  hilton resumed public appearances shortly afterwards with a new yorker profile by bob morris published in october  describing her and sister nicky as the littlest socialites in town  without even a smile they can breeze past the velvet ropes at moomba or get a seat at le bilboquet businessman george j maloof jr for instance flew hilton in his private jet and paid her to attend in a dress made from us million in poker chips the palms casino resort opening in las vegas in november 
",mother kathy sister nicky hilton originally modeled child charity events uncredited appearance fantasy film wishman relocating nyc hiltons growing presence nightclubs high profile events led develop reputation socialite recalled getting offers nightclubs early obtained counterfeited identity document order gain access events antics late night persona soon started attracting spotlight local tabloids familiar paris nickys social circle jason binn publisher hamptons magazine stated little stars names like job believe wake morning ok supposed tonight lifestyle conflicted familys conservative background proved rebellious young paris parents sent series boarding schools turned hilton resumed public appearances shortly new yorker profile bob morris published october describing sister nicky littlest socialites town smile breeze past velvet ropes moomba seat le bilboquet businessman george j maloof jr instance flew hilton private jet paid attend dress million poker chips palms casino resort opening las vegas november,7.84,"mother,kathy,sister,nicky,hilton,originally,modeled,child,charity,events,uncredited,appearance,fantasy,film,wishman,relocating,nyc,hiltons,growing,presence,nightclubs,high,profile,events,led,develop,reputation,socialite,recalled,getting,offers,nightclubs,early,obtained,counterfeited,identity,document,order,gain,access,events,antics,late,night,persona,soon,started,attracting,spotlight,local,tabloids,familiar,paris,nickys,social,circle,jason,binn,publisher,hamptons,magazine,stated,little,stars,names,like,job,believe,wake,morning,ok,supposed,tonight,lifestyle,conflicted,familys,conservative,background,proved,rebellious,young,paris,parents,sent,series,boarding,schools,turned,hilton,resumed,public,appearances,shortly,new,yorker,profile,bob,morris,published,october,describing,sister,nicky,littlest,socialites,town,smile,breeze,past,velvet,ropes,moomba,seat,le,bilboquet,businessman,george,j,maloof,jr,instance,flew,hilton,private,jet,paid,attend,dress,million,poker,chips,palms,casino,resort,opening,las,vegas,november",0.00,paris
"inspired by designers patricia field and betsey johnson hilton decided to pursue modeling signing with donald trumps agency t management at age  she modeled for catherine malandrino and marc bouwer and posed alongside her sister for david lachapelle in a shoot that was featured in the september  issue of vanity fair on her persona lachapelle stated paris had a charisma back then that you could not take your eyes off she would giggle and laugh and be effervescent and take up a room by  hilton had become one of the biggest stars off and on the catwalk at new york fashion week graced an advertising campaign for italian label iceberg and appeared on magazines such as vogue and fhm in addition to modeling hilton ventured into screen acting playing an ill fated character in the independent teen thriller sweetie pie  and filming a cameo appearance as herself in the comedy zoolander  with ben stiller in  she appeared in vincent gallos honey bunny video played a strung out supermodel in the  minute short qikjdg and starred as a socialite in the straight to dvd horror film nine lives
",inspired designers patricia field betsey johnson hilton decided pursue modeling signing donald trumps agency management age modeled catherine malandrino marc bouwer posed alongside sister david lachapelle shoot featured september issue vanity fair persona lachapelle stated paris charisma eyes giggle laugh effervescent room hilton biggest stars catwalk new york fashion week graced advertising campaign foritalian label iceberg appeared magazines vogue fhm addition modeling hilton ventured screen acting playing ill fated character independent teen thriller sweetie pie filming cameo appearance comedy zoolander ben stiller appeared vincent gallos honey bunny video played strung supermodel minute short qikjdg starred socialite straight dvd horror film lives,7.88,"inspired,designers,patricia,field,betsey,johnson,hilton,decided,pursue,modeling,signing,donald,trumps,agency,management,age,modeled,catherine,malandrino,marc,bouwer,posed,alongside,sister,david,lachapelle,shoot,featured,september,issue,vanity,fair,persona,lachapelle,stated,paris,charisma,eyes,giggle,laugh,effervescent,room,hilton,biggest,stars,catwalk,new,york,fashion,week,graced,advertising,campaign,foritalian,label,iceberg,appeared,magazines,vogue,fhm,addition,modeling,hilton,ventured,screen,acting,playing,ill,fated,character,independent,teen,thriller,sweetie,pie,filming,cameo,appearance,comedy,zoolander,ben,stiller,appeared,vincent,gallos,honey,bunny,video,played,strung,supermodel,minute,short,qikjdg,starred,socialite,straight,dvd,horror,film,lives",0.00,paris
"hilton released her self titled debut album paris on august   the album reached number six on the billboard  and sold over  copies worldwide its lead single stars are blind found global success it was played on more than  pop stations in the united states and reached the top ten in  countries critical reception was generally mixed but allmusic called the album more fun than anything released by britney spears or jessica simpson in  hilton also top billed as vain dumb blonde characters in the comedy films bottoms up and national lampoons pledge this both of which received dvd releases in north america australias urban cinefile describing hilton in bottoms up wrote that she spends most of her screen time flicking her hair as she delivers lines like books are those things you read and she reportedly missed the cannes film festival premiere for pledge this protesting the addition of several nude scenes which resulted in worldwide entertainment group suing hilton in august  at the miami district court alleging that she did not fulfill her contractual agreement to provide reasonable promotion and publicity for the film despite receiving a us million fee for the role hilton licensed her name to gameloft for their  mobile video game paris hiltons diamond quest
",hilton released self titled debut album paris august album reached number billboard sold copies worldwide lead single stars blind found global success played pop stations united states reached countries critical reception generally mixed allmusic called album fun released britney spears jessica simpson hilton billed vain dumb blonde characters comedy films bottoms national lampoons pledge received dvd releases north america australias urban cinefile describing hilton bottoms wrote spends screen time flicking hair delivers lines like books things read reportedly missed cannes film festival premiere pledge protesting addition nude scenes resulted worldwide entertainment group suing hilton august miami district court alleging fulfill contractual agreement provide reasonable promotion publicity film despite receiving million fee role hilton licensed gameloft mobile video game paris hiltons diamond quest,6.83,"hilton,released,self,titled,debut,album,paris,august,album,reached,number,billboard,sold,copies,worldwide,lead,single,stars,blind,found,global,success,played,pop,stations,united,states,reached,countries,critical,reception,generally,mixed,allmusic,called,album,fun,released,britney,spears,jessica,simpson,hilton,billed,vain,dumb,blonde,characters,comedy,films,bottoms,national,lampoons,pledge,received,dvd,releases,north,america,australias,urban,cinefile,describing,hilton,bottoms,wrote,spends,screen,time,flicking,hair,delivers,lines,like,books,things,read,reportedly,missed,cannes,film,festival,premiere,pledge,protesting,addition,nude,scenes,resulted,worldwide,entertainment,group,suing,hilton,august,miami,district,court,alleging,fulfill,contractual,agreement,provide,reasonable,promotion,publicity,film,despite,receiving,million,fee,role,hilton,licensed,gameloft,mobile,video,game,paris,hiltons,diamond,quest",0.00,paris
"in february  the hottie and the nottie a romantic comedy in which hilton starred was released theatrically the film was a critical and commercial failure with hilton eventually receiving the golden raspberry award for worst actress in april she appeared in the my name is earl episode i will not die with a little help from my friends at the  toronto international film festival a documentary about hilton paris not france was screened she starred in a mtv reality series paris hiltons my new bff about her search for a new best friend which premiered shortly after on september  the series was a hit and topped all other cable shows in its time slot in august and october she appeared in two viral funny or die videos paris hilton responds to mccain and paris hilton gets presidential with martin sheen in  hilton released her fifth fragrance for women fairy dust and inspired by her love for dogs created a canine apparel line little lily by paris hilton
",february hottie nottie romantic comedy hilton starred released theatrically film critical commercial failure hilton eventually receiving golden raspberry award worst actress april appeared earl episode die little help friends toronto international film festival documentary hilton paris france screened starred mtv reality series paris hiltons new bff search new best friend premiered shortly september series hit topped cable shows time slot august october appeared viral funny die videos paris hilton responds mccain paris hilton gets presidential martin sheen hilton released fifth fragrance women fairy dust inspired love dogs created canine apparel line little lily paris hilton,7.52,"february,hottie,nottie,romantic,comedy,hilton,starred,released,theatrically,film,critical,commercial,failure,hilton,eventually,receiving,golden,raspberry,award,worst,actress,april,appeared,earl,episode,die,little,help,friends,toronto,international,film,festival,documentary,hilton,paris,france,screened,starred,mtv,reality,series,paris,hiltons,new,bff,search,new,best,friend,premiered,shortly,september,series,hit,topped,cable,shows,time,slot,august,october,appeared,viral,funny,die,videos,paris,hilton,responds,mccain,paris,hilton,gets,presidential,martin,sheen,hilton,released,fifth,fragrance,women,fairy,dust,inspired,love,dogs,created,canine,apparel,line,little,lily,paris,hilton",0.00,paris
"the gothic rock musical repo the genetic opera  featured hilton as amber sweet the surgery and painkiller addicted daughter of a biotech magnate after screening at the san diego comic con international the film received a limited release horrorcom said not only is this by far hiltons best role she is actually got a grain of gravitas in the end jam movies called her a hopeless twit as an actress she was nominated for the  razzie award for worst supporting actress for her performance as a result of the american versions success paris hiltons british best friend debuted on itv in england on january   the second season of paris hiltons my new bff premiered on june  and paris hiltons dubai bff was internationally broadcast on mtv in april  she guest starred in the fifth episode of supernaturals fifth season which aired on october   in  hilton also released her sixth fragrance for women siren a sunglasses line and a range of hair products that included shampoos conditioners and vitamins she won the female celebrity fragrance of the year award at the  fifi awards
",gothic rock musical repo genetic opera featured hilton amber sweet surgery painkiller addicted daughter biotech magnate screening san diego comic con international film received limited release horrorcom said far hiltons best role actually got grain gravitas end jam movies called hopeless twit actress nominated razzie award worst supporting actress performance result american versions success paris hiltons british best friend debuted itv england january second season paris hiltons new bff premiered june paris hiltons dubai bff internationally broadcast mtv april guest starred fifth episode supernaturals fifth season aired october hilton released sixth fragrance women siren sunglasses line range hair products included shampoos conditioners vitamins female celebrity fragrance year award fifi awards,6.71,"gothic,rock,musical,repo,genetic,opera,featured,hilton,amber,sweet,surgery,painkiller,addicted,daughter,biotech,magnate,screening,san,diego,comic,con,international,film,received,limited,release,horrorcom,said,far,hiltons,best,role,actually,got,grain,gravitas,end,jam,movies,called,hopeless,twit,actress,nominated,razzie,award,worst,supporting,actress,performance,result,american,versions,success,paris,hiltons,british,best,friend,debuted,itv,england,january,second,season,paris,hiltons,new,bff,premiered,june,paris,hiltons,dubai,bff,internationally,broadcast,mtv,april,guest,starred,fifth,episode,supernaturals,fifth,season,aired,october,hilton,released,sixth,fragrance,women,siren,sunglasses,line,range,hair,products,included,shampoos,conditioners,vitamins,female,celebrity,fragrance,year,award,fifi,awards",0.00,paris
"on june   hilton returned to reality television in oxygens the world according to paris focused on her daily life the series bought in lackluster ratings amid a controversial promotional campaign which was attributed to hiltons then fading popularity in north america alessandra stanley for the new york times described her as an attractive woman with proven talent for marketing and self promotion though as a reality heroine she seems a little pass  it is hard to see how she can recapture the kind of audience she enjoyed in her heydayeven by streaming her premiere live on facebook in  she modeled for triton during brazil fashion week and for andre tan during ukraine fashion week and continued her endorsement and retail endeavours introducing the passport collection with perfumes inspired by cities such as paris south beach and tokyo a mobile application which became available for iphone and ipod touch and footwear collections in mexico city and istanbul by november  hilton had opened several boutiques selling her products in egypt united arab emirates india and philippines
",june hilton returned reality television oxygens world according paris focused daily life series bought lackluster ratings amid controversial promotional campaign attributed hiltons fading popularity north america alessandra stanley new york times described attractive woman proven talent marketing self promotion reality heroine little pass hard recapture kind audience enjoyed heydayeven streaming premiere live facebook modeled triton brazil fashion week andre tan ukraine fashion week continued endorsement retail endeavours introducing passport collection perfumes inspired cities paris south beach tokyo mobile application available iphone ipod touch footwear collections mexico city istanbul november hilton opened boutiques selling products egypt united arab emirates india philippines,6.80,"june,hilton,returned,reality,television,oxygens,world,according,paris,focused,daily,life,series,bought,lackluster,ratings,amid,controversial,promotional,campaign,attributed,hiltons,fading,popularity,north,america,alessandra,stanley,new,york,times,described,attractive,woman,proven,talent,marketing,self,promotion,reality,heroine,little,pass,hard,recapture,kind,audience,enjoyed,heydayeven,streaming,premiere,live,facebook,modeled,triton,brazil,fashion,week,andre,tan,ukraine,fashion,week,continued,endorsement,retail,endeavours,introducing,passport,collection,perfumes,inspired,cities,paris,south,beach,tokyo,mobile,application,available,iphone,ipod,touch,footwear,collections,mexico,city,istanbul,november,hilton,opened,boutiques,selling,products,egypt,united,arab,emirates,india,philippines",0.00,paris
"in january  hilton appeared in four episodes of the danish version of paradise hotel for which she was paid us in april hilton opened the th paris hilton store in bogot colombia in may hilton signed with cash money records appeared in the music video for rich gangs song tapout alongside lil wayne christina milian and nicki minaj and sofia coppolas film the bling ringwhich featured her in a cameo and revolved around the infamous group of teenagers who had robbed her house along with otherswas released in theaters in addition to appearing in the film she loaned coppola her house for two weeks of shooting recalling the house coppola said it was like we have to get this into the movie it was so unique it would be hard to recreate that she is larger than life and her house is like paris world
during august  hilton was a dj at amnesias weekly foam and diamonds parties on ibiza the positive reaction from critics and audiences led to her contracts renewal for the subsequent four years in october hilton released the first single through cash money good time featuring rapper lil wayne it debuted at number eighteen on the us billboard danceelectronic songs chart in november hilton won the best breakthrough dj award at the nrj dj awards
",january hilton appeared episodes danish version paradise hotel paid april hilton opened th paris hilton store bogot colombia hilton signed cash money records appeared music video rich gangs song tapout alongside lil wayne christina milian nicki minaj sofia coppolas film bling ringwhich featured cameo revolved infamous group teenagers robbed house otherswas released theaters addition appearing film loaned coppola house weeks shooting recalling house coppola said like movie unique hard recreate larger life house like paris worldduring august hilton dj amnesias weekly foam diamonds parties ibiza positive reaction critics audiences led contracts renewal subsequent years october hilton released single cash money good time featuring rapper lil wayne debuted number eighteen billboard danceelectronic songs chart november hilton best breakthrough dj award nrj dj awards,7.79,"january,hilton,appeared,episodes,danish,version,paradise,hotel,paid,april,hilton,opened,th,paris,hilton,store,bogot,colombia,hilton,signed,cash,money,records,appeared,music,video,rich,gangs,song,tapout,alongside,lil,wayne,christina,milian,nicki,minaj,sofia,coppolas,film,bling,ringwhich,featured,cameo,revolved,infamous,group,teenagers,robbed,house,otherswas,released,theaters,addition,appearing,film,loaned,coppola,house,weeks,shooting,recalling,house,coppola,said,like,movie,unique,hard,recreate,larger,life,house,like,paris,worldduring,august,hilton,dj,amnesias,weekly,foam,diamonds,parties,ibiza,positive,reaction,critics,audiences,led,contracts,renewal,subsequent,years,october,hilton,released,single,cash,money,good,time,featuring,rapper,lil,wayne,debuted,number,eighteen,billboard,danceelectronic,songs,chart,november,hilton,best,breakthrough,dj,award,nrj,dj,awards",0.00,paris
