Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"paris  is the capital and most populous city of france with an estimated population of  residents in  in an area of more than  km  making it the fourth most populated city in the european union and the  th most densely populated city in the world in  since the th century paris has been one of the worlds major centres of finance diplomacy commerce fashion gastronomy and science for its leading role in the arts and sciences as well as its very early system of street lighting in the th century it became known as the city of light like london prior to the second world war it was also sometimes called the capital of the world
",paris capital populous city france estimated population residents area km making fourth populated city european union th densely populated city world th century paris worlds major centres finance diplomacy commerce fashion gastronomy science leading role arts sciences early system street lighting th century known city light like london prior second world war called capital world,9.70,"paris,capital,populous,city,france,estimated,population,residents,area,km,making,fourth,populated,city,european,union,th,densely,populated,city,world,th,century,paris,worlds,major,centres,finance,diplomacy,commerce,fashion,gastronomy,science,leading,role,arts,sciences,early,system,street,lighting,th,century,known,city,light,like,london,prior,second,world,war,called,capital,world",0.00,paris
"the city of paris is the centre of the le de france region or paris region with an estimated population of  in  or about  of the population of france making the region frances primate city the paris region had a gdp of  billion  in  which is the highest in europe according to the economist intelligence unit worldwide cost of living survey in  paris was the city with the ninth highest cost of living in the world
",city paris centre le de france region paris region estimated population population france making region frances primate city paris region gdp billion highest europe according economist intelligence unit worldwide cost living survey paris city ninth highest cost living world,8.92,"city,paris,centre,le,de,france,region,paris,region,estimated,population,population,france,making,region,frances,primate,city,paris,region,gdp,billion,highest,europe,according,economist,intelligence,unit,worldwide,cost,living,survey,paris,city,ninth,highest,cost,living,world",0.00,paris
"paris is a major railway highway and air transport hub served by two international airports charles de gaulle airport  and orly airport opened in  the citys subway system the paris mtro serves  million passengers daily it is the second busiest metro system in europe after the moscow metro gare du nord is the th busiest railway station in the world and the busiest located outside japan with  million passengers in  paris is especially known for its museums and architectural landmarks the louvre received  million visitors in  despite the long museum closings caused by the covid  virus the muse dorsay muse marmottan monet and muse de lorangerie are noted for their collections of french impressionist art the pompidou centre muse national dart moderne has the largest collection of modern and contemporary art in europe and muse rodin and muse picasso the historical district along the seine in the city centre has been classified as a unesco world heritage site since  popular landmarks there include the cathedral of notre dame de paris on the le de la cit now closed for renovation after the  april  fire other popular tourist sites include the gothic royal chapel of sainte chapelle also on the le de la cit the eiffel tower constructed for the paris universal exposition of  the grand palais and petit palais built for the paris universal exposition of  the arc de triomphe on the champs lyses and the hill of montmartre with its artistic history and its basilica of sacr coeur
",paris major railway highway air transport hub served international airports charles de gaulle airport orly airport opened citys subway system paris mtro serves million passengers daily second busiest metro system europe moscow metro gare du nord th busiest railway station world busiest located outside japan million passengers paris especially known museums architectural landmarks louvre received million visitors despite long museum closings caused covid virus muse dorsay muse marmottan monet muse de lorangerie noted collections french impressionist art pompidou centre muse national dart moderne largest collection modern contemporary art europe muse rodin muse picasso historical district seine city centre classified unesco world heritage site popular landmarks include cathedral notre dame de paris le de la cit closed renovation april fire popular tourist sites include gothic royal chapel sainte chapelle le de la cit eiffel tower constructed paris universal exposition grand palais petit palais built paris universal exposition arc de triomphe champs lyses hill montmartre artistic history basilica sacr coeur,6.12,"paris,major,railway,highway,air,transport,hub,served,international,airports,charles,de,gaulle,airport,orly,airport,opened,citys,subway,system,paris,mtro,serves,million,passengers,daily,second,busiest,metro,system,europe,moscow,metro,gare,du,nord,th,busiest,railway,station,world,busiest,located,outside,japan,million,passengers,paris,especially,known,museums,architectural,landmarks,louvre,received,million,visitors,despite,long,museum,closings,caused,covid,virus,muse,dorsay,muse,marmottan,monet,muse,de,lorangerie,noted,collections,french,impressionist,art,pompidou,centre,muse,national,dart,moderne,largest,collection,modern,contemporary,art,europe,muse,rodin,muse,picasso,historical,district,seine,city,centre,classified,unesco,world,heritage,site,popular,landmarks,include,cathedral,notre,dame,de,paris,le,de,la,cit,closed,renovation,april,fire,popular,tourist,sites,include,gothic,royal,chapel,sainte,chapelle,le,de,la,cit,eiffel,tower,constructed,paris,universal,exposition,grand,palais,petit,palais,built,paris,universal,exposition,arc,de,triomphe,champs,lyses,hill,montmartre,artistic,history,basilica,sacr,coeur",0.00,paris
"paris hosts several united nations organisations including unesco and other international organisations such as the oecd the oecd development centre the international bureau of weights and measures the international energy agency the international federation for human rights along with european bodies such as the european space agency the european banking authority or the european securities and markets authority
",paris hosts united nations organisations including unesco international organisations oecd oecd development centre international bureau weights measures international energy agency international federation human rights european bodies european space agency european banking authority european securities markets authority,5.28,"paris,hosts,united,nations,organisations,including,unesco,international,organisations,oecd,oecd,development,centre,international,bureau,weights,measures,international,energy,agency,international,federation,human,rights,european,bodies,european,space,agency,european,banking,authority,european,securities,markets,authority",0.00,paris
"the football club paris saint germain and the rugby union club stade franais are based in paris the  seat stade de france built for the  fifa world cup is located just north of paris in the neighbouring commune of saint denis paris hosts the annual french open grand slam tennis tournament on the red clay of roland garros the city hosted the olympic games in   and will host the  summer olympics the  and  fifa world cups the  rugby world cup as well as the   and  uefa european championships were also held in the city every july the tour de france bicycle race finishes on the avenue des champs lyses in paris
",football club paris saint germain rugby union club stade franais based paris seat stade de france built fifa world cup located north paris neighbouring commune saint denis paris hosts annual french open grand slam tennis tournament red clay roland garros city hosted olympic games host summer olympics fifa world cups rugby world cup uefa european championships held city july tour de france bicycle race finishes avenue des champs lyses paris,6.69,"football,club,paris,saint,germain,rugby,union,club,stade,franais,based,paris,seat,stade,de,france,built,fifa,world,cup,located,north,paris,neighbouring,commune,saint,denis,paris,hosts,annual,french,open,grand,slam,tennis,tournament,red,clay,roland,garros,city,hosted,olympic,games,host,summer,olympics,fifa,world,cups,rugby,world,cup,uefa,european,championships,held,city,july,tour,de,france,bicycle,race,finishes,avenue,des,champs,lyses,paris",0.00,paris
"the ancient oppidum that corresponds to the modern city of paris was first mentioned in the mid st century because by julius caesar as luteciam parisiorum  and is later attested as parision in the th century ad then as paris in  during the roman period it was commonly known as lutetia or lutecia in latin and as leukoteka in greek which is interpreted as either stemming from the celtic root lukot   or from luto   depending on whether the latin or greek form is the closest to the original gaulish name
",ancient oppidum corresponds modern city paris mentioned mid st century julius caesar luteciam parisiorum later attested parision th century ad paris roman period commonly known lutetia lutecia latin leukoteka greek interpreted stemming celtic root lukot luto depending latin greek form closest original gaulish,9.31,"ancient,oppidum,corresponds,modern,city,paris,mentioned,mid,st,century,julius,caesar,luteciam,parisiorum,later,attested,parision,th,century,ad,paris,roman,period,commonly,known,lutetia,lutecia,latin,leukoteka,greek,interpreted,stemming,celtic,root,lukot,luto,depending,latin,greek,form,closest,original,gaulish",0.00,paris
"the name paris is derived from its early inhabitants the parisii  a gallic tribe from the iron age and the roman period the meaning of the gaulish ethnonym remains debated according to xavier delamarre it may derive from the celtic root pario   alfred holder interpreted the name as the makers or the commanders by comparing it to the welsh peryff  both possibly descending from a proto celtic form reconstructed as kwar is io  alternatively pierre yves lambert proposed to translate parisii as the spear people by connecting the first element to the old irish carr  derived from an earlier kwar s in any case the citys name is not related to the paris of greek mythology
",paris derived early inhabitants parisii gallic tribe iron age roman period meaning gaulish ethnonym remains debated according xavier delamarre derive celtic root pario alfred holder interpreted makers commanders comparing welsh peryff possibly descending proto celtic form reconstructed kwar io alternatively pierre yves lambert proposed translate parisii spear people connecting element old irish carr derived earlier kwar case citys related paris greek mythology,8.04,"paris,derived,early,inhabitants,parisii,gallic,tribe,iron,age,roman,period,meaning,gaulish,ethnonym,remains,debated,according,xavier,delamarre,derive,celtic,root,pario,alfred,holder,interpreted,makers,commanders,comparing,welsh,peryff,possibly,descending,proto,celtic,form,reconstructed,kwar,io,alternatively,pierre,yves,lambert,proposed,translate,parisii,spear,people,connecting,element,old,irish,carr,derived,earlier,kwar,case,citys,related,paris,greek,mythology",0.00,paris
"paris is often referred to as the city of light  both because of its leading role during the age of enlightenment and more literally because paris was one of the first large european cities to use gas street lighting on a grand scale on its boulevards and monuments gas lights were installed on the place du carrousel rue de rivoli and place vendome in  by  the grand boulevards were lit by the s the boulevards and streets of paris were illuminated by  gas lamps since the late th century paris has also been known as panam  in french slangwhy
",paris referred city light leading role age enlightenment literally paris large european cities use gas street lighting grand scale boulevards monuments gas lights installed place du carrousel rue de rivoli place vendome grand boulevards lit boulevards streets paris illuminated gas lamps late th century paris known panam french slangwhy,9.17,"paris,referred,city,light,leading,role,age,enlightenment,literally,paris,large,european,cities,use,gas,street,lighting,grand,scale,boulevards,monuments,gas,lights,installed,place,du,carrousel,rue,de,rivoli,place,vendome,grand,boulevards,lit,boulevards,streets,paris,illuminated,gas,lamps,late,th,century,paris,known,panam,french,slangwhy",0.00,paris
"the parisii a sub tribe of the celtic senones inhabited the paris area from around the middle of the rd century because one of the areas major northsouth trade routes crossed the seine on the le de la cit this meeting place of land and water trade routes gradually became an important trading centre the parisii traded with many river towns  and minted their own coins for that purpose
",parisii sub tribe celtic senones inhabited paris area middle rd century areas major northsouth trade routes crossed seine le de la cit meeting place land water trade routes gradually important trading centre parisii traded river towns minted coins purpose,7.77,"parisii,sub,tribe,celtic,senones,inhabited,paris,area,middle,rd,century,areas,major,northsouth,trade,routes,crossed,seine,le,de,la,cit,meeting,place,land,water,trade,routes,gradually,important,trading,centre,parisii,traded,river,towns,minted,coins,purpose",0.00,paris
"the romans conquered the paris basin in  because and began their settlement on pariss left bank the roman town was originally called lutetia  it became a prosperous city with a forum baths temples theatres and an amphitheatre
",romans conquered paris basin began settlement pariss left bank roman town originally called lutetia prosperous city forum baths temples theatres amphitheatre,7.08,"romans,conquered,paris,basin,began,settlement,pariss,left,bank,roman,town,originally,called,lutetia,prosperous,city,forum,baths,temples,theatres,amphitheatre",0.00,paris
