Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"patna  historically known as pataliputra is the capital and largest city of the state of bihar in india according to the united nations as of  patna had a population of  million making it the th largest city in india covering  square kilometres  and over  million people its urban agglomeration is the th largest in india patna serves as the seat of patna high court the buddhist hindu and jain pilgrimage centres of vaishali rajgir nalanda bodh gaya and pawapuri are nearby and patna city is a sacred city for sikhs as the tenth sikh guru guru gobind singh was born here the modern city of patna is mainly on the southern bank of the river ganges the city also straddles the rivers sone gandak and punpun the city is approximately  kilometres  in length and  to  kilometres  wide
",patna historically known pataliputra capital largest city state bihar india according united nations patna population million making th largest city india covering square kilometres million people urban agglomeration th largest india patna serves seat patna high court buddhist hindu jain pilgrimage centres vaishali rajgir nalanda bodh gaya pawapuri nearby patna city sacred city sikhs tenth sikh guru guru gobind singh born modern city patna mainly southern bank river ganges city straddles rivers sone gandak punpun city approximately kilometres length kilometres wide,7.17,"patna,historically,known,pataliputra,capital,largest,city,state,bihar,india,according,united,nations,patna,population,million,making,th,largest,city,india,covering,square,kilometres,million,people,urban,agglomeration,th,largest,india,patna,serves,seat,patna,high,court,buddhist,hindu,jain,pilgrimage,centres,vaishali,rajgir,nalanda,bodh,gaya,pawapuri,nearby,patna,city,sacred,city,sikhs,tenth,sikh,guru,guru,gobind,singh,born,modern,city,patna,mainly,southern,bank,river,ganges,city,straddles,rivers,sone,gandak,punpun,city,approximately,kilometres,length,kilometres,wide",0.00,patna
"one of the oldest continuously inhabited places in the world patna was founded in  bce by the king of magadha ancient patna known as pataliputra was the capital of the magadh empire through haryanka nanda mauryan shunga gupta and pala dynasties pataliputra was a seat of learning and fine arts it was home to many astronomers and scholars including aryabhata vtsyyana and chanakya during the maurya period  its population was about  patna served as the seat of power and political and cultural centre of the indian subcontinent during the maurya and gupta empires with the fall of the gupta empire patna lost its glory it was revived again in the th century by the british as a centre of international trade following the partition of bengal presidency in  patna became the capital of bihar and orissa province
",oldest continuously inhabited places world patna founded bce king magadha ancient patna known pataliputra capital magadh empire haryanka nanda mauryan shunga gupta pala dynasties pataliputra seat learning fine arts home astronomers scholars including aryabhata vtsyyana chanakya maurya period population patna served seat power political cultural centre indian subcontinent maurya gupta empires fall gupta empire patna lost glory revived th century british centre international trade following partition bengal presidency patna capital bihar orissa province,7.89,"oldest,continuously,inhabited,places,world,patna,founded,bce,king,magadha,ancient,patna,known,pataliputra,capital,magadh,empire,haryanka,nanda,mauryan,shunga,gupta,pala,dynasties,pataliputra,seat,learning,fine,arts,home,astronomers,scholars,including,aryabhata,vtsyyana,chanakya,maurya,period,population,patna,served,seat,power,political,cultural,centre,indian,subcontinent,maurya,gupta,empires,fall,gupta,empire,patna,lost,glory,revived,th,century,british,centre,international,trade,following,partition,bengal,presidency,patna,capital,bihar,orissa,province",0.00,patna
"until the th century it was a major trading and commercial hub in india after independence there were a few downturns but its economy was still stable after the separation of jharkhand from bihar it lost its glory now trials are made to develop the city as per the directorate of economics and statistics  nominal gdp of patna district was estimated at inr  crores in   as of   patna already recorded per capita gross domestic product of  way ahead of many other indian cities and state capitals using figures for assumed average annual growth patna is the st fastest growing city in the world and th fastest growing city in india according to a study by the city mayors foundation patna registered an average annual growth of  during  as of   gdp per capita of patna is  and its gdp growth rate is  per cent in june  the world bank ranked patna second in india  for ease of starting a business
",th century major trading commercial hub india independence downturns economy stable separation jharkhand bihar lost glory trials develop city directorate economics statistics nominal gdp patna district estimated inr crores patna recorded capita gross domestic product way ahead indian cities state capitals figures assumed average annual growth patna st fastest growing city world th fastest growing city india according study city mayors foundation patna registered average annual growth gdp capita patna gdp growth rate cent june world bank ranked patna second india ease starting business,8.38,"th,century,major,trading,commercial,hub,india,independence,downturns,economy,stable,separation,jharkhand,bihar,lost,glory,trials,develop,city,directorate,economics,statistics,nominal,gdp,patna,district,estimated,inr,crores,patna,recorded,capita,gross,domestic,product,way,ahead,indian,cities,state,capitals,figures,assumed,average,annual,growth,patna,st,fastest,growing,city,world,th,fastest,growing,city,india,according,study,city,mayors,foundation,patna,registered,average,annual,growth,gdp,capita,patna,gdp,growth,rate,cent,june,world,bank,ranked,patna,second,india,ease,starting,business",0.00,patna
"the name of this city has changed with time one of the oldest cities of india there are several theories regarding the origin of the modern name patna  it is etymologically derived from patan  the name of the hindu goddess patan devi patan devi mandir is still in old patna near gulzarbagh mandi along with another patan devi mandir near takht sri patna sahib many believe patna derived its name from patli a tree variety that was found in abundance in the historic city it is also seen on the state tourisms logo the place is mentioned in chinese traveller fa hiens records as pa lin fou the city has been known by various names through more than  years of existence  pataligrama pataliputra kusumapura kusumdhwaja pushpapuram padmavathi azimabad and the present day patna legend ascribes the origin of patna to the mythological king putraka who created patna by magic for his queen patali literally trumpet flower which gives it its ancient name pataligrama it is said that in honour of the queens first born the city was named pataliputra gram is sanskrit for village and  putra means son legend also says that the emerald buddha was created in patna  by nagasena in  bce
",city changed time oldest cities india theories origin modern patna etymologically derived patan hindu goddess patan devi patan devi mandir old patna near gulzarbagh mandi patan devi mandir near takht sri patna sahib believe patna derived patli tree variety found abundance historic city seen state tourisms logo place mentioned chinese traveller fa hiens records pa lin fou city known names years existence pataligrama pataliputra kusumapura kusumdhwaja pushpapuram padmavathi azimabad present day patna legend ascribes origin patna mythological king putraka created patna magic queen patali literally trumpet flower gives ancient pataligrama said honour queens born city named pataliputra gram sanskrit village putra means son legend says emerald buddha created patna nagasena bce,7.83,"city,changed,time,oldest,cities,india,theories,origin,modern,patna,etymologically,derived,patan,hindu,goddess,patan,devi,patan,devi,mandir,old,patna,near,gulzarbagh,mandi,patan,devi,mandir,near,takht,sri,patna,sahib,believe,patna,derived,patli,tree,variety,found,abundance,historic,city,seen,state,tourisms,logo,place,mentioned,chinese,traveller,fa,hiens,records,pa,lin,fou,city,known,names,years,existence,pataligrama,pataliputra,kusumapura,kusumdhwaja,pushpapuram,padmavathi,azimabad,present,day,patna,legend,ascribes,origin,patna,mythological,king,putraka,created,patna,magic,queen,patali,literally,trumpet,flower,gives,ancient,pataligrama,said,honour,queens,born,city,named,pataliputra,gram,sanskrit,village,putra,means,son,legend,says,emerald,buddha,created,patna,nagasena,bce",0.00,patna
"traditional buddhist literature attributes foundation of patna  bce as ajatashatru the king of magadha wanted to shift his capital from the hilly rajagrha  to a strategically chosen place to better combat the licchavis of vaishali he chose the site on the bank of the ganges and fortified the area gautama buddha travelled through this place in the last year of his life he prophesied a great future for this place even as he predicted its ruin due to flood fire and feud according to dieter schlingloff the buddhist accounts may have presented the grandeur of patna as a prophecy and that its wooden fortifications unlike other early historic indian cities indicate that it might be much older than thought but only archaeological excavation and c dates of its wooden palisades which is presently lacking may establish this
",traditional buddhist literature attributes foundation patna bce ajatashatru king magadha wanted shift capital hilly rajagrha strategically chosen place better combat licchavis vaishali chose site bank ganges fortified area gautama buddha travelled place year life prophesied great future place predicted ruin flood fire feud according dieter schlingloff buddhist accounts presented grandeur patna prophecy wooden fortifications unlike early historic indian cities indicate older thought archaeological excavation c dates wooden palisades presently lacking establish,8.00,"traditional,buddhist,literature,attributes,foundation,patna,bce,ajatashatru,king,magadha,wanted,shift,capital,hilly,rajagrha,strategically,chosen,place,better,combat,licchavis,vaishali,chose,site,bank,ganges,fortified,area,gautama,buddha,travelled,place,year,life,prophesied,great,future,place,predicted,ruin,flood,fire,feud,according,dieter,schlingloff,buddhist,accounts,presented,grandeur,patna,prophecy,wooden,fortifications,unlike,early,historic,indian,cities,indicate,older,thought,archaeological,excavation,c,dates,wooden,palisades,presently,lacking,establish",0.00,patna
"in the years that followed many dynasties ruled the indian subcontinent from the city including the gupta dynasty and the pala kings with the disintegration of the gupta empire patna passed through uncertain times bakhtiar khilji captured bihar in the th century and destroyed everything and patna lost its prestige as the political and cultural centre of india
",years followed dynasties ruled indian subcontinent city including gupta dynasty pala kings disintegration gupta empire patna passed uncertain times bakhtiar khilji captured bihar th century destroyed patna lost prestige political cultural centre india,6.91,"years,followed,dynasties,ruled,indian,subcontinent,city,including,gupta,dynasty,pala,kings,disintegration,gupta,empire,patna,passed,uncertain,times,bakhtiar,khilji,captured,bihar,th,century,destroyed,patna,lost,prestige,political,cultural,centre,india",0.00,patna
"the mughal empire was a period of unremarkable provincial administration from delhi the most remarkable period during the middle ages was under the afghan emperor sher shah suri who revived patna in the middle of the th century he built a fort and founded a town on the banks of the ganges sher shahs fort in patna does not survive although the sher shah suri mosque built in afghan architectural style does mughal emperor akbar reached patna in  to crush the rebellious afghan chief daud khan one of the navratnas from akbars court his official historian and author of ain i akbari abul fazl refers to patna as a flourishing centre for paper stone and glass industries he also refers to the high quality of numerous strains of rice grown in patna famous as patna rice in europe by  the city of patna was being described as the chiefest mart towne of all bengala  in northern india the largest town in bengal and the most famous for trade this was before the founding of the city of calcutta mughal emperor aurangzeb acceded to the request of his favourite grandson prince muhammad azim to rename patna as azimabad in  while azim was in patna as the subedar patna or azimabad did see some violent activities according to phillip mason writing in the book the men who ruled india aurangzeb had restored the poll tax  on unbelievers and this had to be compounded for in patna peacock the chief of the factory was not sufficiently obliging and was seized forced to walk through the town bare headed and bare footed and subjected to many other indignities before he paid up and was released little changed during this period other than the name with the decline of the mughal empire patna moved into the hands of the nawabs of bengal who levied a heavy tax on the populace but allowed it to flourish as a commercial centre the mansions of the maharaja of tekari raj dominated the patna riverfront in  in  the future nawab of bengal siraj ud daulah revolted against his grandfather alivardi khan and seized patna but quickly surrendered and was forgiven guru gobind singh  the tenth guru of the sikhs was born as gobind rai in patna to guru teg bahadur the ninth guru of the sikhs and his wife mata gujri his birthplace patna sahib is one of the most sacred sites of pilgrimage for sikhs
",mughal empire period unremarkable provincial administration delhi remarkable period middle ages afghan emperor sher shah suri revived patna middle th century built fort founded town banks ganges sher shahs fort patna survive sher shah suri mosque built afghan architectural style mughal emperor akbar reached patna crush rebellious afghan chief daud khan navratnas akbars court official historian author akbari abul fazl refers patna flourishing centre paper stone glass industries refers high quality numerous strains rice grown patna famous patna rice europe city patna described chiefest mart towne bengala northern india largest town bengal famous trade founding city calcutta mughal emperor aurangzeb acceded request favourite grandson prince muhammad azim rename patna azimabad azim patna subedar patna azimabad violent activities according phillip mason writing book men ruled india aurangzeb restored poll tax unbelievers compounded patna peacock chief factory sufficiently obliging seized forced walk town bare headed bare footed subjected indignities paid released little changed period decline mughal empire patna moved hands nawabs bengal levied heavy tax populace allowed flourish commercial centre mansions maharaja tekari raj dominated patna riverfront future nawab bengal siraj ud daulah revolted grandfather alivardi khan seized patna quickly surrendered forgiven guru gobind singh tenth guru sikhs born gobind rai patna guru teg bahadur ninth guru sikhs wife mata gujri birthplace patna sahib sacred sites pilgrimage sikhs,8.37,"mughal,empire,period,unremarkable,provincial,administration,delhi,remarkable,period,middle,ages,afghan,emperor,sher,shah,suri,revived,patna,middle,th,century,built,fort,founded,town,banks,ganges,sher,shahs,fort,patna,survive,sher,shah,suri,mosque,built,afghan,architectural,style,mughal,emperor,akbar,reached,patna,crush,rebellious,afghan,chief,daud,khan,navratnas,akbars,court,official,historian,author,akbari,abul,fazl,refers,patna,flourishing,centre,paper,stone,glass,industries,refers,high,quality,numerous,strains,rice,grown,patna,famous,patna,rice,europe,city,patna,described,chiefest,mart,towne,bengala,northern,india,largest,town,bengal,famous,trade,founding,city,calcutta,mughal,emperor,aurangzeb,acceded,request,favourite,grandson,prince,muhammad,azim,rename,patna,azimabad,azim,patna,subedar,patna,azimabad,violent,activities,according,phillip,mason,writing,book,men,ruled,india,aurangzeb,restored,poll,tax,unbelievers,compounded,patna,peacock,chief,factory,sufficiently,obliging,seized,forced,walk,town,bare,headed,bare,footed,subjected,indignities,paid,released,little,changed,period,decline,mughal,empire,patna,moved,hands,nawabs,bengal,levied,heavy,tax,populace,allowed,flourish,commercial,centre,mansions,maharaja,tekari,raj,dominated,patna,riverfront,future,nawab,bengal,siraj,ud,daulah,revolted,grandfather,alivardi,khan,seized,patna,quickly,surrendered,forgiven,guru,gobind,singh,tenth,guru,sikhs,born,gobind,rai,patna,guru,teg,bahadur,ninth,guru,sikhs,wife,mata,gujri,birthplace,patna,sahib,sacred,sites,pilgrimage,sikhs",0.00,patna
"as trade grew settlements of the portuguese empire expanded to the bengal gulf since at least  the portuguese were at bengal as traders and later in  an embassy was sent to gaur to be able to create factories in the region the bengal sultan after  allowed the portuguese to create several settlements as chitagoong e satgaon in  the portuguese were allied with the bengal sultan and held the teliagarhi pass  km from patna helping to avoid the invasion by the mughals by then several of the products came from patna and the portuguese send in traders establishing a factory there since  at least the products were shipped out down the river until other portuguese ports as chittagoon e satgaoon and from there to the rest of the empire
",trade grew settlements portuguese empire expanded bengal gulf portuguese bengal traders later embassy sent gaur able create factories region bengal sultan allowed portuguese create settlements chitagoong e satgaon portuguese allied bengal sultan held teliagarhi pass km patna helping avoid invasion mughals products came patna portuguese send traders establishing factory products shipped river portuguese ports chittagoon e satgaoon rest empire,9.38,"trade,grew,settlements,portuguese,empire,expanded,bengal,gulf,portuguese,bengal,traders,later,embassy,sent,gaur,able,create,factories,region,bengal,sultan,allowed,portuguese,create,settlements,chitagoong,e,satgaon,portuguese,allied,bengal,sultan,held,teliagarhi,pass,km,patna,helping,avoid,invasion,mughals,products,came,patna,portuguese,send,traders,establishing,factory,products,shipped,river,portuguese,ports,chittagoon,e,satgaoon,rest,empire",0.00,patna
"during the th century patna became a centre of international trade in  the english east india company established a factory in patna for trading in calico and silk soon it became a trading centre for saltpetre francois bernier in travels in the mogul empire  says  it was carried down the ganges with great facility and the dutch and english sent large cargoes to many parts of the indies and to europe this trade encouraged other europeans principally the french danes dutch and portuguese to compete in the lucrative business peter mundy writing in  described patna as the greatest mart of the eastern region after the decisive battle of buxar of  as per the treaty of allahabad east india company was given the right to collect tax of this former mughal province by the mughal emperor patna was annexed by the company in  to its territory when nizamat  was abolished and the british east india company took control of the province of bengal bihar patna however continued as a trading centre in  when the bengal presidency was partitioned patna became the capital of the british province of bihar and orissa although in  orissa became a separate entity with its own capital till date a major population of bengalis live in patna particularly
",th century patna centre international trade english east india company established factory patna trading calico silk soon trading centre saltpetre francois bernier travels mogul empire says carried ganges great facility dutch english sent large cargoes parts indies europe trade encouraged europeans principally french danes dutch portuguese compete lucrative business peter mundy writing described patna greatest mart eastern region decisive battle buxar treaty allahabad east india company given right collect tax mughal province mughal emperor patna annexed company territory nizamat abolished british east india company took control province bengal bihar patna continued trading centre bengal presidency partitioned patna capital british province bihar orissa orissa separate entity capital till date major population bengalis live patna particularly,7.80,"th,century,patna,centre,international,trade,english,east,india,company,established,factory,patna,trading,calico,silk,soon,trading,centre,saltpetre,francois,bernier,travels,mogul,empire,says,carried,ganges,great,facility,dutch,english,sent,large,cargoes,parts,indies,europe,trade,encouraged,europeans,principally,french,danes,dutch,portuguese,compete,lucrative,business,peter,mundy,writing,described,patna,greatest,mart,eastern,region,decisive,battle,buxar,treaty,allahabad,east,india,company,given,right,collect,tax,mughal,province,mughal,emperor,patna,annexed,company,territory,nizamat,abolished,british,east,india,company,took,control,province,bengal,bihar,patna,continued,trading,centre,bengal,presidency,partitioned,patna,capital,british,province,bihar,orissa,orissa,separate,entity,capital,till,date,major,population,bengalis,live,patna,particularly",0.00,patna
"street in patna  
",street patna,5.56,"street,patna",0.00,patna
