Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the peso is the monetary unit of several countries in the americas and the philippines originating in the spanish empire the word peso translates to weight in most countries of the americas the peso uses the same sign  as many currencies named dollar the sign  is used in the philippines
",peso monetary unit countries americas philippines originating spanish empire word peso translates weight countries americas peso uses sign currencies named dollar sign philippines,9.38,"peso,monetary,unit,countries,americas,philippines,originating,spanish,empire,word,peso,translates,weight,countries,americas,peso,uses,sign,currencies,named,dollar,sign,philippines",0.00,peso
"the silver peso worth eight reales was also known in english as a spanish dollar or piece of eight and was a widely used international trade coin from the th to the th century
",silver peso worth reales known english spanish dollar piece widely international trade coin th th century,10.23,"silver,peso,worth,reales,known,english,spanish,dollar,piece,widely,international,trade,coin,th,th,century",0.00,peso
"the name peso was given to the  real silver coin introduced in  minted at  pesos to a castilian mark  of silver  fine  it was minted in large quantities after the discovery of silver in mexico peru and bolivia in the th century and immediately became a coin of worldwide importance in international trade between europe asia and north america
",peso given real silver coin introduced minted pesos castilian mark silver fine minted large quantities discovery silver mexico peru bolivia th century immediately coin worldwide importance international trade europe asia north america,7.87,"peso,given,real,silver,coin,introduced,minted,pesos,castilian,mark,silver,fine,minted,large,quantities,discovery,silver,mexico,peru,bolivia,th,century,immediately,coin,worldwide,importance,international,trade,europe,asia,north,america",0.00,peso
"initially the peso was produced in spanish latin america in a rapid and simplified manner by cutting off a lump of silver of proper weight and fineness from the end of a silver bar which was then flattened out and impressed by a hammer this resulted in a crude irregular coin called a cob in english and macuquina in spanish the crown was entitled to a fifth of all gold and silver mined the quinto real  and cobs were a convenient means of handling and accounting for silver in most cases these cobs were immediately melted down by the recipient however some remained in circulation as currency they were ideal candidates for clipping and counterfeiting due to their irregular shape and incomplete design
",initially peso produced spanish latin america rapid simplified manner cutting lump silver proper weight fineness end silver bar flattened impressed hammer resulted crude irregular coin called cob english macuquina spanish crown entitled fifth gold silver mined quinto real cobs convenient means handling accounting silver cases cobs immediately melted recipient remained circulation currency ideal candidates clipping counterfeiting irregular shape incomplete design,8.92,"initially,peso,produced,spanish,latin,america,rapid,simplified,manner,cutting,lump,silver,proper,weight,fineness,end,silver,bar,flattened,impressed,hammer,resulted,crude,irregular,coin,called,cob,english,macuquina,spanish,crown,entitled,fifth,gold,silver,mined,quinto,real,cobs,convenient,means,handling,accounting,silver,cases,cobs,immediately,melted,recipient,remained,circulation,currency,ideal,candidates,clipping,counterfeiting,irregular,shape,incomplete,design",0.00,peso
"spanish laws of  and  ordered the mechanization of the minting of the peso so that they would be perfectly round and have milled edges there was a simultaneous reduction in weight and fineness to  pesos to a mark   fine or  g fine silver this new peso became even more popular in international trade with recipients finding it more advantageous to trade it as coined silver of known value rather than melting it into silver bullion
",spanish laws ordered mechanization minting peso perfectly round milled edges simultaneous reduction weight fineness pesos mark fine g fine silver new peso popular international trade recipients finding advantageous trade coined silver known value melting silver bullion,9.03,"spanish,laws,ordered,mechanization,minting,peso,perfectly,round,milled,edges,simultaneous,reduction,weight,fineness,pesos,mark,fine,g,fine,silver,new,peso,popular,international,trade,recipients,finding,advantageous,trade,coined,silver,known,value,melting,silver,bullion",0.00,peso
"a final alteration in  further reduced the fineness of the peso from  fine to     a sample of coins at the end of the th century however confirm a fineness of only   see currency of spanish americacoinage of  the weight of the united states dollar was defined in  as  grains of fine silver  based on the average silver content of worn peso coins the full  fineness was restored by mexico after its independence in 
",final alteration reduced fineness peso fine sample coins end th century confirm fineness currency spanish americacoinage weight united states dollar defined grains fine silver based average silver content worn peso coins fineness restored mexico independence,9.16,"final,alteration,reduced,fineness,peso,fine,sample,coins,end,th,century,confirm,fineness,currency,spanish,americacoinage,weight,united,states,dollar,defined,grains,fine,silver,based,average,silver,content,worn,peso,coins,fineness,restored,mexico,independence",0.00,peso
"an edict made in the same year which valued the peso duro at    reales de vellon proved to be ineffective as the various reales in circulation contained even less silver the situation was only resolved in  with the peso duro fixed at    reales de vellon with all prior non standard reales demonetized
",edict year valued peso duro reales de vellon proved ineffective reales circulation contained silver situation resolved peso duro fixed reales de vellon prior non standard reales demonetized,8.31,"edict,year,valued,peso,duro,reales,de,vellon,proved,ineffective,reales,circulation,contained,silver,situation,resolved,peso,duro,fixed,reales,de,vellon,prior,non,standard,reales,demonetized",0.00,peso
"the loss of latin american colonies and the ensuing domestic instability in the th century cut off the inflow of precious metals into spain and resulted in french coinage gradually entering domestic circulation two subsequent decimal system reforms were attempted in   and   but were not fully carried out the peso and the real were only fully retired with the introduction in  of the spanish peseta at par with the french franc and at the rate of    reales   pesetas   g of fine silver
",loss latin american colonies ensuing domestic instability th century cut inflow precious metals spain resulted french coinage gradually entering domestic circulation subsequent decimal system reforms attempted fully carried peso real fully retired introduction spanish peseta par french franc rate reales pesetas g fine silver,7.80,"loss,latin,american,colonies,ensuing,domestic,instability,th,century,cut,inflow,precious,metals,spain,resulted,french,coinage,gradually,entering,domestic,circulation,subsequent,decimal,system,reforms,attempted,fully,carried,peso,real,fully,retired,introduction,spanish,peseta,par,french,franc,rate,reales,pesetas,g,fine,silver",0.00,peso
"the spanish dollar continued to dominate the eastern trade and the peso of eight reales continued to be minted in the new world the coin was sometimes called a republican dollar but eventually any peso of the old spanish eight real standard was generally referred to as a mexican dollar mexico being the most prolific producer mexico restored the standard of  producing a coin of  g  fine containing  g fine silver 
",spanish dollar continued dominate eastern trade peso reales continued minted new world coin called republican dollar eventually peso old spanish real standard generally referred mexican dollar mexico prolific producer mexico restored standard producing coin g fine containing g fine silver,7.45,"spanish,dollar,continued,dominate,eastern,trade,peso,reales,continued,minted,new,world,coin,called,republican,dollar,eventually,peso,old,spanish,real,standard,generally,referred,mexican,dollar,mexico,prolific,producer,mexico,restored,standard,producing,coin,g,fine,containing,g,fine,silver",0.00,peso
"in  not long after adopting the metric system mexican mints began producing the peso of un peso denomination popularly known as balanza  with the same weight and fineness but with a uniform diameter of  mm  chinese merchants rejected the new coin discounting it by  in favor of the old eight real peso faced with this threat to her silver exports mexico returned to the old eight real peso by decree of may   but international trade was already shifting from silver to gold and after  there was a steady decline in the international price of silver
",long adopting metric system mexican mints began producing peso un peso denomination popularly known balanza weight fineness uniform diameter mm chinese merchants rejected new coin discounting favor old real peso faced threat silver exports mexico returned old real peso decree international trade shifting silver gold steady decline international price silver,8.20,"long,adopting,metric,system,mexican,mints,began,producing,peso,un,peso,denomination,popularly,known,balanza,weight,fineness,uniform,diameter,mm,chinese,merchants,rejected,new,coin,discounting,favor,old,real,peso,faced,threat,silver,exports,mexico,returned,old,real,peso,decree,international,trade,shifting,silver,gold,steady,decline,international,price,silver",0.00,peso
"until  the mexican dollar would have been to all intents and purposes equal in value to the silver dollar coins of the united states north of the border but at that time in history the mexican coin would have had a much greater international presence than the yous dollar the great silver devaluation of  caused the mexican dollar to drop in value against the yous dollar but until the beginning of the th century the mexican dollar would still have been a more widely accepted coin in the far east than the yous dollar between the th and th centuries mexico produced well over three billion of these coins mexico minted the last eight real peso in  and at the beginning of the twentieth century these mexican dollar coins were worth only  yous cents
",mexican dollar intents purposes equal value silver dollar coins united states north border time history mexican coin greater international presence yous dollar great silver devaluation caused mexican dollar drop value yous dollar beginning th century mexican dollar widely accepted coin far east yous dollar th th centuries mexico produced billion coins mexico minted real peso beginning twentieth century mexican dollar coins worth yous cents,9.32,"mexican,dollar,intents,purposes,equal,value,silver,dollar,coins,united,states,north,border,time,history,mexican,coin,greater,international,presence,yous,dollar,great,silver,devaluation,caused,mexican,dollar,drop,value,yous,dollar,beginning,th,century,mexican,dollar,widely,accepted,coin,far,east,yous,dollar,th,th,centuries,mexico,produced,billion,coins,mexico,minted,real,peso,beginning,twentieth,century,mexican,dollar,coins,worth,yous,cents",0.00,peso
