Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the philippine peso also referred to by its tagalog name piso  is the official currency of the philippines it is subdivided into  sentimo also called centavos
",philippine peso referred tagalog piso official currency philippines subdivided sentimo called centavos,8.81,"philippine,peso,referred,tagalog,piso,official,currency,philippines,subdivided,sentimo,called,centavos",0.00,peso
"the philippine peso sign is denoted by the symbol  introduced under american rule in place of the original peso sign  used throughout spanish america alternative symbols used are php php php or just p
",philippine peso sign denoted symbol introduced american rule place original peso sign spanish america alternative symbols php php php p,6.97,"philippine,peso,sign,denoted,symbol,introduced,american,rule,place,original,peso,sign,spanish,america,alternative,symbols,php,php,php,p",0.00,peso
"the philippine peso is derived from the spanish peso or pieces of eight brought over in large quantities from spanish america by the manila galleons of the period from the th century to the th from the same spanish peso or dollar is derived the various pesos of spanish america the dollars of the us and hong kong as well as the chinese yuan and the japanese yen
",philippine peso derived spanish peso pieces brought large quantities spanish america manila galleons period th century th spanish peso dollar derived pesos spanish america dollars hong kong chinese yuan japanese yen,10.19,"philippine,peso,derived,spanish,peso,pieces,brought,large,quantities,spanish,america,manila,galleons,period,th,century,th,spanish,peso,dollar,derived,pesos,spanish,america,dollars,hong,kong,chinese,yuan,japanese,yen",0.00,peso
"the spanish dollar or silver peso worth eight reales was first introduced by the magellan expedition of  and brought in large quantities after the  conquest of the philippines by miguel lpez de legazpi the local salapi continued under spanish rule as a toston or half peso coin additionally spanish gold onzas or eight escudo coins were also introduced with identical weight to the spanish dollar but valued at  silver pesos
",spanish dollar silver peso worth reales introduced magellan expedition brought large quantities conquest philippines miguel lpez de legazpi local salapi continued spanish rule toston half peso coin additionally spanish gold onzas escudo coins introduced identical weight spanish dollar valued silver pesos,6.82,"spanish,dollar,silver,peso,worth,reales,introduced,magellan,expedition,brought,large,quantities,conquest,philippines,miguel,lpez,de,legazpi,local,salapi,continued,spanish,rule,toston,half,peso,coin,additionally,spanish,gold,onzas,escudo,coins,introduced,identical,weight,spanish,dollar,valued,silver,pesos",0.00,peso
"a currency system derived from coins imported from spain china and neighboring countries was fraught with various difficulties money came in different coinages and fractional currency in addition to the real and the cuarto also existed money has nearly always been scarce in manila and when it was abundant it was shipped to the provinces or exported abroad to pay for exports an  decree requiring the keeping of accounts in pesos and centimos  was of little help to the situation given the existence of copper cuartos worth  to a peso
",currency system derived coins imported spain china neighboring countries fraught difficulties money came different coinages fractional currency addition real cuarto existed money nearly scarce manila abundant shipped provinces exported abroad pay exports decree requiring keeping accounts pesos centimos little help situation given existence copper cuartos worth peso,8.02,"currency,system,derived,coins,imported,spain,china,neighboring,countries,fraught,difficulties,money,came,different,coinages,fractional,currency,addition,real,cuarto,existed,money,nearly,scarce,manila,abundant,shipped,provinces,exported,abroad,pay,exports,decree,requiring,keeping,accounts,pesos,centimos,little,help,situation,given,existence,copper,cuartos,worth,peso",0.00,peso
"the spanish gold onza  was of identical weight to the spanish dollar but was officially valued at  silver pesos thus putting the peso on a bimetallic standard worth either the silver mexican peso  or th the gold onza  with a goldsilver ratio of  its divergence with the value of gold in international trade featured prominently in the continued monetary crises of the th century in the s the low price of gold in the international markets triggered the outflow of silver coins in  the adoption of the gold standard in europe triggered a rise in the international price of gold and the replacement of gold coins with silver mexican pesos
",spanish gold onza identical weight spanish dollar officially valued silver pesos putting peso bimetallic standard worth silver mexican peso th gold onza goldsilver ratio divergence value gold international trade featured prominently continued monetary crises th century low price gold international markets triggered outflow silver coins adoption gold standard europe triggered rise international price gold replacement gold coins silver mexican pesos,7.85,"spanish,gold,onza,identical,weight,spanish,dollar,officially,valued,silver,pesos,putting,peso,bimetallic,standard,worth,silver,mexican,peso,th,gold,onza,goldsilver,ratio,divergence,value,gold,international,trade,featured,prominently,continued,monetary,crises,th,century,low,price,gold,international,markets,triggered,outflow,silver,coins,adoption,gold,standard,europe,triggered,rise,international,price,gold,replacement,gold,coins,silver,mexican,pesos",0.00,peso
"as the price of silver fell further mexican peso imports were forbidden from  and only mexican pesos dated  or earlier were legally equivalent to philippine minted pesos and peso fuerte banknotes however spain and its colonies failed to establish a proper gold standard the philippine peso and the spanish duro  thus went on a fiduciary coin  standard while worth more than the mexican peso due to its scarcity in circulation both coins traded at a fluctuating discount versus the gold peso while pre  mexican pesos were reminted into philippine     and  centimo coins until the s these coins were continuously smuggled in connivance with customs officials due to their higher fiat value in the philippines
",price silver fell mexican peso imports forbidden mexican pesos dated earlier legally equivalent philippine minted pesos peso fuerte banknotes spain colonies failed establish proper gold standard philippine peso spanish duro went fiduciary coin standard worth mexican peso scarcity circulation coins traded fluctuating discount versus gold peso pre mexican pesos reminted philippine centimo coins coins continuously smuggled connivance customs officials higher fiat value philippines,7.21,"price,silver,fell,mexican,peso,imports,forbidden,mexican,pesos,dated,earlier,legally,equivalent,philippine,minted,pesos,peso,fuerte,banknotes,spain,colonies,failed,establish,proper,gold,standard,philippine,peso,spanish,duro,went,fiduciary,coin,standard,worth,mexican,peso,scarcity,circulation,coins,traded,fluctuating,discount,versus,gold,peso,pre,mexican,pesos,reminted,philippine,centimo,coins,coins,continuously,smuggled,connivance,customs,officials,higher,fiat,value,philippines",0.00,peso
"after  the united states colonial administration repealed this fictitious gold standard in favor of the unlimited importation of mexican pesos and the philippine peso became a silver standard currency with its value dropping to half a gold peso
",united states colonial administration repealed fictitious gold standard favor unlimited importation mexican pesos philippine peso silver standard currency value dropping half gold peso,6.12,"united,states,colonial,administration,repealed,fictitious,gold,standard,favor,unlimited,importation,mexican,pesos,philippine,peso,silver,standard,currency,value,dropping,half,gold,peso",0.00,peso
"concurrent with these events is the establishment of the casa de moneda de manila in the philippines in  the mintage starting  of gold   and  peso coins according to spanish standards  and the mintage starting  of fractional   and  centimo silver coins also according to spanish standards 
",concurrent events establishment casa de moneda de manila philippines mintage starting gold peso coins according spanish standards mintage starting fractional centimo silver coins according spanish standards,6.55,"concurrent,events,establishment,casa,de,moneda,de,manila,philippines,mintage,starting,gold,peso,coins,according,spanish,standards,mintage,starting,fractional,centimo,silver,coins,according,spanish,standards",0.00,peso
"in  spain introduced  peso silver coins with the bust of king alfonso xiii as well as   and  centimos de peseta coins for circulation in the philippines as   and  centimos de peso the spanish filipino peso remained in circulation and were legal tender in the islands until  when the american authorities demonetized them in favor of the new us philippine peso
",spain introduced peso silver coins bust king alfonso xiii centimos de peseta coins circulation philippines centimos de peso spanish filipino peso remained circulation legal tender islands american authorities demonetized favor new philippine peso,7.50,"spain,introduced,peso,silver,coins,bust,king,alfonso,xiii,centimos,de,peseta,coins,circulation,philippines,centimos,de,peso,spanish,filipino,peso,remained,circulation,legal,tender,islands,american,authorities,demonetized,favor,new,philippine,peso",0.00,peso
"the first paper money circulated in the philippines was the philippine peso fuerte issued in  by the countrys first bank the el banco espaold filipino de isabel ii convertible to either silver pesos or gold onzas its volume of  pesos was small relative to about  silver pesos in circulation at the end of the th century
",paper money circulated philippines philippine peso fuerte issued countrys bank el banco espaold filipino de isabel ii convertible silver pesos gold onzas volume pesos small relative silver pesos circulation end th century,7.50,"paper,money,circulated,philippines,philippine,peso,fuerte,issued,countrys,bank,el,banco,espaold,filipino,de,isabel,ii,convertible,silver,pesos,gold,onzas,volume,pesos,small,relative,silver,pesos,circulation,end,th,century",0.00,peso
"asserting its independence after the philippine declaration of independence on june   the repblica filipina  under general emilio aguinaldo issued its own coins and paper currency backed by the countrys natural resources the coins were the first to use the name centavo for the subdivision of the peso the island of panay also issued revolutionary coinage after aguinaldos capture by american forces in palanan isabela on march   the revolutionary peso ceased to exist
",asserting independence philippine declaration independence june repblica filipina general emilio aguinaldo issued coins paper currency backed countrys natural resources coins use centavo subdivision peso island panay issued revolutionary coinage aguinaldos capture american forces palanan isabela march revolutionary peso ceased exist,6.82,"asserting,independence,philippine,declaration,independence,june,repblica,filipina,general,emilio,aguinaldo,issued,coins,paper,currency,backed,countrys,natural,resources,coins,use,centavo,subdivision,peso,island,panay,issued,revolutionary,coinage,aguinaldos,capture,american,forces,palanan,isabela,march,revolutionary,peso,ceased,exist",0.00,peso
"after the united states took control of the philippines the united states congress passed the philippine coinage act of  established the unit of currency to be a theoretical gold peso  consisting of  grains of gold  fine  this unit was equivalent to exactly half the value of a yous dollar its peg to gold was maintained until the gold content of the yous dollar was reduced in  its peg of  to the yous dollar was maintained until independence in 
",united states took control philippines united states congress passed philippine coinage act established unit currency theoretical gold peso consisting grains gold fine unit equivalent exactly half value yous dollar peg gold maintained gold content yous dollar reduced peg yous dollar maintained independence,8.04,"united,states,took,control,philippines,united,states,congress,passed,philippine,coinage,act,established,unit,currency,theoretical,gold,peso,consisting,grains,gold,fine,unit,equivalent,exactly,half,value,yous,dollar,peg,gold,maintained,gold,content,yous,dollar,reduced,peg,yous,dollar,maintained,independence",0.00,peso
"the act provided for the coinage and issuance of philippine silver pesos substantially of the weight and fineness as the mexican peso which should be of the value of  cents gold and redeemable in gold at the insular treasury and which was intended to be the sole circulating medium among the people the act also provided for the coinage of subsidiary and minor coins and for the issuance of silver certificates in denominations of not less than  nor more than  pesos 
",act provided coinage issuance philippine silver pesos substantially weight fineness mexican peso value cents gold redeemable gold insular treasury intended sole circulating medium people act provided coinage subsidiary minor coins issuance silver certificates denominations pesos,9.83,"act,provided,coinage,issuance,philippine,silver,pesos,substantially,weight,fineness,mexican,peso,value,cents,gold,redeemable,gold,insular,treasury,intended,sole,circulating,medium,people,act,provided,coinage,subsidiary,minor,coins,issuance,silver,certificates,denominations,pesos",0.00,peso
"in  coinage adopted filipino language terminology instead of english banknotes following suit in  consecutively the currency terminologies as appearing on coinage and banknotes changed from the english centavo and peso to the filipino sentimo and piso however centavo is more commonly used by filipinos in everyday speech
",coinage adopted filipino language terminology instead english banknotes following suit consecutively currency terminologies appearing coinage banknotes changed english centavo peso filipino sentimo piso centavo commonly filipinos everyday speech,5.90,"coinage,adopted,filipino,language,terminology,instead,english,banknotes,following,suit,consecutively,currency,terminologies,appearing,coinage,banknotes,changed,english,centavo,peso,filipino,sentimo,piso,centavo,commonly,filipinos,everyday,speech",0.00,peso
"positive political and economic developments in the s paved the way for further economic liberalization and an opportunity to unburden the central bank of objectives that are inconsistent with keeping inflation stable the new central bank act  of june   replaces the old cbp with a new bangko sentral ng pilipinas mandated explicitly to maintain price stability and enjoying fiscal and administrative autonomy to insulate it from government interference this along with the further liberalization of various foreign exchange regulations puts the philippine peso on a fully floating exchange rate system the market decides on the level in which the peso trades versus foreign currencies based on the bsps ability to maintain a stable inflation rate on goods and services as well as sufficient international reserves to fund exports black market exchange rates as seen in the past are now nonexistent since official markets now reflect underlying supply and demand
",positive political economic developments paved way economic liberalization opportunity unburden central bank objectives inconsistent keeping inflation stable new central bank act june replaces old cbp new bangko sentral ng pilipinas mandated explicitly maintain price stability enjoying fiscal administrative autonomy insulate government interference liberalization foreign exchange regulations puts philippine peso fully floating exchange rate system market decides level peso trades versus foreign currencies based bsps ability maintain stable inflation rate goods services sufficient international reserves fund exports black market exchange rates seen past nonexistent official markets reflect underlying supply demand,6.23,"positive,political,economic,developments,paved,way,economic,liberalization,opportunity,unburden,central,bank,objectives,inconsistent,keeping,inflation,stable,new,central,bank,act,june,replaces,old,cbp,new,bangko,sentral,ng,pilipinas,mandated,explicitly,maintain,price,stability,enjoying,fiscal,administrative,autonomy,insulate,government,interference,liberalization,foreign,exchange,regulations,puts,philippine,peso,fully,floating,exchange,rate,system,market,decides,level,peso,trades,versus,foreign,currencies,based,bsps,ability,maintain,stable,inflation,rate,goods,services,sufficient,international,reserves,fund,exports,black,market,exchange,rates,seen,past,nonexistent,official,markets,reflect,underlying,supply,demand",0.00,peso
"the philippine peso has since traded versus the yous dollar in a range of  from  to   from  to  and  from  to  the previous  definition of a peso as  grains of  gold  is now worth  based on gold prices as of november 
",philippine peso traded versus yous dollar range previous definition peso grains gold worth based gold prices november,11.01,"philippine,peso,traded,versus,yous,dollar,range,previous,definition,peso,grains,gold,worth,based,gold,prices,november",0.00,peso
"the spanish administration opened the casa de moneda de manila  in  in order to supply coins for the philippines minting silver coins of  centimos  centimos and  centimos and gold coins of  peso  pesos and  pesos
",spanish administration opened casa de moneda de manila order supply coins philippines minting silver coins centimos centimos centimos gold coins peso pesos pesos,5.63,"spanish,administration,opened,casa,de,moneda,de,manila,order,supply,coins,philippines,minting,silver,coins,centimos,centimos,centimos,gold,coins,peso,pesos,pesos",0.00,peso
"the american government minted currency under the philippine coinage act of  in its mints in the united states in base metal denominations of half centavo one centavo and five centavos and in silver denominations of  centavos  centavos  centavos and  peso they eventually deemed it more economical and convenient to mint coins in the philippines hence the re opening of the manila mint in  which produced coins until the commonwealth era excluding  centavo and regular issue  peso coins 
",american government minted currency philippine coinage act mints united states base metal denominations half centavo centavo centavos silver denominations centavos centavos centavos peso eventually deemed economical convenient mint coins philippines opening manila mint produced coins commonwealth era excluding centavo regular issue peso coins,6.97,"american,government,minted,currency,philippine,coinage,act,mints,united,states,base,metal,denominations,half,centavo,centavo,centavos,silver,denominations,centavos,centavos,centavos,peso,eventually,deemed,economical,convenient,mint,coins,philippines,opening,manila,mint,produced,coins,commonwealth,era,excluding,centavo,regular,issue,peso,coins",0.00,peso
"the one peso coin of the bsp series
",peso coin bsp series,11.11,"peso,coin,bsp,series",0.00,peso
"in  the pilipino language coin series was introduced with the peso and centavo renamed into piso and sentimo it consisted of aluminum  sentimo brass  sentimo and nickel brass   and  sentimo the  piso coin was reintroduced in 
",pilipino language coin series introduced peso centavo renamed piso sentimo consisted aluminum sentimo brass sentimo nickel brass sentimo piso coin reintroduced,6.64,"pilipino,language,coin,series,introduced,peso,centavo,renamed,piso,sentimo,consisted,aluminum,sentimo,brass,sentimo,nickel,brass,sentimo,piso,coin,reintroduced",0.00,peso
