Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"polandc officially the republic of polandd is a country in central europe it is divided into  administrative provinces called voivodeships covering an area of  km  poland has a population of  million and is the fifth most populous member state of the european union warsaw is the nations capital and largest metropolis other major cities include krakw wrocaw d pozna gdask and szczecin
",polandc officially republic polandd country central europe divided administrative provinces called voivodeships covering area km poland population million fifth populous member state european union warsaw nations capital largest metropolis major cities include krakw wrocaw pozna gdask szczecin,6.48,"polandc,officially,republic,polandd,country,central,europe,divided,administrative,provinces,called,voivodeships,covering,area,km,poland,population,million,fifth,populous,member,state,european,union,warsaw,nations,capital,largest,metropolis,major,cities,include,krakw,wrocaw,pozna,gdask,szczecin",0.00,poland
"poland has a temperate transitional climate and its territory traverses the central european plain extending from baltic sea in the north to sudeten and carpathian mountains in the south the longest polish river is the vistula and polands highest point is mount rysy situated in the tatra mountain range of the carpathians the country is bordered by lithuania and russia to the northeaste belarus and ukraine to the east slovakia and the czech republic to the south and germany to the west it also shares maritime boundaries with denmark and sweden
",poland temperate transitional climate territory traverses central european plain extending baltic sea north sudeten carpathian mountains south longest polish river vistula polands highest point mount rysy situated tatra mountain range carpathians country bordered lithuania russia northeaste belarus ukraine east slovakia czech republic south germany west shares maritime boundaries denmark sweden,7.47,"poland,temperate,transitional,climate,territory,traverses,central,european,plain,extending,baltic,sea,north,sudeten,carpathian,mountains,south,longest,polish,river,vistula,polands,highest,point,mount,rysy,situated,tatra,mountain,range,carpathians,country,bordered,lithuania,russia,northeaste,belarus,ukraine,east,slovakia,czech,republic,south,germany,west,shares,maritime,boundaries,denmark,sweden",0.00,poland
"the history of human activity on polish soil dates to circa  because culturally diverse throughout late antiquity the region became inhabited by tribal polans who gave poland its name in the early medieval period the establishment of statehood in  coincided with a pagan ruler of the polans converting to christianity under the auspices of the roman church the kingdom of poland emerged in  and in  cemented its longstanding association with lithuania thus forming the polishlithuanian commonwealth it was one of the great powers of europe at the time with a uniquely liberal political system that adopted europes first modern constitution in 
",history human activity polish soil dates circa culturally diverse late antiquity region inhabited tribal polans gave poland early medieval period establishment statehood coincided pagan ruler polans converting christianity auspices roman church kingdom poland emerged cemented longstanding association lithuania forming polishlithuanian commonwealth great powers europe time uniquely liberal political system adopted europes modern constitution,7.45,"history,human,activity,polish,soil,dates,circa,culturally,diverse,late,antiquity,region,inhabited,tribal,polans,gave,poland,early,medieval,period,establishment,statehood,coincided,pagan,ruler,polans,converting,christianity,auspices,roman,church,kingdom,poland,emerged,cemented,longstanding,association,lithuania,forming,polishlithuanian,commonwealth,great,powers,europe,time,uniquely,liberal,political,system,adopted,europes,modern,constitution",0.00,poland
"with the passing of a prosperous polish golden age the country was partitioned by neighbouring states at the end of the th century and regained its independence in  as the second polish republic in september  the german soviet invasion of poland marked the beginning of world war ii which resulted in the holocaust and millions of polish casualties as a member of the communist bloc in the global cold war the polish peoples republic was a founding signatory of the warsaw pact through the emergence and contributions of the solidarity movement the communist government was dissolved and poland re established itself as a democratic state in 
",passing prosperous polish golden age country partitioned neighbouring states end th century regained independence second polish republic september german soviet invasion poland marked beginning world war ii resulted holocaust millions polish casualties member communist bloc global cold war polish peoples republic founding signatory warsaw pact emergence contributions solidarity movement communist government dissolved poland established democratic state,7.78,"passing,prosperous,polish,golden,age,country,partitioned,neighbouring,states,end,th,century,regained,independence,second,polish,republic,september,german,soviet,invasion,poland,marked,beginning,world,war,ii,resulted,holocaust,millions,polish,casualties,member,communist,bloc,global,cold,war,polish,peoples,republic,founding,signatory,warsaw,pact,emergence,contributions,solidarity,movement,communist,government,dissolved,poland,established,democratic,state",0.00,poland
"poland is a parliamentary republic with its bicameral legislature comprising the sejm and the senate it is a developed market and a high income economy considered a middle power poland has the sixth largest economy in the european union by  gdp  and the fifth largest by gdp  it provides high standards of living safety and economic freedom as well as free university education and a universal health care system the country has  unesco world heritage sites  of which are cultural poland is a founding member state of the united nations as well as a member of the world trade organization nato and the european union 
",poland parliamentary republic bicameral legislature comprising sejm senate developed market high income economy considered middle power poland sixth largest economy european union gdp fifth largest gdp provides high standards living safety economic freedom free university education universal health care system country unesco world heritage sites cultural poland founding member state united nations member world trade organization nato european union,7.44,"poland,parliamentary,republic,bicameral,legislature,comprising,sejm,senate,developed,market,high,income,economy,considered,middle,power,poland,sixth,largest,economy,european,union,gdp,fifth,largest,gdp,provides,high,standards,living,safety,economic,freedom,free,university,education,universal,health,care,system,country,unesco,world,heritage,sites,cultural,poland,founding,member,state,united,nations,member,world,trade,organization,nato,european,union",0.00,poland
"the native polish name for poland is polska the name is derived from the polans a west slavic tribe who inhabited the warta river basin of present day greater poland region  the tribes name stems from the proto slavic noun pole meaning field which in itself originates from the proto indo european word pleh  indicating flatland the etymology alludes to the topography of the region and the flat landscape of greater poland the english name poland was formed in the s from german pole and the suffix  land denoting a people or nation prior to its adoption the latin form polonia was widely used throughout medieval europe
",native polish poland polska derived polans west slavic tribe inhabited warta river basin present day greater poland region tribes stems proto slavic noun pole meaning field originates proto indo european word pleh indicating flatland etymology alludes topography region flat landscape greater poland english poland formed german pole suffix land denoting people nation prior adoption latin form polonia widely medieval europe,7.56,"native,polish,poland,polska,derived,polans,west,slavic,tribe,inhabited,warta,river,basin,present,day,greater,poland,region,tribes,stems,proto,slavic,noun,pole,meaning,field,originates,proto,indo,european,word,pleh,indicating,flatland,etymology,alludes,topography,region,flat,landscape,greater,poland,english,poland,formed,german,pole,suffix,land,denoting,people,nation,prior,adoption,latin,form,polonia,widely,medieval,europe",0.00,poland
"the countrys alternative archaic name is lechia and its root syllable remains in official use in several languages notably hungarian lithuanian and persian the exonym possibly derives from either lech a legendary ruler of the lechites or from the lendians a west slavic tribe that dwelt on the south easternmost edge of present day lesser poland region the origin of the tribes name lies in the old polish word lda  initially both names lechia and polonia were used interchangeably when referring to poland by chroniclers during the middle ages
",countrys alternative archaic lechia root syllable remains official use languages notably hungarian lithuanian persian exonym possibly derives lech legendary ruler lechites lendians west slavic tribe dwelt south easternmost edge present day lesser poland region origin tribes lies old polish word lda initially names lechia polonia interchangeably referring poland chroniclers middle ages,6.97,"countrys,alternative,archaic,lechia,root,syllable,remains,official,use,languages,notably,hungarian,lithuanian,persian,exonym,possibly,derives,lech,legendary,ruler,lechites,lendians,west,slavic,tribe,dwelt,south,easternmost,edge,present,day,lesser,poland,region,origin,tribes,lies,old,polish,word,lda,initially,names,lechia,polonia,interchangeably,referring,poland,chroniclers,middle,ages",0.00,poland
"the first stone age archaic humans and homo erectus species settled what was to become poland approximately  years ago though the ensuing hostile climate prevented early humans from founding more permanent encampments the arrival of homo sapiens and anatomically modern humans coincided with the climatic discontinuity at the end of the last glacial period  when poland became habitable neolithic excavations indicated broad ranging development in that era the earliest evidence of european cheesemaking  was discovered in polish kuyavia and the bronocice pot is incised with the earliest known depiction of what may be a wheeled vehicle 
",stone age archaic humans homo erectus species settled poland approximately years ago ensuing hostile climate prevented early humans founding permanent encampments arrival homo sapiens anatomically modern humans coincided climatic discontinuity end glacial period poland habitable neolithic excavations indicated broad ranging development era earliest evidence european cheesemaking discovered polish kuyavia bronocice pot incised earliest known depiction wheeled vehicle,6.10,"stone,age,archaic,humans,homo,erectus,species,settled,poland,approximately,years,ago,ensuing,hostile,climate,prevented,early,humans,founding,permanent,encampments,arrival,homo,sapiens,anatomically,modern,humans,coincided,climatic,discontinuity,end,glacial,period,poland,habitable,neolithic,excavations,indicated,broad,ranging,development,era,earliest,evidence,european,cheesemaking,discovered,polish,kuyavia,bronocice,pot,incised,earliest,known,depiction,wheeled,vehicle",0.00,poland
"the period spanning the bronze age and the early iron age  was marked by an increase in population density establishment of palisaded settlements  and the expansion of lusatian culture a significant archaeological find from the protohistory of poland is a fortified settlement at biskupin attributed to the lusatian culture of the late bronze age 
",period spanning bronze age early iron age marked increase population density establishment palisaded settlements expansion lusatian culture significant archaeological find protohistory poland fortified settlement biskupin attributed lusatian culture late bronze age,6.61,"period,spanning,bronze,age,early,iron,age,marked,increase,population,density,establishment,palisaded,settlements,expansion,lusatian,culture,significant,archaeological,find,protohistory,poland,fortified,settlement,biskupin,attributed,lusatian,culture,late,bronze,age",0.00,poland
"throughout antiquity  many distinct ancient populations inhabited the territory of present day poland notably celtic scythian germanic sarmatian baltic and slavic tribes furthermore archaeological findings confirmed the presence of roman legions sent to protect the amber trade the polish tribes emerged following the second wave of the migration period around the th century ad they were slavic and possibly may have included assimilated remnants of peoples that earlier dwelled in the area beginning in the early th century the polans would come to dominate other lechitic tribes in the region initially forming a tribal federation and later a centralised monarchial state
",antiquity distinct ancient populations inhabited territory present day poland notably celtic scythian germanic sarmatian baltic slavic tribes furthermore archaeological findings confirmed presence roman legions sent protect amber trade polish tribes emerged following second wave migration period th century ad slavic possibly included assimilated remnants peoples earlier dwelled area beginning early th century polans come dominate lechitic tribes region initially forming tribal federation later centralised monarchial state,5.19,"antiquity,distinct,ancient,populations,inhabited,territory,present,day,poland,notably,celtic,scythian,germanic,sarmatian,baltic,slavic,tribes,furthermore,archaeological,findings,confirmed,presence,roman,legions,sent,protect,amber,trade,polish,tribes,emerged,following,second,wave,migration,period,th,century,ad,slavic,possibly,included,assimilated,remnants,peoples,earlier,dwelled,area,beginning,early,th,century,polans,come,dominate,lechitic,tribes,region,initially,forming,tribal,federation,later,centralised,monarchial,state",0.00,poland
