Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"polish  polszczyzna pltzna  or simply polski plski  is a west slavic language of the lechitic group written in the latin script it is spoken primarily in poland and serves as the native language of the poles in addition to being the official language of poland it is also used by the polish diaspora there are over  million polish speakers around the world it ranks as the sixth most spoken among languages of the european union polish is subdivided into regional dialects and maintains strict tv distinction pronouns honorifics and various forms of formalities when addressing individuals
",polish polszczyzna pltzna simply polski plski west slavic language lechitic group written latin script spoken primarily poland serves native language poles addition official language poland polish diaspora million polish speakers world ranks sixth spoken languages european union polish subdivided regional dialects maintains strict tv distinction pronouns honorifics forms formalities addressing individuals,7.63,"polish,polszczyzna,pltzna,simply,polski,plski,west,slavic,language,lechitic,group,written,latin,script,spoken,primarily,poland,serves,native,language,poles,addition,official,language,poland,polish,diaspora,million,polish,speakers,world,ranks,sixth,spoken,languages,european,union,polish,subdivided,regional,dialects,maintains,strict,tv,distinction,pronouns,honorifics,forms,formalities,addressing,individuals",0.00,polish
"the traditional  letter polish alphabet has nine additions  to the letters of the basic  letter latin alphabet while removing three  those three letters are at times included in an extended  letter alphabet although they are not used in native words the traditional set comprises  consonants and  written vowels including two nasal vowels  defined by a reversed diacritic hook called an ogonek polish is a synthetic and fusional language which has seven grammatical cases it is one of very few languages in the world possessing continuous penultimate stress  and the only in its group having an abundance of palatal consonants contemporary polish developed in the s as the successor to the medieval old polish  and middle polish 
",traditional letter polish alphabet additions letters basic letter latin alphabet removing letters times included extended letter alphabet native words traditional set comprises consonants written vowels including nasal vowels defined reversed diacritic hook called ogonek polish synthetic fusional language seven grammatical cases languages world possessing continuous penultimate stress group abundance palatal consonants contemporary polish developed successor medieval old polish middle polish,7.67,"traditional,letter,polish,alphabet,additions,letters,basic,letter,latin,alphabet,removing,letters,times,included,extended,letter,alphabet,native,words,traditional,set,comprises,consonants,written,vowels,including,nasal,vowels,defined,reversed,diacritic,hook,called,ogonek,polish,synthetic,fusional,language,seven,grammatical,cases,languages,world,possessing,continuous,penultimate,stress,group,abundance,palatal,consonants,contemporary,polish,developed,successor,medieval,old,polish,middle,polish",0.00,polish
"among the major languages it is most closely related to slovak and czech but differs in terms of pronunciation and general grammar in addition polish was profoundly influenced by latin and other romance languages like italian and french as well as germanic languages  which contributed to a large number of loanwords and similar grammatical structures extensive usage of nonstandard dialects has also shaped the standard language considerable colloquialisms and expressions were directly borrowed from german or yiddish and subsequently adopted into the vernacular of polish which is in everyday use
",major languages closely related slovak czech differs terms pronunciation general grammar addition polish profoundly influenced latin romance languages like italian french germanic languages contributed large number loanwords similar grammatical structures extensive usage nonstandard dialects shaped standard language considerable colloquialisms expressions directly borrowed german yiddish subsequently adopted vernacular polish everyday use,6.67,"major,languages,closely,related,slovak,czech,differs,terms,pronunciation,general,grammar,addition,polish,profoundly,influenced,latin,romance,languages,like,italian,french,germanic,languages,contributed,large,number,loanwords,similar,grammatical,structures,extensive,usage,nonstandard,dialects,shaped,standard,language,considerable,colloquialisms,expressions,directly,borrowed,german,yiddish,subsequently,adopted,vernacular,polish,everyday,use",0.00,polish
"historically polish was a lingua franca important both diplomatically and academically in central and part of eastern europe today polish is spoken by approximately  million people as their first language in poland it is also spoken as a second language in eastern germany northern czech republic and slovakia western parts of belarus and ukraine as well as in southeast lithuania and latvia because of the emigration from poland during different time periods most notably after world war ii millions of polish speakers can also be found in countries such as canada argentina brazil israel australia the united kingdom and the united states
",historically polish lingua franca important diplomatically academically central eastern europe today polish spoken approximately million people language poland spoken second language eastern germany northern czech republic slovakia western parts belarus ukraine southeast lithuania latvia emigration poland different time periods notably world war ii millions polish speakers found countries canada argentina brazil israel australia united kingdom united states,7.02,"historically,polish,lingua,franca,important,diplomatically,academically,central,eastern,europe,today,polish,spoken,approximately,million,people,language,poland,spoken,second,language,eastern,germany,northern,czech,republic,slovakia,western,parts,belarus,ukraine,southeast,lithuania,latvia,emigration,poland,different,time,periods,notably,world,war,ii,millions,polish,speakers,found,countries,canada,argentina,brazil,israel,australia,united,kingdom,united,states",0.00,polish
"polish began to emerge as a distinct language around the th century the process largely triggered by the establishment and development of the polish state mieszko i ruler of the polans tribe from the greater poland region united a few culturally and linguistically related tribes from the basins of the vistula and oder before eventually accepting baptism in  with christianity poland also adopted the latin alphabet which made it possible to write down polish which until then had existed only as a spoken language the closest relatives of polish are the elbe and baltic sea lechitic dialects  all of them except kashubian are extinct the precursor to modern polish is the old polish language ultimately polish descends from the unattested proto slavic language
",polish began emerge distinct language th century process largely triggered establishment development polish state mieszko ruler polans tribe greater poland region united culturally linguistically related tribes basins vistula oder eventually accepting baptism christianity poland adopted latin alphabet possible write polish existed spoken language closest relatives polish elbe baltic sea lechitic dialects kashubian extinct precursor modern polish old polish language ultimately polish descends unattested proto slavic language,7.47,"polish,began,emerge,distinct,language,th,century,process,largely,triggered,establishment,development,polish,state,mieszko,ruler,polans,tribe,greater,poland,region,united,culturally,linguistically,related,tribes,basins,vistula,oder,eventually,accepting,baptism,christianity,poland,adopted,latin,alphabet,possible,write,polish,existed,spoken,language,closest,relatives,polish,elbe,baltic,sea,lechitic,dialects,kashubian,extinct,precursor,modern,polish,old,polish,language,ultimately,polish,descends,unattested,proto,slavic,language",0.00,polish
"the book of henrykw  contains the earliest known sentence written in the polish language day ut ia pobrusa a ti poziwai  written around 
",book henrykw contains earliest known sentence written polish language day ut ia pobrusa ti poziwai written,5.11,"book,henrykw,contains,earliest,known,sentence,written,polish,language,day,ut,ia,pobrusa,ti,poziwai,written",0.00,polish
"the earliest treatise on polish orthography was written by jakub parkosz pl around  the first book in polish was printed in either  or  while the first polish newspaper merkuriusz polski ordynaryjny appeared in  starting in the s large numbers of books in the polish language were published contributing to increased homogeneity of grammar and orthography the writing system achieved its overall form in the th century which is also regarded as the golden age of polish literature the orthography was modified in the th century and in 
",earliest treatise polish orthography written jakub parkoszpl book polish printed polish newspaper merkuriusz polski ordynaryjny appeared starting large numbers books polish language published contributing increased homogeneity grammar orthography writing system achieved overall form th century regarded golden age polish literature orthography modified th century,7.84,"earliest,treatise,polish,orthography,written,jakub,parkoszpl,book,polish,printed,polish,newspaper,merkuriusz,polski,ordynaryjny,appeared,starting,large,numbers,books,polish,language,published,contributing,increased,homogeneity,grammar,orthography,writing,system,achieved,overall,form,th,century,regarded,golden,age,polish,literature,orthography,modified,th,century",0.00,polish
"tomasz kamusella notes that polish is the oldest non ecclesiastical written slavic language with a continuous tradition of literacy and official use which has lasted unbroken from the th century to this day polish evolved into the main sociolect of the nobles in polandlithuania in the th century the history of polish as a language of state governance begins in the th century in the kingdom of poland over the later centuries polish served as the official language in the grand duchy of lithuania congress poland the kingdom of galicia and lodomeria and as the administrative language in the russian empires western krai the growth of the polishlithuanian commonwealths influence gave polish the status of lingua franca in central and eastern europe
",tomasz kamusella notes polish oldest non ecclesiastical written slavic language continuous tradition literacy official use lasted unbroken th century day polish evolved main sociolect nobles polandlithuania th century history polish language state governance begins th century kingdom poland later centuries polish served official language grand duchy lithuania congress poland kingdom galicia lodomeria administrative language russian empires western krai growth polishlithuanian commonwealths influence gave polish status lingua franca central eastern europe,6.91,"tomasz,kamusella,notes,polish,oldest,non,ecclesiastical,written,slavic,language,continuous,tradition,literacy,official,use,lasted,unbroken,th,century,day,polish,evolved,main,sociolect,nobles,polandlithuania,th,century,history,polish,language,state,governance,begins,th,century,kingdom,poland,later,centuries,polish,served,official,language,grand,duchy,lithuania,congress,poland,kingdom,galicia,lodomeria,administrative,language,russian,empires,western,krai,growth,polishlithuanian,commonwealths,influence,gave,polish,status,lingua,franca,central,eastern,europe",0.00,polish
"poland is one of the most linguistically homogeneous european countries nearly  of polands citizens declare polish as their first language elsewhere poles constitute large minorities in areas which were once administered or occupied by poland notably in neighboring lithuania belarus and ukraine polish is the most widely used minority language in lithuanias vilnius county by  of the population according to the  census results as vilnius was part of poland from  until  polish is found elsewhere in southeastern lithuania in ukraine it is most common in the western parts of lviv and volyn oblasts while in west belarus it is used by the significant polish minority especially in the brest and grodno regions and in areas along the lithuanian border there are significant numbers of polish speakers among polish emigrants and their descendants in many other countries
",poland linguistically homogeneous european countries nearly polands citizens declare polish language poles constitute large minorities areas administered occupied poland notably neighboring lithuania belarus ukraine polish widely minority language lithuanias vilnius county population according census results vilnius poland polish found southeastern lithuania ukraine common western parts lviv volyn oblasts west belarus significant polish minority especially brest grodno regions areas lithuanian border significant numbers polish speakers polish emigrants descendants countries,7.82,"poland,linguistically,homogeneous,european,countries,nearly,polands,citizens,declare,polish,language,poles,constitute,large,minorities,areas,administered,occupied,poland,notably,neighboring,lithuania,belarus,ukraine,polish,widely,minority,language,lithuanias,vilnius,county,population,according,census,results,vilnius,poland,polish,found,southeastern,lithuania,ukraine,common,western,parts,lviv,volyn,oblasts,west,belarus,significant,polish,minority,especially,brest,grodno,regions,areas,lithuanian,border,significant,numbers,polish,speakers,polish,emigrants,descendants,countries",0.00,polish
"in the united states polish americans number more than  million but most of them cannot speak polish fluently according to the  united states census   americans of age five years and over reported polish as the language spoken at home which is about  of people who speak languages other than english  of the us population and  of the polish american population the largest concentrations of polish speakers reported in the census  were found in three states illinois  new york  and new jersey  enough people in these areas speak polish that pnc financial services  offers services available in polish at all of their cash machines in addition to english and spanish
",united states polish americans number million speak polish fluently according united states census americans age years reported polish language spoken home people speak languages english population polish american population largest concentrations polish speakers reported census found states illinois new york new jersey people areas speak polish pnc financial services offers services available polish cash machines addition english spanish,7.66,"united,states,polish,americans,number,million,speak,polish,fluently,according,united,states,census,americans,age,years,reported,polish,language,spoken,home,people,speak,languages,english,population,polish,american,population,largest,concentrations,polish,speakers,reported,census,found,states,illinois,new,york,new,jersey,people,areas,speak,polish,pnc,financial,services,offers,services,available,polish,cash,machines,addition,english,spanish",0.00,polish
